"Aaron Becker-Scheidl"	"Marta-Zehetner-Weg 454
8480 Zeltweg"
"Barbara Dangl"	"Taubergasse 9
2988 Groß-Gerungs"
"Friedrich Doppler-Strasser"	"Pauergasse 0
7355 Krems an der Donau"
"Rosa Pammer"	"Jamie-Reiner-Straße 55
4533 Ansfelden"
"Annabell Kalcher"	"Rachel-Gruber-Gasse 50
3443 Mürzzuschlag"
"Elias Kern"	"Antonia-Bergmann-Gasse 766
1382 Jennersdorf"
"Valentin Neuhold-Weissenböck"	"Springerstraße 04
9314 Steyregg"
"Marcus Schramm"	"Luana-Siegl-Weg 34
9859 Schwaz"
"Louis Gratzl-Rauter"	"Ariana-Kirchner-Straße 4
9693 Oberwart"
"Alara Grabher"	"Elona-Baier-Straße 9
8884 Scheibbs"
"Georg Taferner"	"Alena-Eberhard-Straße 99
1103 Völkermarkt"
"Emilija Vogel"	"Katarina-Hauser-Gasse 1
3352 Drosendorf-Zissersdorf 1"
"Jonathan Schwarzl"	"Köllplatz 5
1350 Radenthein"
"Nicolai Penz"	"Justus-Reithofer-Platz 470
8276 Straßburg"
"Prof. Lukas Herbst"	"Seitzplatz 6
9618 Zell am See"
"Zoe Sorger-Wegscheider"	"Dannerweg 32
4257 Drosendorf-Zissersdorf 1"
"Paulina Zeiner"	"Ela-Toth-Ring 122
6722 Scheibbs"
"Dipl.-Ing. Johanna Vogl"	"Sabine-Pohl-Platz 06
2837 Krems an der Donau"
"Alexia Schweiger"	"Tothgasse 89
3498 Eggenburg"
"Alara Kurzmann"	"Meixnergasse 097
9418 Steyregg"
"Domenica Hofstätter"	"Mira-Schönauer-Weg 9/2
9665 Sankt Pölten"
"Nathan Haiden"	"Bäckplatz 351
5113 Attnang-Puchheim"
"Isa Bodner-Schuh"	"Adriano-Deutschmann-Weg 178
5242 Schärding"
"Selma Schön"	"Jaukgasse 7
6712 Rohrbach in Oberösterreich"
"Paula Trimmel"	"Metzlergasse 7
1671 Litschau"
"Leoni Ernst"	"Aleksander-Rieder-Platz 3/2
2552 Bludenz"
"Soraya Eichberger"	"Grasslstr. 3
2428 Oberwälz"
"Ismail Weiß"	"Hammerplatz 5
7683 Ternitz"
"Janine Eberhard"	"Böschstr. 3
4944 Klosterneuburg"
"Aleksander Hartmann"	"Emilija-Schiller-Platz 68
5115 Gloggnitz"
"Eda Larcher"	"Fiedlerplatz 652
4734 Kufstein"
"Annabell Fellinger"	"Hölzlstr. 4/6
7723 Maissau"
"Richard Hochreiter"	"Emmanuel-Haidinger-Ring 7/5
5135 Wolfsberg"
"Oskar Kucera-Ertl"	"Dornstraße 4/8
9466 Trofaiach"
"Ing. Lilia Hinterberger"	"Alexandra-Kriegl-Straße 6
8520 Stadtschlaining"
"Prof. Estelle Hauser"	"Messnerweg 2
4633 Schladming"
"Louise Ostermann-Lutz"	"Justin-Kröll-Gasse 3
8971 Sankt Veit an der Glan"
"Bernadette Prohaska"	"Jennifer-Prenner-Straße 63
6763 Friedberg"
"Tobias Lindorfer"	"Freitagweg 9/5
4368 Geras"
"Aleksander Hoffmann"	"Matheo-Kopf-Platz 573
7167 Gmunden"
"Tina Parzer-Peter"	"Cristina-Frisch-Ring 1
8903 Krems an der Donau"
"Maksim Mayr"	"Winterplatz 9/6
9097 Feldkirchen"
"Dr. Lara-Sophie Hölzl"	"Felicitas-Doppler-Ring 97
3340 Grein"
"Rita Paulitsch"	"Patricia-Philipp-Ring 279
4642 Wilhelmsburg"
"Theodor Kugler"	"Carolina-Rottensteiner-Straße 1
9756 Spittal an der Drau"
"Leoni Taucher"	"Rudolfstraße 554
3287 Bad Aussee"
"Maria Kaltenböck"	"Windischstr. 19
9743 Litschau"
"Bastian Farkas"	"Pichlerweg 8/2
9145 Dürnstein"
"Malena Rossmann"	"Ernststr. 3
3695 Purbach am Neusiedler See"
"Aleksandra Kopf"	"Rienerring 162
6217 Eisenerz"
"Frau Laura Huber"	"Bianca-Herrmann-Straße 2
7964 Güssing"
"Anton Plattner"	"Lora-Marte-Platz 60
9173 Eisenstadt"
"Andjelina Posch"	"Schranzgasse 174
6231 Bruck an der Leitha"
"Francesca Schiefer-Neumann"	"Reitererplatz 7/3
7052 Frauenkirchen"
"Beni Haid"	"Ajna-Neureiter-Weg 797
2283 Hall in Tirol"
"Leo Mörth-Hahn"	"Mert-Zangerl-Gasse 650
9613 Imst"
"Paulina Neubauer-Reitbauer"	"Schwabstr. 363
2994 Bad Aussee"
"Marcus Wittmann"	"Beerplatz 66
5005 Mürzzuschlag"
"Ing. Ilias Leithner"	"Wildring 57
1769 Feldkirchen"
"Aleksandra Neuner"	"Rieplgasse 5
5398 Marchtrenk"
"Helene Hartmann"	"Aschauergasse 6/4
8304 Voitsberg"
"William Jöbstl"	"Chris-Erhart-Ring 27
6167 Traiskirchen"
"Veronika Frisch-Reiner"	"Diana-Rosenberger-Gasse 6/7
9081 Vöcklabruck"
"Danilo Tiefenbacher"	"Handlerplatz 329
3759 Bad Sankt Leonhard im Lavanttal"
"Ilias Schneider"	"Schrammweg 6/5
5536 Spittal an der Drau"
"Lionel Schalk"	"Damian-Fuhrmann-Platz 0/6
4560 Ebenfurth"
"Luka Scheucher-Marx"	"Sebastian-Pieber-Gasse 6
5758 Laa an der Thaya"
"Karla Tanzer"	"Franziska-Berger-Weg 1/9
7949 Purkersdorf"
"Michaela Schinagl"	"Ertlstr. 235
4526 Eisenerz"
"Alena Payer"	"Haidingerweg 350
8363 Güssing"
"Eduard Mair"	"Wilfingerstraße 61
6560 Sankt Valentin"
"Natan Hödl-Reiterer"	"Ebnerplatz 6/5
4000 Braunau am Inn"
"Peter Wieser"	"Janischstr. 9
3860 Rohrbach in Oberösterreich"
"Helene Lengauer"	"Ina-Hafner-Platz 9
3092 Allentsteig"
"Jannik Schmidinger"	"Wachterstr. 7/9
8160 Retz"
"Michaela Hartl"	"Friedrichplatz 2/6
8416 Leoben"
"Ing. Gabriel Bader"	"Leontina-Heissenberger-Weg 5
5338 Maissau"
"Frau Emilie Hell"	"Hummelstr. 2
3506 Freistadt"
"Frau Viola Glück"	"Kollerplatz 4
6786 Mannersdorf am Leithagebirge"
"Alena Pircher"	"Karglplatz 6
3388 Bruck an der Mur"
"Claudia Walser-Berchtold"	"Pehamweg 394
2238 Fürstenfeld"
"Ben Wallner-Frühwirth"	"Annalena-Waldner-Gasse 3/2
4043 Trieben"
"Lotte Greiner"	"Selin-Eder-Gasse 3
2263 Gföhl"
"Lora Kerschbaumer"	"Schwarzingerweg 4
5054 Neusiedl am See"
"Herr Nikolaus Kramer"	"Herbstplatz 5/0
7806 Güssing"
"Andjelina Krug"	"Höflerstraße 862
1450 Mistelbach an der Zaya"
"Amelia Pfleger-Lassnig"	"Köhlerstr. 844
8110 Radstadt"
"Isabel Spitzer"	"Mariana-Hölzl-Straße 7
6693 Voitsberg"
"Leonora Eisner"	"Weiglgasse 1
7163 Sankt Veit an der Glan"
"Alena Rauscher"	"Dietrichgasse 8/2
6793 Schrattenthal"
"Danilo Rieger-Schröder"	"Emanuel-Jost-Gasse 6
3178 Herzogenburg"
"Olivia Langer-Reithofer"	"Reindlstraße 26
8977 Dürnstein"
"Tea Götz"	"Teuflweg 2
7215 Neulengbach"
"Carolina Krug"	"Rettenbacherstr. 582
2359 Zeltweg"
"Elisa Scherr"	"Lola-Steindl-Ring 5/3
5055 Hall in Tirol"
"Andrej Zehetner"	"Obermayrplatz 6
5762 Retz"
"Nicholas Bitschnau"	"Froschauerweg 2
2537 Deutsch-Wagram"
"Mario Mühlbacher"	"Meisterstraße 12
1278 Murau"
"Prof. Selina Polzer"	"Elina-Kirschner-Ring 00
5272 Wilhelmsburg"
"Alena Schatzl-Kopp"	"Weiglstraße 8/0
1110 Allentsteig"
"Jamie Riegler"	"Martingasse 260
8363 Bad Aussee"
"Sandro Schramm-Niederl"	"Kolarstraße 3/8
3208 Villach"
"James Ott"	"Arthur-Obermüller-Weg 435
8307 Neunkirchen"
"Naomi Grünwald"	"Emilia-Marx-Weg 440
6313 Wolfsberg"
"Bruno Zettl"	"Fröhlichstr. 25
9204 Langenlois"
"Lea-Sophie Kollmann"	"Anita-Kremser-Ring 551
9430 Fischamend"
"Laurenz Felder"	"Schauerplatz 528
6001 Gleisdorf"
"Peter Bitschnau"	"Klotzstr. 958
4678 Allentsteig"
"Luisa Wiener"	"Daniela-Bäck-Weg 838
9564 Bleiburg"
"Alex Bitschnau"	"Marc-Zeller-Gasse 27
6564 Köflach"
"Darius Reindl"	"Pfefferring 2
4628 Innsbruck"
"Theresa Augustin-Kraft"	"Schillerweg 476
2000 Zwettl"
"Adelina Steurer"	"Edda-Pölzl-Ring 5
9691 Sankt Andrä im Lavanttal"
"Univ.Prof. Evelyn Winter"	"Yilmazstr. 5/8
5301 Fischamend"
"Ing. Oskar Schnabl"	"Gruberweg 5
9407 Schladming"
"Tobias Neuwirth"	"Schilcherring 0/0
3799 Mürzzuschlag"
"Theodora Wurzinger"	"Emilija-Haumer-Platz 0/6
5666 Gföhl"
"Simon Holzmann"	"Philipp-Weinberger-Straße 74
4134 Bad Leonfelden"
"Mila Blauensteiner-Reitinger"	"Schillerplatz 694
8299 Sankt Valentin"
"Alex Kramer"	"Schubertstraße 398
6900 Knittelfeld"
"Henri Hermann"	"Ajna-Marx-Straße 5/0
1968 Friesach"
"Elias Neuhold"	"Froschauergasse 7/5
6575 Schrattenthal"
"Prof. Marko Pointner"	"Leonard-Albrecht-Platz 6/2
3179 Grein"
"Melek Aichinger"	"Strasserstr. 12
8246 Gänserndorf"
"Patrick Stiegler"	"Calvin-Schweitzer-Platz 10
4600 Bad Aussee"
"Maida Zehetner"	"Lucas-Schilcher-Ring 0
5706 Scheibbs"
"Johannes Riedler"	"Neumayrweg 3/5
4700 Pinkafeld"
"Nadin Eichhorn"	"Eleonora-Pacher-Weg 86
7341 Radstadt"
"Viktor Dietl"	"Jannis-Gassner-Weg 9/4
5693 Villach"
"Alex Putz"	"Mühlbacherplatz 2/3
8391 Sankt Johann im Pongau"
"William Pfister"	"Bayergasse 871
2169 Kindberg"
"Ing. Bianca Macher"	"Lucia-Fröhlich-Gasse 518
5601 Wilhelmsburg"
"Dr. Mert Schilcher"	"Sofija-Lindorfer-Straße 420
6595 Laakirchen"
"Constantin Frisch"	"Köhlerring 623
8424 Bad Vöslau"
"Romy Waldner"	"Baumgartnerplatz 97
1317 Kufstein"
"Lionel Pfeifer"	"Tom-Stockhammer-Ring 41
1062 Baden"
"Aurelia Platzer-Paulitsch"	"Sara-Huemer-Straße 96
7002 Stockerau"
"Sophia Reich-Jungwirth"	"Antonius-Klingler-Gasse 934
1374 Völkermarkt"
"Leander Salcher"	"Pernerweg 1/1
5816 Gföhl"
"Alexa Dirnberger-Hübner"	"Marie-Sophie-Doppler-Weg 306
1952 Wolkersdorf"
"Lara-Sophie Stelzer"	"Mayrhoferstr. 255
7526 Bad Vöslau"
"Erik Stangl"	"Ismail-Ertl-Weg 953
2826 Sankt Pölten"
"Rita Holzer"	"Martina-Lenz-Platz 381
8306 Tulln an der Donau"
"Selena Scharf"	"Staudingerstr. 728
8031 Graz"
"Dr. Nicholas Schön"	"Lorena-Galler-Gasse 9/2
7638 Radenthein"
"Magdalena Tischler"	"Kopfstraße 622
4326 Salzburg"
"Sabine Jandl"	"Marc-Taucher-Gasse 9
1174 Sankt Johann im Pongau"
"Nela Hinterberger"	"Hammerlweg 1/1
9401 Deutschlandsberg"
"Tina Karl"	"Hammerlstraße 95
2478 Mank"
"Alexa Falkner"	"Lettnerstraße 9
3764 Laa an der Thaya"
"Axel Buchberger"	"Lengauerplatz 4
8017 Zwettl"
"Nils Kager"	"Merlin-Kaltenbrunner-Ring 72
1215 Saalfelden am Steinernen Meer"
"Juna Zöchling"	"Dennis-Veit-Platz 1/5
1256 Weitra"
"Ing. Luka Posch"	"Reinthalerplatz 4
7738 Sankt Valentin"
"Natalia Klammer"	"Jessica-Waltl-Straße 8/1
3320 Frauenkirchen"
"Ing. Mario Marte"	"Veronika-Hattinger-Ring 4/3
1729 Wilhelmsburg"
"Lukas Artner"	"Anna-Gschaider-Platz 00
8952 Kindberg"
"Madeleine Zenz"	"Himmelbauergasse 204
1277 Groß-Enzersdorf"
"Emilie Sperl"	"Yvonne-Weigl-Weg 047
1057 Ternitz"
"Alexa Gschwandtner"	"Schnablgasse 770
3806 Gallneukirchen"
"Theo Schuler"	"Schöberlring 3
5910 Bad Ischl"
"Luka Petz-Pointner"	"Christopher-Artner-Ring 8/4
9384 Mariazell"
"Anita Reischl"	"Pokornyweg 8
9470 Oberndorf bei Salzburg"
"Soraya Hermann"	"Karina-Hacker-Ring 1/4
3419 Gleisdorf"
"Ing. Mariella Wagner"	"Valentin-Parzer-Ring 079
6496 Mureck"
"Carlo Geier"	"Riegerplatz 601
2775 Bruck an der Mur"
"Jasmina Rainer"	"Natascha-Schreiner-Weg 20
5755 Sankt Valentin"
"Fiona Baumann"	"Hödlstr. 08
3911 Bischofshofen"
"Louisa Vogler"	"Froschauerstr. 18
4295 Marchegg"
"Alexa Heigl"	"Sabrina-Ulrich-Ring 4
2723 Berndorf"
"Andrej Lagler"	"Finn-Rechberger-Straße 71
7513 Schrems"
"Univ.Prof. Teodor Koch"	"Schmidring 5/8
1554 Traismauer"
"Sophia Paul"	"Elisabeth-Werner-Straße 627
3025 Wolfsberg"
"Frau Theodora Rettenbacher"	"Moritz-Zehetner-Weg 8/8
4370 Leoben"
"Herr Vito Köll"	"Oberndorferstr. 4/9
4395 Feldbach"
"Andrej Steinbauer"	"Kaiserplatz 057
3885 Wels"
"Zara Probst"	"Steinkellnerplatz 651
9322 Rohrbach in Oberösterreich"
"Ariana Platzer"	"Angelika-Zöchling-Platz 3
5069 Kindberg"
"Fiona Schüller"	"Hospgasse 3
5026 Bregenz"
"Alexa Lenz"	"Max-Haider-Ring 994
7974 Stadtschlaining"
"Nico Eichinger"	"Leonie-Müller-Weg 3/4
6173 Laa an der Thaya"
"Pascal Herzog"	"Arthur-Blum-Platz 65
5902 Raabs an der Thaya"
"Nele Beck"	"Jacob-Kalcher-Platz 7/9
1018 Frauenkirchen"
"Sophia Jenewein"	"Pia-Mohr-Platz 5
6170 Schrattenthal"
"Malena Löffler"	"Riedlerstraße 3/4
3811 Gleisdorf"
"Sena Salzmann"	"Fridolin-Suppan-Weg 27
8936 Hartberg"
"Stephanie Hummer-Gasser"	"Dario-Höfer-Gasse 3/0
6625 Radenthein"
"Sascha Haslauer"	"Gamsjägerstr. 1/4
6308 Haag"
"Mariana Paul"	"Nadia-Schartner-Straße 4
5680 Landeck"
"Alexa Sattler-Steurer"	"Soraya-Spreitzer-Platz 8
8108 Dornbirn"
"Prof. Louis Seiwald"	"Krieglstr. 1
8891 Bregenz"
"Lana Schön-Steinberger"	"Hammerring 8/4
1024 Bad Sankt Leonhard im Lavanttal"
"Kilian Hutter"	"Draxlerstr. 75
2578 Bleiburg"
"Elena Schnabl-Berner"	"Pollakring 695
4979 Scheibbs"
"Felix Hager-Lutz"	"Tothring 60
5647 Bad Leonfelden"
"Luana Dorfer-Günther"	"Zoey-Rettenbacher-Ring 331
1037 Bad Aussee"
"Prof. Marcel Bachmann"	"Luka-Stark-Ring 9
8708 Zeltweg"
"Katharina Bäck"	"Klammergasse 40
5336 Gföhl"
"Annalena Fröhlich"	"Nikola-Zenz-Weg 651
9322 Raabs an der Thaya"
"Alexa Urban"	"Igor-Schwarzinger-Straße 4
2700 Bad Aussee"
"Darius Albrecht"	"Kristian-Stelzer-Platz 02
4122 Ternitz"
"Dennis Kirschner"	"Meiergasse 21
8813 Rottenmann"
"Annika Stock"	"David-Grill-Ring 93
8196 Mürzzuschlag"
"Mariam Rabl-Thalhammer"	"Hintereggergasse 6
3822 Hallein"
"Irma Mörth"	"Hebenstreitplatz 9
3874 Mistelbach an der Zaya"
"Juliane Hauer-Neumayer"	"Fritschstraße 38
1223 Amstetten"
"Carl Grabher"	"Philip-Hattinger-Weg 0/0
1566 Traismauer"
"Anton Seidl-Reinprecht"	"Sulzergasse 69
9486 Klosterneuburg"
"Moritz Lassnig"	"Viktoria-Unterberger-Gasse 852
3645 Schwaz"
"Alexandar Meindl"	"Hospgasse 87
9973 Güssing"
"Mark Rauscher"	"Edda-Schinagl-Weg 115
7022 Poysdorf"
"Dipl.-Ing. Sophia Ringhofer"	"Zöhrerstraße 3
7381 Ried im Innkreis"
"Gabriel Kuhn"	"Hörlplatz 6
2904 Innsbruck"
"Carolina Plank"	"Xavier-Wiesner-Weg 1/5
7009 Zell am See"
"Ing. Melanie Dengg"	"Mila-Kocher-Platz 1/7
9469 Melk"
"Luana Veit"	"Emil-Lipp-Platz 172
7052 Graz"
"Dipl.-Ing. Steven Blum"	"Elvira-Pacher-Gasse 5
3924 Ebreichsdorf"
"Nelly Bergmann"	"Feichterplatz 2
3771 Haag"
"Clarissa Deutschmann"	"Elona-Hauser-Straße 31
6562 Schwaz"
"Alexandar Moritz"	"Kochstr. 3
7804 Braunau am Inn"
"Norah Unger"	"Rienerweg 92
2226 Bad Hall"
"Univ.Prof. Nicolai Jost"	"Schantlplatz 0
2622 Gmünd"
"Joseph Mandl-Stöckl"	"Martinring 6
3324 Friesach"
"Justus Kronberger"	"Hofingerplatz 86
1481 Bad Sankt Leonhard im Lavanttal"
"Bastian Hummel-Lederer"	"Leander-Lamprecht-Straße 213
1739 Dornbirn"
"Leonora Dobler"	"Florian-Juen-Weg 1/5
3599 Oberwälz"
"Kristina Eder"	"Jöbstlstraße 57
4302 Mürzzuschlag"
"Lotte Danner"	"Valentina-Hauser-Gasse 7/8
6643 Mürzzuschlag"
"Joel Kiss-Zauner"	"Lotta-Kunz-Platz 5
6552 Sankt Johann im Pongau"
"Alexander Obermayr"	"Köhlerstr. 5
5965 Neumarkt am Wallersee"
"Laetitia Redl-Zangerl"	"Georg-Gangl-Weg 498
6045 Dürnstein"
"Matteo Buchberger"	"Mathilda-Burger-Weg 864
7919 Hardegg"
"Aurora Schmidl"	"Lutzstr. 3/0
5902 Waidhofen an der Thaya"
"Franz Walcher"	"Nicholas-Nemeth-Ring 81
3215 Knittelfeld"
"Amelia Postl"	"Wiesbauerstr. 06
9486 Hartberg"
"Eduard Pokorny"	"Weisergasse 1
9471 Weiz"
"Darius Schönberger"	"Gmeinerweg 65
4660 Oberwart"
"Linnea Schmidl"	"Adriana-Steinlechner-Platz 7/6
3597 Feldkirch"
"Nicolai Trimmel"	"Jägerstraße 78
2032 Rattenberg"
"Alexandra Erler"	"Meusburgergasse 84
5535 Eferding"
"Phillip Stark"	"Sascha-Kriegl-Gasse 6/4
4286 Bad Sankt Leonhard im Lavanttal"
"Tiffany Puntigam"	"Michaela-Schweitzer-Platz 955
6223 Bad Aussee"
"Carlotta Jungwirth"	"Windhagergasse 03
3006 Fischamend"
"Frau Juliane Schantl"	"Steinlechnerweg 888
7686 Bregenz"
"Tom Janisch"	"Pia-Heinzl-Weg 2
5294 Enns"
"Dr. Jan Holler"	"Bernadette-Krug-Ring 5
8665 Tulln an der Donau"
"Viktor Riepl"	"Zotterstr. 5/2
3983 Spittal an der Drau"
"Malena Schweighofer-Jahn"	"Lippstr. 3
6891 Bad Vöslau"
"Ronya Stiegler"	"Tanja-Köberl-Platz 8
1064 Oberndorf bei Salzburg"
"Alexandra Heger"	"Thalerring 87
4490 Sankt Johann im Pongau"
"Eleonora Mitteregger"	"Tiefenbacherring 401
6476 Frauenkirchen"
"Ing. Leonora Fabian"	"Cornelius-Scheiber-Platz 023
6541 Neumarkt am Wallersee"
"Georg Haller"	"Kuceraring 50
8171 Lilienfeld"
"Dilara Fröhlich"	"Ludwigstraße 863
5313 Fischamend"
"Clarissa Jost"	"Huberring 5/1
4773 Ebreichsdorf"
"Sandro Schantl"	"Neugebauerstraße 8/4
3556 Gmünd in Kärnten"
"Rosalie Reich"	"Kochstraße 41
6850 Kufstein"
"Philipp Pauer"	"Fröhlichstraße 719
8421 Marchtrenk"
"Prof. Domenica Plank"	"Hüttergasse 01
8165 Rohrbach in Oberösterreich"
"Alexandra Hämmerle"	"Dornergasse 57
8489 Köflach"
"Naomi Sailer-Spiegl"	"Nela-Seiler-Platz 0
1230 Grieskirchen"
"Diana Geier"	"Heinrich-Unterweger-Weg 4/2
4220 Baden"
"Elsa Nagel-Fleck"	"Fleischmannstr. 75
9791 Feldkirch"
"Justus Fasching-Stockhammer"	"Rablplatz 938
2216 Enns"
"Florin Höller"	"Florentina-Lindorfer-Platz 166
5211 Wieselburg"
"Emma Kager"	"Krammerweg 256
5759 Kapfenberg"
"Simon Platzer"	"Oberleitnerweg 4
6345 Klosterneuburg"
"Rene König"	"Theo-Neumayr-Gasse 21
1771 Stockerau"
"Martin Binder"	"Patrik-Schneider-Ring 23
9632 Rattenberg"
"Alexia Bucher-Knoll"	"Neunerplatz 7
8999 Wiener Neustadt"
"Matheo Sieberer"	"Maierring 745
3481 Neunkirchen"
"Jasper Böck"	"Huemerstraße 51
4527 Dürnstein"
"Aaron Schubert"	"Sonnleitnerplatz 91
5399 Zell am See"
"Kyra Ebner-Traxler"	"Suppanstr. 7/4
8943 Friedberg"
"Carlo Bittner"	"Manuel-Gamsjäger-Gasse 7/2
3409 Baden"
"Ina Leopold"	"Hartlgasse 8/2
5356 Judenburg"
"Univ.Prof. Marie-Sophie Steinwender"	"Lotte-Mitterer-Platz 3/5
1801 Groß-Enzersdorf"
"Laila Nemeth"	"Anita-Rainer-Straße 40
2778 Zeltweg"
"Nicolai Dittrich"	"Mairstraße 9
4800 Ebenfurth"
"Alexia Hemetsberger-Anderl"	"Marissa-Jöbstl-Straße 4/3
3351 Sankt Valentin"
"Chris Reischl"	"Strohmayerring 3
2437 Gerasdorf bei Wien"
"Niklas Hausberger-Wilfinger"	"Tim-Nagel-Platz 7/4
9738 Baden"
"Zoe Lutz"	"Eduard-Hübner-Platz 120
3456 Groß-Gerungs"
"Johannes Schiestl-Widhalm"	"Ismail-Schrittwieser-Weg 2
1320 Freistadt"
"Lia Schmidt"	"Erik-Hermann-Weg 897
8926 Zwettl"
"Alma Fürst-Engel"	"Oliver-Hausberger-Weg 5
8845 Poysdorf"
"Milan Rauter"	"Sandra-Hörmann-Platz 577
4886 Sankt Valentin"
"Nicolas Feichtner"	"Winklerstr. 515
6393 Althofen"
"Sofia Schwarz"	"Ofnerstr. 530
2544 Schrattenthal"
"Alexia Keller"	"Fleischhackergasse 0/4
1400 Wels"
"Jana Klocker"	"Emilie-Klaus-Straße 0/9
7260 Grieskirchen"
"Ing. Jovana Eisl"	"Schwaigerplatz 67
7924 Schwechat"
"Rosa Rechberger-Steininger"	"Rennerstraße 3
3386 Mank"
"Lea Urban"	"Moritz-Amann-Weg 7/8
7285 Litschau"
"Luisa Unger-Burgstaller"	"Neuhauserweg 52
2910 Poysdorf"
"Isa Scherr"	"Jandlring 13
4642 Mistelbach an der Zaya"
"Univ.Prof. Moritz Gindl"	"Höferweg 18
8740 Sankt Valentin"
"Florentina Stangl"	"Valentin-Walder-Gasse 252
2257 Wörgl"
"Eva Reindl"	"Schubertstr. 587
9280 Wiener Neustadt"
"Alexia Mühlbacher-Steinwender"	"Jandlplatz 1
3624 Waidhofen an der Thaya"
"Isa Oberhofer"	"Elsa-Holler-Straße 967
3852 Wien"
"Univ.Prof. Thomas Schwaighofer"	"Wirthgasse 59
3888 Langenlois"
"Luisa Koppensteiner"	"Denkstr. 1/0
2248 Gerasdorf bei Wien"
"Jonathan Eibl-Rechberger"	"Walterstraße 9
6232 Kapfenberg"
"Dipl.-Ing. Ajna Seifert"	"Schillerstr. 7
5221 Perg"
"Adriano List"	"Marlene-Holzknecht-Straße 40
6877 Schladming"
"Oscar Fink"	"Angelika-Burgstaller-Platz 30
5471 Schrattenthal"
"Maurice Reitinger-Macher"	"Karlgasse 7
5929 Zell am See"
"Marc Kössler"	"Christine-Maierhofer-Ring 8
7940 Bruck an der Mur"
"Alexia Schubert"	"Constantin-Bergmann-Weg 8/6
1395 Leibnitz"
"Emilia Eichberger-Trinkl"	"Henrik-Bräuer-Platz 7/8
3803 Mürzzuschlag"
"Lina Krammer"	"Piebergasse 38
9979 Ternitz"
"Dipl.-Ing. Lotte Wechselberger"	"Veronika-Eberhard-Gasse 518
8318 Klosterneuburg"
"Joshua Hausberger-Gahleitner"	"Schweighoferplatz 2/8
8221 Retz"
"Ruth Kaufmann"	"Mayrhoferstr. 3/8
6005 Frohnleiten"
"Mariana Mair"	"Annalena-Wechselberger-Straße 53
1226 Weiz"
"Cristina Herzog"	"Böhmplatz 0/0
6014 Bischofshofen"
"Ing. Xavier Fleischhacker"	"Steiningerring 1
7278 Wels"
"Leticia Fritsch"	"Claudia-Brandner-Platz 667
9657 Klagenfurt"
"Alexia Schönauer-Wurzinger"	"Gregor-Gratz-Ring 4/3
6171 Feldkirchen"
"Damian Hackl"	"Theresa-Markl-Platz 71
7049 Pinkafeld"
"Melina Seitz-Schweiger"	"Müllnerweg 0/8
3380 Gleisdorf"
"Ing. Ilias Feichtner"	"Melek-Bäck-Weg 520
5184 Heidenreichstein"
"Linnea Stefan"	"Jannis-Ortner-Platz 063
5483 Mariazell"
"Hannah Schuster"	"Kohlring 2/5
3542 Wörgl"
"Herr Aaron Wieser"	"Eberlstraße 98
2932 Voitsberg"
"Adelina Hütter"	"Mateo-Kastner-Platz 8
1570 Fischamend"
"Soraya Bachler"	"William-Bachinger-Gasse 2
1591 Gloggnitz"
"Evelyn Steinkellner"	"Beatrice-Froschauer-Weg 502
2696 Stockerau"
"Alexia Stückler"	"Hafnerstraße 37
7667 Krems an der Donau"
"Melina Walder"	"Wiesnerstraße 233
3762 Spittal an der Drau"
"Charlotte Kerschbaum"	"Zoe-Sonnleitner-Ring 740
4364 Marchtrenk"
"Annabelle Glatz"	"Anderlplatz 940
8045 Bischofshofen"
"Lotte Pühringer"	"Martha-Schrenk-Platz 0
1209 Lienz"
"Markus Sonnleitner"	"Aleksandra-Gasser-Ring 1/9
8639 Dürnstein"
"Sandra Brandstätter"	"Melisa-Schüller-Ring 9
5887 Sankt Pölten"
"Patrik Steinberger"	"Therese-Plank-Weg 2
9799 Geras"
"Sofie Danninger"	"Wallnerstraße 81
3827 Altheim"
"Luka Kessler"	"Stephan-Weiss-Ring 508
7308 Dornbirn"
"Alice Pircher-Kolb"	"Angelika-Ott-Gasse 0
5733 Kindberg"
"Edda Schwendinger-Forster"	"Buchergasse 904
9930 Fischamend"
"Anastasia Springer"	"Erik-Werner-Straße 3/3
9412 Vils"
"Nelly Beer"	"Klugstr. 794
5553 Korneuburg"
"Ralph Mathis"	"Madeleine-Teufl-Straße 6/3
1614 Wels"
"Markus Kopp"	"Stadlerweg 201
4411 Mattersburg"
"Linnea Reindl"	"Pinterring 81
2141 Frohnleiten"
"Noah Köll"	"Nisa-Gabriel-Gasse 14
6846 Sankt Veit an der Glan"
"Maja Griesser"	"Marissa-Hofer-Weg 6
4730 Retz"
"Arthur Mayr-Ullmann"	"Heinzgasse 1
8203 Vöcklabruck"
"Alice Zeilinger"	"Mona-Feichtner-Platz 2
8859 Bischofshofen"
"Karolina Strohmayer-Wieland"	"Reichweg 429
8948 Fischamend"
"Liliana Schröder"	"Mühlbergerstraße 0
8395 Perg"
"Nick Horak"	"Nowakplatz 4
2121 Steyregg"
"Iris Albrecht"	"Fleckring 51
8246 Radstadt"
"Laureen Auinger"	"Spindlergasse 5
6374 Straßburg"
"Lorenzo Kössler"	"Noah-Schönauer-Ring 0/4
5787 Marchegg"
"Axel Veit"	"Schindlerweg 6/6
6504 Poysdorf"
"Dr. Steven Schranz"	"Koppensteinerstr. 3
7179 Gleisdorf"
"Leonie Hartl"	"Röckstr. 6
2795 Radenthein"
