"Adolf Gorenc"|"Hribarjevo nabrežje 6a
7288 Kobarid"
"Jožica Vidmar"|"Strmeckijeva ulica 468
4318 Rogaška Slatina"
"Alja Skok"|"Pot v dolino 8
6974 Idrija"
"Aleksander Gomboc"|"Osterčeva ulica 820
1324 Ilirska Bistrica"
"Štefka Kotnik"|"Kosovelova ulica 4
4574 Maribor"
"Hasan Stopar"|"Vrhovci, cesta XXVIII 9a
4779 Idrija"
"Jadranka Pavlič"|"Gregorinova ulica 3c
7970 Sežana"
"Maša Rožman"|"Jazbečeva pot 20
6097 Maribor"
"Zdravko Filipič"|"Kašeljska cesta 8c
8363 Vipava"
"Janez Kovačič"|"Vulčeva ulica 227
8663 Ribnica"
"Katja Lešnik"|"Cesta vstaje 799
1668 Ravne na Koroškem"
"Nejc Korošec"|"Cesta II. grupe odredov 3c
5810 Izola"
"Bruno Kumer"|"Zeljarska ulica 4c
5587 Kamnik"
"Aleksander Jenko"|"Pipanova pot 2b
6492 Tržič"
"Vladimir Tratnik"|"Stražarjeva ulica 5
0330 Medvode"
"Klavdija Leskovar"|"Livarska ulica 88
1604 Ravne na Koroškem"
"Franjo Dolinšek"|"V Zalar 45
0485 Cerknica"
"Nada Koren"|"Jazbečeva pot 02
8423 Slovenj Gradec"
"Joško Fras"|"Majorja Lavriča ulica 1c
8958 Škofja Loka"
"Hasan Hafner"|"Žabarjeva ulica 4
6807 Vipavski Križ"
"Alojzija Tomažič"|"Kaminova ulica 6b
3869 Sevnica"
"Nenad Kos"|"Raičeva ulica 2c
9781 Kočevje"
"Eva Breznik"|"Cesta Urške Zatlerjeve 3c
1443 Mežica"
"Aleksander Jerič"|"Mizarska pot 0b
7344 Lendava"
"Erika Gomboc"|"Galičeva ulica 0c
4632 Hrastnik"
"Slavko Bizjak"|"Puterlejeva ulica 8c
3908 Ajdovščina"
"Iris Kokalj"|"Zajčevi dvori 9c
8262 Idrija"
"Stojan Kovačič"|"Valjavčeva ulica 5c
0434 Slovenj Gradec"
"Zvonko Dolenc"|"Ulica Nade Čamernikove 148
8369 Bovec"
"Vida Hribar"|"Artačeva ulica 7c
3938 Železniki"
"Andreja Pirnat"|"Zalaznikova ulica 974
8127 Slovenska Bistrica"
"Damjan Maček"|"Pot na Breje 603
0758 Ruše"
"Blaž Stopar"|"Gallusovo nabrežje 4b
7051 Turnišče"
"Aleksander Jerman"|"Rožna dolina, cesta XVII 6
3492 Rogaška Slatina"
"Marjan Zver"|"Koleševa ulica 470
6941 Murska Sobota"
"Žiga Filipič"|"Pionirska pot 1
2991 Medvode"
"Anton Koželj"|"Za gasilskim domom 0a
0207 Kočevje"
"Viljem Vidmar"|"Vodovodna cesta 3b
4813 Kobarid"
"Dragica Lazar"|"Sulčja ulica 60
3004 Železniki"
"Manca Pavlin"|"Ulica Ivanke Kožuh 5
5778 Ormož"
"Angela Simonič"|"Borovniška ulica 2b
9056 Nova Gorica"
"Borut Lešnik"|"Jakhljeva ulica 919
6159 Trbovlje"
"Stanislav kuhar"|"Prešernov trg 1
1217 Dravograd"
"Aleksander Kaučič"|"Ulica bratov Rozmanov 2c
6859 Cerknica"
"Avgust Rajh"|"Papirniška pot 3
2990 Žalec"
"Borut Pirc"|"Kumerdejeva ulica 4a
6821 Litija"
"Mihaela Bajc"|"Osojna pot 6c
0597 Ormož"
"Alojzija Resnik"|"Kovačeva ulica 7b
4237 Slovenske Konjice"
"Jožef Eržen"|"Zadružna ulica 3
7381 Šentjur"
"Maja Kodrič"|"Rutarjeva ulica 629
3403 Ruše"
"Hasan Hribar"|"Bazoviška ulica 4b
8132 Radovljica"
"Erika Likar"|"Prištinska ulica 7c
5823 Ruše"
"Valter Marolt"|"Zdešarjeva cesta 0
0632 Žiri"
"Aleksander Knez"|"Mestni trg 5b
6946 Šentjur"
"Zvonka Dolinšek"|"Emonska cesta 18
3166 Škofja Loka"
"Maja Horvat"|"Cizejeva ulica 7a
7027 Šempeter pri Gorici"
"Janko Pintarič"|"Soška ulica 666
9860 Piran"
"Mihaela Kodrič"|"Kraljeva ulica 7
9335 Laško"
"Slavka Žibert"|"Kumerdejeva ulica 9
3115 Škofja Loka"
"Slavica Lavrič"|"Zevnikova ulica 06
7333 Slovenske Konjice"
"Davor Petrovič"|"Cesta vstaje 6c
2810 Slovenska Bistrica"
"Ivan Pirnat"|"Vižmarska pot 231
5744 Gornji Grad"
"Gordana Kocjančič"|"Kumerjeve ulica 02
2933 Murska Sobota"
"Aleksander Kranjc"|"Linhartova cesta 3b
6284 Lendava"
"Sonja Jerič"|"Celjska ulica 0b
0574 Logatec"
"Lovro Hribar"|"Ulica Janeza Pavla II. 8a
3406 Slovenske Konjice"
"Zora čeh"|"Bežigrad 8a
7201 Gornji Grad"
"Adolf Vodopivec"|"Pretnarjeva ulica 6b
2204 Slovenska Bistrica"
"Marjan Jovanović"|"Nedohova ulica 002
4155 Cerknica"
"Polonca Dolenc"|"Podgorska cesta 58
4938 Slovenske Konjice"
"Marjan žagar"|"Lipahova ulica 242
6182 Domžale"
"Darinka Markovič"|"Čargova ulica 4a
7472 Dravograd"
"Miloš Žižek"|"Podutiška cesta 9
8262 Lenart v Slovenskih goricah"
"Aleksander Lazar"|"Spodnji Rudnik III 9
8862 Hrastnik"
"Jerica Leban"|"Svetčeva ulica 0b
9031 Tolmin"
"Albina Medved"|"Tesarska ulica 1
4333 Rogaška Slatina"
"Liljana Hafner"|"Ulica Olge Mohorjeve 9c
2423 Ormož"
"Stanislav Mavrič"|"Štula 1c
5062 Lenart v Slovenskih goricah"
"Julija Logar"|"Švegljeva cesta 8b
6705 Tolmin"
"Janez Volk"|"Dolgi most 2
2568 Nova Gorica"
"David Zupančič"|"Aškerčeva cesta 08
5533 Koper"
"Željko Žagar"|"Šentviška ulica 5
8122 Krško"
"Rebeka Babič"|"Delakova ulica 0b
7041 Prevalje"
"Aleksander Tomažič"|"Ulica Alme Sodnik 8c
6247 Rogaška Slatina"
"Kristina Hodžić"|"Strniševa cesta 4c
1107 Vrhnika"
"Danijela Hribar"|"Avsečeva ulica 4
4569 Celje"
"Marijana Rožič"|"Cesta v Šmartno 8
2737 Lenart v Slovenskih goricah"
"Hedvika Pirnat"|"Kumrovška ulica 69
4387 Grosuplje"
"Feliks Ramšak"|"Rožna dolina, cesta VIII 0c
4817 Gornji Grad"
"Tilen Pirnat"|"Grudnovo nabrežje 2c
2605 Lendava"
"Nikolaj Kuhar"|"Svetčeva ulica 295
6291 Velenje"
"Karol Lazar"|"Pri brvi 2a
3829 Trbovlje"
"Mirjam Pavlič"|"Prinčičeva ulica 4c
5559 Ruše"
"Aleksandra Bukovec"|"Kašeljska cesta 3
1658 Novo mesto"
"Sašo Pirc"|"Samova ulica 4
0421 Murska Sobota"
"Leopold Mavrič"|"Savlje 21
9651 Gornji Grad"
"Maruša Dolinšek"|"Predor pod Gradom 1
8402 Gornji Grad"
"Zdravko Jamnik"|"Vodnikovo naselje 3b
3951 Nova Gorica"
"Leon Zakrajšek"|"Gašperšičeva ulica 3
8621 Zagorje ob Savi"
"Aleksandar Nemec"|"Cerutova ulica 5
7160 Litija"
"Sebastijan Pavlič"|"Usnjarska ulica 95
3646 Bled"
"Blanka Ilić"|"Hribarjevo nabrežje 4b
9164 Dravograd"
"Melita Jarc"|"Golouhova ulica 84
8313 Prevalje"
"Aleksandra Dolinšek"|"Ulica 24. avgusta 6c
4091 Kranj"
"Špela Mavrič"|"Cerutova ulica 8c
9617 Ormož"
"Stanislava Pirnat"|"Sojerjeva ulica 1
4530 Žalec"
"Ivana Kastelic"|"Ulica Zore Ragancinove 5c
0712 Bled"
"Branka Turk"|"Bizjakova ulica 986
4027 Vipava"
"Miha Mlinar"|"Rožna dolina, cesta I 8c
8832 Mengeš"
"Iris Hodžić"|"Demšarjeva cesta 786
4789 Murska Sobota"
"Simon Babič"|"Veliki štradon 690
7698 Gornja Radgona"
"Mirjam Pirc"|"Glinškova ploščad 83
8940 Trebnje"
"Špela Jelen"|"Devova ulica 6
6894 Metlika"
"Aleksandra Javornik"|"Apihova ulica 4
0515 Bovec"
"Breda Pirnat"|"Polje, cesta III 5a
0298 Maribor"
"Ksenija Cvetko"|"V Varde 4a
1379 Cerknica"
"Martina Bizjak"|"Ulica 24. avgusta 9
4454 Ruše"
"Marjana Bajc"|"Lajovčeva ulica 2c
0212 Železniki"
"Liljana Rožman"|"Kolodvorska ulica 4b
7658 Velenje"
"Drago Bregar"|"Ulica prvoborcev 001
8569 Postojna"
"Ana Kramar"|"Murkova ulica 45
7164 Turnišče"
"Leopold Jug"|"Mihov štradon 4
0380 Mežica"
"Maša Janežič"|"Jerajeva ulica 2
0852 Ruše"
"Aleksandra Jovanović"|"Uršičev štradon 2c
9006 Kobarid"
"Ludvik Vidmar"|"Sattnerjeva ulica 1b
0083 Sežana"
"Leon Ambrožič"|"Čepelnikova ulica 70
5040 Maribor"
"Jasna Kumer"|"Reška ulica 719
4392 Celje"
"Dragan Kumer"|"Kapusova ulica 7c
7882 Lenart v Slovenskih goricah"
"Julijana Hočevar"|"Jurčkova cesta 882
2411 Bovec"
"Jelena Toplak"|"Mirna pot 0c
4972 Žiri"
"Miha Skok"|"Ulica 15. maja 2a
0708 Kranj"
"Suzana Kolarič"|"Rožna dolina, cesta III 40
3148 Medvode"
"Kristijan Tomšič"|"Ulica borcev za severno mejo 265
2448 Mežica"
"Aleksandra Zorman"|"Cankarjevo nabrežje 8c
6876 Višnja Gora"
"Alja Rozman"|"Bognarjeva pot 9
0691 Žalec"
"Leon Jenko"|"Bratinova ulica 6a
9617 Črnomelj"
"Laura Filipič"|"Novo Polje, cesta XIX 49
8549 Kranj"
"Polonca Pintar"|"Pot na most 381
7807 Maribor"
"Alenka Zorman"|"Trstenjakova ulica 4
0912 Ljutomer"
"Anita Sitar"|"Savinškova ulica 861
2101 Črnomelj"
"Tilen Kastelic"|"Ulica Hermana Potočnika 459
8521 Višnja Gora"
"Vid čeh"|"Beljaška ulica 5a
0622 Ormož"
"Petar Kolar"|"Na gmajni 01
4787 Kočevje"
"Alen Ramšak"|"Pot k ribniku 5c
8500 Vipavski Križ"
"Aleksandar volk"|"Cesta Urške Zatlerjeve 0a
1877 Vrhnika"
"Blanka Bevc"|"Kavadarska cesta 0a
1967 Celje"
"Cvetko Leban"|"Cesta v Pečale 02
6745 Šentjur"
"Roman Demšar"|"Demšarjeva cesta 444
8498 Sežana"
"Silvo Pavlič"|"Ulica Pohorskega bataljona 19
2385 Kobarid"
"Roza Dolinšek"|"Polje, cesta XXX 21
8308 Sevnica"
"Larisa Kovačič"|"Pesarska cesta 118
8545 Kočevje"
"Antonija Šmid"|"Ulica 4. julija 27
4781 Brežice"
"Brigita Mlakar"|"Vrhovnikova ulica 881
7036 Kobarid"
"Alenka Klemenčič"|"Pot na Zduše 4b
5194 Rogaška Slatina"
"Mihael Kumer"|"Kosovelova ulica 930
6993 Radeče"
"Karolina Zakrajšek"|"Ulica Štefke Zbašnikove 8a
8445 Hrastnik"
"Bernarda Leban"|"Hajdrihova ulica 2b
1299 Slovenske Konjice"
"Alenka Čeh"|"Kuzmičeva ulica 6
4207 Vipava"
"Matej Bergant"|"Jakhljeva ulica 22
5975 Logatec"
"Leon Gomboc"|"Hafnerjeva ulica 180
9175 Mengeš"
"Jožica Kocjančič"|"Bratislavska cesta 3
6833 Kobarid"
"Danilo Turk"|"Cesta na Loko 95
3867 Slovenska Bistrica"
"Lidija Košir"|"Devinska ulica 6
3562 Železniki"
"Alenka Kobal"|"Kratka steza 3c
2862 Zagorje ob Savi"
"Ivana Lah"|"Melikova ulica 096
4616 Ribnica"
"Igor Perko"|"Mareška pot 4a
2883 Lendava"
"Pavla kuhar"|"Burnikova ulica 1a
2913 Hrastnik"
"Tine Dolenc"|"Drenikova ulica 861
5838 Medvode"
"Radovan Resnik"|"Fužinska cesta 9c
4863 Grosuplje"
"Rajko volk"|"Aljaževa ulica 5
3636 Kostanjevica na Krki"
"Ernest Leban"|"Pod bukvami 92
9775 Cerknica"
"Anica Kovač"|"Ulica Ivana Roba 6
9954 Metlika"
"Mateja Šmid"|"Bernikova ulica 6a
0674 Rogaška Slatina"
"Alenka Kokalj"|"Strmeckijeva ulica 518
8713 Koper"
"Bruno Zajc"|"Lunačkova ulica 2c
4911 Šempeter pri Gorici"
"Klavdija Jelen"|"Novo Polje, cesta VI 43
1779 Trebnje"
"Rudolf Mavrič"|"Chengdujska cesta 7
9859 Tržič"
"Julijana Fras"|"Ulica talcev 8
1365 Litija"
"Leopold Hrovat"|"Ulica bratov Blanč 044
1338 Ribnica"
"Pavel Eržen"|"Langusova ulica 9c
7340 Laško"
"Anica Koren"|"Zvezda 42
0599 Ravne na Koroškem"
"Jernej Krivec"|"Do proge 3a
7506 Zagorje ob Savi"
"Iris Rupnik"|"Zatišje 361
8869 Ravne na Koroškem"
"Alenka Lazar"|"Gallusovo nabrežje 2a
4731 Piran"
"Danijela Kokol"|"Večna pot 5
8707 Tolmin"
"Anita Čuk"|"Šlandrova ulica 52
0970 Višnja Gora"
"Amalija Koren"|"Artačeva ulica 0c
6007 Ljubljana"
"Neža Nemec"|"Bleiweisova cesta 826
2747 Mengeš"
"Mateja Potočnik"|"Hladilniška pot 4a
5690 Mengeš"
"Vesna Tavčar"|"Na gmajni 4
2193 Murska Sobota"
"Nenad Božič"|"Clevelandska ulica 7b
5322 Tržič"
"Albert Primožič"|"Vidičeva ulica 8a
4028 Cerknica"
"Miran Štrukelj"|"Mirje 8c
2267 Trebnje"
"Alenka Majcen"|"Gruberjevo nabrežje 592
1594 Dravograd"
"Jolanda Šmid"|"Jarška cesta 11
7589 Železniki"
"Dejan Kokalj"|"Rožna dolina, cesta V 10
3384 Velenje"
"Saša Mlinar"|"Šišenska cesta 5c
8844 Zagorje ob Savi"
"Rado Kolarič"|"Medarska ulica 8
3663 Murska Sobota"
"Anton Žagar"|"Martinčeva ulica 3a
0195 Idrija"
"Tim Kovačič"|"V Karlovce 118
4785 Rogaška Slatina"
"Viktorija Sever"|"Cesta vstaje 42
0160 Novo mesto"
"Neja Resnik"|"Topniška ulica 4a
8546 Vrhnika"
"Feliks Ramšak"|"Veliki štradon 9a
7683 Ljubljana"
"Alja Bajc"|"Cimermanova ulica 9c
0286 Cerknica"
"Josip Godec"|"Tabor 62
6211 Metlika"
"Branko Resnik"|"Ježa 9
6161 Laško"
"Mark Erjavec"|"Plečnikov podhod 5a
9899 Murska Sobota"
"Slavica Cerar"|"Kolodvorska ulica 811
8003 Lenart v Slovenskih goricah"
"Lana Kočevar"|"Vrhovci, cesta XXVIII 9
8440 Gornja Radgona"
"Romana Mlinar"|"Cesta na Poljane 1b
2630 Postojna"
"Marjeta Toplak"|"Polje, cesta XXII 8c
5093 Mengeš"
"Nina Pirnat"|"Klunova ulica 72
9520 Radovljica"
"Silvo Perko"|"Tometova ulica 7
8779 Kobarid"
"Alja Erjavec"|"Ulica Zore Ragancinove 4a
4526 Dravograd"
"Tadej Lazar"|"Ulica Miroslava Turka 4
3186 Hrastnik"
"Boris Zupanc"|"Nova ulica 697
6237 Hrastnik"
"Dominik Bukovec"|"Podsmreška cesta 9
4398 Dravograd"
"Uroš Pirc"|"Toplarniška ulica 95
8716 Slovenska Bistrica"
"Slavka volk"|"Novo Polje, cesta VI 9c
1785 Ljubljana"
"Mark Cvetko"|"Polje, cesta XXX 261
3211 Tržič"
"Liljana Dolenc"|"Šumarjeva ulica 8a
0369 Mengeš"
"Miro Sever"|"Pavšičeva ulica 7b
7337 Kostanjevica na Krki"
"Rebeka Vodopivec"|"Peršinova cesta 89
1498 Postojna"
"Alja Javornik"|"Molekova ulica 032
9811 Železniki"
"Viktorija Rajh"|"Pot za Brdom 2c
2329 Gornji Grad"
"Roman Knez"|"Trbeže 25
4964 Prevalje"
"David Mlinar"|"Blasnikova ulica 0b
4245 Šoštanj"
"Aljoša Mlinar"|"Lubejeva ulica 1c
0724 Novo mesto"
"Srečko Kramar"|"Čampova ulica 102
8476 Litija"
"Andrej Jamnik"|"Mokrška ulica 7
1198 Zagorje ob Savi"
"Lana Resnik"|"Alešovčeva ulica 795
3810 Izola"
"Martin Cvetko"|"Pavlovčeva ulica 040
9627 Slovenj Gradec"
"Natalija Bukovec"|"Kreljeva ulica 6
9518 Logatec"
"Alja Kuhar"|"Bavdkova ulica 7
1527 Vipava"
"Nenad Mlakar"|"Velebitska ulica 3c
6437 Rogaška Slatina"
"Matjaž Vidovič"|"Pohlinova ulica 808
6313 Bled"
"Hasan Kaučič"|"Cigaletova ulica 7a
0412 Krško"
"Katja Petek"|"Ingličeva ulica 87
2340 Logatec"
"Tina Kolarič"|"Goljarjeva pot 5
1093 Šentjur"
"Brigita Pogačnik"|"Španova pot 8b
6701 Medvode"
"Jolanda Turk"|"Breznikova ulica 64
8423 Idrija"
"Davorin Žnidaršič"|"Krimska ulica 8c
6441 Litija"
"Darja Kotnik"|"Šturmova ulica 16
3243 Koper"
"Alja Šinkovec"|"Ježa 0c
6502 Ajdovščina"
"Luka Tratnik"|"Blasov breg 9
5428 Maribor"
"Damjana Šinkovec"|"Vrhovci, cesta XXXII 6
4430 Kamnik"
"Maša Ilić"|"Ulica Koroškega bataljona 590
0490 Sevnica"
"Mirko Zorko"|"Polje, cesta VIII 9a
9928 Kamnik"
"Blaž Zupanc"|"Živinozdravska ulica 966
0673 Prevalje"
"Nikolaj Miklavčič"|"Šentviška ulica 0
4652 Dravograd"
"Gal Lešnik"|"Dajnkova ulica 7a
8970 Žiri"
"Maruša Lavrič"|"Zupanova ulica 9c
6224 Turnišče"
"Viktor Dolinar"|"Berčonova pot 92
5663 Ptuj"
"Aljaž Ilić"|"Mire Lenardičeve ulica 7c
7065 Domžale"
"Zdravko Mihelič"|"Dolinškova ulica 5c
4812 Kranj"
"Petra Lavrič"|"Ulica Lojzeta Spacala 4b
1727 Ljutomer"
"Anita Filipič"|"Maurerjeva ulica 89
8388 Višnja Gora"
"Davor Božič"|"Sojerjeva ulica 922
8278 Slovenj Gradec"
"Valentin Javornik"|"Dečkova ulica 0a
7044 Trbovlje"
"Dominik Pogačnik"|"Draga 03
2301 Brežice"
"Jadranka Hozjan"|"Tratnikova ulica 7a
7723 Rogaška Slatina"
"Milan Majcen"|"Za opekarno 2a
1396 Velenje"
"Ema Medved"|"Devinska ulica 5b
6217 Hrastnik"
"Aljaž Janežič"|"Novo Polje, cesta XIX 860
4818 Slovenska Bistrica"
"Sebastjan Hribar"|"Kavadarska cesta 4
0232 Šempeter pri Gorici"
"Pia Zajc"|"Pribinova ulica 35
1506 Vipava"
"Rudolf Košir"|"Pot na Visoko 55
2618 Železniki"
"Darja Babič"|"Marentičeva ulica 519
0877 Kostanjevica na Krki"
"Dragan Majcen"|"Na produ 3c
3101 Šentjur"
"Jožefa Dolinšek"|"Koblarjeva ulica 20
4536 Litija"
"Jure volk"|"Cesta na Mesarico 6c
2523 Slovenska Bistrica"
"Ana Klemenčič"|"Krimska ulica 348
0609 Turnišče"
"Nataša Lebar"|"Bavdkova ulica 02
5511 Kočevje"
"Aljaž Kodrič"|"Potokarjeva ulica 0
8605 Slovenska Bistrica"
"Marjeta Kokol"|"Pot heroja Trtnika 46
1076 Črnomelj"
"Tamara Knez"|"Smrtnikova ulica 219
7003 Koper"
"Miroslava Tavčar"|"Cesta v Rožno dolino 344
1214 Zagorje ob Savi"
"Frančišek Bevc"|"Regentova cesta 25
0942 Velenje"
"Albin Kodrič"|"Kantetova ulica 2c
9815 Ljutomer"
"Justina Likar"|"Cerutova ulica 57
5246 Vrhnika"
"Petra Logar"|"Ulica Lizike Jančarjeve 877
6771 Piran"
"Adolf čeh"|"Grablovičeva ulica 7a
9225 Tolmin"
"Damjan Hribernik"|"Samova ulica 1a
2276 Celje"
"Aljaž Korošec"|"Bratislavska cesta 7b
4417 Cerknica"
"Jožef Rožič"|"Kremžarjeva ulica 4b
2304 Kočevje"
"Barbara Dolinar"|"Saškova ulica 58
4268 Izola"
"Elvis Godec"|"Galjevica 1a
8624 Medvode"
"Marko Petrovič"|"Nova ulica 90
9277 Ormož"
"Sara Zorko"|"Demšarjeva cesta 579
5166 Vipava"
"Ajda Kos"|"Ločnikarjeva ulica 1
1046 Šempeter pri Gorici"
"Sabina Černe"|"Polje, cesta XL 4a
5129 Brežice"
"Zlatko Vidic"|"Prašnikarjeva ulica 4c
6062 Brežice"
"Darinka Tratnik"|"Kanonijeva cesta 252
1755 Ljutomer"
"Aljaž Kovač"|"Ločnikarjeva ulica 8c
6488 Turnišče"
"Erna Horvat"|"Bernikova ulica 939
7859 Kamnik"
"Antonija Javornik"|"Ob daljnovodu 9
6459 Cerknica"
"Bojan Pirc"|"Ulica padlih borcev 0a
3234 Bovec"
"Sandra Vodopivec"|"V Češnjico 1a
9026 Jesenice"
"Polona Zupanc"|"Brodska cesta 7c
1384 Vipava"
"Stjepan Turk"|"Bratinova ulica 7
2751 Piran"
"Nejc Šuštar"|"Kopitarjeva ulica 5a
5847 Gornja Radgona"
"Adolf Eržen"|"Pšatska pot 955
2953 Ajdovščina"
"Pavla Ramšak"|"Novosadska ulica 1c
0549 Sevnica"
"Aljaž Rupnik"|"Levičnikova ulica 655
9654 Laško"
"Blanka Majcen"|"Bravničarjeva ulica 9c
7578 Bled"
"Danijel Zalokar"|"Ažmanova ulica 3
8092 Bled"
"Stanka Sušnik"|"Kumrovška ulica 16
3263 Kamnik"
"Brigita Jarc"|"Na Palcah 99
4699 Bled"
"Taja Černe"|"Grobeljca 35
9063 Logatec"
"Maruša Likar"|"Štepanjska cesta 8a
1407 Maribor"
"Anej Šmid"|"Bezenškova ulica 39
7668 Slovenska Bistrica"
"Kaja Vidovič"|"Breg 7a
8304 Sežana"
"Iris Potočnik"|"Zupanova ulica 27
5541 Žiri"
"Aljaž Tavčar"|"Zevnikova ulica 7b
9280 Trbovlje"
"Silvo Fras"|"Filipičeva ulica 9
7107 Radovljica"
"Vida Žagar"|"Demšarjeva cesta 753
6956 Metlika"
"Eva Zakrajšek"|"Rodičeva ulica 33
7002 Bovec"
"Marijan Leskovar"|"Šentjakob 250
7231 Idrija"
"Mihael Zakrajšek"|"Zidarjev štradon 3c
4210 Jesenice"
"Roza Babič"|"Pot Draga Jakopiča 663
2531 Metlika"
"Alenka Koren"|"Bizjanova ulica 6a
5925 Ilirska Bistrica"
"Gorazd Leban"|"Park Ajdovščina 81
0507 Metlika"
"Branko Breznik"|"Polje, cesta XXII 232
3025 Ribnica"
"Aljaž ribič"|"Šestova ulica 410
9216 Novo mesto"
"Franc Jarc"|"Pri brvi 5b
1280 Ilirska Bistrica"
"Neža Košir"|"Lavrinova ulica 094
6560 Bovec"
"Niko Kosi"|"Avčinova ulica 30
1933 Gornji Grad"
"Joško Zupanc"|"Bravničarjeva ulica 0a
7748 Celje"
"Jani Sever"|"Uršičev štradon 99
9920 Novo mesto"
"Mihaela Jug"|"Brodska cesta 4a
6089 Škofja Loka"
"Tjaša Hribar"|"Ravna pot 6
0423 Litija"
"Cecilija Rozman"|"Kekčeva ulica 63
8558 Slovenska Bistrica"
"Bogdan Šmid"|"Veršičeva ulica 9b
1992 Dravograd"
"Aljaž Čeh"|"Kolmanova ulica 3
6323 Kranj"
"Vlasta Mavrič"|"Novo Polje, cesta XVI 81
3674 Lenart v Slovenskih goricah"
"Tim Žnidaršič"|"Kalinova ulica 9b
5675 Lendava"
"Valerija Jerman"|"Polje, cesta XL 0
7633 Mežica"
"Mihaela Likar"|"Dunajska cesta 2a
8087 Lenart v Slovenskih goricah"
"Lilijana Vidic"|"Ravbarjeva ulica 8c
1418 Trbovlje"
"Petra Sever"|"Zarnikova ulica 9b
2411 Litija"
"Roman Vidmar"|"Mekinčeva ulica 6
9036 Ajdovščina"
"Frančišek Novak"|"Zaloška cesta 5b
4212 Medvode"
"Viljem Bergant"|"Kumerdejeva ulica 6
1129 Gornja Radgona"
"Aljoša Dolenc"|"Suhadolčanova ulica 3b
1106 Ljutomer"
"Tjaša Skok"|"Ulica Polonce Čude 4
5563 Postojna"
"Ines Leban"|"Gasilska cesta 15
0855 Nova Gorica"
"Jožefa Rozman"|"Strniševa cesta 6a
5231 Turnišče"
"Anita Zorko"|"Samova ulica 530
4078 Bovec"
"Silva Horvat"|"Tiha ulica 961
0900 Ruše"
"Alojzij Železnik"|"Grška ulica 071
3256 Slovenj Gradec"
"Pia Pavlin"|"Kašeljska cesta 02
9159 Bled"
"Ljubica Gorenc"|"Križna ulica 5a
0082 Šoštanj"
"Lana Hozjan"|"Novo Polje, cesta XIV 3b
2404 Vrhnika"
"Aljoša Dolinar"|"Lunačkova ulica 1b
0231 Ormož"
"Frančišek Kastelic"|"Rožna dolina, cesta VI 8c
3136 Žiri"
"Hedvika Hodžić"|"Ulica Polonce Čude 962
5360 Šempeter pri Gorici"
"Matej Rožič"|"Velebitska ulica 460
7370 Velenje"
"Daniela Bukovec"|"Jerajeva ulica 15
3371 Višnja Gora"
"Milan Kramar"|"Zdešarjeva cesta 9a
9293 Kobarid"
"Damjan Zakrajšek"|"Černigojeva ulica 2a
3398 Šoštanj"
"Viktor Kolar"|"V Karlovce 5c
9966 Domžale"
"Damjan Hrovat"|"Štukljeva cesta 3b
0651 Šempeter pri Gorici"
"Ervin Zorko"|"Cesta II. grupe odredov 4a
3782 Gornji Grad"
"Aljoša Jarc"|"Pegamova ulica 99
7258 Ljutomer"
"Magdalena Kokalj"|"Prašnikarjeva ulica 9b
7318 Ormož"
"Franjo Žibert"|"Na Straški vrh 236
8560 Turnišče"
"Alenka Kaučič"|"Omersova ulica 396
6990 Metlika"
"Franci Sitar"|"Povšetova ulica 9a
5290 Idrija"
"Albin Zajc"|"Pod Kamno gorico 0c
9028 Vrhnika"
"Metka petek"|"Pot v boršt 3b
1909 Medvode"
"Vid Debeljak"|"Tbilisijska ulica 4c
4418 Trebnje"
"Stanko Bajc"|"Juvanova ulica 5c
1200 Idrija"
"Rozalija Fras"|"Pod lipami 5b
9286 Ribnica"
"Aljoša Kocjančič"|"Marice Kovačeve ulica 5b
3662 Ormož"
"Sebastijan Novak"|"Pot na Drenikov vrh 2a
3031 Radeče"
"Karl Jereb"|"Pod Debnim vrhom 1c
9054 Slovenske Konjice"
"Daniel Volk"|"Hafnerjeva ulica 93
2006 Kočevje"
"Karel Tomažič"|"Dajnkova ulica 6c
9138 Lenart v Slovenskih goricah"
"Andrejka Lavrič"|"Koseška cesta 09
7832 Dravograd"
"Roza Kranjc"|"Tugomerjeva ulica 397
3037 Grosuplje"
"Kaja Bergant"|"Pipanova pot 746
4015 Celje"
"Edin Petrovič"|"Pod hruško 16
1754 Brežice"
"Zora Cerar"|"Šmartinska cesta 7c
2552 Gornji Grad"
"Aljoša Kosi"|"Pegamova ulica 3a
6421 Sevnica"
"Nejc Čuk"|"Vrhovci, cesta XXII 156
2032 Murska Sobota"
"Marjeta Bregar"|"Cesta v Rožno dolino 4b
7402 Gornja Radgona"
"Joško Kotnik"|"Pot Draga Jakopiča 8b
3946 Brežice"
"Peter Železnik"|"Lahova pot 1b
4478 Škofja Loka"
"Damijan Zorko"|"Križevniška soteska 88
5720 Višnja Gora"
"Urška Bergant"|"Obirska ulica 651
2213 Šoštanj"
"Maša Zupan"|"Pretnarjeva ulica 35
1120 Turnišče"
"Lilijana petek"|"Majde Vrhovnikove ulica 4a
0272 Maribor"
"Nadja Pintar"|"Ulica aktivistov 5
3296 Ptuj"
"Aljoša Vidovič"|"Videmska ulica 5a
1908 Vipava"
"Anej Rus"|"Ulica Ernesta Kramerja 194
9865 Šoštanj"
"Hasan Kalan"|"Za progo 42
1204 Kočevje"
"Teja Petek"|"Slavčja ulica 0b
3446 Vipava"
