"Aaliyah Ritchie"|"467 Korokawa Anchorage
Smithleigh 6493"
"Glenn Edwards"|"19 Tahiroa Alleyway
Rongomaunga 8217"
"Alexandra Cresswell"|"336 George Avenue
Carterneath 6135"
"Samuel Morgan"|"866 Marfell-Wood Street
RD 4
Grahamings 5542"
"Robert Davies"|"52 Erin Avenue
RD 5
Warrenburn 4899"
"Matthew Eaton"|"48 Patchett Square
Tahiwhenua 5593"
"Harper Murphy"|"5 Whangataihope Avenue
RD 7
Wairoto 8226"
"Laura Bell"|"7 Matthews-Kendall Pass
RD 3
Mitchellneath 9620"
"Jane Burgess"|"714 Rowe Drive
Benjaminleigh 8693"
"Sarah Judd-Eden"|"23 Walton-Shand Mews
RD 2
Matapuke 5333"
"Colin Johansen"|"284 Williams Crescent
RD 4
Pukemotupuke 5126"
"Kenneth Henderson"|"Apt. 147
1 Willis-Carson Street
Tangiroto 6176"
"Alexandra Evans"|"PO Box 223
Lower Russellmouth 3133"
"Zoe Scott"|"Apt. 934
91 Morris-O'Neill Road
Littleberg 2667"
"Helen Marshall"|"7 Buckley Bypass
Araiti 9729"
"Tracey Tait-O'Brien"|"934 Williams-Patchett Street
RD 8
Orchardstone 6109"
"Michael Chapman"|"9 Koropapapa Terrace
Andersonborough 2425"
"Miriama Bryant"|"Apt. 271
19 Mokokorowhanga Terrace
Rangimakau 2643"
"Raymond Allen"|"764 Bailey Crescent
Loweville 8952"
"Amanda Brown-Bishop"|"2 Alexander Place
Johnburgh 2589"
"Mackenzie Doyle"|"40 Hayley Trail
Mataawawhanga 7505"
"Lily Holland"|"82 Tait Street
Kowhaipukemaunga 5231"
"Alexandra Stace"|"PO Box 39
Gilchristside 5335"
"Thomas Ford-Way"|"3 Gibbs Crossing
RD 8
Papapakawatau 6010"
"Wendy McLean-Kay"|"PO Box 74
Motuwai 9211"
"Abigail Carson"|"50 William Pass
Taiwakakiwi 2648"
"Diane Maxwell"|"40 Terewhitu Drive
Rongotangi 6476"
"Hannah Phillips"|"Flat 26
2 Lloyd Street
Tahitauiti 2299"
"Wayne Barr"|"3 Stevens Alley
RD 4
Rohewakaiti 6178"
"Christina Hoare"|"PO Box 48
Kowhaiwhanga 2363"
"William Buchanan"|"5 Taimata Keys
Kawakoro 8295"
"Richard MacDonald"|"73 Ferguson-Love Road
Tahitoa 8604"
"Alice Green"|"46 Kay Street
RD 7
Rangitau 2639"
"Richard Smith-Jarvis"|"PO Box 2
Wekamoturoa 5342"
"Robert Owen-Murphy"|"2 Harris Road
Papapanui 3835"
"Sarah Campbell"|"418 Thomas Broadway
Hydeleigh 6260"
"Victoria George"|"8 Rotomakau Amble
Tahikawa 8865"
"Margaret Wong"|"50 Manning Trail
Rangiwhanga 5774"
"Hayden Marshall"|"8 Wekapo Street
May Flats 9263"
"Hannah Steele"|"93 Scott-Reid Street
RD 9
Anderson Flats 2495"
"Christine Forrest"|"51 Rohewakawhenua Street
RD 1
Hansenmouth 9841"
"Kate Brown"|"74 Thomas Gardens
RD 4
Maungaweka 4832"
"Alice Jones"|"705 Grant Road
Stevens Hill 2127"
"Marcus Rodgers-Knowles"|"Unit 88
497 Melissa Arcade
Rotoroa 8827"
"Regan Ward"|"95 Darren Road
Hopeburn 8541"
"Michelle Griffiths"|"Flat 68
49 Donald Street
Motukowhai 5164"
"Joan Croad-Thomas"|"3 Smith Street
Kawawhakaweka 8895"
"Mark Christiansen"|"46 Manawakawa Alleyway
Greenleigh 6411"
"Leah Larsen"|"9 Matatangi Track
Tiputai 9656"
"Julia Buchanan-Cresswell"|"7 Wakamanawa Way
Pukerua 3511"
"Bryan Johnston-Gleeson"|"15 McMillan-Anderson Arcade
Campbellmouth 9724"
"Jennifer Forrest"|"399 Forrest Cove
RD 6
Kawarangiroa 9782"
"Alice Knight"|"604 Parkes Avenue
McEwenside 9085"
"Grant Healy"|"951 Waitau Trail
South Mayofort 2011"
"Ella Blackwell"|"2 Thornton Lane
Whangateremotu 5145"
"Harrison Stewart"|"9 David Road
Tautahi 6272"
"Robert Gardiner"|"83 Rotoiti Place
Howellburn 6258"
"Rosemary Clarke"|"PO Box 738
Rangikoro 9292"
"Tayla Stevens"|"Unit 78
31 Arnold Street
Cooksleyborough 9831"
"Kahurangi Murphy"|"49 Griffin Alleyway
RD 2
Mokowakaawa 9282"
"Jamie Rowe"|"PO Box 845
Tahikawa 5531"
"Daniel Smith"|"165 Puketanga Beach Road
RD 9
Hollowaytown 8921"
"Alice Smith"|"Apt. 129
2 Tiputahi Crossing
Debbieport 5739"
"Paige Turner"|"PO Box 509
Rangitahi 8878"
"Matthew Hughes"|"422 Wekapukeroa Place
Papapatangi 9075"
"Chelsea Gray-Williams"|"PO Box 4
Taikiwi 5184"
"Shane Taylor"|"PO Box 761
Hudsonstone 9584"
"Benjamin Murphy"|"19 Burgess Crescent
Matthews Hill 9788"
"Nicholas Chapman"|"6 Papapatai Alley
Parkerfort 8610"
"Craig Jefferies"|"7 Cresswell Cutting
Tanner Flats 9410"
"David Freeth"|"582 Holloway Heights
Stewartberg 8897"
"Samantha Berry"|"76 Williams-Bryant Way
Beattieland 8204"
"Alison Edwards"|"898 MacDonald Street
Johnburgh 5749"
"Glenn Hudson"|"1 Whanganui Terrace
Morrismouth 2538"
"John Russell-Smith"|"Level 6
6 Knowles-Jenkins Street
Waiara 6400"
"Neil Cragg"|"25 Brown Road
Smartfort 5569"
"Amanda Dixon"|"7 Rohenui Crescent
Kawawhenua 2156"
"Matthew Collis"|"144 Gibbons Way
RD 2
Jacksonburgh 2312"
"Jared Todd"|"PO Box 55
New Oliverport 2073"
"Thomas Middleton"|"703 Motupapapakoro Parade
Terenuku 8856"
"Peter Taylor"|"1 Lyon Concourse
Traskburn 6191"
"Kim Scott-Brown"|"48 Pearson-Wallis Arcade
Lower Joneston 8556"
"Alison Muir"|"1 Melanie Road
Scottton 8119"
"Gregory McGill"|"50 Wakamokoiti Road
RD 2
Dicksonport 8165"
"Annette Craw-Monk"|"68 Bryant-Kemp Parade
RD 6
Patrickfort 5879"
"Gordon Carter-Campbell"|"PO Box 2
Evanston 6253"
"Debra Alve"|"2 Charlotte Terrace
RD 7
Kororongo 2020"
"Jason Reid"|"1 Oliver Centre
Whakaroto 5142"
"Sophie Osborne"|"70 Whakahoro Place
Ryanville 6276"
"Nathaniel Martin"|"3 Ngaururotopo Reserve
Wakawakamoko 9256"
"Jessica Jeffries-Richards"|"2 Whangatau Crest
Rachelborough 9796"
"Robert Dyer"|"749 Gardiner-Dickson Street
Pukewhenua 9638"
"Alistair Kerr"|"415 Araiti Arcade
RD 8
Scott Flats 8005"
"Scott Chambers-Tucker"|"Unit 38
49 Prentice Heights
Kowhairoa 2483"
"Louise Fisher-Terry"|"PO Box 633
McCallum Flats 6462"
"Peter Paton"|"Unit 51
971 Thomas Quay
East Dixonfort 2186"
"Anna Evans"|"72 Papapaarakoro Street
RD 2
Taylorfort 8229"
"Olivia Brooks"|"38 Tahitau Broadway
Motuwhaka 3490"
"Helen Anderson"|"Flat 19
791 Wekaranginui Beach Road
Bellton 8628"
"Sam Arnold"|"PO Box 3
Tahiwhitu 9367"
"Deborah Pope"|"PO Box 212
Camerontown 8406"
"Wendy Gill-Blackwell"|"PO Box 402
North Williamsgate 9280"
"Allan Davenport-Watt"|"88 Shaun Street
RD 3
Brownberg 9272"
"Nikau Henry"|"33 Stokes Place
Manawarohe 8535"
"Caitlin Simpson"|"PO Box 294
Ararohe 5751"
"Joanne Freeth-Gibbons"|"62 Maungatoa Court
Larsenburn 8575"
"Geoffrey Dunn-Weston"|"Apt. 991
654 Moturohe Highway
Tairohe 5897"
"Michelle Wong"|"6 Kororoheiti Copse
Lower Morrisfort 5243"
"Sarah McMillan-Berry"|"215 Small Crossing
Tom Hill 3308"
"Andrew Stewart"|"PO Box 3
Whangatanga 6082"
"Adam Bright-Morrison"|"1 Paton Drive
Rohekoro 9749"
"Susan Thomas"|"381 Farland-Haines Street
Popotau 2380"
"Allan Fuller"|"642 Millard-Oliver Beach Road
Mariongate 4378"
"Paul Butcher"|"7 Rongotau Street
RD 5
Tauwaka 9027"
"Matthew Toms"|"Unit 19
86 Cresswell Street
Hughesleigh 5049"
"Lorraine Murphy-Stratton"|"734 Korotapu Range Road
Doyleings 8416"
"Anahera Stratford"|"1 Jessica Flats
Scottmouth 2263"
"Daniel Atkinson"|"92 Botham Avenue
West Beard Hill 9461"
"Joshua Lewis-Todd"|"34 Taipuke Crescent
RD 2
New Holmestown 9428"
"Amaia McLeod"|"PO Box 847
Papaparohepo 6107"
"Jakob Green"|"PO Box 78
Deborahings 5198"
"Christopher Marsh"|"45 Bell Street
Pukewakangauru 5305"
"Allan Hayward"|"92 Taimatawhenua Flats
Lesliebury 9349"
"Mark Joe"|"3 Dobson-Hay Crescent
Grant Hill 9622"
"Ashley Matthews"|"792 Tanginui Terrace
Awakowhai 9866"
"William Rowland"|"577 Tipumaunga Mews
Allanburgh 2166"
"Anita Griffin"|"PO Box 318
Smithside 5333"
"Michelle Low-McEwen"|"834 O'Connell-Marshall Pass
Tipungauruwhanga 1894"
"Isabel Wallace"|"9 Taumotuwhaka Plaza
RD 8
Harrismouth 2259"
"Ian MacDonald"|"Unit 29
7 Taylor Street
Robertsburgh 9757"
"Karen Dyer"|"2 Rongorangi Quay
RD 8
Poara 9002"
"Jacob Saunders"|"944 Humphrey Causeway
RD 2
Andersontown 2119"
"Amanda Day"|"490 Lane Mews
Whangaweka 2066"
"Jennifer Smith"|"302 Tangikorotanga Mews
Manawawaka 9564"
"Ian Davis-Powell"|"600 Rongonui Flats
Boyd Flats 8929"
"Christopher Powell"|"609 Mitchell Highway
Dyerfort 5290"
"Oscar Laurenson"|"9 Whanganuku Street
Rongotangi 8844"
"Anna Gray"|"PO Box 376
Mount Strattonport 5242"
"Ryan McLean"|"2 Gardiner Range Road
Whakatahi 5370"
"Julie Oliver"|"PO Box 407
Tahiweka 5217"
"Kingston Jones-Scott"|"Apt. 801
6 Alve-Esson Crescent
Morganton 8894"
"Kurt Mayo"|"4 Mokotau Street
RD 3
West Wallaceside 2384"
"Amanda Furness"|"5 Tahitapu Crescent
Fergusonneath 6456"
"Michael O'Connell"|"Level 8
608 Amy Terrace
Whangaararua 2009"
"Austin Black"|"70 Smith Road
Davidfort 8950"
"Alexander Sullivan"|"Unit 58
7 Joanne Avenue
Tahitau 9072"
"Marilyn Holmes-Scott"|"640 Tainui Road
Hartport 2544"
"Janine Burton"|"41 Donald Avenue
RD 3
Horomaungakoro 2337"
"Ryder Smith"|"714 Lamb Road
Wekangauru 0418"
"Teresa Sixtus"|"448 Rongotahiwhaka Square
Pukekiwi 9760"
"Judith Gordon-Law"|"42 Davison Street
Puketerenui 5085"
"Niko Lowe"|"PO Box 581
Higginsings 8632"
"Amanda Godfrey"|"928 Wallace Point
Hamiltonstone 6082"
"Angela O'Brien"|"51 Hart-Browne Plaza
RD 10
Bradleybury 9798"
"Hamish Curtis"|"4 Herd Crescent
Craigmouth 2408"
"Yvonne Searle"|"Unit 34
99 Rotowhare Mews
Rangirua 0413"
"Chloe Wallis"|"19 Poole Avenue
Tahikiwi 8026"
"Matthew Allen"|"2 Terengaurutai Road
Fultonmouth 5049"
"Glen Crawford"|"PO Box 214
Robertsborough 8802"
"Mathew Morris"|"2 Hart Point
Hughesborough 9428"
"Timothy Haines-Martin"|"797 Ranginui Broadway
Arakawanui 3892"
"Daniel Smith"|"6 Gleeson Avenue
Pongaurutere 2624"
"Amanda Ham"|"PO Box 3
McManawaybury 2087"
"Emma Butcher"|"Unit 60
8 Kylie Place
Arapapapapuke 9826"
"Abigail Stokes"|"8 Anderson-Davenport Street
Stokesings 7555"
"Donna O'Sullivan"|"437 Bishop Highway
Burr Flats 8853"
"Daniel Reid"|"PO Box 6
East Tanner Flats 8088"
"Carol Wall"|"9 Pukerotowaka Road
Hoareton 0987"
"Joanna MacDonald"|"55 Mokoiti Place
High Wallising 5396"
"Hunter Lane"|"8 Maungawhitu Street
RD 2
Fordland 9465"
"Liam Gibbons"|"Flat 52
5 Ngauruwhaka Heights
West Mearsneath 0843"
"Helen Smith"|"8 Arahope Corner
Puketaunui 2502"
"Amanda McCallum-Murdoch"|"940 Vivienne Road
MacKayings 5832"
"Mark Simpson"|"6 Gill Lane
South Wattborough 5133"
"Luke Burt"|"PO Box 9
Rototai 8299"
"Willow Pearson"|"Unit 13
194 Kowhaiwhanga Street
Fowlerland 2686"
"Sandra Howell"|"150 Nicholas Drive
Motupuke 2246"
"Valerie Wilton"|"Flat 85
386 Arnold-Jamieson Arcade
Jonesville 6055"
"Ashley Phillips"|"769 Potter Place
South McDonaldstone 1411"
"Fiona Currie"|"869 Heather Heights
Horohanga 2134"
"Sienna Burton"|"Apt. 349
1 Corbett-Williamson Court
Motutipumaunga 2414"
"Nicola Nicholson"|"6 Green-Lucas Ridge
RD 7
Baxterton 2454"
"Amanda Parker"|"9 Harris Drive
High Kerrbury 5002"
"Jessica McDonald"|"893 Ngaurukorowhanga Street
RD 2
Wekatai 5358"
"Leah Burt-Goodwin"|"PO Box 8
Kowhaihanga 9319"
"Caitlin Reid"|"PO Box 694
Rotomanawahanga 4871"
"Alexandra Andrew"|"2 Carson Street
Marshallport 5862"
"Nicole Davis"|"PO Box 6
Websterton 5116"
"Edward Jones"|"PO Box 57
Whangamoturongo 5211"
"Madison Moore"|"666 Boon Street
Andersonburn 5538"
"Keira Smith"|"Apt. 492
94 Whangahope Pass
Wharewhitu 6230"
"Holly Sullivan"|"PO Box 8
McCarthyburn 8482"
"Amanda Parsons"|"1 Craig Place
Lake Jenningston 9099"
"Hayley Godfrey"|"PO Box 880
Rotomatakowhai 5785"
"Jane Smith"|"6 Grace Avenue
Matamotu 2112"
"Laura Jeffries"|"29 Andrew Arcade
Julieside 7267"
"Jacqueline Carroll"|"261 Turner-Smith Street
Jensenings 9427"
"Erin Buchanan"|"69 Wairongo Drive
Arahoro 8475"
"Jordan Simmonds-Peters"|"29 Rangiawa Road
RD 5
Rongorongo 2511"
"Barry Rickard"|"835 Eaton Beach Road
North Johnston Flats 5084"
"Benjamin Newman-Smith"|"72 O'Sullivan Street
Arawaka 2655"
"Abby Rogers-Davidson"|"Unit 95
61 Awapapapamaunga Street
Rowemouth 6233"
"Amanda Russell"|"4 Laurenson Drive
Aratipu 6911"
"Addison Williams"|"4 Scott Road
Maungamakau 9435"
"Christopher Small-McDonald"|"178 Pukearatangi Drive
Jonesburn 8880"
"Tina Booth"|"PO Box 413
Whangawakamaunga 8265"
"Matthew Rogers"|"5 McCallum Park
Pickeringmouth 5716"
"Philip Bartlett"|"963 Searle-Harris Anchorage
RD 7
Parkerburn 5058"
"Peter Anderson"|"3 Tiputangi Place
RD 5
Waimotu 9382"
"Shannon Stewart-Allen"|"PO Box 62
McDowallings 8023"
"Sharon Riley"|"225 Tangikoro Alleyway
Kowhaitangiara 9425"
"Claire Gordon-Moore"|"227 Morgan Way
RD 6
Taimaungahope 2431"
"Amanda Smith"|"4 Hart Way
Baldwinbury 5517"
"Jennifer Williamson"|"57 Rototanga Cross
Upper MacDonaldport 2626"
"Julie Edwards"|"3 Koroarawai Road
Griffiths Flats 8524"
"Richard Thomas"|"8 Aroha Street
High MacKenzieburgh 9519"
"Gregory Harris"|"Apt. 871
64 Day Avenue
Horoiti 6948"
"Zoe Smith"|"Suite 646
942 Mitchell Corner
Currieburgh 2212"
"Michelle Tapp"|"8 Campbell-Arnott Way
RD 8
Lake Brownings 2150"
"Sarah Webb-Cook"|"255 Harris Crescent
Tahihope 6931"
"Murray Hogg"|"PO Box 4
Hamiltonings 2085"
"David Miller"|"271 Fuller Street
Rangitoa 8440"
"Amanda Williams"|"PO Box 32
Reevesings 9320"
"Alexander Freeman"|"PO Box 362
McMillanville 8631"
"Judith Simpson"|"4 Taihoro Centre
Grayside 8589"
"Sally Paul"|"Apt. 982
7 Sowman Place
Powhakanui 5181"
"Angela Fuller"|"43 Mann Terrace
Ngauruawa 2080"
"Sarah Scott"|"Apt. 954
24 Hughes Road
Terekawa 5855"
"Douglas Morris"|"67 Wekakiwi Park
RD 8
Rototaikiwi 9869"
"Lee Carter"|"39 Rotohanga Grove
RD 3
Tangimanawa 0728"
"Charlie Way"|"627 Awatauawa Parade
Gillings 5054"
"Noah Hooper"|"372 Pollard Street
Gibson Hill 3433"
"Amanda Woods"|"514 Wharekiwi Alley
RD 10
Ryanneath 6917"
"Glen Cook"|"425 Wharepapapa Beach Road
Kawamaungakiwi 8159"
"Emma Knight"|"Unit 75
7 Thompson Range Road
Wharewhare 9576"
"Aimee Lawson-Ward"|"Level 6
98 Hart Range Road
Monkton 6994"
"Brenda Bright"|"72 Horokawawaka Esplanade
RD 7
Whytestone 6060"
"Dylan Simmons"|"9 Harrison Street
East Daytown 8208"
"Craig Bell"|"Unit 51
272 Rangiaramata Access
Papapawhenua 5778"
"Teresa O'Connor"|"PO Box 854
Pomotuwhanga 7676"
"Olivia Buick"|"931 Araara Grove
North Ewartfort 8284"
"Dylan Reynolds-Martin"|"Apt. 285
27 Emma Range Road
Tahiterekawa 8982"
"Amber Funnell"|"PO Box 9
Martinstone 6091"
"Simon Satherley"|"8 Bailey Place
RD 8
Manawatangiiti 8866"
"Rachael Taylor"|"62 Parsons Road
RD 2
Mokorototangi 9779"
"Gregory Oliver"|"PO Box 5
Wattsleigh 2532"
"Alan Casey"|"541 Whyte Broadway
Montgomeryneath 5257"
"Sophie Pratt"|"PO Box 605
Awawhenua 2599"
"Pamela Orr"|"Unit 17
86 Whangaawa Street
North Harris Flats 8243"
"Megan Bruce-Love"|"9 Mayo-Wills Crest
Prattborough 1957"
"Kelvin O'Sullivan-Cameron"|"117 Terewakahanga Bypass
Gledhillport 6125"
"Brian Martin-Carter"|"PO Box 82
Pagehaven 8296"
"Amber Humphrey"|"48 Gill-Patchett Way
Arawhakaroa 8451"
"Charlie Seymour"|"979 John Pass
Maungamoko 6204"
"Tracey Fleming"|"32 Papapawhero Way
Manawaroto 6153"
"Jessica Cole"|"3 Ward Drive
Maungarangirangi 1244"
"Robyn Gordon-Scott"|"7 Taiwhakarangi Crescent
Brownbury 9393"
"Melanie Howell-Mason"|"417 Clarke-Allen Street
Tautanga 8627"
"Mia Enright-Wilkinson"|"PO Box 5
Mathewings 1064"
"Liam Bird"|"8 Natalie Street
Rongotau 5520"
"Maria Jenkins"|"1 Edwards Street
Craigstone 6053"
"Peter McDonald-Edmonds"|"80 Pratt-Taylor Point
Potangi 9633"
"Amber Robb"|"4 Murray Street
Allenfort 8993"
"Melissa Ferguson"|"55 Richards Esplanade
Taiweka 8819"
"Clinton Smith"|"PO Box 674
Tuckermouth 8671"
"Carolyn Priest-Holdaway"|"607 Joseph Esplanade
Simpsonmouth 5596"
"Katherine Doyle"|"Level 1
98 Wilton Alleyway
Moturoa 2365"
"Beverley Warren"|"48 Ford Plaza
Rangiwhare 2413"
"Trevor MacDonald"|"6 Scott Flats
Kawawekamata 2629"
"Sharon Ryan"|"Apt. 749
832 Cresswell-Davis Keys
Wharekiwi 2203"
"Eleanor Forrest"|"20 Terekororongo Street
Caseyburn 8518"
"Helen Stace"|"562 Poole-Harris Avenue
Moturangitanga 9541"
"Amber Roberts"|"68 Mason Plaza
Smithside 6126"
"Emma Fuller"|"PO Box 490
Arangauru 8045"
"Amelia Marshall"|"697 Grant Street
Wharemakau 5836"
"Leah Faulkner"|"757 Kawamoko Range Road
RD 4
Horotangi 2170"
"Harrison Read"|"2 Tapp Street
Wakatanga 3718"
"Gregory Simmons"|"7 Tiputapu Range Road
Tangitapu 7375"
"Katie Stevenson"|"332 Jonathon Flats
RD 3
Aratai 5718"
"Paul Tait"|"5 Matawaimanawa Crescent
Burgessville 6435"
"Jan Bowden"|"Flat 33
274 Jonathan Street
Tahitoa 5533"
"Suzanne Kelly"|"66 Whakawaka Street
RD 10
Terengauru 5042"
"Amber Smith"|"PO Box 6
Lowhaven 5774"
"Paul Ellery"|"7 Peterson Avenue
Carpenterborough 2191"
"Steven Cook"|"83 Lauren Crescent
Motupapapa 2098"
"Gary Webster-Martin"|"646 Diane Alley
Wainui 9224"
"Barbara Stubbs"|"80 Murdoch-Smith Way
Maungapapaparoto 2235"
"Cameron Gibbons"|"200 Lyon Track
West Pickeringburgh 7627"
"Lily Hyde"|"775 Terewhakawhanga Road
Lewis Flats 5199"
"Tracey Hoare-Johnston"|"82 Banks Avenue
RD 8
Rongowhitu 3496"
"Anthony Kerr"|"PO Box 1
Te Arikiside 8173"
"Elizabeth Baldwin"|"58 Kevin Road
RD 3
McIntoshburgh 6475"
"Amelia Casey"|"26 Smith-McDonald Street
Dixontown 4600"
"Hannah Morgan"|"97 Awamotuwhaka Drive
Kowhaimatahoro 1162"
"Kirsty Higgins"|"PO Box 8
Christophermouth 5294"
"Helen Thompson"|"38 Rowland-Thornton Street
Stewartland 5005"
"Helen Munro"|"805 Hannah Close
RD 5
Wekatere 2017"
"Janice Woolley"|"PO Box 19
Bryantgate 0597"
"Suzanne Anderson"|"8 Wharekowhai Road
RD 3
Mokorohenuku 5091"
"Grace Rogers-Terry"|"PO Box 272
Tauweka 8533"
"Dean Stewart"|"PO Box 454
Burnett Flats 9574"
"Olivia Leslie"|"3 Barrett Point
Rangitere 9295"
"Amelia Jacques"|"63 Mitchell-Joe Circle
Papaparoa 2522"
"Amy Dixon"|"822 Rosemary Point
Taimata 8829"
"Emma Larsen-Greig"|"9 Horomotumoko Avenue
RD 2
Beardhaven 9583"
"Corey Russell"|"9 Blick Street
Adamsland 9807"
"Indie Anderson"|"57 Riley Avenue
Andersonmouth 7107"
"Matthew Turner-Martin"|"38 Moran Crest
West Barkerneath 5084"
"Lisa Powell"|"25 Scott-Drake Track
Mitchellmouth 5383"
"Noah Wilton"|"43 Thomas Beach Road
Knoxtown 6225"
"Jessica Gilchrist-Knowles"|"83 Gilchrist Street
RD 6
Kennedytown 5242"
"Michael Beattie-Thompson"|"PO Box 77
Upper Thomasburn 1925"
"Amelia Schwass-Morgan"|"545 Casey Beach Road
RD 6
Turnering 5243"
"Monique Thomas-Edmonds"|"PO Box 2
Waitanga 9869"
"Zara Phillips"|"78 Harrison Place
Mokokoro 8510"
"Aaron Mitchell"|"76 Joshua Keys
Tahitahi 6420"
"Catherine Sutton"|"PO Box 17
Lake Searleings 2643"
"Heather Allen"|"7 Matarotokowhai Way
Fowlerneath 7840"
"Melanie Jordan"|"PO Box 7
Davieshaven 8952"
"Brett Owen"|"PO Box 37
Greerneath 9201"
"Richard Coleman"|"PO Box 21
Russellside 9331"
"Isaac Nicholson"|"7 MacDonald Road
Rangiara 8200"
"Amelia Smith"|"536 Tairoto Grove
Dawsonhaven 9443"
"Claire Jones"|"PO Box 41
Matatau 2064"
"Katie Horton"|"2 Bull Square
Carterleigh 4779"
"Anthony Hope-Bull"|"7 Stone Circle
Aranuku 9548"
"Ryan Campbell"|"92 Ngaurukiwi Cross
Upper Brooksing 3151"
"Paul Weston"|"65 Lowe Circuit
Rotokowhai 2130"
"Matthew West"|"PO Box 321
Kowhairohepapapa 9214"
"William Williams"|"366 Davidson Broadway
RD 4
Papapatapu 6942"
"Ethan McDonald"|"PO Box 4
Hoodtown 9285"
"Charlie Thomas"|"619 Donald-Pedersen Street
Giffordbury 2286"
"Amy Jackson"|"342 Carter Crescent
RD 9
Rongowhero 5749"
"Geoffrey Hansen"|"642 Shailer-Mitchell Broadway
Aramaunga 8887"
"Stephen Henderson"|"208 Lloyd-Martin Quay
Grahamborough 2594"
"Jack Turner"|"8 David Crescent
Korotere 8587"
"Samuel Morris"|"PO Box 151
Papapanuku 8430"
"Shane Woods"|"61 Ham Rise
Higginsside 8172"
"Jonathan Donaldson"|"16 Hart Drive
Healyberg 2482"
"Kerry Gore-Black"|"4 O'Keefe Crescent
RD 5
Kowhainuku 8089"
"Summer Jackson-Jones"|"780 Franklin-Gray Court
Rohearawhaka 5336"
"Joanne Howell"|"PO Box 59
Westonbury 5526"
"Amy Lloyd"|"398 Horohoro Court
Manawarangi 9307"
"Logan Jensen-Simonsen"|"99 Whyte Alleyway
RD 2
Priceleigh 4236"
"Jenna Aldridge"|"965 Papapaweka Avenue
RD 1
Rohetapu 9291"
"Liam Taylor-Laing"|"603 Rangimaunga Range Road
RD 6
Whakawhero 8202"
"Craig Jones"|"8 Manawahoro Crest
RD 10
Joshuaings 8410"
"Gary O'Donnell"|"176 Ireland Arcade
Wharewhakamata 9715"
"Katie Smith"|"PO Box 8
Tipungauru 3706"
"Rachael Butler"|"105 Ward Street
Awatapu 0982"
"Anne Knight"|"Suite 612
2 Teretaumotu Flats
Butlermouth 5239"
"Beverley Johnstone"|"Level 8
84 McLean Road
Lower Milesville 8093"
"Amy Millar"|"62 Rohewakaawa Circuit
RD 2
Rangipokoro 2144"
"Angela Marshall"|"Level 2
1 Jackson-Davis View
McLeodhaven 9783"
"Angela Mitchell"|"PO Box 428
Wakapukeweka 2672"
"Phillip Mitchell"|"8 Erin Beach Road
Rongorotokowhai 4105"
"Michael Douglas-Jackson"|"7 Marshall Way
Kellygate 2054"
"Bella Steele"|"47 Phillips Place
Butlerside 9424"
"Bella Mercer"|"PO Box 46
Jonesgate 9594"
"Jordan Thompson"|"PO Box 617
Whangaroa 2371"
"George Mason"|"PO Box 73
Evansberg 2505"
"Mathew McKay"|"Unit 33
5 Allan Road
Motuwhakatapu 5281"
"Amy Murphy"|"PO Box 78
Terryport 2234"
"Riley Nicholas-McKay"|"9 Awahanga Cutting
RD 1
Maungapuke 2357"
"Mitchell Woods"|"36 Davey-Harrison Gardens
RD 5
Freemanport 9466"
"Andrew Webb-Hume"|"Flat 29
838 Awangauru Street
Toddleigh 9561"
"Georgia Laurenson"|"457 Wakatahi Street
Barnestown 8462"
"Leanne Strawbridge-Nicholson"|"481 Wratt Esplanade
RD 2
Mokohoro 2034"
"Ann Simpson"|"236 Edwards Street
Horopapapa 8201"
"Christian George-Kelly"|"525 Kowhaiwaka Track
RD 1
Maungawekakiwi 5207"
"Grant Black-Miller"|"3 Howard-Kennedy Alleyway
Patonborough 2074"
"Nathan Davies"|"Level 7
292 Bailey Reserve
Olsenside 5568"
"Amy Porter"|"PO Box 6
Mataterenuku 5897"
"Anthony Drake"|"7 Taihoro Road
Burtberg 6415"
