"Albina Begonja"|"Kapucinske 8
75605 Duga Resa"
"Mladen Frketić"|"Vončinina 5a
85008 Đakovo"
"Katarina Vugec"|"Zamenhofove 6a
66802 Samobor"
"Rudolf Miklečić"|"Jurkovićeva 8a
11601 Ilok"
"Patrik Strinavić"|"Palmotićeva 3a
82124 Vrgorac"
"Mateo Kereković"|"Bakačeva 94
36937 Metković"
"Marija Viljevac"|"Pantovčak 1
32330 Klanjec"
"Božica Erceg"|"Draškovićeva 37
95275 Sveti Ivan Zelina"
"Kata Ljubičić"|"Goljak 0
26500 Kaštela"
"Mirjana Škunca"|"Vitezovićeva 874
06255 Valpovo"
"Andrea Barić"|"Ilica 179
08580 Vrlika"
"Kate Baričević"|"Čačkovićeva 3c/9
62073 Rovinj"
"Danica Cvetnić"|"Skalinska 363
62437 Slavonski Brod"
"Katarina Didović"|"Mletačka 7b
10187 Đakovo"
"Sandra Maćešić"|"Dolac 0b/2
97441 Zagreb"
"Dora Kahlina"|"Skalinska 325
25580 Pakrac"
"Ilija Čuček"|"Vlaška 9c/1
64032 Knin"
"Rudolf Kokanović"|"Krležin gvozd 3c
88977 Đakovo"
"Valentina Rojnić"|"Kraljevečki odvojak 0c
94565 Stari Grad"
"Antonija Buljan"|"Ružičnjak 0a
88999 Labin"
"Andrea Bačić"|"Opatička 993
62864 Vodice"
"Antonija Obradović"|"Male 4
55344 Ozalj"
"Željka Pedišić"|"Jurjevska 4b
78451 Krk"
"Marta Valjetić"|"Gornje Prekrižje 8c/5
48253 Grubišno Polje"
"Šime Bjeliš"|"Radnički dol 9b/1
91297 Solin"
"Barbara Papak"|"Bakačeva 0b
69909 Jastrebarsko"
"Laura Turudić"|"Strossmayerovo šetalište 7
89600 Buje"
"Sanja Bajan"|"Radnički dol 8c/9
46361 Krapina"
"Pavao Gegić"|"Demetrova 8b
36622 Đurđevac"
"Kristina Kovačević"|"Radnički dol 8b/4
02457 Jastrebarsko"
"Andrea Colić"|"Voćarska 4a
13979 Vis"
"Aldo Dretvić"|"Mletačka 0c
04096 Zabok"
"Mia Grgurević"|"Skalinska 5c/2
52287 Zabok"
"Đuro Turudić"|"Kraljevečki ogranak 7a
21778 Dugo Selo"
"Julijana Radman"|"Kraljevečki odvojak 3c/0
51585 Pleternica"
"Barbara Pavić"|"Rikardove 0c
05444 Supetar"
"Zlatko Peharda"|"Arnoldova 1b/2
41868 Oroslavje"
"Ika Plantek"|"Kapucinske 3c
11970 Osijek"
"Mateja Gotić"|"Zmajevac 6b/2
46784 Jastrebarsko"
"Mirjana Kovačić"|"Jadranska 55
81082 Osijek"
"Andrea Drakulić"|"Šestinski vrh 6c
07997 Nin"
"Vera Karmelić"|"Zelenjak 28
47613 Knin"
"Marko Cvrtila"|"Ksaver 89
65115 Orahovica"
"Ante Vrban"|"Mlinarska 144
37950 Imotski"
"Dragica Car"|"Zmajevac 5c
10162 Rovinj"
"Zlatko Barešić"|"Vlaška 8b
11403 Križevci"
"Martina Zrilić"|"Rockefellerova 1b/9
37603 Valpovo"
"Lucija Friščić"|"Tkalčićeva 9
51375 Skradin"
"Lorena Maričević"|"Svibovac 405
20084 Đurđevac"
"Katarina Perišić"|"Glogovac 2c
10099 Solin"
"Andrea Gabud"|"Opatička 5b/3
07320 Čazma"
"Domagoj Brezjan"|"Kapucinske 0b/8
47949 Sisak"
"Kristijan Turk"|"Mletačka 327
88652 Solin"
"Ankica Ćorić"|"Golubovac 87
15442 Obrovac"
"Ivana Horvatić"|"Bosanska 1c
88116 Pazin"
"Dragica Kopjar"|"Kraljevečki ogranak 0b
62818 Karlovac"
"Petar Stojanov"|"Male 4
84697 Dubrovnik"
"Ivka Vučin"|"Naumovac 2a/9
54541 Zaprešić"
"Anđa Raguž"|"Gradec 3a/1
81820 Ludbreg"
"Patrik Kurtoić"|"Perivoj biskupa Stjepana II. 9a/2
00095 Skradin"
"Andrea Galić"|"Kožarska 29
89910 Sisak"
"Dino Karmelić"|"Perivoj srpanjskih žrtava 2b
70004 Senj"
"Saša Rubinić"|"Zamenhofove 1c/5
85788 Kaštela"
"Milica Odobašić"|"Pantovčak 3c
31777 Garešnica"
"Slavica Cestarić"|"Ružičnjak 6
59120 Mursko Središće"
"Bara Alković"|"Kurelčeva 7
89264 Ilok"
"Šime Mimica"|"Bosanska 9b/3
65672 Karlovac"
"Ane Žuvela"|"Goljačke 3a/4
81364 Zadar"
"Vjekoslav Dukić"|"Kurelčeva 12
06465 Omiš"
"Matija Vozila"|"Vrazovo šetalište 38
77987 Garešnica"
"Andrea Kupsjak"|"Glogovac 3a
05896 Koprivnica"
"Nada Branković"|"Klenovac 5a
37029 Pula"
"Miroslav Kokanović"|"Kraljevec II. 0b/1
24917 Novska"
"Vjekoslav Vlašić"|"Zvonarnička 5a
01289 Čakovec"
"Mirjana Cvitan"|"Mletačka 7a
48103 Benkovac"
"Alen Jagarinec"|"Kamenjak 0a
12237 Benkovac"
"Anđa Car"|"Šestinski vijenac 617
11196 Vrlika"
"Marijana Šunjić"|"Višnjičke 3a/6
37730 Ilok"
"Martin Jakupić"|"Rokova 8b/7
70036 Bjelovar"
"Martina Martinović"|"Šilobodov put 5
14928 Čabar"
"Andrea Plantak"|"Kožarska 9a
06462 Cres"
"Nikša Stojnić"|"Goljak 6b/9
03801 Popovača"
"Mato Ozimec"|"Jurišićeva 6a
91967 Gospić"
"Ivanka Kuščević"|"Zelenjak 8b
04606 Jastrebarsko"
"Vlado Jurlina"|"Dolac 9a/7
94455 Petrinja"
"Elizabeta Miloslavić"|"Kaptol 571
56106 Benkovac"
"Romano Boban"|"Bijenička 6b/9
01826 Velika Gorica"
"Đurđica Turina"|"Nemetova 3
47272 Valpovo"
"Štefica Žerjav"|"Mletačka 4c
47421 Zlatar"
"Mirko Milina"|"Bosanska 65
93429 Umag"
"Andrea Poropat"|"Zamenhofova 5b/5
70918 Slatina"
"Leon Jureško"|"Kraljevečki ogranak 5c
98711 Otočac"
"Marica Bogdan"|"Perivoj biskupa Stjepana II. 3a
35047 Pakrac"
"Vedran Šimičić"|"Mletačka 7a/9
50636 Samobor"
"Ivo Starčević"|"Javorovac 0a
64596 Vukovar"
"Nikolina Kostanić"|"Tuškanac 0c
12943 Gospić"
"Anka Bebić"|"Grič 3a/9
67093 Ogulin"
"Ivanka Vučetić"|"Voćarska 6b/7
43382 Drniš"
"Valter Mesarić"|"Nemetova 1c
00869 Vukovar"
"Mislav Vrhovec"|"Mihaljevac 8c
79145 Varaždinske Toplice"
"Andrija Alković"|"Istarska 3a/9
26127 Sveti Ivan Zelina"
"Kata Moscarda"|"Tošovac 897
71134 Knin"
"Elizabeta Lorencin"|"Cmrok 9a
94962 Prelog"
"Vedran Sardelić"|"Skalinska 8a/0
88479 Novigrad"
"Tea Piljek"|"Mlinarska 7c
34148 Glina"
"Valentina Blažek"|"Remetska 7c
82505 Pakrac"
"Kristina Jukić"|"Paunovac 1c
67367 Čabar"
"Milka Pintarić"|"Zavojna 4b
58949 Drniš"
"Davor Baričević"|"Paunovac 8c/1
52255 Ploče"
"Jasna Boban"|"Gračanska 65
98691 Gospić"
"Andrija Bezić"|"Podgaj 4
93679 Hvar"
"Julijana Šestan"|"Vlaška 1c/1
68001 Pakrac"
"Tomo Grgurovac"|"Jagodnjak 7
36591 Ivanić-Grad"
"Janja Risek"|"Donje Prekrižje 5a/7
90378 Lipik"
"Anđa Špika"|"Slavujevac 2a
70353 Vrlika"
"Dražen Perišić"|"Nemetova 6c
12478 Čakovec"
"Dario Bićanić"|"Orlovac 820
76989 Sveti Ivan Zelina"
"Mateo Čukman"|"Gračanska 1b
16681 Donja Stubica"
"Kate Babić"|"Kapucinske 4c
92141 Valpovo"
"Katica Bijelić"|"Petrova 3b
95716 Ozalj"
"Andrija Dončević"|"Male 3
69906 Hrvatska Kostajnica"
"Leon Kurtoić"|"Dubravkin 1c
94824 Knin"
"Mare Rajn"|"Kaptol 3b
53058 Lepoglava"
"Željko Zgorelec"|"Strossmayerovo šetalište 1a/5
61100 Pregrada"
"Biljana Bungić"|"Javorovac 5a/7
66241 Beli Manastir"
"Ivo Gudelj"|"Ljubinkovac 6a
50960 Vis"
"Valter Bingula"|"Wickerhauserova 0
59320 Novi Marof"
"Ilija Šitum"|"Opatovina 9b
26624 Vrgorac"
"Božica Merkaš"|"Rokova 4c
64862 Slatina"
"Patrik Glavan"|"Zamenhofove 7a
89667 Vodnjan"
"Andrija Liović"|"Kraljevečki ogranak 5
38439 Varaždinske Toplice"
"Sara Jurišić"|"Mašekova 6
32234 Oroslavje"
"Ivo Milovac"|"Svibovac 5b/2
59619 Opuzen"
"Albina Drandić"|"Krvavi most 3b
95743 Kutina"
"Eva Ušić"|"Klenovac 315
26957 Sinj"
"Lea Bošnjak"|"Zavojna 332
54773 Poreč"
"Vlado Lenić"|"Grič 0b/0
75302 Knin"
"Nikolina Sikirić"|"Pod zidom 5
69973 Hvar"
"Anton Žufika"|"Kaptol 03
09581 Stari Grad"
"Mato Čagalj"|"Mala 229
75274 Drniš"
"Andrija Piljek"|"Dubravkin 3c/1
38396 Pag"
"Nataša Kukučka"|"Voćarska 1a
16427 Ivanec"
"Duje Zgorelec"|"Klanac Grgura Tepečića 0c
98418 Vodnjan"
"Vjekoslav Bosilj"|"Slavujevac 00
91992 Rab"
"Antun Vlašić"|"Zelengaj 0c/2
90794 Korčula"
"Ivka Kupsjak"|"Dolac 8
19543 Novska"
"Lana Lukinić"|"Klesarski put 65
71401 Donja Stubica"
"Mirjana Lasić"|"Paunovac 669
50391 Makarska"
"Nikola Dominiković"|"Kapucinske 3
20874 Poreč"
"Anka Priselac"|"Arnoldova 537
71595 Donja Stubica"
"Andrija Rašić"|"Dubravkin 9b
42434 Novalja"
"Biljana Starčević"|"Golubovac 68
78016 Karlovac"
"Hana Žugec"|"Zamenhofove 3a/5
50882 Krapina"
"Janko Žunec"|"Tkalčićeva 2
26301 Novska"
"Ruža Šunjić"|"Bosanska 23
20390 Novigrad"
"Đuro Kelečić"|"Ljubinkovac 9c/8
21051 Krapina"
"Božena Peterlik"|"Klesarski put 1a/9
32691 Đurđevac"
"Maja Paradi"|"Remetska 8
06508 Komiža"
"Josip Pribanić"|"Zelengaj 06
97710 Zadar"
"Ivka Gabud"|"Paunovac 3c
82274 Metković"
"Andrija Topić"|"Lisinskoga 4c
15476 Buje"
"Anđela Mardešić"|"Harmica 744
86892 Vodice"
"Nada Galić"|"Petrova 6a/2
28255 Koprivnica"
"Petra Debelić"|"Zavojna 4c
38439 Prelog"
"Mateja Drandić"|"Opatička 9a/6
10310 Krk"
"Milka Vranić"|"Rikardove 1
89355 Klanjec"
"Lana Radelić"|"Gradec 8b/6
20535 Glina"
"Ruža Barbieri"|"Bijenička 905
94017 Valpovo"
"Lidija Kuzmić"|"Dolac 87
75361 Jastrebarsko"
"Anđa Jozić"|"Perivoj srpanjskih žrtava 27
55899 Karlovac"
"Andrija Vlašić"|"Dubravkin 045
46092 Vrgorac"
"Janja Klanac"|"Medvedgradska 8b/1
58949 Rijeka"
"Ane Ugrinić"|"Kamaufova 0
76271 Novigrad"
"Dora Petrić"|"Gupčeva zvijezda 2a
21221 Zagreb"
"Dejan Živić"|"Kožarska 6c
89842 Sinj"
"Niko Valjetić"|"Tuškanac 76
58125 Kaštela"
"David Klarić"|"Vinogradska 7c/4
40122 Samobor"
"Ivo Labaš"|"Dverce 7b
62535 Ludbreg"
"Jasminka Maloča"|"Krležin gvozd 8c
97128 Makarska"
"Franjo Kuzmić"|"Jurkovićeva 5a
03597 Imotski"
"Andrija Šarić"|"Krležin gvozd 4
20955 Đakovo"
"Karlo Kovačić"|"Grič 0
14264 Ivanić-Grad"
"Lea Mustač"|"Mirogojska 3c
51771 Drniš"
"Tatjana Lakošeljac"|"Voćarska 7a
76357 Drniš"
"Jelena Trbović"|"Bučarova 1c/7
57120 Ludbreg"
"Ilija Žiković"|"Mala 3
10709 Kutina"
"Jasminka Hodak"|"Mala 7b
46094 Ilok"
"Alen Miličić"|"Mlinarska 7b/3
92068 Mali Lošinj"
"Slavko Zakinja"|"Gračanska 6a/6
58880 Belišće"
"Albina Semialjac"|"Jurjeve 2a
60755 Rijeka"
"Andrija Šurina"|"Gračanska 0a/6
36178 Vodnjan"
"Boris Buljan"|"Nova Ves 9a
07593 Ploče"
"Sara Šimić"|"Nemetova 2c/8
16922 Komiža"
"Štefica Štefanec"|"Radnički dol 397
69344 Vukovar"
"Mijo Skupnjak"|"Zelenjak 2c
21818 Glina"
"Mihael Martić"|"Istarska 0c/6
71245 Slavonski Brod"
"Veronika Vukobratović"|"Bučarova 3b
23852 Karlovac"
"Lucija Hrastinski"|"Svibovac 29
81897 Drniš"
"Mijo Vrhovec"|"Klenovac 8
51115 Osijek"
"Đuro Stojanov"|"Svibovac 3
00760 Sisak"
"Ane Car"|"Istarska 5a/4
99702 Zabok"
"Zoran Rastija"|"Goljak 9a/4
95782 Slatina"
"Filip Komljenović"|"Jabukovac 3c
52885 Pregrada"
"Antonio Šverko"|"Mesnička 0a
31723 Opuzen"
"Filip Pešić"|"Arnoldova 16
76414 Zadar"
"Jele Gotić"|"Klanac Grgura Tepečića 7c
36199 Otok"
"Dragica Nižetić"|"Zvonarnička 4b
32792 Vrlika"
"Davor Bučar"|"Mlinarska 11
07033 Beli Manastir"
"Šime Boljkovac"|"Skalinska 190
70637 Petrinja"
"Jele Pozder"|"Remetska 52
63061 Kastav"
"Ane Glavan"|"Opatovina 4b
54878 Novi Marof"
"Marko Jakupić"|"Pantovčak 81
78100 Pazin"
"Vjekoslav Bašnec"|"Gupčeva zvijezda 1a
59518 Pleternica"
"Marijan Beraković"|"Ksaver 9c
84253 Split"
"Juraj Hadžić"|"Ljubinkovac 4
49894 Samobor"
"Danica Roso"|"Goljačke 5c
12734 Imotski"
"Zorka Kereković"|"Visoka 5c
34714 Varaždin"
"Ivica Nimac"|"Slavujevac 6
83561 Kutjevo"
"Patrik Šeparović"|"Mlinarska 54
84893 Koprivnica"
"Nikola Vidov"|"Kožarska 6a
30420 Nin"
"Ane Huljev"|"Istarska 4
57654 Rab"
"Mia Maras"|"Visoka 0c
12339 Đakovo"
"Mate Barušić"|"Bosanska 2b
53864 Omiš"
"Kata Pandurić"|"Zelengaj 2a
04362 Slunj"
"Katica Marinović"|"Bijenička 7
67361 Biograd na Moru"
"Barica Matko"|"Golubovac 9
10875 Nova Gradiška"
"Nikola Bušljeta"|"Vinogradska 7b
75997 Belišće"
"Milka Barbir"|"Lisinskoga 46
68906 Zabok"
"Nada Cvenić"|"Gradec 24
89284 Oroslavje"
"Ivica Bojanić"|"Opatička 8a
98880 Kutjevo"
"Ane Kelečić"|"Naumovac 5
94919 Imotski"
"Vladimir Liber"|"Tkalčićeva 3c/5
08568 Sveta Nedelja"
"Biljana Halapir"|"Bosanska 1a/2
47822 Drniš"
"Ružica Kralj"|"Male 9a/6
33536 Kutina"
"Iva Ilinović"|"Javorovac 3a/5
02387 Kaštela"
"Danijel Grgurovac"|"Hercegovačka 7a
76772 Valpovo"
"Franciska Žabjačan"|"Bosanska 7a
99280 Stari Grad"
"Marta Trgovčić"|"Kurelčeva 505
29026 Beli Manastir"
"Antonio Paparić"|"Kamaufova 4b
12608 Klanjec"
"Božo Kosanović"|"Tošovac 3
47950 Lepoglava"
"Ane Mihaljević"|"Šestinski vijenac 0
40703 Daruvar"
"Ivana Crnković"|"Dverce 0b
60717 Delnice"
"Zdenka Grgurević"|"Kamenita 6c/1
08825 Vrlika"
"Ljubica Pavić"|"Zavojna 0c
98079 Sinj"
"Pero Jakuš"|"Donje Prekrižje 1a
44736 Petrinja"
"Mato Šunjić"|"Bijenička 6
05459 Crikvenica"
"Milka Borak"|"Ribnjak 6
16894 Slatina"
"Mateo Matovina"|"Magdićeve 341
50330 Solin"
"Nada Lukša"|"Zelengaj 0
02923 Prelog"
"Milan Derežić"|"Nemetova 2c/7
42883 Hvar"
"Ane Paparić"|"Javorovac 68
30928 Novi Marof"
"Zoran Petek"|"Šestinski vrh 5
88562 Donja Stubica"
"Igor Bebić"|"Tkalčićeva 1a
04719 Opuzen"
"Duje Banko"|"Mesnička 5a
60373 Solin"
"Josip Tomić"|"Kraljevec 4b/3
55858 Sinj"
"Mira Adžijević"|"Vitezovićeva 6a/3
20013 Metković"
"Jelena Jugovac"|"Gornje Prekrižje 7
35008 Zlatar"
"Zora Močibob"|"Ksaverska 4b
22916 Glina"
"Joško Mišak"|"Višnjica 0c
46610 Sveta Nedelja"
"Niko Matko"|"Nemetova 973
57529 Ivanić-Grad"
"Ane Paradi"|"Pod zidom 6
81409 Velika Gorica"
"Željka Hrženjak"|"Nemetova 1a/0
16026 Petrinja"
"Valentina Ivandić"|"Jurjevska 5c
69362 Nin"
"Vera Toić"|"Harmica 3c/3
24890 Split"
"Biljana Tonc"|"Cmrok 4b
38811 Obrovac"
"Mia Darojković"|"Jabukovac 9b
00616 Mali Lošinj"
"Anđa Lisica"|"Vinogradska 4c
51458 Supetar"
"Barbara Milotić"|"Tošovac 5b/1
20077 Novi Marof"
"Ruža Grgurević"|"Kraljevec II. 3c/2
67669 Karlovac"
"Nataša Brletić"|"Podgaj 9
88210 Novi Vinodolski"
"Ane Vugec"|"Novi Goljak 1
99965 Nin"
"Valentina Žic"|"Perivoj srpanjskih žrtava 220
37378 Osijek"
"Vjekoslav Bralić"|"Slavujevac 434
58417 Popovača"
"Dragutin Čargonja"|"Kraljevec II. 0b
11308 Kraljevica"
"Petar Kraljević"|"Dvoranski prečac 2b/8
70598 Čakovec"
"Manda Lisica"|"Mirogojska 9a
40534 Grubišno Polje"
"Danijel Prskalo"|"Donje Prekrižje 1a/0
60590 Vukovar"
"Elizabeta Sršen"|"Jurišićeva 23
14041 Umag"
"Eva Radočaj"|"Grič 5c/9
82952 Poreč"
"Dora Hren"|"Petrova 5b/8
35163 Nova Gradiška"
"Anica Andrašek"|"Kraljevečki ogranak 241
99566 Pag"
"Lara Milas"|"Skalinska 9a
34366 Slunj"
"Ivka Pavin"|"Zeleni dol 4
44669 Čazma"
"Goran Bičak"|"Kraljevec II. 0b
92638 Pregrada"
"Ana Matošević"|"Naumovac 1c/8
63135 Petrinja"
"Valentina Boban"|"Golubovac 753
14512 Đurđevac"
"Patrik Stolnik"|"Opatička 075
38436 Umag"
"Anica Cvenić"|"Bakačeva 3c/8
59650 Kaštela"
"Elizabeta Miše"|"Streljačka 5b/4
37510 Omiš"
"Leon Polić"|"Dubravkin 4c/2
63724 Kaštela"
"Anica Beletić"|"Tkalčićeva 5c/2
94493 Omiš"
"Andrija Milina"|"Jurišićeva 4a/6
47831 Zagreb"
"Saša Ušić"|"Šilobodov put 2b/7
19510 Pazin"
"Ivanka Mihelčić"|"Čačkovićeva 7b/3
76762 Novska"
"Branko Maras"|"Palmotićeva 2a/6
19327 Split"
"Kristina Šipek"|"Ljubinkovac 41
80034 Benkovac"
"Kate Jović"|"Bučarova 92
23622 Orahovica"
"Jasminka Rubinić"|"Grič 6b/2
27605 Bjelovar"
"Milan Pleše"|"Ilica 3c/0
98357 Cres"
"Matea Zeba"|"Streljačka 4
16749 Pleternica"
"Anica Botica"|"Javorovac 9a/2
50519 Pakrac"
"Anđela Madunić"|"Klanac Grgura Tepečića 4c
50238 Umag"
"Andrija Vincetić"|"Opatička 8b
48930 Čakovec"
"Dora Cvetnić"|"Zelengaj 0b
78915 Vukovar"
"Anica Lovrić"|"Pod zidom 5
84825 Kutjevo"
"Kristina Deže"|"Kraljevečki odvojak 4a/8
29623 Vrbovsko"
"Julijana Sošić"|"Gradec 9c
34947 Dubrovnik"
"Zora Tuškan"|"Goljačke 6c
22840 Kaštela"
"Sanja Špoljarić"|"Vončinina 6a
44271 Opatija"
"Jadranka Britvec"|"Tošovac 6a
93884 Nin"
"Anica Duvančić"|"Remetska 0c/7
90334 Popovača"
"Ivana Mirt"|"Kamenita 357
38083 Ludbreg"
"Ema Šibalić"|"Dvoranski prečac 79
93699 Imotski"
"Lovro Koški"|"Dolac 60
61279 Supetar"
"Fran Božić"|"Tuškanac 4b/2
24922 Trilj"
"Vlado Tudić"|"Javorovac 3a/9
51952 Zlatar"
"Lidija Ugrinić"|"Goljačke 3a/6
20651 Vrlika"
"Dino Karagić"|"Klanac Grgura Tepečića 9c
96020 Jastrebarsko"
"Božica Šoštarić"|"Magdićeve 37
32170 Poreč"
"Marina Špoljarić"|"Kurelčeva 48
96347 Valpovo"
"Anica Jagečić"|"Podgaj 6a
51625 Požega"
"Mato Zmaić"|"Perivoj biskupa Stjepana II. 2
96704 Opatija"
"Terezija Mofardin"|"Gračanska 2
52361 Mali Lošinj"
"Zoran Maraš"|"Mihaljevac 3a/0
16418 Pakrac"
"Pavao Hrvojić"|"Rokova 6b
88975 Donja Stubica"
"Renata Kopjar"|"Orlovac 0
83935 Kraljevica"
"Ilija Medić"|"Strossmayerovo šetalište 1
53586 Mursko Središće"
"Tea Kujundžić"|"Bosanska 7
16350 Rab"
"Mihael Vlašić"|"Vijenac 050
04807 Jastrebarsko"
"Biljana Šuran"|"Orlovac 1a/9
68962 Vrbovec"
"Anica Jaković"|"Vlaška 0c
04757 Poreč"
"Miroslav Paparić"|"Gračanska 507
86145 Zlatar"
"Roko Vlašić"|"Kraljevečki ogranak 6
41707 Čazma"
"Erik Čukman"|"Kamenjak 1c
89023 Čakovec"
"Ruža Mesarić"|"Šalata 835
82727 Duga Resa"
"Mare Vincetić"|"Vlaška 0b/9
31514 Krk"
"Vesna Načinović"|"Novi Goljak 795
45521 Umag"
"Vesna Vižintin"|"Vijenac 8c/6
26855 Ilok"
"Sanja Macan"|"Novi Goljak 718
03521 Vodnjan"
"Draga Mudronja"|"Zeleni dol 08
13670 Novi Vinodolski"
"Anica Leščić"|"Vijenac 7
05418 Rovinj"
"Fran Ivančan"|"Radnički dol 565
70743 Bjelovar"
"Mislav Orlović"|"Bosanska 1a
83595 Vis"
"Andrija Perkov"|"Istarska 05
67363 Kraljevica"
"Josip Jasprica"|"Kozarčev vijenac 0b/9
99545 Čakovec"
"Nevenka Debelić"|"Voćarsko naselje 2c/9
91283 Sinj"
"Lea Hrastinski"|"Streljačka 4a
79194 Vrgorac"
"Ivka Jakupić"|"Kamenita 1a
73662 Čabar"
"Anita Vretenar"|"Skalinska 9a/1
87433 Ozalj"
"Marijana Markuš"|"Harmica 943
30996 Labin"
"Anica Radošević"|"Kožarska 0
99236 Lipik"
"Manda Dominković"|"Donje Prekrižje 9a/9
98521 Rovinj"
"Darko Baljak"|"Mlinske 7b/2
59655 Valpovo"
"Elvis Barbić"|"Gornje Prekrižje 3
66095 Kastav"
"Siniša Vižintin"|"Arnoldova 0c
20578 Čakovec"
"Zlatko Merkaš"|"Kraljevec 97
84637 Pleternica"
"Anto Baričević"|"Ilica 19
09183 Čabar"
"Katica Bungić"|"Svibovac 62
78974 Ilok"
"Robert Sokač"|"Splavnica 377
13847 Zaprešić"
"Mara Šverko"|"Jezuitski trg 9
94427 Benkovac"
"Anica Štrljić"|"Voćarska 3b/4
55908 Ploče"
"Lea Klarin"|"Šestinski vrh 7
43342 Knin"
"Gordana Karmelić"|"Tošovac 6b/9
89656 Trilj"
"Mateo Liović"|"Šestinski vrh 0
12246 Mali Lošinj"
"Bara Krželj"|"Šestinski vijenac 0a
95468 Grubišno Polje"
"Anton Dominiković"|"Bijenička 630
33150 Zadar"
"Milica Balinčić"|"Pantovčak 0c/1
54038 Oroslavje"
"Nataša Matana"|"Šilobodov put 0c/1
94048 Crikvenica"
"Kristijan Morić"|"Nemetova 0b
27441 Stari Grad"
"Boris Priselac"|"Kraljevec 5a/6
14265 Rovinj"
"Anita Dragojević"|"Zamenhofove 2a
46328 Virovitica"
"Fuma Turk"|"Jurjeve 230
43932 Buzet"
"Manda Vukobratović"|"Jagodnjak 48
32573 Slavonski Brod"
"Duje Turk"|"Kraljevečki ogranak 9
44761 Orahovica"
"Marija Bingula"|"Jurišićeva 609
63874 Mursko Središće"
"Vjekoslav Stojnić"|"Mala 3c/0
00456 Delnice"
"Božica Ukić"|"Jurjeve 7a
09870 Trilj"
"Lidija Petrić"|"Kaptol 4a/4
84412 Skradin"
"Zlatko Pongrac"|"Vončinina 3c
55691 Split"
"Slavica Županić"|"Opatička 6c/4
95122 Opuzen"
"Anita Kocijančić"|"Krvavi most 0c
46277 Drniš"
"Ljiljana Radin"|"Golubovac 5a
84562 Benkovac"
"Karlo Botica"|"Šalata 9a/4
67913 Mursko Središće"
"Mladen Zgorelec"|"Jurjevska 912
25457 Hvar"
"Anita Medved"|"Opatovina 78
08377 Kutina"
"Mirjana Grbac"|"Podgaj 0b
20828 Duga Resa"
"Bruno Meić"|"Perivoj srpanjskih žrtava 9c
79275 Skradin"
"Matija Brletić"|"Šumski prečac 3c/1
38440 Novi Vinodolski"
"Jakov Madunić"|"Zelengaj 7b/9
94981 Čakovec"
"Danijela Žuvela"|"Remetska 3b
94531 Pazin"
"Anita Leščić"|"Novi Goljak 1c/9
24874 Dubrovnik"
"Sanja Gracin"|"Vlaška 6a/8
03893 Labin"
"Vera Lasić"|"Tkalčićeva 5a/2
99210 Virovitica"
"Lidija Bungić"|"Kožarska 0c/8
29925 Samobor"
"Julijana Pozder"|"Šestinski vijenac 801
49948 Petrinja"
"Luka Viljevac"|"Jurišićeva 8a/5
41884 Novska"
"Danijela Puškarić"|"Vijenac 1b
65434 Kutina"
"David Mavra"|"Višnjica 2a/3
37258 Imotski"
"Snježana Nikolić"|"Jurišićeva 8a
67903 Slatina"
"Dušan Lasić"|"Jurjeve 0c
76904 Umag"
"Anita Novak"|"Visoka 21
50814 Zadar"
"Zdravko Papak"|"Srebrnjak 9b
68687 Rijeka"
"Marin Obradović"|"Magdićeve 0c
91818 Vodnjan"
"Laura Gotić"|"Donje Prekrižje 70
02696 Vrbovsko"
"Dejan Štrljić"|"Šilobodov put 3
86711 Labin"
"Maria Matas"|"Hercegovačka 7c/0
49297 Vodice"
"Terezija Jagarinec"|"Novi Goljak 929
38738 Ludbreg"
"Ivanka Šeparović"|"Lobmayerove 13
31373 Slunj"
"Lea Puharić"|"Mašekova 6a/1
93760 Kutina"
"Zdravko Modrić"|"Mlinarska 2a/8
58129 Beli Manastir"
"Anita Šuran"|"Šilobodov put 8
60178 Novska"
"Marin Radman"|"Kaptol 7b
74014 Ivanić-Grad"
"Mladen Maršić"|"Petrova 681
00741 Ludbreg"
"Rozalija Brajković"|"Rokova 6a
11121 Drniš"
"Rudolf Raguž"|"Klesarski put 4b
58238 Požega"
"Nikola Peharda"|"Kurelčeva 0a/8
94072 Pazin"
"Lana Lelas"|"Medveščak 5b/8
23576 Sisak"
"Zdravko Buršić"|"Mirogojska 4
79145 Kutjevo"
"Aldo Požega"|"Medvedgradska 5a
34429 Opuzen"
"Andrea Orlović"|"Mlinovi 2a/3
10257 Nova Gradiška"
"Anka Balić"|"Ljubinkovac 1c
88145 Drniš"
"Hana Čiš"|"Opatovina 4c
60077 Glina"
"Matija Vladislavić"|"Medveščak 0b
26793 Orahovica"
"Vjekoslav Ribičić"|"Remetska 7a
99225 Nin"
"Mara Pintarić"|"Arnoldova 8b/9
10745 Novska"
"Tomo Mičetić"|"Magdićeve 83
46152 Daruvar"
"Boris Milovac"|"Kamenita 5
30049 Vrgorac"
"Tomo Perkov"|"Ksaverska 1b/6
67578 Komiža"
"Dražen Ozimec"|"Gradec 8c/0
32316 Čazma"
"Rudolf Kovačević"|"Dubravkin 7c/4
91620 Otočac"
"Anka Brlas"|"Draškovićeva 099
50825 Virovitica"
"Katarina Borošak"|"Remetska 98
58779 Umag"
"Vesna Kelečić"|"Wickerhauserova 7c/9
38174 Belišće"
