"Albina Babić","Davor 19
73856 Novska"
"Đuro Forjan","Paunovac 4c
72320 Karlovac"
"Karla Orbanić","Voćarska 6c
92110 Grubišno Polje"
"Franjo Mamić","Glogovac 2c
37432 Varaždin"
"Andrija Belošević","Rockefellerova 59
33250 Virovitica"
"Stjepan Vincetić","Palmotićeva 282
43830 Donji Miholjac"
"Elvis Tisaj","Kamenjak 5a/4
42010 Đurđevac"
"Šime Raljević","Demetrova 0b/4
22119 Trogir"
"Dino Čuljak","Ribnjak 3c/5
60482 Bjelovar"
"Jasna Paradi","Mesnička 4c
64613 Buje"
"Martina Buzov","Glogovac 78
35630 Mursko Središće"
"Marijana Brandić","Medvedgradska 480
19967 Zadar"
"Željko Car","Draškovićeva 627
39799 Novigrad"
"Barbara Sošić","Dubravkin 8
95683 Grubišno Polje"
"Andrija Bojanić","Kraljevec 7c
66582 Pleternica"
"David Koščević","Kraljevečki odvojak 624
61957 Osijek"
"Marijana Štimac","Voćarsko naselje 5b/2
90024 Senj"
"Andrea Martinić","Rokov perivoj 2b
87008 Virovitica"
"Luka Rubeša","Kožarska 6c/3
57143 Popovača"
"Alen Herout","Istarska 8
23339 Grubišno Polje"
"Šime Rašić","Javorovac 1a
03357 Lipik"
"Branko Klarić","Zavojna 0c/5
52486 Buzet"
"Laura Urlić","Šestinski vrh 3b/1
08072 Buje"
"Igor Zanoški","Mlinarska 3b/6
69714 Buzet"
"Andrija Botica","Krležin gvozd 283
61635 Stari Grad"
"Mateja Čudić","Kamenita 46
50459 Dubrovnik"
"Antonio Herout","Zamenhofova 058
88098 Popovača"
"Jure Predovan","Šalata 0a
48954 Gospić"
"Terezija Bojanić","Novi Goljak 8a/4
43765 Lipik"
"Vedran Stošić","Rikardove 8
07356 Vrbovec"
"Vera Brletić","Draškovićeva 7c
56921 Imotski"
"Mira Carić","Tuškanac 11
31485 Hrvatska Kostajnica"
"Anton Dražić","Medveščak 6a/7
36234 Supetar"
"Štefica Jerković","Jurkovićeva 8c/9
21862 Cres"
"Andrija Britvec","Bučarova 9b/3
63037 Našice"
"Milan Špralja","Bosanska 3
59410 Slunj"
"Marin Tuđa","Orlovac 1c/0
01187 Kutina"
"Gordana Kaniški","Ilica 9c
69401 Opatija"
"Andrija Dominković","Mlinovi 1b/9
96054 Ludbreg"
"Viktor Smolić","Grič 2c
74764 Vrlika"
"Zora Matošević","Draškovićeva 3b
33764 Rovinj"
"Sanja Škrlin","Jurišićeva 15
80921 Knin"
"Andrea Tudor","Lobmayerove 1b
50496 Požega"
"Veronika Mesić","Gornje Prekrižje 0a/2
01561 Ivanec"
"Andrija Hadžić","Kamenita 2c
78638 Našice"
"Gordana Totić","Medveščak 0c
79921 Komiža"
"Toni Barušić","Voćarska 523
58259 Dubrovnik"
"Željko Sabol","Ljubinkovac 8c/5
18815 Oroslavje"
"Lovro Petrić","Harmica 7a/3
17878 Rovinj"
"Tomislav Dražić","Kapucinske 848
92199 Bjelovar"
"Jozo Komar","Mlinske 5a
22697 Trogir"
"Slavica Nišević","Zeleni dol 1c
39611 Kutina"
"Danijela Jurković","Opatovina 73
28173 Donji Miholjac"
"Ivanka Bosilj","Kamenita 567
82416 Šibenik"
"Andrija Lukša","Ljubinkovac 7a
69100 Drniš"
"Renata Dukić","Zvonarnička 725
79426 Đakovo"
"Dora Prskalo","Nova Ves 3c/6
14985 Ivanić-Grad"
"Domagoj Macan","Bosanska 7b
58863 Glina"
"Danijel Šegović","Splavnica 8c/2
88663 Sveti Ivan Zelina"
"Kata Rahija","Petrova 5a
50863 Vrlika"
"Saša Branković","Zamenhofove 1b
49714 Omiš"
"Marina Mimica","Vitezovićeva 4a/9
54811 Delnice"
"Igor Čupić","Medveščak 5b
67882 Samobor"
"Marina Surać","Svibovac 8b
90146 Mali Lošinj"
"Andrija Morić","Rockefellerova 8a/6
95838 Skradin"
"Janja Bosilj","Horvatovac 4
03587 Našice"
"Damir Ivšić","Mašekova 4b
74988 Benkovac"
"Vladimir Kuščević","Ksaver 59
63068 Krapina"
"Katarina Martinčević","Goljačke 2b
25403 Pula"
"Vesna Cestarić","Opatovina 157
95667 Slatina"
"Mislav Bolčević","Gornje Prekrižje 105
22105 Slatina"
"Miroslav Kokorić","Demetrova 7c
10730 Grubišno Polje"
"Lovro Ražov","Mihaljevac 6c/5
38617 Karlovac"
"Anton Vitasović","Bakačeva 8c/4
82490 Našice"
"Ane Bogdan","Jabukovac 1c
53671 Hrvatska Kostajnica"
"Mate Bebić","Mala 4c/6
36256 Zadar"
"Marko Kos","Skalinska 5a
65041 Makarska"
"Matea Buršić","Kamenita 7c/2
89440 Lipik"
"Anton Tepeš","Jurišićeva 7b
15637 Zagreb"
"Denis Birkić","Zmajevac 4c/7
30109 Poreč"
"Zdenka Buršić","Gradec 9b
43079 Kutina"
"Valentina Jurišić","Nemetova 087
84975 Belišće"
"Janja Šinković","Kozarčev vijenac 9a/7
65698 Biograd na Moru"
"Lucija Matković","Kraljevec 1b
72321 Split"
"Ane Cukon","Istarska 0c/2
95595 Sveti Ivan Zelina"
"Marijana Merkaš","Klesarski put 2a
96532 Karlovac"
"Slavica Šupraha","Voćarsko naselje 7c
84911 Pula"
"Danijela Botica","Podgaj 0b
74205 Rijeka"
"Dominik Norac","Mala 5c/1
05066 Popovača"
"Rozalija Cvetnić","Ružičnjak 3
30706 Lepoglava"
"Milka Prelec","Tkalčićeva 2
20733 Ludbreg"
"Matija Bojanić","Kamaufova 88
72546 Vrgorac"
"Martina Britvec","Medvedgradska 42
44670 Čazma"
"Ivanka Hren","Nemetova 72
75073 Koprivnica"
"Ane Komljenović","Zamenhofove 6a/9
55034 Otok"
"Nina Karamarko","Mlinarska 8b
67788 Duga Resa"
"Marijana Jonjić","Kurelčeva 4a/0
62724 Daruvar"
"Ante Matulin","Donje Prekrižje 9b/5
14652 Vrgorac"
"Branka Kostanić","Orlovac 7
30830 Buje"
"Mirjana Tušek","Jurjeve 2
16001 Belišće"
"Sara Šalić","Kaptol 22
45859 Vukovar"
"Zdenka Bačak","Lisinskoga 0b/8
84100 Metković"
"Sandra Benić","Opatička 7a/9
94318 Vrbovsko"
"Branko Markanjević","Bakačeva 9c/7
42354 Pakrac"
"Ane Priselac","Jezuitski trg 7b/0
39950 Pazin"
"Veronika Rogošić","Vončinina 7a/7
94016 Omiš"
"Vesna Morić","Rokov perivoj 3
30581 Imotski"
"Jele Triplat","Mesnička 75
70042 Pula"
"Maja Damijanić","Zvonarnička 2b/2
36781 Buzet"
"Rudolf Đurinić","Mašekova 8c/0
64487 Sisak"
"Jasminka Palić","Šestinski vijenac 1a/5
03592 Jastrebarsko"
"Dominik Gligora","Skalinska 939
04494 Vrbovec"
"Veronika Žugec","Šalata 31
06552 Glina"
"Siniša Plažanin","Kozarčev vijenac 0a/6
78705 Benkovac"
"Ane Rahija","Goljačke 0b/3
80287 Garešnica"
"Šime Cvrtila","Glogovac 9a/8
04118 Đurđevac"
"Renata Štefanec","Radnički dol 7b/2
34851 Labin"
"Erik Volarević","Klesarski put 1a/0
61063 Sveti Ivan Zelina"
"Filip Bračun","Bijenička 7b
46670 Zaprešić"
"Goran Gracin","Paunovac 3c/6
88939 Sveta Nedelja"
"Dominik Karuza","Klanac Grgura Tepečića 1c/0
19617 Ivanić-Grad"
"Goran Rakuljić","Kraljevec II. 5a/0
69577 Novalja"
"Mia Kršanac","Krvavi most 2a
73595 Slatina"
"Danica Karuza","Lisinskoga 1a
27261 Senj"
"Ane Rahija","Jurišićeva 9b
06082 Opatija"
"Jele Horvatić","Šestinski vrh 7b/8
52980 Varaždin"
"Branka Kahlina","Draškovićeva 9c/4
47494 Krk"
"Dario Jonjić","Šilobodov put 5a
06584 Trogir"
"Bruno Miletić","Višnjica 8c/6
03851 Lipik"
"Miroslav Kršanac","Kamenita 1
48329 Ozalj"
"Pavao Botić","Rokova 3a
78057 Osijek"
"Mira Jovanović","Golubovac 1b/3
05304 Vrlika"
"Zdenka Dujmović","Cmrok 3b
73567 Buje"
"Dora Čizmić","Golubovac 7b/1
07810 Duga Resa"
"Ane Roce","Nova Ves 3b
70288 Đurđevac"
"Šime Pečur","Jabukovac 37
56523 Belišće"
"Marijana Matko","Zelenjak 1a
99043 Stari Grad"
"Lucija Vugdelija","Dolac 5a/0
48769 Samobor"
"Vesna Mužina","Bučarova 5a/2
80588 Metković"
"Željko Žabjačan","Pantovčak 7
07681 Daruvar"
"Mislav Radolović","Ribnjak 0b/8
02195 Đurđevac"
"Stana Peroš","Ilica 9a/7
06406 Rab"
"Mirko Zanoški","Strossmayerovo šetalište 5b/3
82461 Koprivnica"
"Martina Terlević","Klenovac 243
29264 Crikvenica"
"Ane Vugdelija","Jurjeve 1a/4
97622 Korčula"
"Rozalija Medić","Dverce 1c/8
45256 Komiža"
"Nikša Jurić","Jagodnjak 291
06923 Crikvenica"
"Ana Kokanović","Skalinska 2b/4
38513 Buzet"
"Ivo Ričko","Šestinski vrh 6
18630 Prelog"
"Matea Bojanić","Dvoranski prečac 4c/0
62063 Ploče"
"Gordana Blažević","Zavojna 0b
16476 Valpovo"
"Božena Šitum","Vončinina 3c
69980 Koprivnica"
"Filip Antolković","Rokov perivoj 0c/0
00676 Zaprešić"
"Damir Nikolić","Šestinski vrh 1
41980 Korčula"
"Ane Čuljak","Wickerhauserova 2b
51769 Opuzen"
"Marija Jonjić","Gupčeva zvijezda 2b
76332 Ilok"
"Nika Kalazić","Palmotićeva 7b
15620 Imotski"
"Rudolf Prskalo","Krležin gvozd 5c
93268 Popovača"
"Antonija Škrtić","Kamaufova 5c
97412 Sveta Nedelja"
"Julijana Jakovljević","Klesarski put 7
23944 Hrvatska Kostajnica"
"Biserka Perčić","Lobmayerove 3b/0
33042 Stari Grad"
"Danica Kevo","Glogovac 8
94462 Delnice"
"Antun Marijanović","Opatovina 2c
25555 Gospić"
"Marin Božić","Vinogradska 6
17477 Kutjevo"
"Anica Antonić","Rikardove 4
47584 Donji Miholjac"
"Nenad Sladonja","Goljak 5c
30996 Vinkovci"
"Sanja Valjetić","Pod zidom 9b
04369 Đurđevac"
"Marko Špoljarić","Šestinski vrh 77
30770 Donja Stubica"
"Jelena Malnar","Klanac Grgura Tepečića 8a
94879 Popovača"
"Ljubica Zrinski","Donje Prekrižje 4c/6
64491 Karlovac"
"Janko Labaš","Mlinovi 1a
83532 Kutina"
"Ljubica Antić","Palmotićeva 6
00882 Kraljevica"
"Mladen Totić","Wickerhauserova 11
64954 Dugo Selo"
"Tomo Pokos","Rokova 1a/7
72588 Sveta Nedelja"
"Anica Bajan","Vijenac 09
34943 Sinj"
"Karlo Tešija","Jezuitski trg 038
32046 Ploče"
"Anđela Odobašić","Opatička 9a/5
32726 Lipik"
"Juraj Cvrtila","Kaptol 8a
32497 Valpovo"
"Pero Kršanac","Bosanska 5b
53096 Samobor"
"Mate Bralić","Mesnička 459
92984 Rijeka"
"Jasna Tepeš","Perivoj biskupa Stjepana II. 3b/2
58543 Đakovo"
"Ivana Peharda","Dverce 3b/3
08334 Slatina"
"Matija Macan","Kaptol 1c/8
44913 Obrovac"
"Ivanka Crneković","Mlinarska 6a
17376 Obrovac"
"Anica Duvančić","Novi Goljak 6a/4
31281 Zlatar"
"Alen Žerjav","Dubravkin 3c/0
88620 Nova Gradiška"
"Zora Dominiković","Mlinarska 1b
90299 Čakovec"
"Mira Rebić","Svibovac 1
13231 Dubrovnik"
"Jelena Norac","Ilica 4c/0
04693 Duga Resa"
"Ante Poropat","Kraljevec 3c/1
20959 Kastav"
"Sandra Kalazić","Ilica 9
23922 Ivanić-Grad"
"Renata Trnski","Zvonarnička 8c/9
56272 Hvar"
"Matea Gegić","Novi Goljak 3c
67111 Pazin"
"Sandra Belošević","Medvedgradska 9a/6
89129 Petrinja"
"Anica Grbac","Nova Ves 246
03940 Gospić"
"Ivka Rašeta","Svibovac 2a
17842 Ozalj"
"Jadranka Rahija","Skalinska 3a
21906 Vukovar"
"Lucija Đurašević","Mirogojska 6a/6
91218 Dugo Selo"
"Kata Kolega","Voćarsko naselje 0b
26744 Zlatar"
"Janko Kunac","Kaptol 8b
12934 Mursko Središće"
"Matija Majstorović","Golubovac 98
84001 Poreč"
"Ivanka Đurinić","Šalata 6c/6
88311 Vrbovec"
"Ivanka Borojević","Vitezovićeva 5b
55687 Mursko Središće"
"Saša Ljubić","Rokova 0a
78612 Kastav"
"Anica Koščević","Podgaj 203
73899 Našice"
"Ljiljana Mihelčić","Medvedgradska 7c/5
59741 Pleternica"
"Andrea Cvenić","Lobmayerove 5c
07353 Zabok"
"Nenad Čukman","Dverce 438
07614 Opuzen"
"Valter Bogadi","Zavojna 2a
98125 Duga Resa"
"Marica Marković","Medvedgradska 6c/0
60458 Pregrada"
"Zvonko Jurjević","Bakačeva 420
97244 Vrbovsko"
"Lidija Antonić","Šestinski vijenac 7b
61115 Zadar"
"Terezija Rijetković","Horvatovac 1
69966 Vinkovci"
"Anton Vučetić","Mirogojska 3a
77223 Trogir"
"Anica Križan","Harmica 2a/7
30472 Daruvar"
"Ljubica Mikić","Slavujevac 0c/3
52241 Stari Grad"
"Lorena Bogović","Davor 33
33954 Hrvatska Kostajnica"
"Milka Martinić","Šestinski vrh 6c/7
58514 Rab"
"Marko Terzić","Ksaverska 1b
71646 Slavonski Brod"
"Viktor Bačak","Pod zidom 7
94381 Vrlika"
"Mijo Gabud","Medvedgradska 4b/1
36755 Jastrebarsko"
"Marijana Vižintin","Petrova 931
51966 Čazma"
"Duje Špralja","Zamenhofova 815
87663 Vrbovec"
"Jakov Aničić","Vlaška 8
43623 Korčula"
"Anica Kršanac","Naumovac 1a
05031 Ogulin"
"Ika Surać","Vijenac 8a/2
11140 Zaprešić"
"Danica Cukon","Voćarsko naselje 386
11871 Gospić"
"Roko Rahija","Višnjičke 8b
52129 Rab"
"Kristina Čuljak","Paunovac 5c/2
35351 Poreč"
"Pero Sinožić","Gradec 4
59677 Pakrac"
"Štefica Bunić","Mesnička 5b/5
14871 Zlatar"
"Draga Sakač","Radnički dol 919
44493 Pula"
"Matija Pavelić","Gornje Prekrižje 8c
51893 Metković"
"Marica Oršulić","Goljak 4a/9
97151 Ludbreg"
"Anica Ljubičić","Mašekova 7
90959 Cres"
"Rudolf Vitasović","Voćarsko naselje 598
44675 Rijeka"
"Zoran Zmaić","Voćarska 7a
99174 Novigrad"
"Matea Jakuš","Dverce 0c/0
86219 Novigrad"
"Davor Semialjac","Mašekova 8a/2
35046 Rovinj"
"Luka Piljek","Tuškanac 32
90691 Otočac"
"Janko Barać","Palmotićeva 6a/1
36714 Drniš"
"Lucija Šestan","Vrazovo šetalište 2a
61360 Drniš"
"Lara Frketić","Demetrova 8a/7
19858 Orahovica"
"Jele Đurašević","Strossmayerovo šetalište 3b/1
91767 Pleternica"
"Anica Lukšić","Gradec 6c
63950 Otok"
"Anita Hrabar","Javorovac 65
42041 Velika Gorica"
"Jasminka Kostelac","Ribnjak 8b
11065 Trilj"
"Slavica Martić","Tošovac 0c
60111 Vodice"
"Stjepan Paradi","Pantovčak 7c/2
70595 Bjelovar"
"Davor Didović","Kaptol 93
58052 Stari Grad"
"Nataša Šimić","Nemetova 100
77145 Sveta Nedelja"
"Maria Radović","Davor 9a/1
23826 Čabar"
"Darko Jakovljević","Rokov perivoj 497
76196 Varaždin"
"Luka Vrhovec","Bakačeva 84
27809 Kutjevo"
"Anica Marjanović","Mlinske 72
86172 Senj"
"Davor Klanac","Mlinarska 30
96669 Trilj"
"Lovro Ladavac","Klesarski put 0c/9
17997 Čazma"
"Damir Šimara","Višnjičke 43
69643 Donji Miholjac"
"Igor Lukinić","Svibovac 0a/5
64765 Virovitica"
"Katica Šipek","Splavnica 4b
05429 Gospić"
"Marijan Rubinić","Šumski prečac 5c
69974 Korčula"
"Biserka Radman","Vončinina 5a/0
04098 Sveti Ivan Zelina"
"Denis Jakovac","Kraljevečki odvojak 5c
07818 Solin"
"Eva Žabjačan","Kaptol 910
87681 Buzet"
"Anica Meić","Klenovac 8b
81977 Zadar"
"Zdravko Šarić","Vijenac 90
93586 Križevci"
"Goran Lovrić","Jadranska 302
23532 Gospić"
"Josip Štrljić","Remetska 6b
92679 Vukovar"
"Ivo Barić","Vitezovićeva 592
94053 Makarska"
"Zorka Vranić","Klenovac 83
55733 Otočac"
"Ana Matko","Jagodnjak 8a
50952 Omiš"
"Terezija Brlas","Kozarčev vijenac 1c
93920 Delnice"
"Mijo Govorčinović","Vrazovo šetalište 629
96952 Ludbreg"
"Tatjana Markuš","Golubovac 103
51965 Đakovo"
"Anica Miletić","Glogovac 0c
68396 Vinkovci"
"Marina Štrljić","Davor 72
54095 Imotski"
"Erik Bošnjak","Tkalčićeva 9a
59584 Novi Vinodolski"
"Zorka Marijanović","Kraljevečki ogranak 3c/6
62882 Ivanec"
"Toni Boban","Gupčeva zvijezda 9a
23001 Sveta Nedelja"
"Jasna Paradi","Zvonarnička 1a/3
28711 Jastrebarsko"
"Nevenka Rubeša","Jurjevska 0b
50596 Opuzen"
"Joso Bernardić","Visoka 1c/0
99556 Pakrac"
"Marijan Bogović","Vitezovićeva 7c/6
27562 Krk"
"Pero Šitum","Šestinski vrh 4c/5
07824 Orahovica"
"Anica Mimica","Remetska 1a/5
58732 Duga Resa"
"Aldo Mišković","Mašekova 7a
45843 Solin"
"Jelena Marić","Remetska 5c
31020 Čakovec"
"Eva Štrbac","Wickerhauserova 5a
41713 Zlatar"
"Domagoj Sedlar","Bosanska 7a
50930 Opuzen"
"Mladen Pavić","Opatovina 6c
19566 Opuzen"
"Dora Volarić","Ljubinkovac 1c/9
97219 Donja Stubica"
"Dražen Birkić","Remetska 2a
31746 Šibenik"
"Iva Petrović","Bosanska 7
78899 Poreč"
"Ivo Maloča","Tkalčićeva 214
63159 Slatina"
"Anica Novak","Mala 1b
96831 Belišće"
"Lucija Bjeliš","Kaptol 0
95065 Kraljevica"
"Barica Barać","Perivoj srpanjskih žrtava 7c/1
30507 Garešnica"
"Dario Keleković","Tošovac 4a/5
97181 Našice"
"Milica Škoda","Dubravkin 637
58052 Varaždin"
"Maria Matokanović","Gornje Prekrižje 9b
23015 Otočac"
"Anđela Crnković","Perivoj biskupa Stjepana II. 3a/6
75394 Orahovica"
"Romano Borojević","Jurišićeva 6a
16546 Trilj"
"Bruno Šarlija","Golubovac 8c/3
84845 Novska"
"Tatjana Vincetić","Dolac 5a
67799 Vrgorac"
"Anica Sršen","Kurelčeva 2c
83951 Grubišno Polje"
"Jure Borošak","Rokova 477
42029 Kutjevo"
"Erik Brcko","Višnjica 34
17375 Osijek"
"Alen Matković","Ksaverska 547
68859 Duga Resa"
"Erik Rajčić","Lisinskoga 8b/3
55859 Koprivnica"
"Filip Ljubić","Vitezovićeva 101
57839 Valpovo"
"Duje Kurtoić","Mihaljevac 1c/0
04233 Supetar"
"Draga Simić","Nemetova 3b/4
26649 Gospić"
"Slavko Rašić","Kaptol 619
82896 Đakovo"
"Jadranka Kadija","Svibovac 6a/2
50691 Imotski"
"Anica Šuran","Javorovac 4c/6
02686 Donji Miholjac"
"Dragica Cvetković","Dolac 075
36979 Metković"
"Milica Bučar","Mlinske 98
75222 Trogir"
"Ane Brletić","Mlinske 6c
21325 Glina"
"Martina Franičević","Vitezovićeva 30
12069 Novi Marof"
"Ivka Pavković","Vinogradska 98
11383 Rab"
"Mare Šokčević","Arnoldova 866
58623 Zabok"
"Andrea Seničić","Zelengaj 194
15474 Valpovo"
"Mihael Perić","Kapucinske 74
57373 Karlovac"
"Jasna Hrastinski","Voćarska 2c
22764 Sinj"
"Anica Šurbek","Kaptol 306
01275 Buzet"
"Josip Polović","Tošovac 213
86088 Vukovar"
"Saša Husnjak","Glogovac 3b
39210 Varaždinske Toplice"
"Štefanija Valjetić","Wickerhauserova 30
26064 Kastav"
"Ivana Abičić","Splavnica 9c
70088 Pag"
"Janja Mikulčić","Dvoranski prečac 9c
84029 Vrgorac"
"Dražen Hardi","Zavojna 6c/5
56343 Koprivnica"
"Julijana Nižetić","Strossmayerovo šetalište 5b/1
09943 Vrbovsko"
"Maja Tudor","Bosanska 5b/8
16962 Vrbovsko"
"Anđela Kostanić","Zavojna 0c
76246 Varaždinske Toplice"
"Anica Šverko","Višnjičke 2b/7
75475 Grubišno Polje"
"Janko Kligl","Remetska 82
61173 Vodice"
"Marija Šitum","Nova Ves 1b
24084 Grubišno Polje"
"Jasna Križan","Lobmayerove 4a/2
43070 Glina"
"Patrik Tomljanović","Strossmayerovo šetalište 9c/6
28160 Bakar"
"Elizabeta Bogović","Svibovac 3
42677 Krapina"
"Zlatko Stipanović","Hercegovačka 6
38089 Ivanec"
"Saša Culi","Kožarska 6c
76852 Rab"
"Ema Stipanović","Dolac 6b
50137 Jastrebarsko"
"Kate Makovac","Mirogojska 3a
12155 Solin"
"Anita Ferenac","Kraljevečki odvojak 4b
79021 Omiš"
"Vladimir Mustapić","Mirogojska 3b
74178 Vrlika"
"Hrvoje Lenić","Gračanska 744
12160 Vrlika"
"Igor Dragobratović","Orlovac 874
42551 Pregrada"
"Davor Knežević","Čačkovićeva 3c
64750 Bjelovar"
"Romano Pecotić","Tošovac 3
76251 Dugo Selo"
"Rozalija Vrhovec","Vlaška 9c/5
67812 Križevci"
"Lana Tolj","Mihaljevac 48
21796 Pleternica"
"Mirko Vučetić","Zamenhofove 93
61595 Drniš"
"Ivana Guštin","Jurišićeva 2a/0
58511 Prelog"
"Anita Franjić","Medvedgradska 9c/6
65406 Pag"
"Toni Šegović","Palmotićeva 6b/8
06988 Drniš"
"Boris Keleković","Golubovac 0b/3
73448 Crikvenica"
"Vera Bolčević","Kamaufova 2a
23953 Orahovica"
"Tomislav Čubrić","Paunovac 96
80663 Vinkovci"
"Fran Rađenović","Kamenjak 36
65228 Klanjec"
"Sara Ražov","Zeleni dol 9b/4
41114 Čazma"
"Željka Vugec","Bijenička 0b
35545 Slavonski Brod"
"Vedran Gelemanović","Zvonarnička 753
95343 Ogulin"
"Đurđica Jakovac","Istarska 8a/4
75647 Popovača"
"Anita Galešić","Tkalčićeva 510
96019 Vrlika"
"Marija Milevoj","Srebrnjak 3a/0
46773 Ogulin"
"Mia Štefović","Grič 7a
39546 Poreč"
"Toni Šurina","Bučarova 9
35581 Daruvar"
"Nevenka Miličić","Zvonarnička 3b
29534 Krapina"
"Pavao Jurković","Kraljevečki ogranak 7a
26025 Donji Miholjac"
"Laura Zelić","Krležin gvozd 0c/2
60872 Prelog"
"Milica Peterlik","Mlinske 6a/9
51886 Rab"
"Boris Žerjav","Jurišićeva 0c/3
73454 Novi Marof"
"Ljiljana Žufika","Ilica 0a
45158 Vrbovsko"
"Anita Mamula","Dubravkin 6b
73594 Orahovica"
"Zorka Mateša","Tošovac 6
71863 Slatina"
"Ana Medved","Rokov perivoj 1a/3
69735 Vrbovec"
"Anica Orbanić","Kamenita 60
59124 Klanjec"
"Jasna Hrastinski","Krvavi most 2a
84761 Dubrovnik"
"Mira Žufika","Dolac 756
01810 Valpovo"
"Tatjana Škara","Voćarsko naselje 1a/5
74313 Novi Vinodolski"
"Milica Gržinčić","Vrazovo šetalište 1c/9
48419 Drniš"
"Mirko Madunić","Rokova 582
49740 Slavonski Brod"
"Sanja Bjeliš","Radnički dol 306
59415 Obrovac"
"Anita Raljević","Zmajevac 3a/2
67769 Beli Manastir"
"Martin Ribičić","Dvoranski prečac 8a/4
37089 Trogir"
"Zora Vugdelija","Rikardove 1c/1
03346 Delnice"
"Barbara Turudić","Opatička 4c
79872 Ogulin"
"Hrvoje Zrilić","Rokova 1a
79763 Pag"
"Valentina Mraović","Perivoj srpanjskih žrtava 1b
33133 Pula"
"Robert Božiković","Jezuitski trg 84
27679 Hvar"
"Božica Sobota","Petrova 619
91149 Novska"
"Petra Miloslavić","Vitezovićeva 1c
46649 Imotski"
"Milena Božičević","Jagodnjak 8c
74200 Labin"
"Anita Šturlan","Tkalčićeva 577
87730 Crikvenica"
"Andrea Milevoj","Male 26
18916 Omiš"
"Gordana Pozder","Naumovac 0b
77158 Belišće"
"Ivo Kovaček","Šestinski vijenac 7a
02884 Lipik"
"Joško Tuškan","Jabukovac 88
05333 Zlatar"
"Dalibor Bogović","Mlinovi 9
32054 Buje"
"Đurđica Brezjan","Visoka 2a/9
22188 Trilj"
"Martina Pokas","Palmotićeva 1a
13925 Sveti Ivan Zelina"
"David Labaš","Bakačeva 7c/0
03603 Poreč"
"Katarina Mišak","Kapucinske 2b/3
97503 Lipik"
"Anita Šunjić","Nova Ves 1b/5
03777 Popovača"
"Karla Stančin","Perivoj srpanjskih žrtava 8a/8
83703 Orahovica"
"Vedran Mičetić","Zvonarnička 2b/3
94054 Omiš"
"Marica Šimičić","Zamenhofova 6b/3
11224 Samobor"
"Jure Milotić","Kamenita 1b/7
25017 Ivanić-Grad"
"Viktor Magić","Ksaver 7b/9
88487 Vrgorac"
"Mira Dominković","Jurišićeva 9c/2
30227 Beli Manastir"
"Marina Lazar","Tuškanac 2
55369 Vrbovsko"
