"அகண்டலன் எட்டப்பன்"|"746 இசைவேந்தன் ஷம்பு
தாவண்கரே 748806"
"ஷ்வேதங்க் மணிமலை"|"1 வடிவு பவதாரணி
நெய்வேலி 783241"
"ஆதி"|"09/682 ரஞ்சனா ஏழிசைச்சுடர்
மொரதாபாத் 913982"
"எழில்"|"8 உண்மைவிளம்பி அகுல்,
நாகப்பட்டினம் 822217"
"இசை மணிக்கொடி"|"991 இசையேந்தல் நவிதா
திருச்சிராப்பள்ளி 293562"
"யோகராணி"|"137 பரணி
தன்பாத் 708045"
"எல்லி"|"65/3228 எழிற்கோமகன் ஏழிசைக்கனி
விசாகப்பட்டினம்-272958"
"எழிலிசை ஸ்னேஹல்"|"25 தணிகைமுருகு அகவழகு
கொச்சி-697388"
"இசைமகள் ராஜதுரை"|"9 ஸ்ரீனா மணிச்சுடர்
மதுரை 317762"
"கண்மதியன்"|"3 மணவழகன் எழிலாம்பல்
குண்டூர்-850757"
"அகல்யா"|"42/0767 ஷரண்
அகமதாபாத்-746415"
"உத்தம் ரகுராம்"|"44/4285 அகத்தியன் யாழின்
புவனேசுவர் 834456"
"ராசாத்தி மணியரசன்"|"281 மணிகண்டன் வானத்து
லூதியானா 264538"
"ஆதிநாராயணா சஞ்ஜோக்"|"4 ஹம்ரிஷ் வர்ஷினி
குண்டூர்-903455"
"வர்ஷினி"|"7/3 யூகேஷ் தங்கக்கதிர்
திருப்பூர் 543438"
"அகலறிவன்"|"7340 ரங்கநாயகி
நாகர்கோவில் 747325"
"ஆகாஷ்"|"31/975 பசந்த் தனுஷ்கா
குமாரபாளையம் 855979"
"ராஜசேகர்"|"40/309 யாழ்மொழி
கோட்டா 443625"
"பவித்ரா"|"4258 ஆத்மஜா,
அகமத்நகர் 737598"
"தனக்கோட்டி"|"24 உமையம்மை நன்மொழியன்
விஜயவாடா-999507"
"அகல்யா"|"43/763 நன்னன்
கயா-444239"
"நம்பியருள்"|"79/45 கண்மதியன் ஸ்ரீநிவாஸ்
திருப்பூர் 010106"
"ஹரிஹரன்"|"410 அக்ரூர், பதுமனார்
கோயம்புத்தூர் 585194"
"பகுபலி ஆதித்யபிரபா"|"80/43 ஷக்தி
மீரட்-377601"
"ராஜகுரு"|"6340 நம்பிள்ளை தத்தை
கயா 142647"
"கண்மலர் ஆதியரசி"|"73/6764 ஆதிநாராயணா
கோரக்பூர் 402130"
"உலகநங்கை"|"5935 வண்ணமதி
போபால் 749625"
"சஃபா"|"2 ஸயூரி
நெய்வேலி-167728"
"ஸ்ரீலா நடராஜன்"|"737 நாகமணி
பெங்களூரு 822041"
"ஒளிமுகம்"|"5082 ஏழிசைப்பாமகள் இசையறிவன்
காஞ்சிபுரம் 105738"
"அகல்யா"|"6 உலகநங்கை
மொரதாபாத் 173718"
"மணிக்கதிர் கடம்பா"|"74/14 எல்லி எழிலி
பொகாரோ 742149"
"ஹவினாஷன் நன்மணி"|"1512 சங்குமணி
கரூர் (கரூர் மாவட்டம்) 523893"
"ஷஸ்வத்"|"04/62 ஷிச்சி
புதுக்கோட்டை-817831"
"யாழைப்போல்"|"16/0044 ராகினி ஆதிசக்தி
திருச்சிராப்பள்ளி-648497"
"நளாயினி ஸுப்ரீத்"|"027 இசக்கிமுத்து
கொல்கத்தா பெருநகர் 107901"
"சச்சிதாநந்தம்"|"62/841 ராஜீவ்
ஜோத்பூர்-003149"
"அகில் கனகவள்ளி"|"0/8 யேகம்மை
காரைக்குடி-457044"
"ஷரினி"|"26/5666 சத்யநாராயணன் ஒளிமுகம்
பாவ்நகர்-589825"
"ரக்ஷிகா ஹர்ஷிதா"|"7405 ஹர்ஷினி
அகமத்நகர் 438358"
"அகல்விழி"|"129 ஆதிசேஷா
அவுரங்கபாத் 929275"
"அகரன்"|"17/136 பத்ருஹரி
திருப்பூர் 389689"
"ஆதிமறை உத்கர்ஷா"|"64/4407 வத்ஸலா கடம்பன்
கோலாப்பூர்-233072"
"பவதா"|"25 அங்கணன்
கோயம்புத்தூர்-200273"
"இந்துஜா"|"24/32 மணியம்மை மணியம்மை
சிலிகுரி-448860"
"ஷபரி"|"9/2 வணங்காமுடி ஒளிமதி
குல்பர்கா 424518"
"மணிமன்றவாணன்"|"9525 இசையரசி
அஜ்மீர்-537077"
"ஹிரண்யா இசைமொழி"|"18/3687 சங்குமணி
உதகமண்டலம்-815378"
"வசுதா அக்ஷா"|"5842 ஸ்ரீநிதி நம்பியூரான்
ஸ்ரீநகர்-247287"
"யாழ்பாடி மணிகண்டன்"|"30 உத்தவ் சசி
திருவனந்தபுரம் 144623"
"அகல்விழி"|"762 பகத் உன்மேஷ்
கோரக்பூர்-772364"
"சங்கிலி"|"104 ராகவன்
கரூர் (கரூர் மாவட்டம்)-473845"
"யாழ்நங்கை உலகநேயம்"|"86 இசைவேந்தன்
புதுச்சேரி-116805"
"உதயபரிதி"|"4/3 யாழ்ப்பாணன் மஞ்சள்
அம்ரித்சர்-154184"
"இந்திகாப் வண்டமிழ்"|"7735 இக்பால்
காஞ்சிபுரம்-665168"
"உதியஞ்சேரல்"|"41 இசையொளி அக்ரோதனன்
ராய்ப்பூர்-262868"
"தங்கராஐ;"|"04 ஊர்வசி
உதகமண்டலம்-657163"
"யஷ்வந்த்"|"43/3204 ஹன்சா தங்கத்தமிழ்
அவுரங்கபாத்-364535"
"மங்களா"|"55 பகீரதன் ஆதர்ஷ்,ஆதேஷ்
சாங்கலி 852237"
"பகுமித்ரன்"|"5/1 ஷதா மங்கையர்க்கரசி
குடியாத்தம் 828935"
"அகழ்மேனி ஷதாக்ஷி"|"857 நன்னூலன் பவானி
ஹுப்ளி-தர்வாத்-753018"
"எழில்"|"753 நம்மாழ்வார்
கோர்பா-884424"
"சங்கெழில்"|"15 ஏகராஜ் மணிநிலவன்
ஓசூர் 718797"
"சடகோபன்"|"1/3 எல்லி யாழ்மொழி
மும்பை பெருநகர் 061791"
"அகலன்"|"02/86 ரங்கநாயகி எழினி
அகமதாபாத் 880382"
"வர்ணவதி"|"25/01 ஸெடெஃபானியா
நெய்வேலி 671764"
"யோகாநந்தன்"|"1/3 ஒளவை
கரூர் (கரூர் மாவட்டம்)-260379"
"ஷோபன் சஃபா"|"46 ஆஞ்சல் ஆசிரா
மதுரை 681260"
"மங்களா"|"37/373 ஷத்ருஞ்ஜய்
வேலூர்-702069"
"ஹலிமா ஷ்னேகல்"|"66/916 யாழரசி கண்மணி
துர்காபூர்-848520"
"அகழ்மேனி"|"01/07 சத்யவாணன் ரமணி
அமராவதி-732952"
"பத்மினி"|"62 எழில்மதி ஸுப்ரியா
கோரக்பூர்-463716"
"ரஞ்சிதம்"|"1/0 இடைக்காடன்
ஹுப்ளி-தர்வாத் 855522"
"பதிரன் பன்னீர்"|"12/77 கடம்பா ஆதி
உதயப்பூர் 876142"
"மணிமுடி"|"2/3 ஒளிர்நிலவன்
கோர்பா-303015"
"ஐஸ்வர்யா"|"7261 மணிமொழி
கோயம்புத்தூர்-691228"
"நறுமுகை மணிக்கதிர்"|"4398 மணியொளி ஏழிசைக்குரிசில்
நெய்வேலி-004990"
"யூகேஷ் மணிமலர்"|"731 ஆடற்கோமகள் ஆகர்ணா,
மொரதாபாத் 717412"
"ஹர்ஷிதா வமகேஷி"|"328 தங்கமதி
மும்பை பெருநகர் 052471"
"உஜிலா"|"866 யோஸ்னிதா ஹேமந்தினி
திருநெல்வேலி 596198"
"அகவன் அகிலங்கடந்தான்"|"51/804 வசுதா நம்பிகுட்டுவன்
ஜெய்ப்பூர்-278887"
"ஆத்மஜா, இந்துஜா"|"64/91 ராஜகோபால் கசரா
வாணியம்பாடி-812278"
"கடலரசன்"|"148 தங்கவேலன்
வாரணாசி-905468"
"ஆனந்தசாகரன்"|"01/51 எழிற்கதிர்
கயா-462300"
"ஸ்ரீகா"|"78/245 யாழிசை
கரூர் (கரூர் மாவட்டம்) 508585"
