"Adrian Aasen"|"Bøeplassen 64, 8771 Aas"
"Thomas Henriksen"|"Amundsenholtet 1, 2944 Tonjeeid"
"Liv Evensen"|"Berntsengata 84A, 7527 Bakken"
"Johan Edvardsen"|"Solheimringen 3, 1152 Berntsen"
"Fredrik Mathisen-Moen"|"Ahmedberget 5, 4744 Ritadal"
"Andrea Arnesen"|"Henriksengrenda 3, 9246 Saravåg"
"Kåre-Alexander Solberg"|"Dahlholtet 84, 8710 Britthelle"
"Cathrine Myhre-Nygård"|"Andersenkroken 9, 9988 Tveit"
"Marte Andreassen"|"Andreassenskrenten 5C, 8672 Nguyen"
"Hans Kristensen"|"Solheimlunden 90D, 2890 Brekke"
"Reidun Gulbrandsen"|"Amundsenstubben 33, 2335 Jensen"
"Sissel-Anita Aasen"|"Hagengata 8, 3913 Mathiasstad"
"Hanne Abrahamsen-Aasen"|"Andersenbakken 1E, 6664 Reidunnes"
"Jon Tangen"|"Sivertsenvollen 3D, 7712 Ivareid"
"Hanna Simonsen"|"Johnsenengen 54A, 3057 Karlhamn"
"Andrea Eriksen"|"Haugenberget 04D, 9285 Eliassen"
"Tonje Lien"|"Hauglandløkka 37B, 4032 Greteberg"
"Maren Lund"|"Aunehaugen 05A, 5451 Gunnhelle"
"Jonas Ali"|"Myhrehaugen 1, 9844 Danielsen"
"Håkon Birkeland"|"Nguyenvollen 8, 0819 Livø"
"Ingeborg Berge"|"Abrahamsenmoen 30C, 8931 Stinefjord"
"Joakim Sæther"|"Rønningberget 5, 8046 Maystad"
"Anna Isaksen"|"Edvardsenspranget 973, 9831 Eivindbø"
"Ole-Harald Moe"|"Aunelunden 5, 6845 Mariusstad"
"Janne-Bente Myklebust"|"Hellandroa 2C, 9984 Espenborg"
"Andrea Iversen"|"Martinsengata 8, 7728 Mariahamn"
"Marit Arnesen"|"Solbergmarka 5, 2053 Ruud"
"Eli Rønning"|"Hagenalléen 6, 6872 Roarberg"
"Christian Brekke"|"Christenseneggen 611, 3428 Royborg"
"Petter Thomassen"|"Rønninghavna 1, 2279 Rogerhamn"
"Sigrid Mathisen"|"Rasmussenhavna 6D, 2746 Lindadal"
"Karin Ødegård"|"Johannessenholtet 7, 0457 Holm"
"Janne Danielsen-Aas"|"Bakkevollen 5C, 6640 Annsund"
"Prof. Helge Haugland"|"Holmhavna 8, 4540 Ivarhelle"
"Alexander Nielsen"|"Ruudekra 878, 5536 Isaksen"
"Andrea Karlsen"|"Eriksenlunden 29, 8214 Cathrinehamn"
"Jenny Hauge"|"Fredriksentunet 7, 4642 Rønning"
"Linn Solheim"|"Knudsentjernet 5, 7079 Olastrøm"
"Kåre-Emil Arnesen"|"Lundetjernet 91A, 2832 Engen"
"Elise Brekke"|"Sandvikvika 36, 5557 Arildhelle"
"Else Andresen"|"Berntseneggen 9, 5840 Evensen"
"Mette Næss"|"Kristoffersentoppen 2A, 7403 Jenssen"
"Nina Sørensen"|"Ruudstien 68C, 1430 Ruud"
"Magnus Karlsen"|"Haugbråten 5, 2274 Larsen"
"Dr. Arne Solberg"|"Danielsenhøgda 3, 1131 Halvorsen"
"Andrea Madsen"|"Solheimalléen 41, 2079 Håkondal"
"Terje Sandvik"|"Nielsengjerdet 97A, 6233 Egilvær"
"Jonas Jacobsen"|"Myhregjerdet 97, 5973 Iversen"
"Cecilie-Randi Fredriksen"|"Jakobsenkollen 6, 8600 Berge"
"Silje-Elisabeth Hansen"|"Ødegårdlyngen 62, 1768 Randihavn"
"Hanna Ahmed"|"Knutsenhaugen 98, 8666 Sondrevik"
"Ann-Turid Helland"|"Martinsenmoen 8, 3796 Dagø"
"Frank-Kim Bakke"|"Andreassenrøa 1, 5026 Isaksen"
"Markus Haug"|"Aasenengen 7, 5466 Hauge"
"Torbjørn-Jon Myhre"|"Karlsenekra 5, 0704 Johnsen"
"Andrea-Linn Tveit"|"Jørgensenløkka 87, 4132 Oladal"
"Dr. Eivind Helland"|"Myklebusttjernet 16C, 3633 Malinøy"
"Irene Berntsen"|"Mikkelsenhøgda 890, 5217 Johannessen"
"Jørgen Aune"|"Ruudringen 24, 0994 Sigurdstrøm"
"Liv Myhre"|"Haughøgda 9B, 2764 Vik"
"Kirsten Lien"|"Auneroa 96, 5889 Kristoffersen"
"Lars Birkeland"|"Martinsenhøgda 27B, 8417 Torsand"
"Erik Simonsen"|"Madsengjerdet 43, 9312 Jennymark"
"Rita Martinsen"|"Nilsenmarka 3, 7406 Idahelle"
"Hege Jenssen"|"Christensentjernet 536, 1817 Kristoffersen"
"Andrea-Trine Amundsen"|"Abrahamsenstubben 54A, 1603 Svendsen"
"Anne-Kari Olsen"|"Thomassenholtet 9, 5357 Christensen"
"Svein-Ole Myklebust"|"Hansenbakken 322, 4181 Rolfeid"
"Tor Johansen"|"Liespranget 78B, 1584 Andreasodden"
"Marius Moen"|"Bergebråten 3, 2107 Ruud"
"Stig-Petter Svendsen"|"Iversenhaugen 89D, 5071 Engen"
"Cecilie Johannessen"|"Moestykket 305, 1222 Anetteeid"
"Thea Solheim"|"Jakobsenvika 14A, 0695 Mayfjell"
"John Bakken"|"Moenberget 20, 7835 Hansmark"
"Kjersti Amundsen"|"Simonsenengen 96, 6720 Eide"
"Andrea-Wenche Brekke"|"Evenseneggen 7D, 3585 Tovebø"
"Dr. Asbjørn Thorsen"|"Kristiansenhøgda 88, 3887 Helland"
"Ingeborg Rønning"|"Andresenhavna 4, 1949 Hagen"
"Håkon Isaksen"|"Holmhøgda 8F, 7910 Tveit"
"Mathias-Tom Hansen"|"Myhreholtet 73B, 8936 Paulsen"
"Simen-Sigurd Ødegård"|"Sætherspranget 86F, 8171 Ingridfjell"
"Arild Vik"|"Sætherhagen 74E, 7715 Øyvindmark"
"Tobias Halvorsen"|"Amundsenstubben 9, 8987 Knudsen"
"Tove-Jenny Ødegård"|"Jacobsenstien 8E, 4792 Sæther"
"Trine Paulsen"|"Rønningstien 2, 5499 Iversen"
"Andreas Birkeland"|"Thomassenåsen 61, 0991 Jenseid"
"Tonje Jørgensen"|"Isaksengropa 82, 6626 Linedal"
"Martine Strøm"|"Iversenfaret 5G, 1476 Solveigfjord"
"Heidi Solberg"|"Hanssenstranda 3, 8361 Helenestrøm"
"Martin-Stig Antonsen"|"Andreassenlyngen 869, 2487 Astridfoss"
"Eivind-Martin Arnesen"|"Johnsengrenda 046, 5172 Markuseid"
"Kristoffer Hanssen-Holm"|"Jensenskrenten 27, 5919 Lie"
"Thomas Hagen"|"Andreassenjordet 02, 0392 Roarnes"
"Julie Jakobsen"|"Bakkengropa 24, 0428 Kennethvær"
"Kjersti Nielsen"|"Karlsenholtet 68, 4343 Beritvær"
"Andreas Bøe"|"Andreassenvika 81B, 8948 Christensen"
"Olav-Adrian Hansen"|"Amundsentoppen 7, 5732 Irenehamn"
"Linn Vik"|"Arnesengrenda 98, 3208 Hegevåg"
"Steinar-Espen Bakken"|"Thorsenåsen 61, 5209 Jørgeneid"
"Gunn Jacobsen"|"Christensenløkka 91, 4254 Sveinstad"
"Anette Hansen"|"Gulbrandsenløkka 78, 4285 Lisesund"
"Martine Evensen"|"Bakkebråten 4, 5016 Roarsand"
"Sigrid Johannessen"|"Lienroa 15, 2125 Danielsen"
"Jens-Arne Nilsen"|"Andresenåsen 3, 2248 Pettersand"
"May-Anne Ali"|"Antonsenkollen 5, 5965 Eirikdal"
"Andreas Bøe"|"Pettersenhaugen 340, 7841 Astridvik"
"Trine Berge"|"Sandvikskrenten 5A, 4686 Asbjørnsund"
"Stine Evensen"|"Larsenengen 63, 3577 Norafjord"
"Rolf Andresen"|"Sandviklyngen 8, 5757 Rolfborg"
"Christian Haugen"|"Eidekroken 8, 8780 Knutsen"
"Håkon Rønning"|"Haugjordet 77, 4769 Aas"
"Ragnhild Brekke"|"Bøebakken 3, 5671 Steinfjord"
"Ann-Britt Birkeland"|"Strømlunden 10, 2579 Halvorsen"
"Frode Hauge"|"Iversenengen 74F, 5484 Ali"
"Sondre Eide-Bakke"|"Sivertsenhagen 6, 0778 Kristiansen"
"Andreas Kristensen"|"Henriksenekra 2, 9087 Hansvåg"
"Karin Karlsen"|"Eriksensvingen 24A, 8262 Thorsen"
"Kjetil Moe-Gundersen"|"Lundeberget 5, 4043 Randihamn"
"Randi Andresen"|"Eliassentjernet 6, 6783 Lund"
"Sigrid Birkeland-Holm"|"Pedersentoppen 2, 8206 Espeneid"
"Johannes Henriksen"|"Sørensenlyngen 4C, 4630 Moen"
"Anders-Asbjørn Thorsen"|"Knutsenhøgda 6, 9766 Knutsen"
"Emilie Antonsen"|"Arnesenrøa 05, 9698 Sveinhamn"
"Elise Antonsen-Aasen"|"Engenmyra 573, 0820 Ingerås"
"Martine Holm-Myklebust"|"Andersenhagen 823, 9895 Bøe"
"Andreas Nielsen"|"Arnesenengen 715, 2154 Robertnes"
"Jorunn-Irene Lund"|"Dahlmarka 95, 0605 Emilieeid"
"Eivind Danielsen"|"Holmvika 04, 7468 Frankhavn"
"Frank Nielsen"|"Evensenåsen 7, 7426 Astridvik"
"Eirik-Håkon Næss"|"Hagentoppen 9, 9551 Dagborg"
"Håvard Jørgensen"|"Halvorsenberget 9, 4041 Strøm"
"Magne Ellingsen"|"Knudsenhøgda 5, 4629 Elsegrunn"
"Martine Antonsen"|"Myklebuststranda 2, 9048 Johnsen"
"Karoline Sæther"|"Hagenstien 64, 6202 Antonsen"
"Ellen Olsen"|"Svendsenåsen 167, 8735 Rogerby"
"Andreas Nielsen"|"Bergekra 3, 3609 Eligrunn"
"Kristine Bakke"|"Knudsentjernet 8, 2475 Trondgrunn"
"Jens Næss"|"Henriksenalléen 34, 0471 Evafjell"
"Kari Simonsen"|"Solheimbakken 6E, 0220 Nguyen"
"Vilde Haugen-Jakobsen"|"Ødegårdgjerdet 01F, 6409 Olafjell"
"Anders Haug"|"Aasenhavna 26, 7657 Jenssen"
"Dag Pedersen"|"Hansenstubben 27A, 0497 Rasmussen"
"Roy Thorsen"|"Tangenskogen 166, 2847 Petterborg"
"Nora Ødegård"|"Lundestykket 24, 5780 Kristensen"
"Adrian-Roger Jensen"|"Isaksenstubben 3, 6601 Lund"
"Andreas Nygård"|"Ahmedeggen 7, 5104 Knuthamn"
"Øystein-Alexander Johansen"|"Thomassenengen 30E, 2054 Edvardsen"
"Hanne Sivertsen"|"Andersengjerdet 6, 2062 Kristensen"
"Irene Holm"|"Johansenringen 5, 9242 Ingeborgsund"
"Frank Jørgensen"|"Aasenberget 56, 6593 Jørgensen"
"Anna Hansen"|"Haugeekra 9, 4369 Oddberg"
"Trond-Sebastian Aune"|"Jenssenrøa 678, 9292 Malinfoss"
"Vilde Sivertsen"|"Haugegjerdet 2, 0940 Julieås"
"Else Pettersen"|"Antonsenalléen 7, 6386 Kristoffersen"
"Tone Myhre"|"Lundtunet 77H, 5196 Christensen"
"Andreas Rasmussen"|"Solheimgrenda 4A, 9758 Joakimbø"
"Thomas-Alexander Berge"|"Dahltunet 43B, 4097 Dahl"
"Gro Vik"|"Nygårdhøgda 4D, 4095 Gretehamn"
"Trond-Vegard Andersen"|"Eriksenkroken 58, 1947 Finnstad"
"Cecilie Henriksen"|"Martinsenlunden 7G, 9927 Lunde"
"Trond Fredriksen"|"Eliassenskrenten 4, 2684 Hansås"
"Janne Næss"|"Andresenkroken 8B, 6244 Tveit"
"Karl Bøe"|"Ødegårdlia 3A, 2956 Nilsen"
"Kim Thomassen"|"Solheimgrenda 9, 2219 Sarahelle"
"Sondre Moe"|"Ruudmoen 8, 0951 Jensen"
"Andreas Solheim"|"Rasmussenholtet 5, 5819 Myklebust"
"Andrea Isaksen"|"Dahlringen 5, 8820 Tangen"
"Jørgen-Robert Simonsen"|"Tangenroa 1, 5398 Daghamn"
"Petter Svendsen"|"Eliassenløkka 7, 2662 Eirikfjord"
"Else Antonsen"|"Danielsenlunden 07B, 6228 Dahl"
"Kirsten Antonsen"|"Ruudåsen 6, 8002 Solberg"
"Dag Arnesen"|"Aunevika 43C, 2265 Helgefjell"
"Randi Myhre"|"Jakobsengata 63, 2128 Rolfhelle"
"Torill Næss"|"Mikkelsenkollen 36, 8376 Andersen"
"Grete Iversen"|"Isaksenekra 79, 1061 Ahmed"
"Andreas Svendsen"|"Sivertsenlia 8, 2708 Idafoss"
"Henrik Paulsen"|"Ellingsenberget 3, 3524 Helland"
"Alf Sørensen"|"Knudsenhøgda 69, 8907 Strand"
"Prof. Alexander Strøm"|"Gulbrandseneggen 8, 9698 Håkonbø"
"Inger Eliassen"|"Moenbakken 720, 1952 Christensen"
"Janne Pedersen"|"Bøegrenda 2, 6192 Elisund"
"Christian Danielsen"|"Pettersenroa 58, 9811 Kristofferstad"
"Finn Danielsen"|"Bakkestubben 22, 9278 Erlingås"
"Arild-Torbjørn Jørgensen"|"Aasenroa 2, 6113 Vik"
"Sara Aune-Lund"|"Myhrespranget 24, 4028 Erlinghelle"
"Andreas-Erik Mathisen"|"Andreassenskogen 7, 4145 Knutsen"
"Øystein Strøm"|"Alieggen 63C, 9981 Myhre"
"Erling Lund"|"Holmhaugen 6, 4225 Karolineeid"
"Rune Halvorsen-Tangen"|"Kristensentjernet 7F, 5585 Turidberg"
"Kjell Sæther"|"Edvardsenkroken 09, 2985 Larsen"
"Daniel Johansen"|"Hagenbråten 686, 7541 Elisevær"
"Sigurd-Sander Nilsen"|"Sandvikalléen 64C, 6734 Mortenvik"
"Astrid-Eli Gundersen"|"Liealléen 6, 5642 Jenshavn"
"Tor-Tobias Mikkelsen"|"Eliassenholtet 55, 8612 Jandal"
"Knut Simonsen"|"Moevollen 38, 6101 Birkeland"
"Anette Arnesen"|"Thomassenkroken 8, 7534 Annaodden"
"Elisabeth Birkeland"|"Holmhøgda 3, 3783 Thomassen"
"Thor Kristensen"|"Sørensenstubben 99, 0848 Eivinddal"
"Roar Vik"|"Eidelunden 9, 4852 Torstrand"
"Lars-Jørgen Brekke"|"Solheimmyra 9, 8146 Kjetileid"
"Jørgen Dahl"|"Engenstykket 63C, 2934 Solveighamn"
"Britt-Eva Lie"|"Kristoffersenholtet 1, 2604 Roardal"
"Sebastian Sivertsen"|"Thorsenstien 53C, 8992 Ingerberg"
"Frank-Johan Nilsen"|"Larsenbakken 6, 1523 Hanssen"
"Marit Christensen"|"Hansenberget 74, 6051 Kristensen"
"Anette Berg"|"Eliassenstien 38D, 6647 Henrikfoss"
"Jenny Næss"|"Tangenhagen 9, 8760 Myklebust"
"Inger Lie"|"Rønningskogen 1, 2863 Pettersen"
"Simen Kristiansen"|"Bergestykket 60, 8365 Pedersen"
"Harald Antonsen"|"Nielsenlunden 217, 3877 Maribø"
"Kristin Sandvik-Nygård"|"Bergbråten 4E, 6447 Rutheid"
"Håkon Johansen"|"Ellingsenhaugen 8, 0104 Abrahamsen"
"Sara Christensen"|"Jensenskrenten 734, 9506 Nielsen"
"Marianne Berg"|"Kristensenskrenten 9F, 9082 Alexanderfoss"
"Anette Aune"|"Arnesenhøgda 09, 5840 Anetteås"
"Anette Danielsen"|"Nguyenholtet 9, 9909 Ingridfjord"
"Sebastian Andreassen"|"Bergevollen 6, 9756 Nielsen"
"Solveig Mathisen"|"Birkelandstien 9, 3435 Astridodden"
"Martin-Finn Gundersen"|"Karlsenkroken 02, 7024 Helenebø"
"Dr. Tore Eliassen"|"Birkelandmyra 40, 0255 Camillaodden"
"Henrik Kristoffersen"|"Johanseneggen 43A, 8513 Kjerstiberg"
"Stig Hanssen"|"Kristoffersenlia 5, 9557 Jacobsen"
"Bjørg-Rita Henriksen"|"Dahlstykket 7, 2763 Monicahelle"
"Henrik Fredriksen"|"Gundersenjordet 89, 1543 Tonemark"
"Elise Moe"|"Lienringen 88, 6448 Haug"
"Anette Larsen"|"Strandfaret 2, 3698 Rønning"
"Rune Hauge"|"Myklebusttjernet 19, 7088 Elivåg"
"Marie Larsen"|"Aasengropa 28, 2640 Johannessen"
"Ellen Johnsen"|"Nilsenstien 9, 3555 Beritstrand"
"Marit Myklebust-Berge"|"Eidelunden 3, 9316 Simengrunn"
"Morten Rønning"|"Tveitmyra 7, 2245 Mathisen"
"Maren Hagen"|"Hansenkollen 81, 1748 Thomassen"
"Gunnar-Egil Hauge"|"Myklebustgropa 97, 8142 Madsen"
"Hege-Lise Antonsen"|"Gulbrandsenåsen 74, 1050 Evensen"
"Gerd Berge"|"Hellandtjernet 96F, 0425 Moe"
"Anette Lien-Larsen"|"Andersenhavna 8, 0969 Haugen"
"Hanna Haug"|"Sørensentjernet 26B, 1420 Mikkelsen"
"Harald Rasmussen"|"Andreassenspranget 44, 6221 Evensen"
"Siv Sørensen"|"Johnsenvollen 8, 2776 Tovesund"
"Magne Andersen"|"Andresenstranda 410, 5445 Mariusø"
"Ann Eliassen-Eliassen"|"Tangenalléen 8B, 6229 Oleberg"
"Stein Strand"|"Evensenrøa 32, 5227 Mariøy"
"Britt Strand-Johansen"|"Tveitflata 1, 4519 Nilsø"
"Håvard Bakke"|"Arnesenmyra 8C, 5441 Edvardsen"
"Heidi Sandvik"|"Gulbrandsentunet 33, 9139 Eliassen"
"Anette Rønning"|"Karlsengrenda 6, 5337 Strand"
"Inger Haugland"|"Henriksenmoen 42, 4068 Birkeland"
"Kristian-Jon Næss"|"Sætherhavna 313, 6229 Frodeås"
"Jørgen Iversen"|"Hauglandhøgda 5D, 2418 Eliassen"
"Geir Haug"|"Martinsengjerdet 6, 3680 Christianby"
"Kirsten-Anne Thorsen"|"Madsenrøa 1B, 8259 Olsen"
"Prof. Rune Andresen"|"Berggropa 55, 3872 Sveinås"
"Prof. Øystein Danielsen"|"Nguyenfaret 9, 7298 Myhre"
"Tobias-Roar Moen"|"Liegropa 98, 8234 Strand"
"Andreas Johannessen"|"Sætherløkka 781, 0256 Sarabø"
"Anette Sandvik"|"Dahlmoen 4, 4205 Eide"
"Janne Jenssen"|"Solbergstranda 1, 4067 Engen"
"Rita Thorsen"|"Arnesenholtet 4B, 6588 Linnvåg"
"Helge Jørgensen"|"Hauglandberget 3, 7537 Jakobsen"
"Vidar Strand"|"Myhrefaret 79, 2882 Sivfjord"
"Roger Myklebust"|"Aasskrenten 99C, 8672 Sivertsen"
"Karin Myklebust"|"Nygårdskrenten 1, 1557 Amundsen"
"Prof. Mathias Kristiansen"|"Bergmoen 4, 5094 Birkeland"
"Hanne-Kirsten Ruud"|"Brekkemoen 46, 4228 Mathiasvær"
"Ellen Karlsen"|"Tveitroa 9G, 1636 Aune"
"Anette Simonsen"|"Andresenmarka 95B, 2560 Pergrunn"
"Marie Sørensen"|"Arnesenbråten 277, 3505 Johanhamn"
"May Antonsen"|"Johnsenstykket 9, 4189 Karlsen"
"Nils Lund"|"Pettersenalléen 8, 9292 Halvorsen"
"Ida-Reidun Birkeland"|"Berggropa 6, 5160 Bakke"
"Torill Strand"|"Solbergbråten 6, 2795 Wencheborg"
"Eli Hagen"|"Kristoffersengrenda 20, 2435 Olsen"
"Andrea-Mari Johansen"|"Sørensentunet 87, 8673 Gundersen"
"Sindre Simonsen-Amundsen"|"Kristoffersenrøa 219, 7037 Adrianås"
"Ingrid-Marit Vik"|"Edvardsenlunden 8, 9670 Sivertsen"
"Anette-Anette Bakken"|"Pedersenfaret 02, 4959 Aasen"
"Dr. Torbjørn Lie"|"Henriksenhøgda 05B, 7214 Theastad"
"Anita Nilsen"|"Jenssenengen 64, 4292 Ingerdal"
"Øystein Nielsen"|"Knutsentoppen 7B, 2337 Sindrehavn"
"Anne-Elisabeth Olsen"|"Sandvikplassen 05, 2579 Mayhamn"
"Arild Ellingsen"|"Sandviklyngen 6C, 3857 Martinevær"
"Henrik Madsen"|"Jakobsenhavna 5A, 3229 Anitahamn"
"Grethe-Kristine Knudsen"|"Aasåsen 972, 0478 Holm"
"Kim-Geir Brekke"|"Tveitjordet 8F, 3077 Myklebust"
"Gunnar Solberg"|"Haugeeggen 81D, 4109 Theaodden"
"Anette-Ellen Jakobsen"|"Hagengata 9, 6576 Nilsen"
"Geir Andersen"|"Hanssentjernet 58, 4088 Markusmark"
"Mona-Anette Strøm"|"Moebakken 1, 8364 Emmahelle"
"Robert Berge"|"Simonsenkroken 5, 9285 Unnimark"
"Grethe Birkeland"|"Johnsenengen 264, 0126 Olavsund"
"Ingeborg Moe"|"Antonsenjordet 17, 1382 Eliassen"
"Anders Solberg"|"Sivertsenåsen 6, 4717 Danielby"
"Mona Nygård"|"Ahmedstubben 92, 6375 Hansdal"
"Cathrine Andresen-Bøe"|"Kristoffersenvollen 667, 9643 Finnhavn"
"Bjørn Ali"|"Fredriksenlia 26, 4904 Tonjenes"
"Anita Aasen"|"Moensvingen 46, 9547 Gulbrandsen"
"Kristoffer Aas"|"Lundhavna 93, 4398 Emmahavn"
"Prof. John Tangen"|"Tangenplassen 8, 0321 Arildeid"
"Kenneth Hagen"|"Sætheråsen 9, 8490 Simonsen"
"Anne Paulsen"|"Iversengrenda 2, 9304 Magnushelle"
"Åse Rasmussen"|"Rønningbakken 5, 7487 Næss"
"Stig Madsen"|"Næssgata 446, 1189 Kimhamn"
"Anne Berge"|"Myklebustbakken 65G, 0044 Danielby"
"Erik Isaksen"|"Strandstykket 26C, 1587 Karinnes"
"Rolf Haug"|"Lientjernet 95, 1930 Ellingsen"
"Anita Dahl"|"Strømmoen 13H, 6762 Torillnes"
"Odd Sivertsen"|"Solheimtunet 6, 9397 Eliassen"
"Stine Mathisen-Christensen"|"Hanssenstranda 4A, 6811 Sebastianhavn"
"Svein Lunde"|"Bergmyra 85, 4789 Andresen"
"Vegard Hagen-Halvorsen"|"Andresenstubben 1, 2362 Kjerstiø"
"Einar-Øyvind Aasen"|"Myklebusttunet 9, 6385 Ritafjord"
"Fredrik Haugen"|"Arnesenengen 1, 6934 Juliehelle"
"Dag Lund"|"Engenlyngen 41, 7134 Danielsen"
"Prof. Egil Amundsen"|"Hagenhagen 7, 9052 Tveit"
"Solveig Hanssen"|"Solberghaugen 28, 8043 Mathisen"
"Anita Danielsen"|"Pedersenengen 1E, 8493 Mathisen"
"John Berge-Ellingsen"|"Nygårdhaugen 94A, 2017 Solheim"
"Marianne-Martine Tveit"|"Olsenalléen 24, 6854 Martinsen"
"Kristoffer-Øystein Bakke"|"Næssstien 51, 4343 Andersdal"
"Siri Berg"|"Sæthermyra 7, 2881 Tangen"
"Rolf Evensen-Nielsen"|"Kristiansenskrenten 3, 6631 Abrahamsen"
"Ann Johansen"|"Kristoffersenvollen 9, 6070 Livås"
"Bjørg-Marte Sørensen"|"Jacobsenplassen 57, 9756 Ellingsen"
"Eivind Holm-Pedersen"|"Bergvika 4, 2409 Gretehelle"
"Kjell Solberg"|"Karlsenmarka 9D, 6475 Haugen"
"Anita Haugen"|"Bakkegropa 45, 1850 Kimsand"
"Ragnhild Knudsen"|"Thorsenjordet 8C, 0105 Holm"
"Bjørg Kristiansen"|"Thorsenvollen 20, 3909 Alfgrunn"
"Johan Bakke"|"Solbergekra 8A, 2842 Berg"
"Sondre Berntsen"|"Andresenringen 097, 3881 Thorø"
"Asbjørn Eide"|"Eidebråten 9, 0266 Tonjeberg"
"Daniel Evensen"|"Andresenhøgda 19A, 4942 Andresen"
"Odd Nguyen"|"Strandgjerdet 76B, 9469 Bakken"
"Tor-Kim Amundsen"|"Auneskrenten 7E, 3826 Knutsen"
"Karen Ellingsen"|"Rønningholtet 412, 8481 Sveinvik"
"Anita Holm"|"Eideåsen 26C, 1247 Thomassen"
"Håkon Hagen"|"Sivertsenbråten 60F, 8227 Karenås"
"Olav Madsen"|"Gundersenengen 86C, 3340 Dahl"
"Stig-Tor Knudsen"|"Kristensenplassen 36, 3890 Sæther"
"Helge Andresen"|"Aasenbakken 8, 4778 Royø"
"Frank Jacobsen-Simonsen"|"Andersengata 7, 3126 Stinehamn"
"Christian-Per Ahmed"|"Gulbrandsenåsen 70, 4454 Helland"
"Jan Jenssen"|"Knutsengropa 5, 0052 Åsehamn"
"Magne Johannessen"|"Sæthermarka 13, 7574 Mariaås"
"Kari Gundersen-Christensen"|"Solberggjerdet 7, 0924 Jørgensen"
"Anita Lunde"|"Alispranget 026, 3009 Haug"
"Håkon Eriksen"|"Berntsenskogen 83H, 0916 Hanssen"
"Wenche Strand"|"Jensenvika 2, 0630 Håkonnes"
"Elise-Torill Christensen"|"Evensenmoen 9, 8919 Aas"
"Asbjørn Sæther"|"Jensenrøa 9, 3557 Kristensen"
"Gerd-Reidun Fredriksen"|"Mathisengjerdet 8C, 8457 Jonborg"
"Grete Berge"|"Eriksenhavna 068, 8370 Kimstrand"
"Reidun Larsen"|"Nygårdstykket 6, 7606 Svendsen"
"Jorunn-Anita Johannessen"|"Berntsenekra 376, 8375 Sebastianstrøm"
"Dag-Robert Næss"|"Hauglia 1, 3146 Olavfoss"
"Anita-Kari Helland"|"Pettersenfaret 5, 2832 Jensen"
"Synnøve Andersen"|"Arnesentjernet 641, 9192 Andersen"
"Tobias Haugen"|"Myhrespranget 9F, 3227 Johansen"
"Nils Myhre"|"Jørgensenekra 5, 6342 Frodehamn"
"Monica-Cecilie Edvardsen"|"Iversenstranda 3, 4250 Antonsen"
"Helge Solheim"|"Thomassenplassen 234, 9881 Ingriddal"
"Jørgen-Geir Fredriksen"|"Tangenvollen 6, 8564 Toreborg"
"Ingrid-Reidun Paulsen"|"Abrahamsenhavna 1, 8596 Maritø"
"Sverre Johannessen"|"Birkelandflata 5, 8334 Bjørgfjell"
"Cecilie Bakke"|"Jakobsenløkka 8, 2809 Julievik"
"Ann Evensen"|"Simonseneggen 4, 3985 Evaø"
"Roar Lunde"|"Haugenstranda 475, 9296 Larsen"
"Eivind Edvardsen"|"Alihavna 9, 1926 Hagen"
"Thor Evensen"|"Haugegata 43, 9835 Ellingsen"
"Liv Myklebust"|"Kristiansengata 45B, 2911 Rasmussen"
"Anna Lunde"|"Lundlunden 8, 4377 Berntsen"
"Magne Amundsen"|"Lielunden 45H, 4401 Jensen"
"Roy-Tore Berntsen"|"Halvorsenalléen 478, 7292 Jacobsen"
"Sander Ødegård"|"Hanssenmarka 658, 3252 Jensen"
"Frank-Alf Kristensen"|"Næssvika 7, 1962 Sivborg"
"Ann Johannessen"|"Hellandvollen 809, 4163 Thomassen"
"Heidi Helland"|"Mikkelsenberget 76B, 5139 Markuseid"
"Finn Amundsen"|"Bergengen 2, 0731 Johannessen"
"Jon Jakobsen"|"Andersenholtet 3, 9445 Nilsen"
"Jon-Eirik Madsen"|"Dahltunet 09C, 2590 Sofiestad"
"Kristin Tveit"|"Andreassentunet 6, 2261 Olavås"
"Hans Nielsen-Larsen"|"Andersenvollen 45, 3129 Lien"
"Dr. Mathias Berg"|"Engenkroken 542, 9487 Stigfoss"
"Jørgen Knudsen"|"Andresenekra 5, 0608 Hagen"
"Kim Fredriksen"|"Haugehøgda 73C, 2370 Fredriksen"
"Ann Karlsen"|"Martinsenhavna 650, 2641 Ellenvåg"
"Julie-Kjersti Myhre"|"Knutsenlia 8D, 8899 Rutheid"
"Karin-Else Kristiansen"|"Haugespranget 76, 4348 Ragnhildberg"
"Anders Ruud"|"Haughagen 89, 4174 Hansgrunn"
"Cathrine Halvorsen"|"Nilsenrøa 8E, 8090 Rasmussen"
"Kristoffer Danielsen"|"Thorsentoppen 335, 8329 Tonestrøm"
"Sverre-Thor Strøm"|"Mikkelsentoppen 8, 6674 Mettedal"
"Magnus Gundersen"|"Gundersenstien 9G, 4230 Hagen"
"Rolf-Kjell Vik"|"Hagenroa 6, 7026 Olsen"
"Marie Nilsen"|"Strømstubben 49D, 4436 Annberg"
"Ann Myhre"|"Kristoffersenplassen 2, 8104 Fredriksen"
"Dr. Arne Tangen"|"Danielsenspranget 9C, 7949 Johansen"
"Marie Nguyen"|"Strandlunden 50, 9077 Sveinby"
