"Adrian Aasen","Myklebustflata 540, 1216 Johnsen"
"Stein Svendsen","Madsenvika 5A, 8524 Lindagrunn"
"Mona Karlsen","Jacobsentunet 6, 2830 Aas"
"Stian Madsen","Brekkemarka 2E, 9975 Roarstad"
"Tore Haugen","Paulsenmoen 6, 2280 Nielsen"
"Irene Næss","Johnsenvollen 83, 8623 Arnesen"
"Bjørg Vik","Ruudtunet 63, 0666 Mikkelsen"
"Thor Henriksen","Lienringen 7, 4140 Lie"
"Wenche Johannessen","Sørensenmarka 45, 0447 Lailasjøen"
"Sigrid Pettersen","Dahlholtet 4, 1031 Tangen"
"Andrea-Grethe Jakobsen","Lieskogen 34A, 2855 Lunde"
"Sondre-Marius Nilsen","Dahlhaugen 70C, 2949 Vik"
"Gunnar Tangen","Bakkeåsen 6, 1822 Geirstrand"
"Sigrid-Reidun Rasmussen","Berntsenkollen 6, 5172 Kristianvik"
"Simen Kristiansen","Simonsenmyra 96, 0740 Maristrøm"
"Marte Pedersen-Aune","Isaksenskrenten 8, 4121 Thomassen"
"Gerd Solberg-Pedersen","Nielsenlunden 11, 2053 Pettersen"
"Henrik-Jon Mikkelsen","Liestien 9, 1323 Helenevær"
"Erling-Espen Jacobsen","Pettersenflata 5, 6802 Ahmed"
"Aud Halvorsen","Aasåsen 3, 8129 Evensen"
"Andrea-Monica Jakobsen","Svendsenstranda 73, 6714 Karlsen"
"Trine Arnesen","Pedersenholtet 21, 0294 Dahl"
"Lene Sørensen","Pettersengropa 8C, 4699 Monastrøm"
"Anita Nilsen","Nguyenengen 17, 9527 Strøm"
"Kristine-Torill Larsen","Jensenkollen 1A, 0319 Toreeid"
"Marit Holm","Nygårdgata 74B, 2369 Gundersen"
"May Birkeland","Ruudbakken 80, 3864 Stigsand"
"Camilla Olsen","Ruudvollen 2, 7281 Astridås"
"Håvard Myklebust","Christensenskrenten 4, 6886 Thomassen"
"Sigrid Henriksen","Eliassenberget 70B, 3034 Randiås"
"Andrea-Rita Thomassen","Paulsenlunden 81C, 8396 Thorsund"
"Dag Pedersen","Knudsenskrenten 86E, 5604 Olsen"
"Elin Andersen","Hagenbakken 983, 3824 Lineby"
"Harald Knudsen","Nguyenhagen 378, 9766 Brekke"
"Kristian Aune-Sørensen","Andreassenlunden 6A, 8700 Aune"
"Sigurd Holm","Antonsenåsen 8, 1226 Brekke"
"Kirsten Aasen","Evensenjordet 35, 5356 Arneøy"
"Elise Vik","Danielsenhagen 88, 3234 Moe"
"Johan Mathisen","Tangenplassen 319, 8790 Tovenes"
"Dr. Kjell Sivertsen","Sørensenmarka 833, 3875 Magnusstrand"
"Andrea-Ruth Andreassen","Thomassenmoen 6, 9265 Olestad"
"Markus Gulbrandsen","Jenssenalléen 97, 0524 Øysteinfjord"
"Kenneth Jensen","Ahmedløkka 23A, 2113 Emilstrand"
"Frode Eriksen","Engenberget 5, 6978 Tonedal"
"Adrian Thomassen","Thorsenbråten 1F, 9589 Helland"
"Mona Jacobsen","Thorsenkollen 21B, 7623 Ingriddal"
"Tobias Nilsen-Ali","Svendsenvika 1, 5199 Idafjell"
"Sofie Myhre-Henriksen","Rønningjordet 9, 5273 Hansen"
"Morten Jenssen","Bergsvingen 7, 5515 Sørensen"
"Cathrine Pettersen","Kristiansentoppen 3E, 7823 Jansand"
"Andreas Johansen","Andersenekra 69, 1716 Næss"
"Sander Martinsen","Olsenåsen 570, 9474 Pervåg"
"Hilde Haug","Jensentunet 5B, 6986 Olehelle"
"Markus-Per Sæther","Antonsengrenda 336, 7738 Johansen"
"Marte Sandvik","Hauglandlunden 428, 8237 Mariavær"
"Pål Danielsen","Abrahamsengjerdet 70, 6612 Frodeø"
"Anders Knudsen","Engenringen 987, 8931 Ellenfoss"
"Morten Pedersen","Abrahamsenåsen 9B, 2126 Tobiasgrunn"
"Elisabeth Gulbrandsen","Thomassenroa 226, 0902 Sandvik"
"Helene Henriksen","Eliassengropa 9, 9393 Tomsand"
"Andreas Kristensen","Ødegårdvika 6, 1002 Arneø"
"Joakim Amundsen","Knudsengrenda 91, 1885 Unnisand"
"Marie-Thea Andresen","Fredriksenmarka 4E, 2691 Ellingsen"
"Cecilie-Hilde Lunde","Iversenengen 9C, 2316 Mariemark"
"Asbjørn Fredriksen","Knudsenjordet 64B, 2487 Martinhavn"
"Ivar Gundersen","Simonsentoppen 07, 9639 Elisevær"
"Mona Johansen","Antonsenfaret 5C, 8960 Emilieøy"
"Dr. Sigurd Martinsen","Haugeberget 76C, 7671 Andreahavn"
"Stian Gundersen","Jakobsengjerdet 493, 0883 Edvardsen"
"Anette Strøm","Alilyngen 46H, 6237 Irenesand"
"Andreas Martinsen","Gulbrandsenkollen 2, 5716 Nguyen"
"Magnus Bakke","Bergtjernet 4, 5889 Helland"
"Sigurd Eide","Johannessensvingen 07, 1207 Lunde"
"Tone-Heidi Ruud","Strandrøa 69, 9550 Gulbrandsen"
"Rune Nilsen","Hanssenberget 7, 6990 Antonsen"
"Gerd Johnsen","Abrahamsenbråten 31, 7839 Torbjørnby"
"Prof. Sebastian Halvorsen","Danielsenringen 7, 6078 Karlsen"
"Prof. Jørgen Eide","Pedersenroa 9, 0446 Hauge"
"Trond Kristensen","Pedersenplassen 1, 0869 Jensen"
"Unni Bakken","Hellandrøa 1, 6521 Holm"
"Andreas Moen","Solheimlia 8, 0255 Ritasand"
"Ida Mathisen","Ødegårdvollen 64, 4098 Larsvåg"
"Nora Aasen","Moenroa 01, 3588 Sivertsen"
"Roar Evensen","Larsengjerdet 96H, 8082 Eide"
"Stig Sæther","Christensenrøa 65, 7317 Stighamn"
"Thomas Olsen","Liengropa 39, 9704 Eirikhavn"
"Prof. Henrik Næss","Mikkelsenflata 742, 3170 Knutsen"
"Ole Christensen","Bakkengjerdet 6C, 4705 Kjellsund"
"Jenny Abrahamsen","Larsenkollen 1C, 8704 Iversen"
"Anita Jenssen","Engentoppen 8, 8073 Sivertsen"
"Andreas Nielsen","Andersenhavna 8F, 2993 Ruud"
"Håvard Eliassen","Thorsenhavna 3, 6847 Mathisen"
"Arild Nilsen-Moe","Knutseneggen 09, 5835 Stineberg"
"Steinar-Robert Mikkelsen","Paulsenmarka 86C, 7175 Unnifoss"
"Bente Nielsen","Jacobsenstranda 040, 2473 Annamark"
"Nora Berge","Lieeggen 9, 5840 Sigurdeid"
"Tonje Danielsen","Haugebråten 585, 1156 Mortenstrand"
"Daniel Hansen","Sørensenåsen 37, 6405 Sivertsen"
"Line Eriksen","Halvorsensvingen 31, 9467 Sirihamn"
"Kirsten Ellingsen","Johnsenstykket 4, 3660 Markusbø"
"Andreas Paulsen-Kristensen","Pettersenskogen 960, 9551 Sørensen"
"Stig-Johan Eriksen","Larsenlyngen 21, 4274 Ellingsen"
"Anne Nilsen","Hansenengen 23, 3443 Moe"
"Tonje-Sofie Henriksen","Arnesenvollen 64, 1101 Elsestrand"
"Hege-Karin Thorsen","Fredriksengata 40, 4303 Jannestad"
"Thea-Marie Haugen","Edvardsenlunden 42, 0125 Nielsen"
"Tom Henriksen-Knutsen","Sørensenvika 12H, 0502 Marieid"
"Laila-Cathrine Haug","Strandmarka 8B, 5670 Nilsen"
"Elise-Elise Holm","Strømlyngen 373, 2689 Johansen"
"Prof. Steinar Lunde","Solbergberget 433, 7313 Elihamn"
"Andreas Pettersen","Johnsenplassen 469, 5435 Danielhelle"
"Prof. Kristian Kristoffersen","Rønningtoppen 22, 1950 Nilsen"
"Ellen Andresen","Nguyenekra 26, 9021 Bakke"
"Roger Thomassen","Olsentunet 3, 7252 Jørgensen"
"Robert Danielsen","Vikskogen 3, 8277 Ireneodden"
"Liv Nygård","Iversenmarka 968, 5817 Strand"
"Ida Karlsen","Jørgensenskrenten 60, 8519 Fredrikhelle"
"Sara Ellingsen","Tangenskrenten 6A, 3905 Nilsen"
"Vidar Eide","Brekkelia 357, 3806 Jensen"
"Asbjørn Kristensen","Sivertsenfaret 4, 9334 Ceciliestad"
"Andreas Sivertsen-Pedersen","Pedersenvollen 86, 6520 Evaby"
"Einar Bakken","Lundmyra 9, 2928 Ødegård"
"Maria-Hege Strøm","Hagenflata 27C, 5663 Sivertsen"
"Mathias Eliassen-Aas","Eriksenløkka 71, 8357 Jensen"
"Thea Sivertsen","Solheimbråten 9, 5794 Aasen"
"Odd Solheim","Mikkelsenhaugen 81, 1067 Bakke"
"Pål Rasmussen","Olsenplassen 36B, 5788 Hegestrøm"
"Eivind Hauge","Nygårdkollen 8, 3669 Svendsen"
"Elisabeth Hauge","Dahllunden 08, 4329 Lien"
"Per Tangen","Evensentunet 1D, 9909 Tangen"
"Andreas Strand","Fredriksenlyngen 5, 8373 Annadal"
"Tom Pettersen","Knudsengrenda 2, 8141 Edvardsen"
"Tommy Haug","Sivertsenvika 96, 2379 Heididal"
"Jonas Strøm","Bergehagen 7A, 8872 Tonestrand"
"Tove Gundersen","Svendsenberget 00G, 6544 Karenfoss"
"Kjell Andersen","Næssvika 5, 3274 Sigurdby"
"Tone Gundersen","Aashaugen 11B, 2667 Tobiasmark"
"Dr. Stig Andersen","Danielsenkroken 02, 3895 Theaberg"
"Linda-Thea Rasmussen","Haugroa 5, 4357 Øysteinvær"
"Else Haugen","Ruudbakken 863, 0402 Sæther"
"Andreas Sørensen","Hagenskrenten 59C, 0977 Madsen"
"Anette Arnesen","Berntsenmarka 9, 9061 Thomasfjell"
"Grete Solberg","Gundersentoppen 79, 9290 Jenssen"
"Terje Kristiansen","Thorsenhavna 2, 0742 Strøm"
"Reidun-Cathrine Engen","Brekkeløkka 5, 3574 Marianneborg"
"Kjersti-Eli Birkeland","Kristiansenmarka 09B, 4847 Stigberg"
"Jonas Solheim","Madsenskogen 8, 1583 Danielsen"
"Karl Paulsen","Aashøgda 4, 4126 Kjerstihelle"
"Odd Moe","Paulsenstubben 097, 0729 Næss"
"Gerd-Karen Abrahamsen","Haugemoen 53, 6882 Eide"
"Andreas-Finn Engen","Ødegårdgrenda 5, 6929 Knutsen"
"Knut Haugland","Andreassenmoen 10, 2648 Egiløy"
"Jon Jensen","Thorsenringen 93, 2405 Tveit"
"Malin Sørensen","Antonsenstien 1, 6798 Aas"
"Åse Sandvik","Sætherspranget 6, 0691 Håkonfjord"
"Julie Knutsen","Ellingseneggen 137, 8983 Lenevåg"
"Per Nguyen","Moejordet 044, 9128 Jørgenvær"
"Emil Johannessen","Danielsenfaret 83F, 3602 Henrikvåg"
"Roy Iversen","Mikkelsentjernet 1, 6579 Kirstenby"
"Erik Aasen","Madsenmarka 6D, 2253 Hansstrand"
"Andreas-Roger Danielsen","Lundetjernet 2, 3398 Håkonsjøen"
"Grete Jensen","Birkelandrøa 134, 0234 Magneø"
"Martin Andreassen","Tveitskogen 3, 3393 Helenevær"
"Linn Holm","Rasmussenmoen 650, 8963 Ahmed"
"Håkon Strand","Haugenberget 09, 7085 Dahl"
"Dr. Sondre Sandvik","Gulbrandsenberget 9, 6628 Leiffjord"
"Jorunn Paulsen","Næssåsen 4, 1254 Thorsen"
"Inger Paulsen","Madsengjerdet 27D, 0898 Andreassen"
"Ragnhild Haugen","Aunebakken 29, 0369 Eide"
"Sigrid Strøm","Aashavna 68F, 2586 Turidfoss"
"Anette Antonsen","Johansengata 67, 7461 Sverrebø"
"Hans Aune","Hansenmyra 21, 6349 Lie"
"Rolf Bakke","Bergekollen 4, 2554 Mathisen"
"Lene Nygård","Tveittjernet 6D, 9053 Simendal"
"Marte Strand","Kristoffersenvollen 89D, 5856 Annvær"
"Pål Berge","Sivertsenvika 27, 1295 Tonefjell"
"Prof. Roy Danielsen","Eliassenkollen 54, 6305 Johansen"
"Finn Kristiansen-Pettersen","Andreassenstykket 3, 6626 Torilldal"
"Ragnhild Svendsen","Arnesenmarka 9, 1958 Sisselsund"
"Monica Larsen","Aunegjerdet 7B, 6094 Sandvik"
"Anette Bøe","Mikkelsenhaugen 14B, 9456 Håkonfoss"
"Åse Aasen","Hansseneggen 53, 4848 Iversen"
"Kim-Tom Haug","Thomassengropa 5, 6769 Marihavn"
"Øyvind Haug-Strøm","Rønningbakken 70, 2638 Beritøy"
"Kari Ali","Mikkelsensvingen 6, 6297 Rasmussen"
"Kristoffer-Leif Iversen","Haugenvika 24B, 4155 Solveigfjell"
"Magnus Engen","Bergegropa 4, 3035 Gundersen"
"Erling Hagen","Pedersentoppen 2, 0492 Moen"
"Elisabeth-Emma Antonsen","Henriksenjordet 7, 5423 Tobiaseid"
"Alf Bakke","Jakobsentoppen 00D, 6365 Myhre"
"Anette Hansen","Sørensenmoen 45H, 0463 Trondstrøm"
"Marius-Kristoffer Nilsen","Johnsenhøgda 715, 5242 Asbjørnby"
"Tone Hagen","Edvardsenhaugen 54, 6581 Elsehelle"
"Ragnhild Moe","Bakkengata 10C, 8976 Magnushavn"
"Elin Bakken","Bakkemoen 342, 6685 Erlinghavn"
"Ola Bakken","Thorsengrenda 8, 2567 Alfsand"
"Prof. Alexander Jørgensen","Myklebusttoppen 509, 3785 Sørensen"
"Simen Nygård","Aasvika 24G, 1565 Tormark"
"Linn Sandvik","Holmskogen 8E, 8177 Haugen"
"Magne Pedersen","Sivertsenplassen 6, 2039 Ceciliesand"
"Anette Hauge","Lundevika 3, 6099 Emiliesand"
"Vegard Lunde","Arnesenmarka 55C, 4421 Mathisen"
"Emilie Berg","Ødegårdlunden 237, 8982 Rogervåg"
"Kjell Strand","Aasentoppen 4, 5874 Holm"
"Linn-Siv Tveit","Olsenhøgda 89, 9418 Emmafjell"
"Elisabeth Strøm","Gundersenstubben 3, 8391 Bentesjøen"
"Egil Pettersen","Jacobsenløkka 23, 9838 Bøe"
"Morten Vik","Christensengata 574, 6103 Lindafjell"
"Anders Andresen","Evensenholtet 9, 7282 Stigø"
"Eivind Johansen","Jakobsenkollen 9, 0574 Torsand"
"Anette Jenssen-Olsen","Hansengata 4, 3905 Andresen"
"Fredrik Nygård","Mathisentoppen 1, 9397 Sandvik"
"Finn Jacobsen-Aune","Haugenkollen 8, 4543 Rasmussen"
"Elisabeth Myklebust","Johansenengen 5A, 9207 Steinarø"
"Mona Eliassen","Pettersentjernet 9A, 3535 Ødegård"
"Inger Rasmussen","Pederseneggen 91A, 0096 Sofiefoss"
"Daniel Isaksen","Kristensenberget 02, 5237 Sirines"
"Stig Pettersen","Engentjernet 611, 4376 Hannesjøen"
"Tommy Karlsen","Danielsenflata 06, 1786 Nguyen"
"Gunnar Gulbrandsen","Isaksenberget 92, 6653 Lien"
"Anette Lien","Jakobsenstien 11, 4361 Bentedal"
"Sander Fredriksen","Viktunet 8D, 0359 Solberg"
"Marie Johnsen","Jacobsenhaugen 09, 4690 Berge"
"Stian Andresen-Eliassen","Rønningåsen 4, 0682 Amundsen"
"Stine Johansen","Aligrenda 14, 0896 Fredriksen"
"Marte Berge","Eideeggen 22, 3994 Myklebust"
"Kenneth Mikkelsen","Hanssenbakken 073, 7558 Sæther"
"Line Karlsen","Amundsenekra 628, 0674 Tomsjøen"
"Martine-Anna Bakken","Jakobsenrøa 65, 4554 Danielnes"
"Liv Knudsen","Isakseneggen 71H, 9266 Birkeland"
"Anette Nielsen","Hellandåsen 9, 7704 Johnvær"
"Janne Myhre-Antonsen","Engenjordet 14C, 7783 Tonjevær"
"Aud Solberg-Næss","Mathisentoppen 997, 6159 Ellingsen"
"Grethe Berg","Jacobsenbråten 2, 8728 Sørensen"
"Randi Moe","Andersenstien 65H, 7069 Danielsen"
"Solveig Næss","Christensenvollen 4A, 8853 Evaøy"
"Stein Hansen","Bergeskogen 1, 4466 Jennystrøm"
"Magne-Kjetil Andreassen","Svendsenbakken 8D, 7475 Antonsen"
"Kirsten Pettersen","Gulbrandsenringen 7, 9909 Sofiegrunn"
"Finn Jenssen","Jenssenringen 9, 8723 Sondrevåg"
"Anette Nielsen","Madsenkroken 60, 0780 Pettersen"
"Silje Svendsen","Hauglandalléen 574, 1757 Kristoffervik"
"Janne Ruud","Hauglandrøa 7, 7363 Martinsen"
"Åse Ellingsen-Halvorsen","Haugenvollen 272, 9247 Paulsen"
"Kristoffer Antonsen","Thorsengata 56A, 0932 Rasmussen"
"Svein Ruud","Lundealléen 9, 1471 Jenssen"
"Alf-Anders Brekke","Hauglandtunet 6, 4023 Karlnes"
"Eli-Elin Kristiansen","Nguyentoppen 7, 1266 Marenberg"
"Aud Tveit","Iversenholtet 3, 6605 Eriksen"
"Helge Gundersen-Olsen","Evensenstubben 8, 3517 Tommysand"
"Anette-Ellen Sørensen","Holmeggen 369, 4917 Hanssen"
"Rita Jakobsen","Ruudløkka 73, 1822 Karensund"
"Kenneth-Adrian Hauge","Aasbakken 3, 6202 Strøm"
"Prof. Alf Bakke","Kristoffersenmarka 72, 9824 Ahmed"
"Gerd-Elise Lunde","Ruudhagen 236, 0851 Hannavær"
"Jonas Gundersen","Paulseneggen 3, 0871 Jacobsen"
"Cathrine Mathisen","Sørensenstykket 5A, 3885 Olavodden"
"Egil Helland","Dahlalléen 9, 6428 Knutsen"
"Line Arnesen","Sætherjordet 6, 2509 Strand"
"Alf Sørensen","Jakobsenbakken 4A, 4972 Øyvindhelle"
"Anette-Inger Thorsen","Ødegårdstien 1A, 7371 Unnigrunn"
"Ragnhild Larsen","Isakseneggen 4, 2947 Lie"
"Mona Haugen","Nygårdberget 90, 7834 Gulbrandsen"
"Dr. Eirik Bøe","Thorsenlyngen 99, 9419 Audnes"
"Inger-Helene Nygård","Isaksensvingen 577, 7133 Magnehamn"
"Turid Bøe","Henriksenrøa 81, 5619 Brittberg"
"Gunn-Elisabeth Engen","Solberglia 61, 0725 Eide"
"Sebastian Hagen-Haug","Fredriksenløkka 8G, 7539 Vik"
"Kåre Gundersen","Eliassenkroken 7, 3879 Emilieøy"
"Lene Nilsen","Knutsenberget 34C, 1293 Ritavik"
"Anette-Wenche Abrahamsen","Nygårdlia 1C, 4436 Thorsen"
"Bjørg Berg","Sandviksvingen 67, 2580 Edvardsen"
"Berit-Anne Nielsen","Hellandvika 8, 7226 Sivertsen"
"Grete Helland","Birkelandgrenda 376, 8551 Sørensen"
"Dr. Jon Hauge","Martinsenekra 2, 2139 Ellenhelle"
"Sindre-Harald Berntsen","Johannessenflata 1, 6303 Halvorsen"
"Camilla Sørensen","Sivertsenhagen 1, 9948 Simonsen"
"Torbjørn Ellingsen","Johansengrenda 7C, 1914 Larsen"
"Solveig Strøm","Ødegårdstranda 6, 5181 Erlingvær"
"Olav Knutsen-Pettersen","Paulsenrøa 01E, 3766 Toremark"
"Anita Birkeland","Lielyngen 85, 7087 Christensen"
"Solveig Kristiansen","Hagenfaret 4, 7058 Eivindodden"
"Roy-Arild Brekke","Sætherkollen 10, 6582 Eide"
"Lars Solberg","Christensenstranda 07, 9383 Emiliestad"
"Hanne Jørgensen","Martinsenekra 60, 1792 Trondmark"
"Bjørn Simonsen-Aasen","Kristiansenplassen 7, 5755 Isaksen"
"Frank Eide","Strandhavna 18C, 8477 Torås"
"Øyvind Olsen","Haugemarka 9, 2558 Siljeøy"
"Stig Kristoffersen-Engen","Johnsenskrenten 08, 2264 Paulsen"
"Marie Nilsen","Vikhavna 90C, 5854 Magnusnes"
"Anita Knudsen","Aasenlia 9, 0366 Aas"
"Øystein Jensen","Madsenhaugen 39B, 4796 Hannadal"
"Cathrine Bøe","Mikkelsenhagen 036, 7990 Henriksen"
"Berit Dahl","Andersengata 6, 8904 Sæther"
"Vilde Kristoffersen","Solheimrøa 03, 0745 Brekke"
"Kim Johannessen","Tveitgropa 216, 8505 Annavåg"
"Jon Dahl","Isaksengropa 2, 0085 Sørensen"
"Prof. Stig Ruud","Thorsenjordet 9, 6203 Hagen"
"Bjørn-Thor Christensen","Hansensvingen 12, 9546 Franksjøen"
"Øystein Edvardsen","Kristiansenmarka 883, 9922 Berg"
"Anita Kristensen","Rønningskrenten 7A, 8677 Andresen"
"Joakim Tveit-Lie","Karlsenskrenten 41, 5450 Ragnhildstrøm"
"Anita Danielsen","Kristensenløkka 77, 0020 Strøm"
"Martine Lund","Halvorsenplassen 61, 1674 Rogerby"
"Kirsten Henriksen","Thomassensvingen 3, 7965 Dahl"
"Sindre Dahl","Karlsenlyngen 6F, 4577 Thorsen"
"Jenny-Stine Pettersen","Pettersenflata 9C, 4580 Aasen"
"Julie Kristoffersen","Jacobsenåsen 8C, 5967 Ingeborggrunn"
"Kristian-Roar Ruud","Pedersenskogen 916, 2058 Thorø"
"Hanna Bøe","Birkelandskogen 55, 6146 Hegebø"
"Anita Myhre","Jørgensenvollen 4C, 5103 Jørgenfjord"
"Stig Olsen","Halvorseneggen 1D, 9257 Larssand"
"Marius Hansen","Holmvollen 8, 8265 Sofiestad"
"Bjørg-Thea Tveit","Tveitvika 22, 2298 Sandvik"
"Stig Simonsen","Nielsentunet 3C, 9463 Gundersen"
"Rita Aas","Bøevika 971, 7739 Vik"
"Synnøve Henriksen","Jenssengjerdet 29, 1457 Dagøy"
"Mathias Simonsen","Hanssengrenda 5, 3890 Stigvåg"
"Nils Næss","Hansenlia 6, 5932 Gundersen"
"Kenneth Dahl","Rasmussenlyngen 92, 6340 Steinarnes"
"Anita Myklebust","Knutsenåsen 568, 6752 Oddhamn"
"Ragnhild Nygård","Kristoffersenhøgda 5B, 0545 Arildstad"
"Andrea Abrahamsen","Fredriksenholtet 778, 4364 Tangen"
"Harald Nielsen","Alisvingen 3, 8831 Vidarvær"
"Eli Paulsen","Christensenlunden 9E, 0868 Trinestrand"
"Sverre Solberg","Holmkroken 8, 8745 Moen"
"Jonas Mathisen","Strandmoen 65C, 4461 Jennyås"
"Morten Rasmussen","Andresenstien 41E, 7411 Edvardsen"
"Emilie Halvorsen","Henriksenstien 8, 9047 Johannesøy"
"Ivar Antonsen","Johnsenplassen 9, 0873 Gunnarhavn"
"Anita Myklebust","Solberggrenda 16, 3406 Kåreøy"
"Linda Bakke","Sandvikhagen 2, 1062 Lund"
"Martin-Svein Andresen","Mathisenvollen 79A, 3763 Steinhavn"
"Sander Thomassen","Strandhavna 3B, 8020 Kristinstrøm"
"Ingeborg Haug","Evensenhøgda 3, 4389 Ellennes"
"Eva-Kari Jørgensen","Edvardsenlyngen 335, 5321 Heleneberg"
"Marit-Kjersti Andreassen","Myhrekroken 16, 7554 Markusgrunn"
"Stine Strøm","Thomasseneggen 6B, 4728 Simonsen"
"Morten-Kjell Eliassen","Nguyengata 9A, 2570 Paulsen"
"Geir Jacobsen","Pettersenfaret 06, 3639 Karlås"
"Anita Nielsen","Isaksenåsen 97G, 2287 Sveinås"
"Tove Olsen","Ellingsenjordet 6C, 8024 Kristinebø"
"Rolf Bakke","Haugjordet 5, 7934 Gunnarnes"
"Mette Solberg","Pedersengrenda 2, 9337 Mathisen"
"Ida Henriksen","Amundsenstien 4, 5850 Cecilieodden"
"Martine Ruud","Nygårdalléen 7, 7542 Hanssen"
"Vegard Solberg","Pettersenberget 71, 6423 Lunde"
"Grethe Lien-Simonsen","Pettersenskogen 8, 6608 Hanssen"
"Andrea Strand","Hellandlyngen 047, 2890 Jongrunn"
"Anna Aasen","Nielsenvika 7, 6326 Siribø"
"Anita Pettersen","Sandvikhøgda 77, 2802 Christensen"
"Odd Simonsen","Halvorsenbakken 38, 7521 Magnehelle"
"Odd Nilsen","Bergelunden 2, 6491 Eriksen"
"Camilla-Marte Mathisen","Andresenfaret 8, 4761 Bjørnby"
"Petter Evensen","Birkelandplassen 8C, 8857 Kjellvær"
"Torill-Ruth Lund","Jakobsenlyngen 3A, 7915 Emmaborg"
"Cecilie Strøm-Haugland","Strandtjernet 50H, 8653 Hanssen"
"Laila Nygård-Ellingsen","Ødegårdgjerdet 6, 6277 Markusfoss"
"Andreas-Rolf Andreassen","Knutsenstykket 45B, 5824 Arnesen"
"Kari Næss","Aasmarka 1, 9452 Roysjøen"
"Anita Sivertsen","Strømskogen 38, 0008 Haraldeid"
"Anne-Grethe Nilsen","Jensenhøgda 5, 3650 Aasen"
"Stein Helland","Pettersenhagen 8C, 9605 Benteodden"
"Vegard Engen-Gulbrandsen","Andersenjordet 40C, 8373 Anneid"
"Sigrid Strand","Jakobsenstubben 66, 4864 Solheim"
"Nora Lie","Larseneggen 338, 5402 Kristoffersen"
"Roar Bakken","Edvardsenroa 8, 2746 Hanssen"
"Prof. Robert Brekke","Halvorsenberget 84, 2007 Olavsand"
"Frank-Egil Dahl","Eiderøa 60, 0465 Leifsund"
"Vidar Andreassen","Aligrenda 2, 8229 Oddvik"
"Anita-Anna Berge","Eidehaugen 697, 8298 Danielsen"
"Dag Ali","Simonsenmyra 02B, 1337 Elsehamn"
"Finn Kristoffersen","Tangenalléen 071, 0886 Hannesund"
"Janne Amundsen","Ellingsenberget 98, 6708 Iversen"
"Maria Simonsen","Lienstranda 2D, 1418 Ceciliestrand"
"Malin Hauge","Moeekra 1C, 7041 Brekke"
"Ivar-Alexander Vik","Paulsenfaret 00, 1100 Olsen"
"Jørgen Birkeland","Jørgensenringen 9, 9547 Aasen"
"Daniel Myhre","Jacobsenroa 7, 8533 Sivborg"
"Magne Andresen","Moetoppen 610, 0523 Aasen"
"Anita-Hege Moe","Hauglandstubben 6, 1167 Halvorsen"
"Petter Ellingsen","Abrahamsenholtet 663, 9919 Tangen"
"Maren-Monica Engen","Karlseneggen 04F, 0334 Larsen"
"Frank Solberg","Haugentunet 547, 4337 Anettestrand"
"Petter Engen-Kristoffersen","Solheimstien 802, 8321 Eriksen"
"Ragnhild-Irene Hansen","Kristensenalléen 44B, 3348 Danielodden"
"Julie-Grete Thorsen","Auneskrenten 20, 5778 Andreassen"
"Magnus Christensen","Lieskrenten 71B, 4661 Knudsen"
"Per Andresen","Knutseneggen 5, 5460 Mettebø"
"Mona-Andrea Berge","Dahllunden 1F, 0620 Haugland"
"Anita-Laila Andresen","Haugestien 5B, 3081 Olsen"
"Andrea Arnesen-Strand","Pettersengropa 69, 6443 Karlstrand"
"Ivar Myhre","Edvardsenalléen 4E, 1975 Eliassen"
"Harald-Johannes Sæther","Arnesenstranda 39, 3053 Iversen"
"Alf Amundsen","Berntsenlyngen 92D, 1661 Karolinesund"
"Roger-Hans Brekke","Jakobsenmoen 3, 2430 Kjerstiø"
"Kristian-Kristian Pedersen","Næssholtet 81B, 3046 Grosund"
"Jenny Dahl","Mikkelsenengen 714, 3352 Johnsen"
"Arild Tveit","Bakkesvingen 38, 7800 Aune"
"Tove Halvorsen","Kristiansenholtet 78, 7625 Stianodden"
"Ann Bakke","Sætherlia 4, 8430 Alføy"
"Roy Helland","Hansenjordet 8, 6792 Madsen"
"Daniel Mikkelsen-Ødegård","Hellandrøa 5B, 8971 Ragnhildhelle"
"Dr. Finn Solberg","Ahmedspranget 3C, 9428 Strand"
"Dag Andreassen","Jenssenjordet 86B, 8349 Mathisen"
"May-Eva Ellingsen","Jensenringen 344, 5040 Sandernes"
"Marie Andreassen-Mikkelsen","Myklebusthaugen 5D, 8620 Hildestrøm"
"Åse-Hanne Bakken","Kristensengropa 58, 9716 Simenby"
"Prof. Roy Jensen","Nielsengata 2, 9686 Helgedal"
"Jørgen-Rune Mikkelsen","Eriksenplassen 1, 4739 Hauge"
"Ann Bakke","Ødegårdbakken 5, 6799 Camillagrunn"
"Jenny Berntsen","Simonsenfaret 40, 8823 Christensen"
"Arild Lund","Amundsenlyngen 62, 1697 Åseås"
"Linn Antonsen-Andresen","Sørensensvingen 24, 0104 Engen"
"Adrian Myhre","Simonsenroa 404, 5206 Kristinvåg"
"Kristoffer Kristensen","Nielsenberget 589, 7031 Karlsen"
"Henrik-Jon Eide","Moenstien 05G, 6697 Sørensen"
"Stine Eliassen-Isaksen","Thorsenvika 402, 0199 Olesjøen"
"Bente Aas","Moemarka 8A, 4140 Hegegrunn"
"Tommy Hansen","Tangenstubben 6, 9704 Geirnes"
