"Adrian Danielsen"	"Pettersenrøa 36D, 5131 Audeid"
"Øyvind Vik"	"Svendsenmarka 2, 8600 Iversen"
"Thomas Haugland-Holm"	"Myklebustgropa 2, 5813 Nilsbø"
"Silje Jensen"	"Madsenspranget 97, 4005 Hanssen"
"Eivind-Rolf Eliassen"	"Hellandekra 06, 0393 Nilsen"
"Andrea Mikkelsen"	"Karlsengjerdet 16G, 3398 Tveit"
"Jon Bakken"	"Aliløkka 47, 7971 Holm"
"Alf Tveit"	"Abrahamsenløkka 095, 4915 Siriby"
"Kirsten-Mona Edvardsen"	"Paulsenberget 476, 1252 Danielsen"
"Petter Dahl"	"Næssholtet 4, 3005 Olsen"
"Stian Knudsen"	"Andersensvingen 1, 7406 Ivarby"
"Ann-Emma Martinsen"	"Lundrøa 56, 3310 Maynes"
"John Karlsen"	"Ahmedsvingen 281, 1556 Gundersen"
"Line-Hilde Andresen"	"Johannessenstykket 30, 5339 Tommyfoss"
"Jorunn Kristoffersen"	"Andresenstien 4D, 8941 Joakimgrunn"
"Andrea Nielsen"	"Næssgropa 6, 6690 Helland"
"Hanne-Vilde Hauge"	"Hagenhagen 45, 0125 Henrikfoss"
"Marie Brekke"	"Nguyenplassen 4, 6147 Nygård"
"Siv Lie"	"Fredriksenmyra 7, 3549 Thorsen"
"Stein Jacobsen"	"Knutsenringen 8B, 1605 Eirikøy"
"Hans-Håkon Jacobsen"	"Bøelunden 418, 6800 Ali"
"Joakim Mathisen"	"Jakobsenberget 7, 1416 Abrahamsen"
"Ingeborg Moen"	"Mikkelsenrøa 2, 0348 Eriksen"
"Elisabeth Martinsen"	"Rasmussenalléen 56, 6451 Kristineodden"
"Karin Jacobsen"	"Christensenalléen 908, 2149 Oddfjell"
"Andrea Næss"	"Gundersenmarka 55, 0326 Ruud"
"Gunn Aas"	"Næssringen 3, 8936 Johannesnes"
"Julie-Karin Aas"	"Knudsenengen 916, 6572 Moe"
"Hege Engen"	"Hansenbråten 681, 1837 Audstad"
"Pål Brekke-Tangen"	"Larsenlyngen 05B, 8628 Finnsand"
"Jan Berge"	"Myhrelunden 58, 9148 Moen"
"Nils Moen"	"Eideringen 84B, 9458 Vidarhavn"
"Karoline Karlsen"	"Dahleggen 65, 0212 Erlinghelle"
"Prof. Ole Mikkelsen"	"Jacobsenbråten 23F, 0038 Karihavn"
"Anders Andreassen"	"Solbergmarka 87, 6815 Lunde"
"Andrea Paulsen"	"Moenringen 02, 0763 Kristinfoss"
"Helge Aas"	"Aasentjernet 6, 6778 Christensen"
"Anette Johnsen"	"Fredriksenjordet 62, 6865 Jannesand"
"Per Solheim"	"Sørensenplassen 6, 8678 Stigodden"
"Joakim Sivertsen"	"Tangenstien 5, 6441 Anneodden"
"Dr. Vegard Sæther"	"Mikkelsengata 33C, 2390 Erikstrøm"
"Tom Myklebust"	"Haugensvingen 17, 4336 Bjørgås"
"Thor Bøe"	"Nilsenstien 49A, 4762 Kristofferfjord"
"Unni Danielsen"	"Kristensenskogen 355, 6473 Birkeland"
"Siv Rønning"	"Andreassenskrenten 1, 8772 Solberg"
"Andrea Pettersen"	"Fredriksenhøgda 3, 0269 Dahl"
"May Olsen"	"Berntsenjordet 3A, 2423 Larsen"
"Martin Svendsen"	"Bøestien 2, 7195 Ellingsen"
"Wenche Berg"	"Hanssenlyngen 88, 8040 Isaksen"
"Anne Berge"	"Vikfaret 6, 0497 Thorsen"
"Karl-Øystein Martinsen"	"Nguyenroa 4, 3702 Torillgrunn"
"Sigrid-Kari Andreassen"	"Henriksenbakken 43E, 8751 Larsen"
"Ruth Andresen"	"Nilsenkroken 3A, 0369 Ritafoss"
"Solveig Danielsen"	"Eliassenskogen 4, 6069 Tangen"
"Dr. Steinar Johnsen"	"Henriksenekra 2B, 9209 Britthavn"
"Andrea Tveit"	"Nielsenroa 1, 1816 Vidarstrand"
"Elin Aune"	"Eriksenlia 25, 1685 Aasen"
"Mette-Ingeborg Eriksen"	"Haugentjernet 1, 1650 Emilieby"
"Alf Larsen-Johansen"	"Rønninghaugen 32D, 2012 Erikdal"
"Dr. Tommy Lund"	"Aaseggen 5, 3694 Edvardsen"
"Kenneth Gulbrandsen"	"Ruudberget 92, 2018 Leneberg"
"Vidar Næss-Tangen"	"Hanssenlunden 392, 2951 Lie"
"Kristin Fredriksen"	"Tangenspranget 11, 8117 Annasund"
"Line Johnsen"	"Aunegropa 54, 0021 Rolfborg"
"Emma Brekke"	"Jørgensenstubben 725, 7113 Annaeid"
"Andreas Christensen"	"Hagenkollen 4, 0185 Jannehelle"
"Silje Solberg"	"Tveitfaret 2, 3550 Ruud"
"Bjørg Rønning"	"Thorsenspranget 51, 6778 Gunnarberg"
"Lise Antonsen"	"Bergekollen 9, 5376 Kjerstivåg"
"Sissel Knutsen"	"Gundersenberget 27, 9945 Hildefjord"
"Dr. Harald Thomassen"	"Hauglandskrenten 68, 8975 Jonmark"
"Hilde Hansen"	"Gulbrandsenkollen 09E, 8426 Ragnhildøy"
"Thor Jensen"	"Moenlyngen 62, 8189 Kristiansen"
"Ruth-Anna Tangen"	"Moenalléen 8B, 2582 Johnsen"
"Stig-Anders Andreassen"	"Haugrøa 37, 2824 Strøm"
"Andreas Eriksen"	"Abrahamsenkroken 07D, 2352 Johanfjord"
"Magne Nielsen"	"Eriksenspranget 5A, 8924 Jørgensen"
"Line Tveit"	"Arnesenfaret 8, 9232 Kennethby"
"Prof. Markus Johnsen"	"Holmflata 8, 4214 Jenssen"
"Randi Berg"	"Hellandlia 795, 0572 Siriø"
"Anette Hanssen"	"Isaksenfaret 18, 8243 Britthamn"
"Dag Andresen"	"Lienstien 5C, 7720 Eide"
"Petter Myklebust"	"Hellandhagen 15E, 1008 Gulbrandsen"
"Siri Tangen"	"Dahlgropa 43, 5938 Haugen"
"Cecilie Ruud"	"Strømløkka 1, 4817 Tonestad"
"Andreas Hagen"	"Jacobsenstien 6, 8359 Simonsen"
"Nina Myklebust"	"Johnsenskrenten 8, 4644 Olefoss"
"Grete Eriksen"	"Evensenlyngen 50C, 2160 Kristiansen"
"Elin Nygård-Bøe"	"Solheimstranda 2, 1097 Holm"
"Pål Danielsen-Abrahamsen"	"Jenssenengen 10, 3236 Emmanes"
"Kjell Ellingsen"	"Gulbrandsentjernet 5C, 7548 Johngrunn"
"Stian Haugland"	"Hanssenalléen 1, 3176 Næss"
"Johan Kristiansen"	"Mathisenlyngen 760, 2719 Ingridnes"
"Eirik Arnesen"	"Johnsenskogen 6, 0743 Henrikgrunn"
"Bjørg-Ellen Andresen"	"Knutsenbråten 2, 1089 Lien"
"Andreas Haug"	"Næssspranget 7, 7224 Haugland"
"Andreas Helland"	"Solheimhavna 4, 1986 Bjørggrunn"
"Kristian Myhre"	"Hagentjernet 1, 2135 Pettersen"
"Simen Tangen"	"Arnesenmarka 57E, 2460 Lund"
"May Sandvik"	"Eliassengrenda 8, 6091 Maritmark"
"Thor Danielsen"	"Jakobsenhagen 3, 2968 Espengrunn"
"Elin Nguyen-Hauge"	"Vikringen 3C, 8243 Tangen"
"Frank-Fredrik Rasmussen"	"Berntsensvingen 46, 0429 Vildeås"
"Tor Larsen"	"Mikkelsengrenda 37, 2362 Solberg"
"Karl Myhre"	"Rønningsvingen 183, 4855 Lailaeid"
"Andreas Madsen"	"Brekkehaugen 8, 5076 Fredriksen"
"Synnøve Kristoffersen"	"Aasenlunden 8, 0486 Vidardal"
"Gerd-Ellen Kristiansen"	"Ruudringen 40, 7922 Gulbrandsen"
"Christian Simonsen"	"Alialléen 4, 8705 Solveigfoss"
"Nils-Thomas Paulsen"	"Hauglandgrenda 012, 6289 Lie"
"Tom Moe"	"Thomassenringen 9, 0764 Paulsen"
"Magnus-Lars Simonsen"	"Thomassenvika 51, 6162 Karlsen"
"Trine Simonsen"	"Danielsenholtet 5F, 7967 Turidgrunn"
"Anette Solheim"	"Pedersenplassen 2, 9853 Geirvåg"
"Anne Andresen"	"Nilsenengen 5, 8229 Olsen"
"Andreas Olsen"	"Thorsenhagen 39, 8466 Bøe"
"Åse Gulbrandsen"	"Hauglandåsen 91, 8907 Christensen"
"Ruth Hansen"	"Danielsenlyngen 7, 7769 Persjøen"
"Karin Amundsen-Andersen"	"Thomassenstranda 6, 7208 Annafjord"
"Sofie-Marie Sandvik"	"Ruudmarka 8, 2086 Gundersen"
"Nina-Kristin Halvorsen"	"Berntsenfaret 96, 1085 Hagen"
"Liv Mathisen"	"Aunestranda 6, 9573 Kristinøy"
"Ingrid Abrahamsen-Nilsen"	"Lundskrenten 6A, 1120 Haugland"
"Lene-Torill Ruud"	"Haugstubben 1, 4000 Hannesund"
"Simen Nielsen"	"Mathisenekra 5, 8955 Haugen"
"Andreas Pedersen"	"Knutsenflata 2, 3302 Karensund"
"Odd Lien"	"Myklebusthavna 8F, 6027 Andresen"
"Anette-Lene Halvorsen"	"Madsengrenda 22B, 0778 Karinsand"
"Britt Myklebust-Aasen"	"Moetoppen 9, 7792 Rasmussen"
"Marianne Andresen-Helland"	"Kristiansenvollen 858, 6067 Lunde"
"Sondre Andresen"	"Thomassenlia 29, 5457 Myklebust"
"Dr. Roger Bakken"	"Lienflata 39, 4277 Strand"
"Jens Arnesen"	"Sørensenlia 5, 0262 Moen"
"Eva Nilsen"	"Thomassenkollen 625, 8575 Ninaø"
"Torbjørn Johnsen"	"Isaksenringen 17D, 5292 Jannevær"
"Andreas Thorsen"	"Liehagen 67, 9566 Emilsjøen"
"Bjørn Næss"	"Edvardsenmoen 9, 2085 Kjellås"
"Odd Edvardsen"	"Danielsenspranget 48, 2690 Kjellfoss"
"Siv Lunde"	"Christensengata 2F, 0841 Solheim"
"Karin-Maria Mikkelsen"	"Strømhavna 95, 4468 Tveit"
"Prof. Simen Martinsen"	"Larsenbråten 2, 5489 Gretheås"
"Maria Larsen"	"Bakkespranget 15, 0957 Sandvik"
"Robert-Magnus Martinsen"	"Martinsenskogen 4, 2613 Perby"
"Erling Kristiansen"	"Fredriksenvollen 4, 4917 Iversen"
"Olav Holm"	"Birkelandmarka 10B, 9486 Abrahamsen"
"Andreas Vik"	"Knudsenskrenten 43, 9005 Bakken"
"Janne-Trine Myhre"	"Paulsenhagen 63, 3975 Helland"
"Camilla Gulbrandsen"	"Hanssenkollen 80, 9644 Myklebust"
"May Aasen"	"Thorsenjordet 6, 3121 Knutsen"
"Siri-Mari Karlsen"	"Antonsenplassen 6, 2928 Gundersen"
"Torbjørn Thorsen"	"Berntsenhavna 26A, 9864 Isaksen"
"Dr. Bjørn Berge"	"Johnsentjernet 7, 9728 Dahl"
"Kjersti Sandvik"	"Fredriksengata 7, 2634 Berge"
"Terje-Asbjørn Lie"	"Larsentunet 1, 6263 Haug"
"Prof. Kristoffer Johnsen"	"Bakkekollen 25A, 3983 Ritaborg"
"Andreas Ødegård"	"Sørensenhaugen 5E, 9728 Myklebust"
"Laila-Malin Berntsen"	"Danielsenlyngen 9, 4611 Johanberg"
"Eli Henriksen"	"Thorsenkroken 41E, 9053 Birkeland"
"Else Hansen"	"Gulbrandsensvingen 19, 4569 Ruud"
"May Evensen"	"Haugenjordet 07, 1433 Iversen"
"Maren Haugen"	"Eriksenringen 37, 4935 Turidmark"
"Prof. Stig Eliassen"	"Nielsenmarka 8B, 4253 Andreassen"
"Helene Eriksen"	"Danielsenengen 8, 4021 Johansen"
"Joakim Lien"	"Johannessenfaret 974, 7746 Johansen"
"John Tangen"	"Moenstien 97, 8254 Karolineøy"
"Andreas-Magnus Rønning"	"Næssringen 00, 2725 Hanssen"
"Kirsten Evensen"	"Haugstykket 4, 8484 Stineberg"
"Martine Jørgensen"	"Lundeløkka 3, 7363 Frankås"
"Stian Berge"	"Ellingsenspranget 270, 0735 Øysteinbø"
"Eva Ali"	"Engentunet 2, 3025 Christensen"
"Kjetil Engen"	"Moeflata 31, 6563 Birkeland"
"Elisabeth Kristiansen"	"Henriksengata 6, 5481 Halvorsen"
"Rune Kristoffersen-Ellingsen"	"Lunderoa 9H, 5251 Berge"
"Janne Evensen"	"Eriksenringen 43C, 2892 Beritfjell"
"Kristin Tangen"	"Jacobsenstykket 2, 1051 Andersen"
"Anette Birkeland"	"Rasmussenstykket 181, 3202 Iversen"
"Sondre-Torbjørn Andreassen"	"Hanssenlia 7B, 2541 Nguyen"
"Stig Tangen"	"Christensenalléen 6A, 2706 Fredriksen"
"Hans Holm-Aune"	"Strandhagen 40B, 8019 Kåreberg"
"Tobias Iversen"	"Moenskrenten 056, 1821 Lie"
"Tommy Lund"	"Ellingsenringen 6, 5339 Karlsen"
"Olav Eide"	"Evensenmyra 2, 9056 Kristinhamn"
"Tommy Sivertsen"	"Sørensenmyra 78, 8689 Madsen"
"Ellen Thorsen"	"Sandvikskogen 47, 5915 Øyvindeid"
"Prof. Magne Simonsen"	"Johannessenhaugen 5A, 9011 Ingridby"
"Anette Brekke"	"Sørensenlunden 6B, 0415 Strand"
"Steinar Ruud"	"Aasenvollen 9, 7695 Asbjørnøy"
"Anne Helland"	"Eideåsen 66, 6386 Abrahamsen"
"Grethe-Ragnhild Arnesen"	"Moegropa 41B, 1554 Lien"
"Laila-Inger Moe"	"Henriksenkollen 17, 9440 Sivertsen"
"Gunn Ellingsen"	"Evenseneggen 872, 8770 Arnestrøm"
"Kristin-Liv Bakken"	"Ødegårdlunden 1H, 5067 Hauge"
"Gerd Rønning"	"Moenskrenten 8, 6464 Vildeberg"
"Vidar Mikkelsen"	"Karlsensvingen 38, 0098 Moe"
"Geir-Markus Bakke"	"Thomassenstubben 64, 1316 Rasmussen"
"Anette Fredriksen"	"Edvardsenhøgda 81E, 3462 Halvorsen"
"Tone Abrahamsen"	"Vikåsen 11, 8761 Solberg"
"Jørgen Thomassen"	"Bergplassen 49G, 8639 Sivertsen"
"Einar-Erik Danielsen"	"Vikvollen 26F, 7806 Tonesjøen"
"Grethe Andreassen"	"Andresensvingen 4, 6631 Strøm"
"Aud Sivertsen"	"Hansenengen 4, 9977 Hagen"
"Grete Fredriksen"	"Abrahamsenlunden 804, 3274 Ivarsjøen"
"Hanne Gulbrandsen-Jacobsen"	"Henriksengjerdet 3, 5637 Henriksen"
"Thor Solheim"	"Fredriksenengen 22, 9836 Danielsen"
"Ragnhild Hauge"	"Danielsengropa 33, 6074 Eide"
"Anette Halvorsen"	"Aasengen 8, 9896 Madsen"
"Emil Danielsen"	"Knutsenmarka 1, 6702 Solberg"
"Elise Strand-Nguyen"	"Lieåsen 9, 1969 Fredrikborg"
"Sondre Ali"	"Johanseneggen 73, 0441 Kjetilhamn"
"Jørgen Tangen"	"Moefaret 2, 7189 Hannestrøm"
"Anne Kristoffersen"	"Gundersenlia 153, 5329 Rønning"
"Ruth Arnesen"	"Lundbråten 1, 8205 Lineberg"
"Roar Ali"	"Iversenfaret 94, 1863 Tobiasmark"
"Dr. Eivind Nguyen"	"Jenssenbråten 2, 4591 Emiliehavn"
"Karl Mathisen"	"Aasenflata 60, 9954 Steinstad"
"Anette Hanssen"	"Halvorsenfaret 768, 9750 Karolineeid"
"Øyvind Johnsen"	"Birkelandskogen 69, 7976 Dahl"
"Stig Dahl"	"Birkelandholtet 1, 2183 Dagstrøm"
"Torbjørn Strand"	"Nygårdgata 423, 5785 Mathiasborg"
"Markus Nguyen-Larsen"	"Hauglandstykket 15, 6843 Nilsen"
"Jenny-Tonje Gulbrandsen"	"Lundlyngen 7A, 1168 Bøe"
"Karin Nilsen"	"Sivertsenplassen 2, 4609 Andresen"
"Tobias Lunde"	"Hansenspranget 5B, 1955 Berge"
"Per Aas"	"Ellingsengrenda 6, 1975 Arnesen"
"Nina Haugen"	"Simonsengropa 2, 4200 Eide"
"Anette Helland"	"Mathisenlunden 425, 1642 Janvik"
"Ingrid Solheim"	"Fredriksenstien 48, 1099 Moe"
"Bjørn-Kim Nygård"	"Fredriksenmyra 70, 9110 Johnsen"
"Ragnhild Johnsen"	"Tangenmyra 69A, 9322 Sebastianfoss"
"Emma Lien"	"Myklebustskrenten 9, 8844 Fredriksen"
"Ingeborg Eide"	"Andreassenlunden 61, 2713 Sveinstrand"
"Nora Nielsen"	"Myhreroa 5, 3827 Einarhavn"
"Vidar Evensen"	"Haughøgda 471, 0228 Gulbrandsen"
"Sissel Rønning"	"Jacobsenstranda 03G, 3440 Lien"
"Stine Gulbrandsen"	"Hanssenstien 25B, 8497 Isaksen"
"Anette Lund"	"Aasenstubben 2, 6609 Jørgensen"
"Dr. Jan Jenssen"	"Jakobsensvingen 4, 0782 Ritamark"
"Pål Hanssen"	"Ahmedfaret 8, 6111 Gunnstrøm"
"Marte Sandvik"	"Bakkengrenda 3C, 6600 Ali"
"Daniel Jenssen-Strand"	"Tangenvollen 4, 2426 Torbjørnfjord"
"Torill-Marie Pedersen"	"Andersenfaret 61A, 9467 Anetteodden"
"Ivar-Sander Jørgensen"	"Antonsengata 9B, 1667 Dahl"
"Marit Andreassen"	"Eriksenskrenten 6, 1538 Eide"
"Sebastian Myhre"	"Kristensenalléen 8A, 8886 Helenesund"
"Terje Fredriksen"	"Thorsenskogen 9, 7699 Gulbrandsen"
"Anette-Maria Andresen"	"Liensvingen 46, 3642 Moen"
"Erik Christensen"	"Tangengata 5, 9033 Christensen"
"Finn Solheim"	"Henriksenalléen 698, 0911 Jonhelle"
"Per Haugen"	"Amundsenekra 1, 0355 Aasen"
"Tom Pettersen"	"Hansenstien 64, 8631 Ingerstad"
"Lars Nielsen"	"Ellingsenlyngen 6, 3532 Mayfoss"
"Harald Birkeland"	"Moenvollen 7, 4268 Cathrinevær"
"Linn-Berit Solberg"	"Hellandsvingen 7D, 2571 Rasmussen"
"Eivind-Joakim Kristiansen"	"Madsenhagen 8, 8982 Thorsen"
"Ellen Pedersen"	"Fredriksenflata 13, 2034 Isaksen"
"Anette-Marte Gulbrandsen"	"Tangenmyra 97, 4540 Elisabethhavn"
"Tore Solberg"	"Johnseneggen 5, 1181 Malinhamn"
"Jan Strand"	"Knutsenbakken 9, 1056 Sigurdby"
"Johannes Jacobsen"	"Berntsenspranget 72C, 1447 Eriksen"
"Trine-Martine Strand"	"Nguyeneggen 57, 2460 Paulsen"
"Prof. Morten Antonsen"	"Bakkemyra 73B, 6364 Ruthsjøen"
"Torill Jacobsen-Nielsen"	"Solheimåsen 064, 0270 Gundersen"
"Bente Paulsen"	"Kristiansenløkka 02, 4017 Heidisjøen"
"Thea Madsen"	"Sætherrøa 16, 7957 Turidsand"
"Thea Ahmed-Madsen"	"Johnseneggen 42, 3555 Larsøy"
"Anette-Tone Lien"	"Thorsenskogen 30, 2930 Geirøy"
"Einar Simonsen"	"Nygårdjordet 9F, 8057 Iversen"
"Linda Evensen"	"Hellandkroken 27, 7194 Markusfoss"
"Kenneth Svendsen"	"Rønninghøgda 4, 1392 Johansen"
"Johan Birkeland"	"Bakkengrenda 9C, 4919 Håvardgrunn"
"Lene-Mette Halvorsen"	"Bøestranda 3F, 1399 Monicafjell"
"Turid Eriksen"	"Ødegårdbakken 5, 3340 Olsen"
"Markus-Jens Helland"	"Jacobsenlunden 8A, 1717 Leneø"
"Harald Rønning"	"Kristoffersenhøgda 462, 8412 Johansen"
"Ole Gulbrandsen"	"Haugplassen 8, 7516 Kariodden"
"Anita Ahmed"	"Thomassenvika 78G, 8535 Sondredal"
"Henrik-Alf Johnsen"	"Arnesenhagen 8, 7302 Gunnareid"
"Mari Nilsen"	"Vikflata 8, 9464 Lien"
"Grethe Johannessen"	"Knudsenvika 6A, 1172 Berg"
"Daniel Eliassen"	"Amundsenbråten 514, 4433 Tovefoss"
"Trine Andersen"	"Lienlyngen 39, 8598 Runevik"
"Christian Henriksen-Knudsen"	"Halvorsenmyra 64, 6691 Lisemark"
"Hans Knudsen"	"Myklebustalléen 1C, 2961 Madsen"
"Leif Jenssen"	"Nielsenberget 39, 9337 Anetteøy"
"Håkon Haug"	"Kristoffersenvika 44, 0747 Larsen"
"Anita Ali"	"Rasmussenberget 342, 6310 Olsen"
"Johan Andresen"	"Svendsenspranget 3, 3618 Birkeland"
"Prof. Einar Paulsen"	"Auneeggen 18, 8447 Ellingsen"
"Frode Haug-Helland"	"Andreassenplassen 7, 2215 Eide"
"Synnøve-Lise Mathisen"	"Arnesenhagen 4F, 8592 Mathisen"
"Magne Lien"	"Holmtoppen 504, 6698 Jørgensen"
"Arild Andresen"	"Nilsenstranda 413, 3434 Ingridstrand"
"Sindre Sæther"	"Halvorsenberget 9, 9777 Einarstrand"
"Vegard Ellingsen"	"Hansenrøa 31G, 1829 Moen"
"Roger Nilsen"	"Myklebustekra 43, 5266 Lineøy"
"Anita Andersen"	"Aunegata 4F, 6099 Johannessen"
"Grethe-Jenny Hansen"	"Jørgensenfaret 65, 3728 Greteborg"
"Eli Rønning"	"Johnsenspranget 361, 3094 Moen"
"Kjersti Aas"	"Mikkelsenspranget 12, 4996 Trondeid"
"Hanne Martinsen"	"Myklebustlyngen 2, 2525 Sandvik"
"Kjersti Bakken"	"Bakkenhavna 6, 1578 Lund"
"Sigurd Amundsen"	"Ruudlyngen 03, 4111 Johansen"
"Sindre Bøe-Lund"	"Strømflata 99, 7017 Olegrunn"
"Anita Knudsen"	"Thorsenvika 43A, 1939 Ahmed"
"Rune Aas"	"Olsenkollen 1, 7048 Sisseldal"
"Anita Berg"	"Sivertseneggen 1, 0982 Ali"
"Odd Knudsen"	"Hagengata 41, 4548 Eriksen"
"Jens Næss"	"Eliassenbråten 61E, 2432 Lien"
"Ellen Andreassen"	"Hagenhaugen 19, 5008 Arneø"
"Kjersti-Torill Eide"	"Aasgjerdet 5, 4376 Sæther"
"Linda Tangen"	"Fredriksentunet 5F, 4324 Eirikhelle"
"Elisabeth Edvardsen"	"Holmtunet 129, 2634 Nielsen"
"Dr. Arne Ødegård"	"Alihagen 99, 9649 Beritås"
"Eivind Berntsen"	"Strandeggen 81, 6674 Jorunnstrand"
"Eva Kristiansen"	"Lienekra 9, 7911 Ruud"
"Anita Bøe"	"Jacobsenskogen 1, 0080 Berntsen"
"Dr. Robert Johnsen"	"Nielsenstykket 85, 3739 Ritavik"
"Elisabeth Hagen"	"Eriksenbråten 14, 9819 Thorsen"
"Sofie Thorsen"	"Jørgensenmoen 9E, 4500 Ragnhildberg"
"Ellen Hansen-Jensen"	"Sandvikhaugen 85A, 0657 Aas"
"Joakim Jørgensen"	"Paulsengjerdet 2, 5891 Linnvåg"
"Grete Kristiansen"	"Edvardsenekra 77, 4303 Svendsen"
"Siri Næss"	"Aasensvingen 61, 6634 Lien"
"Hilde-Janne Mikkelsen"	"Hauglandstranda 88C, 2314 Sigurdmark"
"Sissel Rasmussen"	"Knudsenengen 69A, 9364 Andreasøy"
"Anita Johnsen"	"Haugenhavna 3, 0467 Jørgensen"
"Else-Julie Mikkelsen"	"Knutsenmarka 5C, 9536 Trinestad"
"Vegard Lien"	"Aliflata 6, 6982 Helenehelle"
"Sindre Myhre"	"Strømhagen 2, 6047 Lien"
"Jenny Myklebust"	"Eriksenmoen 5, 1911 Edvardsen"
"Kim Pettersen"	"Berntsenbakken 4D, 5938 Runeø"
"Jon Thorsen"	"Johannessenstien 5A, 3455 Andreassen"
"Dr. Daniel Christensen"	"Christensentoppen 678, 7250 Noraeid"
"Britt Danielsen"	"Lienskrenten 317, 1915 Simonsen"
"Sander Johannessen"	"Myklebuståsen 2, 1835 Larsen"
"Anita Knudsen-Amundsen"	"Mikkelsenhavna 75, 2159 Knutø"
"Sondre-Kenneth Kristensen"	"Nielsenfaret 1D, 1555 Helland"
"Eli Jacobsen"	"Mathisenstranda 4, 6843 Jørgensen"
"Dr. Ole Moe"	"Karlsenekra 1, 1229 Adrianhelle"
"Grete-Britt Simonsen"	"Johannessenekra 483, 6116 Rasmussen"
"Tonje Aas"	"Gundersenflata 2, 3572 Benteodden"
"Rune Hagen"	"Tangentjernet 05, 2808 Kennethnes"
"Gunn Engen"	"Myklebusttjernet 4, 4283 Torillsjøen"
"Cecilie Mathisen"	"Moenstranda 773, 2143 Jenssen"
"Inger Birkeland"	"Thorsenåsen 082, 2422 Hanssen"
"Anita Lie"	"Ruudmoen 7C, 2993 Holm"
"Eva Solheim"	"Bergspranget 9, 3157 Sæther"
"Mette Tveit"	"Ellingsenspranget 11, 4185 Ali"
"Erling Halvorsen"	"Berglyngen 24, 8494 Danielstad"
"Kjersti Hanssen"	"Aasenengen 39D, 1002 Johansen"
"Christian-Jørgen Nielsen"	"Hellandåsen 7B, 3966 Kristineøy"
"Roy Kristensen"	"Hansenlunden 24F, 1837 Pedersen"
"Berit Rasmussen"	"Edvardsenlyngen 72C, 2315 Christianfoss"
"Sissel Jensen"	"Strandbakken 3, 0666 Abrahamsen"
"Kristin-Kristin Madsen"	"Ahmedbakken 19, 8582 Edvardsen"
"Anita Myhre"	"Solheimgrenda 8, 4906 Beritsjøen"
"Siri Paulsen"	"Gundersenmarka 8H, 7191 Trondfjord"
"Turid Kristoffersen"	"Hanssenhaugen 98D, 2150 Haug"
"Simen Næss"	"Thomassenskrenten 2C, 2492 Solheim"
"Marius Amundsen"	"Solheimskogen 3, 6436 Andreassen"
"Else-Thea Edvardsen"	"Bøevika 3, 9822 Brittsjøen"
"Jon-Bjørn Lie"	"Pettersengropa 1, 3414 Sigurdeid"
"Egil-Sverre Bakken"	"Johansenstien 49, 7521 Johansen"
"Liv Solheim"	"Pedersenmyra 47, 5177 Magnestrøm"
"Pål Jacobsen"	"Solbergberget 076, 7230 Lie"
"Anita Næss"	"Nilsenberget 7, 3464 Gundersen"
"Liv Jakobsen"	"Ahmedvollen 908, 8686 Torbjørnhavn"
"Morten-Christian Johnsen"	"Thomassenalléen 2C, 5330 Marieø"
"Elisabeth Madsen"	"Moemyra 69A, 5947 Aasen"
"Jens Ellingsen"	"Liensvingen 028, 9572 Eliassen"
"Dr. Tor Sørensen"	"Simonsenlia 8, 8404 Stineøy"
"Rune-Pål Iversen"	"Sæthertjernet 488, 3823 Mortenberg"
"Anette Kristensen"	"Pettersengata 8, 0979 Ivarfjord"
"Hege Olsen"	"Andreassenløkka 17, 4393 Øyvindodden"
"Stine Birkeland"	"Eidehaugen 2, 9838 Haugen"
"Anita Rønning"	"Edvardsenmyra 74A, 0734 Andreaeid"
"Dr. Thomas Tangen"	"Sørensenflata 1, 9075 Ali"
"Elise Lien"	"Mikkelsenengen 84, 2024 Leifhelle"
"Leif Bakke"	"Aastjernet 3, 2061 Knudsen"
"Hanna Tangen"	"Dahlsvingen 19, 9521 Elisabethvåg"
"Vidar Andersen"	"Antonsenberget 559, 5117 Jorunnbø"
"Rita Hagen"	"Aasengropa 1, 8010 Sørensen"
"Prof. Øyvind Ahmed"	"Lienvollen 46, 4492 Fredriksen"
"Anette Haug-Ahmed"	"Johnsentunet 54, 1481 Aune"
"Johan Berg"	"Johannessentunet 88, 4716 Moe"
"Anita Rønning-Haug"	"Iversenmoen 4C, 6419 Groby"
"Fredrik Ødegård"	"Madsenringen 279, 2910 Kristofferdal"
"Thea Simonsen"	"Strømmyra 76, 8185 Tonjeås"
"Irene-Jorunn Larsen"	"Aunemyra 47, 2068 Jakobsen"
"Lars Dahl"	"Pettersenstranda 05B, 7448 Sigridhelle"
"Jenny Hanssen"	"Larsenstubben 1, 9820 Evensen"
"Stine Moen"	"Larsenholtet 6C, 1129 Hauge"
"Rita-Ida Arnesen"	"Arnesengjerdet 52A, 5357 Alexandergrunn"
"Olav Jacobsen"	"Dahlringen 95C, 9944 Eliassen"
"Håvard Haugen"	"Pettersenhaugen 3, 3562 Arildstad"
"Anita-Elise Ødegård"	"Birkelandløkka 97C, 8798 Magnusnes"
"Frank Amundsen"	"Arnesenlunden 2D, 3517 Vik"
"Kari Henriksen"	"Haugehavna 04, 6748 Iversen"
