"अंजली अहेरजी","599 चव्हाण
नवी मुंबई-385520"
"श्री कोमल शिंदे","031 शिंदे
गोंदिया-017925"
"अनिल जाधवजी","75/1209 शिंदे
अकोला-430754"
"मोहन सावंत","00 राऊत
नवी मुंबई-090717"
"श्री स्वाती भोसले","6/9 कुलकर्णी
नागपूर-799958"
"श्री चेतन ओक","62/76 मिलिंद आगरकर
ठाणे 926915"
"श्रीमती रेणुका गवळी","244 साने
अहमदनगर 735360"
"विवेक कदमजी","3224 अभिषेक गवळी
नाशिक-343069"
"श्रीमती माधुरी ठाकूर","9 राऊत
अमरावती-513539"
"श्रीमती आकांक्षा शिंदे","43/574 गायकवाड
परभणी-599060"
"श्री गणेश शिरसाट","29/52 पाटील
पुणे 362530"
"दीपक पवार","0088 कदम
पिंपरी-चिंचवड 800168"
"अनिल जोशी","28/19 भूषण जगताप
हिंगोली-237098"
"मेघा कोल्हे","536 साने
सातारा-610960"
"दीपाली शिंदेजी","5/5 गायकवाड
कोल्हापूर-215908"
"श्रुती चौगुलेजी","579 गवळी
धुळे-161860"
"इशिता शिरसाट","899 जोशी
नागपूर 905201"
"रेणुका ठाकूर","23 अनुष्का देशपांडे
सातारा 796825"
"श्री कोमल गायकवाड","45/119 कदम
सातारा 649995"
"श्रीमती चेतना कदम","05/6708 प्रवीण ओक
नवी मुंबई 053660"
"कल्पना गवळीजी","8 अहेर
उस्मानाबाद 646026"
"आकांक्षा कदमजी","387 मोरे
वसई-639231"
"अनिल देशपांडे","7816 कुलकर्णी
सोलापूर-597559"
"श्रीमती माधुरी कदम","30/0730 दीपक चव्हाण
नागपूर-662859"
"रीमा चौगुलेजी","73/07 शिंदे
पुणे 117592"
"स्नेहा गायकवाड","56/373 गायकवाड
लातूर-242775"
"चेतन जाधव","13/7779 मोहन फडके
मिरज 380677"
"रोहित कदमजी","4499 प्रज्ञा देशपांडे
परभणी 720892"
"गौरव कांबळेजी","8735 सावंत
नांदेड 365788"
"अनिरुद्ध देशमुख","05/65 ठाकूर
मिरज 274019"
"श्री भूषण जोशी","6032 जोशी
सोलापूर 498150"
"ज्योती ओक","726 ठाकूर
पुणे-302134"
"अनिल देशपांडेजी","37/38 श्रुती देशपांडे
पुणे-358831"
"चेतन साळुंखेजी","99/92 पल्लवी अहेर
नाशिक-735547"
"कैलास शिरसाटजी","19/87 सुरेश कुलकर्णी
सोलापूर-052926"
"प्रिया महाजनजी","19/43 जितेंद्र कदम
बीड-358638"
"प्रकाश फडके","3121 जगताप
चंद्रपूर 914527"
"संदीप राऊतजी","94/5932 कांबळे
हिंगोली-912771"
"दीपक मोरेजी","67/4171 प्रशांत मोरे
अहमदनगर-998573"
"आदित्य साने","10/04 आगरकर
बीड-824358"
"विवेक मानेजी","6/2 रोहिणी ओक
लातूर-622668"
"आकाश सावंत","9/6 जगताप
उस्मानाबाद-453746"
"अनिल देशपांडेजी","83 चौगुले
औरंगाबाद-234583"
