"अंजली अहेरजी","6/9 अनिल आगरकर
अमरावती-978757"
"चेतन गवळी","38/09 माधव साने
ठाणे 175299"
"कविता जगताप","650 विवेक राऊत
वसई 312184"
"प्रिया मोरेजी","44/1671 ओक
मुंबई-025959"
"अशोक अहेरजी","0 आदित्य जोशी
गोंदिया-125523"
"आकाश चौगुले","3/8 सुनील कोल्हे
अकोला 098936"
"प्रशांत गवळीजी","8/5 महाजन
नागपूर-737331"
"श्रीमती माधव जोशी","69/155 ओक
वसई 652413"
"अनिरुद्ध ठाकूर","1915 श्रुती कोल्हे
सांगली-475270"
"राहुल जगतापजी","8 मोरे
मुंबई-646521"
"मोहन अहेरजी","28/04 गणेश साने
नांदेड-701703"
"निखिल कोल्हेजी","2186 रीमा राऊत
अमरावती-104568"
"हर्षदा भोसलेजी","50/16 शिरसाट
नाशिक-750354"
"चेतन मोरेजी","4 आकांक्षा महाजन
बीड 414986"
"श्रीमती भूषण जाधव","89 अमोल आगरकर
हिंगोली-092564"
"कुमारी मिलिंद साने","625 पल्लवी कदम
सांगली 509246"
"गणेश ठाकूरजी","311 ईश्वर सावंत
वसई-076726"
"इशिता कांबळेजी","3 कदम
लातूर-279732"
"अनिरुद्ध देशपांडे","0/4 शिल्पा पाटील
जळगाव-778446"
"मीनल अहेर","39 राऊत
उस्मानाबाद 304514"
"कुमारी चेतन जगताप","65 कुलकर्णी
सांगली 337583"
"श्री हर्षदा सावंत","12/66 आदित्य कांबळे
अहमदनगर 485820"
"पंकज गवळीजी","4 जाधव
रत्नागिरी-862469"
"चेतन देशपांडे","972 विकास आगरकर
चंद्रपूर-839589"
"चेतना पवार","67/1909 माने
ठाणे-880994"
"अमित जोशी","74/658 पंकज कुलकर्णी
अमरावती 511850"
"रोहिणी आगरकरजी","80 श्रुती भोसले
उस्मानाबाद 949823"
"कविता पवार","552 प्रशांत देशपांडे
लातूर-451709"
"अनिरुद्ध देशपांडेजी","212 चव्हाण
नाशिक-136913"
"सुरेश गायकवाडजी","9644 अपर्णा माने
उस्मानाबाद-941335"
"आशा कुलकर्णी","54/627 लता राऊत
सोलापूर 430921"
"प्रज्ञा महाजनजी","60/81 राऊत
बीड 266019"
"श्रीमती मकरंद ओक","69/404 दीपाली कांबळे
बीड-301264"
"रेणुका कोल्हे","601 मीनल शिंदे
धुळे-926241"
"स्मिता मानेजी","0/6 लता शिरसाट
अहमदनगर 039412"
"श्री प्रज्ञा पवार","23/939 देशपांडे
ठाणे-340402"
"दीपक कोल्हे","8/6 देशपांडे
सोलापूर-683297"
"कविता फडके","3768 प्रवीण गवळी
परभणी-844728"
"अनिरुद्ध देशपांडेजी","4396 जाधव
अमरावती-955414"
"कुमारी मानसी साळुंखे","88/60 आगरकर
वसई 785359"
"उमा चौगुले","2965 प्रवीण माने
अकोला 764944"
"प्रिया साने","1043 उमेश फडके
उस्मानाबाद 241378"
"श्री अनिरुद्ध देशमुख","37/5135 साळुंखे
मुंबई-927964"
