"अंजली आगरकर"|"7225 जाधव
नांदेड-416315"
"अमोल अहेर"|"36 मोरे
ठाणे-490103"
"मिलिंद ठाकूरजी"|"04/02 तन्वी मोरे
नाशिक-048486"
"कुमारी प्रवीण ओक"|"965 अहेर
सोलापूर-808843"
"संदीप गवळीजी"|"066 चौगुले
यवतमाळ 513343"
"रोहित गवळी"|"602 पूजा मोरे
अमरावती 873914"
"मेघा सानेजी"|"24 प्रज्ञा पवार
मुंबई-869637"
"स्नेहा जाधवजी"|"59/84 सावंत
अमरावती 052701"
"कुमारी मिलिंद साळुंखे"|"31 साने
नाशिक 647536"
"कुमारी दीपक फडके"|"12/73 अरुण गायकवाड
रत्नागिरी-852346"
"अनिरुद्ध कोल्हेजी"|"074 मोरे
गोंदिया 543896"
"रोहिणी चव्हाणजी"|"0/4 किरण देशपांडे
नागपूर-634762"
"दीपाली मोरे"|"188 मकरंद पाटील
धुळे 226566"
"संदीप जगतापजी"|"6344 आकाश माने
नाशिक-049323"
"उमेश अहेरजी"|"99/6631 मोरे
धुळे-747556"
"श्रुती फडकेजी"|"32/56 कांबळे
धुळे-923136"
"वैशाली कुलकर्णीजी"|"735 गवळी
गोंदिया 667549"
"मीनल फडकेजी"|"3995 साने
यवतमाळ 077508"
"प्रिया गायकवाडजी"|"4 गायकवाड
परभणी-884860"
"प्रकाश शिंदेजी"|"1602 पंकज चौगुले
नागपूर 843882"
"अनिरुद्ध गायकवाडजी"|"70/86 भोसले
यवतमाळ-967734"
"पूजा महाजनजी"|"01/5615 मानसी जगताप
धुळे-081844"
"अमोल चव्हाणजी"|"71/39 कोल्हे
सांगली 458530"
"प्रज्ञा फडके"|"43/67 स्वाती साळुंखे
पिंपरी-चिंचवड 371783"
"श्रीमती रेणुका मोरे"|"42 मानसी जाधव
बीड 100579"
"प्रिया देशपांडेजी"|"1 कदम
औरंगाबाद-362355"
"आकाश भोसले"|"33/63 मिलिंद राऊत
वसई 219506"
"विवेक महाजन"|"03/46 सुनील साळुंखे
सांगली 876264"
"श्रीमती पल्लवी कुलकर्णी"|"82/2956 भोसले
हिंगोली 806313"
"चेतन जगतापजी"|"24/313 अशोक जोशी
औरंगाबाद-118627"
"अनिरुद्ध पवारजी"|"40/23 दीपाली आगरकर
वसई 640243"
"श्रीमती प्रकाश कुलकर्णी"|"6/1 जाधव
जळगाव-835568"
"श्रीमती आकाश कोल्हे"|"462 देशपांडे
सांगली-148400"
"विनायक भोसले"|"7952 कुलकर्णी
वसई 761121"
"निलेश मोरेजी"|"25/68 विवेक फडके
यवतमाळ-770260"
"जितेंद्र कोल्हे"|"676 देशमुख
कोल्हापूर-318320"
"मंगेश कदम"|"29/65 स्नेहा शिंदे
कोल्हापूर-063354"
"आदित्य कुलकर्णी"|"35/17 साने
लातूर 263571"
"अंजली शिरसाटजी"|"4/7 निलेश जाधव
सातारा 433615"
"उमा देशमुख"|"3 माने
नागपूर-280343"
"अनिरुद्ध पवारजी"|"69 चौगुले
पुणे-668217"
"कीर्ती राऊतजी"|"5329 भोसले
चंद्रपूर-423250"
"कुमारी निखिल राऊत"|"55/3389 मोरे
उस्मानाबाद-271222"
"माधव शिंदेजी"|"85/91 अभिजीत साने
कोल्हापूर-973087"
"सुरेश जगतापजी"|"7300 अपर्णा भोसले
रत्नागिरी 175896"
"गणेश सावंतजी"|"2853 तन्वी कोल्हे
बीड 860222"
"राहुल गायकवाडजी"|"55/566 भोसले
परभणी-442193"
"रीमा चव्हाणजी"|"2/6 पल्लवी साने
बीड 778488"
"श्री प्रज्ञा मोरे"|"673 शिंदे
औरंगाबाद-487793"
"कुमारी रीमा शिंदे"|"2259 माने
पिंपरी-चिंचवड 955281"
"अनिरुद्ध मानेजी"|"13/5756 कदम
धुळे-398894"
"श्री नेहा माने"|"32 भूषण ओक
उस्मानाबाद-998949"
"कुमारी तन्वी पाटील"|"96/1559 मोरे
नागपूर 616304"
"अमित साळुंखेजी"|"2 सावंत
बीड 297342"
"चेतन माने"|"6/8 कल्पना फडके
बीड-654663"
"स्मिता जाधव"|"5042 जाधव
पुणे-369021"
"संदीप मोरे"|"55/7365 माधव मोरे
अकोला 658308"
"विवेक गायकवाड"|"0 गौरव जगताप
लातूर-804003"
"गौरव सावंतजी"|"1/4 मोरे
वसई-720450"
"रेणुका सावंत"|"13/23 महाजन
औरंगाबाद 340154"
"अनिरुद्ध मोरे"|"66/8806 कोमल भोसले
रत्नागिरी 818015"
"वैशाली जाधवजी"|"32/855 आगरकर
नाशिक 812776"
"तन्वी ओक"|"353 जोशी
लातूर 870059"
"प्रकाश सानेजी"|"66/999 राऊत
मिरज-732198"
"अपर्णा राऊतजी"|"18 सावंत
पिंपरी-चिंचवड 357268"
"पल्लवी माने"|"29/51 जगताप
सांगली 537830"
