"ავთანდილ აბდულაევი"|"აკურის ქ. 12, ყვარელი"
"რეზო მჭედლიშვილი"|"ფალიაშვილის ქ. 46, რუსთავი"
"ჯუმბერ გოგიჩაშვილი"|"დოლიძე გოგის ქ. 34, აბაშა"
"ანჟელა შუბითიძე"|"წიკლაურის ქ. 45, ნინოწმინდა"
"ილია მერებაშვილი"|"შავნაბადას ქ. 26, სენაკი"
"ალა რევაზიშვილი"|"ქობულეთის ქ. 59, ოჩამჩირე"
"ნანა გულუა"|"პიატიგორსკის ქ. 38, სიღნაღი"
"მიხეილ დევიძე"|"მიშველაძე არჩილის ქ. 16, სამტრედია"
"ოთარ გაფრინდაშვილი"|"ბერიკაშვილის ქ. 65, დედოფლისწყარო"
"ეკატერინე კილაძე"|"ხმელნიცკის ქ. 32, წყალტუბო"
"პაატა ბოლქვაძე"|"ზიგზაგის ქ. 36, ფოთი"
"ბესარიონ კობაიძე"|"კავთისხევის ქ. 96, წნორი"
"ლამარა ფანცულაია"|"არაგვისპირელი შიოს ქ. 70, ახალციხე"
"მამუკა პაპიძე"|"ბუდაპეშტის ქ. 97, ხონი"
"თათია კაპანაძე"|"კიშინიოვის ქ. 31, ტყვარჩელი"
"ალა ტურაშვილი"|"ნიზამის ქ. 88, წნორი"
"ლენა სოფრომაძე"|"ნუცუბიძის ქ. 94, ონი"
"სოფიო გუჯაბიძე"|"რაზიკაშვილის ქ. 39, ხონი"
"ელგუჯა წერეთელი"|"სამგორის ქ. 80, ტყიბული"
"მიხეილ ფირცხალავა"|"ანაკლიის ქ. 56, ფოთი"
"ლარისა შალამბერიძე"|"ხიდისთავის ქ. 58, ხაშური"
"მალხაზ კუჭავა"|"წიწამურის ქ. 82, ცხინვალი"
"ბადრი სულაბერიძე"|"გუდარის ქ. 21, ამბროლაური"
"დავით რეხვიაშვილი"|"ბარალეთის ქ. 55, წალენჯიხა"
"ჯუმბერ ხალვაში"|"შავნაბადას ქ. 81, ჯვარი"
"ალა ქუთათელაძე"|"ყვარელის ქ. 79, ახალქალაქი"
"თორნიკე ჩიხლაძე"|"ენგურჰესის ქ. 76, ლაგოდეხი"
"მარიკა ხვედელიძე"|"ძმობის ქ. 54, ყვარელი"
"ლალი შელია"|"ჯორბენაძის ქ. 36, ტყიბული"
"ანი გორგოძე"|"ლიბანის ქ. 35, გაგრა"
"მარი გულუა"|"კონსტიტუციის ქ. 29, ხაშური"
"შოთა გიორგაძე"|"დელისის ქ. 36, ფოთი"
"როინ კოპაძე"|"ჭოროხის ქ. 31, რუსთავი"
"მზია დევაძე"|"ქუთათელაძის ქ. 28, ზუგდიდი"
"მიხეილ კუბლაშვილი"|"წულაძის ქ. 49, ონი"
"ალა ქურდაძე"|"საბაშვილის ქ. 89, ბორჯომი"
"ციცინო კიკვაძე"|"ხიდისთავის ქ. 03, წყალტუბო"
"ივანე ბიწაძე"|"თონეს ქ. 10, ვალე"
"ალექსანდრე ცეცხლაძე"|"დ. ყიფიანის ქ. 28, გარდაბანი"
"მინდია ნოზაძე"|"მელაანის ქ. 21, სიღნაღი"
"გვანცა კობიაშვილი"|"ხოდაშენის ქ. 00, სამტრედია"
"მურთაზ მჟავანაძე"|"ბალანჩივაძე მელიტონის ქ. 74, ბოლნისი"
"თამაზ რუხაძე"|"ახალქალაქის ქ. 22, თბილისი"
"ჯაბა კაკულია"|"ცისარტკელას ქ. 54, წალკა"
"სონია რუხაძე"|"სულხან-საბას ქ. 31, გორი"
"ალექს ადეიშვილი"|"მელაანის ქ. 63, მარტვილი"
"ალექს კირვალიძე"|"წმ. ნიკოლოზის ქ. 80, აბაშა"
"ვენერა რაზმაძე"|"საბაშვილის ქ. 08, ამბროლაური"
"ზაურ გაგუა"|"კანდელაკის ქ. 65, საგარეჯო"
"მზია წულუკიძე"|"ხიდის ქ. 26, კასპი"
"ია გაბედავა"|"საბაშვილის ქ. 32, ბორჯომი"
"ლენა მერებაშვილი"|"ოდესის ქ. 24, ხონი"
"მირანდა ლომსაძე"|"ფოსტის ქ. 95, გუდაუთა"
"უშანგი კობერიძე"|"უჩანეიშვილი ირაკლის ქ. 62, ტყვარჩელი"
"მურმან გიორგობიანი"|"დიდი ჯიხაიშის ქ. 27, ვანი"
"ალექს ბახტაძე"|"წმ. ნიკოლოზის ქ. 76, ბაღდათი"
"ციცინო ნეფარიძე"|"მუსხელიშვილის ქ. 27, ხობი"
"დიანა ჩუბინიძე"|"მარჯანიშვილი კოტეს ქ. 06, დედოფლისწყარო"
"მთვარისა გიორგაძე"|"თელავის ქ. 07, თელავი"
