"Abdullah Bachmann","Sutterstrasse 86
5460 Arbon"
"Josefina Stettler","Baumgartnerstrasse 51
2508 Lugano"
"Albin Maurer","Schulerstrasse 906
7487 Neuenburg"
"Detlef Wagner","Wüthrichstrasse 44
4275 Suhr"
"Giuseppe Geiger","Albrechtstrasse 39
9215 Amriswil"
"Daniele Meyer","Grossstrasse 4
4392 Kreuzlingen"
"Maryse Zollinger","Lehmannstrasse 8
4980 Biel/Bienne"
"Patrice Bader","Furrerstrasse 76
7766 Risch"
"Carmela Siegrist","Bianchistrasse 81
7029 Spiez"
"Annie Gut Herzog","Brunstrasse 82
2526 Thônex"
"Amar Baur","Bergerstrasse 3
4662 Glarus"
"Alexandre Huber","Zollingerstrasse 64
7835 Liestal"
"Albina Furrer","Baumannstrasse 5
6294 Wald"
"Dr. Hélène Schumacher","Schaubstrasse 459
9143 Stäfa"
"Chiara Burri","Wolfstrasse 489
6571 Prilly"
"Myrtha Bättig","Steinerstrasse 67
1921 Veyrier"
"Elodie Gfeller Scheidegger","Stöcklistrasse 41
4513 Chur"
"Mimoza Hürlimann Zimmermann","Fehrstrasse 6
6849 Steffisburg"
"Rayan Frei","Stöcklistrasse 92
4756 Dübendorf"
"Leana Schmidt Jäggi","Ernststrasse 16
8641 Monthey"
"Lauriane Probst","Beckstrasse 97
2337 Zürich"
"Gladys Walter-Leu","Grossstrasse 915
3406 Sitten"
"Albina Ziegler","Schwarzstrasse 66
7825 Brugg"
"Balz Giger","Stadelmannstrasse 99
8094 Allschwil"
"Valentine Koch-Graf","Bergerstrasse 91
2352 Muttenz"
"Eloïse Wolf","Eggerstrasse 65
2804 Flawil"
"Josette Ritter","Stadelmannstrasse 83
9350 Naters"
"Claudio Kaiser","Ammannstrasse 354
5290 Maur"
"Ana Wolf","Hofmannstrasse 10
2141 Reinach"
"Timothy Ziegler","Hessstrasse 49
4295 Maur"
"Guy Schuler-Vogt","Jäggistrasse 79
8918 Dübendorf"
"Michelle Maurer-Maurer","Kaufmannstrasse 5
1341 Naters"
"Albulena Lehmann Schaub","Michelstrasse 826
4949 Stäfa"
"Roxane Felber","Fischerstrasse 54
9801 Val-de-Travers"
"Evelyn Schärer Koch","Winklerstrasse 31
1066 Veyrier"
"Wilma Sidler-Siegrist","Schärstrasse 55
8154 Solothurn"
"Christiane Bieri","Weibelstrasse 402
4777 Wil"
"Prisca Peter","Knechtstrasse 31
8060 Chêne-Bougeries"
"Leopold Hermann","Schweizerstrasse 29
5582 Meyrin"
"Anke Leu","Bühlerstrasse 876
9528 Steinhausen"
"Kerim Schaub","Siegriststrasse 361
6202 Münsingen"
"Alisha Fankhauser","Ernistrasse 467
8027 Kriens"
"Aldin Hess","Kellerstrasse 31
3021 Prilly"
"Miguel Hafner","Hunzikerstrasse 84
4144 Rüti"
"Cornelia Hodel-Jost","Müllerstrasse 5
3945 Dietikon"
"Simeon Rüegg","Hessstrasse 70
6866 Urdorf"
"Emilie Rüegg","Ernststrasse 40
6432 Wettingen"
"Zita Maurer Bianchi","Bosshardstrasse 6
2099 Luzern"
"Maja Schlatter","Betschartstrasse 502
5016 Grenchen"
"Konstantinos Ziegler","Bühlmannstrasse 449
7220 Wald"
"Margaretha Zbinden","Fischerstrasse 9
7483 Riehen"
"Cédric Tobler-Lang","Eggerstrasse 48
6535 Köniz"
"Alea Hirt Bauer","Geigerstrasse 83
4522 Bülach"
"Marlies Peter-Burri","Flückigerstrasse 50
7915 Richterswil"
"Prof. Marika Schäfer","Hauserstrasse 69
8967 Val-de-Travers"
"Amela Stalder","Schaubstrasse 2
8701 Steinhausen"
"Albina Flückiger","Zehnderstrasse 871
9975 Romanshorn"
"Viktoria Hotz-Schär","Blaserstrasse 68
3464 Horgen"
"Rosaria Aebi","Schaubstrasse 95
3048 Oftringen"
"Karl Kunz","Scherrerstrasse 71
7874 Rüti"
"Enver Jost","Wehrlistrasse 57
4979 Illnau-Effretikon"
"Felipe Rüegg","Bühlmannstrasse 72
4693 Möhlin"
"Aleksandar Frick","Lustenbergerstrasse 878
4196 Carouge"
"Karsten Meier-Stöckli","Weberstrasse 9
3049 Montreux"
"Prof. Edmund Tobler","Eglistrasse 5
8422 Bern"
"Emmanuelle Beck","Häfligerstrasse 84
9381 Baden"
"Kay Weber-Favre","Gloorstrasse 35
8540 Münchenbuchsee"
"Wilfried Hess","Hugstrasse 1
5190 Morges"
"Dr. Iwan Meili","Kunzstrasse 63
5730 Veyrier"
"Artur Friedli-Stucki","Hoferstrasse 88
8844 Opfikon"
"Erwin Felber","Bärstrasse 9
4972 Lenzburg"
"Elisabete Kägi","Fischerstrasse 98
6877 Schaffhausen"
"Aleksandar Probst","Kägistrasse 77
4169 Meilen"
"Maël Lustenberger","Schwarzstrasse 48
5220 Illnau-Effretikon"
"Noemi Walter","Staubstrasse 5
2570 Kloten"
"Wendy Baumann","Hugstrasse 46
8361 Luzern"
"Rosina Peter-Wegmann","Häfligerstrasse 86
3217 Renens"
"Christine Arnold","Bauerstrasse 11
3917 Binningen"
"Amra Wehrli","Seilerstrasse 19
2513 Wetzikon"
"Ulrike Rey","Steinmannstrasse 37
1380 Lancy"
"Birgit Roth","Zürcherstrasse 3
6043 Bassersdorf"
"Ada Rey","Bergerstrasse 61
9744 Spiez"
"Alena Probst-Rüegg","Sutterstrasse 7
4298 Langenthal"
"Nuno Häfliger","Peterstrasse 452
8301 Regensdorf"
"Antoinette Bianchi","Moserstrasse 35
6576 St. Gallen"
"Ingrid Geiger Jost","Küngstrasse 6
7506 Wallisellen"
"Enver Scheidegger","Bernasconistrasse 62
9317 Naters"
"Lotti Scheidegger-Wyss","Thommenstrasse 67
4717 Chur"
"Francesca Meier-Schneider","Bosshardstrasse 4
8376 Nyon"
"Alicia Schneider","Martistrasse 573
2264 Wohlen"
"Deborah Jost-Wolf","Ernststrasse 38
7228 Weinfelden"
"Luciana Amrein Hafner","Suterstrasse 9
3274 Münchenbuchsee"
"Alena Schweizer","Haasstrasse 3
6333 Kreuzlingen"
"Corine Bianchi Schmidt","Sutterstrasse 28
1946 Köniz"
"Dr. Alba Wenger","Gfellerstrasse 57
7725 Brig-Glis"
"Prof. Anne-Marie Fehr","Freistrasse 6
3060 Prilly"
"Manuela Steffen","Walderstrasse 69
3806 Val-de-Travers"
"Ivano Gloor","Tannerstrasse 83
3119 Freiburg"
"Carmelo Favre","Zieglerstrasse 60
8841 Steinhausen"
"Filip Lustenberger","Bergerstrasse 77
5605 Ittigen"
"Rosemarie Käser","Wengerstrasse 293
6809 St. Gallen"
"Andri Frick","Bachmannstrasse 16
1673 La Tour-de-Peilz"
"Alessia Bättig","Schwabstrasse 77
1344 Adliswil"
"Sanije Bühlmann","Braunstrasse 49
2084 Lancy"
"Alen Bachmann","Brunnerstrasse 469
7079 Le Grand-Saconnex"
"Romane Probst","Stadelmannstrasse 6
5529 Wil"
"Finn Bättig","Schnyderstrasse 88
1420 Urdorf"
"Damiano Schnyder","Bühlmannstrasse 19
8101 Münchenstein"
"Séverine Bachmann","Schlatterstrasse 1
3959 Ebikon"
"Ariane Ackermann","Roosstrasse 92
2501 Bernex"
"Markus Häfliger","Imhofstrasse 2
1485 Wald"
"Meryem Moser Kälin","Zürcherstrasse 28
9535 Uzwil"
"Alessia Gerber","Amreinstrasse 98
1111 Martigny"
"Bertha Bosshard","Zimmermannstrasse 62
4554 Davos"
"Andrina Kaiser-Lüscher","Müllerstrasse 52
9490 Locarno"
"Tomás Kessler","Bernasconistrasse 2
3746 Yverdon-les-Bains"
"Agnese Suter","Lüthistrasse 80
3254 Kreuzlingen"
"Admir Schneider","Hofmannstrasse 836
3980 Worb"
"Samuele Bosshard","Thommenstrasse 24
9341 Locarno"
"Gabriella Kägi-Bättig","Eggerstrasse 33
6076 Siders"
"Cyril Leunberger","Freystrasse 4
7920 Allschwil"
"Aurora Michel","Pfisterstrasse 743
7249 Herisau"
"Alessia Schwarz","Wagnerstrasse 9
9248 Nyon"
"Aurora Benz Ackermann","Schwabstrasse 89
7533 Morges"
"Muhamet Geiger","Braunstrasse 455
1148 Sarnen"
"Mohammad Zimmermann-Hirt","Brunstrasse 289
7733 Wald"
"Annelies Meister","Stutzstrasse 50
2400 Urdorf"
"Solène Hess-Spörri","Walterstrasse 2
5597 Herisau"
"Branislav Benz","Schnyderstrasse 92
4910 Neuhausen"
"Danny Furrer","Furrerstrasse 12
9039 Emmen"
"Fabia Schoch","Kunzstrasse 60
4181 Emmen"
"Theophil Schneider-Küng","Hauserstrasse 755
1717 Muttenz"
"Alessia Steiger","Benzstrasse 432
2100 Opfikon"
"Kirsten Brun","Rüeggstrasse 51
4533 Suhr"
"Omar Schuler","Mäderstrasse 783
9928 Regensdorf"
"Marie-Louise Stauffer","Vogtstrasse 7
1521 Morges"
"Sofia Winkler","Studerstrasse 7
9022 Wettingen"
"Eva Wirz-Frei","Huberstrasse 22
9935 St. Gallen"
"Mihajlo Lang","Gigerstrasse 10
6612 Aarau"
"Ljiljana Gasser","Bieristrasse 80
5933 Uzwil"
"Siro Zehnder","Burristrasse 75
6120 Lutry"
"Romeo Sigrist","Schärstrasse 14
7359 Herisau"
"Alessia Weibel Aebi","Kaiserstrasse 63
9695 Plan-les-Ouates"
"Dunja Walder","Jäggistrasse 5
7879 Münchenstein"
"Wolfgang Wegmann","Kesslerstrasse 63
9828 Kreuzlingen"
"Tabea Hunziker","Stuckistrasse 6
5708 Bassersdorf"
"Driton Walder","Mayerstrasse 10
4524 Kloten"
"Azra Weibel Walder","Mäderstrasse 3
5287 Sursee"
"Claude Schlatter","Kochstrasse 7
7860 Glarus"
"Elisa Stutz Marti","Walderstrasse 13
9793 Worb"
"Hanife Roos","Sutterstrasse 472
4061 Lutry"
"Joaquim Bianchi","Sigriststrasse 85
5963 Suhr"
"Alex Spörri","Herzogstrasse 47
9611 Altstätten"
"Liliane Schäfer Stöckli","Widmerstrasse 59
7857 Pfäffikon"
"Jason Kern","Hafnerstrasse 92
9036 Olten"
"Rosetta Tanner","Schenkstrasse 918
9938 Aesch"
"Gaia Lüscher","Staubstrasse 97
2429 Birsfelden"
"Elise Stöckli","Siegriststrasse 112
5022 Renens"
"Sara Schaller Frei","Hofstetterstrasse 907
5438 Bern"
"Agathe Schenk","Lutzstrasse 744
2275 Val-de-Travers"
"Nevin Arnold","Schürchstrasse 889
9022 Regensdorf"
"Sonja Bernasconi Grob","Mäderstrasse 42
2868 Freienbach"
"Alex Wüthrich","Vogelstrasse 78
5581 Baden"
"Marion Meyer Fuchs","Hoffmannstrasse 99
5631 Flawil"
"Léonie Vogel Portmann","Jennistrasse 454
3400 Chêne-Bougeries"
"Cosimo Jost","Bucherstrasse 406
9152 Neuhausen"
"Ewald Wehrli","Stöcklistrasse 375
7308 Baar"
"Lynn Winkler","Walderstrasse 8
7517 Herisau"
"Alyssa Staub","Wettsteinstrasse 45
5435 Bulle"
"Svetlana Furrer","Kellerstrasse 568
6645 Neuhausen"
"Sharon Senn","Forsterstrasse 69
9327 Binningen"
"Paul Thommen","Hofstetterstrasse 769
4452 Val-de-Travers"
"Alexander Hotz","Steinmannstrasse 82
1408 Neuhausen"
"Natalie Schmid Bianchi","Arnoldstrasse 908
5261 Baden"
"Josef Schürch","Lehmannstrasse 36
4679 Meyrin"
"Ljiljana Käser Huber","Hotzstrasse 773
3112 Münchenbuchsee"
"Clemens Ackermann","Schumacherstrasse 71
8542 Wädenswil"
"Ken Wehrli-Egli","Michelstrasse 67
7995 Flawil"
"Christina Scheidegger","Zieglerstrasse 5
7027 Steffisburg"
"Ahmet Schäfer","Freystrasse 309
6560 Muri"
"Dragan Hotz","Walderstrasse 26
6902 Gland"
"Gottfried Zehnder","Aebistrasse 14
8308 Meyrin"
"Alexander Kern","Vogelstrasse 702
1560 Rapperswil-Jona"
"Marie-José Lutz Berger","Käserstrasse 85
9583 Spreitenbach"
"Dr. Marco Schweizer","Ottstrasse 78
4476 Dietikon"
"Vitor Baumann","Meierstrasse 97
8208 Burgdorf"
"Tahir Jost","Burristrasse 139
5891 Mendrisio"
"Urban Amrein","Lehmannstrasse 66
3361 Risch"
"Prof. Leo Furrer","Aebistrasse 90
1267 Risch"
"Franca Leu","Burristrasse 91
7847 Muri"
"Julien Bühler","Schumacherstrasse 81
8558 Burgdorf"
"Fadil Hofmann","Bernasconistrasse 2
7706 Dietikon"
"Alexander Mettler","Zehnderstrasse 95
5482 Meyrin"
"Paulina Stalder","Thommenstrasse 4
8111 Prilly"
"Katherine Christen","Knechtstrasse 62
4974 Rapperswil-Jona"
"Célia Bernasconi Kessler","Müllerstrasse 77
5294 Locarno"
"Leano Gloor","Schallerstrasse 487
2713 Belp"
"Carol Kuhn","Winklerstrasse 26
7197 Flawil"
"Hatice Schäfer","Pfisterstrasse 4
2950 Amriswil"
"Muhammad Meister","Grafstrasse 52
1516 Versoix"
"Alicia Albrecht","Forsterstrasse 63
6356 Herisau"
"Prof. Tony Weber","Ernistrasse 37
3231 Cham"
"Alexander Mäder","Schaubstrasse 60
3219 Wetzikon"
"Helen Schäfer","Rüeggstrasse 32
2684 Küssnacht"
"Prof. Matteo Baumgartner","Kernstrasse 686
1466 Birsfelden"
"René Stutz","Walterstrasse 5
3933 Naters"
"Maximilian Braun","Bühlerstrasse 331
8987 Kloten"
"Vito Blaser-Zingg","Kälinstrasse 1
9808 Kriens"
"Anisa Siegrist","Beckstrasse 93
4108 Siders"
"Ueli Gross","Ammannstrasse 436
5940 Olten"
"Udo Erni","Ammannstrasse 44
7618 Aesch"
"Melvin Frey","Müllerstrasse 1
4661 Neuenburg"
"Alexandre Knecht","Stuckistrasse 61
2276 Pully"
"Prof. Fabiana Senn","Freystrasse 71
4299 Mendrisio"
"Käthi Hunziker","Hodelstrasse 9
7822 Reinach"
"Petar Martin-Schaller","Baumgartnerstrasse 40
5599 Münchenstein"
"Katherine Jenni","Lutzstrasse 22
9177 Gossau"
"Ulrich Braun-Steinmann","Schochstrasse 46
7682 Binningen"
"Marlon Schlatter","Wolfstrasse 55
4805 Pully"
"László Baur","Probststrasse 86
8233 Mendrisio"
"Nikolina Graf Schwab","Widmerstrasse 78
1376 Horw"
"Nando Wolf","Christenstrasse 531
3511 Yverdon-les-Bains"
"Alexis Eugster","Stuckistrasse 7
9905 Spiez"
"Katarina Maurer","Haasstrasse 4
3094 Wallisellen"
"Prof. Faton Blaser","Benzstrasse 81
3156 Stäfa"
"Philippe Schweizer","Hessstrasse 331
8793 Kriens"
"Antonietta Ritter","Islerstrasse 6
5610 Siders"
"Jocelyne Lustenberger","Fankhauserstrasse 3
8540 Lancy"
"Anes Stucki","Langstrasse 21
5768 Davos"
"Olena Frey","Gutstrasse 80
2028 Genf"
"Victoria Baumann Bühlmann","Furrerstrasse 75
5851 Genf"
"Lucio Aebi-Schnyder","Lutzstrasse 21
6211 Weinfelden"
"Alfonso Ammann","Schlatterstrasse 9
2656 Solothurn"
"Haris Schumacher","Leunbergerstrasse 14
2719 Steffisburg"
"Gabriela Wegmann Vogel","Hoferstrasse 19
1926 Einsiedeln"
"Maurus Kohler","Stadelmannstrasse 57
5919 Uster"
"Prof. Haris Hofer","Grossstrasse 20
3944 Flawil"
"Stefanie Steffen-Kaufmann","Bachmannstrasse 1
3844 Lutry"
"Slavisa Lüscher","Bucherstrasse 89
7955 Biel/Bienne"
"Katherine Zbinden","Christenstrasse 8
5598 Olten"
"Liv Winkler","Scheideggerstrasse 6
9895 Bern"
"Dirk Fankhauser-Gross","Reystrasse 66
8846 Zollikon"
"Ali Schoch","Imhofstrasse 20
5479 Münsingen"
"Henry Weber-Jenni","Ernistrasse 84
3731 Lyss"
"Sedat Senn","Sidlerstrasse 58
1095 Le Grand-Saconnex"
"Myrta Grob","Sutterstrasse 8
8926 Pratteln"
"Eren Wüthrich","Gigerstrasse 18
9583 Lausanne"
"Lorena Lüscher","Favrestrasse 83
6783 Lenzburg"
"Gennaro Bosshard","Stettlerstrasse 22
7139 Steinhausen"
"Ida Mettler-Schärer","Rüeggstrasse 6
8571 Riehen"
"Isidor Siegrist","Zieglerstrasse 7
3282 Regensdorf"
"Luljeta Schäfer","Fischerstrasse 20
5166 Rüti"
"Alice Lüthi","Baumgartnerstrasse 10
2327 Delsberg"
"Benno Bär-Bär","Zehnderstrasse 53
7983 Horw"
"Prof. Grzegorz Leu","Mettlerstrasse 59
4347 La Chaux-de-Fonds"
"Basil Imhof","Gasserstrasse 74
6948 Arbon"
"Marcelle Wenger","Fehrstrasse 44
2039 Rüti"
"Flurin Pfister","Walderstrasse 304
3959 Zürich"
"Luise Ferrari-Bucher","Gloorstrasse 82
8023 Wädenswil"
"Marija Walter","Kochstrasse 34
5269 Sursee"
"Lilian Meister","Haasstrasse 5
7936 Einsiedeln"
"Dr. Mathieu Schweizer","Reystrasse 40
4650 Brugg"
"Alicia Probst","Hofstetterstrasse 55
4581 Birsfelden"
"Paul Ammann","Peterstrasse 81
4212 Flawil"
"Vitor Eugster","Steinmannstrasse 71
4910 Arbon"
"Fabiola Fuchs Portmann","Bergerstrasse 17
1134 Naters"
"Manon Mäder","Schäferstrasse 7
2087 Buchs"
"Prof. Irène Hauser","Meierstrasse 72
3792 Veyrier"
"Vivienne Lustenberger Lüthi","Kesslerstrasse 297
8566 Baar"
"Sascha Leu","Wettsteinstrasse 600
5567 Affoltern"
"Filipa Hermann","Lüthistrasse 46
8949 Köniz"
"Marius Flückiger-Probst","Stadelmannstrasse 432
6293 Romanshorn"
"Alicia Stöckli","Hirtstrasse 5
8924 Liestal"
"Ismet Meister","Michelstrasse 58
1766 Biel/Bienne"
"Prof. Max Michel","Wolfstrasse 2
4473 Mendrisio"
"Marino Erni","Sidlerstrasse 9
3225 Wettingen"
"Gonçalo Portmann","Wolfstrasse 816
5392 Aigle"
"Isabel Zürcher-Hirt","Gerberstrasse 79
8447 Vevey"
"Alessandra Gasser","Frickstrasse 37
2274 Küssnacht"
"Jesus Hotz-Merz","Wyssstrasse 3
9921 Veyrier"
"Vlora Hotz Wenger","Herzogstrasse 42
6662 Zollikofen"
"Marcelle Eugster","Bauerstrasse 26
2012 Bellinzona"
"Aline Herzog Gloor","Haslerstrasse 91
6081 Arth"
"Jelena Bachmann Lüscher","Lustenbergerstrasse 37
2677 Möhlin"
"Prof. Hansjörg Weibel","Bergerstrasse 60
7745 Münchenbuchsee"
"Dr. Joaquim Schaub","Widmerstrasse 81
7850 Spiez"
"Dr. Mladen Eugster","Ammannstrasse 43
4017 Versoix"
"Csaba Knecht","Stettlerstrasse 16
3467 Wil"
"Seline Brun","Arnoldstrasse 93
8840 Thônex"
"Gaia Bühlmann","Schumacherstrasse 45
9361 Martigny"
"Françoise Kaiser","Michelstrasse 70
1778 Meyrin"
"Gabriela Käser","Baumannstrasse 8
1761 Richterswil"
"Alisha Hunziker","Tannerstrasse 82
3913 Birsfelden"
"Thi Wagner","Gasserstrasse 66
2962 Versoix"
"Nada Blum","Schnyderstrasse 47
7809 Pratteln"
"Leopold Wehrli","Furrerstrasse 68
5198 Münchenbuchsee"
"Dr. Yvan Koch","Islerstrasse 458
2978 Lausanne"
"Tanya Jäggi Steiger","Rüeggstrasse 823
7186 Arth"
"Ester Schwab-Hodel","Christenstrasse 68
2192 Richterswil"
"Maxim Kaufmann","Meierstrasse 28
5703 Uzwil"
"Massimo Arnold","Lehmannstrasse 91
5338 Aarau"
"Stella Ritter-Baumann","Peterstrasse 10
5649 Münchenstein"
"Alison Bieri Forster","Schwabstrasse 62
2884 Thalwil"
"Joanne Jenni-Iten","Schmidstrasse 8
9392 Gossau"
"Claus Wegmann-Martin","Probststrasse 78
9012 Opfikon"
"António Zingg","Hauserstrasse 553
8073 Basel"
"Markus Fehr","Stuckistrasse 3
7689 Uzwil"
"Vinzenz Schoch","Ernistrasse 12
5211 Ittigen"
"Maria Favre","Freistrasse 189
2536 Wald"
"Willi Schär","Grossstrasse 12
1606 Brig-Glis"
"Gianfranco Senn","Wolfstrasse 302
7486 Chêne-Bougeries"
"Michaela Frey","Grossstrasse 2
1702 Küsnacht"
"Alison Fankhauser","Baumannstrasse 2
8474 Biel/Bienne"
"Erol Stocker","Walderstrasse 242
6137 Einsiedeln"
"Tim Vogt","Blaserstrasse 55
1968 Dübendorf"
"Hans-Peter Jost","Lustenbergerstrasse 59
2975 Gossau"
"Mihaela Ziegler","Maurerstrasse 1
6136 Muttenz"
"Shpresa Lanz","Näfstrasse 9
9525 Hinwil"
"Selina Fischer","Kaufmannstrasse 15
7499 Lausanne"
"Sonia Bühlmann Tanner","Mayerstrasse 796
7982 Birsfelden"
"Helmut Schlatter-Fankhauser","Studerstrasse 8
4800 Münchenbuchsee"
"Gianfranco Schmidt-Stucki","Geigerstrasse 5
5118 Flawil"
"Alison Gloor","Studerstrasse 16
9808 St. Gallen"
"Michel Schär","Bättigstrasse 93
2210 Wald"
"Prof. Egzona Brun","Ferraristrasse 4
7188 Val-de-Ruz"
"Anisa Leu Stauffer","Favrestrasse 58
1185 Lyss"
"Linda Näf Flückiger","Stadelmannstrasse 91
2580 Zollikofen"
"Grazia Kern","Grossstrasse 89
8524 Brig-Glis"
"Valentino Egger","Schenkstrasse 78
8672 Lausanne"
"Biagio Meyer","Favrestrasse 8
4022 Glarus"
"Jacqueline Bieri","Ammannstrasse 37
2508 Bellinzona"
"Pascale Zimmermann","Stalderstrasse 64
7131 Birsfelden"
"Alissa Imhof","Itenstrasse 73
7260 Olten"
"Ann Hürlimann","Meilistrasse 102
4111 Einsiedeln"
"Damaris Bättig","Brunstrasse 16
6427 Rapperswil-Jona"
"Jana Haas","Schallerstrasse 498
2337 Steinhausen"
"Felicitas Lüscher Eichenberger","Walterstrasse 21
6983 Crans-Montana"
"Lotte Amrein","Sigriststrasse 91
1298 Glarus"
"Dr. Sadik Kunz","Bättigstrasse 258
7975 Chur"
"Achim Vogt","Jäggistrasse 5
8876 Gland"
"Prof. Timea Hauser","Studerstrasse 5
3510 Zürich"
"Liridona Moser","Brunstrasse 83
2147 Dietikon"
"Alix Lüthi","Müllerstrasse 2
5279 Prilly"
"Amar Berger","Vogtstrasse 337
9435 Wohlen"
"Prof. Dragica Bieri","Roosstrasse 44
7827 Münchenbuchsee"
"Romane Burri","Bühlerstrasse 35
5276 Winterthur"
"Gerald Schmid","Kohlerstrasse 5
5777 Lancy"
"Hubert Gasser","Stockerstrasse 90
8817 Adliswil"
"Erhard Häfliger","Zieglerstrasse 46
1478 Renens"
"Amanda Baumann Hirt","Stöcklistrasse 920
6840 Vernier"
"Prof. Andri Ott","Gigerstrasse 7
7749 Wallisellen"
"Ivano Studer","Scherrerstrasse 4
8552 Davos"
"Alix Schwab Wyss","Walterstrasse 31
9118 Zofingen"
"Sofia Schär Wirth","Staubstrasse 1
2689 Weinfelden"
"Tomislav Geiger","Bolligerstrasse 28
6989 Sursee"
"Sandra Schneider","Bosshardstrasse 236
6090 Affoltern"
"Yasmine Vogel","Kesslerstrasse 158
5562 Arbon"
"Prof. Orhan Ammann","Stadelmannstrasse 67
2032 Ebikon"
"Jeannine Mettler","Hermannstrasse 2
4893 Emmen"
"Caterina Geiger","Häfligerstrasse 3
9321 La Tour-de-Peilz"
"Yanis Hoffmann-Schenk","Herzogstrasse 791
4481 Lugano"
"Regula Eichenberger Schlatter","Schochstrasse 222
3725 Chêne-Bougeries"
"Alma Küng","Jäggistrasse 26
4428 Prilly"
"Geraldine Hofmann","Peterstrasse 8
6383 Val-de-Travers"
"Prof. Maryse Walder","Schürchstrasse 68
6704 Amriswil"
"Amandine Ernst","Brunstrasse 55
3630 Val-de-Travers"
"Jelena Baumann Tanner","Schwarzstrasse 940
4363 Küssnacht"
"Alison Schweizer","Hürlimannstrasse 40
1025 Steffisburg"
"Corsin Wehrli","Schumacherstrasse 67
7014 Bassersdorf"
"Eve Wehrli","Zollingerstrasse 99
5986 Val-de-Ruz"
"Veronika Egger","Fischerstrasse 375
4467 Schlieren"
"Luigi Arnold","Schulerstrasse 12
1344 Neuhausen"
"Alma Steinmann","Albrechtstrasse 49
8465 Oftringen"
"Egzona Bucher","Stockerstrasse 56
1673 Lenzburg"
"Remzi Ammann","Spörristrasse 71
4422 Neuhausen"
"Gaëlle Stöckli","Vogtstrasse 14
8486 Männedorf"
"Elio Peter","Lüscherstrasse 875
6971 Wallisellen"
"Dr. Dominik Moser","Thommenstrasse 3
3384 Wettingen"
"Leonie Keller","Studerstrasse 25
9459 Altstätten"
"Ardit Hofer","Schlatterstrasse 38
4508 Bülach"
"Hans-Jörg Lanz","Stalderstrasse 77
7794 Mendrisio"
"Céline Fankhauser","Hürlimannstrasse 4
4153 Amriswil"
"Almir Hasler","Blaserstrasse 64
2739 Zollikon"
"Shaban Roth","Wegmannstrasse 14
3595 Uzwil"
"Geraldine Schär","Ferraristrasse 4
4838 Volketswil"
"Nadège Aebi Hoffmann","Hauserstrasse 54
2227 Bernex"
"Verena Jenni","Bühlmannstrasse 43
3495 Adliswil"
"Florence Eugster","Vogtstrasse 500
4351 Stäfa"
"Bernhard Pfister","Kuhnstrasse 7
1535 Risch"
"Wilma Schär","Suterstrasse 33
2886 Luzern"
"Marlene Stöckli Frick","Wagnerstrasse 3
4480 Riehen"
"Frank Bättig","Gigerstrasse 133
3361 Regensdorf"
"Almir Koch","Joststrasse 1
7090 Richterswil"
"Jannik Bosshard","Merzstrasse 29
8941 Locarno"
"Alma Steinmann","Steigerstrasse 17
6721 Zug"
"Catia Egli Vogt","Müllerstrasse 45
9376 Küssnacht"
"Amar Steffen","Kohlerstrasse 14
2901 Brig-Glis"
