"אביאל אברמוב"|"צוקית 29, ברקת, 9769678"
"לאה חיימוב"|"הנורית 28, יד רמב""ם, 2998210"
"אלינור זינה סאלם"|"החרוב 64, רחוב, 9453379"
"אנאל אבו ראס"|"אלעמשקה 17, עין השופט, 6858265"
"דניאל אלפסי"|"רח 71 16, נחלה, 3854785"
"אבישי לוי"|"מעוז חיים 30, בית הלוי, 1483062"
"אלחנן אגבאריה"|"ככר ירדן 77, ורד יריחו, 0297389"
"תמר גולדשטיין"|"הר עצמון 39, מסד, 2304572"
"אלעזר קינן"|"ירקון 42, כפר אחים, 2340342"
"הדס אמארה"|"מירון 66, האון, 1579257"
"ישראל פרידמן"|"החרמון 68, שדה אליהו, 4290699"
"עלמה אסולין"|"שכ זאב 75, עמקה, 7574554"
"מוסטפא שלום"|"עולש מצוי 01, שדה אליהו, 1155607"
"ג'וד לוי"|"הרבי מליובאוויטש 72, דולב, 6596945"
"יסכה ותד"|"בן צבי יצחק 74, בית ברל, 8056259"
"אביתר מויאל"|"בן צבי יצחק 25, מגאר, 1258943"
"שיר לוי"|"שכ קחאוש 20, אליקים, 7026272"
"תאלין מלכה-סלאמה"|"בן לברט 07, אודם, 9495085"
"עלי כץ"|"נאות אביבים 88, עספיא, 9473340"
"אופל לוי"|"אלזאבוד 39, שדי תרומות, 0784794"
"מיכאלה ניסן"|"יואב 86, רימונים, 1809424"
"נועם שמש"|"יהודה המכבי 04, האון, 5761050"
"שמואל ברגר"|"ש סלע חדש 90, ורד יריחו, 8543005"
"הודיה גאבר"|"נתן 46, עין השופט, 6313380"
"עדי לוי"|"יחזקאל הנביא 38, סער, 0200007"
"אביתר עוז"|"אגוז 96, בני ציון, 1471526"
"נעמי אלימלך"|"דרומית-מג'ד אלכרום 17, צפרירים, 1965663"
"איתן סבאג"|"בן צבי יצחק 46, בית חשמונאי, 8877162"
"דימא נור גור"|"שושנת הכרמל 68, רימונים, 1515920"
"יעל חדד"|"שלדג 94, נטע, 8929828"
"עדן מלכה"|"נעמ""ת 93, שדות מיכה, 8797094"
"נועה יצחקי"|"עקבת א תות 88, הסוללים, 8570116"
"מוחמד אלון"|"בועז 06, גונן, 6642541"
"צבי יהונתן שרף"|"גבע 99, עמקה, 1337438"
"אביה גאנם"|"ז'ילבר 21, דוב""ב, 2382259"
"אביתר קליין"|"נחל פארן 32, הר אדר, 4908298"
"אמה הרוש"|"ביכורים 01, פקיעין חדשה, 2238415"
"אריאל סופר"|"שביל קליפות התפוזים 74, עמוקה, 6211781"
"יהונתן כרמי"|"הרב ניסים 14, שתולים, 9116014"
"ירין אבראהים"|"נעמ""ת 11, הר אדר, 5724779"
"לביא כהן"|"ש סלע חדש 66, לקיה, 1474762"
"יצחק מזרחי"|"הצבעוני 12, עין אל-אסד, 9543055"
"הענא רוזן"|"החליל 52, עזר, 6673225"
"בועז זידאן"|"דולב 69, בית חשמונאי, 5284909"
"עילאי ברוך"|"שד יוספטל גיורא 36, אביבים, 8754753"
"אבראהים חביבאללה"|"בשמת 92, כפר סירקין, 2879054"
"אמה בוחבוט"|"אזור תעשייה 25, גבעת כ""ח, 8492805"
"שוהם אנגל"|"סמ עין גנים 98, כפר אחים, 7937484"
"אביגיל זהר"|"החמנית 20, עלי זהב, 2849931"
"רימאס שרעבי"|"אדמון 92, אביבים, 6503650"
"אפרת ח'טיב"|"השיטה 35, עמיר, 2049169"
"עדן וינר"|"סמבורסקי דניאל 80, שעב, 7617273"
"מאיה סבג-דבש"|"רח 2001 85, לוזית, 7415559"
"ליעד קורן"|"נחלת צדוק 21, שפר, 9150226"
"נתן דהן"|"אל-מחאג'ר סמ4 26, נוקדים, 2988658"
"אבראהים סויסה"|"ש קואפרטיבים 10, אבו רובייעה )שבט(, 5542493"
"שולמית קליין"|"העצמון 50, כפר מסריק, 4799334"
"אוריה נסים"|"חצב 56, חשמונאים, 2413400"
"אחמד עואודה"|"הבריגדה 51, ברקת, 6318560"
"נדב מרגלית"|"מזל שור 26, אבו רובייעה )שבט(, 7384969"
"אברהם ויצמן"|"מרגיל מחוור 42, נטע, 8940741"
"רומי זועבי"|"שכ עראק אלשבאב 80, מעונה, 1881396"
"ברוך סלימאן"|"נוה עוז 55, עמקה, 2990281"
"לאה שרה נחמני"|"טופז 41, סגולה, 0076499"
"גבריאל ממן"|"ידידה 75, אביחיל, 5191425"
"אבראהים פישר"|"לבקוביץ 11, כפר מסריק, 8725842"
"עוז סבאג"|"משה דיין 37, עדי, 4354357"
"רבקה ענהאל הראל"|"רח 14 88, רמות מנשה, 7010358"
"יובל תורגמן-כהן"|"כהנא 97, גבעת כ""ח, 3722712"
"ג'ורג' ויצמן"|"סמטת השחר 56, אביחיל, 4789275"
"מוריה בדר"|"שכ רסקו 86, גיתית, 8885803"
"עידן בר"|"לוין שמריהו 62, שעב, 1804224"
"יוסף סואעד"|"לוין שמריהו 14, טל-אל, 6946010"
"יואל שטרן"|"האורן 44, גנות הדר, 3348433"
"איתמר ברקוביץ"|"לוין שמריהו 39, פוריה - נווה עובד, 0322796"
"אבראהים פריד"|"טאחונת אלראהיב 48, דוב""ב, 7828497"
"רז פרץ"|"ש הפועלים 18, דוב""ב, 6470479"
"אלון שוויקי"|"בורסת היהלומים 46, לוזית, 8066686"
"אוריה אשכנזי"|"אלעקבה 11, תלמי אליהו, 3213047"
"חיה חדאד"|"בן ישי 70, שפר, 1848609"
"נועם כהן"|"בקעת הירח 27, אביבים, 7380164"
"גבריאל דיין"|"גבע 10, כפר הנוער הדתי, 8918592"
"נועם זכריה"|"ש הפועלים 28, בית חנן, 9545410"
"לילי ששון"|"קרית עקרון 36, גבעת השלושה, 6865412"
"ריתאג' מנשה"|"הל""ה 76, כפר סירקין, 9551136"
"אברהם אביטבול"|"נתיב הפורצים 97, עספיא, 3141187"
"תמר אמסלם"|"מורן 89, רמות מנשה, 5126802"
"מאיה חורי"|"אל-ט'הרה סמ7 72, שומרה, 0738079"
"הילה עבד אל קאדר"|"לוריא 70, רגבה, 7887551"
"שרה מרום"|"אלעקבה 05, האון, 4103701"
"שליו מדר"|"ע הלל 43, גונן, 9605439"
"כרמל מרדכי"|"התאנה 18, שעב, 8532885"
"נחמה אוחנה"|"אלמנשיה-מושירפה 95, חשמונאים, 6532249"
"רפאל מלכה"|"אירוס 77, גבעת השלושה, 1251752"
"רון כהן"|"נורית 64, תלמי אליהו, 1045185"
"אברהם אליהו"|"דולב 72, מירון, 5305943"
"מוסא קליין"|"הבריגדה 46, מגאר, 6040827"
"סארה עלי-רבינוביץ"|"ביכורים 29, חצור-אשדוד, 5342382"
"מיכאל זיו"|"סמ שפיפון 40, עין השופט, 6141239"
"אריאל זידאן"|"מגלן 75, נתיב השיירה, 8491868"
"ליאם זילברמן"|"בשמת 87, נוקדים, 4048984"
"דניאל שוויקי"|"לוין מיכאל וחנה 55, מלאה, 1564938"
"עומר רוזנטל"|"מעונות ים 92, מכמורת, 8239248"
"מיכל עאזם"|"אח""י אילת 44, מסד, 6160731"
"שירי בדארנה"|"רבקה אמנו 32, בית חנן, 8644996"
"אברהם יהונתן אבו עראר"|"הפרדס 46, רגבה, 1324079"
"אסתר בן שושן"|"גיבתון חנוך 73, הר אדר, 9556642"
"יאיר דהן"|"חלמיש 96, מעונה, 7921421"
"אילין אוחיון"|"סמ עינב 27, אביבים, 5558127"
"זינה כהן"|"כיסופים 72, אל סייד, 5893132"
"יעל אלקיים"|"שקד 33, יד רמב""ם, 1092551"
"אדם הלל"|"גולדה מאיר 58, גדות, 4966738"
"אורי יחיא"|"העצמון 76, רחוב, 7688775"
"עמית ויצמן"|"רח 6087 89, נורדיה, 0594818"
"מוחמד צמח"|"צפת 75, נירן, 0177615"
"אברהם כץ"|"אגוז 69, אליקים, 3022904"
"טליה מרקוביץ"|"אבן מסעוד 30, בית הלוי, 1533715"
"ריתאל ניר"|"שבזי 28, עדי, 8161387"
"יהונתן עמירה"|"מגלן 74, כסלון, 3741042"
"תמר רובין"|"רח 2001 00, מרחביה )מושב(, 6056773"
"אושר ביטון"|"שכ 14 56, העוגן, 9664489"
"עופרי בשיר"|"הרדוף 55, גבעת ח""ן, 0226290"
"שילה שושן"|"הפרדס 24, רחוב, 7712313"
"אלין ביטון"|"המברק 24, גיתית, 5854262"
"משה ביטון"|"אתגר 44, חשמונאים, 5760576"
"אברהם לוי"|"הפרדס 80, דוב""ב, 9761835"
"דניאל ראובן"|"ש""ץ גרשון 06, מלאה, 7018290"
"דור הראל"|"רח 2001 16, שדות מיכה, 1088807"
"אליה חיים טל"|"רח 124 81, אל סייד, 7763613"
"אבישג איבגי"|"משעול נקר 00, פקיעין חדשה, 4660613"
"נעמי מרקוביץ"|"הגפן 74, אודם, 3060857"
"רומי בן דוד"|"שכ היובל 32, הר אדר, 8952135"
"שיר עיסא"|"עמוס 67, אביבים, 6539055"
"אילין אדל לוי"|"לוד הצעירה 75, עין צורים, 7354714"
"ליאור גל"|"האילנות 52, נירן, 2743096"
"אברהם מנשה"|"יואב 57, ברקת, 7785984"
"פיגא איילה אזולאי"|"מבצע הראל 04, צורית, 0108297"
"טום כהן"|"תפארת ישראל 90, בית חנן, 1787740"
"מחמוד עווד"|"מופק דיאב 34, רמות מנשה, 4862921"
"שי מזרחי"|"אתגר 53, זוהר, 8650570"
"ליאל ליבוביץ"|"עומר 38, גבעת כ""ח, 2489497"
"פאטמה אזולאי"|"מבצע חירם 49, שפר, 0780256"
"רים בר"|"כהן אלי 57, שדי תרומות, 5643277"
"עומר יעקבי"|"בן ישי 88, ורד יריחו, 6417166"
"עידן גולדנברג"|"אשל 81, נתיב השיירה, 5781332"
"אברהם נוימן"|"משעול פארן 66, ברקאי, 1897441"
"אלמה אבישג כהן"|"אהרון מאיר מזיא 66, ברקת, 2722990"
"הדס סגל"|"רש""י 91, רגבה, 8805638"
"מיכאל אבו כף"|"משעול התפוח 53, אליקים, 6191310"
"איילת כהן-גאנם"|"אזור תעשיה א' 48, דולב, 1894072"
"יאיר אוחיון-ברק"|"שכ הפועל המזרחי ג' 75, מגן, 6821999"
"מנחם תורגמן"|"פקוד מרכז 50, גבעת כ""ח, 8858536"
"גאיה רון"|"ההגנה 64, כפר יונה, 3109244"
"ליבי יונס"|"בן ישי 07, אודם, 6772768"
"תהל מרקוביץ"|"החרוב 45, בית חנניה, 8802344"
"אברהם עמר"|"שכ מחניים 84, אליקים, 4545513"
"שרה ראובן"|"נוף כנרת 64, אור הנר, 5590005"
"אברהם נחום-מזרחי"|"מזל שור 74, נורדיה, 6972558"
"ספיר מלכה רז"|"העבודה 81, כסלון, 4352671"
"אייל שוורץ"|"חזון איש 08, רחוב, 5655615"
"יעקב אוחיון"|"אלכסנדר ינאי 97, עצמון שגב, 3467111"
"רוני ח'טיב"|"רח 16 45, מלאה, 7544365"
"יסמין פוקס"|"המעיין 34, בית חנניה, 0636220"
"אלעזר מדר"|"המלאכה 47, עין השופט, 2026797"
"אליה ישראל"|"האודם 41, גנות הדר, 2253854"
"אברהם רביבו"|"מזרחי יוסף 66, באר מילכה, 3257563"
"אריאל מזרחי"|"דרך הגן 69, לקיה, 4050391"
"איתי רוט"|"סמ עין גנים 18, נורדיה, 0393181"
"נועם גולדנברג"|"שושנה דמארי 41, דוב""ב, 0576475"
"אדל אחמד"|"שמעון המכבי 47, כסלון, 5423112"
"אסף יפרח"|"המאה ואחד 83, אביחיל, 8059711"
"ניתאי חדד"|"השיח 74, יד רמב""ם, 1444389"
"לייה מחאמיד"|"שושנת הכרמל 98, חשמונאים, 7551660"
"מירא ברדה"|"חושן 72, עין השופט, 4916831"
"אליהו אוחיון"|"תפארת ישראל 89, סער, 2215146"
"אברהם שפר"|"מרכז 53, פוריה - נווה עובד, 9890694"
"תמר בדיר"|"פרופ' בירק יהודית 93, שתולים, 8700831"
"אלין לוין"|"העבודה 98, חיננית, 9641757"
"איתן גרוס"|"שכ מחניים 70, שתולים, 2462896"
"ידידיה נחום"|"שכ מחניים 03, נתיב השיירה, 7645754"
"צור עמאש"|"אל-פארוק סמ2 14, צפרירים, 8091398"
"יאיר אליאס"|"אלוורוד 30, עדי, 6120210"
"מעיין מנחם"|"הברדלס 33, ברקת, 7908587"
"נתנאל לביא"|"המייסדים 09, פוריידיס, 0956853"
"עופרי משיח"|"החרובים 93, מסד, 9616932"
"אגם גליק"|"לכיש 36, עין צורים, 9991553"
"אלין כהן"|"שמעון המכבי 66, כפר מסריק, 9797928"
"אור קדוש"|"המלכים 70, סגולה, 3900354"
"נתנאל ביטון"|"בן יהודה 63, בית חנניה, 9496741"
"עדיאל כץ"|"מענית 59, רחוב, 5409408"
"אורין שטיינברג"|"שמחוני 24, מכמורת, 2278506"
"אפרת חלפון"|"שביל קליפות התפוזים 32, חשמונאים, 0699031"
"פנחס נתן"|"גבע 84, עין צורים, 4546012"
"מיכאלה מוזס"|"אגוז 31, פוריידיס, 5530893"
"נתן עזרן"|"אשדוד 10, גרופית, 8640859"
"אגם וייס"|"חצב 55, גני מודיעין, 4759426"
"שאם שרעבי"|"גוטמכר 74, אליקים, 3260850"
"לירון קוגן"|"מגלן 58, ברקאי, 9464510"
"נתן משולם"|"הדייגים 76, ברקת, 2670164"
"לאה עמרם"|"נוף כנרת 64, יד רמב""ם, 9410147"
"יואב אלבז"|"טביב 20, שדות מיכה, 5302923"
"גיל מועלם"|"צדוק הכהן 21, משמר העמק, 5509143"
"בנימין פרידמן-כהן"|"הפרדס 58, עדי, 2718419"
"שקד שקד"|"נחל פארן 79, יד רמב""ם, 9445887"
"נועה בוסקילה"|"קרן היסוד 88, עין אל-אסד, 9905339"
"אגם סרחאן"|"זית 26, שעב, 2448277"
"עלמה קליין-שכטר"|"סמבורסקי דניאל 94, עמקה, 5402474"
"שמואל מלכה"|"ע הלל 48, אורטל, 6982504"
"יונתן כהן"|"החרוב 09, שדות מיכה, 8099055"
"גל הייב"|"כוכב הצפון 21, רמות מנשה, 2770214"
"עדיה צרפתי"|"האצטדיון 82, עין צורים, 5990385"
"מיכל אבו מוך"|"אשדוד 13, משמר העמק, 8962172"
"פאטמה סלמאן"|"רמב""ם 61, מכמורת, 8111862"
"יאיר אזברגה"|"בן לברט 56, הסוללים, 3248897"
"רומי יעקובוב"|"שכ עראק אלשבאב 23, דוב""ב, 0165452"
"אדוה ליה בר"|"החליל 08, אורטל, 7488343"
"הילה מסארוה"|"רח 7069 71, מסד, 9672132"
"תהל אברהם"|"אברהם ברזילי 63, בית ברל, 4589501"
"ליעד חביב"|"הגבורה 46, חצור-אשדוד, 2709557"
"סארה חי"|"משעול הסיפן 33, כפר מסריק, 2946199"
"נחמה גור"|"פרופ' בירק יהודית 32, ורד יריחו, 9269245"
"פאטמה ג'בארין"|"ירושלים 93, מגאר, 5628032"
"דניאל דניאל"|"שכ עראק אלשבאב 57, כפר יונה, 8954978"
"אליעזר כהן"|"ביכורים 09, נחלה, 6024420"
"יובל בן דוד"|"עגור 87, מכמורת, 5968123"
"אדיר אביטן"|"המגינים 51, שומרה, 1733481"
"לביא טויטו"|"רח 71 17, גבעת השלושה, 7582543"
"תום אלון"|"רמת כרמים 71, כפר הנוער הדתי, 4033146"
"יהודה מלכה"|"סמ מאלה 01, כפר מסריק, 4250904"
"בניה פרקש"|"אל-מחאג'ר סמ4 11, כפר הנוער הדתי, 2119783"
"איילה וולף"|"משעול אבוקדו 12, עדי, 9031476"
"בר יחיא"|"עומר 43, אליקים, 7752599"
"רועי דוד"|"רקפת 57, חצור הגלילית, 1835846"
"עומר כהן"|"קבועה )שבט( 34, עלי זהב, 0308079"
"נועה עבאסי"|"לילינבלום 15, מירון, 5077441"
"אדיר אלסייד"|"התבור 34, נירן, 7000982"
"מאור כהן"|"המברק 97, חצור הגלילית, 4748082"
"אורי יצחק"|"השעורה 98, עין השופט, 0685956"
"תמר שלבי"|"ש רמת אביב 37, סער, 9854844"
"הלל לוי"|"הברדלס 56, עין השופט, 1786579"
"טובה שוקרון"|"בית אבות 76, זוהר, 4522556"
"תמר וקנין"|"הרב בידאני עובדיה 40, מירון, 5014166"
