"Ada Bazydło"|"ul. Jagodowa 52
84-438 Żyrardów"
"Olga Foit"|"pl. Jadwigi 91/34
38-048 Czechowice-Dziedzice"
"Albert Stąpor"|"ul. Owocowa 74/48
28-870 Rzeszów"
"Agnieszka Ostasz"|"al. Klonowa 61
10-155 Łowicz"
"Miłosz Dybał"|"plac Andersa 456
87-874 Katowice"
"Sandra Palus"|"al. Świerczewskiego 616
75-235 Zielona Góra"
"pani Sonia Malon"|"ul. Tysiąclecia 18/95
60-266 Chrzanów"
"pani Melania Herdzik"|"ul. Nadbrzeżna 03/58
58-494 Gniezno"
"Konstanty Kobak"|"ulica Wiśniowa 896
23-808 Lublin"
"Dorota Pabiś"|"al. Jeziorna 68
09-945 Leszno"
"Justyna Gasik"|"al. Prusa 46
22-302 Mława"
"Tola Nickel"|"aleja Szeroka 63/53
01-466 Pabianice"
"pani Dorota Kazior"|"al. Czarnieckiego 66/65
04-253 Słupsk"
"Agnieszka Posmyk"|"ul. Borowa 368
14-599 Wągrowiec"
"Daniel Józefczak"|"plac Miłosza 18
47-417 Mysłowice"
"Lidia Młynarz"|"plac Korfantego 557
37-761 Iława"
"Sara Zawartka"|"aleja Cicha 744
07-496 Tczew"
"Sara Manista"|"aleja Szczęśliwa 26/51
55-900 Starogard Gdański"
"pan Dominik Saternus"|"plac Plater 02/14
06-759 Zamość"
"Natan Ficoń"|"pl. Ściegiennego 32
18-428 Żary"
"Angelika Godzik"|"ul. Jagodowa 310
94-207 Tychy"
"Janina Babiuch"|"plac Słowicza 790
84-771 Kielce"
"pani Lidia Żyto"|"aleja Tulipanowa 340
66-473 Nowy Sącz"
"Agnieszka Połom"|"plac Malczewskiego 089
74-607 Świecie"
"Natan Matura"|"ulica Niepodległości 42/62
37-665 Kwidzyn"
"Oliwier Masłoń"|"al. Norwida 406
45-158 Bochnia"
"Kamila Mydlak"|"al. Rycerska 78/46
09-335 Lubin"
"Nikodem Walencik"|"aleja Stycznia 69/13
88-184 Piekary Śląskie"
"Olga Jajko"|"plac Kazimierza Wielkiego 66/89
01-209 Gdańsk"
"Michał Dziadowicz"|"ulica Pomorska 53/97
77-854 Chojnice"
"Adrian Kasiak"|"aleja Urocza 00
09-047 Zielona Góra"
"pani Anita Sarota"|"ulica Grottgera 69/91
05-809 Kraków"
"Urszula Trzcionka"|"ul. Stycznia 934
53-335 Gdańsk"
"Agnieszka Schwarz"|"ulica Nałkowskiej 20
01-004 Lębork"
"pani Eliza Maksym"|"ul. Jaskółcza 56
98-669 Kościerzyna"
"Aleks Lejman"|"pl. Długosza 39
28-243 Gdynia"
"Justyna Trzcionka"|"ulica Wschodnia 61
88-372 Ostrowiec Świętokrzyski"
"Patryk Naglik"|"aleja Listopada 08/29
21-997 Jasło"
"Kalina Politowicz"|"ul. Morska 752
54-225 Kościerzyna"
"Wojciech Kolonko"|"ulica Wyspiańskiego 82
02-419 Bełchatów"
"Olgierd Kołtuniak"|"ulica Rózana 428
43-859 Wałbrzych"
"pan Nikodem Bohdanowicz"|"plac Norwida 18/77
41-960 Grudziądz"
"Eliza Minkina"|"ulica Jaworowa 19
44-931 Wołomin"
"Agnieszka Seta"|"ul. Mieszka I 672
36-005 Ostrowiec Świętokrzyski"
"Marcel Kapałka"|"ulica Grottgera 57
12-805 Łowicz"
"Monika Tekiela"|"pl. Chopina 18
97-066 Nowy Targ"
"pan Stefan Buza"|"pl. Daszyńskiego 429
93-962 Świebodzice"
"Tadeusz Klus"|"aleja Rolnicza 98/88
27-344 Kętrzyn"
"Ewa Ziemak"|"ul. Wróblewskiego 78/40
77-709 Turek"
"Stanisław Zarzeczna"|"al. Krucza 69
29-119 Oława"
"Juliusz Lamch"|"plac Ściegiennego 32
70-594 Żywiec"
"pani Karina Miszta"|"ulica Reymonta 59
99-467 Sosnowiec"
"pani Klara Kulis"|"plac Głowackiego 62/70
70-262 Sochaczew"
"Agnieszka Skubis"|"plac Paderewskiego 722
80-270 Pruszków"
"pani Melania Machniak"|"pl. Sawickiej 576
46-742 Lubliniec"
"Nikodem Bereś"|"aleja Lipca 880
99-423 Szczytno"
"Nela Fechner"|"aleja Skargi 85
60-102 Tczew"
"Nicole Stasica"|"ulica Rzeczna 01/18
27-552 Zielona Góra"
"pani Anna Maria Przewłoka"|"al. Kasprowicza 79
78-661 Kętrzyn"
"pani Sandra Rymarz"|"ulica Kościuszki 644
21-219 Koszalin"
"Sara Szachniewicz"|"pl. Tuwima 536
31-454 Polkowice"
"Marika Kuryłowicz"|"ulica Rolnicza 77
06-910 Ostróda"
"Sara Kosidło"|"ulica Mickiewicza 34/20
04-264 Nowa Sól"
"Agnieszka Suchora"|"aleja Paderewskiego 097
44-139 Rzeszów"
"pan Aleks Baszak"|"al. Okulickiego 54
66-667 Stargard Szczeciński"
"Gabriel Filas"|"plac Poniatowskiego 500
09-100 Ełk"
"Tadeusz Józwik"|"pl. Orzeszkowej 45/50
08-881 Białystok"
"Borys Krzyk"|"al. Słonecznikowa 57
10-345 Chorzów"
"pan Dariusz Karpik"|"ul. Górnicza 70
13-697 Mielec"
"Karina Mudlaff"|"pl. Floriana 450
83-914 Bochnia"
"pani Melania Łukasz"|"aleja Grabowa 25
29-789 Starachowice"
"Aleks Szymanik"|"pl. Kazimierza Wielkiego 22/31
56-375 Kłodzko"
"Aleksander Kempny"|"plac Dąbrowskiej 20/84
62-754 Ełk"
"Agnieszka Walentynowicz"|"pl. Traugutta 072
05-313 Siemianowice Śląskie"
"pan Norbert Chuchla"|"al. Wiklinowa 23
59-334 Wieluń"
"pani Ewelina Duszczak"|"ul. Żabia 624
48-460 Mysłowice"
"Andrzej Wenda"|"ul. Sarnia 83
24-138 Piekary Śląskie"
"Mikołaj Sąsiadek"|"ul. Waryńskiego 932
46-997 Mielec"
"Robert Cudzich"|"ulica Wspólna 67/74
26-762 Lębork"
"Gaja Jany"|"pl. Maja 69
65-309 Jawor"
"Dominik Citko"|"ulica Jana Sobieskiego 03
92-215 Bełchatów"
"Ada Samson"|"plac Kochanowskiego 045
80-116 Kłodzko"
"Jeremi Ufnal"|"pl. Chopina 43/73
47-647 Opole"
"Agnieszka Zugaj"|"ul. Kasprowicza 301
97-016 Koszalin"
"pani Julita Aleksiejuk"|"aleja Piwna 52
98-882 Otwock"
"pani Sara Kenig"|"plac Niepodległości 48/85
41-613 Kołobrzeg"
"Kamila Hajder"|"al. Kochanowskiego 22/43
07-337 Chełm"
"Oskar Kucewicz"|"pl. Wolności 80
21-369 Zabrze"
"Monika Bittner"|"plac Grottgera 471
55-378 Lębork"
"Paweł Czajor"|"ul. Sienkiewicza 041
95-781 Nysa"
"Adrianna Kubów"|"ulica Olchowa 09
62-496 Wieluń"
"Cyprian Dąbroś"|"pl. Norwida 37/38
53-768 Pruszcz Gdański"
"pani Olga Parus"|"plac Czarnieckiego 58
44-688 Chrzanów"
"Alan Chwalisz"|"ul. Waryńskiego 07/60
89-783 Legionowo"
"Oskar Błażejewicz"|"aleja Krasickiego 73
70-015 Szczecin"
"Nicole Podgórny"|"aleja Moniuszki 80
30-750 Jarosław"
"Klara Stachów"|"aleja Grzybowa 87
50-273 Koło"
"pan Gabriel Kinal"|"pl. Rejtana 97/24
09-661 Kraśnik"
"pani Julita Madejczyk"|"ulica Korfantego 06/04
99-342 Jaworzno"
"Sylwia Pryszcz"|"plac Wyszyńskiego 29/70
47-714 Zielona Góra"
"Malwina Dzikiewicz"|"aleja Władysława Łokietka 732
19-868 Mińsk Mazowiecki"
"pani Sara Samoraj"|"pl. Bema 546
53-294 Nowy Dwór Mazowiecki"
"Jędrzej Huczko"|"al. Księżycowa 221
28-730 Ząbki"
"Alan Jakoniuk"|"pl. Matejki 075
41-313 Kościan"
"Borys Wiercigroch"|"pl. Kusocińskiego 10
62-901 Myszków"
"Marianna Noras"|"ul. Porzeczkowa 387
28-004 Gliwice"
"Ewa Hass"|"aleja Kosynierów 859
41-444 Łomża"
"Karol Cader"|"plac Sikorskiego 16/63
71-486 Radom"
"Aniela Wojciech"|"al. Zamkowa 05/52
56-808 Głogów"
"Liwia Lewek"|"al. Tysiąclecia 533
98-645 Giżycko"
"Krystian Mijas"|"ulica Jodłowa 72
12-801 Zawiercie"
"Dorota Radziewicz"|"ul. Piłsudskiego 99
93-312 Leszno"
"pani Róża Bobrowicz"|"ulica Turkusowa 280
64-853 Jarosław"
"Alan Kopała"|"al. Wyszyńskiego 32/67
89-017 Sandomierz"
"pani Anita Masłoń"|"pl. Wyspiańskiego 42
34-641 Kutno"
"pan Aleksander Fudalej"|"ulica Tulipanowa 10
28-403 Polkowice"
"Tadeusz Krężołek"|"plac Fredry 79
70-854 Oława"
"Marcel Kosz"|"plac Rejtana 16/45
94-214 Sosnowiec"
"Fabian Kazimierczuk"|"ulica Pałacowa 31
78-262 Bochnia"
"Maurycy Machniak"|"ul. Solidarności 96
53-381 Siemianowice Śląskie"
"Kalina Noras"|"al. Ptasia 14/22
59-908 Gorzów Wielkopolski"
"Aniela Hulbój"|"aleja Żwirki i Wigury 35/86
29-560 Polkowice"
"Rafał Świech"|"ul. Słowicza 778
99-379 Białogard"
"Alan Macheta"|"aleja Pocztowa 89
31-535 Warszawa"
"Jan Dziechciarz"|"ulica Diamentowa 77/83
37-413 Łowicz"
"Konrad Dyjas"|"pl. Fredry 685
18-087 Tomaszów Mazowiecki"
"Adrian Parafiniuk"|"ulica Hutnicza 95/10
28-445 Zgorzelec"
"Maksymilian Macek"|"al. Konstytucji 3 Maja 61/93
85-497 Siedlce"
"Kazimierz Abramczuk"|"ulica Rejtana 57
01-460 Częstochowa"
"Ryszard Fras"|"al. Kruczkowskiego 15/31
88-963 Szczytno"
"Cyprian Doroz"|"ul. Dolna 05/59
81-883 Środa Wielkopolska"
"Olaf Kiełbus"|"al. Sikorskiego 699
52-104 Ostrów Wielkopolski"
"Emil Głuszko"|"ulica Podgórna 720
65-014 Wołomin"
"Alan Mijas"|"pl. Paderewskiego 642
64-161 Suwałki"
"Monika Madura"|"ulica Partyzantów 61/38
85-138 Dzierżoniów"
"Dorota Plizga"|"al. Diamentowa 76/09
02-734 Czechowice-Dziedzice"
"pani Elżbieta Gogacz"|"plac Kosynierów 99/91
72-831 Racibórz"
"Kajetan Łuckiewicz"|"pl. Norwida 58/68
86-927 Ostrowiec Świętokrzyski"
"pan Mikołaj Milej"|"ulica Górna 908
86-792 Konin"
"Bruno Mostek"|"aleja Władysława Jagiełły 69
95-546 Wołomin"
"Nela Miszta"|"plac Narutowicza 52
34-623 Chełm"
"Hubert Pleban"|"al. Jałowcowa 827
59-435 Bielawa"
"pan Julian Leoniuk"|"aleja Szafirowa 12
42-277 Września"
"Alan Potyrała"|"al. Lelewela 18
20-864 Radom"
"pan Artur Leszczuk"|"pl. Partyzantów 75/85
70-974 Jastrzębie-Zdrój"
"Marcel Gendera"|"ulica Tuwima 89
26-719 Szczecin"
"Jan Filus"|"al. Radosna 950
82-120 Giżycko"
"pan Hubert Sobkiewicz"|"al. Bursztynowa 58
07-883 Zgierz"
"Daniel Beck"|"ulica Cyprysowa 08/16
39-850 Rumia"
"Konstanty Trzmiel"|"plac Baczyńskiego 830
64-344 Otwock"
"pani Malwina Ciereszko"|"ul. Kołłątaja 63
28-879 Pruszcz Gdański"
"Bianka Worach"|"plac Konstytucji 3 Maja 70/06
13-330 Dąbrowa Górnicza"
"Przemysław Małysiak"|"ul. Zdrojowa 48/21
95-966 Myszków"
"Alan Szłapka"|"pl. Głowackiego 60
59-281 Zabrze"
"Tymon Pazera"|"aleja Rycerska 51
58-501 Łódź"
"Sonia Jaroszuk"|"al. Brzoskwiniowa 41/86
34-866 Kielce"
"Kaja Kurnik"|"al. Jaskółcza 928
91-369 Brzeg"
"Aurelia Koźlak"|"pl. Niepodległości 33
50-310 Gorlice"
"Oliwier Jereczek"|"aleja Spokojna 77/30
60-599 Olsztyn"
"Witold Zemanek"|"aleja Plater 99
72-306 Chojnice"
"Marika Bartocha"|"ulica Władysława Jagiełły 373
32-025 Rzeszów"
"Stefan Fąferek"|"al. Jana Sobieskiego 402
52-898 Głogów"
"pan Franciszek Szumiec"|"pl. Mickiewicza 35
91-721 Jawor"
"Albert Ficner"|"pl. Broniewskiego 73
34-945 Krosno"
"Ewa Rymarz"|"ul. Kolonia 968
70-404 Jawor"
"Tola Drobnik"|"al. Podgórna 71/86
45-866 Kalisz"
"Damian Mieloch"|"aleja Klasztorna 51/68
01-794 Biała Podlaska"
"Janina Wojewodzic"|"al. Kilińskiego 21
51-674 Oława"
"pan Tobiasz Teter"|"aleja Wolności 43
09-356 Brzeg"
"pani Liwia Chomik"|"ul. Broniewskiego 35/31
64-312 Olkusz"
"Piotr Niesporek"|"al. Cmentarna 80/85
63-165 Kielce"
"Oliwier Kleban"|"plac Stefana Batorego 26/56
12-036 Radom"
"Alex Jędraszek"|"plac Hallera 924
11-212 Katowice"
"Albert Fudalej"|"aleja Górna 670
08-208 Ciechanów"
"Justyna Zygmuntowicz"|"aleja Prusa 634
11-969 Jasło"
"Natan Gwara"|"aleja Łączna 52
03-048 Lębork"
"pan Daniel Makulec"|"ul. Liliowa 79/18
35-413 Płońsk"
"Maciej Słupik"|"ul. Pogodna 369
12-074 Lubartów"
"pan Borys Antończak"|"aleja Sikorskiego 67
53-074 Bielsk Podlaski"
"Miłosz Gęgotek"|"pl. Kołłątaja 592
88-660 Kościerzyna"
"pani Anna Maria Kocoł"|"plac Kusocińskiego 86/09
93-622 Nowy Targ"
"Maurycy Lazarek"|"aleja Konstytucji 3 Maja 049
25-274 Wejherowo"
"pani Sonia Kwarciak"|"al. Lubelska 82/11
54-602 Czerwionka-Leszczyny"
"Albert Gierek"|"ulica Szkolna 47
92-803 Nowy Targ"
"Ksawery Szmalec"|"aleja Kołłątaja 25/04
06-810 Jawor"
"Antoni Smykała"|"plac Wyzwolenia 51/87
45-789 Wołomin"
"Kamila Kudra"|"aleja Zacisze 584
57-019 Czerwionka-Leszczyny"
"Blanka Wężyk"|"ulica Żwirki i Wigury 34/03
29-071 Lubartów"
"Kamila Zieja"|"ul. Konopnickiej 49/73
77-737 Suwałki"
"Leon Tytko"|"ulica Wierzbowa 92/48
89-871 Świebodzice"
"pan Oliwier Solich"|"al. Brzoskwiniowa 65/44
16-419 Wałcz"
"Igor Walkusz"|"ulica Stycznia 64/56
33-266 Grodzisk Mazowiecki"
"Lidia Skała"|"ulica Bukowa 91/29
74-616 Ostróda"
"Albert Goliszek"|"pl. Wojciecha 480
04-912 Stalowa Wola"
"Emil Gawliczek"|"ulica Makuszyńskiego 369
72-894 Świebodzice"
"Kamila Wiese"|"pl. Skłodowskiej-Curie 90/10
43-107 Sanok"
"Bartek Pitala"|"ul. Armii Krajowej 07
67-147 Inowrocław"
"pani Ida Bejma"|"plac Drzymały 74/89
47-360 Lubliniec"
"Lidia Kroll"|"pl. Sucharskiego 16/41
58-488 Ostróda"
"Emil Surdel"|"aleja Jana 00
43-674 Pszczyna"
"Arkadiusz Fik"|"pl. Wieniawskiego 220
50-454 Nowy Dwór Mazowiecki"
"Marika Cofała"|"ul. Sucharskiego 373
19-867 Kluczbork"
"Gabriel Pacura"|"pl. Stefana Batorego 74
19-301 Wałbrzych"
"Albert Milka"|"pl. Miłosza 35/10
71-229 Bydgoszcz"
"Arkadiusz Troka"|"pl. Broniewskiego 43
59-142 Wałcz"
"pan Franciszek Skocz"|"plac Władysława Łokietka 58
07-300 Sieradz"
"Konstanty Front"|"aleja Spacerowa 83/34
72-050 Tychy"
"Maciej Wojtalik"|"pl. Sikorskiego 03/01
39-070 Luboń"
"pani Justyna Rykała"|"ul. Matejki 27
08-443 Łaziska Górne"
"Paweł Przewoźnik"|"plac Konopnickiej 55/47
11-700 Będzin"
"Cyprian Dulemba"|"aleja Moniuszki 740
72-784 Mława"
"Eliza Żugaj"|"ulica Pułaskiego 03
22-642 Stargard Szczeciński"
"pan Cyprian Dulewicz"|"al. Handlowa 54/19
75-374 Nowy Dwór Mazowiecki"
"Albert Moneta"|"al. Podmiejska 76/58
58-798 Świdnica"
"pan Hubert Filek"|"pl. Kruczkowskiego 25/98
10-642 Oświęcim"
"pan Olgierd Tutka"|"ulica Wyzwolenia 906
24-179 Szczecin"
"Oskar Litwiniuk"|"ulica Kraszewskiego 35
92-641 Cieszyn"
"Robert Kulon"|"plac Konstytucji 3 Maja 47
81-639 Piekary Śląskie"
"Gabriel Osipiuk"|"al. Orzechowa 22/52
17-931 Czechowice-Dziedzice"
"Julian Michalkiewicz"|"pl. Kościuszki 314
08-005 Sandomierz"
"Gustaw Raźny"|"ulica Długosza 329
58-482 Bielawa"
"Bartek Bodych"|"al. Dworska 22
07-331 Siedlce"
"pan Marcel Duszczak"|"ul. Żurawia 02
82-116 Czeladź"
"Albert Oleśkiewicz"|"ulica Jadwigi 77
04-586 Gliwice"
"Borys Dyka"|"aleja Szarych Szeregów 71/34
17-570 Kalisz"
"Kajetan Fabiszak"|"aleja Jana Pawła II 694
94-317 Kraśnik"
"Julianna Giers"|"ulica Żeglarska 343
23-137 Czerwionka-Leszczyny"
"Juliusz Sroga"|"ul. Skłodowskiej-Curie 54/24
57-580 Olsztyn"
"Justyna Mrotek"|"pl. Bolesława Krzywoustego 440
63-588 Nowy Targ"
"Eryk Wykręt"|"pl. Niepodległości 330
55-176 Zambrów"
"Sara Staręga"|"pl. Solidarności 46/87
68-545 Giżycko"
"Agnieszka Kleban"|"al. Korczaka 77
41-978 Głogów"
"pani Lidia Guziak"|"ul. Staszica 189
16-919 Zielona Góra"
"Albert Prasek"|"ul. Pocztowa 15
12-198 Lubliniec"
"pani Ewelina Domka"|"pl. Norwida 26/86
65-027 Siedlce"
"Karina Pęksa"|"ulica Jadwigi 54/98
31-729 Sieradz"
"pani Sandra Rurarz"|"ulica Zacisze 00
14-485 Iława"
"pani Aniela Kaluga"|"al. Chopina 269
15-838 Gdynia"
"Maks Borczyk"|"aleja Miła 495
94-926 Kraków"
"Witold Synak"|"ulica Spacerowa 88/79
04-935 Lublin"
"Iwo Tywoniuk"|"ulica Waryńskiego 17
55-043 Tychy"
"Aniela Gral"|"plac Miłosza 11/75
29-082 Police"
"Szymon Jacak"|"ul. Jadwigi 01/15
05-900 Wyszków"
"Albert Siwczak"|"ulica Kilińskiego 10
83-311 Olkusz"
"pan Konstanty Dawidczyk"|"ulica Krańcowa 86/55
75-747 Chełm"
"Arkadiusz Koss"|"pl. Kossaka 30
27-821 Ostrów Mazowiecka"
"Adrianna Basak"|"aleja Wiśniowa 30/55
56-573 Ostrowiec Świętokrzyski"
"Emil Ważna"|"plac Ściegiennego 23/38
45-098 Płock"
"Janina Koniec"|"pl. Traugutta 63/97
39-523 Luboń"
"pan Michał Maziarczyk"|"aleja Koralowa 98/17
77-807 Żywiec"
"Elżbieta Jaśko"|"ul. Letnia 152
65-239 Bełchatów"
"Marianna Kaziród"|"plac Czarnieckiego 41/12
72-886 Grudziądz"
"pani Nicole Sarniak"|"al. Wybickiego 83
47-843 Zielona Góra"
"Albert Szpyt"|"aleja Popiełuszki 83/69
66-710 Jaworzno"
"pan Karol Duczek"|"al. Stycznia 86/46
51-429 Sopot"
"Artur Osial"|"ul. Dobra 093
82-143 Konin"
"pani Adrianna Szeja"|"pl. Wyzwolenia 50
15-601 Tarnowskie Góry"
"pani Julianna Chudoba"|"pl. Listopada 27
59-462 Gdynia"
"pan Jerzy Horbacz"|"ul. Broniewskiego 560
87-130 Brodnica"
"Patryk Łachacz"|"ulica Azaliowa 61/37
07-944 Gliwice"
"pan Wiktor Betka"|"al. Lwowska 83/18
74-647 Sanok"
"pan Eryk Chyb"|"aleja Czarnieckiego 708
57-125 Słupsk"
"Andrzej Stąpór"|"aleja Kossaka 68/14
05-639 Nowy Sącz"
"Albert Uryga"|"ulica Kielecka 33
53-368 Świdnik"
"Mariusz Szymocha"|"pl. Kosynierów 59
98-500 Kalisz"
"pan Borys Labudda"|"ulica Dojazdowa 012
48-093 Jawor"
"pan Albert Rurarz"|"aleja Wieniawskiego 22/00
97-473 Białogard"
"Witold Migała"|"al. Piękna 366
90-949 Gliwice"
"Piotr Borysiuk"|"al. Turkusowa 88
67-003 Płońsk"
"Adam Świć"|"ulica Brzechwy 24
79-726 Szczecin"
"Anastazja Pułka"|"ul. Jodłowa 83/65
33-067 Skawina"
"Adrianna Trzmiel"|"ulica Andersa 971
67-045 Chrzanów"
"Artur Wołk"|"ul. Wieniawskiego 01
43-098 Gorzów Wielkopolski"
"Albert Wołk"|"ul. Malczewskiego 262
43-906 Włocławek"
"Sebastian Linda"|"ul. Norwida 88/93
76-723 Zambrów"
"Mikołaj Szpila"|"al. Żwirki i Wigury 893
01-344 Cieszyn"
"Ewa Filusz"|"al. Młynarska 499
31-077 Świecie"
"Natasza Strycharz"|"pl. Partyzantów 642
92-328 Konin"
"pani Gaja Styrna"|"pl. Maczka 14/07
83-034 Reda"
"Kaja Jaremek"|"ulica Orla 267
19-192 Otwock"
"Mariusz Rejmer"|"plac Skargi 32/19
36-250 Sanok"
"Konstanty Policht"|"ul. Sienkiewicza 86/66
69-327 Świebodzice"
"Tadeusz Siara"|"pl. Makuszyńskiego 667
47-757 Łuków"
"Albert Żołna"|"aleja Norwida 626
84-089 Dąbrowa Górnicza"
"Blanka Frania"|"ulica Piwna 336
71-251 Piastów"
"Daniel Kozica"|"aleja Wolności 242
74-984 Grodzisk Mazowiecki"
"Norbert Cydzik"|"al. Strumykowa 50
41-090 Kraśnik"
"Bartek Kopik"|"pl. Armii Krajowej 55/00
66-416 Bytom"
"pan Fabian Panasewicz"|"ul. Jana III Sobieskiego 32
33-324 Puławy"
"Olga Kramer"|"pl. Kochanowskiego 27/30
03-526 Zakopane"
"Karol Gałach"|"pl. Gałczyńskiego 400
79-561 Jasło"
"Dariusz Smagała"|"ul. Plażowa 04/57
89-931 Środa Wielkopolska"
"pan Miłosz Tusk"|"pl. Wieniawskiego 51
14-933 Kołobrzeg"
"Albert Żugaj"|"pl. Andersa 05/89
98-296 Mysłowice"
"pani Blanka Ośko"|"ul. Reja 101
18-424 Bolesławiec"
"pani Marianna Jakubiuk"|"ul. Rynek 13/50
84-176 Ciechanów"
"Angelika Łepek"|"ul. Wiejska 73
06-866 Sandomierz"
"Kacper Golan"|"ul. Owocowa 86
46-791 Bełchatów"
"pan Jacek Siedlarz"|"plac Skłodowskiej-Curie 694
76-232 Lubartów"
"pan Igor Kapałka"|"ul. Konarskiego 19
79-982 Polkowice"
"Klara Ciuba"|"pl. Kazimierza Wielkiego 986
03-713 Tczew"
"Przemysław Juśkiewicz"|"aleja Lawendowa 16
08-957 Kościerzyna"
"Ryszard Lewicz"|"pl. Maczka 94/09
63-172 Szczecin"
"Aleks Bosek"|"ulica Sawickiej 12
20-437 Swarzędz"
"Marcin Jaszcz"|"ul. Żeglarska 184
63-704 Racibórz"
"pan Franciszek Calik"|"al. Nowowiejska 80
37-867 Nowa Sól"
"Elżbieta Kowala"|"plac Staffa 51/44
68-738 Żory"
"Grzegorz Zioła"|"pl. Narutowicza 81/51
45-426 Starachowice"
"Sebastian Orszulik"|"pl. Fredry 69/47
02-197 Iława"
"Olgierd Pilich"|"al. Przechodnia 28/77
13-154 Pabianice"
"Maciej Skonieczka"|"pl. Asnyka 661
07-108 Wyszków"
"Albert Radke"|"pl. Narutowicza 575
22-626 Środa Wielkopolska"
"Krystian Zajko"|"al. Fabryczna 88/29
03-732 Rumia"
"Aleks Fiutak"|"ul. Głowackiego 34
10-152 Białogard"
"Eryk Kaźmierczyk"|"plac Jana Sobieskiego 80
36-451 Oleśnica"
"Tola Oszust"|"plac Wyszyńskiego 96
79-576 Zakopane"
"Natan Węgrzyk"|"ulica Popiełuszki 10/74
31-878 Świecie"
"Sylwia Krzyśków"|"aleja Konstytucji 3 Maja 63
21-632 Żary"
"pan Kamil Mokwa"|"ul. Malinowa 81
29-188 Ruda Śląska"
"Ryszard Banachowicz"|"ulica Wolności 785
11-239 Ostrów Wielkopolski"
"pan Konrad Dyś"|"pl. Jana Pawła II 83/86
01-976 Suwałki"
"Monika Prażmo"|"ulica Wyspiańskiego 90/83
04-379 Kraśnik"
"Ida Żelasko"|"ulica Malinowa 76/52
30-113 Rybnik"
"Aleks Majerczyk"|"plac Paderewskiego 40/82
38-006 Kościerzyna"
"pan Alan Brodawka"|"plac Powstańców 90/78
69-788 Żory"
"Adam Kawala"|"pl. Niepodległości 00
07-141 Nowy Dwór Mazowiecki"
"pani Ida Kozok"|"ulica Leśna 802
98-793 Nowy Targ"
"Dominik Żołądkiewicz"|"aleja Sadowa 94
14-909 Skarżysko-Kamienna"
"pan Paweł Kożuszek"|"ulica Floriana 67/93
80-006 Kutno"
"Adam Pich"|"plac Stycznia 24/34
28-813 Piastów"
"Kamil Roczniak"|"al. Świerczewskiego 800
41-505 Sosnowiec"
"Karina Krzykała"|"ul. Sucharskiego 03/80
10-606 Wyszków"
"Aleksander Bojdo"|"plac Reja 490
78-387 Białystok"
"Aleks Powązka"|"pl. Drzymały 21/33
92-956 Goleniów"
"Marcelina Leśko"|"ul. Powstańców 12/35
64-269 Zgorzelec"
"Mariusz Myszak"|"aleja Gdańska 51/58
36-142 Grudziądz"
"Marcin Honkisz"|"aleja Jastrzębia 362
78-044 Ostrów Wielkopolski"
"Inga Grab"|"ulica Głowackiego 49
54-183 Wołomin"
"Eryk Machniak"|"plac Grottgera 608
19-635 Chełm"
"Rozalia Zyguła"|"aleja Wrocławska 60/68
32-197 Płońsk"
"Franciszek Żakiewicz"|"pl. Piłsudskiego 20
85-907 Turek"
"Iwo Magryta"|"aleja Jana 520
34-484 Gniezno"
"Mateusz Mosiołek"|"plac Kopernika 96
94-531 Sochaczew"
"Aleks Sadlak"|"ulica Bociania 92
14-415 Zduńska Wola"
"Justyna Radke"|"aleja Sowia 41/63
11-171 Ostróda"
"pani Blanka Dułak"|"aleja Gałczyńskiego 02
37-745 Kutno"
"Krystyna Cyman"|"pl. Jana III Sobieskiego 754
67-028 Mielec"
"pan Arkadiusz Perka"|"ul. Morska 99
70-602 Pabianice"
"pani Urszula Orawiec"|"ulica Jadwigi 257
40-320 Ząbki"
"Fabian Plizga"|"ulica Jana 07
08-488 Wałbrzych"
"Gaja Dydak"|"aleja Poniatowskiego 549
02-452 Dębica"
"Kazimierz Młynarz"|"ulica Paderewskiego 60/95
08-646 Kłodzko"
"Monika Pyć"|"ulica Długa 22/97
66-409 Goleniów"
"Aleks Snoch"|"ul. Mazurska 39/41
40-839 Toruń"
"Maurycy Łyczek"|"ulica Piłsudskiego 17
80-661 Bielsko-Biała"
"Dariusz Wołoch"|"plac Grottgera 358
53-847 Giżycko"
"Daniel Kutek"|"pl. Sawickiej 333
75-624 Racibórz"
"pani Angelika Lisak"|"al. Fredry 78/59
21-991 Łódź"
"Kornelia Kwasek"|"al. Paderewskiego 75/35
35-581 Piekary Śląskie"
"Kornel Oleksik"|"al. Mieszka I 24/17
84-386 Częstochowa"
"pani Sonia Kamyk"|"plac Chopina 49
47-550 Tarnobrzeg"
"pan Leonard Kwarciak"|"ul. Dębowa 01
05-708 Polkowice"
"Ernest Sady"|"aleja Przechodnia 73
16-930 Zgorzelec"
"Aleks Wilkos"|"plac Hallera 02/98
42-413 Legionowo"
"Damian Dziełak"|"ul. Kraszewskiego 96
25-210 Katowice"
"Elżbieta Jama"|"al. Wiślana 68
40-252 Żywiec"
"Sylwia Józwik"|"al. Morcinka 11
97-266 Nysa"
"Hubert Gryka"|"ulica Bolesława Chrobrego 99/39
88-140 Gniezno"
"Krystyna Kijas"|"al. Fredry 65
79-047 Wejherowo"
"Bianka Kiepas"|"aleja Hutnicza 399
84-669 Kutno"
