"Ada Balcewicz","ul. Miłosza 613
53-927 Chojnice"
"Tymon Perczak","plac Żeromskiego 01/37
04-541 Przemyśl"
"Oskar Kopik","pl. Świerczewskiego 28
65-250 Dębica"
"pani Apolonia Czerner","ul. Listopada 34/31
34-655 Zabrze"
"Agnieszka Dzika","aleja Rynek 90
79-702 Grudziądz"
"pan Jan Gieroń","al. Kreta 06/84
85-561 Szczytno"
"Adrian Wowra","plac Wróblewskiego 98/18
92-831 Pszczyna"
"Marcelina Figat","ulica Sawickiej 75
76-695 Kwidzyn"
"Cezary Owczarczak","aleja Witosa 97/65
44-501 Zgorzelec"
"Marcin Szczepaniuk","pl. Broniewskiego 52
80-079 Lubin"
"Tola Działo","aleja Bema 840
03-891 Siedlce"
"Miłosz Wołczyk","ul. Drzymały 17
93-203 Siemianowice Śląskie"
"Melania Rasała","pl. Popiełuszki 81
96-546 Kościan"
"Nataniel Hewelt","plac Kasprowicza 32
46-895 Opole"
"Agnieszka Graboń","al. Żytnia 32
57-530 Sosnowiec"
"pani Klara Spólnik","aleja Myśliwska 99/81
39-307 Piaseczno"
"Artur Wykręt","al. Młyńska 453
02-470 Stalowa Wola"
"pani Agnieszka Tatarczuk","ulica Rybacka 55
29-034 Wejherowo"
"Kornel Ziarno","ulica Plater 20
68-731 Pruszcz Gdański"
"Natasza Amanowicz","aleja Władysława Łokietka 92/89
53-555 Ostrów Mazowiecka"
"Leonard Bacia","pl. Korczaka 09
38-432 Żary"
"Patryk Jagiełka","aleja Nałkowskiej 20/67
40-108 Turek"
"Leonard Ekert","ulica Czarnieckiego 484
17-331 Jasło"
"Marcelina Szarejko","ulica Nadbrzeżna 38
71-390 Wieluń"
"Agnieszka Janczura","al. Wyszyńskiego 469
69-066 Gliwice"
"Borys Ludwisiak","aleja Kosynierów 334
76-371 Ostrów Wielkopolski"
"Bartek Radzewicz","aleja Królewska 803
41-165 Lębork"
"pani Gaja Siewert","ulica Listopada 185
95-027 Legionowo"
"Natasza Fuławka","aleja Bolesława Chrobrego 781
20-277 Jarocin"
"Michał Danisz","aleja Miłosza 30
37-688 Ząbki"
"Lidia Nurkiewicz","ulica Dobra 198
81-798 Siemianowice Śląskie"
"Stanisław Malcharek","al. Grottgera 55
72-351 Wałcz"
"Malwina Mejer","pl. Wyzwolenia 90
37-550 Kluczbork"
"Robert Brańka","pl. Konarskiego 70/48
04-340 Kościerzyna"
"Agnieszka Kręcisz","ul. Krucza 66/74
30-709 Skierniewice"
"Gustaw Kliber","plac Krasickiego 36/18
54-115 Ostrowiec Świętokrzyski"
"Anita Mikoda","ul. Sikorskiego 71
72-508 Radom"
"Marika Sygut","ulica Krucza 004
57-470 Piaseczno"
"pani Nela Siembab","ul. Kosynierów 578
74-822 Nowy Targ"
"Dominik Witos","al. Słonecznikowa 47
15-278 Zgierz"
"Aurelia Chachuła","pl. Kazimierza Wielkiego 42
69-109 Białogard"
"Ewa Bejma","ulica Południowa 74
80-517 Mikołów"
"Leonard Dybaś","ulica Jana 31
49-599 Łódź"
"Rozalia Burczak","pl. Chopina 63/40
03-340 Nowy Targ"
"Agnieszka Potyrała","plac Popiełuszki 23
96-380 Koszalin"
"Nataniel Bobel","pl. Listopada 862
83-873 Warszawa"
"pani Ewa Puc","ul. Turkusowa 20
29-930 Tczew"
"Jerzy Sugier","al. Konarskiego 041
11-168 Oława"
"Adrian Żurawik","ulica Witosa 08
80-274 Wrocław"
"Dagmara Salomon","ul. Kruczkowskiego 29
24-482 Wałcz"
"Olga Wilkos","ulica Chełmońskiego 78
57-005 Giżycko"
"pani Krystyna Hojda","aleja Żwirki i Wigury 096
25-694 Zduńska Wola"
"Wojciech Janczura","ul. Piwna 90/11
44-286 Wągrowiec"
"Witold Kurc","al. Władysława Łokietka 196
56-142 Częstochowa"
"Agnieszka Pyszczek","pl. Żeromskiego 57/49
94-266 Słupsk"
"Kornel Niewola","pl. Rynek 78/82
99-015 Mysłowice"
"Iwo Stwora","aleja Cegielniana 82/82
84-067 Kościerzyna"
"Andrzej Pasierbek","plac Staszica 02
52-590 Lubliniec"
"pan Filip Muc","aleja Piękna 66/53
48-125 Kluczbork"
"Kacper Faryna","aleja Działkowa 497
57-025 Ostrowiec Świętokrzyski"
"Nikodem Ważny","plac Listopada 139
76-546 Krosno"
"Juliusz Galica","ul. Skłodowskiej-Curie 45/46
13-087 Środa Wielkopolska"
"Tadeusz Jeszke","ulica Daszyńskiego 84
46-037 Augustów"
"Ryszard Żelasko","al. Prosta 51/65
10-046 Bielawa"
"Agnieszka Szpyrka","aleja Matejki 19/86
88-324 Lubin"
"Antoni Ogłaza","ulica Wybickiego 67
51-487 Elbląg"
"Konstanty Fronczek","al. Widok 02
75-892 Lublin"
"Marika Karpiel","ulica Złota 88
56-004 Lubliniec"
"pan Fabian Kozar","ul. Pałacowa 72
46-756 Kluczbork"
"Karol Markiel","plac Kossaka 02
20-733 Płońsk"
"Błażej Bugla","pl. Bolesława Chrobrego 61
57-571 Knurów"
"Stefan Frukacz","ul. Kruczkowskiego 14
85-747 Opole"
"Rafał Kacperczyk","pl. Maczka 11
46-999 Inowrocław"
"pan Piotr Kargol","ulica Władysława Jagiełły 65
73-917 Grodzisk Mazowiecki"
"Agnieszka Szymków","ul. Batalionów Chłopskich 63
33-276 Goleniów"
"Filip Juśkiewicz","plac Słowackiego 76/10
79-008 Dębica"
"Roksana Borysiewicz","ulica Wybickiego 03
87-824 Czechowice-Dziedzice"
"Mieszko Świerad","ul. Morska 804
10-461 Stalowa Wola"
"Mieszko Fydrych","plac Hallera 929
10-535 Pruszcz Gdański"
"Karol Monkiewicz","aleja Asnyka 636
18-183 Jaworzno"
"Apolonia Szlufik","ul. Żeromskiego 980
38-215 Kłodzko"
"Sonia Jankowicz","pl. Makuszyńskiego 58/08
15-914 Świnoujście"
"Miłosz Roda","pl. Korczaka 68
56-731 Gliwice"
"pani Sara Szaruga","aleja Korfantego 387
75-831 Elbląg"
"Alan Danel","aleja Drzymały 61/33
91-094 Białogard"
"Adrian Szałata","aleja Wiśniowa 78
08-205 Swarzędz"
"Jerzy Oleksak","ul. Mała 867
78-504 Wrocław"
"Filip Dybka","ul. Jadwigi 24/35
32-409 Lubartów"
"Eryk Myrcik","aleja Tylna 912
68-426 Radomsko"
"Rozalia Sulich","plac Traugutta 346
48-999 Biała Podlaska"
"Ryszard Hankiewicz","ulica Słowackiego 19
41-701 Zakopane"
"Adam Blaut","ul. Sikorskiego 60/41
06-516 Płock"
"pani Julita Rajman","plac Sienkiewicza 907
89-902 Polkowice"
"pani Bianka Obuchowicz","al. Tulipanowa 819
60-846 Łuków"
"Alan Maras","plac Konstytucji 3 Maja 49
11-285 Lublin"
"Przemysław Boguta","aleja Świerczewskiego 56
06-751 Oława"
"Ewa Kruzel","pl. Waryńskiego 41
75-316 Stargard Szczeciński"
"Anastazja Herok","ulica Piłsudskiego 414
80-365 Nowy Targ"
"Jędrzej Kajdas","plac Szymanowskiego 11
36-116 Pszczyna"
"Adrianna Sabała","plac Fredry 00
19-565 Turek"
"Radosław Malesza","aleja Wodna 99/06
78-755 Lubin"
"Marcelina Osica","plac Kościuszki 102
97-858 Szczecin"
"Robert Gumienny","pl. Wyspiańskiego 84
96-119 Wodzisław Śląski"
"Stefan Pazik","ul. Jodłowa 74
75-135 Przemyśl"
"Alan Strawa","ul. Kwiatowa 06
55-738 Bielsk Podlaski"
"pan Nataniel Leszcz","al. Cedrowa 97
40-019 Piaseczno"
"Adrian Podgórny","al. Okrężna 49
03-459 Nowa Ruda"
"pan Ryszard Ellwart","aleja Zakątek 38/16
35-663 Kłodzko"
"Karina Martynowicz","aleja Gałczyńskiego 21/94
25-370 Myszków"
"pan Maurycy Pachla","aleja Robotnicza 447
26-330 Nowa Sól"
"Agnieszka Szarzec","al. Orla 967
32-380 Żary"
"Iwo Stanisławek","ul. Wojciecha 04/18
97-151 Tarnobrzeg"
"Tymoteusz Drózd","pl. Czarnieckiego 26
49-359 Oleśnica"
"Rozalia Cierpisz","aleja Niepodległości 50
22-023 Wołomin"
"Albert Chwalisz","ulica Leśna 02
77-243 Zamość"
"Igor Oziębło","al. Konstytucji 3 Maja 95/70
78-769 Luboń"
"pani Olga Klimko","ul. Wieniawskiego 49/40
25-419 Nysa"
"pan Dawid Myrcik","ul. Piłsudskiego 19/51
59-447 Kielce"
"Franciszek Lipowicz","pl. Moniuszki 66/22
25-921 Biała Podlaska"
"pani Blanka Melka","plac Ściegiennego 796
32-828 Iława"
"Julianna Prasek","plac Skłodowskiej-Curie 57
61-641 Konin"
"Kornel Kapinos","ulica Batalionów Chłopskich 05
73-860 Gliwice"
"Jędrzej Mytych","ulica Kasprowicza 79
61-303 Żagań"
"Tomasz Ostasz","pl. Jana Pawła II 84
51-297 Oleśnica"
"Albert Chwedczuk","al. Piękna 50/96
44-389 Tczew"
"Róża Nabiałek","aleja Zdrojowa 23/81
07-218 Wałcz"
"pan Kazimierz Jankowicz","aleja Zachodnia 59/61
84-982 Tychy"
"pani Elżbieta Klemczak","al. Nałkowskiej 63
33-275 Świebodzice"
"Łukasz Kopa","pl. Staszica 14
06-207 Kościan"
"Gaja Goworek","ul. Rycerska 837
45-492 Piła"
"Krystyna Pabis","al. Plater 828
97-513 Grudziądz"
"Olga Pernak","plac Gałczyńskiego 452
57-572 Częstochowa"
"Malwina Babiuch","plac Listopada 437
78-635 Sopot"
"Julita Knapek","ulica Orla 140
38-294 Rumia"
"Albert Greszta","plac Baczyńskiego 05/64
25-364 Wejherowo"
"pan Artur Kasak","pl. Powstańców Wielkopolskich 578
44-867 Pruszków"
"Jan Iskierka","plac Głowackiego 124
81-516 Sosnowiec"
"Gabriel Jonczyk","ul. Klasztorna 58
92-879 Rumia"
"Olaf Maras","aleja Dębowa 01
43-612 Ząbki"
"Juliusz Sularz","plac Długosza 982
48-682 Oleśnica"
"Jerzy Rudzik","al. Miłosza 211
04-060 Gorzów Wielkopolski"
"pan Bartek Goral","ulica Królewska 735
90-015 Poznań"
"Nikodem Kandora","plac Czarnieckiego 60/57
99-877 Wieluń"
"pan Kamil Ciołczyk","pl. Rynek 990
99-952 Tczew"
"Albert Hartman","al. Żurawia 754
17-064 Jelenia Góra"
"Oskar Żelasko","plac Władysława Łokietka 06
83-883 Nysa"
"pani Klara Lenc","aleja Poziomkowa 040
87-241 Chorzów"
"Leonard Kluj","ul. Bolesława Krzywoustego 23/59
99-278 Bolesławiec"
"Inga Czerner","ulica Morelowa 76
68-322 Kutno"
"Ignacy Stosik","plac Wyzwolenia 979
40-109 Brodnica"
"Ksawery Pośnik","plac Partyzantów 21
02-284 Pabianice"
"Blanka Kazberuk","al. Bursztynowa 27
09-627 Brzeg"
"Olga Żywica","pl. Jana 37
63-026 Gdynia"
"pani Rozalia Stempniak","ulica Szarych Szeregów 394
51-215 Płońsk"
"Albert Kulisz","plac Wolności 80/98
81-205 Kraśnik"
"pani Tola Kornak","ul. Koralowa 159
45-289 Piekary Śląskie"
"Kornel Hus","aleja Floriana 28
17-306 Oława"
"Maciej Węgier","ul. Reja 199
47-450 Lębork"
"Anna Maria Stosik","pl. Fredry 61
18-947 Szczytno"
"Rozalia Olszowa","ul. Wyszyńskiego 771
68-693 Wołomin"
"Mieszko Fit","aleja Niepodległości 06/96
59-037 Nowy Dwór Mazowiecki"
"Michał Kuczaj","al. Wieniawskiego 46/52
26-851 Cieszyn"
"Kornel Leśny","ulica Kowalska 505
04-454 Środa Wielkopolska"
"Ignacy Komsta","plac Reja 163
85-345 Tczew"
"Albert Pasztaleniec","aleja Jasna 360
05-594 Będzin"
"Nela Misztela","plac Norwida 90
42-768 Szczecinek"
"Dawid Kubasiewicz","ulica Dojazdowa 87
11-261 Piastów"
"pan Mikołaj Ślęczka","ul. Kolorowa 06
20-568 Jaworzno"
"pani Olga Bany","al. Hallera 33
37-862 Police"
"pani Anastazja Adrian","aleja Piekarska 24/49
39-441 Świecie"
"Olgierd Piłka","plac Hallera 51
12-777 Ciechanów"
"pan Dariusz Nabiałek","aleja Rynek 59/71
95-112 Olsztyn"
"Michał Budych","plac Hallera 99
32-241 Kościan"
"Dagmara Staniewicz","ulica Spokojna 00/03
31-759 Cieszyn"
"Albert Politowicz","aleja Owocowa 217
71-300 Mikołów"
"Róża Wenda","ul. Sikorskiego 98/84
63-825 Pruszcz Gdański"
"Eliza Harasimiuk","aleja Widok 88
01-307 Ciechanów"
"pan Juliusz Gołofit","pl. Malczewskiego 33
83-288 Bełchatów"
"Ryszard Morcinek","ulica Pułaskiego 68/16
42-652 Ełk"
"Tobiasz Żbik","plac Władysława Jagiełły 726
35-093 Zambrów"
"pan Andrzej Serwach","ulica Górska 31/96
97-039 Jelenia Góra"
"Piotr Tomalik","ul. Rynek 28/00
21-555 Wołomin"
"Aleksander Hamerla","pl. Świerczewskiego 98/42
78-695 Skawina"
"Elżbieta Rejmer","ul. Gajowa 97
88-909 Mysłowice"
"Albert Salomon","al. Rolna 658
04-082 Koło"
"Iwo Brachaczek","pl. Sucharskiego 05/57
38-312 Kalisz"
"Dariusz Karpik","pl. Kraszewskiego 19
74-042 Police"
"Aniela Marcol","plac Orzeszkowej 73/80
67-530 Pabianice"
"pan Andrzej Toma","aleja Jodłowa 185
15-667 Włocławek"
"Apolonia Oleksiuk","ulica Konstytucji 3 Maja 954
03-856 Piła"
"Robert Materek","aleja Malczewskiego 76/38
51-116 Łódź"
"pani Anastazja Dyczko","pl. Wojska Polskiego 391
19-546 Kutno"
"Anna Maria Małycha","pl. Korczaka 850
84-804 Wołomin"
"Mikołaj Kandora","al. Orkana 02/60
86-786 Olsztyn"
"Albert Sasak","al. Kusocińskiego 110
98-694 Racibórz"
"pani Blanka Maksym","pl. Świerczewskiego 38
56-912 Reda"
"Melania Klaja","plac Dąbrowskiej 39/16
61-645 Olkusz"
"Kaja Golon","plac Wyzwolenia 460
24-689 Cieszyn"
"Alex Mosur","ulica Jaśminowa 88
19-421 Tczew"
"Artur Chowaniak","plac Armii Krajowej 07/97
44-308 Jaworzno"
"Lidia Kopiczko","ul. Konarskiego 67
92-650 Malbork"
"Cyprian Sporek","pl. Kossaka 209
04-393 Turek"
"Piotr Szłapka","plac Sawickiej 78/84
36-406 Turek"
"Krystyna Fedak","ulica Mieszka I 02/99
80-238 Sopot"
"Albert Serwach","ulica Zdrojowa 51/94
45-032 Knurów"
"Maurycy Znojek","plac Baczyńskiego 88
99-712 Turek"
"Konstanty Osica","al. Śląska 87/17
59-855 Lębork"
"pani Gaja Kapałka","ulica Grzybowa 84
15-845 Kościan"
"pan Kajetan Miękina","pl. Czarnieckiego 585
42-681 Ełk"
"Cyprian Szram","pl. Prusa 70/57
02-756 Ełk"
"Kornel Bobko","aleja Mazurska 542
15-418 Zamość"
"pan Konrad Janoszek","ulica Długosza 341
57-723 Szczecinek"
"Jędrzej Skałka","ulica Myśliwska 49/13
78-445 Świecie"
"Olga Kapcia","plac Jana 23
80-860 Jaworzno"
"Aleks Banak","al. Składowa 42
97-718 Słupsk"
"Albert Pyzel","ulica Gałczyńskiego 399
56-828 Gorzów Wielkopolski"
"Mariusz Kopyto","aleja Bociania 65/65
24-942 Myszków"
"Przemysław Pracz","al. Mieszka I 86
46-231 Tarnobrzeg"
"pani Ewelina Surmiak","ulica Jana Pawła II 88
85-803 Kościerzyna"
"Bartek Orszulik","ul. Poznańska 356
94-472 Pruszcz Gdański"
"pani Ada Gałat","al. Glówna 107
40-270 Chrzanów"
"Dawid Oczkowicz","ul. Nałkowskiej 76/13
26-906 Kraśnik"
"Miłosz Herbut","aleja Wierzbowa 51/71
25-327 Żyrardów"
"Witold Karsznia","aleja Narcyzowa 66/34
44-997 Włocławek"
"Aleks Getka","al. Tysiąclecia 03/79
61-610 Katowice"
"pani Anna Maria Tatarczyk","ulica Skrajna 534
28-768 Suwałki"
"pani Gaja Kursa","al. Kochanowskiego 40
83-307 Ostrołęka"
"pan Maciej Natanek","ul. Daszyńskiego 946
02-924 Zabrze"
"Miłosz Hołysz","aleja Lipowa 551
29-254 Skawina"
"pan Kamil Karaśkiewicz","aleja Wąska 62/47
57-367 Sopot"
"Leonard Karczmarz","ulica Sikorskiego 47/77
41-187 Mielec"
"Miłosz Starościak","ulica Baczyńskiego 37/55
74-438 Oława"
"Justyna Damek","ul. Lubelska 63
17-306 Przemyśl"
"pani Dagmara Orkisz","plac Sawickiej 980
21-584 Świętochłowice"
"Aleks Giersz","plac Prusa 72/41
38-948 Sosnowiec"
"Cyprian Matyjaszek","plac Miłosza 14
33-021 Brzeg"
"Adrian Mol","aleja Baczyńskiego 85/66
35-519 Świętochłowice"
"Anna Maria Mazanek","aleja Pałacowa 937
88-613 Mława"
"Marcel Hus","aleja Wspólna 93
39-784 Ostróda"
"Olga Pielach","aleja Moniuszki 67/95
72-217 Starogard Gdański"
"Olaf Borzych","al. Wojciecha 78/10
61-737 Piastów"
"Janina Cisoń","ul. Sosnowa 371
10-563 Koło"
"Adam Zmarzły","al. Górna 86
12-663 Radomsko"
"Jacek Żywica","pl. Konopnickiej 58
71-426 Swarzędz"
"Aleks Jędral","aleja Grunwaldzka 716
21-671 Zgorzelec"
"Monika Piksa","ul. Piaskowa 89
39-939 Tarnobrzeg"
"pani Aurelia Prokopczyk","ul. Wodna 78
19-083 Bartoszyce"
"pan Jędrzej Front","ulica Glówna 81
49-589 Katowice"
"Szymon Hanusiak","ulica Kusocińskiego 248
61-148 Pruszków"
"Apolonia Chylak","ulica Witosa 68/07
29-055 Gniezno"
"pan Cyprian Ceynowa","ul. Nadbrzeżna 233
77-047 Mława"
"Nicole Łasica","ul. Kaszubska 77/99
68-038 Bielsko-Biała"
"pani Marianna Miozga","aleja Jadwigi 64
48-433 Dąbrowa Górnicza"
"Emil Kostro","pl. Wojciecha 299
56-732 Słupsk"
"Aleks Kasak","pl. Szarych Szeregów 94
11-308 Pruszków"
"Leon Golon","pl. Grottgera 83/57
02-448 Reda"
"Marika Kudełka","al. Baczyńskiego 117
05-355 Pruszcz Gdański"
"pani Blanka Skubis","aleja Bema 05
41-745 Radomsko"
"Julian Flasza","plac Długosza 48
28-201 Olkusz"
"Elżbieta Rozumek","pl. Gałczyńskiego 50
06-603 Jasło"
"pan Stefan Glica","ulica Wybickiego 77/37
88-009 Legnica"
"Mieszko Borzych","ulica Żeglarska 856
17-948 Dzierżoniów"
"Julita Skup","pl. Konarskiego 66/16
72-391 Jastrzębie-Zdrój"
"Olaf Gubernat","plac Asnyka 02/05
30-554 Katowice"
"Aleks Niedbał","plac Lelewela 71
32-716 Dąbrowa Górnicza"
"Konrad Huczko","al. Norwida 25/50
29-400 Wałcz"
"Kornel Kohut","ulica Średnia 53
28-378 Koszalin"
"Fryderyk Siedlarz","ul. Powstańców Wielkopolskich 527
37-816 Łódź"
"Artur Samulak","ul. Władysława Łokietka 207
19-966 Łomża"
"pani Nela Drążyk","plac Reja 18/08
08-819 Biłgoraj"
"pan Julian Morcinek","al. Szarych Szeregów 69
91-885 Kluczbork"
"Jan Kryszkiewicz","aleja Kochanowskiego 27/69
63-026 Wołomin"
"Mikołaj Paprotny","pl. Popiełuszki 98
81-918 Bełchatów"
"Szymon Wielgat","al. Jana Pawła II 66/02
26-704 Tarnobrzeg"
"Aleks Strzała","al. Górska 42/39
34-934 Białogard"
"Julita Gramza","pl. Władysława Jagiełły 60
98-639 Kwidzyn"
"Błażej Matynia","plac Wyspiańskiego 76
10-266 Pszczyna"
"Jakub Wizner","aleja Solidarności 442
53-724 Bełchatów"
"Liwia Niewiara","ul. Irysowa 33
18-344 Tarnów"
"pan Dariusz Mokwa","pl. Czarnieckiego 21
88-981 Jawor"
"pan Radosław Kuropatwa","pl. Stefana Batorego 98
28-199 Bytom"
"Fabian Miotke","pl. Orzeszkowej 55/41
85-224 Czeladź"
"Bianka Bakun","aleja Sowia 642
93-955 Zabrze"
"Kaja Sopata","al. Orkana 270
04-477 Bytom"
"Aleks Windak","al. Ściegiennego 126
58-621 Zgorzelec"
"pan Daniel Rzeźniczak","ulica Mostowa 131
96-001 Lubartów"
"pan Emil Łyskawa","aleja Gałczyńskiego 840
75-458 Bartoszyce"
"Gabriel Grygorowicz","pl. Floriana 059
93-182 Ciechanów"
"Michał Dłubak","plac Wyzwolenia 103
09-815 Sochaczew"
"Tymon Wichłacz","ul. Wybickiego 245
69-157 Mikołów"
"Michał Gendera","plac Chopina 21/15
85-212 Lubartów"
"Natasza Żyto","pl. Armii Krajowej 32/09
53-605 Knurów"
"Fabian Szynkiewicz","ulica Konopnickiej 048
47-586 Wieluń"
"pan Paweł Gryka","pl. Nałkowskiej 88/75
30-610 Łomża"
"Aleks Wolańczyk","al. Kruczkowskiego 40/48
09-976 Gdynia"
"Adrianna Piskor","ulica Mieszka I 71
48-225 Świdnica"
"Aleks Frydrychowicz","ulica Słowackiego 12/22
11-623 Bochnia"
"Natan Wizner","ulica Żwirowa 870
31-806 Łódź"
"Kacper Tłuczek","ulica Lotnicza 43/55
46-907 Koło"
"Damian Wiertel","pl. Dąbrowskiej 67
81-520 Gorzów Wielkopolski"
"Eliza Kubek","plac Witosa 12/38
99-996 Tychy"
"Julian Moj","aleja Kołłątaja 18
53-396 Poznań"
"Leon Warczak","al. Floriana 94/79
39-591 Nowa Ruda"
"Antoni Drabczyk","pl. Narutowicza 63/04
80-267 Mysłowice"
"Aleks Wosiek","al. Długosza 96
69-854 Sochaczew"
"Błażej Deszcz","ulica Tulipanowa 75/73
46-845 Racibórz"
"Eliza Szajek","pl. Kusocińskiego 074
51-873 Mława"
"Wojciech Fularczyk","pl. Kruczkowskiego 745
52-546 Reda"
"Sebastian Broniarek","pl. Batalionów Chłopskich 41/30
81-455 Oława"
"Józef Samulak","ulica Konarskiego 75
03-119 Mińsk Mazowiecki"
"Cezary Przewoźny","ul. Kusocińskiego 49
93-972 Pabianice"
"Maksymilian Martyn","plac Drzymały 002
91-244 Myszków"
"Antoni Jachimczak","al. Wrzosowa 64/41
11-611 Gorlice"
"Tymon Kozon","ulica Boczna 50/23
85-314 Bielsko-Biała"
"Aleksander Grzegorzak","plac Jana Pawła II 04
04-904 Ełk"
"pan Ernest Smardz","aleja Gołębia 84/99
70-950 Iława"
"Gabriel Gasz","aleja Jagodowa 280
13-713 Śrem"
"Sebastian Bik","ulica Reja 338
06-570 Ostróda"
"pani Roksana Namysł","ulica Fiołkowa 536
84-882 Bolesławiec"
"pan Norbert Pietrus","aleja Spokojna 508
70-598 Świdnica"
"Aleks Siatka","aleja Rynek 777
83-238 Radom"
"Kamil Zbroja","pl. Kopernika 722
87-408 Wołomin"
"Dagmara Ogłaza","ul. Harcerska 23
67-415 Środa Wielkopolska"
"Alex Lenda","ul. Daleka 218
34-332 Żory"
"Aleksander Irzyk","ulica Działkowa 16
38-742 Oleśnica"
"pani Nicole Budkiewicz","ulica Zbożowa 06/59
46-427 Dzierżoniów"
"Jeremi Jarmużek","plac Żeromskiego 578
15-207 Krosno"
"pan Mikołaj Piwek","ul. Okrzei 92/14
51-717 Płock"
"pan Hubert Matyka","plac Narutowicza 22
21-125 Świnoujście"
"Krzysztof Dyjas","ulica Zacisze 70/95
86-148 Łowicz"
"Apolonia Judek","plac Piłsudskiego 294
73-352 Środa Wielkopolska"
"Agnieszka Kolarz","al. Jana 69
87-411 Czechowice-Dziedzice"
"pan Fryderyk Pacocha","aleja Szarych Szeregów 31
80-862 Skawina"
"Aniela Detka","al. Floriana 508
80-981 Augustów"
"Aleksander Margol","ulica Rataja 596
03-119 Wałcz"
"Maurycy Leśny","aleja Szmaragdowa 86
71-885 Wodzisław Śląski"
"Filip Pawliczak","pl. Wyspiańskiego 36
44-398 Police"
"Malwina Matusewicz","plac Kościuszki 78
07-295 Białogard"
"Jan Brach","pl. Lelewela 884
91-743 Żywiec"
"pani Inga Gozdur","pl. Wieniawskiego 429
43-431 Malbork"
"pan Michał Jarema","plac Brzechwy 64
62-635 Jasło"
"Olaf Nesterowicz","al. Sybiraków 39
41-279 Ząbki"
"pan Rafał Bittner","ulica Słowackiego 72
30-603 Sandomierz"
"Radosław Amanowicz","ulica Bolesława Krzywoustego 302
77-888 Łuków"
"Aleksander Oczko","ulica Owocowa 51
01-295 Grudziądz"
"Ewa Lewko","pl. Słowackiego 49/28
64-216 Ciechanów"
"pan Stanisław Baumgart","ulica Żeromskiego 456
28-450 Kielce"
"Aniela Huczko","ul. Broniewskiego 23/18
24-141 Marki"
"Adam Luks","al. Borówkowa 141
76-408 Kutno"
"Kornel Lipowicz","pl. Kopernika 031
42-030 Chrzanów"
"Maurycy Kruzel","ulica Piaskowa 17/65
83-725 Jastrzębie-Zdrój"
"Tymoteusz Matus","ulica Kościuszki 03
05-155 Mysłowice"
"Norbert Cyrek","pl. Matejki 261
51-185 Zielona Góra"
