"अंजली कुलकर्णी"	"861 चव्हाण
मिरज 990346"
"कुमारी कविता चौगुले"	"564 महाजन
ठाणे-043931"
"कुमारी अमित पवार"	"7/1 माधव फडके
लातूर 284927"
"श्रीमती सचिन शिरसाट"	"68/1603 तन्वी फडके
रत्नागिरी-607701"
"कुमारी रीमा कदम"	"30/29 कदम
गोंदिया 454044"
"ईश्वर अहेरजी"	"8478 पवार
पिंपरी-चिंचवड 321687"
"ज्योती चव्हाणजी"	"2/6 चव्हाण
गोंदिया 080763"
"श्री दत्तात्रेय ठाकूर"	"28/2500 पूजा गवळी
औरंगाबाद 162287"
"अनिरुद्ध जाधव"	"88/3446 फडके
वसई-712526"
"मीनल राऊत"	"84/167 कविता पाटील
मिरज 834408"
"कुमारी वैशाली कोल्हे"	"307 गवळी
ठाणे 079849"
"आशा चव्हाण"	"348 देशपांडे
परभणी 103961"
"हर्षदा जगताप"	"95/145 श्रुती सावंत
पुणे 862539"
"श्रीमती कविता देशपांडे"	"171 कुलकर्णी
वसई 242088"
"कुमारी गौरव सावंत"	"8487 साळुंखे
नाशिक 756775"
"श्री समीर मोरे"	"7 नेहा मोरे
सातारा 242317"
"श्री निलेश कोल्हे"	"841 फडके
परभणी 644600"
"किरण गवळी"	"1116 मीनल शिरसाट
अकोला 450143"
"अनिरुद्ध जोशीजी"	"6 गौरव कोल्हे
कोल्हापूर 561509"
"अनुष्का सावंत"	"04/52 पवार
चंद्रपूर 272534"
"दत्तात्रेय फडके"	"9 मिलिंद चव्हाण
यवतमाळ-861091"
"श्रीमती अनिता कुलकर्णी"	"73/23 कोल्हे
ठाणे-884602"
"रीमा ठाकूर"	"24/522 कदम
पिंपरी-चिंचवड 177538"
"कुमारी कविता महाजन"	"36 ठाकूर
नांदेड 651835"
"कुमारी उमेश महाजन"	"094 उमा पवार
लातूर-539303"
"श्री गौरी अहेर"	"63 कांबळे
बीड-285155"
"गणेश चव्हाणजी"	"50/6738 राऊत
गोंदिया-273801"
"श्रीमती अनिल ओक"	"977 कुलकर्णी
धुळे-887787"
"अनिरुद्ध देशमुख"	"41/4930 मोहन पवार
उस्मानाबाद-659325"
"मीनल चव्हाणजी"	"6426 आशा महाजन
नागपूर-554648"
"अनिता जगताप"	"13/32 अनुष्का चव्हाण
बीड 817125"
"कोमल चव्हाण"	"4 गौरी शिरसाट
कोल्हापूर-063632"
"श्रीमती रोहिणी कांबळे"	"3/6 पाटील
धुळे-780428"
"श्रीमती गौरी कोल्हे"	"73 कोल्हे
सांगली-180017"
"समीर देशपांडेजी"	"061 स्नेहा ठाकूर
अहमदनगर 277537"
"श्री पंकज मोरे"	"6 कुलकर्णी
चंद्रपूर 137537"
"माधव शिंदे"	"62 चव्हाण
जळगाव-775198"
"हर्षदा चौगुले"	"5/3 हर्षदा कोल्हे
यवतमाळ 661286"
"अनिरुद्ध फडके"	"55/7428 कदम
गोंदिया 128021"
"श्री रोहित माने"	"0/1 माने
नवी मुंबई-906010"
"अनिल फडके"	"10/494 लता देशमुख
धुळे 719128"
"कुमारी लता देशपांडे"	"18/75 माधुरी जाधव
पिंपरी-चिंचवड 129024"
"श्रीमती इशिता साने"	"76 सुरेश साने
सांगली-534553"
"मंगेश मोरे"	"95/69 साने
गोंदिया 878013"
"मोहन आगरकरजी"	"16/49 जगताप
सोलापूर-314288"
"ईश्वर शिंदेजी"	"58/3913 कोमल पाटील
मुंबई 524137"
"प्रशांत महाजनजी"	"63/440 गणेश फडके
पिंपरी-चिंचवड-248639"
"श्री चेतना मोरे"	"3 देशपांडे
सातारा 698801"
"अनिरुद्ध मोरे"	"75/6228 पवार
गोंदिया 536662"
"श्रीमती दीपाली चौगुले"	"27/2690 स्वाती माने
अहमदनगर 290402"
"ज्योती सावंतजी"	"354 वैशाली मोरे
हिंगोली-816288"
"प्रशांत अहेरजी"	"98/07 राऊत
उस्मानाबाद-294315"
"श्रीमती कोमल चौगुले"	"4 कुलकर्णी
धुळे-878909"
"कविता पवार"	"64/0490 चौगुले
औरंगाबाद-904240"
"मोहन अहेर"	"26 स्वाती महाजन
ठाणे-326046"
"जितेंद्र साळुंखेजी"	"33/013 उमा राऊत
हिंगोली 398516"
"निखिल जोशी"	"2692 शिरसाट
बीड 576288"
"मानसी कोल्हे"	"0 ज्योती जाधव
यवतमाळ-166725"
"अनिरुद्ध शिंदे"	"28/7331 चेतना माने
हिंगोली 711240"
"विनायक देशमुखजी"	"46/6257 गौरव जाधव
ठाणे-064813"
"श्री मोहन देशपांडे"	"542 देशमुख
पिंपरी-चिंचवड-818660"
"कुमारी गौरी भोसले"	"78/0638 आकांक्षा शिरसाट
अकोला-736638"
