"Aaron Bruneel","Mauricesteeg 94
2260 Rijkhoven"
"Denise Naessens","Jessicaboulevard 64
2588 Otrange"
"Klaas Verschueren","Tonysingel 2
7705
Herbeumont"
"Linda Bonte Smeets","Guylaan 64
3150 Tielt-Winge"
"Tom Samyn","Nancybaan 3
2571 Olmen"
"An Vermeulen Pieters","Elzalei 7
5394
Stalhille"
"Ine Van den Broeck","Mariaboulevard 6
9728
Stokrooie"
"Lauren Verlinden","Sandrastraat 8
8587
Aye"
"Steven Van Rompaey","Mariastraat 58
2489 Kallo"
"Jolien Vandeputte Peters","Lievehof 1
4261 Opont"
"Karina Dewulf","Jellering 94
7967
Genly"
"Toon Jansen","Lealei 8
9518
Kain"
"Frank Declerck Vandewalle","Anitadreef 7
4511 Amberloup"
"Febe Van Hoof","Anlei 3
9889 Neerlanden"
"Lisa Van Dooren","Joséehof 4
8290 Bougnies"
"Anaïs Andries","Mohammedpad 9
6180
Patignies"
"Kelly Pauwels","Gillesweg 482
6430
Sint-Andries"
"Kevin Daems","Carmenstraat 21
6249
Loker"
"Mohamed Vanhee","Stijnsteeg 8
2286
Zoersel"
"Marie Verhaeghe","Veerlepad 0
1710 Estaimbourg"
"Ella De Clercq","Hanneslaan 1
2302
Gerin"
"Jonas Daems","Leosingel 81
3982 Waarloos"
"Nicole De Bie Van Acker","Frankdreef 988
6904 Middelkerke"
"Ivan De Muynck Somers","Josephring 4
8085 Gottem"
"Olga Dewilde","Christianlaan 902
3583 Emblem"
"Andrea Aerts","Gabrielhof 483
6490 Naninne"
"Stef Vermeir","Arthurboulevard 79
3016 Lesve"
"Yasmine De Smet","Jandreef 7
7723
Loverval"
"Rudy Reynders","Pascalhof 5
9151
Vellereille-les-Brayeux"
"Ahmet Peeters","Cécileboulevard 732
5560 Mignault"
"Carine Janssens","Eriksingel 7
3295
Les Hayons"
"Herman Peeters","Gerdastraat 38
1425 Chaineux"
"Jozef De Witte","Marijkesteeg 087
5679
Lint"
"Cindy Maes","Kevinring 94
2185
Tongeren"
"Germaine Van den Broeck Dierckx","Fatimasteeg 26
5443 Lambermont"
"Andrea Smeets","Karenlaan 9
5510
Septon"
"Wendy De Waele","Françoisbaan 65
6492 Remagne"
"Patrick Vaes","Fienlaan 734
7101 Hulsonniaux"
"Roland Verbrugghe","Hamzalaan 98
2543
Hever"
"Kim Hendrickx","Huguettelei 5
2619 Borsbeke"
"Cas De Smet","Sabinepad 930
2679 Monceau-sur-Sambre"
"Christiane De Winter","Rudistraat 019
6282 Bazel"
"Fabienne Van Hoecke","Jeanninestraat 38
5019
Sibret"
"Lukas Cox","Dylanpad 3
2060 Klemskerke"
"Margot Van Damme","Etiennedreef 941
2329
Zwevezele"
"Andrea Van Laere","Jacquesring 69
1180
Maurage"
"Klaas Vanhove","Jamalhof 4
5781
La Hulpe"
"Maria Cuypers Govaerts","Lucienpad 6
5834 De Panne"
"Rosette Christiaens","Marleenpad 01
1234
Macon"
"Henri Goossens De Bie","Vickysingel 093
8986 Maisières"
"Ilias Janssens","Noahsteeg 040
9772
Saint-Aubin"
"Katleen Van de Velde","Dirkbaan 15
1535 Mullem"
"Vincent Goris","Alidreef 8
9953
Lieferinge"
"Joren Verboven Herman","Elsdreef 402
5048
Appelterre-Eichem"
"Sébastien Naessens De Greef","Riapad 83
6261
Malderen"
"Andrea Vandenbussche","Lynnboulevard 4
7205
Visé"
"Lindsey De Boeck","Tineweg 4
4477
Croix-lez-Rouveroy"
"Georges De Clerck","Suzyweg 06
8618
Rulles"
"Ann De Bie","Jenshof 03
6744
Koolkerke"
"Geert Belmans","Leendreef 846
9777 's-Gravenwezel"
"Ann Van Hulle","Josephring 6
2364
Jemappes"
"François Verbruggen","Paulienpad 120
1021
Erpe"
"Filip Smets D'Hondt","Francinelaan 6
6021
Herchies"
"Mohamed Bruggeman","Pauladreef 61
4583
Menen"
"Maria Goossens","Jannering 4
5639 Mechelen-Bovelingen"
"Andrea Vanderstraeten Vandewalle","Juulhof 1
1202 Enines"
"Nicole Leysen","Jacobuslei 29
2221
Belsele"
"Ann Van Damme","Miadreef 6
5479 Comblain-Fairon"
"Ria De Groote","Annsteeg 92
4010
Schellebelle"
"Denise Torfs","Willyring 17
4875
Oostkerke-Diksmuide"
"Peter De Muynck","Juliestraat 37
9698 Strijtem"
"Rose Van Looveren","Frédéricdreef 21
8389
Foy-Notre-Dame"
"Maria Pauwels","Ingelaan 995
6395 Lathuy"
"Khalid Sterckx","Annelieshof 7
9536
Monceau-en-Ardenne"
"Ludovicus Moerman","Loesbaan 995
7215
Waudrez"
"Andreas Depuydt","Philipdreef 21
5475
Loenhout"
"Ismail Vandewalle","Moniqueweg 58
2253
Ottignies"
"Kamiel Rombaut","Stéphanielei 132
1641
Vedrin"
"Jan Mertens","Ismailhof 075
3256 Sart-Dames-Avelines"
"Christoph Meyers","Yarastraat 6
9661 Knesselare"
"Mauro Declerck","Dominiquebaan 8
9436 Thuillies"
"Geert Mertens","Svensteeg 994
9583
Herfelingen"
"Luc Van Raemdonck","Michelsingel 2
2105
Macon"
"Ann Thys","Dariostraat 822
4860
Linden"
"Ferre Raes","Dirkring 581
2725 Dikkebus"
"André Wellens Vermeersch","Hannedreef 37
7318
Veldegem"
"Steve Janssens","Annelei 387
1389
Stalhille"
"Carine Van Hecke","Veraring 466
9580 Hanzinne"
"Tim Luyten","Annring 31
9794 Orp-Jauche"
"Jacobus Naessens","Cindylaan 7
2081 Neufchâteau"
"Jill Dhondt De Vos","Melissapad 6
4575
Péronnes-lez-Binche"
"Leona Maertens","Thomasweg 67
3858
Suxy"
"Sabine Thys","Vanessabaan 39
9440 Villers-sur-Lesse"
"Jacqueline Dierick Claes","Hildelaan 56
8297 Vielsalm"
"Danielle De Baets","Lutgartstraat 16
2170
Brasmenil"
"Andy Bogaert","Soniabaan 9
4884 Vivegnis"
"Jens Blomme","Jozefsteeg 307
3955
Waudrez"
"Guido Peeters","Inessteeg 114
1187
Laar"
"Viviane De Meyer","Johanneslaan 18
1274
Cuesmes"
"Werner Berghmans","Franklaan 95
7895
Lillois-Witterzée"
"Nico Goossens","Loessingel 85
8993 Gellik"
"Frederik Vranckx","Lauralei 47
5851
Clabecq"
"Lutgarde De Leeuw","Josring 5
1611
Bevekom"
"Els Callens","Theresialei 9
3705 Berlare"
"Mohamed Desmedt","Wimhof 88
5758
Veltem-Beisem"
"Andy De Clercq","Ayadreef 650
1943
Wondelgem"
"Christophe Dillen","Bertring 3
9003
Lamine"
"Godelieve De Waele Vereecken","Maartenstraat 319
6087 Faymonville"
"Maria Vermeulen","Bjornsteeg 308
7897 Blégny"
"Margaux Van den Bossche","Dirkstraat 234
8950
Fize-le-Marsal"
"An De Groote","Christinering 10
1252 Halma"
"Nadine Nijs","Brigittesingel 8
9771
Bekkerzeel"
"Gunter Moreels","Jillpad 82
2765
Bra"
"Kobe Laenen","Michaëlpad 1
6758
Piétrain"
"Maria Holvoet","Arnesteeg 390
5161 Zutendaal"
"Andy Marien","Quintenhof 35
4409
Vaux-Chavanne"
"Jana Van Gorp","Samlei 1
7925
Erpe"
"Anna Coppens","Jean-Pierrelaan 591
9185 Macquenoise"
"Omar De Backer Vercruysse","Manueldreef 49
8624 Diets-Heur"
"Ruben Baert","Rogerlaan 107
7120
Marbehan"
"Piet Daniels","Juliettehof 84
7195 Herchies"
"Fien Buysse","Ingedreef 549
2286 Terhagen"
"Pascal Baetens","Véroniquedreef 25
5329
Labuissière"
"Valentina Swinnen","Marjanpad 305
3364
Dendermonde"
"Charles De Keyser","Omarlaan 955
7509
Rance"
"Andy Verstraete","Marcweg 6
2264 Rummen"
"Petra Van Daele","Mariaring 121
7681
Thynes"
"Christine Peeters","Lindalei 20
9882
Russeignies"
"Leo Peeters","Diegoweg 9
1359 Oorbeek"
"Jurgen Jacobs","Bashof 6
2039 Maffle"
"Jozef Baeyens Luyckx","Mariepad 2
9928
Nijlen"
"Jacqueline Michielsen","Liesbaan 3
3495 Froidchapelle"
"Marie Van Damme","Stéphaniesteeg 11
8354 Corswarem"
"Ann Devolder","Lukalei 5
9176
Grembergen"
"Gustaaf Vermeir","Ingridring 17
7265 Carnières"
"Angela Jonckheere","Marinalaan 61
8977
Quaregnon"
"David Pattyn","Willemweg 799
1463 Semmerzake"
"Rita Stroobants","Mariaring 3
2144
Otrange"
"Sylvia Mariën","Marjanstraat 690
8566 Noorderwijk"
"Liam Van Acker Boonen","Lucaslaan 76
9418 Angre"
"Noëlla Holvoet Hendrickx","Mohammadstraat 35
8802 Wilsele"
"Harry Van Looveren","Koenhof 090
2901
Berendrecht"
"Caroline Houben","Joëlpad 85
5666 Heusy"
"Monique Renders","Anitadreef 9
5512
Deurle"
"Pascal Van Hove","Nathaliering 025
4039
Obigies"
"Angela Van Belle","Patriciasingel 1
2583 Bonsin"
"Rita Pieters","Jeanbaan 464
3063
Izegem"
"Gunter Ceulemans","Stevenstraat 4
1370
Wijer"
"Otis Van Looveren","Merelstraat 241
1316
Barvaux-sur-Ourthe"
"Thomas Goossens Bracke","Kristelstraat 05
3807 Esen"
"Marie-Christine Kerkhofs","Jozefweg 3
7310
Flamierge"
"Sam Holvoet","Lindseyweg 127
1024
Walhorn"
"Els Casteleyn","Katleenbaan 287
1180 Heer"
"Ann Dewulf","Moniquelei 296
1024 Hergenrath"
"Esther Tack","Raflei 6
4146
Molenbeersel"
"Angelina Beeckman","Andréstraat 3
7884
Ladeuze"
"Peter De Weerdt Geerts","Carinelaan 4
1705
Vlimmeren"
"Pieter-Jan Roels Verbiest","Laureweg 319
4675
Kalken"
"Josephina Van Hoecke","Marclei 1
4182
Vinkem"
"Mieke Ooms","Katrienpad 7
6777 Wonck"
"Shana Leys","Kaatweg 67
2819 Thon"
"Sander De Coster","Tuursteeg 6
9032
Corbais"
"Stijn Engelen","Elzasingel 674
6317 Harnoncourt"
"Jade Dierickx","Eliselei 0
7808 Ternat"
"Steven De Moor","Guylaan 77
9715
Erpe-Mere"
"Anita De Coster","Josephinebaan 5
3467 Villers-la-Ville"
"Jelle De Paepe","Sarahring 382
4607 Honnay"
"Charlotte Janssens","Irènedreef 154
4759
Vlierzele"
"Martine Blomme","Annickhof 85
5000
Sint-Martens-Bodegem"
"Glenn Michiels","Andreaboulevard 13
1521
Mellier"
"Victor Theunis","Rafsteeg 405
3105 Lebbeke"
"Eddy Vleugels","Carolinelei 5
5851 Houthalen"
"Jana De Greef","Stijndreef 3
9675
Faulx-les-Tombes"
"Naomi Wellens Callebaut","Jeansingel 16
4725 Winksele"
"Patricia Vermeylen Christiaens","Sophiebaan 2
1661
Liberchies"
"Anita De Laet","Daisylei 53
1292
Coutisse"
"Loïc Claes","Patriciasingel 56
9506 Bertem"
"Christianne Van der Linden","Johanstraat 8
1994 Piringen"
"Wilfried Vermeulen","Willemhof 481
4328
Hompré"
"Guido Smets Verhulst","Dimitriboulevard 82
6795
Jemeppe-sur-Sambre"
"Martine Van Hoof","Janabaan 9
8973 Knokke-Heist"
"Caroline Blomme","Connydreef 19
5145
Sivry"
"Nicole Desmet","Erichof 00
8328
Fernelmont"
"Kristel Laureys","Carolinehof 4
4278
Laplaigne"
"Anne Deckers","Veerlesteeg 395
9980
Bonsin"
"Anita Devos","Wendyweg 4
4527 Châtillon"
"Marie Van den Bossche","Suzannadreef 1
8318
Frasnes-lez-Gosselies"
"Natacha Declercq","Bramdreef 714
2930 Saint-Amand"
"Philippe Devriendt","Marie-Joséring 8
8019
Bonnert"
"Jenny Slegers","Ericbaan 278
8625
Herseaux"
"Shana Dillen","Karelpad 777
7868
Avin"
"Marleen Stevens","Ellaring 2
7200 Gentinnes"
"Ian Michiels","Mariestraat 654
6767 Ecaussinnes-Lalaing"
"Wesley De Wulf","Claudepad 12
1860
Scheldewindeke"
"Lenn Temmerman","Kevindreef 9
4698 Grimminge"
"Anita Peeters","Louissteeg 291
1622 Bleret"
"Koen Ceulemans","Kimberleylaan 185
3719
Kortenaken"
"Heidi Swinnen","Patriciaring 603
3710
Souvret"
"Leon Van Baelen","Georgesbaan 26
1382 Balegem"
"Marie Van Gestel","Dominiquestraat 28
5081 Haut-Ittre"
"Rudy Verschueren","Samirahof 090
5245 Fraipont"
"Rita De Mey","Stephaniestraat 27
3450 Nederzwalm-Hermelgem"
"Antoine De Neve","Stephanielei 1
7983
Wihéries"
"Tijl Van den Broeck","Wilfriedlaan 8
8842
Hoepertingen"
"Mario Temmerman","Luclaan 975
9484
Brûly-de-Pesche"
"Anita Vlaeminck","Wernerstraat 7
9289 Beigem"
"Suzanna Coppens","Ingridbaan 155
1563
Vroenhoven"
"Bert Dewilde","Robertlaan 30
7973
Zellik"
"Diane Mertens","Annyhof 07
7805 Lauw"
"Jimmy De Smedt","Lionelpad 0
3405 Gages"
"Kristof Beyens","Pascalsingel 03
7289
Blehen"
"Christel Van Parys","Denislei 3
4953
Bras"
"Myriam Vermeire","Leonaring 63
3312 Engis"
"Margareta Vos","Tompad 2
3434
Molenbeek-Wersbeek"
"Jaak Somers","Sanderring 41
2645 Sint-Eloois-Vijve"
"Anita Wuyts","Matthiasboulevard 7
7647
Gistel"
"Steffi Wynants","Janalaan 24
5029
Rhisnes"
"An Claes","Tompad 99
3591 Hamipré"
"Rita Van der Linden Jacobs","Erikpad 051
3066 Zeebrugge"
"Alicia De Baere Neven","Rudistraat 696
4618
Graty"
"Frederik Verbiest","Nicolaslei 77
1793
Gozée"
"Els Lauwers","Carolinepad 9
3107 Relegem"
"Patrick Van Damme","Evelienboulevard 355
3215
Wolkrange"
"Jan Poelmans","Marcelsingel 186
3360
Oostrozebeke"
"Tom Maes","Sabrinahof 19
6011
Izel"
"Anja De Groote De Maeyer","Luciennebaan 857
3457 Ettelgem"
"Anna Laureys","Louisdreef 72
1291
Anloy"
"Hanna Van Assche Parmentier","Juliasingel 2
2420 Pont-de-Loup"
"Stephan Engels","Mariabaan 414
1928
Zaventem"
"Jeannine Verbrugghe","Stefanhof 3
2655
Houtem"
"Fien Thijs","Raniabaan 2
9109 Merlemont"
"Pascal Van Dyck","Etiennesteeg 457
1674 Booischot"
"Benny De Bruyn","Mohammaddreef 859
3331 Nandrin"
"Hugo Lambert","Mathieubaan 948
3975 Reningelst"
"Anneke Vergauwen","Cecilehof 1
6491 Beselare"
"Anja De Ridder","Daniellaan 889
4986 Nederename"
"Raymond De Rycke","Joëlsingel 5
3727
Stavele"
"Lucas Blomme","Tijsdreef 8
2549 Nessonvaux"
"An Maes","Nielslei 10
6089
Acosse"
"Jens Dejonghe","Petersteeg 26
9814
Messelbroek"
"Marie Samyn","Emilelaan 9
8772
Sint-Rijkers"
"Sien Peeters","Naomidreef 7
6222
De Klinge"
"Pieter-Jan Van den Brande","Léonsteeg 043
8383
Zétrud-Lumay"
"Sofie Goovaerts","Eddyring 678
1149
Hoeke"
"Jonathan Geens","Patriciadreef 48
1725
Bornival"
"Anja Deprez","Maartenring 35
4693 Frasnes-lez-Gosselies"
"Robert Vanhoutte","Emilypad 2
1264 Poucet"
"Dieter De Smet","Augustaweg 71
8152
Sint-Baafs-Vijve"
"Sharon Smet","Erikdreef 778
7941
Neerwaasten"
"Serge Willems","Polhof 4
4548 Vivegnis"
"Imane Janssens","Riahof 749
1662
Aische-en-Refail"
"Anne Rogiers","Lucastraat 46
9253
Vremde"
"Lieve Deckers","Lienbaan 567
6771
Opdorp"
"Julienne Pauwels","Anjasingel 4
1370 Ohey"
"Kris Demuynck","Juliasteeg 31
6018 Grosage"
"Anja Jacobs","Annehof 71
2323 Blégny"
"Dirk Renders","Ronnysingel 88
9402 Libramont"
"Jill Pauwels","Johanbaan 9
8126
Ragnies"
"Rita Mestdagh","Davypad 920
9042 Ambly"
"Rita Praet","Janring 69
9033 Genval"
"Lucia Tanghe","Gabriëlsteeg 58
7434
Godarville"
"Andrea Everaert","Nellylei 2
8200 Soignies"
"Christiana De Baets","Andrearing 54
2654
Dikkelvenne"
"Wim Andries","Erikasingel 287
6134 Lot"
"Louise Van Baelen Luyten","Vincentboulevard 492
6006
Glimes"
"Anja Parmentier","Heidistraat 98
4960 Dongelberg"
"Jean Maris","Thijsring 64
8910 Diksmuide"
"Alexander Parmentier","Patrickdreef 7
8463
Rijkhoven"
"Elisa Moerman","Christellaan 213
4914
Sint-Martens-Lennik"
"Monique Devos","Giovannidreef 894
6538 Lommersweiler"
"Jacob Houben","Alexanderring 39
2500
Munte"
"Floor Mahieu","Georgeslaan 4
3588
Teuven"
"Jacques De Bruycker","Theobaan 682
2991
Lombardsijde"
"Kristof Joos","Ellenboulevard 045
6926
Peutie"
"Sander Lemmens De Clerck","Annelei 218
8760
Villers-le-Bouillet"
"Anja Temmerman","Dirksteeg 0
8869
Honnay"
"Kasper De Clercq","Annieboulevard 135
6690
Aartselaar"
"Wim Claeys","Ludovicuslaan 68
3298
Glimes"
"Alexis Dubois","Christabaan 93
9250 Filot"
"Daniel Maes","Moniquedreef 7
1142 Melden"
"Gino Breugelmans Verstraeten","Berthof 485
6122 Westouter"
"Marie Wellens","Isabellering 899
2055
Vogenée"
"Silke Van Landeghem","Frédéricboulevard 4
3993 Lixhe"
"Charlotte Pauwels","Kristofdreef 9
3460 Aartrijke"
"An Wuyts","Wendyweg 64
8086 Linkebeek"
"Anke Dierckx Jansen","Benjaminsingel 26
9204 Trognée"
"Daan Michiels","Dannystraat 0
9019
Fraire"
"Hendrik Hermans","Ritaweg 84
8826 Fauvillers"
"Wendy De Clerck","Stevenhof 99
3537
Eksaarde"
"Paul De Pauw","Jeanninesteeg 47
7723
Thumaide"
"Otis Desmet","Lisahof 7
5957 Chaudfontaine"
"Rune Bertels","Monicastraat 48
3014 Saint-Symphorien"
"Ann Claes","Cassingel 98
5185
Corbion"
"Roger Roels","Nadinepad 45
4240
Mignault"
"Françoise Van Genechten","Odettesingel 97
4798 Balegem"
"Ann Baeyens","Femkeweg 6
7111 Evere"
"Emilie Janssens","Stijnweg 63
6735 Forest"
"Micheline Maes Devos","Emmaboulevard 7
5983
Warzée"
"Anneke Van de Voorde","Jolienpad 63
2862 Lo-Reninge"
"Marleen Ahmed","Kimhof 973
7223 Grand-Axhe"
"Ingrid Moons","Michelinesteeg 07
5839
Westouter"
"Jacques Leysen","Nicohof 802
8394
Saint-Remy"
"Martine Lauwers","Christinabaan 74
5765 Otrange"
"Ingrid Sanders","Marijkelei 47
8424 Mainvault"
"Ilse Yildirim","Marcelbaan 044
7717 Koksijde"
"Ann De Leeuw","Erikstraat 3
4384 Orchimont"
"Gerard Segers","Martinebaan 78
3406
Grammene"
"Felix Van Driessche","Francissingel 4
7847
Thirimont"
"Christine Bekaert","Annesteeg 6
4808 Oizy"
"Wouter Bogaert","Christianelei 1
5296 Watervliet"
"Diana De Mey","Adamboulevard 919
1493 Poelkapelle"
"Ronny Willems","Johanboulevard 590
4253 Jesseren"
"Sonia Claes","Rachidlaan 4
9637 Wezembeek-Oppem"
"Marijke Gielen","Tineweg 23
8820
Gouvy"
"Bert Claes","Livpad 0
6405
Couvin"
"Ann De Ridder","Nielsdreef 7
3914 Geluveld"
"Arlette De Jonghe","Nicolelaan 4
1966 Mont-Saint-Aubert"
"Ann Beckers","Elisedreef 29
6673
Tourinnes-Saint-Lambert"
"Heleen De Schepper","Dieterlei 25
1675 Sint-Amands"
"Piet Van Belle","Miekelaan 727
9530
Haulchin"
"Myriam Meyers","Ernastraat 2
5403 Frasnes-lez-Buissenal"
"Freddy Decoster","Oliviastraat 469
5154 Zandvoorde-Zonnebeke"
"Richard De Maeyer","Krissingel 57
8153
Huissignies"
"Arne Vandamme","Christinabaan 20
9663
Maillen"
"Patricia Verbeke","Stéphanehof 4
7376 Edelare"
"Ann Depuydt","Monahof 445
4516
Ciplet"
"Marie Wuyts","Bartbaan 29
7902 Clabecq"
"Romain Maes","Kurtsteeg 503
6321 Aubel"
"Wendy Vandenbussche","Elzasteeg 2
7503 Dave"
"Julien D'Hondt","Rudyring 20
2116
Roesbrugge-Haringe"
"Ann Stas","Dannypad 97
4398 Ombret"
"Shana Moens","Felixsteeg 63
3501 Orp-le-Grand"
"Yves Van Dyck","Dominiquering 8
1489
Boortmeerbeek"
"Ben De Clercq Baeyens","Leohof 3
1219
Houyet"
"Herman Cools","Cindylaan 157
5682
Bouvignes-sur-Meuse"
"Ann Fierens","Ilsepad 956
7290
Sint-Pauwels"
"Finn Luyten","Iansingel 1
5461 Athis"
"Remi Nys","Rubenpad 947
5425
Mesnil-Eglise"
"Fatima Depuydt","Petersingel 6
5785 Tollembeek"
"Monique Moens","Margaretabaan 18
9166
Krombeke"
"Guido De Wachter","Carinelaan 21
6339
Lesve"
"Hans Vercammen","Carinelei 088
9235
Sint-Pauwels"
"Kim Mortier Leys","Annielaan 3
9168 Mazy"
"Tom Maes","Carolinestraat 6
9410
Nothomb"
"Els Derycke","Marcsteeg 2
6479
Casteau"
"Ann Van Damme","Briansteeg 728
1622
Vertrijk"
"Annemie Claeys","Tamararing 7
2356
Sint-Ulriks-Kapelle"
"Mathias Diallo","Loreweg 1
7926
Riksingen"
"Francine Laureys","Mirandahof 7
6774
Sint-Martens-Leerne"
"Ahmad Martens","Tonyweg 97
1841
Estaimpuis"
"Peter Vanhoutte","Ronnylaan 413
7147 Bastogne"
"Rob Verheyden","Leosingel 9
2673
Trivières"
"Levi Torfs","Ericsingel 1
8209 Vaucelles"
"Paul Vandecasteele","Laurapad 03
4997 Vezin"
"Anita Peeters","Bramstraat 63
4204 Scy"
"Ann Van Raemdonck","Lanabaan 78
2205 Saint-Jean-Geest"
"Wim Geeraerts","Danielring 5
3022 Lembeke"
"Henri Verhaeghe","Dominiquelei 9
3640 Blandain"
"Kristel Maes","Marielei 696
2901 Braine-le-Château"
"Charlotte Van Damme Mertens","Andyring 182
2888
Vroenhoven"
"Christiane Braem","Lorenzosingel 289
8456 Moere"
"Annick De Ridder","Mariesteeg 2
9624 Hachy"
"Lize Boon","Brigittelaan 51
8115
Fooz"
"Katrien Van den Berghe","Erikasingel 8
4409
Waillet"
"Rayan Verhoeven","Lucienring 52
8713
Noville-les-Bois"
"Ann Verbeke","Lynnstraat 511
9516 Oudenaken"
"Nico Janssens","Albertstraat 7
9220
Moerbeke-Waas"
"Katrien De Moor","Luclaan 61
3446 Tielen"
"Luc Neven Cools","Sofiepad 8
9308 Herderen"
"Maria Bruggeman","Christelsingel 472
5751
Rebecq-Rognon"
"Jeannine De Vos","Antoinebaan 525
7033
Vivy"
"Anita Van Damme Vanneste","Catherinehof 4
3587 Hanzinne"
"Suzanna Lenaerts","Frankystraat 0
5685
Dilbeek"
"Paul Vercauteren","Valentinaring 6
2952
Zemst"
"Anne Goossens Van Daele","Imranbaan 17
2115
Wonck"
"Ann Verhaegen","Francisdreef 5
5194
Bovigny"
"Geert Deprez","Hildebaan 5
6575 Lens-Saint-Remy"
"Lander Voet Wouters","Ivanpad 70
8679
Nil-Saint-Vincent-Saint-Martin"
"Willy Van Roy","Joannabaan 86
5213 Wanlin"
"Roland Janssens","Elsweg 445
6720
Bombaye"
"Dorien Depoorter","Gillesdreef 83
3924 Horebeke"
"Leonie Leys","Sampad 78
4590 Leupegem"
"Jenny Jacobs","Mariostraat 7
7365 Guigoven"
"Myriam Maes Smets","Lucienring 1
1188
Mariekerke"
"Kristien Baeyens","Elenalei 9
4926
Croix-lez-Rouveroy"
"Anna Bonte","Arletteboulevard 9
4648
Surice"
"Pieter Maes","Michelbaan 928
9777 Crombach"
"Sarah De Vuyst","Joannasingel 47
6333
Soye"
"Nancy Pollet","Ellabaan 23
8082
Braibant"
"Leo Theys","Ceciliasingel 84
8556
Tavigny"
"Jeroen Wouters","Ericsingel 3
1494 Francorchamps"
"Rosa Hermans","Nielsring 9
5958
Malle"
"Louise Peeters","Mariestraat 249
2203
Hoeleden"
"Oscar Cuyvers","Suzannesteeg 21
4932 Nobressart"
"Sabrina Claes","Ceciliadreef 6
6768 Hoeke"
"Anna Devos","Olivierhof 52
5926
Bossuit"
"Jonathan De Smet","Martinestraat 87
7276
Ampsin"
"Laurens Verschueren","Henrisingel 0
4139
Verlée"
"Lucienne Dierckx","Bobring 9
7126 Opheers"
"Maud Peeters","Jozefbaan 8
4636
Loker"
"Amy De Vuyst","Albertpad 3
4610 Herseaux"
