"Ѓорги Јовановски"|"Никола Вапцаров 711
87858 Битола"
"Проф. Благој Дешановски"|"Димитар Влахов 44
62026 Ресен"
"Проф. Игор Јовчев"|"Дојранска 2б/9
01919 Прилеп"
"Проф. Јане Николовски"|"Тодор Александров 8а
53706 Делчево"
"Антон Донев"|"Николај Коперник 6а
09654 Гевгелија"
"Г-ца Тања Коцева"|"Виенска 747
99512 Демир Хисар"
"Јован Симоновски"|"Стоби 8в
63478 Македонски Брод"
"Гордана Гавриловска"|"Климент Охридски 1б
26613 Кавадарци"
"Иванка Шакири"|"Глигор Прличев 12
93264 Пробиштип"
"Др. Даница Михајловска"|"Бриселска 5а
78182 Демир Капија"
"Димка Чулева"|"Шарпланинска 0б
82052 Гевгелија"
"Г-ца Васка Иванова"|"Кеј Македонија 1в
70982 Македонски Брод"
"Огнен Спасов"|"Лондонска 2в
62099 Скопје"
"Драгана Донева"|"Скупи 7б/2
40676 Крушево"
"Тања Дамјановска"|"Јане Сандански 1б
41741 Свети Николе"
"Проф. Оливера Младеновска"|"Булевар Александар Македонски 8а
43826 Кратово"
"Јован Цветковски"|"Булевар Блаже Конески 6а/9
66541 Штип"
"Благој Коцев"|"Лазар Личеноски 7а/0
98749 Македонска Каменица"
"Проф. Весна Ѓорѓиевска"|"Михаило Пупин 0б/8
62209 Струга"
"Анета Донева"|"Климент Охридски 2
16773 Радовиш"
"Г-н Лазар Николовски"|"Глигор Прличев 77
18817 Тетово"
"Проф. Душан Петковски"|"Гоце Делчев 1б/3
84666 Пехчево"
"Лука Лазов"|"Никола Вапцаров 3в
93575 Македонска Каменица"
"Даниел Димитриев"|"Женевска 53
67692 Крива Паланка"
"Димка Симоновска"|"Булевар Никола Карев 5в
25243 Штип"
"Др. Невена Лазаревска"|"Булевар Свети Климент Охридски 8а
03339 Крушево"
"Јована Ѓорѓиевска"|"Крушевска 5б/9
24621 Скопје"
"Нина Велкова"|"Јован Хаџи Константинов Џинот 2а/8
36849 Делчево"
"Др. Трајан Трајковски"|"Булевар Свети Климент Охридски 39
59579 Берово"
"Стефанија Петровска"|"Бриселска 0а
45367 Ресен"
"Магдалена Апостолова"|"Димитар Влахов 09
68200 Скопје"
"Момчило Димовски"|"Волгоградска 7б
04831 Берово"
"Борче Симоновски"|"Стоби 8а/1
83034 Кочани"
"Марјан Спасовски"|"Будимпештанска 50
77966 Струга"
"Валентина Дурловска"|"Наум Охридски 4
18267 Велес"
"Цветан Димитриев"|"Волгоградска 950
93168 Тетово"
"Јована Јовчева"|"Крсте Мисирков 4а
74339 Ресен"
"Нина Шакири"|"Булевар Партизански одреди 58
28598 Куманово"
"Г-ѓа Софија Коцева"|"Букурешка 051
72078 Пехчево"
"Проф. Зоран Коцев"|"Радовишка 0а/5
98947 Виница"
"Др. Василка Христова"|"Радовишка 3а
38991 Крушево"
"Гоце Поповски"|"Едвард Кардељ 2а/6
39049 Битола"
"Г-ца Наташа Климовска"|"Луј Пастер 9
31074 Кратово"
"Проф. Билјана Ѓорѓиевска"|"Кирил Пејчиновиќ 2
49930 Штип"
"Сара Симоновска"|"Михаило Апостолски 1а/9
47028 Македонска Каменица"
"Др. Мирјана Димовска"|"Самоилова 0а/4
86200 Прилеп"
"Јована Василева"|"Благој Давков 530
37377 Берово"
"Г-н Кузман Донев"|"Перо Наков 1б
25364 Делчево"
"Стојан Георгиев"|"Кеј Димитар Влахов 1а
01240 Гостивар"
"Г-н Борче Лазов"|"Јане Сандански 92
11524 Македонски Брод"
"Огнен Гавриловски"|"Јане Сандански 8а/0
42113 Македонски Брод"
"Г-ѓа Драгана Матевска"|"Питу Гули 8в
09342 Македонска Каменица"
"Г-ѓа Снежана Михајловска"|"Лондонска 7а/4
33458 Крива Паланка"
"Г-н Илија Мојсов"|"Климент Охридски 5а
37795 Берово"
"Драган Марковски"|"Природна 3в
04456 Штип"
"Благица Ѓорѓиевска"|"Глигор Прличев 3б/1
91393 Демир Капија"
"Јована Велкова"|"Партизански одреди 9в
00610 Демир Хисар"
"Игор Тодоровски"|"Михаило Апостолски 6б/2
84766 Гостивар"
"Чедо Андоновски"|"Даме Груев 6а
39090 Македонска Каменица"
"Магдалена Петровска"|"Ибрахим Темо 0б
42283 Македонска Каменица"
"Маја Цветковска"|"Никола Карев 432
66708 Свети Николе"
"Елена Дамјановска"|"Христијан Тодоровски Карпош 1в
91451 Прилеп"
"Др. Иванка Иванова"|"Дојранска 0б
25007 Струга"
"Г-ѓа Теодора Дешановска"|"Радовишка 6в
20483 Кавадарци"
"Проф. Дарко Велков"|"Георги Димитров 3б/8
82567 Македонска Каменица"
"Г-ѓа Лина Гроздановска"|"Јасминска 7б/9
99346 Кочани"
"Јована Велјанова"|"Васил Главинов 8
01991 Куманово"
"Наташа Бојаџиева"|"Луј Пастер 3а/7
07457 Радовиш"
"Проф. Весна Крстеска"|"Климент Охридски 9в
65989 Велес"
"Лилјана Арсовска"|"Ибрахим Темо 2а
65124 Прилеп"
"Цветанка Крстеска"|"Даме Груев 6б/3
83919 Тетово"
"Проф. Кристина Ѓоргиева"|"Булевар Свети Климент Охридски 25
27275 Македонска Каменица"
"Ѓорче Петровски"|"Крушевска 3в
77287 Тетово"
"Др. Теодора Стојановска"|"Булевар Цветан Димов 0а/7
63434 Струга"
"Зоран Петровски"|"Булевар Блаже Конески 6б/4
66761 Радовиш"
"Др. Оливера Велкова"|"Перо Наков 0б
19340 Свети Николе"
"Јована Дамјановска"|"Наум Охридски 699
50963 Делчево"
"Кирил Димовски"|"Јасминска 60
04309 Пехчево"
"Иванка Глигорова"|"Партизански одреди 6
74039 Тетово"
"Атанас Јовановски"|"Одбранбена 548
20730 Крива Паланка"
"Г-н Емил Иванов"|"Булевар Партизански одреди 7а
37476 Свети Николе"
