"Albina Dolić"	"Mesnička 8c
01290 Šibenik"
"Lara Požega"	"Voćarska 9a/8
07029 Pula"
"Nikša Gelemanović"	"Ksaverska 0c/4
89561 Sinj"
"Filip Maćešić"	"Vinogradska 75
85688 Daruvar"
"Andrija Mužina"	"Opatovina 77
16480 Dubrovnik"
"Mladen Kalazić"	"Demetrova 1b
64828 Skradin"
"Elvis Sobota"	"Rikardove 7c/9
27957 Makarska"
"Ane Priselac"	"Ksaverska 9c
58501 Zlatar"
"Nada Antolković"	"Mlinarska 1
53271 Rijeka"
"Mihael Andrašek"	"Streljačka 9c
81143 Daruvar"
"Damir Čuček"	"Jurjevska 7c/7
73972 Novigrad"
"Nikola Pavin"	"Mirogojska 2b/2
36204 Kaštela"
"Antun Markovac"	"Tošovac 3a
11298 Nin"
"Dora Bojanić"	"Tošovac 9c
55192 Sveta Nedelja"
"Andrija Ozimec"	"Krležin gvozd 2b/7
38449 Pula"
"Dominik Franičević"	"Harmica 87
34967 Imotski"
"Ankica Štefanec"	"Orlovac 8b
57880 Karlovac"
"Romano Medić"	"Skalinska 2c/9
57365 Vrbovec"
"Zdenka Labaš"	"Klesarski put 6a/5
79566 Kutjevo"
"Barica Ignac"	"Kaptol 4b/5
21856 Sisak"
"Josipa Zanoški"	"Perivoj srpanjskih žrtava 6a
13708 Klanjec"
"Saša Golubić"	"Kaptol 0a
88909 Varaždinske Toplice"
"Elizabeta Karlović"	"Kozarčev vijenac 050
75452 Umag"
"Igor Matulić"	"Vlaška 41
83505 Korčula"
"Andrija Puljiz"	"Lisinskoga 076
95973 Slavonski Brod"
"Vjekoslav Marasović"	"Tošovac 5
18226 Buje"
"Štefica Valjetić"	"Opatovina 4c/2
49970 Cres"
"Marin Škrnički"	"Mesnička 01
57833 Sveti Ivan Zelina"
"Marko Andrijašević"	"Dvoranski prečac 9c/0
10794 Gospić"
"Vladimir Lelas"	"Davor 475
61020 Benkovac"
"Boris Vojković"	"Vlaška 420
38964 Pula"
"Romano Kuveždić"	"Jadranska 3a
41391 Donja Stubica"
"Vjekoslav Vučin"	"Svibovac 50
80097 Grubišno Polje"
"Albina Roso"	"Bučarova 9c
28257 Čakovec"
"Andrija Varga"	"Lisinskoga 6b/0
53903 Osijek"
"Petar Vranić"	"Vijenac 9b/3
67867 Kutjevo"
"Vlado Matokanović"	"Zeleni dol 7b/8
97050 Zabok"
"Mare Modrić"	"Zamenhofova 6b/9
14284 Rijeka"
"Marin Galović"	"Jadranska 9c/6
97619 Trilj"
"Dražen Halapir"	"Kamenita 7c
25958 Pula"
"Pero Jaković"	"Novi Goljak 6b
97517 Križevci"
"Anton Vretenar"	"Skalinska 3
54966 Grubišno Polje"
"Mladen Kocijančić"	"Vinogradska 9a/7
82514 Benkovac"
"Viktor Šokčević"	"Male 9c/0
90066 Dubrovnik"
"Andrija Zanoški"	"Ilica 4b/2
28624 Vis"
"Tomo Abičić"	"Kamenita 9b
76335 Našice"
"Katica Čuček"	"Glogovac 8
53261 Zagreb"
"Mirko Matahlija"	"Vlaška 9a/1
36257 Petrinja"
"Sandra Svetličić"	"Lisinskoga 0c/0
60665 Orahovica"
"Ruža Jonjić"	"Davor 9b/7
33451 Ilok"
"Danijel Lenić"	"Ksaver 6b
58151 Pakrac"
"Đuro Turudić"	"Golubovac 55
56922 Ogulin"
"Ružica Dražić"	"Grič 4c
62393 Ivanec"
"Matej Horak"	"Dvoranski prečac 6b/1
41159 Komiža"
"Ane Beraković"	"Goljak 8c
18009 Šibenik"
"Štefanija Markovac"	"Skalinska 3c/3
99027 Nin"
"Tea Matko"	"Jadranska 6a/3
27967 Pleternica"
"Ankica Svetličić"	"Kožarska 9b/1
66968 Zadar"
"Tomo Mardešić"	"Splavnica 0c
65932 Kastav"
"Ana Mužina"	"Kamenita 4b
10230 Zagreb"
"Kristina Glasnović"	"Davor 0a
19157 Čabar"
"Matija Zrilić"	"Slavujevac 9a/6
85081 Sisak"
"Ivanka Licul"	"Ilica 0
77742 Novska"
"Mile Pavičić"	"Vrazovo šetalište 2b/3
43190 Dugo Selo"
"Ane Boban"	"Paunovac 5c
10613 Trogir"
"Jure Rubeša"	"Kurelčeva 592
41071 Varaždinske Toplice"
"Mirjana Herceg"	"Višnjica 7c/1
52184 Skradin"
"Anka Šokčević"	"Kamaufova 62
96331 Garešnica"
"Matea Lasić"	"Dubravkin 9
31577 Vrgorac"
"Ivo Barac"	"Gupčeva zvijezda 5b/3
55077 Krk"
"Niko Resanović"	"Vlaška 0b
56853 Samobor"
"Snježana Vučetić"	"Ilica 9b/6
08985 Split"
"Jele Soldo"	"Dolac 0b/6
61810 Crikvenica"
"Sanja Amidžić"	"Palmotićeva 8a
79292 Bakar"
"Ane Borošak"	"Javorovac 9c
98958 Garešnica"
"Igor Malnar"	"Klenovac 0b/9
22183 Benkovac"
"Dominik Matijević"	"Kraljevečki ogranak 863
91429 Trilj"
"Suzana Stojanov"	"Višnjičke 8b
69638 Hvar"
"Đuro Jureško"	"Zeleni dol 7
40651 Popovača"
"Davor Tolj"	"Višnjica 9b/2
33560 Varaždin"
"Ivan Kereković"	"Remetska 2a/9
47051 Osijek"
"Jasna Martić"	"Lisinskoga 6b/4
37451 Valpovo"
"Vesna Seršić"	"Kamenjak 7c
30338 Požega"
"Damir Andrijević"	"Lobmayerove 6a/4
46076 Skradin"
"Ane Dujmović"	"Draškovićeva 2b
51720 Opatija"
"Jana Pavković"	"Zavojna 401
50968 Ilok"
"Anton Andrijašević"	"Orlovac 9
13119 Obrovac"
"Niko Koški"	"Kaptol 9b/5
96109 Petrinja"
"Zdravko Cvenić"	"Kraljevec 1c
07855 Komiža"
"Ljiljana Bučar"	"Srebrnjak 486
33220 Karlovac"
"Luka Mustač"	"Šalata 0a/6
97989 Požega"
"Siniša Kopjar"	"Gradec 6b
44843 Vodnjan"
"Tomo Ladavac"	"Šalata 9b
31550 Đakovo"
"Mate Vrhovec"	"Bosanska 5c/8
98218 Zlatar"
"Ane Jelić"	"Zvonarnička 001
93666 Otočac"
"Denis Špika"	"Skalinska 2a
78621 Popovača"
"Gordana Akmačić"	"Lobmayerove 8b/8
83324 Beli Manastir"
"Kristijan Kopjar"	"Naumovac 9b
82536 Zabok"
"Marijana Markuš"	"Kožarska 6b
95424 Šibenik"
"Rozalija Abramović"	"Glogovac 200
04421 Novska"
"Ankica Čop"	"Tkalčićeva 0
35633 Belišće"
"Tomo Pongrac"	"Kurelčeva 5b
39945 Petrinja"
"Ivan Moslavac"	"Bakačeva 011
06394 Rovinj"
"Slavko Mikić"	"Mihaljevac 064
50298 Opatija"
"Ane Jovanovac"	"Donje Prekrižje 3a
89880 Vrlika"
"Hana Ugrinić"	"Mašekova 3c/0
79804 Novska"
"Valentina Bertoša"	"Mala 994
99162 Velika Gorica"
"Vesna Polonijo"	"Mesnička 455
16386 Rab"
"Ivan Pongrac"	"Paunovac 0c/8
14602 Rijeka"
"Romano Šelendić"	"Slavujevac 6b
70841 Metković"
"Damir Perišić"	"Glogovac 3
69662 Zagreb"
"Tomislav Matas"	"Kurelčeva 489
08299 Knin"
"Luka Štefanec"	"Pod zidom 8a/1
87808 Belišće"
"Martina Milina"	"Mlinovi 2c/9
13047 Valpovo"
"Ane Kuveždić"	"Vrazovo šetalište 0c
32168 Kraljevica"
"Maria Orbanić"	"Istarska 1b
00407 Bjelovar"
"David Oršulić"	"Gračanska 9b/3
16731 Trilj"
"Mira Fuček"	"Mlinarska 988
12455 Novska"
"Mladen Toić"	"Kapucinske 28
73545 Samobor"
"Siniša Jakovljević"	"Palmotićeva 1b
03288 Čabar"
"Nina Križan"	"Ribnjak 683
05765 Popovača"
"Tatjana Cafuk"	"Vinogradska 1
87440 Križevci"
"Marina Bićanić"	"Ksaver 6b/5
15393 Sveti Ivan Zelina"
"Nataša Matokanović"	"Medveščak 456
05917 Ludbreg"
"Ane Oršolić"	"Demetrova 3b
50995 Poreč"
"Janko Prpić"	"Perivoj biskupa Stjepana II. 3c/4
64073 Prelog"
"Jasminka Strinavić"	"Splavnica 44
36758 Đakovo"
"Aldo Hodak"	"Kamenjak 3c/4
63460 Zadar"
"Rozalija Jurišić"	"Kožarska 9
14818 Vrlika"
"Nevenka Marušić"	"Gornje Prekrižje 7b/0
35693 Knin"
"Erik Viljevac"	"Mlinovi 20
61181 Novalja"
"Tatjana Rukavina"	"Zelenjak 8a
73928 Varaždinske Toplice"
"Branko Mudronja"	"Jurjeve 144
22198 Ivanec"
"Ante Vrhovec"	"Šilobodov put 1c/2
62933 Belišće"
"Anica Buljan"	"Perivoj biskupa Stjepana II. 1a
45652 Rovinj"
"Julijana Kurtoić"	"Bosanska 9a/9
23176 Pakrac"
"Katarina Jakovac"	"Strossmayerovo šetalište 0
90562 Beli Manastir"
"Renata Govorčinović"	"Svibovac 3c
29302 Orahovica"
"Matija Vukobratović"	"Opatička 7c
67335 Kutjevo"
"Filip Bogadi"	"Vlaška 5
00069 Nin"
"Anka Benčić"	"Istarska 7a
41556 Pula"
"Rozalija Vidas"	"Rokov perivoj 5c/7
56605 Supetar"
"Damir Matulić"	"Tkalčićeva 4a/6
54126 Dugo Selo"
"Lorena Starčević"	"Mlinovi 1b
39563 Donja Stubica"
"Anica Dukić"	"Gračanska 6c
42742 Čabar"
"Ante Ribarić"	"Pod zidom 1a
75988 Petrinja"
"Željka Šarlija"	"Bučarova 4b
13281 Opatija"
"Matija Polović"	"Kraljevečki odvojak 1a/9
85209 Knin"
"Kate Peruško"	"Ružičnjak 3b
29186 Sinj"
"Mara Madunić"	"Skalinska 796
44554 Virovitica"
"Božica Petrović"	"Novi Goljak 8c/5
68815 Imotski"
"Josipa Brandić"	"Vinogradska 6c/0
09077 Bjelovar"
"Gordana Stojčević"	"Kapucinske 0c/0
13284 Ozalj"
"Duje Baljak"	"Vončinina 7a/1
47210 Drniš"
"Anica Juretić"	"Arnoldova 5
70842 Lipik"
"Mara Jonjić"	"Jadranska 1c/9
56557 Zaprešić"
"Martin Jukić"	"Rokova 6
53921 Buje"
"Petra Rakela"	"Krležin gvozd 2b
50498 Lepoglava"
"Barbara Volarević"	"Naumovac 664
70381 Vinkovci"
"Renata Karuza"	"Srebrnjak 743
56748 Labin"
"Pavao Maletić"	"Zamenhofova 251
68365 Novi Marof"
"Božena Močibob"	"Davor 2
60121 Omiš"
"Jasna Štrljić"	"Kamenjak 2b/4
72563 Novigrad"
"Iva Hrastinski"	"Mirogojska 2c/6
94657 Beli Manastir"
"Anica Jureško"	"Naumovac 41
84938 Križevci"
"Ana Šurina"	"Ribnjak 594
09289 Komiža"
"Julijana Peterlik"	"Šestinski vijenac 8
53199 Oroslavje"
"Igor Britvec"	"Kapucinske 3a/7
08704 Cres"
"Hana Ugrinić"	"Ilica 0
50399 Sveta Nedelja"
"Alen Pintarić"	"Perivoj srpanjskih žrtava 8c
43014 Slunj"
"Dalibor Belošević"	"Medveščak 0b/4
82583 Pag"
"Antonio Plantek"	"Gračanska 3a
23990 Pakrac"
"Terezija Grubišić"	"Bijenička 7c/8
72865 Opatija"
"Kristina Stolnik"	"Medveščak 2b
30873 Garešnica"
"Anica Matas"	"Bučarova 9
05445 Vukovar"
"Lea Kuščević"	"Bosanska 94
10292 Ivanec"
"Nevenka Tušek"	"Dverce 8a
17922 Vinkovci"
"Ruža Bobanović"	"Voćarska 3c/3
30147 Lipik"
"Gordana Mavra"	"Kurelčeva 756
07439 Otočac"
"Robert Barišić"	"Mlinovi 7c/7
99656 Zlatar"
"Tomo Josipović"	"Srebrnjak 3a/1
73319 Imotski"
"Vedran Štrljić"	"Demetrova 0c
94724 Ilok"
"Gordana Klasić"	"Kozarčev vijenac 74
93910 Ogulin"
"Marijana Komar"	"Petrova 1
45198 Drniš"
"Anica Rakela"	"Hercegovačka 2a
05218 Karlovac"
"Željka Bajan"	"Kurelčeva 6
08616 Drniš"
"Zoran Majstorović"	"Svibovac 8b/5
42053 Našice"
"Mario Vaci"	"Mala 1b/7
16130 Novi Marof"
"Elizabeta Jelić"	"Magdićeve 3b
73191 Vodice"
"Mato Pleše"	"Zvonarnička 8c/5
46116 Samobor"
"Anton Aničić"	"Cmrok 5c/1
63136 Buzet"
"Ema Birkić"	"Kraljevec II. 7b/4
06573 Komiža"
"Lorena Resanović"	"Zavojna 3b
50875 Novi Vinodolski"
"Dejan Nikolić"	"Male 806
72710 Vrlika"
"Anica Stupalo"	"Kožarska 724
96134 Donja Stubica"
"Karlo Lazar"	"Remetska 8a
97242 Kraljevica"
"Janja Franjić"	"Perivoj srpanjskih žrtava 3b/3
24148 Bakar"
"Željka Komar"	"Strossmayerovo šetalište 0c/9
46595 Šibenik"
"Nika Ivandić"	"Glogovac 4a
80962 Vinkovci"
"Tomo Karmelić"	"Goljačke 3c/4
33706 Lipik"
"Dragutin Simić"	"Čačkovićeva 63
13090 Đurđevac"
"Suzana Baničević"	"Remetska 3b
62961 Beli Manastir"
"Slavko Rajčić"	"Ljubinkovac 6a/4
56083 Novi Vinodolski"
"Niko Knežević"	"Pod zidom 422
92593 Vis"
"Anica Volarić"	"Gradec 6a/9
63840 Trilj"
"Božena Polonijo"	"Gornje Prekrižje 1a/3
72619 Hrvatska Kostajnica"
"Ivana Plantak"	"Višnjičke 7
79254 Hrvatska Kostajnica"
"Lea Jurčić"	"Jadranska 3c
84896 Oroslavje"
"Maria Debelić"	"Voćarska 2c/6
40592 Korčula"
"Kata Komljenović"	"Ilica 85
95199 Ivanić-Grad"
"Nikolina Buršić"	"Visoka 972
98621 Daruvar"
"Anica Filipović"	"Vlaška 940
44432 Omiš"
"Anđela Slavica"	"Mirogojska 7b/0
16917 Vrgorac"
"Fuma Svetličić"	"Golubovac 2b
70947 Kutjevo"
"Anica Vučin"	"Ružičnjak 7a
41264 Biograd na Moru"
"Josipa Kovačić"	"Davor 9
79657 Mursko Središće"
"Danijel Dobrić"	"Horvatovac 6b
53714 Buje"
"Božica Gegić"	"Ilica 8c/2
96784 Vrgorac"
"Mara Dolić"	"Zvonarnička 7b/9
60672 Poreč"
"Milena Veić"	"Dolac 0c
80702 Zadar"
"Ivica Tuđa"	"Arnoldova 8c
01787 Ivanić-Grad"
"Valter Lukić"	"Bijenička 47
25017 Skradin"
"Martin Putinja"	"Mlinarska 459
98261 Kaštela"
"Duje Mužina"	"Mihaljevac 3a/2
06620 Zabok"
"Anica Ćorić"	"Zelengaj 4b/9
48077 Vinkovci"
"Ante Preočanin"	"Šalata 6b/3
31707 Varaždin"
"Zvonko Štrbac"	"Wickerhauserova 5b/8
93042 Novska"
"Antonio Radman"	"Javorovac 5a
16616 Labin"
"Jakov Merkaš"	"Mesnička 8a
03464 Grubišno Polje"
"Dino Kršanac"	"Male 3c/7
25100 Belišće"
"Patrik Šestak"	"Novi Goljak 536
61491 Koprivnica"
"Marijan Lukinić"	"Golubovac 1a/9
15720 Đurđevac"
"Denis Pokos"	"Šumski prečac 737
09888 Nin"
"Dušan Majdenić"	"Krležin gvozd 9a
93447 Ludbreg"
"Anica Šoštarić"	"Dolac 7a
94256 Lepoglava"
"Ivanka Alković"	"Klanac Grgura Tepečića 8b
64094 Lipik"
"Jelena Bunčić"	"Remetska 524
85362 Nin"
"Slavica Banko"	"Bijenička 0b
10062 Ivanec"
"Igor Flego"	"Bosanska 5c/4
18064 Sisak"
"Damir Čargonja"	"Rokova 6b
19403 Buje"
"Vesna Ćorić"	"Vlaška 1c/3
13852 Hrvatska Kostajnica"
"Petra Jerković"	"Draškovićeva 2b
81066 Makarska"
"Antonio Lukinić"	"Zvonarnička 2a
65582 Petrinja"
"Dario Cestarić"	"Zelengaj 5c/9
48835 Rijeka"
"Anita Božić"	"Ružičnjak 2b/7
54652 Donji Miholjac"
"Mato Lucić"	"Zamenhofova 3c/7
11015 Ozalj"
"Hrvoje Čubrić"	"Medvedgradska 7a
57187 Čabar"
"Ika Andrijević"	"Bijenička 9
76473 Ivanec"
"Marina Dukić"	"Kamenita 25
78679 Glina"
"Milica Dretvić"	"Nova Ves 0b
64529 Orahovica"
"Božica Rašeta"	"Gupčeva zvijezda 2
03912 Pregrada"
"Matija Kuzmić"	"Kraljevec II. 8
92430 Daruvar"
"Dejan Šargač"	"Kraljevečki odvojak 473
23963 Grubišno Polje"
"Mato Bralić"	"Srebrnjak 7b/3
78120 Buzet"
"Anita Eršek"	"Mlinovi 269
88306 Solin"
"Zora Brajković"	"Arnoldova 4
52209 Petrinja"
"Juraj Klarin"	"Palmotićeva 5a
60324 Pazin"
"Elizabeta Meić"	"Petrova 9c/3
38844 Bjelovar"
"Anđela Dolić"	"Splavnica 571
55991 Duga Resa"
"Joško Bračun"	"Kamenjak 5c/8
62336 Ozalj"
"Suzana Ilinović"	"Vrazovo šetalište 4
78477 Otok"
"Dragan Majstorović"	"Vitezovićeva 9b
10029 Jastrebarsko"
"Franjo Kalazić"	"Mašekova 1c/5
56213 Đurđevac"
"Jelena Vukman"	"Gračanska 0a
83015 Kutjevo"
"Anita Jelić"	"Rockefellerova 87
28178 Jastrebarsko"
"Branko Hrvojić"	"Nemetova 0
34575 Križevci"
"Ika Lukinić"	"Ljubinkovac 9c/4
29239 Valpovo"
"Ivo Rubinić"	"Pantovčak 4a/0
10725 Ivanić-Grad"
"Matej Sedlar"	"Goljačke 3a/2
25566 Čabar"
"David Rogošić"	"Pod zidom 4c/8
08757 Sinj"
"Kate Tuksar"	"Zmajevac 6b/0
38617 Varaždin"
"Igor Žužić"	"Ružičnjak 9b
89643 Križevci"
"Ivo Ukić"	"Ksaverska 116
88069 Novska"
"Biljana Kovačić"	"Nemetova 8
09176 Pula"
"Anita Matković"	"Dvoranski prečac 389
92021 Biograd na Moru"
"Anto Vidović"	"Glogovac 8c/4
09962 Duga Resa"
"Ruža Kramarić"	"Magdićeve 7b
61146 Samobor"
"Ljiljana Dvojak"	"Wickerhauserova 0a
71194 Poreč"
"Matej Aničić"	"Zavojna 7a/1
23661 Dugo Selo"
"Mateja Poropat"	"Kaptol 9c/0
21102 Makarska"
"Nikola Grgurovac"	"Radnički dol 7
12055 Valpovo"
"Nikola Kinkela"	"Draškovićeva 8c
32906 Knin"
"Milka Bašić"	"Lisinskoga 7
24681 Kastav"
"Nika Simić"	"Ružičnjak 0b/4
60655 Kutjevo"
"Anita Miličić"	"Jagodnjak 95
39821 Novigrad"
"Dejan Žufika"	"Voćarska 4
84711 Rovinj"
"Lea Maloča"	"Ribnjak 0c/5
87316 Varaždinske Toplice"
"Alen Stolnik"	"Mlinske 3
48129 Oroslavje"
"Ivan Ozimec"	"Arnoldova 3b/7
22579 Hrvatska Kostajnica"
"Dino Pleše"	"Slavujevac 3b
02269 Đakovo"
"Anita Bačak"	"Medvedgradska 8b/4
55982 Benkovac"
"Jure Pikec"	"Šumski prečac 8a
04883 Krk"
"Igor Šipić"	"Dvoranski prečac 4
98554 Klanjec"
"Anto Roce"	"Svibovac 7c/6
69683 Glina"
"Anita Petrović"	"Zamenhofova 07
99688 Popovača"
"Vera Filipović"	"Harmica 57
25600 Krk"
"Mirjana Blagaić"	"Bijenička 087
91036 Novalja"
"Nataša Valentić"	"Tuškanac 0a
33736 Zadar"
"Denis Lorencin"	"Šalata 3a/1
97591 Sisak"
"Gordana Amidžić"	"Zvonarnička 9a/9
08639 Sveta Nedelja"
"Albina Čižmešija"	"Kraljevečki odvojak 4a/7
12444 Trilj"
"Nika Bolčević"	"Vinogradska 8c
17735 Kutjevo"
"Jelena Dolić"	"Zamenhofova 6c/9
10172 Gospić"
"Renata Raspor"	"Tošovac 9b
02396 Makarska"
"Anita Sokač"	"Zelenjak 0b/1
12926 Gospić"
"Damir Ivanović"	"Dvoranski prečac 4c
97169 Trogir"
"Jasna Matijević"	"Višnjica 8c/9
48138 Umag"
"Ivka Orlić"	"Jurjeve 5c
27707 Hrvatska Kostajnica"
"Toni Šokčević"	"Pod zidom 8b
16500 Bakar"
"Ivana Čukman"	"Kaptol 7b
77942 Rovinj"
"Tomo Knezović"	"Nemetova 9b/7
39137 Vodnjan"
"Željka Ritoša"	"Pod zidom 4a
02304 Vrbovsko"
"Ivka Jakuš"	"Naumovac 303
77433 Križevci"
"Hrvoje Komar"	"Pantovčak 58
18684 Čazma"
"Anita Stanić"	"Visoka 0c/8
93905 Ivanec"
"Aldo Pokos"	"Goljak 4b/9
02452 Buzet"
"Zvonko Vretenar"	"Orlovac 629
45586 Ozalj"
"Dražen Marušić"	"Svibovac 1c/6
25712 Našice"
"Stjepan Turk"	"Harmica 7b/4
27317 Virovitica"
"Kata Medved"	"Podgaj 0a
91946 Novigrad"
"Zorka Šitum"	"Kraljevec II. 6a
59246 Delnice"
"Matej Pikec"	"Mlinovi 463
27561 Senj"
"Antun Resanović"	"Dolac 8b/8
44908 Nin"
"Dražen Lukšić"	"Svibovac 99
90609 Duga Resa"
"Anita Vretenar"	"Krvavi most 2b/3
29050 Skradin"
"Anica Sorić"	"Draškovićeva 7b
28940 Križevci"
"Katica Hrabar"	"Vončinina 5b/1
01148 Solin"
"Vesna Miše"	"Mlinarska 207
17329 Lepoglava"
"Božena Legović"	"Šestinski vijenac 9b
11550 Zlatar"
"Draga Poljak"	"Zamenhofova 27
15436 Šibenik"
"Andrija Maršić"	"Zamenhofova 8
45466 Split"
"Suzana Sirotić"	"Mlinovi 0a/5
96461 Dugo Selo"
"Mato Petrović"	"Draškovićeva 00
76223 Lepoglava"
"Filip Banko"	"Bijenička 5b/0
17790 Požega"
"Anita Šošić"	"Goljak 05
48370 Opuzen"
"Kate Mesić"	"Šalata 1a
15702 Poreč"
"Siniša Šimunović"	"Orlovac 0b/0
07495 Poreč"
"Katarina Bojanić"	"Vlaška 1b
53803 Osijek"
"Mateo Frketić"	"Ribnjak 247
96816 Drniš"
"Antonio Obradović"	"Gradec 1c
05460 Biograd na Moru"
"Matej Mahnet"	"Bijenička 524
18428 Ilok"
"Tatjana Kocijančić"	"Mesnička 358
60266 Beli Manastir"
"Mateja Ražov"	"Kraljevečki odvojak 6c
43374 Klanjec"
"Jele Kresonja"	"Vlaška 4a
75261 Petrinja"
"Anita Žufika"	"Gradec 3b
49680 Đakovo"
"Zlatko Lucić"	"Jurjeve 1c
13395 Vukovar"
"Nina Čuček"	"Vitezovićeva 89
53609 Zadar"
"Karlo Kralj"	"Kamaufova 1c/9
96666 Mursko Središće"
"Ivica Martić"	"Draškovićeva 15
62258 Šibenik"
"Ružica Colić"	"Ilica 4b/0
64015 Čabar"
"Vera Nimac"	"Wickerhauserova 7
12536 Umag"
"Nina Ilijić"	"Šalata 9b/2
48712 Mali Lošinj"
"Janko Cafuk"	"Vlaška 33
13642 Čazma"
"Martina Banko"	"Slavujevac 9b/3
66733 Stari Grad"
"Anka Banko"	"Kraljevečki ogranak 9b
44328 Otočac"
"Nataša Polonijo"	"Strossmayerovo šetalište 8b
67599 Slatina"
"Marta Mofardin"	"Mlinovi 5b/1
62740 Trogir"
"Mira Komljenović"	"Mašekova 5c/3
47653 Benkovac"
"Anton Crneković"	"Palmotićeva 9
92571 Vrbovsko"
"Tatjana Herout"	"Bosanska 1b
27323 Križevci"
"Valentina Cindrić"	"Cmrok 5b/1
75051 Trogir"
"Božo Petrić"	"Kožarska 350
64434 Kutina"
"Kristina Kinkela"	"Draškovićeva 0b/2
98061 Grubišno Polje"
"Mladen Baksa"	"Jabukovac 2c/6
92498 Vrgorac"
"Anka Bošnjak"	"Lisinskoga 0a
83638 Slatina"
"Milan Pokos"	"Visoka 7b
19182 Skradin"
"Dora Gligora"	"Paunovac 91
86554 Novi Vinodolski"
"Vera Bičak"	"Kapucinske 105
07178 Otok"
"Jana Bačak"	"Lobmayerove 352
60431 Čazma"
"Đuro Medić"	"Rockefellerova 1
06387 Vukovar"
"Renata Smolić"	"Vinogradska 8
15306 Ludbreg"
"Nikša Fuček"	"Ksaverska 8b
45833 Ozalj"
"Suzana Barić"	"Jadranska 8a/8
73870 Split"
"Janko Begonja"	"Pod zidom 3
84413 Križevci"
"Anka Brcko"	"Mirogojska 7c
70078 Virovitica"
"Marijan Vidović"	"Vrazovo šetalište 710
03234 Rab"
"Roko Karamarko"	"Kamaufova 0c
60087 Donja Stubica"
"Lana Vidović"	"Slavujevac 9
30860 Vukovar"
"Roko Pintarić"	"Kapucinske 41
66559 Biograd na Moru"
"Matija Pavlović"	"Kamenjak 2
55810 Slavonski Brod"
"Ema Horvat"	"Mašekova 8b/2
05067 Biograd na Moru"
"Antonio Mikulčić"	"Krležin gvozd 3a
28572 Petrinja"
"Fran Lucić"	"Svibovac 4c
34421 Imotski"
"Nina Liber"	"Kraljevečki ogranak 61
50953 Daruvar"
"Anka Jakopec"	"Dubravkin 5b
21418 Oroslavje"
"Vedran Baljak"	"Klanac Grgura Tepečića 2
96979 Varaždin"
"Biserka Poslon"	"Ljubinkovac 8
59593 Orahovica"
"Mile Božić"	"Ilica 27
85373 Novi Vinodolski"
"Kata Polonijo"	"Kurelčeva 9c
80090 Crikvenica"
"Dušan Culi"	"Kraljevec II. 8b
86950 Labin"
"Milka Rađenović"	"Mirogojska 663
03469 Zlatar"
"Karla Dončević"	"Bakačeva 4
31820 Imotski"
"Kristina Cvitan"	"Tošovac 0
82745 Nova Gradiška"
"Slavica Stiperski"	"Krvavi most 8
86538 Vrgorac"
"Anka Kereković"	"Gornje Prekrižje 6b/6
65458 Čazma"
"Dušan Guberović"	"Rokov perivoj 41
63278 Mali Lošinj"
"Veronika Bošnjaković"	"Arnoldova 7
32413 Buje"
"Mihael Đurinić"	"Bosanska 9b/9
72848 Gospić"
"David Sedlar"	"Glogovac 7b
44632 Zadar"
"Mijo Bazjak"	"Kozarčev vijenac 8c
91947 Popovača"
"Matija Kalazić"	"Medveščak 3c
63822 Đurđevac"
"Nataša Pokos"	"Mihaljevac 0a/9
11261 Opuzen"
"Petar Jurlina"	"Jurjevska 348
68323 Ozalj"
"Barica Hrastinski"	"Orlovac 6b
32027 Korčula"
"Anka Orlović"	"Višnjičke 6c
04619 Valpovo"
"Željko Bertoša"	"Medveščak 6a/9
22910 Vis"
"Franjo Vidas"	"Rockefellerova 8a/1
67093 Daruvar"
"Ane Žugec"	"Mletačka 7c/1
35547 Našice"
"Suzana Karamarko"	"Skalinska 0c/2
24193 Kutina"
"Dragan Vučković"	"Mala 8
93133 Ozalj"
"Aldo Radočaj"	"Krležin gvozd 3c
88021 Ozalj"
"Zvonko Kokanović"	"Demetrova 1
12905 Varaždinske Toplice"
"Marica Herout"	"Kamenita 17
50551 Vodice"
"Vjekoslav Cvetnić"	"Mašekova 9a
20771 Duga Resa"
"Anka Stanić"	"Zelengaj 54
64944 Drniš"
"Božica Guštin"	"Šumski prečac 9c/0
74726 Velika Gorica"
"Darko Blažević"	"Hercegovačka 0c/4
52674 Knin"
"Marijan Hranj"	"Istarska 178
65639 Prelog"
"Barbara Kolić"	"Horvatovac 0c/8
10035 Mursko Središće"
"Dalibor Bertoša"	"Višnjica 5c/8
09242 Otočac"
"Milan Tuksar"	"Kraljevečki ogranak 6c/6
37242 Đurđevac"
"Branko Franić"	"Šalata 1b/0
04678 Makarska"
"Kate Topić"	"Kaptol 6a
97914 Senj"
"Laura Pozder"	"Voćarsko naselje 97
09019 Mali Lošinj"
"Anka Živković"	"Jurjevska 85
16453 Trilj"
"Gordana Matijević"	"Zvonarnička 486
66882 Hrvatska Kostajnica"
"Gordana Peharda"	"Donje Prekrižje 2a
37366 Samobor"
"Anita Juretić"	"Voćarska 0a/3
28533 Ogulin"
"Lana Ivandić"	"Zelenjak 482
15432 Sisak"
"Siniša Eršek"	"Bosanska 7c
43437 Čazma"
"Branka Miloslavić"	"Kapucinske 5a
22538 Sveti Ivan Zelina"
"Jana Pecotić"	"Opatička 8c/4
39232 Beli Manastir"
