"Albina Barišić","Jurkovićeva 7
44983 Rovinj"
"Lara Gracin","Dolac 5b
01140 Križevci"
"Rudolf Žuvela","Mletačka 6
18085 Dubrovnik"
"Nada Štefović","Bosanska 4
29596 Đakovo"
"Andrija Orešković","Tošovac 13
71629 Đakovo"
"Karlo Didović","Podgaj 3c/6
42082 Trogir"
"Tomo Frketić","Zelengaj 3b
59297 Komiža"
"Mirko Čupić","Jurjevska 4a
42613 Nova Gradiška"
"Lorena Lakošeljac","Vijenac 1b
54030 Ozalj"
"Ika Ljubetić","Perivoj biskupa Stjepana II. 971
45080 Benkovac"
"Luka Žugec","Kraljevečki ogranak 997
27109 Križevci"
"Eva Čotić","Jadranska 66
64629 Požega"
"Anđela Jakopec","Paunovac 7b
16900 Požega"
"Laura Grbac","Zelengaj 11
86405 Solin"
"Andrija Puškarić","Horvatovac 27
47878 Kutjevo"
"Ljiljana Sakač","Mirogojska 0b/6
31364 Lipik"
"Ankica Volarić","Voćarsko naselje 7a
15197 Vrbovsko"
"Jasminka Strinavić","Zamenhofove 5b
30215 Ilok"
"Tomo Milotić","Gupčeva zvijezda 891
53591 Zagreb"
"Mirjana Šuran","Slavujevac 118
52744 Vrbovsko"
"Mislav Pribanić","Kraljevec 5c/0
29999 Osijek"
"Davor Vranić","Rokova 7c/2
58430 Bjelovar"
"Suzana Polonijo","Srebrnjak 93
12722 Split"
"Anita Andrašek","Tuškanac 0c/1
44529 Donji Miholjac"
"Andrija Stojanov","Vlaška 8c/3
99544 Đurđevac"
"Mijo Magić","Nova Ves 3b
50847 Osijek"
"Sandra Vuljak","Ksaverska 1b
86285 Poreč"
"Katarina Baničević","Zamenhofove 3c
06471 Ogulin"
"Bruno Vidović","Vitezovićeva 9a
75106 Velika Gorica"
"Željka Pavković","Srebrnjak 8a/7
19253 Oroslavje"
"Zdenka Sabol","Voćarsko naselje 125
39239 Novalja"
"Martin Vorkapić","Male 6b/6
36661 Krk"
"Pavao Kauzlarić","Klesarski put 5b
58365 Otok"
"Jure Buljan","Harmica 2a/9
28695 Kastav"
"Andrija Triplat","Davor 0a
07622 Biograd na Moru"
"Josipa Barac","Kraljevec II. 8
39310 Glina"
"Petra Lisica","Kurelčeva 3c
60286 Daruvar"
"Niko Vugdelija","Kamenita 45
90521 Cres"
"Zorka Hren","Gornje Prekrižje 6c
75131 Đakovo"
"Hana Horvat","Vijenac 0b
86708 Vinkovci"
"Jana Tuđa","Medveščak 990
06968 Trilj"
"Damir Herout","Šalata 9c/7
81229 Čakovec"
"Tomislav Sever","Hercegovačka 750
08917 Benkovac"
"Ivan Lazar","Hercegovačka 2b
12550 Požega"
"Ane Barac","Jurjeve 6b/3
63793 Kaštela"
"Ljiljana Rađenović","Istarska 5a/2
43283 Sveti Ivan Zelina"
"Albina Pavlović","Donje Prekrižje 4a
34385 Trilj"
"Fuma Jagarinec","Gupčeva zvijezda 1c
87538 Kutjevo"
"Mateja Leščić","Tuškanac 1b/0
04772 Vodnjan"
"Pero Bralić","Voćarska 6
59452 Rovinj"
"Ivan Jaković","Ksaverska 0b
77609 Kraljevica"
"Jele Vretenar","Čačkovićeva 7
91502 Sisak"
"Boris Morić","Kožarska 665
60729 Orahovica"
"Dejan Banovac","Kraljevečki odvojak 625
52910 Dubrovnik"
"Ane Beletić","Bučarova 7c
31147 Crikvenica"
"Janko Kopjar","Vitezovićeva 5c
09176 Garešnica"
"Zvonko Matana","Ksaver 5b
62896 Zlatar"
"Jakov Cvenić","Remetska 8a
20102 Komiža"
"Pero Markuš","Jurišićeva 1a
44672 Metković"
"Maria Petrić","Ljubinkovac 8a
76691 Gospić"
"Ljubica Žic","Palmotićeva 2c/0
94101 Drniš"
"Mare Kraljić","Kamenjak 2b/0
65615 Belišće"
"Božena Jukić","Podgaj 8a
46703 Varaždinske Toplice"
"Slavica Papak","Ljubinkovac 2c
53266 Nin"
"Ane Gligora","Goljačke 2
62397 Kutjevo"
"Rudolf Šturlan","Kozarčev vijenac 258
42116 Poreč"
"Jele Lorencin","Splavnica 546
06254 Otok"
"Biserka Polović","Klenovac 1
66228 Čabar"
"Slavko Rađenović","Čačkovićeva 2a/9
75647 Novska"
"Matej Balinčić","Petrova 9b/0
62060 Opatija"
"Iva Škrlin","Krležin gvozd 8c
58528 Sveta Nedelja"
"Bruno Cvetković","Istarska 1a
44684 Vrlika"
"Mate Božiković","Cmrok 2c/3
55163 Ozalj"
"Snježana Kresonja","Kamenjak 2b
12642 Ludbreg"
"Ane Ilinović","Rokov perivoj 1b
77969 Zadar"
"Rudolf Galić","Kamenita 6a
28697 Hvar"
"Marina Cukon","Vinogradska 9a
44732 Metković"
"Đurđica Čotić","Vinogradska 8c
73422 Klanjec"
"Željka Surać","Mašekova 560
73687 Lepoglava"
"Slavko Ivandić","Krvavi most 4b/1
35545 Crikvenica"
"Iva Ivandić","Svibovac 2
11028 Hrvatska Kostajnica"
"Andrea Gržinčić","Kraljevec II. 8b
14947 Zabok"
"Patrik Franušić","Rokov perivoj 2a
68567 Rovinj"
"Ivo Poljak","Šestinski vrh 978
09806 Sveta Nedelja"
"Ane Koščević","Arnoldova 8a
77467 Ozalj"
"Veronika Lukić","Kožarska 1b
74793 Obrovac"
"Matej Seničić","Ružičnjak 0c/3
98458 Grubišno Polje"
"Saša Štefanec","Javorovac 5a
17597 Oroslavje"
"Bruno Toić","Podgaj 8b
31846 Poreč"
"Nevenka Martinović","Podgaj 995
90238 Vodice"
"Draga Bolčević","Bosanska 7b
18848 Hvar"
"Pero Gabud","Mesnička 386
05330 Našice"
"Stana Šupraha","Hercegovačka 9a
81456 Pregrada"
"Lovro Šupraha","Podgaj 1
87254 Biograd na Moru"
"Ane Marinković","Rokov perivoj 9b
82176 Kutjevo"
"Bara Simić","Novi Goljak 6c/1
10616 Glina"
"Rudolf Fabijanić","Remetska 1c
45584 Delnice"
"Bruno Friščić","Golubovac 4a
54651 Dugo Selo"
"Fran Šalić","Visoka 7a/8
56650 Cres"
"Ika Triplat","Jadranska 4b
82152 Kastav"
"Nikolina Bezić","Bakačeva 0a
96362 Solin"
"Matej Grgurovac","Ribnjak 5c
85474 Ploče"
"Danijel Martić","Ružičnjak 620
27393 Bakar"
"Mare Kovačević","Jurišićeva 1c/6
94416 Našice"
"Ane Nakić","Lobmayerove 1a/1
36640 Korčula"
"Davor Skupnjak","Javorovac 21
00328 Prelog"
"Kristijan Dujmović","Krvavi most 4a
72974 Dugo Selo"
"Valentina Polović","Kraljevečki ogranak 8b
85332 Kutina"
"Juraj Lovrić","Gračanska 2b
16292 Lipik"
"Duje Filipčić","Višnjica 1b/4
39639 Stari Grad"
"Julijana Grgić","Rockefellerova 5c
78302 Čazma"
"Mihael Mikulandra","Zeleni dol 9c/1
68861 Vodnjan"
"Antonio Čulina","Cmrok 2b/1
95888 Kutina"
"Lorena Cindrić","Vitezovićeva 54
14981 Vodice"
"Ane Prtenjača","Kamenjak 1c/6
85747 Kastav"
"Kristina Ferenac","Slavujevac 68
57622 Nova Gradiška"
"Marta Darojković","Hercegovačka 8c
91735 Kastav"
"Zvonko Halapir","Ružičnjak 479
00888 Kaštela"
"Bruno Klanac","Zavojna 3a
78095 Nin"
"Ljiljana Liović","Zeleni dol 5b
21595 Ilok"
"Marijan Britvec","Rokova 8c/6
27731 Mursko Središće"
"Šime Štrljić","Šalata 0
31805 Kutina"
"Nikola Svetličić","Nova Ves 8c
50172 Križevci"
"Željko Barić","Pod zidom 4a/2
28842 Đakovo"
"Ane Veić","Rokov perivoj 5b
11870 Vinkovci"
"Antonija Halambek","Gračanska 4c
24409 Krk"
"Anica Bungić","Bosanska 0a
90158 Umag"
"Tea Markuš","Remetska 446
21916 Imotski"
"Biserka Sošić","Horvatovac 933
42318 Supetar"
"Pero Vižintin","Kozarčev vijenac 9a/9
08438 Samobor"
"Zora Kaniški","Streljačka 8b/5
48604 Crikvenica"
"Mato Risek","Donje Prekrižje 0c
81752 Vinkovci"
"Lea Radin","Arnoldova 440
80490 Zlatar"
"Antun Jaković","Strossmayerovo šetalište 3b
60692 Koprivnica"
"Ane Škoda","Vončinina 9c
54907 Klanjec"
"Vedran Dragojević","Radnički dol 7a/5
14000 Našice"
"Rozalija Barić","Svibovac 9
88390 Grubišno Polje"
"Jozo Kraljić","Radnički dol 782
57634 Komiža"
"Joso Stojčević","Rockefellerova 8b
17045 Vrbovec"
"Fran Dizdar","Bosanska 97
23950 Kaštela"
"Tomislav Benić","Harmica 745
82075 Jastrebarsko"
"Romano Abičić","Dolac 568
78906 Opuzen"
"Jozo Palić","Mlinovi 7a/7
79378 Slavonski Brod"
"Zoran Abičić","Glogovac 3a/7
07058 Križevci"
"Anica Bojanić","Kraljevečki ogranak 6a
34235 Supetar"
"Jasminka Dukić","Mala 619
46735 Rab"
"Valentina Stolnik","Čačkovićeva 5c
69504 Virovitica"
"Biljana Nikolić","Jurjevska 2b/8
23347 Mali Lošinj"
"Ljubica Jovanovac","Vončinina 92
85554 Novska"
"Katica Pandurić","Draškovićeva 4b
79813 Lepoglava"
"Branka Bušljeta","Perivoj biskupa Stjepana II. 2c/3
94622 Karlovac"
"Manda Čupić","Gradec 0a/6
32164 Dugo Selo"
"Lea Josipović","Splavnica 2a
58396 Knin"
"Ljubica Turk","Vlaška 4b
21234 Opatija"
"Anica Bunčić","Zamenhofova 1c
26387 Valpovo"
"Jasna Perčić","Jadranska 6b
33939 Vrbovsko"
"Franjo Kršanac","Hercegovačka 9a/5
80431 Kastav"
"Mia Branković","Šalata 9c/9
01346 Zagreb"
"Lovre Belošević","Kraljevečki odvojak 45
94834 Donja Stubica"
"Milica Koščević","Bučarova 4a/8
93532 Buzet"
"Matej Škugor","Palmotićeva 8b
89291 Jastrebarsko"
"Dragan Roso","Kamenita 3a
82454 Donji Miholjac"
"Anica Triplat","Bakačeva 405
40759 Slunj"
"Fran Skupnjak","Magdićeve 1a
18998 Skradin"
"Anica Bučanac","Jurjeve 6c
08683 Daruvar"
"Nada Nižetić","Bakačeva 5c/7
45789 Hvar"
"Jasminka Drandić","Mlinovi 8c/0
38171 Garešnica"
"Petar Čudić","Gornje Prekrižje 934
46132 Varaždinske Toplice"
"Anka Jerković","Palmotićeva 5b
68373 Ivanić-Grad"
"Šime Piljek","Vinogradska 4a
81025 Virovitica"
"Katarina Bralić","Radnički dol 517
82143 Slunj"
"Aldo Govorčinović","Šestinski vijenac 3
24679 Kaštela"
"Marijana Grgurić","Šestinski vijenac 890
34297 Ogulin"
"Maja Toić","Jurišićeva 989
77011 Klanjec"
"Anica Hećimović","Pod zidom 2c
39928 Trogir"
"Mia Husnjak","Mlinarska 5c/0
76409 Hvar"
"Valentina Bijelić","Petrova 0
68372 Oroslavje"
"Dalibor Gotić","Visoka 2c
58810 Lepoglava"
"Dušan Čulina","Strossmayerovo šetalište 1b
85062 Novigrad"
"Ivana Mihić","Vijenac 3c
05002 Varaždinske Toplice"
"Goran Majdenić","Svibovac 45
84880 Donja Stubica"
"Jakov Ivanović","Rokova 4b
82073 Buzet"
"Matea Kuščević","Visoka 3a
55426 Mali Lošinj"
"Vlado Madunić","Srebrnjak 0b
61126 Gospić"
"Anica Kupsjak","Gupčeva zvijezda 93
74573 Skradin"
"Ika Turk","Ksaver 5a
33044 Vukovar"
"Martin Sinožić","Zamenhofova 4
92882 Nova Gradiška"
"Dejan Miličić","Nemetova 1c/8
79403 Komiža"
"Kata Bingula","Tkalčićeva 65
79306 Nin"
"Vera Vukobratović","Rockefellerova 22
35822 Ogulin"
"Eva Čotić","Vinogradska 4c
56340 Novska"
"Šime Šurbek","Kraljevečki ogranak 003
32292 Sinj"
"Martina Radin","Kozarčev vijenac 3c
17142 Klanjec"
"Domagoj Markovac","Višnjičke 408
65381 Vis"
"Anica Maraš","Ksaverska 2
47111 Osijek"
"Suzana Kocijančić","Šilobodov put 7c
15277 Delnice"
"Jasna Milovac","Rockefellerova 6c
83521 Đakovo"
"Luka Damijanić","Tkalčićeva 0b/8
11327 Senj"
"Martina Kovačević","Višnjica 9b/6
29425 Orahovica"
"Ema Raguž","Palmotićeva 7a/6
36118 Zaprešić"
"Maja Šimić","Zelenjak 2b
34642 Ilok"
"Ilija Božanić","Vitezovićeva 9b/4
13494 Imotski"
"Zora Horvatinec","Bučarova 8c
94009 Grubišno Polje"
"Dalibor Šokčević","Male 5b
29905 Petrinja"
"Anica Risek","Svibovac 8a
14258 Imotski"
"Jure Grgurovac","Glogovac 5b/8
97503 Lepoglava"
"Karla Peharda","Klanac Grgura Tepečića 6a/9
70507 Kutjevo"
"Sanja Gelemanović","Mesnička 1c/1
08310 Ivanić-Grad"
"Kristina Rijetković","Zamenhofova 3a
88022 Beli Manastir"
"Laura Radović","Bučarova 2b/0
26692 Solin"
"Nina Ivandić","Mletačka 4c
88134 Bakar"
"Maja Perković","Bakačeva 6
45115 Knin"
"Zorka Dautović","Zamenhofove 3c/1
16150 Ozalj"
"Ljiljana Bungić","Mirogojska 936
53418 Senj"
"Anica Štefanec","Šalata 3
18413 Otok"
"Vedran Jaković","Gornje Prekrižje 397
96729 Daruvar"
"Ivan Martinić","Šestinski vrh 3c/1
58590 Kutjevo"
"Andrija Starčević","Arnoldova 6b/5
87825 Ogulin"
"Franjo Sakač","Petrova 5c
42523 Knin"
"Mateo Mužić","Pantovčak 2
24210 Sinj"
"Eva Banko","Mlinovi 1
44320 Opatija"
"Matea Maraš","Voćarska 27
79227 Samobor"
"Lovre Kolarec","Glogovac 4c/0
72883 Glina"
"Romano Radolović","Voćarska 6c/1
30323 Rijeka"
"Anita Barbić","Goljak 2
88666 Čakovec"
"Mario Vučin","Dubravkin 34
33281 Vrbovsko"
"Sanja Županić","Opatička 3
33666 Vinkovci"
"Nina Vučetić","Vončinina 798
98926 Đakovo"
"Šime Rogošić","Mesnička 3b
60486 Đurđevac"
"Karla Knežević","Tošovac 8b/6
46673 Novska"
"Anton Urlić","Višnjica 5c
39892 Orahovica"
"Romano Božić","Jurišićeva 0b
12977 Cres"
"Dario Špralja","Mlinarska 9a/5
34290 Ogulin"
"Valter Bogović","Nemetova 7b/0
56672 Vinkovci"
"Anita Baričević","Naumovac 40
27534 Vis"
"Nevenka Brcko","Mlinske 2a
34401 Rijeka"
"Elvis Jugovac","Perivoj biskupa Stjepana II. 9b
32493 Pakrac"
"Branka Hranj","Bučarova 2c
42129 Novi Marof"
"Bara Andrijašević","Jadranska 6
76804 Čakovec"
"Slavica Jovanović","Remetska 0c
46611 Buje"
"Marija Vrabelj","Harmica 5a
21810 Varaždin"
"Dora Barešić","Radnički dol 589
54701 Šibenik"
"Nina Trutanić","Dverce 7a/5
18514 Vodnjan"
"Lovre Jugovac","Kapucinske 9
17205 Imotski"
"Anita Barković","Šestinski vrh 1b/9
26123 Novalja"
"Jele Josipović","Perivoj srpanjskih žrtava 331
55009 Krapina"
"Eva Jozić","Višnjica 505
64599 Karlovac"
"Franjo Lorencin","Vinogradska 114
71277 Biograd na Moru"
"Miroslav Butković","Arnoldova 38
35788 Ivanec"
"Sandra Deže","Kapucinske 943
96693 Vodnjan"
"Marijan Barbir","Magdićeve 0
14167 Karlovac"
"Štefica Milevoj","Bakačeva 9c
83250 Senj"
"Štefica Franić","Jurjeve 3a
17213 Valpovo"
"Rozalija Čović","Kapucinske 76
88691 Omiš"
"Anita Božić","Draškovićeva 9c/1
96087 Daruvar"
"Janko Požega","Podgaj 5b
01907 Kaštela"
"Mislav Vidov","Zeleni dol 122
11589 Petrinja"
"Mirko Marinković","Ilica 9c/4
35494 Opuzen"
"Niko Orlović","Radnički dol 9a
60384 Nova Gradiška"
"Zvonko Grgurić","Vitezovićeva 4a
67396 Vis"
"Zorka Žužić","Petrova 5a
59940 Novi Vinodolski"
"Milan Vladislavić","Nemetova 33
59064 Kutjevo"
"Mia Škugor","Zavojna 8
54223 Drniš"
"Jozo Jemrić","Medveščak 3a/5
56936 Labin"
"Anita Damijanić","Cmrok 4b/5
16350 Zagreb"
"Mateja Bojanić","Mlinovi 7b
30311 Nova Gradiška"
"Lovro Bobanović","Paunovac 0
12421 Imotski"
"Ana Stiperski","Kozarčev vijenac 5a/8
92480 Vukovar"
"Marin Dražić","Radnički dol 9c
43202 Korčula"
"Đurđica Maćešić","Rockefellerova 6b/4
55987 Đakovo"
"Ante Sabljak","Strossmayerovo šetalište 1a
20337 Opatija"
"Nataša Klarić","Mašekova 8a/7
66477 Vodnjan"
"Darko Rendulić","Petrova 8
05394 Hvar"
"Vera Poropat","Demetrova 479
10987 Rovinj"
"Anita Derežić","Grič 44
19215 Hvar"
"Andrea Šoštarić","Kraljevečki ogranak 0b/2
29399 Nin"
"Mateja Plažanin","Male 5b
97597 Daruvar"
"Antonio Vretenar","Mašekova 8a/0
63793 Poreč"
"Slavko Mikulec","Višnjica 2a
77320 Orahovica"
"Albina Gotić","Tuškanac 4b/1
91098 Buzet"
"Mihael Abičić","Zvonarnička 3b
27663 Obrovac"
"Mario Ercegović","Tkalčićeva 83
79879 Mali Lošinj"
"Mia Husnjak","Voćarska 121
45896 Hvar"
"Mladen Alković","Glogovac 0c/2
60551 Klanjec"
"Anita Fabijanić","Kraljevečki odvojak 6a/7
13863 Knin"
"Fran Godinić","Grič 9c
09036 Slavonski Brod"
"Lovre Babić","Slavujevac 23
51923 Popovača"
"Danica Jonjić","Opatička 3a/5
24690 Čazma"
"Franciska Kligl","Srebrnjak 2c/3
77621 Ivanec"
"Danijela Botica","Krležin gvozd 000
02301 Popovača"
"Marijana Živković","Dvoranski prečac 0a/0
42680 Vrlika"
"Alen Gudelj","Goljačke 3a/0
77369 Rovinj"
"Kata Norac","Bijenička 3c
41518 Vrbovec"
"Juraj Rastija","Šestinski vrh 2a
78270 Ozalj"
"Anita Grubišić","Glogovac 4
70310 Pula"
"Leon Peharda","Dvoranski prečac 419
48410 Otok"
"Lidija Vuković","Bakačeva 473
37681 Slavonski Brod"
"Milka Pozder","Mihaljevac 6b/7
95105 Pula"
"Anita Krčelić","Jadranska 1c
30098 Supetar"
"Biserka Klanac","Ksaver 5c/5
39703 Hvar"
"Ilija Forjan","Paunovac 7
47841 Novigrad"
"Mirko Marković","Vijenac 96
76199 Supetar"
"Biljana Jurković","Hercegovačka 7c/2
53284 Bjelovar"
"Igor Markuš","Krležin gvozd 02
12851 Kaštela"
"Anita Kadija","Šilobodov put 10
90610 Čakovec"
"Branka Glasnović","Streljačka 1a
12381 Benkovac"
"Joško Sinožić","Tkalčićeva 9
27524 Ivanec"
"Barica Dobrić","Pod zidom 4a/5
18305 Vodnjan"
"Jozo Škrtić","Zamenhofove 4c/2
24463 Vis"
"Ilija Komar","Tošovac 3a
16305 Opuzen"
"Ivana Blažek","Zelenjak 9a
01175 Osijek"
"Jana Čop","Paunovac 4
59546 Pula"
"Marin Obradović","Dvoranski prečac 10
61142 Obrovac"
"Boris Jakupić","Vončinina 9b/0
22641 Sveti Ivan Zelina"
"Anita Maričević","Magdićeve 6a
49183 Krk"
"Rudolf Komljenović","Mašekova 2a/8
35549 Našice"
"Laura Markuš","Klanac Grgura Tepečića 013
89016 Kastav"
"Mate Perak","Medveščak 5b/3
38697 Pregrada"
"Barbara Maloča","Šilobodov put 9c
76077 Novi Marof"
"Jele Kos","Hercegovačka 1
49111 Slavonski Brod"
"Ivan Šimičić","Kaptol 25
64398 Korčula"
"Mladen Peterlik","Harmica 8
40066 Pazin"
"Maja Matijaš","Kraljevec II. 187
63227 Belišće"
"Ivica Vela","Davor 4a/1
60923 Popovača"
"Anita Miloslavić","Podgaj 6a/5
77790 Beli Manastir"
"Karla Moscarda","Magdićeve 9
24571 Hrvatska Kostajnica"
"Kate Rukavina","Voćarska 4c/5
70993 Supetar"
"Željko Hadžić","Wickerhauserova 93
53834 Split"
"Nada Hrabar","Grič 535
12101 Vrbovec"
"Lara Blažičko","Nemetova 7a
02473 Našice"
"Mateja Mamula","Kamenjak 1c/8
18109 Varaždinske Toplice"
"Anđela Milina","Ružičnjak 433
83113 Vinkovci"
"Zoran Dretvić","Klanac Grgura Tepečića 320
58215 Vis"
"Danijel Brajković","Rikardove 7b
40306 Velika Gorica"
"Anita Nikolić","Petrova 1a
89586 Ilok"
"Đuro Husnjak","Kraljevec 0b
14354 Virovitica"
"Antun Colić","Bosanska 3a
75176 Otok"
"Lucija Matijaš","Goljačke 0b/4
22553 Bakar"
"David Penić","Jurkovićeva 5a/8
86173 Varaždinske Toplice"
"Lucija Vugec","Opatička 0b/0
12234 Makarska"
"Ivka Žagar","Visoka 9c/7
23854 Osijek"
"Anita Dolić","Medvedgradska 3a/6
13907 Čakovec"
"Antonio Crevar","Demetrova 6c
05164 Donji Miholjac"
"Franciska Jurišić","Male 53
55170 Sveta Nedelja"
"Anita Poslon","Čačkovićeva 318
44551 Supetar"
"Katica Soldo","Voćarsko naselje 4b/5
32991 Petrinja"
"Maria Kahlina","Jurkovićeva 2c
81790 Gospić"
"Anđela Lukša","Perivoj srpanjskih žrtava 2a
76671 Krk"
"Mira Škara","Rokova 8b
50618 Bakar"
"Luka Veić","Nemetova 4
86535 Makarska"
"Pavao Stolnik","Orlovac 8b
72529 Donja Stubica"
"Slavko Barac","Srebrnjak 7b/7
42815 Glina"
"Jure Franušić","Šumski prečac 61
15328 Donji Miholjac"
"Marija Kligl","Jagodnjak 6b/0
71878 Virovitica"
"Anita Stojnić","Mesnička 2c
40962 Vodnjan"
"Tatjana Šipić","Javorovac 6a/9
37601 Zadar"
"Tea Popović","Klanac Grgura Tepečića 8
90594 Sveti Ivan Zelina"
"Ivana Merkaš","Jabukovac 8a/0
39875 Cres"
"Matej Gegić","Zamenhofova 8a/8
76014 Otok"
"Iva Poropat","Novi Goljak 86
30626 Čakovec"
"Dora Sabol","Bakačeva 3b/1
66196 Čabar"
"Martin Fabijanić","Davor 2a
16906 Sisak"
"Marija Paparić","Jurišićeva 5a/8
96724 Pregrada"
"Mijo Gržinčić","Jurjevska 4c
10706 Vodnjan"
"Anita Tomičić","Horvatovac 4a/9
86875 Zaprešić"
"Anđa Trnski","Vijenac 1b/9
34385 Zaprešić"
"Jure Sokić","Krvavi most 6
58207 Garešnica"
"Nevenka Birtić","Kozarčev vijenac 4b
80550 Metković"
"Stana Kovačević","Tuškanac 1a
77835 Benkovac"
"Joso Bogdan","Bučarova 4
08203 Orahovica"
"Tomislav Botica","Visoka 0
91251 Sveta Nedelja"
"Anton Trnski","Jadranska 1c/1
63278 Oroslavje"
"Ruža Jovanovac","Dolac 6b/8
49538 Ogulin"
"Mladen Bingula","Radnički dol 1c
82556 Delnice"
"Anita Vrban","Bučarova 9a/0
00143 Orahovica"
"Milka Jovanovac","Gupčeva zvijezda 5b
72622 Ilok"
"Nenad Labaš","Goljačke 324
83017 Koprivnica"
"Ivka Abičić","Perivoj biskupa Stjepana II. 8c
14149 Virovitica"
"Božo Koščević","Cmrok 8b/6
63250 Ozalj"
"Dino Topić","Dolac 8a/9
26278 Makarska"
"Matija Jukić","Istarska 6a
67039 Opatija"
"Zvonko Volarević","Cmrok 30
92850 Pazin"
"Anka Čiš","Istarska 439
50605 Pregrada"
"Milica Lukić","Ribnjak 5c
15986 Zabok"
"Anka Baljak","Kraljevec II. 1a/9
17128 Sisak"
"Franjo Vidov","Horvatovac 9c/6
98864 Omiš"
"Ankica Lasić","Ksaver 0c/3
44139 Vinkovci"
"Rozalija Vugec","Medvedgradska 4b
80465 Hrvatska Kostajnica"
"Mate Vozila","Streljačka 3b/7
11559 Trilj"
"Denis Perkov","Istarska 1c/2
85790 Ilok"
"Dino Polović","Jurišićeva 9c/8
31595 Zabok"
"Mislav Glavor","Čačkovićeva 9c
69928 Sveti Ivan Zelina"
"Antonio Kosić","Kozarčev vijenac 2a
03712 Crikvenica"
"Ljiljana Crneković","Bakačeva 1c/4
26892 Kutina"
"Anka Bezić","Medvedgradska 5b/1
79282 Ludbreg"
"Dejan Terzić","Kamenjak 9b/7
57929 Samobor"
"Dragutin Bezić","Medvedgradska 82
86237 Biograd na Moru"
"Jadranka Krželj","Vončinina 64
57738 Makarska"
"Mateja Martinović","Zavojna 1c
17119 Hrvatska Kostajnica"
"Mihael Marinović","Grič 783
95137 Karlovac"
"Božena Gotić","Podgaj 5b/2
27215 Đakovo"
"Martin Eršek","Demetrova 7
83377 Imotski"
"Božena Madunić","Mesnička 0b/5
91362 Ivanec"
"Sara Dretvić","Orlovac 4a/1
96101 Vinkovci"
"Anka Grba","Jurkovićeva 6b
67837 Imotski"
"Aldo Skupnjak","Ksaverska 9c
27702 Kastav"
"Danijel Ljubić","Mašekova 0c/2
11400 Lepoglava"
"Janko Gredičak","Mašekova 9a/3
04515 Korčula"
"Marija Urlić","Šumski prečac 8c/6
42360 Opuzen"
"Toni Bošnjak","Čačkovićeva 5b/3
17166 Virovitica"
"Zoran Novak","Tošovac 386
29373 Vodnjan"
"Valentina Prtenjača","Tuškanac 2b/5
28860 Grubišno Polje"
"Marko Božanić","Slavujevac 827
75268 Krapina"
"Mia Urlić","Mesnička 0b/8
98040 Kutina"
