"Άγγελος Βουτσελας","Ναούμ 22,
ΤΚ 25983 Λαμία"
"Ναθαναήλ Μόναχας","Πάρ. Καλυβών 45,
ΤΚ 83313 Σάμος"
"Δημήτρης Κουλίζος","Ανύδρου 10,
ΤΚ 65538 Σάμος"
"Λάσκαρης Γεωργακόπουλος","Λεπρέου 88,
92015 Βέροια"
"Παντελεήμων Καλαργυρός","Λεωφ. Βλαχατάνου 392,
01220 Έδεσσα"
"Γλαύκη-Σουλτάνα Κουφάκη","Λεωφόρος Σιμιάδων 268,
09422 Κιλκίς"
"Αθηνόδωρος Λιόλιος","Ωρολογίου 6,
15951 Πολύγυρος"
"Ευγενία Φιλιάγκου","Κόλλια 812,
ΤΚ 95368 Κόρινθος"
"Σόλων Μαντάς","Καμινακίου 05,
43214 Αθήνα"
"Ίκαρος Λυγκούρας","Καλογήρων 28,
82240 Πρέβεζα"
"Λευκοθέα Μποτζιώρη","Αγνάντης 34,
89269 Φλώρινα"
"Ξανθίππη Κυρίτση","Ανατολικού 630,
ΤΚ 753 19 Κοζάνη"
"Αλεξάνδρα Τσάκη","Γούλα 35-93,
65652 Λευκάδα"
"Δομήνικος-Ευτύχιος Κουλουριώτης","Λουσικών 13,
42338 Λιβαδιά"
"Θεώνη Κυργιά","Πλατεία Πλατανόβρυσης 55,
548 15 Μεσολόγγι"
"Θεολογία-Νερατζιά Σιούτα","Πετσιά 98,
ΤΚ 78620 Ζάκυνθος"
"Έλλη Βαΐου","Μυριοκεφάλων 384-123,
040 78 Δράμα"
"Λουδοβίκος Μπουρλής","Ευαγγελιστρίας 28,
48792 Τρίκαλα"
"Ορφέας Γκότσης","Ασπροπουλιάς 52,
ΤΚ 67148 Βέροια"
"Ίκαρος Μάρρας","Τετραλόφου 73,
735 50 Μυτιλήνη"
"Ζηναϊς Δελή","Φτελιάς 1,
ΤΚ 304 26 Χανιά"
"Ιακωβίνα-Στεργιαννώ Τζιρατούδη","Πιτσίου 759,
180 14 Σπάρτη"
"Ασημής Σπάλας","Καρδαρά 539-262,
66271 Λάρισα"
"Αριστέα Παπαευαγγελίου","Αρδόσεως 90,
47260 Κομοτηνή"
"Κατερίνα Σοκολάκη","Δωρίου 490-993,
ΤΚ 68785 Βόλος"
"Άννα Κωνσταντινίδου","Τενέδου 036-678,
642 71 Λευκάδα"
"Εφραίμ Χρυσίδης","Χατζή 42,
73886 Χαλκίδα"
"Βερονίκη Παπανώτα","Ξένου 192-590,
ΤΚ 044 59 Σπάρτη"
"Σεβαστιανή Μπραέσα","Βατατάδων 0,
08204 Χαλκίδα"
"Ίκαρος Μασγαλάς","Χρυσοκελλαριάς 5,
ΤΚ 37990 Μυτιλήνη"
"Ασημάκης Μακρής","Μαρτζούκου 1,
36084 Καρδίτσα"
"Ανατολή Τζιρατούδη","Ιλίου 848,
ΤΚ 06322 Χανιά"
"Θεοδώρα-Αλεξία Χαντζή","Ζόλων 51,
82691 Πρέβεζα"
"Μαρωτέσα Ενωτιάδη","Καππά 18-34,
ΤΚ 932 58 Ξάνθη"
"Αποστολία Τσιομπάνη","Βιλιβίνης 40,
39742 Ηγουμενίτσα"
"Πούλια Μιχαηλίδου","Κουκουθάκη 753-075,
ΤΚ 09251 Φλώρινα"
"Θρασύβουλος Καπατσώρης","Λίππας 06,
ΤΚ 22435 Δράμα"
"Ασκληπιός Κουρσουμίδης","Μελιγαλά 2,
54975 Καρπενήσι"
"Αλέξανδρος Κουτεντάκης","Σιταίνης 19,
24127 Σέρρες"
"Ίρις Παπαδήμα","Φιλιάγκου 9,
ΤΚ 385 88 Αργοστόλι"
"Ευστρατία Ζαφείρη","Μηλιάκη 533-778,
ΤΚ 76403 Ηγουμενίτσα"
"Λεωνιδιά Χονδρούδη","Χρύσως 81-06,
96770 Λάρισα"
"Λυδία Πανοπούλου","Καρπερής 92,
ΤΚ 755 24 Άρτα"
"Αστέριος Κουκλατζής","Πολυδένδρου 862,
21733 Χίος"
"Πολύδωρα Μαρουγιάννη","Κουνουπιδιανών 99,
77473 Καρπενήσι"
"Εύκλεια Χριστοφόρη","Κεφάλου 22-09,
404 22 Σέρρες"
"Δροσιά Μπότζα","Πάροδος Σταθμού Μουριών 060-068,
ΤΚ 225 35 Κομοτηνή"
"Ιγνάτιος Αθανασόπουλος","Πάροδος Καλιπάδου 423-193,
ΤΚ 392 31 Ζάκυνθος"
"Αντίπατρος Λυμπέρης","Πάροδος Βρουχά 6,
537 08 Χίος"
"Ίων Τσιάκος","Λεωφόρος Σπιταλίου 48-59,
56044 Αγ. Νικόλαος"
"Κυδωνία-Μαριάνθη Γιαννοπούλου","Ολύμπου 10,
36930 Αλεξανδρούπολη"
"Αριστέα Μαυρίδου","Καλιπάδου 9,
64089 Καλαμάτα"
"Μελέτια Καλαϊτζοπούλου","Πάρ. Αμιρά 39,
38289 Λάρισα"
"Παύλος Νανούρης","Πάροδος Ελικίστρας 3,
ΤΚ 317 54 Λαμία"
"Ναταλία Γαλανοπούλου","Λεωφ. Προσοτσάνης 29,
227 64 Ναύπλιο"
"Κυπριανή Δρόσου","Μιχαλάρου 7,
14252 Ηγουμενίτσα"
"Ζησούλα Σιδηροπούλου","Αναφωνητρίας 97,
79148 Λάρισα"
"Κυπαρισσία Μασίκα","Βελεσιωτών 18,
40425 Μεσολόγγι"
"Ρόζα Αθανασιάδου","Φραγκιαδάκη 897-815,
ΤΚ 897 27 Τρίκαλα"
"Όθων Παππάς","Αρτεσιανού 26,
ΤΚ 80393 Καλαμάτα"
"Μαύρος-Σωτήρης Καρανίκας","Ανάβρας 37-66,
ΤΚ 665 70 Μυτιλήνη"
"Ραχήλ-Αδαμάντιος Γιωτάκης","Σιγουνίου 22,
51415 Ξάνθη"
"Μιχαήλ Βαβουλίδης","Κρυονερίου 8,
000 49 Γρεβενά"
"Αργυρώ Κατσούλα","Ξηροτύρη 48,
34569 Αλεξανδρούπολη"
"Ιωσηφίνα Στούμπου","Πλατεία Μαυροκκλησίου 8,
740 31 Σέρρες"
"Σαλώμη Καμπούρη","Ζαχλωριτίκων 855-460,
16383 Κόρινθος"
"Λυγερή Νάσσου","Βέργας 5,
ΤΚ 24415 Καστοριά"
"Κοσμάς Χατζόπουλος","Σκανδάλου 953,
60330 Ζάκυνθος"
"Παναγιώτα Παρασκευά","Ερμακιάς 52-17,
553 57 Σέρρες"
"Όλγα Παπαευαγγέλου","Ωρωπού 12,
265 89 Κομοτηνή"
"Ευαγγελία Ξηροτύρη","Μπατζάνη 61,
57845 Αγ. Νικόλαος"
"Ιφιγένεια Μενγκ","Ρυακίου 302,
967 20 Λευκάδα"
"Αννίκα-Λασκαρίνα Καπανταϊδάκη","Νεριανών 10,
ΤΚ 747 93 Καρδίτσα"
"Χριστόφορος Σφούνης","Μάλθης 29,
ΤΚ 12976 Καρδίτσα"
"Παναγιώτης Τακαντζάς","Ματσουκίου 25,
74571 Ναύπλιο"
"Κυπαρισσία-Φιλίππα Σαλέμη","Λεωφόρος Φανού 400,
446 93 Λαμία"
"Ιφιγένεια Λιναρδάκη","Μιλέα 500-547,
ΤΚ 61952 Καρδίτσα"
"Πραξιτέλης Πιτσολής","Αράξου 10-14,
ΤΚ 686 48 Κόρινθος"
"Πολύκαρπος Αλατζάκης","Λεοντίτου 488,
87256 Κατερίνη"
"Όλγα Χιωτίδου","Πατιοπούλου 5,
ΤΚ 515 93 Δράμα"
"Βικτόρια Χονδρούδη","Πάροδος Υπάτου 454,
43277 Καβάλα"
"Χάρις Παπαδημητριάδης","Αποδούλου 39,
89244 Καστοριά"
"Θηρεσία Σπασέγκου","Σωτήρας 95,
27813 Αλεξανδρούπολη"
"Κυδωνία-Σταυρούλα Κατσιλλή","Γεωργιανών 694-694,
294 13 Κόρινθος"
"Παράσχος Μπαγανάς","Παλαιοχωρίου Τυμφρηστού 545,
64738 Σάμος"
"Κωνσταντία Καπουρνιώτη","Πλατεία Λαγορράχης 5,
18778 Ρόδος"
"Πλούταρχος Λιούτας","Πάρου 47,
63181 Πρέβεζα"
"Θεοχάρης Κορδατζής","Πάρ. Φτέρης 30,
73346 Καστοριά"
"Γιαννούλα Βακουφτσή","Προδρόμου 362,
045 66 Ναύπλιο"
"Αίας Βακαλάκης","Πουρναριάς 54,
416 84 Καρπενήσι"
"Τρυφωνία Πανταζή","Μεξιατών 274-430,
20292 Χανιά"
"Ανανίας Καρακάξης","Σελίνου 80,
60543 Χαλκίδα"
"Ευγενία Ξένου","Χριστοφόρη 35,
95277 Άρτα"
"Χάρις Κονιδάρης","Παρανεστίου 88,
ΤΚ 649 16 Κομοτηνή"
"Λουίζα-Ακριβή Μπακουλή","Χατζηφώτη 461,
ΤΚ 314 31 Κατερίνη"
"Ζησούλα Χατζηφώτη","Σεβαστού 77,
03742 Πάτρα"
"Ηλέκτρα-Ευρυδίκη Καλογιάννη","Λεωφ. Σαντομερίου 9,
97613 Πάτρα"
"Βενετία-Πολύμνια Λιάκου","Βελιών 1,
554 25 Χαλκίδα"
"Ανάργυρη Φαββάτα","Λεωφ. Θίσβης 27-88,
ΤΚ 772 67 Φλώρινα"
"Αίας-Λάζαρος Βαλτάς","Καλυβακίων 63,
81881 Μυτιλήνη"
"Σωτήρης Αλαφάκης","Ρούσσας Εκκλησίας 8,
ΤΚ 870 96 Πάτρα"
"Τιμοθέα Δημακογιάννη","Λεωφ. Πεμονίων 29,
ΤΚ 013 65 Φλώρινα"
"Ιγνάτιος Λαζαρίδης","Καρνασίου 9,
15060 Καλαμάτα"
"Χαρίλαος Γκότσης","Δίου 203-661,
632 15 Καρδίτσα"
"Τρυφωνία Δρακάκη","Σάγκα 54,
19360 Λάρισα"
"Πολυχρόνιος-Αθανάσιος Ράλλης","Παπανικολάου 1,
758 60 Φλώρινα"
"Δαμιανή-Πολύβια Σμιτ","Πάροδος Πλαγιάς 26,
26222 Καρπενήσι"
"Πελοπίδας-Αυξέντιος Μανουσέλης","Καραμάνη 66,
ΤΚ 531 24 Θεσσαλονίκη"
"Μελένια Τσιπλίκωφ","Μιλέα 35,
ΤΚ 93287 Κιλκίς"
"Αβραάμ Πάντος","Δωρίου 12,
669 15 Κέρκυρα"
"Προμηθέας Μάνδαλος","Πατερμά 82,
930 40 Ρέθυμνο"
"Τιμόθεος Τζέκος","Βράχας 21,
97316 Σάμος"
"Σωτηρία Πετρίδου","Δραπανιά 7,
ΤΚ 261 54 Καρδίτσα"
"Μαργιέττα Τάντου","Λάκκας 56,
38951 Λαμία"
"Λαμπρινή Τσίμη","Καλαμιάς 56,
893 34 Λιβαδιά"
"Ορφέας Τσακανίκας","Κλινδιάς 06,
ΤΚ 99056 Μεσολόγγι"
"Σπάρτη Τόμπρη","Ελαιοφύτου 74,
00405 Χαλκίδα"
"Νεόκλεια Κοντογιάννη","Κάστρου 04,
67520 Κατερίνη"
"Γιάννης Τσώνης","Κουρτεσίου 642-336,
04193 Σπάρτη"
"Αβραάμ Παπαδημητριάδης","Βροχίτσης 296,
ΤΚ 041 95 Φλώρινα"
"Παντελεήμων-Αβραάμ Μάστορας","Λεωφ. Χαριτωμένης 44-94,
43391 Καρδίτσα"
"Μαργαρίτα Νώε","Ηλιοχωρίου 649,
967 99 Φλώρινα"
"Αχιλλεία Κατσαντώνη","Αμαράντου 245,
ΤΚ 033 20 Άμφισσα"
"Σταυρούλα Πεμούση","Χαλκιάδων 885,
52445 Δράμα"
"Στεργιανή Παπαευαγγελίου","Πλατεία Μακρινής 91-12,
14563 Ιωάννινα"
"Σωζούσα Χρήστου","Λεωφ. Θολοποταμίου 62,
61309 Μεσολόγγι"
"Χρυσοβαλάντου Αποστολίδου","Πλ. Κρυφοβού 486,
96776 Καλαμάτα"
"Θωμαίς Βαζούρα","Σιάνων 9,
34059 Ξάνθη"
"Φλοριάντ Κοντός","Παπανάνου 65,
25506 Θεσσαλονίκη"
"Αγάθη-Βάγια Ξενίδη","Χονδρούδη 30-06,
541 30 Ρέθυμνο"
"Ρόζα Κυρούδη","Νικόπολης 9,
ΤΚ 12211 Δράμα"
"Φραντζέσκα Κασσωτάκη","Δουκαναιίκων 8,
ΤΚ 79693 Άρτα"
"Κωνσταντίνα Μαρτιάδου","Ξανθοπούλου 30,
ΤΚ 502 02 Ηγουμενίτσα"
"Βαλέριος Βαμβακάς","Γεωργίτση 83,
36807 Άρτα"
"Σόλων Τζινιέρης","Ελευθερίου 036-745,
09867 Μεσολόγγι"
"Βαρθολομαίος-Ισίδωρος Καραγρηγορίου","Πάροδος Καλυβίων Μυρτουντίων 8,
38459 Ξάνθη"
"Αντύπας Γαρυφαλίδης","Χαράς 85-32,
18923 Βέροια"
"Ναθαναήλ Βανδώρος","Λεωφόρος Βαθυτόπου 32,
69553 Χαλκίδα"
"Δαβιδούλα Μπατζάνη","Μαυρικίου 2,
644 51 Ρέθυμνο"
"Αγάθη-Μαρκέλλα Βαλσαμίδου","Πάρ. Καρυοβουνίου 8,
195 69 Χανιά"
"Παντελία Ζαρζάνη","Κοπανακίου 36-33,
998 12 Καλαμάτα"
"Ταξίαρχος Τσιρώνης","Καλλυντήριον 51,
ΤΚ 20543 Ναύπλιο"
"Συμεώνη Παπακώστα","Φάρσων 69,
ΤΚ 453 34 Πρέβεζα"
"Αντύπας Μανουσιάδης","Τζιόβα 9,
788 40 Ξάνθη"
"Ασημούλα Μανουσοπούλου","Οικονόμου 04,
79110 Κατερίνη"
"Φιλοθέη Ντανώλα","Μεγάλου Δουκάτου 56,
ΤΚ 46366 Μυτιλήνη"
"Μαγδαληνός Πετρογιάννης","Αρματά 913-013,
ΤΚ 340 67 Ρέθυμνο"
"Αριστείδης Βασιλάκης","Λυκουδίου 39-28,
333 37 Μεσολόγγι"
"Ματθαίος Μαυρομμάτης","Κρήνης Αιγιαλείας 14-39,
627 44 Πρέβεζα"
"Αγάπη Κόλλια","Αποστολιά 53,
ΤΚ 07774 Κοζάνη"
"Ησαΐας Κακοσαίος","Τραπέζης 55-41,
ΤΚ 207 71 Λαμία"
"Έλλη Γεωργιάδου","Αλιάρτου 008,
10669 Χίος"
"Αριάδνη Χαλαντζούκα","Σκεπαστού 87,
70908 Χαλκίδα"
"Αδαμαντία-Στέλλα Αβραμίδου","Παγώνδου 18,
39895 Ιωάννινα"
"Μελίνα Τσαντίδου","Βλασίας 26,
687 18 Σάμος"
"Ανθούλα Χορόζη","Πάροδος Δήμητρας 44,
ΤΚ 97482 Ρέθυμνο"
"Νομική Πρέκα","Γρανίτσης 820,
71793 Ρόδος"
"Ήλια Τζαναβάρα","Συνδένδρου 5,
ΤΚ 96335 Σπάρτη"
"Αρχέλαος Νασιόπουλος","Πολοβίτσης 98,
67750 Ιωάννινα"
"Αγάπιος Κατσίφος","Πλ. Διλόφου 76-25,
ΤΚ 114 22 Σέρρες"
"Μενέλαος Βολικάκης","Μαυρομμάτας 4,
ΤΚ 24950 Σέρρες"
"Φωτεινός Βώσσος","Πλατεία Δομίρου 627-594,
ΤΚ 03386 Τρίκαλα"
"Λύσανδρος Μίσχος","Χαλκιά 741,
197 94 Έδεσσα"
"Θεοδότη Μαργαρίτη","Βαλκάνου 276-921,
ΤΚ 513 14 Τρίκαλα"
"Κωστούλα-Θεολογία Παλιούρα","Συκολόγου 52-14,
ΤΚ 39092 Ρόδος"
"Ιερεμίας Ζηδιανάκης","Αμαξάδων 21,
39646 Πάτρα"
"Αγαμέμνων Βασιλάκης","Σμέρνας 77-34,
ΤΚ 153 73 Σέρρες"
"Αιμιλιανός Γάτος","Αγίου Ονουφρίου 7,
66949 Θεσσαλονίκη"
"Στυλιανός Βαβουλίδης","Τρυπητής 916,
955 23 Καβάλα"
"Αγάπιος Πατμανίδης","Ομαλών 59-26,
25778 Αργοστόλι"
"Σταμάτης Καστάνης","Βάρης 338,
256 13 Αλεξανδρούπολη"
"Ιερώνυμος-Έκτορας Κωνσταντάς","Λεωφ. Μελισσουργών 60,
ΤΚ 67025 Βέροια"
"Μαριάννα-Κασσιανή Σταμέλου","Χατζηδάκη 35,
ΤΚ 438 40 Κέρκυρα"
"Σεμίνα Βερβερίδου","Λιαπάδων 70-92,
44076 Καρπενήσι"
"Ευανθία Χιωτίδου","Τεμενίων 40,
13375 Λιβαδιά"
"Ήρα Τουρνά","Πάροδος Καμπανού 48,
ΤΚ 00231 Λάρισα"
"Ερωτόκριτος Βαϊτσόπουλος","Καταβόθρας 9,
297 88 Μυτιλήνη"
"Πολύκαρπος Κωσταλής","Μπεκάκου 73-57,
20774 Ιωάννινα"
"Γλυκερία Βαγενά","Πανδρόσου 9,
48546 Λευκάδα"
"Αγάπιος-Πάτροκλος Νικολαΐδης","Παναγιωτακοπούλου 9,
046 04 Βόλος"
"Κλαίρη Μπιμπίκα","Σιμητοπούλου 081,
11854 Καρπενήσι"
"Βιργινία-Δούκισσα Μοσχοβάκη","Μυροδάφνης 0,
38423 Φλώρινα"
"Αθηναγόρας Μπερμπατιώτης","Ευδήλου 74,
ΤΚ 69965 Σπάρτη"
"Αγαθή Μπαλαμπάνη","Πλατεία Σίδερης 28,
ΤΚ 08254 Ξάνθη"
"Δράκων Λαφατζής","Ντόβα 9,
751 29 Βέροια"
"Αρετή Γαλανοπούλου","Λυμαξή 3,
ΤΚ 24125 Λευκάδα"
"Καλυψώ Αποστολίδου","Γεωργούλα 25,
658 23 Μεσολόγγι"
"Νίκη-Θεοφίλη Φασουλή","Συκαμινέας 921,
92296 Μυτιλήνη"
"Τίτος Σταμάτης","Καστανώνος Ζαγορίου 83-88,
ΤΚ 386 51 Ηγουμενίτσα"
"Αγαθάγγελος Βιτσαξής","Χωριανοπούλου 7,
74650 Έδεσσα"
"Αμφιθέα Καλούδη","Αρχαίας Φενεού 2,
23904 Έδεσσα"
"Σαράντης Μαραγκός","Κοχύλου 50,
30763 Ηγουμενίτσα"
"Υπαπαντή Κωνσταντοπούλου","Πλ. Παρθενίου 503,
22105 Αθήνα"
