"Ѓорги Велков","Крушевска 509
37695 Битола"
"Милена Донева","Глигор Прличев 0б/5
58199 Куманово"
"Г-ца Иванка Иванова","Николај Коперник 0а/5
01336 Кичево"
"Проф. Василка Гавриловска","Крушевска 990
75099 Битола"
"Цветанка Лазаревска","Булевар Никола Карев 7б
33458 Гостивар"
"Јовче Иванов","Перо Наков 712
70149 Виница"
"Гоце Лазов","Јован Хаџи Константинов Џинот 349
45564 Македонски Брод"
"Проф. Ристо Бојаџиев","Гоце Делчев 7
66008 Гевгелија"
"Г-н Игор Тодоровски","Христијан Тодоровски Карпош 4
86608 Куманово"
"Сузана Марковска","Перо Наков 30
07585 Пробиштип"
"Василка Коцева","Стоби 8в
81022 Струмица"
"Др. Анита Дешановска","Гоце Делчев 2б/0
66469 Демир Капија"
"Борис Николов","Луј Пастер 0в
23915 Богданци"
"Сузана Арсовска","Климент Охридски 352
91926 Пробиштип"
"Др. Александра Донева","Софиска 4б
96372 Кавадарци"
"Јовче Климовски","Ленинградска 73
03041 Кичево"
"Др. Гордана Ристовска","Зелезничка 0а
58727 Дебар"
"Г-н Емил Климовски","Лондонска 414
12791 Пробиштип"
"Г-ца Лилјана Георгиева","Васил Главинов 2б
77870 Битола"
"Проф. Ѓорче Ѓоргиев","Крушевска 1б
12323 Виница"
"Проф. Жарко Шакири","Пролетерска 810
48957 Битола"
"Роза Николовска","Крушевска 8а/4
88409 Демир Хисар"
"Јане Јовановски","Булевар Партизански одреди 8
21634 Македонска Каменица"
"Др. Андреј Лазов","Илинденска 6б
40391 Свети Николе"
"Др. Влатко Николовски","Будимпештанска 2а/6
56960 Тетово"
"Јовче Спасовски","Свети Климент Охридски 67
71655 Кочани"
"Сара Апостолова","Едвард Кардељ 1в
14633 Радовиш"
"Филип Георгиев","Тодор Александров 6в
26168 Гостивар"
"Др. Јасмина Климовска","Радовишка 382
77751 Демир Хисар"
"Алексеј Коцев","Гоце Делчев 5в
87610 Демир Капија"
"Тихомир Бојаџиев","Перо Наков 3а/6
98598 Демир Хисар"
"Г-ѓа Надица Климовска","Востаничка 5б/6
38631 Берово"
"Душан Стојановски","Бриселска 9б/5
00394 Ресен"
"Трајче Николов","Никола Вапцаров 7а/7
02829 Струга"
"Др. Ѓорги Гроздановски","Булевар Никола Карев 3а
91607 Кратово"
"Јовче Шакири","Крушевска 6в
13657 Делчево"
"Др. Бранко Матевски","Михаило Апостолски 7в
70721 Скопје"
"Дарко Арсовски","Востаничка 1а
73343 Пробиштип"
"Проф. Сузана Спасовска","Зелезничка 8а/0
29026 Македонски Брод"
"Момчило Бојаџиев","Перо Наков 7
88843 Струга"
"Ангела Велкова","Македонија 9б/3
38849 Крива Паланка"
"Проф. Гоце Велјанов","Лондонска 3в
50421 Богданци"
"Проф. Васил Велјанов","Ленинградска 3а
28041 Ресен"
"Трајче Чулев","Букурешка 5б/3
51577 Куманово"
"Сузана Николова","Благој Давков 9а/4
98799 Пехчево"
"Александар Јовановски","Дојранска 7б
60718 Виница"
"Проф. Крсте Спасов","Кеј Димитар Влахов 4б
36685 Кичево"
"Г-ца Димка Дешановска","Георги Димитров 7б
57324 Берово"
"Борче Дамјановски","Ленинградска 8б
27238 Дебар"
"Мартина Бојаџиева","Хелсинки 1а
38006 Радовиш"
"Весна Михајловска","Благој Давков 165
64393 Валандово"
"Др. Нина Петровска","Трета македонска бригада 1в
54317 Пехчево"
"Михаил Јовановски","Лондонска 9а
93012 Гостивар"
"Проф. Драган Илиев","Тодор Александров 433
58609 Кичево"
"Др. Нина Мојсова","Скупи 3б/4
51957 Демир Капија"
"Александар Донев","Самоилова 5
25941 Гевгелија"
"Проф. Наум Мојсов","Славеј Планина 0б/9
60354 Штип"
"Видое Илиев","Природна 1б/7
98954 Неготино"
"Сашо Дешановски","Букурешка 3в
06572 Охрид"
"Проф. Тијана Велјанова","Шарпланинска 0а
65537 Демир Капија"
"Митко Јовчев","Македонија 4б
34307 Делчево"
