"Adriana Almeida","Av Leal, 59
8518-401 Funchal"
"Rafaela Macedo","R. de Neves, 70
7843-513 Seixal"
"Alexandre Silva","Av Lara Vicente, 196
2889-519 Póvoa de Santa Iria"
"Juliana Melo","R. de Guerreiro, 48
8610-650 Vila do Conde"
"Renata Leal-Lourenço","R. de Loureiro, 400
9119-462 Amarante"
"Mauro Pinheiro-Nogueira","Largo da Praia da Galé, 11
9579-551 Fafe"
"Kyara Guerreiro","Rua do Calhau, 1
1934-626 Reguengos de Monsaraz"
"Carolina-Mia Valente","Travessa Luana Lima, 893
6379-790 Mealhada"
"Francisco Cunha","Av de Macedo, 321
9265-489 Vila Nova de Foz Côa"
"Rúben Fernandes","R. Fonseca, 21
8971-258 Ourém"
"João Abreu","Rua Moreira, 192
1566-361 Peniche"
"Luísa Moura","R. de Faria, 99
8438-197 Beja"
"Alexandre Vaz-Amaral","Praça Moreira, 46
7249-819 Gouveia"
"Ana Vieira","Largo do Beato, 7
5685-562 Fundão"
"Laura Antunes","Avenida Bryan Cunha, 31
7506-794 Mirandela"
"Emma Baptista","Largo Soares, 40
4733-852 Gondomar"
"Gaspar Machado","Praça Kelly Santos, 68
6300-080 Montijo"
"Mélanie Ribeiro","Alameda Filipa Pinto, 1
4763-756 Horta"
"Leandro de Nunes","Rua André Carvalho, 63
2527-677 Santarém"
"César do Teixeira","Rua Rocha, 77
1982-082 Rio Maior"
"Margarida Pinho","Praça Melissa Tavares, 65
9452-709 Montijo"
"Emília Correia","R. Sul do Bairro da Encarnação, 46
3140-084 Rebordosa"
"Alexandre da Maia","Alameda Guerreiro, S/N
1992-124 Tomar"
"Gonçalo Pinho","R. Santiago Matos, 384
1824-650 Queluz"
"Vera Matias","Alameda Pires, 8
3614-300 Lamego"
"Vera Cunha","Av Nádia Soares, 4
9538-826 Guimarães"
"Tomé Vicente","Avenida Raquel Leal, 4
4233-327 Alcobaça"
"Laura Macedo","Travessa do Ródano, 18
8460-464 Vila Nova de Gaia"
"Joaquim Matias-Alves","R. Helena Valente, 57
4912-513 Espinho"
"Erika Oliveira","Travessa Noah Moura, 2
1115-585 Câmara de Lobos"
"Carminho Valente","R. Soares, S/N
4761-569 Porto Santo"
"Erika Nogueira","Largo de Ramos, 67
3692-472 Figueira da Foz"
"Alice Ferreira","Travessa da Luz, 517
4613-386 Montemor-o-Novo"
"Inês Melo","Praça de Leal, 107
2353-359 Vendas Novas"
"César Monteiro","Praça Maria de Lourdes Sá Teixeira, S/N
4105-347 Lisboa"
"Vitória Fonseca","R. de Melo, 8
6765-161 Ponte de Sor"
"Luís Teixeira","Largo de Vasco da Gama, 43
4958-727 Mealhada"
"Jéssica Fernandes","Praça Noa Sousa, S/N
7268-799 Mirandela"
"Kevin Lourenço","Alameda do Rego Lameiro, S/N
1980-852 Amora"
"Francisco Reis","Avenida Roentgen, 62
4008-127 Gandra"
"Nuno Coelho","Alameda Anita Branco, 81
9730-093 Rio Maior"
"Simão Baptista","Praça de Anjos, 86
5860-012 Lagos"
"Alice Gomes","Alameda Salomé Moreira, S/N
9893-727 Mêda"
"Mateus do Azevedo","Av de Soares, 78
4617-369 Tavira"
"Álvaro da Soares","Praça Marques, 36
2152-921 Barcelos"
"Ana Campos","Praça de Simões, S/N
5849-686 Loures"
"Wilson Silva","Praça Mário Soares, 65
2569-930 Tavira"
"Júlia Silva","Rua da Quinta de São João Baptista, S/N
8983-470 Freamunde"
"Miriam Teixeira","Av Silva, S/N
9451-370 Seixal"
"Ivo Gonçalves","Alameda do Recanto, 586
1724-046 Póvoa de Santa Iria"
"Lisandro Machado","Praça Branco, 73
6972-181 Odivelas"
"Érica Domingues-Pires","Praça Renata Amaral, S/N
1993-170 Leiria"
"Alice Matias","Travessa de Pinheiro, 6
2549-207 Peso da Régua"
"Ivo Pereira-Simões","Praça de Campos, 6
7196-057 Esmoriz"
"Camila Marques","Travessa do Meiral, 7
3884-647 Matosinhos"
"Renato Fonseca","Travessa Egito Gonçalves, 2
9167-409 Quarteira"
"Manuel Jesus","Avenida Ferreira, 34
4384-704 Caniço"
"Íris Vieira","Largo Vaz, 1
3527-799 Porto"
"Ana Assunção-Henriques","Av de Ferreira, 544
7061-092 Funchal"
"Salomé de Brito","R. Silva, 918
6501-800 Vendas Novas"
"Renata-Irina Moreira","Praça de Azevedo, 62
5398-161 Abrantes"
"Joana de Morais","Alameda Alice Costa, 99
5634-910 Guimarães"
"Alice Simões-Baptista","Largo Prof. Francisco Caldeira Cabral, 48
6632-449 Alverca do Ribatejo"
"Naiara Leite","Largo de Paiva Couceiro, 35
2555-707 Queluz"
"Amélia-Renata Lopes","Av Magalhães, 72
2175-172 Albufeira"
"Manuel Barros","Avenida Garcia, 37
3696-138 Santa Cruz"
"Mauro Castro","R. do Longo, 56
6948-476 Queluz"
"Sara Correia","Largo António Dias Lourenço, 615
9885-516 Alcácer do Sal"
"Débora Macedo","Avenida Central, S/N
3155-987 Vizela"
"Sofia Garcia-Moura","Avenida de Palma, 32
6109-058 Elvas"
"Victória Monteiro","Travessa Pacheco, 17
1188-485 Estarreja"
"Nádia Teixeira","R. do Aleixo, 263
2283-404 Estremoz"
"Alice do Machado","Travessa da Praia da Galé, 36
1999-188 Ponte de Sor"
"Fabiana Araújo","Av de Fonseca, 88
7327-097 Macedo de Cavaleiros"
"Irina Matias","Rua Pinheiro, 86
2147-906 Lagoa"
"Salomé Pinto","Alameda de Gomes, 71
2861-739 Guarda"
"Kévim Guerreiro","Avenida Manuel Pinto de Azevedo Júnior, S/N
4456-492 São João da Madeira"
"Lia Antunes","Alameda de Barros, 89
5823-767 Ílhavo"
"Joel Faria","Praça Amélia Carvalheira, 24
2225-656 Vila do Conde"
"Luana-Mélanie Fernandes","Largo Renata Jesus, S/N
7670-128 Évora"
"Ana Jesus","Largo de Loureiro, 26
7085-965 Vendas Novas"
"Mara Faria","R. de Ferreira, 10
2600-727 Figueira da Foz"
"Alice-Eduarda Fernandes","Praça do Sequeiro, 43
9228-521 Esmoriz"
"Emília Baptista","R. de Magalhães, 309
3190-822 Mealhada"
"Marco Vicente-Macedo","R. Ferreira, 82
9566-999 Torres Novas"
"Gustavo Mota","Largo de Araújo, 120
6952-004 Sacavém"
"David Cruz","Av Branco, 16
9559-981 Santiago do Cacém"
"Laura Abreu","R. de Fonseca, 69
5253-372 Funchal"
"Vera Santos","Avenida de Baptista, 95
3273-220 Fundão"
"Denis Soares","Largo de S. Salvador, 6
3726-474 Valongo"
"Mateus Henriques","Travessa Vicente, 6
5931-682 Gondomar"
"Lúcia da Castro","Praça Monteiro, 95
5107-299 Faro"
"Alice-Rafaela Figueiredo","Travessa de Machado, 14
6743-543 Tavira"
"Ângelo Borges","Travessa das Ondas, 69
2460-440 Paredes"
"Carlos Rocha","Travessa Luciana Moreira, 4
2806-812 Santo Tirso"
"Mia Mendes","Travessa de Andrade, 821
2103-348 Marco de Canaveses"
"Débora Faria","Av Teixeira, 4
4069-699 Viana do Castelo"
"Victória Gomes","Alameda Matias, 81
3180-970 Faro"
"Alexandre Matias","Rua Henrique Pinho, 25
6970-522 Lourosa"
"Ivo Pinheiro","R. Érica Fonseca, 5
9343-695 Odivelas"
"David Anjos","Avenida Mota, S/N
8764-576 Póvoa de Varzim"
"Salomé Amorim","Travessa dos Olivais, S/N
2012-919 Valbom"
"Alícia Barros","R. de Luís António Verney, 44
2921-052 Vila Nova de Famalicão"
"Eva de Rocha","Av Sofia Neves, 96
9845-235 Coimbra"
"Mariana Miranda","Rua de Brito, 7
8020-392 Gondomar"
"Amélia Monteiro-Pacheco","Avenida Neves, 3
8295-845 Ílhavo"
"Salvador Rocha","Largo do Tijolo, 12
5296-154 Tavira"
"Noa Lima","Av Assunção, S/N
3734-086 Setúbal"
"Pilar Lourenço","Avenida Luca Sousa, 91
4620-147 Ponte de Sor"
"Bianca Vaz","Avenida Rafaela Barbosa, S/N
2852-362 Esmoriz"
"Matias Campos","R. Edgar Cardoso, 94
4228-527 Ovar"
"Diana Alves","Alameda Costa, 88
9661-696 Sines"
"Alícia Brito-Barros","Largo Soares, 51
3145-081 Montijo"
"Luciana Alves","Av Daniel Silva, 32
1697-359 Santo Tirso"
"Salvador Pinho","Rua Emília Maia, S/N
7249-865 Rio Tinto"
"Luca Sousa","Rua Campos, 19
6657-252 Vale de Cambra"
"William Rodrigues","R. de Ribeiro, 9
9087-281 Pombal"
"Nair-Sara Mendes","Alameda Rafaela Assunção, S/N
5678-899 São João da Madeira"
"Iara Faria","Alameda da Lingueta, 149
1866-342 Figueira da Foz"
"Luana Alves","R. da Rua Duque de Palmela, 42
8709-824 Ovar"
"Ricardo Gomes","Largo de Correia, 79
9367-140 Vila Real de Santo António"
"Sérgio do Loureiro","R. do Maestro Afonso Valentim, 44
5023-959 Vila do Conde"
"Alícia Cunha","Alameda de São Lourenço, 15
6841-516 Freamunde"
"Francisca-Rita Matias","Largo Vera Simões, 74
2104-174 Lourosa"
"Fabiana Ferreira","Avenida de D. Pedro Pitões, 39
8705-562 Santa Cruz"
"Samuel Barbosa","Alameda Cardoso, 65
7121-530 Peniche"
"Mauro Machado","Largo da Fonte de Cima, S/N
6204-863 Vila Franca de Xira"
"Patrícia Domingues","Travessa Antunes, 726
1636-663 Angra do Heroísmo"
"Marta Nascimento","Largo Azevedo, 53
5207-609 Guarda"
"Erica Azevedo","Alameda Moreira, 84
3973-400 Estarreja"
"Márcio Gonçalves","Praça Central, 45
8916-400 Loures"
"Érica da Baptista","Rua Torres, 50
3282-041 Vizela"
"Alícia Henriques","Av Nogueira, S/N
8080-741 Santo Tirso"
"Núria-Marta Gomes","Alameda Barbosa, 650
3693-518 Marinha Grande"
"Francisca Mendes","Largo Gabriela Figueiredo, 568
7982-327 Fiães"
"Tiago da Leite","R. do Castelo, 146
6711-757 Abrantes"
"Íris Assunção","Rua do Mirante, 69
7988-005 Freamunde"
"Diego Gaspar","R. do Recanto, 7
5444-098 Marco de Canaveses"
"Rodrigo Machado","Rua Henriques, 86
7062-600 Loulé"
"André Vieira-Leite","R. Diego Lima, 45
9755-596 Sacavém"
"Tatiana Alves","Largo de Nunes, 302
1249-013 Gouveia"
"Ismael Branco","Praça Jéssica Batista, 70
1461-775 Ponta Delgada"
"Alícia Mendes","Rua Irmã Lúcia, 3
9498-932 Macedo de Cavaleiros"
"Tiago Mendes-Pinho","R. de Rodrigues, 112
3146-276 Bragança"
"Cláudio Maia","Largo Amorim, S/N
4358-577 Felgueiras"
"Paulo Neto","Largo Erika Rocha, 77
9808-338 Esmoriz"
"Rita Esteves","Rua do Bolhão, 608
7838-599 Fundão"
"Álvaro Alves","Alameda Moura, S/N
3788-516 Lagos"
"Bernardo Castro","Praça de Miranda, S/N
5119-657 Marinha Grande"
"Brian Sá","Praça de Leite, 36
7376-713 Leiria"
"Vera Lima","Praça Carvalho, 69
7062-298 Guarda"
"Benedita Moura","Travessa Português, 55
8829-232 Paços de Ferreira"
"Alícia Sá","Alameda do Alto de São João, 60
1474-458 Castelo Branco"
"Gustavo Vicente","Avenida Panorâmica, 7
3658-983 Valpaços"
"Gabriela Carneiro","Largo de Eduardo Soares, 91
1971-645 Ribeira Grande"
"Tomé Brito","Alameda do Pedregulho, 83
3808-023 Trofa"
"Ema Machado","R. Rafael Araújo, 98
4747-061 Espinho"
"Irina Sá","Avenida de São Miguel, 6
1334-805 Costa da Caparica"
"Erika Mendes","Alameda Assunção, 200
3936-237 Oliveira do Hospital"
"Bárbara Simões","Travessa do Evaristo, 51
3870-691 Miranda do Douro"
"Ivan Macedo-Vicente","Travessa de Moreira, 918
5705-744 Serpa"
"Igor Matias","Rua de Baixo, S/N
2540-976 Vila Nova de Foz Côa"
"Alícia Valente","Alameda Leonardo Lourenço, 1
2905-202 Trofa"
"Rúben Fernandes","Rua Flor Amaral, S/N
6219-497 Tondela"
"Melissa Cardoso","Alameda Noah Soares, 49
5753-855 Porto"
"Pedro Fernandes","Rua Sérgio Correia, 51
7232-043 Funchal"
"Erica Vieira","Praça de Domingues, 813
4315-011 Almada"
"Tatiana Baptista","R. Lúcia Soares, S/N
2861-196 Marinha Grande"
"Bárbara Azevedo","Rua Fernandes, 65
7324-994 Esposende"
"Ângela-Erica Matos","Rua de Carrilho Videira, 98
5632-372 Macedo de Cavaleiros"
"Marco Amaral","Av do Pedregulho, 405
3725-663 Mangualde"
"Catarina Pinheiro","Largo Isabel Castro, 29
2422-111 São João da Madeira"
"Alícia da Reis","Rua Mendes, 24
4030-402 Marinha Grande"
"Benjamim Teixeira-Pacheco","Travessa Ricardo Barbosa, 38
9877-754 Ponta Delgada"
"Alice Domingues","Praça Martim Mota, 58
2286-907 Sintra"
"Raquel Melo","Travessa da Graça, 7
2870-893 Estarreja"
"Erica-Luana Matos","Av de Carreiras, 7
1070-664 Barreiro"
"Leandro Mendes-Lourenço","Praça de Ferreira, 3
7364-425 Guarda"
"Benedita Cardoso","Travessa Diego Magalhães, 57
6234-777 Caldas da Rainha"
"Leonardo Mota","R. Isabela Macedo, 64
6587-731 São Salvador de Lordelo"
"Bruna Cunha-Monteiro","R. Ivo Costa, 3
4540-704 Moura"
"João de Silva","R. Carminho Nogueira, 82
4884-431 Almada"
"Alícia do Vieira","Av Francisco Azevedo, 83
5712-678 Marinha Grande"
"Ana Alves","Avenida de Moura, 31
4887-098 Elvas"
"Duarte Soares","Av Andrade, 62
9966-718 Silves"
"Mateus Pires","Largo de Nascimento, 92
7010-098 Ribeira Grande"
"Hugo de Paiva","Largo Rocha, 387
2819-293 Felgueiras"
"Kévim Freitas","Praça Rafaela Gonçalves, 66
5497-721 Moura"
"Madalena Macedo","Alameda de Maia, S/N
6532-734 Matosinhos"
"Constança Batista-Silva","Avenida Luana Borges, 9
8305-543 Estarreja"
"Rafaela Rodrigues","Praça Eva Guerreiro, 823
5496-649 Alcácer do Sal"
"Hugo de Ramos","Alameda Gil Andrade, 67
9537-267 Horta"
"Alícia-Helena Azevedo","Avenida Barros, 186
1635-823 Gandra"
"Santiago Pinheiro","Largo de Vicente, 363
9240-313 Pombal"
"Caetana Neves","Praça Raquel Coelho, 1
5908-341 Cantanhede"
"Marta Torres","R. Mendes, 286
7808-331 Reguengos de Monsaraz"
"Alícia Macedo","Rua Salomé Esteves, 6
9984-955 Sacavém"
"Guilherme Neves","Rua do Carvalhão, 11
5669-006 Alverca do Ribatejo"
"Bruna Pires","Avenida de Gonçalves, 304
9970-685 Vila Real de Santo António"
"Rodrigo Assunção","Rua Figueiredo, 82
3894-867 Santarém"
"Gabriel de Carneiro","Rua Helena Pinheiro, 116
2452-725 Vila Real de Santo António"
"Mafalda-Alice Reis","Av de Marques, 102
1708-737 Santa Cruz"
"Alícia-Miriam Matos","R. de Neptuno, 26
9937-339 Abrantes"
"Álvaro Borges","Rua de Magalhães, 161
1680-963 Fundão"
"Paulo Valente-Moreira","Av das Fontainhas, 30
4067-943 Montemor-o-Novo"
"Alexandra Pinho","Largo Íris Valente, 48
2824-770 Espinho"
"Filipa Oliveira","Praça Sá, 8
8827-225 Elvas"
"Adriana Pinto","Praça Azevedo, 33
7337-521 Chaves"
"Anita de Almeida","Largo Rodrigues, S/N
5202-979 Moura"
"Clara Fernandes-Santos","Alameda Lisandro Matos, 3
6181-451 Oliveira do Bairro"
"Ana Mota-Andrade","Av Bruna Paiva, 35
7090-391 Mirandela"
"Diana Moreira-Baptista","Travessa de Melo, 3
1083-069 Bragança"
"Amélia Correia","Largo de Andrade, 4
7477-934 Ponte de Sor"
"Mariana Lima","Travessa Mendes, 859
8382-682 Leiria"
"Júlia Amaral","Av de Rocha, 410
2629-875 Odivelas"
"Luís Araújo","Travessa do Amazonas, 17
5375-438 Albufeira"
"Leonor Azevedo","Alameda de Antunes, 1
5693-358 Vizela"
"Mia Ferreira","Largo Pereira, 9
3772-051 Lisboa"
"Matilde Miranda","Largo da Lingueta, S/N
3500-666 Fiães"
"Luna Paiva","Praça Rocha, 73
6689-354 Serpa"
"Tatiana Morais-Brito","Rua Hugo Freitas, 20
4973-938 São Salvador de Lordelo"
"Matilde-Rafaela Costa","Avenida Martins, 448
4478-607 Maia"
"Amélia Domingues","Praça Gaspar, 544
1836-524 Ponte de Sor"
"Raquel do Sá","Avenida Freitas, 13
1397-659 Trofa"
"Lara Nascimento-Paiva","Travessa Artur Cupertino de Miranda, 500
7791-963 Alverca do Ribatejo"
"Érica Brito","Rua Cristiano Lourenço, 543
8754-501 Fundão"
"Irina Freitas","Travessa Enzo Barros, 665
8803-838 Gafanha da Nazaré"
"Yara Fernandes","Alameda Sofia Ramos, S/N
4791-681 Sacavém"
"Simão Nunes-Loureiro","R. Manuel Machado, 17
1751-094 Santa Cruz"
"Soraia Abreu","Praça do Dr. Fernando de Azeredo Antas, 3
6599-550 Chaves"
"Benedita Pinto","Largo de Cardoso, 41
2067-677 Serpa"
"Anita da Pires","Av Paulo Domingues, S/N
3814-185 Amadora"
"Amélia Domingues","Praça de Ramalde, 37
5720-580 Mêda"
"Brian Abreu","Av de Luiz I, 17
8872-510 Braga"
"Luna Paiva","Avenida Diana Batista, 3
7536-191 Amadora"
"Leonor Leite","Alameda Cuf, 77
4842-118 Paços de Ferreira"
"Miguel Branco-Sá","Praça Fernandes, 118
8683-937 Fátima"
"Mário Nunes","Alameda Torres, S/N
1017-920 Gandra"
"Carolina Jesus","Rua de Rocha, 554
3294-217 Barreiro"
"Madalena-Eduarda Rodrigues","Praça de Ramos, 26
4537-358 São João da Madeira"
"Núria Miranda","Rua da Baleia, 809
2407-386 Esmoriz"
"Carlos Pacheco","Alameda Loureiro, S/N
7724-883 Costa da Caparica"
"Amélia Lopes","Largo Emília Campos, 149
7262-252 Sines"
"Renata Nogueira","Av Pinto, 80
5269-543 Lisboa"
"Pilar-Jéssica Correia","Largo Ângelo Amorim, 9
3269-000 Vila Nova de Famalicão"
"Vasco Machado","R. de Monteiro, 727
8843-461 Caldas da Rainha"
"Clara Rocha","Travessa de Tavares, 21
8010-697 Santiago do Cacém"
"Camila Neto","Travessa de Pereira, 27
4199-159 Amora"
"Lúcia Macedo","Alameda da Encarnação, 568
2064-578 Porto"
"Renata Pacheco","Travessa Júlia Moreira, 42
3741-956 Amarante"
"Márcio Jesus","Largo Vítor Campos, 2
8015-069 Abrantes"
"Lia Andrade","Alameda José António Marques, S/N
7592-043 Vila Nova de Santo André"
"Amélia Loureiro","Av Joana Morais, 80
5086-367 São Salvador de Lordelo"
"Fábio Abreu-Vaz","Rua de Gonçalves, 59
7371-138 Angra do Heroísmo"
"Emma do Garcia","Avenida Gaspar, 92
2459-819 Peso da Régua"
"Afonso Martins","Avenida Amorim, S/N
2298-912 Paredes"
"Yasmin Simões","Alameda Tiago Amorim, S/N
2823-492 Vale de Cambra"
"Kyara Antunes","Rua de Jesus, S/N
9345-930 Maia"
"Alexandre da Ramos","Avenida Simões, 37
3579-968 Esmoriz"
"Valentim Cruz-Matias","R. de Gaspar, 9
6441-153 Estremoz"
"Márcio Branco-Ribeiro","Rua Loureiro, 8
5411-040 Gondomar"
"Patrícia Pinheiro","Praça de Manuel Cardoso Agrelos, 54
4968-279 Coimbra"
"Amélia Magalhães","R. Guilherme Santos, S/N
1597-867 Porto"
"Edgar Machado","Rua de Barbosa, S/N
1409-682 Almada"
"Bruno Pereira","Alameda Gaspar, 74
7148-080 Almeirim"
"João Loureiro","R. Alves, 69
9247-092 Lagoa"
"Júlia-Marta Baptista","Av de Teixeira, 23
1600-852 São João da Madeira"
"Emanuel Araújo","Avenida Camila Ferreira, 66
7501-432 Peniche"
"Lourenço Anjos","Alameda Diogo Abreu, 81
4345-086 Funchal"
"Ivan Miranda","Alameda de Macedo, 45
2746-230 Porto"
"João Morais","Largo Grande de Cima, 61
3740-857 Angra do Heroísmo"
"Emília Maia","R. Larissa Silva, 515
2268-614 Oliveira do Hospital"
"Amélia Miranda","Largo de Vaz, 5
1877-174 Lamego"
"Mário Araújo-Tavares","Travessa de Martins, 24
3076-810 Macedo de Cavaleiros"
"Mélanie Cunha-Pereira","Largo Henriques, 54
4489-954 Vila Real de Santo António"
"Isaac da Cunha","Alameda de Antunes, 62
6952-301 Loures"
"Naiara Neves","Avenida de Castro, 798
6355-737 Sabugal"
"Lorena-Caetana Mendes","Praça de Monteiro, 89
6945-957 Seia"
"Daniela Costa","Travessa Morais, 23
2832-759 Santo Tirso"
"Larissa Lourenço","R. Luís Ferreira, 50
5457-923 Santa Comba Dão"
"Luna Monteiro","R. Marques, 54
7362-133 Horta"
"Ismael Oliveira","Largo Helena Abreu, 7
7733-541 Lamego"
"Amélia Neto","Alameda de Paiva Couceiro, 679
5217-623 Valpaços"
"Bruno Lopes","Alameda do Tijolo, 6
7635-491 São Mamede de Infesta"
"Marcos da Azevedo","Alameda de Branco, S/N
4710-727 Quarteira"
"Xavier Branco","Av de Macedo, 90
9336-299 Portalegre"
"Lia Branco","Praça de Borges, S/N
5316-871 Vila Real"
"Teresa Lima","Av Pires, 32
2328-247 Lagoa"
"Paulo Ramos","Av Pedro Ribeiro, S/N
9141-640 Peso da Régua"
"Nádia Neto","Travessa de Serrúbia, 88
3167-126 Guimarães"
"Letícia Baptista","Avenida do Mirante, S/N
5852-255 Vizela"
"Frederico Cruz","R. de Reis, 24
3148-257 Freamunde"
"Amélia Reis","Rua Silva, 18
2275-258 Mealhada"
"Igor Fonseca","Av Lourenço, S/N
8370-310 Guarda"
"Daniela Andrade","Largo Barbosa, 47
5296-647 Pombal"
"Clara Ramos","Rua de Pinho, 48
6625-605 Pinhel"
"Madalena do Alves","Travessa Luís Esteves, 451
5821-955 Pinhel"
"Rita Campos","Travessa Borges, S/N
6553-897 Sintra"
"Beatriz Figueiredo","Alameda de Mota, S/N
4559-792 Viana do Castelo"
"Fernando Pereira","Praça de Domingues, 79
5633-096 Loulé"
"Kevin Assunção","Av Amorim, 60
5373-262 Barcelos"
"Joana Baptista","Av Gil Araújo, 798
3291-374 Amora"
"Amélia Rocha","Largo Santos, 31
2299-779 Ourém"
"Carminho Mota","Largo Nádia Sá, S/N
9814-537 Barcelos"
"Iara Nogueira","Av do Leal, 76
6489-654 Olhão"
"Inês Gonçalves","Praça Paulo Cunha, 10
1388-128 Alcácer do Sal"
"Lisandro Carneiro","Alameda Cunha, S/N
1269-552 Mêda"
"Carolina Gomes","Alameda Elisa Baptista de Sousa Pedroso, S/N
6680-252 Paredes"
"Petra Soares","Largo de Pina Manique, 207
3884-651 Sabugal"
"Luís Magalhães","Avenida de Ribeiro, 204
7138-391 Póvoa de Santa Iria"
"César Nogueira","Av Amélia Carvalheira, 44
4677-808 Torres Vedras"
"Isabela Correia","Av de Antero de Figueiredo, 8
1494-424 Vila Nova de Gaia"
"Amélia Torres","Praça de Macedo, 898
8875-119 Tarouca"
"Miguel Vaz","Largo Gabriela Freitas, 25
7245-106 Santo Tirso"
"Ivo Carvalho","Alameda Matos, 419
3126-961 Porto"
