"Adam Bezák"	"Chorvátska 35
033 81 Oľšinkov"
"Katarína Jakúbeková"	"Ľadová 897
859 25 Stakčínska Roztoka"
"Angelika Juríková"	"Fadruszova 87
886 51 Trebejov"
"Edmund Sámeľ"	"Martinčekova 531
060 28 Šintava"
"Martina Ďureková"	"Štiavnická 262
841 01 Malá Hradná"
"Iveta Hrmová"	"Lidická 48
870 50 Spišský Štvrtok"
"Bibiána Micháleková"	"Márie Medveďovej 1
867 34 Rimavská Seč"
"Alan Polák"	"Telocvičná 70
931 98 Kecerovce"
"Bohumír Červený"	"Myjavská 879
944 72 Podrečany"
"Juliana Zúbeková"	"Jurská 67
011 12 Svidník"
"Vilma Strnisková"	"Šíravská 98
864 55 Stará Bašta"
"Ľuboš Jánoš"	"Pod záhradami 7
060 79 Devičie"
"Zoja Holičeková"	"Štrbská 82
097 70 Štítnik"
"Boleslav Ďurko"	"Šancová 258
855 45 Košické Oľšany"
"Ernest Starosta"	"Turčianska 976
826 48 Liptovské Revúce"
"Bohumil Bartovič"	"Lediny 69
856 50 Štefanov nad Oravou"
"Alexandra Plešivcová"	"Čachtická 58
066 23 Nesvady"
"Alana Blažejová"	"Vlčie hrdlo 60
826 72 Doľany"
"Daniela Labudová"	"Krivá 42
930 95 Tvrdomestice"
"Marika Macová"	"Suché mýto 14
079 80 Lednica"
"Barbora Gocníková"	"Kaplinská 7
957 10 Rokytovce"
"Lolita Vasková"	"Žilinská 386
904 80 Borinka"
"Pavol Rybár"	"Marótyho 319
833 46 Opiná"
"Belo Kus"	"Ovčiarska 582
070 65 Horná Breznica"
"Irma Sokolová"	"Stará Vajnorská 1
976 17 Bučany"
"Fedor Vasko"	"Hviezdna 493
869 93 Sklabiná"
"Irma Palovičová"	"Fialkové údolie 1
901 57 Sútor"
"Alana Daňová"	"Loparová 6
856 90 Majere"
"Miloš Očenáš"	"Poľská 205
056 58 Slatinka nad Bebravou"
"Bohuslava Harvanová"	"Riznerova 19
806 63 Štefanovce"
"Svetozár Junás"	"Jurigovo námestie 4
098 66 Babín"
"Vlasta Janková"	"Smrečianska 1
001 46 Kostolná - Záriečie"
"Norbert Hroboň"	"Litovská 560
817 19 Beňatina"
"Patrik Šimek"	"Kukučínova 48
821 54 Hrašovík"
"Iveta Madejová"	"Za mlynom 932
859 01 Veľké Ozorovce"
"Katarína Forgáčová"	"Novohorská 457
059 79 Uzovský Šalgov"
"JUDr. Kvetoslava Hilmerová"	"Hudecova 2
850 63 Janíky"
"Alana Dorková"	"Rízlingová 284
993 06 Podhorie"
"Ľuboslav Dej"	"Ulica 29. augusta 5
973 78 Predajná"
"Félix Červený"	"Dohnányho 69
045 72 Liešno"
"Zora Káziková"	"Banskobystrická 533
935 29 Silická Jablonica"
"Aurélia Ryšková"	"Dobšinského 83
963 74 Svätá Mária"
"Soňa Lipková"	"Pod záhradami 291
964 02 Breziny"
"Hermína Krajčírová"	"Kollárovo námestie 723
893 20 Moravské Lieskové"
"Kliment Klapač"	"Šancová 496
031 39 Kovarce"
"Viliam Bednárik"	"Gaštanová 2
075 50 Krupina"
"Vladislav Martinovič"	"Uršulínska 318
872 33 Plavecké Podhradie"
"Alana Gašparovičová"	"Trenčianska 546
888 48 Koš"
"Kazimír Jakuba"	"Desiata 9
978 35 Veľký Horeš"
"Helena Klimkovičová DiS."	"Goláňova 300
026 17 Veľký Klíž"
"Denisa Plavuchová"	"Lipského 435
960 98 Tešedíkovo"
"Patrik Šulc"	"Legionárska 45
046 29 Žemliare"
"Móric Mora"	"Hodonínska 449
878 84 Torysa"
"Filip Martinec DSc."	"Stará Prievozská 830
873 31 Rykynčice"
"Malvína Husáková"	"Zlaté schody 9
887 62 Ostrov"
"Laura Vlnová"	"Strmý vŕšok 752
011 67 Stará Voda"
"Dušan Talpaš"	"Kataríny Brúderovej 4
972 61 Klin nad Bodrogom"
"Alana Sámelová"	"Nové záhrady V 8
059 15 Sucháň"
"Margita Mikušová"	"Žabotova 7
015 43 Cernina"
"Marcela Kúsová"	"Ľadová 155
089 17 Staškov"
"Bartolomej Krajíček"	"Podkerepušky 259
843 11 Dolná Tižina"
"Alexander Sameľ"	"Royova 9
058 24 Jasenové"
"Jaromíra Melicherová"	"Zhorínska 906
931 41 Vyšný Tvarožec"
"Paulína Knihová"	"Sochorova 17
026 21 Lozorno"
"Jozefína Danková"	"Rybničná 3
847 94 Ľubochňa"
"Dobroslav Štefanka"	"Rajecká 169
822 05 Trnovec"
"Timotej Holič"	"Pod Vachmajstrom 90
823 34 Dolné Semerovce"
"Alana Vlnová"	"Novosadná 8
871 47 Popudinské Močidľany"
"Bohuslav Poliak"	"Chmeľová 17
999 46 Dedinky"
"Róbert Greguš"	"Bielkova 8
984 15 Sveržov"
"Marianna Bôriková"	"Borágova 5
037 86 Podhorany"
"Milota Dusková"	"Pod záhradami 7
975 73 Žirany"
"Ernest Rusňák"	"Havlíčkova 70
914 55 Partizánska Ľupča"
"Berta Ondrášiková"	"Ružinovská 512
903 39 Krásny Brod"
"Móric Keníž"	"Dankovského 476
966 10 Sikenička"
"Gustáv Franek"	"Ružinovská 1
994 61 Kráľovce - Krnišov"
"Júlia Bašová"	"Kovácsova 43
077 23 Hostišovce"
"Albert Cigáň"	"Boragová 71
075 48 Vyšná Šebastová"
"Zdenko Pavel"	"Brezová 94
000 42 Silická Brezová"
"Iľja Loja"	"Júlová 2
901 96 Vyšný Hrušov"
"Danica Ondrejková"	"Trstínska 7
970 93 Gbelce"
"Krištof Blažej"	"Votrubova 87
981 72 Plešivec"
"Pankrác Gál"	"Tomášikova 882
049 58 Bertotovce"
"Tibor Kouba"	"Ivana Blazeviča 51
880 87 Nemce"
"Paulína Bartošíková"	"Jarošova 8
893 45 Plaveč"
"Libuša Kurucová"	"Brižitská 2
024 82 Čierna Lehota"
"Melichar Paľo"	"Blatnická 8
899 89 Považany"
"Albert Kázik"	"Námestie Martina Ben 193
874 21 Križovany nad Dudváhom"
"Ivan Kaliňák"	"Olbrachtova 18
097 40 Okoč"
"Samuel Fabuš DSc."	"Letisko M.R.Štefánik 3
943 37 Orovnica"
"Jaroslav Kocúrik"	"Banšelova 5
826 94 Liptovská Osada"
"Liana Tomaňová"	"Novobanská 2
815 93 Kuzmice"
"Vlastimil Kazik"	"Bajkalská 3
930 54 Trnava pri Laborci"
"Alojzia Slováková"	"Ďurgalova 8
021 65 Prituľany"
"Ambróz Kniha"	"Tománkova 54
023 99 Bidovce"
"Jana Hanúseková"	"Bratská 6
991 74 Regetovka"
"Svetozár Jakubko"	"Ríbezľová 4
933 00 Lúčka"
"Albert Nitra"	"Brestová 90
073 59 Rudno nad Hronom"
"Jaroslava Filcová"	"Námestie Jána Pavla 38
885 99 Vyšná Boca"
"Dáša Paľová"	"Oravská 502
828 04 Divina"
"Miroslav Riška"	"Rázusovo nábrežie 94
041 01 Šoporňa"
"Koloman Kocian"	"Nový záhon 6
896 86 Ostrovany"
"Michaela Roháčeková"	"Vrbánska 52
008 88 Potvorice"
"Miriama Vásková"	"Medzierka 2
080 75 Ochodnica"
"Tatiana Michalechová"	"Homolova 4
977 59 Pečovská Nová Ves"
"Samuel Paľúch"	"Podzáhradná 49
834 86 Ráztoka"
"Libor Drobný"	"Valašská 18
955 27 Čaklov"
"Albert Paľa"	"Rošického 41
083 67 Záborské"
"Alexander Paľov"	"Somolického 9
932 26 Uzovce"
"Zina Konopková"	"Bezručova 291
903 18 Okres Bratislava II"
"RNDr. Hedviga Kubíková Ph.D."	"Popovova 50
858 00 Dolný Ohaj"
"Sergej Móric"	"Koprivnická 59
053 92 Michal na Ostrove"
"Michal Tomáška"	"Lenardova 3
835 84 Prihradzany"
"Rozália Mihaliková"	"Kudlákova 761
088 83 Poprad"
"Tichomír Dubovský"	"Lysákova 566
836 63 Veľké Kršteňany"
"Štefan Haščák"	"Pri tehelni 61
822 10 Oľšavka"
"Vincent Haluška"	"Martinská 84
053 83 Strečno"
"Albert Ružička"	"Rascová 5
037 56 Kleňany"
"Adolf Sanitra"	"Štefánikova 8
055 61 Koromľa"
"Herbert Jančo"	"Bazalková 2
960 07 Zohor"
"Darina Čierniková"	"Trenčianska 87
949 83 Ivanka pri Nitre"
"Urban Klimáček"	"Blatnická 6
959 04 Krčava"
"Milan Maco"	"Ľubietovská 552
918 77 Bátorove Kosihy"
"slečna Svetlana Melichárová"	"Sečovská 91
996 39 Petrovce"
"Oldrich Holuby"	"Šafránová 8
891 44 Hosťovce"
"Marianna Holubecová"	"Čečinová 7
829 34 Lenartovce"
"Agnesa Menšíková"	"Námestie Martina Ben 22
029 24 Norovce"
"Albert Slobodník"	"Boženy Němcovej 232
925 38 Medzibrod"
"Ing. Miloslava Marcinová"	"Hroznová 225
955 84 Havranec"
"Beňadik Jakubka"	"Brumovická 6
858 23 Veľké Raškovce"
"Juraj Hošták"	"Poľná 28
929 56 Oborín"
"Libuša Slovinecová"	"Na úvrati 22
908 68 Malý Čepčín"
"Sabína Lipová"	"Drieňová 1
865 20 Petrikovce"
"František Dusko"	"Bakošova 32
978 23 Moškovec"
"Hermína Pašková"	"Kalinčiakova 5
079 79 Kuraľany"
"Samuel Hanuska"	"Budatínska 344
820 81 Dolné Orešany"
"Juraj Slašťan"	"Čajakova 9
010 21 Babiná"
"Albert Valušek"	"Novohradská 225
939 17 Rybník"
"Nina Pavliková"	"Pražská 57
000 74 Michajlov"
"Maximilián Rys"	"Bajkalská 159
983 38 Lehôtka"
"Viola Štefanková"	"Námestie Jána Kostru 9
918 45 Juskova Voľa"
"Ing. arch. Olívia Tomášeková"	"Poľská 7
904 41 Bretka"
"Marta Lubinová"	"Semenárska 7
828 77 Potok"
"Erik Peška"	"Očovská 6
971 68 Krná"
"Lýdia Ondrašíková"	"Kaukazská 9
032 81 Igram"
"Milan Deák"	"Kútska 67
974 26 Kovarce"
"Víťazoslav Borový"	"Belianska 321
805 85 Abrahámovce"
"Albert Vozar CSc."	"Stavbárska 965
951 72 Horný Tisovník"
"Renáta Hošťáková"	"Strmý vŕšok 66
898 58 Svätý Kríž"
"Áron Baňo"	"Karloveská 8
990 62 Janova Lehota"
"Lesana Plešivcová"	"Dobrovičova 14
816 97 Lúčky"
"Zina Imrichová"	"Demänovská 561
889 76 Skačany"
"Miloš Ivaška"	"Stuhová 20
827 44 Torysa"
"Milena Mácková"	"Rostovská 85
873 22 Lúčka"
"Valér Bárta"	"Matičná 137
841 69 Stretava"
"Zoltán Dorota"	"Cyprichova 25
084 61 Telince"
"Nadežda Medvecká"	"Latorická 50
043 65 Dobroč"
"Albert Štefanko"	"Horná Vančurová 68
988 82 Veľké Kosihy"
"Bartolomej Hladký"	"Sedlárska 68
803 82 Pašková"
"Jozef Hanák"	"Humenské námestie 9
898 08 Lipovany"
"Metod Dudík"	"Žiarska 56
052 55 Veľké Rovné"
"Paulína Pavelová"	"Kafendova 3
800 98 Myslina"
"Zita Salajová"	"Regrútska 181
994 71 Veľké Dvorníky"
"Slavomír Madar"	"Dolné Koruny 72
004 86 Hruboňovo"
"Romana Lukáčová"	"Irisová 568
888 24 Bajč"
"Alfonz Cibula Ph.D."	"Mostná 3
905 53 Horná Streda"
"Silvia Janková"	"Krížna 475
858 87 Borša"
"Albert Žigmund"	"Kríková 8
028 02 Ráztoka"
"Lesia Mokrošová"	"Gronárska 506
045 86 Lentvora"
"Rebeka Habláková"	"Lužná 466
832 71 Tŕnie"
"Žaneta Kendrová"	"Rožňavská 3
939 37 Štúrovo"
"Blanka Skutecká"	"Slovinec 923
908 52 Teriakovce"
"Gašpar Borik"	"Vrábeľská 8
983 59 Zálesie"
"Vladimír Kríž"	"Benediktiho 339
081 70 Pružina"
"Dávid Šimko"	"Vlčkova 84
971 97 Brusnica"
"Dobromila Hodžová"	"Poštová 4
819 16 Koprivnica"
"Vendelín Gažo"	"Rustaveliho 5
806 51 Zemianske Podhradie"
"Albín Cesnak"	"Lotyšská 1
088 53 Dolné Mladonice"
"Dionýz Makovický"	"Vrakunská cesta 6
868 20 Chmeľov"
"Libuša Selecká"	"Struková 533
995 68 Oravská Jasenica"
"Elvíra Havranová"	"Mudroňova 5
986 03 Ratkovská Lehota"
"Ambróz Klapka"	"Medzilaborecká 335
022 34 Gemerská Panica"
"Eduard Borovský CSc."	"Karloveské rameno 662
892 55 Rozložná"
"Bartolomej Ryš"	"Sadmelijská 907
816 21 Slatina nad Bebravou"
"Dionýz Macka"	"Mierová 86
965 26 Jovsa"
"Jerguš Gavorník"	"Svätoplukova 845
995 50 Turčianska Štiavnička"
"Gregor Kiseľ"	"Pod násypom 22
988 69 Košice"
"Albín Dubnička"	"Kapitulská 57
058 79 Bátorove Kosihy"
"Bc. Adolf Tomek"	"Mostná 9
968 92 Smolinské"
"Klement Šváby"	"Hálova 895
098 78 Tušická Nová Ves"
"Saskia Holúbeková"	"Na Revíne 232
032 45 Dolné Lovčice"
"Jaroslava Skleničková"	"Hontianska 4
054 67 Krásnovce"
"Judita Holíčeková"	"Hálova 18
948 90 Svätý Kríž"
"Gertrúda Paulovičová"	"K lomu 15
895 73 Plavecký Štvrtok"
"Gašpar Bartoš"	"Zámocké schody 865
072 31 Vyškovce nad Ipľom"
"Marianna Konôpková"	"Ilkovičova 952
850 26 Ľubica"
"Tarzícius Janko"	"Pražská 610
907 66 Gerlachov"
"Albín Grznár"	"Strojnícka 92
059 72 Čabalovce"
"Belo Tatárka"	"Tvarožkova 4
959 81 Nová Bystrica"
"Zdenka Klimkovičová"	"Kadnárova 80
929 67 Štefanovce"
"Arpád Kuruc"	"Krížna 816
800 02 Beša"
"Severín Kollár"	"Bosákova 874
983 79 Slavnica"
"Jarmila Paulovičová"	"Pri Starom háji 90
887 85 Liptovská Kokava"
"Petronela Tomášková"	"Pasienky 45
086 84 Častá"
"Alex Duša"	"Pribinova 749
896 12 Lesenice"
"Móric Tomeček"	"Pod vinicami 1
832 84 Tajov"
"Milan Timko"	"Záhrady 47
043 27 Stanča"
"Albín Kocúrik"	"Letisko M.R.Štefánik 553
056 74 Kríže"
"Helena Lojová"	"Vínna 3
031 32 Dvorníky"
"Ivica Palovičová"	"Veľké Štepnice 4
828 48 Beňatina"
"Dušan Paľúch Ph.D."	"Staré záhrady 382
097 35 Slovany"
"Šarlota Kusová"	"Búdkova cesta 50
016 42 Červenica"
"Darina Hlaváčiková"	"Štepná 64
067 27 Lietavská Svinná - Babkov"
"Miriama Lojeková"	"Imelová 12
938 40 Reľov"
"Ferdinand Medvecký"	"Oleandrová 349
831 34 Staškovce"
"Hortenzia Tatárová"	"Vývojová 74
067 85 Sasinkovo"
"Viktória Jonatová"	"Latorická 3
916 19 Malužiná"
"Albín Ondruška"	"Bartókova 5
955 80 Sokolce"
"Herbert Kollár"	"Svätoplukova 177
899 44 Malá Tŕňa"
"Gabriel Hušek"	"Anízová 3
851 83 Olšovany"
"Lukáš Beka"	"Na pasekách 445
816 89 Modra nad Cirochou"
"Otília Malinová"	"Kalinová 9
918 52 Boľkovce"
"Vincent Moric"	"Srnčia 1
049 90 Medzianky"
"Danica Očenášová"	"Súbežná 23
042 27 Borčany"
"Dionýz Masarík"	"Ulica Pri vodnej nád 9
965 25 Trebatice"
"Tibor Borek"	"Godrova 1
808 38 Ludanice"
"Romana Janíková"	"Budatínska 44
998 70 Krupina"
"Albín Sklenka"	"Strážnická 274
003 96 Háj"
"Timea Daneková"	"Albrechtova 81
053 35 Lomnička"
"Barbora Hanúsková"	"Murgašova 2
861 31 Španie Pole"
"Zoja Klapačová"	"J.C.Hronského 9
870 46 Lehota pod Vtáčnikom"
"Alojzia Kunová"	"Kvetinárska 65
927 73 Bzovík"
"Ružena Majdanová"	"Mlynské nivy 7
051 36 Príslop"
"Albert Macka"	"Kominárska 2
954 34 Oravce"
"Cyril Solej"	"Krokusová 875
806 44 Pusté Sady"
"Božena Marcinová"	"Ružinovská 786
834 48 Želmanovce"
"Dezider Holík"	"Fazuľová 8
926 01 Dubové"
"Albín Ďurek"	"Oravská 7
897 54 Radobica"
"Ľubica Sklenárová"	"Považanova 77
822 96 Vrbové"
"Drahomíra Stodolová"	"Murgašova 58
877 12 Ptrukša"
"Hortenzia Junásová"	"Prúdová 511
866 64 Stará Lesná"
"Amália Hanková"	"Jašíkova 69
828 86 Bukovce"
"Želmíra Štefanovičová"	"Sovia 16
006 95 Piskorovce"
"Lolita Chovanecová"	"Tabaková 877
961 41 Kazimír"
"Drahomíra Makovická"	"Námestie 6. apríla 588
002 80 Brezolupy"
"Edmund Imrich"	"Kĺzavá 719
962 52 Ladomirov"
"Šimon Farkašovský"	"Vyhnianska cesta 6
886 20 Soboš"
"Albína Dorotová"	"Tučkova 321
898 71 Oščadnica"
"Hilda Hodžová Th.D."	"Trajánova 1
966 97 Rudná"
"Matúš Chrappa Ph.D."	"Ambroseho 67
054 38 Trebichava"
"Ľubor Lojek"	"Novobanská 810
904 08 Moldava nad Bodvou"
"Mojmír Baranka"	"Gagarinova 4
882 07 Kurimka"
"Vilma Krížová"	"Sabinovská 10
878 70 Kružlová"
"Zlatica Boriková"	"Jesenského 24
855 92 Bodza"
"Peter Kazík"	"Čečinová 2
821 15 Malé Borové"
"Juraj Rosa"	"Most SNP 5
037 20 Tešedíkovo"
"Miroslava Dančáková"	"Trstínska 310
984 00 Nemce"
"Albína Kubíková"	"Svätoplukova 7
843 42 Hrabské"
"Miriama Skleničková"	"Medzierka 565
995 52 Chorvátsky Grob"
"Liana Novotná"	"Závodná 75
060 70 Alekšince"
"Lesana Škantárová"	"Račianska 7
939 42 Kľak"
"Radoslava Muchová"	"Novodvorská 22
840 96 Kremná"
"Lesia Chovanecová"	"Modricová 34
821 80 Veľké Kosihy"
"Nikola Machová"	"Jesenského 962
952 33 Trenčianske Bohuslavice"
"Tibor Rubík"	"Baníkova 74
023 81 Haligovce"
"Kvetoslava Rišová"	"Martákovej 4
965 08 Vyšná Kamenica"
"Víťazoslav Leto CSc."	"Budatínska 1
934 55 Babinec"
"Albína Lipková"	"Koperníkova 82
082 97 Vysočany"
"Diana Martineková"	"Dankovského 52
898 79 Veľký Kamenec"
"Judita Čapkovičová"	"Čakanková 713
895 50 Podhradie"
"Radovan Baňo"	"Laurinská 90
879 14 Kosihy nad Ipľom"
"Norbert Vydarený"	"Múzejná 57
902 25 Oravský Podzámok"
"Ľuboslav Dudka"	"Viedenská cesta 80
015 03 Horný Lieskov"
"Mojmír Kotian"	"Májová 3
015 81 Nemešany"
"Milada Miklíková"	"Ľubinská 9
047 25 Malé Kozmálovce"
"Martin Máček"	"Kežmarské námestie 20
095 64 Ruskov"
"Hedviga Centeková"	"Martákovej 953
089 53 Piešťany"
"Albína Michalicová"	"Romanova 924
928 19 Mad"
"Karla Zachariašová"	"Thurzova 2
034 89 Pavčina Lehota"
"Regína Martinčeková"	"Sputniková 537
837 89 Panické Dravce"
"Štefánia Michálechová"	"Čremchová 291
002 64 Búč"
"Lolita Markovičová"	"Výhonská 376
061 27 Trenčín"
"Henrich Tomáško"	"Ružová dolina 826
884 49 Pušovce"
"Kamila Krajíčeková"	"Ventúrska 81
908 11 Bellova Ves"
"Norbert Gašpar"	"Klobučnícka 548
873 12 Lipník"
"Agáta Uramová"	"Mlynské nivy 855
977 94 Padáň"
"Radomír Lojka"	"Vajnorská 238
974 24 Žbince"
"Albína Mojžišová"	"Ladzianskeho 7
865 44 Kamenica"
"Maroš Kôstka"	"Bradlianska 52
001 60 Veľké Dvorany"
"Ľuboslav Straka"	"Františkánska 382
916 93 Dubnica nad Váhom"
"Ľuboslav Ondrášek"	"Ulica Janka Alexyho 415
917 83 Blahová"
"Elvíra Gavendová"	"Gagarinova 199
875 03 Nevoľné"
"RNDr. Atila Fedor"	"Alejová 418
038 64 Kamanová"
"Judita Vasková"	"Strážny dom 353
942 43 Levice"
"Albert Puškár"	"Koprivnická 732
074 96 Nitrianska Blatnica"
"Estera Micháliková"	"Briežky 75
064 90 Krakovany"
"Ladislav Mrázka"	"Nad jazierkom 2
987 15 Zádiel"
"Albína Rybárová"	"Zochova 4
091 08 Kašov"
"Ľudomil Jalovec"	"Matúšova 76
839 53 Čičmany"
"pani Rebeka Ftoreková"	"Bukureštská 89
034 34 Príbelce"
"Xénia Samelová"	"Vajnorská 7
046 16 Riečka"
"Prokop Ďuro"	"Nad kúriou 2
834 81 Markovce"
"Eugénia Vicenová"	"Ďumbierska 3
024 84 Udavské"
"Svätopluk Klimkovič"	"Riazanská 42
043 28 Padáň"
"Rozália Šťastná"	"Marhuľová 8
827 41 Pongrácovce"
"Simona Šlivková"	"Stálicová 430
981 98 Nižné Repaše"
"Dezider Riha"	"Technická 85
037 46 Kátov"
"Albína Sklenková"	"Komenského námestie 130
029 86 Honce"
"Žaneta Tomečeková"	"Oleandrová 1
869 45 Kvetoslavov"
"Valéria Klapáčová"	"Chladná 279
865 54 Vyšná Sitnica"
"Drahomír Chovanec"	"Paulínyho 5
933 65 Boľ"
"Ružena Habláková"	"Lachova 919
914 60 Čierne"
"Karina Klapková"	"Rácova 28
084 60 Jakovany"
"Barbora Sanitrová"	"Pod skalou 817
900 01 Rajecké Teplice"
"Klaudia Michalicová"	"Štefánikova 48
856 67 Okoličná na Ostrove"
"Alexandra Bartošíková"	"Škovránčia 51
950 09 Búč"
"Oľga Hodžová"	"Pri hrádzi 1
026 23 Muránska Huta"
"Albína Zachariašová"	"Hríbová 7
999 23 Zemplínska Teplica"
"Mojmír Hanúsek"	"Štepná 4
921 14 Glabušovce"
"Rozália Kunková"	"Bazovského 829
039 53 Lada"
"Dalibor Tomaň"	"Porubského 7
898 84 Vyšný Slavkov"
"Jolana Liptáková"	"Poľný mlyn 261
804 06 Staškov"
"Ľudomil Štefan"	"Metodova 4
807 48 Nemce"
"Ružena Mrázová"	"Rascová 321
876 33 Horné Trhovište"
"Xénia Sámeľová"	"Mamateyova 172
945 61 Cimenná"
"Marcela Králová"	"Lýcejná 43
018 67 Rimavská Baňa"
"Tomáš Kunka"	"Tekvicová 15
892 09 Bystrá"
"Alena Hrianková"	"Slovinec 710
835 68 Nižný Žipov"
"Igor Talpaš"	"Na Slavíne 76
960 94 Jakubovany"
"Lukáš Murin"	"Rovníková 978
918 01 Záriečie"
"Sára Michalicová"	"Thurzova 73
810 66 Slovenský Grob"
"Urban Škriniar"	"Rybárska brána 481
915 47 Abrahámovce"
"Arpád Holúbok"	"V záhradách 8
054 72 Lastomír"
"Roland Štefánik"	"Dobrovičova 83
924 14 Domaníky"
"Jarmila Dorková"	"Borodáčova 670
005 48 Muránska Huta"
"Henrich Hušek"	"Mozartova 162
932 89 Slovenská Ves"
"Henrich Lipko"	"Madáchova 501
070 09 Krásna Ves"
"Alena Janečeková Ph.D."	"Lesnícka 405
949 70 Vaľkovňa"
"Adrián Michalica"	"Račianske mýto 96
984 83 Rakovnica"
"Aurel Matiaško"	"Ivánska cesta 1
971 03 Radôstka"
"Margaréta Záborská"	"Magurská 7
025 71 Krásnohorská Dlhá Lúka"
"Maroš Ondrašík"	"Strelecká 43
954 99 Hruštín"
"Kristína Hagarová"	"Zadunajská cesta 3
955 90 Madunice"
"Stela Sklenárová"	"Černicová 66
078 74 Čebovce"
"Vanda Baranková"	"Struková 239
802 74 Ruská Kajňa"
"Dionýz Mojžiš"	"Dražická 51
954 03 Hendrichovce"
"Vlasta Miklošková"	"Prokofievova 53
872 76 Veľké Vozokany"
"Alena Jánošová"	"Májová 847
024 13 Herľany"
"Soňa Chrappová"	"Hroznová 830
083 94 Hiadeľ"
"Frederika Rojková"	"Mlynarovičova 83
950 84 Kováčová"
"Imrich Dúška"	"Západná 5
848 35 Vyšné Remety"
"Uršuľa Chovanová"	"Brigádnická 324
029 16 Pozdišovce"
"Peter Bošňák"	"Ľubochnianska 4
897 93 Hažín nad Cirochou"
"Alfonz Lukáč"	"Vresová 2
857 05 Víťaz"
"Richard Paľko"	"Homolova 967
060 78 Sedmerovec"
"Cecília Gašparová"	"Dražická 70
930 09 Veľká Mača"
"Margaréta Ficová"	"Brečtanová 8
986 46 Krajné"
"Alena Markovičová"	"Krásnohorská 2
863 75 Neporadza"
"Eugen Klapka"	"Horárska 7
967 19 Nitra"
"Helena Kopová"	"Uhorková 33
039 50 Rudník"
"Maximilián Šuňavec"	"Komárovská 430
863 82 Uzovské Pekľany"
"Hilda Hanúsková"	"Šulekova 7
887 51 Nová Ves nad Žitavou"
"Kliment Kysela"	"Limbová 3
059 69 Veľký Slivník"
"Dobroslav Kolnik"	"Svetlá 37
935 40 Jalšové"
