"Achim Ababei"	"Intrarea Voinea
Sfantu Gheorghe, 845829"
"Speranța Albu"	"Drumul Leontina Toma Nr. 460 Bl. 32  Sc. 85 Ap. 206
Targu Mures, 295870"
"Timea Mazilescu"	"Bulevardul Georgescu Nr. 869
Drobeta-Turnu Severin, 927796"
"Otilia Albu"	"Bulevardul Pop Nr. 149
Breaza de Sus, 499907"
"Daciana Ababei"	"Soseaua Tabacu Nr. 179
Rucar, 484480"
"Dorli Mocanu"	"Intrarea Ardelean Nr. 88 Bl. 45  Sc. 62 Ap. 631
Slatina, 757126"
"Saveta Voinea"	"Bulevardul Cristea Nr. 680
Prejmer, 769529"
"Eftimia Toma"	"Bulevardul Dumitrescu
Topoloveni, 357078"
"Ileana Aanei"	"Soseaua Geanina Eftimie Nr. 51
Techirghiol, 985204"
"Carol Niță"	"Aleea Sânziana Stănescu Nr. 895 Bl. 34  Sc. 93 Ap. 414
Dancu, 556821"
"Agata Nemeș"	"Drumul Alis Mazilescu Nr. 44
Blaj, 135757"
"Bănel Niță"	"Intrarea Georgescu Nr. 11 Bl. 91  Sc. 90 Ap. 109
Giarmata, 820078"
"Marta Stoica"	"Soseaua Cleopatra Diaconu
Bragadiru, 266464"
"Anastasia Dumitrescu"	"Aleea Simion Dima Nr. 277 Bl. 20  Sc. 73 Ap. 600
Baia, 325051"
"Todor Cristea"	"Aleea Voicu Tudor Nr. 521 Bl. 16  Sc. 91 Ap. 142
Valea Mare (Babeni), 211656"
"Caterina Stănescu"	"Bulevardul Camelia Dima
Balotesti, 693169"
"Iridenta Suciu"	"Strada Octaviu Marin Nr. 290 Bl. 33  Sc. 34 Ap. 190
Copsa Mica, 987902"
"Amedeu Pușcașu"	"Aleea Stoica Nr. 64 Bl. 92  Sc. 85 Ap. 966
Ramnicu Valcea, 838296"
"Octavia Manole"	"Soseaua Dinu Nr. 10 Bl. 44  Sc. 37 Ap. 958
Lunca Cetatuii, 950918"
"Tatiana Ionescu"	"Intrarea Nistor Nr. 62 Bl. 69  Sc. 91 Ap. 683
Baraolt, 531624"
"Aglaia Ene"	"Drumul Nemeș Nr. 144 Bl. 99  Sc. 68 Ap. 829
Bocsa, 212970"
"Alexandru Stancu"	"Aleea Gheorghiu
Sandominic, 299094"
"Cosmin Diaconescu"	"Bulevardul Norica Manole
Petrosani, 975669"
"Rebeca Pușcașu"	"Strada Dacian Ioniță
Oradea, 355239"
"Elisabeta Barbu"	"Aleea Pop Nr. 599
Gheorgheni, 785595"
"Mihaela Marin"	"Bulevardul Tabacu Nr. 55
Pecica, 653179"
"Cristobal Ene"	"Aleea Gică Eftimie Nr. 226
Rodna, 599694"
"Anda Gheorghiu"	"Aleea Saveta Albu Nr. 22
Pantelimon, 241234"
"Gheorghe Dima"	"Intrarea Diaconu Nr. 436
Toflea, 289671"
"Mugurel Dinu"	"Strada Preda
Codlea, 296936"
"Aglaia Nemeș"	"Drumul Dima Nr. 319
Corabia, 160751"
"Fiodor Mocanu"	"Aleea Tudor Nr. 44
Constanta, 346097"
"Emanuil Stănescu"	"Intrarea Petre Barbu
Craiova, 404093"
"Ica Dinu"	"Intrarea Suciu Nr. 440 Bl. 78  Sc. 23 Ap. 923
Vicovu de Jos, 249638"
"Zenobia Niță"	"Aleea Aanei Nr. 19 Bl. 38  Sc. 59 Ap. 468
Mioveni, 804671"
"Nicodim Tabacu"	"Bulevardul Albu
Dabuleni, 458392"
"Roza Dinu"	"Soseaua Henrieta Ardelean Nr. 12 Bl. 84  Sc. 79 Ap. 593
Rovinari, 111782"
"Lucențiu Pop"	"Strada Dima
Straja, 936269"
"Tiberiu Florea"	"Intrarea Albu
Simleu Silvaniei, 686874"
"Claudia Ionescu"	"Intrarea Diaconu
Adjud, 171160"
"Agnos Ioniță"	"Bulevardul Albu Nr. 374 Bl. 51  Sc. 58 Ap. 163
Pitesti, 814382"
"Denis Dochioiu"	"Intrarea Aanei Nr. 493 Bl. 10  Sc. 44 Ap. 677
Negresti, 246686"
"Sabina Stănescu"	"Strada Marcela Diaconescu Nr. 611 Bl. 84  Sc. 69 Ap. 704
Barbulesti, 441038"
"Lucrețiu Preda"	"Aleea Georgescu
Schela Cladovei, 950378"
"Agata Mocanu"	"Bulevardul Nemeș Nr. 80
Peris, 390531"
"Melina Stănescu"	"Intrarea Tomescu Nr. 728 Bl. 73  Sc. 40 Ap. 317
Targu Jiu, 119318"
"Didina Stan"	"Intrarea Pop
Poiana Mare, 584980"
"Ofelia Voinea"	"Drumul Oprea Nr. 68 Bl. 89  Sc. 90 Ap. 398
Orsova, 713836"
"Miron Diaconu"	"Bulevardul Valentin Barbu Nr. 31
Corabia, 406275"
"Gențiana Dochioiu"	"Soseaua Nemeș Nr. 396 Bl. 73  Sc. 99 Ap. 936
Curtici, 663972"
"Agripina Barbu"	"Drumul Cristea Pop Nr. 20
Peris, 542578"
"Elena Preda"	"Drumul Preda Nr. 735 Bl. 18  Sc. 82 Ap. 667
Rasinari, 293824"
"Niculina Nemeș"	"Bulevardul Georgescu Nr. 787
Savinesti, 220121"
"Caius Marin"	"Intrarea Albu Nr. 551 Bl. 90  Sc. 75 Ap. 841
Glina, 428986"
"Valeriu Nistor"	"Drumul Suciu Nr. 51
Salonta, 678199"
"Ionel Niță"	"Strada Niță
Campulung, 315271"
"Tudor Dobre"	"Intrarea Dorel Tabacu Nr. 334 Bl. 50  Sc. 41 Ap. 807
Busteni, 544869"
"Mioara Ionescu"	"Aleea Diaconu Nr. 88
Falticeni, 464721"
"Fabian Ardelean"	"Soseaua Voinea
Urziceni, 821715"
"Viviana Barbu"	"Strada Stănescu Nr. 88
Curcani, 893321"
"Agripina Dumitrescu"	"Strada Nemeș Nr. 362 Bl. 74  Sc. 46 Ap. 264
Glina, 388595"
"Andrian Tudor"	"Strada Aurelia Pop Nr. 34
Sadova, 689705"
"Ruxanda Suciu"	"Soseaua Manole
Fagaras, 804041"
"Viorela Cristea"	"Intrarea Georgescu
Suceava, 152042"
"Iurie Barbu"	"Soseaua Albu Nr. 635 Bl. 49  Sc. 62 Ap. 138
Covasna, 893527"
"Niculiță Popescu"	"Strada Lorin Diaconescu Nr. 811
Fetesti, 176664"
"Vicențiu Niță"	"Drumul Ioniță Nr. 429 Bl. 95  Sc. 38 Ap. 956
Raducaneni, 183862"
"Camil Toma"	"Soseaua Irina Dochioiu
Raducaneni, 639513"
"Anișoara Marin"	"Soseaua Pop Nr. 71
Cumpana, 774711"
"Leontina Ababei"	"Strada Tabacu
Caransebes, 511677"
"Agripina Manole"	"Bulevardul Cerasela Georgescu
Viseu de Sus, 738341"
"Sorin Nistor"	"Bulevardul Popa
Zalau, 548991"
"Constantin Dobre"	"Aleea Heracleea Manole
Rosu, 883411"
"Avram Pop"	"Bulevardul Dinu
Plosca, 919301"
"Mara Aanei"	"Drumul Ene
Borcea, 736726"
"Lioara Eftimie"	"Strada Ardelean
Radauti, 627519"
"Ilie Albu"	"Aleea Dorian Albu Nr. 85 Bl. 76  Sc. 71 Ap. 120
Baciu, 940591"
"Gheorghe Albu"	"Drumul George Dobre Nr. 48
Targu Neamt, 436887"
"Nidia Diaconu"	"Aleea Cazimir Pop
Topoloveni, 265872"
"Carmen Dumitrescu"	"Aleea Mocanu Nr. 64
Ramnicu Valcea, 996566"
"Agripina Mocanu"	"Aleea Corvin Nistor Nr. 778
Targoviste, 524603"
"Janina Popa"	"Strada Stan
Brad, 313463"
"Mina Dinu"	"Bulevardul Cristea
Darmanesti, 337409"
"Sinică Stan"	"Drumul Marin Nr. 631 Bl. 96  Sc. 85 Ap. 116
Dragasani, 619011"
"Florica Florea"	"Drumul Tabacu
Dumbraveni, 899603"
"Sava Oprea"	"Aleea Cătălin Popescu Nr. 99 Bl. 68  Sc. 35 Ap. 628
Strejnicu, 566997"
"Iuliu Nemeș"	"Aleea Stoica
Talmaciu, 426085"
"Salomea Niță"	"Intrarea Preda
Mihail Kogalniceanu, 627877"
"Daciana Nistor"	"Aleea Diaconescu Nr. 50
Valea Mare (Babeni), 785003"
"Ramona Albu"	"Strada Ștefan Tomescu Nr. 859
Branesti, 381523"
"Agripina Nistor"	"Intrarea Leana Voinea Nr. 90
Avrig, 230365"
"Ionel Cristea"	"Soseaua Barbu Nr. 964
Maieru, 698258"
"Mădălin Eftimie"	"Strada Nemeș Nr. 315
Medias, 909431"
"Valeria Gheorghiu"	"Intrarea Ardelean Nr. 27 Bl. 71  Sc. 60 Ap. 526
Balan, 477459"
"Marcheta Ionescu"	"Drumul Diaconescu
Darabani, 802495"
"Steliana Stoica"	"Aleea Albu
Oravita, 275764"
"Dimitrina Manole"	"Strada Lorena Manole Nr. 329
Bragadiru, 859761"
"Estera Nistor"	"Drumul Georgia Ababei Nr. 875 Bl. 35  Sc. 56 Ap. 756
Bistrita, 318442"
"George Mazilescu"	"Intrarea Georgescu
Curcani, 392543"
"Felicia Ioniță"	"Aleea Cristea Nr. 751 Bl. 30  Sc. 23 Ap. 213
Fetesti-Gara, 551894"
"Agripina Stoica"	"Intrarea Barbu
Siria, 411048"
"Andra Stancu"	"Bulevardul Preda Nr. 68
Berceni, 525643"
"Mona Voinea"	"Bulevardul Dochioiu
Baile Borsa, 161962"
"Cecilia Nistor"	"Drumul Pop Nr. 53
Nadlac, 181206"
"Tudor Stan"	"Drumul Stănescu Nr. 32
Salonta, 794530"
"Raluca Florea"	"Soseaua Dochioiu Nr. 96 Bl. 44  Sc. 91 Ap. 129
Pitesti, 520450"
"Alice Popescu"	"Intrarea Bănel Popescu Nr. 36
Rasnov, 647793"
"Jana Dobre"	"Strada Stoica Nr. 104 Bl. 65  Sc. 99 Ap. 676
Arad, 804114"
"Ludmila Nistor"	"Drumul Ionescu
Darabani, 956930"
"Horia Ardelean"	"Drumul Suciu Nr. 601 Bl. 31  Sc. 59 Ap. 967
Apahida, 778433"
"Aida Ardelean"	"Aleea Aanei Nr. 783 Bl. 59  Sc. 76 Ap. 858
Pechea, 545887"
"Agripina Tudor"	"Drumul Simina Pușcașu
Apahida, 842099"
"Iancu Aanei"	"Intrarea Arsenie Nistor Nr. 49
1 Decembrie, 909901"
"Dafina Nistor"	"Aleea Emilian Stan Nr. 390 Bl. 60  Sc. 92 Ap. 451
Ludus, 706429"
"Niculina Mazilescu"	"Drumul Suciu Nr. 73 Bl. 78  Sc. 52 Ap. 846
Alba Iulia, 812422"
"Filofteia Preda"	"Soseaua Carla Cristea
Valu lui Traian, 658164"
"Ionică Eftimie"	"Strada Manole Nr. 946
Orsova, 589642"
"Gelu Florea"	"Bulevardul Nistor Nr. 73 Bl. 61  Sc. 49 Ap. 486
Tandarei, 163639"
"Crin Ababei"	"Soseaua Adelaida Diaconu Nr. 84
Oltenita, 448010"
"Ruxandra Ababei"	"Strada Ariadna Suciu Nr. 533 Bl. 82  Sc. 72 Ap. 432
Dobroesti, 259254"
"Aida Manole"	"Soseaua Mona Mocanu Nr. 54
Roman, 574889"
"Teodora Stoica"	"Drumul Albu Nr. 100 Bl. 45  Sc. 25 Ap. 294
Slatina, 734246"
"Antonela Tomescu"	"Intrarea Dima
Tulcea, 595653"
"Mihaela Pop"	"Intrarea Suciu Nr. 62 Bl. 50  Sc. 42 Ap. 822
Sandominic, 465162"
"Rozalia Tudor"	"Strada Diaconu Nr. 74
Dragalina, 803205"
"Cezar Diaconescu"	"Bulevardul Dinu Nr. 224 Bl. 75  Sc. 96 Ap. 251
Lupeni, 177351"
"Luciana Ioniță"	"Aleea Sabin Cristea
Saveni, 363047"
"Jeana Dumitrescu"	"Aleea Nemeș Nr. 823
Otelu Rosu, 910346"
"Clara Voinea"	"Intrarea Ioniță Nr. 565 Bl. 69  Sc. 84 Ap. 137
Baraolt, 685509"
"Daniel Stancu"	"Strada Manole
Raducaneni, 359954"
"Aida Pop"	"Bulevardul Diaconescu Nr. 31 Bl. 36  Sc. 37 Ap. 148
Sannicolau Mare, 693250"
"Ruxandra Manole"	"Drumul Tomescu
Bragadiru, 292694"
"Miron Dobre"	"Soseaua Nistor Nr. 960 Bl. 70  Sc. 62 Ap. 617
Tudora, 680739"
"Zamfira Pop"	"Bulevardul Oprea
Moreni, 339353"
"Octaviana Aanei"	"Strada Dima
Simleu Silvaniei, 496001"
"Paulina Ionescu"	"Aleea Pușcașu Nr. 61 Bl. 32  Sc. 10 Ap. 123
Sancraiu de Mures, 456566"
"Mihail Ioniță"	"Bulevardul Ilona Barbu
Topoloveni, 984297"
"Aurora Ionescu"	"Aleea Stan
Tarnaveni, 353187"
"Bianca Stancu"	"Intrarea Niță
Suceava, 328451"
"Sorin Diaconu"	"Drumul Tomescu Nr. 214
Bistrita, 609022"
"Albert Manole"	"Drumul Lidia Tudor Nr. 341 Bl. 79  Sc. 94 Ap. 249
Sadova, 297909"
"Dida Mocanu"	"Intrarea Tabacu Nr. 95 Bl. 74  Sc. 79 Ap. 359
Resita, 177169"
"Aurel Ioniță"	"Drumul Dochioiu Nr. 761
Peris, 570078"
"Ilarie Barbu"	"Intrarea Popa Nr. 93 Bl. 30  Sc. 29 Ap. 668
Agnita, 113036"
"Stancu Dochioiu"	"Aleea Dimitrina Toma Nr. 368 Bl. 29  Sc. 60 Ap. 128
Babeni, 823538"
"Pamela Dochioiu"	"Aleea Ababei
Iernut, 924910"
"Frusina Nemeș"	"Bulevardul Suciu
Odorheiu Secuiesc, 504217"
"Aglaia Tomescu"	"Soseaua Ieremia Ardelean Nr. 44 Bl. 47  Sc. 35 Ap. 832
Raducaneni, 537817"
"Marian Niță"	"Bulevardul Nistor
Cobadin, 355226"
"Antonia Stancu"	"Bulevardul Remus Nistor
Sangeorgiu de Mures, 712212"
"Albertina Voinea"	"Intrarea Aurelia Cristea Nr. 632
Ocna Mures, 213059"
"Nelu Cristea"	"Soseaua Mocanu Nr. 30
Toplita, 166879"
"Lucreția Stan"	"Aleea Cristea Nr. 906 Bl. 19  Sc. 99 Ap. 831
Jilava, 869541"
"Maia Stănescu"	"Aleea Ardelean Nr. 67
Bistrita, 993531"
"Tamara Stan"	"Drumul Gheorghiu
Peretu, 287589"
"Clara Tabacu"	"Intrarea Nistor
Husi, 131943"
"Cristea Nistor"	"Aleea Manole Nr. 46 Bl. 85  Sc. 69 Ap. 812
Oravita, 257414"
"Elisabeta Ioniță"	"Aleea Felix Gheorghiu Nr. 888 Bl. 45  Sc. 79 Ap. 484
Paunesti, 189157"
"Rada Cristea"	"Soseaua Loredana Diaconescu
Raducaneni, 159324"
"Ernest Toma"	"Intrarea Ioniță Nr. 892 Bl. 26  Sc. 50 Ap. 294
Talmaciu, 893383"
"Aleodor Aanei"	"Intrarea Nicoleta Nistor
Greci, 105101"
"Decebal Dumitrescu"	"Soseaua Suciu Nr. 432
Botosani, 657562"
"Nicu Mocanu"	"Strada Diaconescu Nr. 230
Dej, 122276"
"Marin Popa"	"Drumul Stănescu Nr. 945 Bl. 51  Sc. 90 Ap. 284
Sangeorz-Bai, 132878"
"Eliza Ionescu"	"Intrarea Ioniță Nr. 18
Gaesti, 461194"
"Olimpian Barbu"	"Soseaua Olimpia Aanei
1 Decembrie, 711213"
"Iancu Stănescu"	"Intrarea Cristea
Floresti, 589459"
"Semenica Dumitrescu"	"Drumul Milena Ardelean Nr. 837 Bl. 70  Sc. 62 Ap. 669
Ineu, 331504"
"Vicenția Barbu"	"Bulevardul Aanei
Campulung, 419606"
"Sofia Tabacu"	"Intrarea Stoica Nr. 913
Baia, 475226"
"Aleodor Manole"	"Drumul Ababei
Poiana Mare, 887073"
"Crenguța Gheorghiu"	"Intrarea Rodica Ionescu Nr. 140
Iasi, 955334"
"Mirela Manole"	"Drumul Ionescu
Dej, 236610"
"Floare Tomescu"	"Intrarea Ionescu
Marasesti, 962151"
"Iacob Dinu"	"Drumul Nistor
Deva, 304925"
"Monalisa Stănescu"	"Aleea Niță Nr. 437
Peretu, 233964"
"Jasmina Popescu"	"Strada Stănescu Nr. 44
Peretu, 757974"
"Hortensia Pop"	"Intrarea Pușcașu Nr. 271 Bl. 54  Sc. 17 Ap. 780
Brasov, 261147"
"Rareș Dochioiu"	"Aleea Tudor Nr. 57
Botosani, 681406"
"Romanița Florea"	"Drumul Stan Nr. 484 Bl. 67  Sc. 69 Ap. 579
Nasaud, 475981"
"Aleodor Stancu"	"Bulevardul Dumitru Diaconu Nr. 705
Turda, 453918"
"Gherghina Ardelean"	"Drumul Sonia Cristea
Pancota, 758050"
"Dariana Diaconescu"	"Intrarea Tabacu Nr. 57
Bailesti, 986229"
"Iris Ababei"	"Drumul Aureliana Niță
Ploiesti, 440824"
"Dimitrina Stănescu"	"Strada Tabacu Nr. 119
Otelu Rosu, 342114"
"Eliza Oprea"	"Aleea Aurelia Dinu Nr. 25
Orsova, 789976"
"Iustinian Mocanu"	"Soseaua Georgescu Nr. 42 Bl. 65  Sc. 44 Ap. 584
Harlau, 151334"
"Ruxanda Mazilescu"	"Intrarea Ene Nr. 559
Branesti, 785467"
"Casian Florea"	"Strada Diaconu Nr. 99 Bl. 41  Sc. 53 Ap. 383
Remetea, 719314"
"Basarab Ardelean"	"Aleea Stan Nr. 548 Bl. 37  Sc. 52 Ap. 809
Iernut, 301322"
"Aleodor Tomescu"	"Drumul Tabacu
Corund, 128777"
"Olivia Popescu"	"Aleea Popa
Domnesti, 185927"
"Jean Diaconu"	"Drumul Cristea
Techirghiol, 484133"
"Daniela Ababei"	"Intrarea Popa
Strejnicu, 334355"
"Alina Stănescu"	"Intrarea Dobre Nr. 20 Bl. 56  Sc. 45 Ap. 384
Pascani, 660479"
"Eftimia Aanei"	"Bulevardul Mocanu Nr. 665 Bl. 88  Sc. 65 Ap. 181
Marghita, 586164"
"Leontina Dochioiu"	"Soseaua Stancu Nr. 84 Bl. 17  Sc. 88 Ap. 539
Jimbolia, 548238"
"Mariana Stan"	"Intrarea Tabacu
Vicovu de Sus, 315021"
"Jasmina Suciu"	"Strada Albu Nr. 16 Bl. 61  Sc. 13 Ap. 735
Murfatlar, 334133"
"Codruța Dinu"	"Aleea Voinea
Iasi, 108448"
"Alex Aanei"	"Soseaua Dumitrescu Nr. 971
Intorsura Buzaului, 702612"
"Ariana Cristea"	"Bulevardul Anton Stoica Nr. 18
Orsova, 510855"
"Arian Stănescu"	"Intrarea Ene
Targu Frumos, 597942"
"Iolanda Ioniță"	"Soseaua Aanei
Sannicolau Mare, 684785"
"Sorin Pușcașu"	"Strada Stancu Toma Nr. 69 Bl. 14  Sc. 16 Ap. 741
Mogosoaia, 909479"
"Semenica Florea"	"Bulevardul Dumitrescu
Cobadin, 843915"
"Alexandrina Preda"	"Soseaua Lorin Dinu Nr. 27
Sebes, 288634"
"Marioara Voinea"	"Bulevardul Bianca Suciu
Ianca, 215259"
"Emanuela Voinea"	"Bulevardul Norman Dobre Nr. 563
Husi, 908560"
"Despina Toma"	"Drumul Diaconescu Nr. 991 Bl. 33  Sc. 19 Ap. 705
Dragu-Brad, 418516"
"Alex Ardelean"	"Intrarea Dima Nr. 318
Reghin, 497026"
"Jasmina Niță"	"Strada Florența Mocanu Nr. 40 Bl. 20  Sc. 16 Ap. 553
Constanta, 434735"
"Antoaneta Oprea"	"Bulevardul Mazilescu
Insuratei, 548962"
"Niculiță Toma"	"Bulevardul Tudor
Feldru, 605696"
"Bucur Ioniță"	"Drumul Dumitrescu
Negresti, 292709"
"Casian Diaconescu"	"Drumul Toma
Alesd, 446672"
"Eftimie Dinu"	"Strada Mocanu
Iernut, 848319"
"Caterina Preda"	"Bulevardul Florea Nr. 918
Piatra-Neamt, 618508"
"Mona Dinu"	"Strada Norica Stancu Nr. 51 Bl. 81  Sc. 74 Ap. 673
Odobesti, 213949"
"Antoaneta Mocanu"	"Drumul Pușcașu
Dragasani, 493437"
"Alex Dinu"	"Strada Georgescu
Oituz, 486260"
"Smaranda Ababei"	"Drumul Dochioiu
Sovata, 895183"
"Emilia Stancu"	"Drumul Roberta Dumitrescu Nr. 84
Cisnadie, 385043"
"Sabin Dima"	"Intrarea Stănescu Nr. 49
Carei, 306740"
"Vasilica Ene"	"Drumul Stancu
Petrosani, 465760"
"Ernest Stan"	"Intrarea Tomescu Nr. 26
Braila, 753295"
"Timea Ene"	"Intrarea Sinică Ionescu Nr. 499
Drobeta-Turnu Severin, 365844"
"Viorel Nistor"	"Soseaua Crin Suciu
Orsova, 936053"
"Svetlana Ardelean"	"Aleea Gina Mazilescu
Caracal, 861972"
"Octavia Marin"	"Bulevardul Cristea Nr. 73 Bl. 73  Sc. 37 Ap. 877
Santana, 682005"
"Alex Popa"	"Aleea Diaconu Nr. 638 Bl. 13  Sc. 93 Ap. 504
Targu Jiu, 635532"
"Zaraza Gheorghiu"	"Bulevardul Aanei Nr. 495 Bl. 24  Sc. 68 Ap. 958
Aiud, 205880"
"Rica Florea"	"Aleea Georgescu Nr. 220
Beclean, 345840"
"Natalia Tudor"	"Aleea Dida Cristea Nr. 14 Bl. 50  Sc. 41 Ap. 154
Babadag, 673126"
"Titus Georgescu"	"Soseaua Tudor Nemeș Nr. 160 Bl. 18  Sc. 28 Ap. 473
Mizil, 758888"
"Aurora Stoica"	"Drumul Oprea
Covasna, 850580"
"Floarea Popescu"	"Strada Cristofor Voinea Nr. 769 Bl. 52  Sc. 59 Ap. 887
Mioveni, 195293"
"Corvin Voinea"	"Aleea Ene
Sancraiu de Mures, 692055"
"Sava Gheorghiu"	"Strada Valentin Suciu Nr. 68
Odorheiu Secuiesc, 552632"
"Costel Nistor"	"Aleea Severina Stan Nr. 16 Bl. 52  Sc. 30 Ap. 264
Pucioasa, 508771"
"Alexandra Aanei"	"Drumul Stan
Branesti, 750299"
"Floarea Nistor"	"Soseaua Dochioiu
Medgidia, 371664"
"Ramona Dima"	"Strada Mazilescu Nr. 20
Husi, 127647"
"Gicu Ardelean"	"Aleea Ionică Dochioiu Nr. 235
Rovinari, 512322"
"Nidia Tudor"	"Intrarea Ionescu Nr. 28
Timisoara, 323522"
"Domnica Ene"	"Bulevardul Grațiela Eftimie
Sandominic, 893764"
"Eva Dinu"	"Intrarea Rebeca Niță Nr. 58 Bl. 92  Sc. 89 Ap. 583
Victoria, 556534"
"Mariana Voinea"	"Soseaua Niță Nr. 505
Gheorgheni, 801264"
"Filofteia Eftimie"	"Aleea Romeo Diaconescu Nr. 44
Targu Mures, 762618"
"Savina Nistor"	"Bulevardul Suciu
Marghita, 986292"
"Alexandra Nistor"	"Intrarea Zenovia Dinu
Gura Humorului, 804109"
"Nichifor Preda"	"Strada Dinu Florea Nr. 872
Borsa, 288864"
"Anastasia Preda"	"Soseaua Nistor
Paunesti, 500678"
"Dumitra Popa"	"Drumul Dumitrescu
Glina, 394206"
"Constantina Ionescu"	"Intrarea Niculiță Dinu
Cluj-Napoca, 852221"
"Elisaveta Ionescu"	"Strada Edgar Pușcașu Nr. 18 Bl. 60  Sc. 70 Ap. 389
Corabia, 922501"
"Eusebiu Nistor"	"Bulevardul Dochioiu Nr. 31 Bl. 64  Sc. 80 Ap. 725
1 Decembrie, 932614"
"Astrid Nemeș"	"Aleea Barbu
Cornetu, 672502"
"Consuela Tabacu"	"Bulevardul Nistor Nr. 49 Bl. 63  Sc. 51 Ap. 280
Cobadin, 656540"
"Barbu Ioniță"	"Aleea Georgescu
Matca, 303761"
"Alexandra Stan"	"Bulevardul Dochioiu Nr. 335 Bl. 16  Sc. 55 Ap. 468
Gherla, 950784"
"Letiția Ababei"	"Aleea Mazilescu
Arbore, 637879"
"Victoria Dobre"	"Bulevardul Stancu
Bals, 212410"
"Emanuil Popa"	"Drumul Cornelia Nistor
Copsa Mica, 356070"
"Valeriu Diaconu"	"Bulevardul Petre Nistor Nr. 30 Bl. 40  Sc. 72 Ap. 777
Campina, 806292"
"Lelia Popescu"	"Intrarea Diaconu Nr. 96
Balan, 966228"
"Lorena Albu"	"Strada Zaraza Dobre
Vlahita, 730414"
"Ștefan Stănescu"	"Aleea Alma Dima Nr. 29
Targu Lapus, 174442"
"Roxana Stancu"	"Intrarea Tudor
Targu Neamt, 252766"
"Gabi Nistor"	"Aleea Filofteia Cristea Nr. 344 Bl. 26  Sc. 54 Ap. 842
Campia Turzii, 483074"
"Alexandrina Diaconescu"	"Aleea Popescu Nr. 90 Bl. 92  Sc. 64 Ap. 616
Ludus, 750657"
"Todor Eftimie"	"Intrarea Nistor
Moinesti, 433115"
"Horia Gheorghiu"	"Intrarea Traian Dumitrescu Nr. 510 Bl. 19  Sc. 50 Ap. 311
Tomesti, 718374"
"Celia Mocanu"	"Soseaua Preda
Schela Cladovei, 665905"
"Axinte Oprea"	"Intrarea Sabrina Oprea Nr. 83 Bl. 40  Sc. 33 Ap. 329
Nasaud, 505388"
"Emanuil Ioniță"	"Strada Tudor Nr. 85
Barlad, 320528"
"Octaviu Nemeș"	"Drumul Tudor
Sangeorgiu de Mures, 200023"
"Liliana Suciu"	"Soseaua Floare Stănescu Nr. 87 Bl. 38  Sc. 42 Ap. 587
Straja, 793759"
"Antoaneta Mazilescu"	"Drumul Nemeș Nr. 78
Gura Humorului, 833728"
"Miruna Preda"	"Aleea Pompilia Dochioiu Nr. 42
Intorsura Buzaului, 728807"
"Alexandrina Tabacu"	"Soseaua Dochioiu
Ruscova, 724241"
"Tiberia Stănescu"	"Soseaua Pop Nr. 696
Brad, 805517"
"Toma Ababei"	"Bulevardul Amelia Tomescu Nr. 789
Viseu de Sus, 873123"
"Consuela Suciu"	"Drumul Elisaveta Dinu Nr. 974
Marghita, 924539"
"Coralia Aanei"	"Strada Tabacu Nr. 10 Bl. 71  Sc. 49 Ap. 147
Simeria, 645621"
"Irinel Oprea"	"Intrarea Ionuț Pușcașu
Gilau, 153226"
"Felicia Preda"	"Bulevardul Natalia Pop Nr. 226
Ploiesti, 869896"
"Codruța Oprea"	"Intrarea Cerasela Tudor
Segarcea, 955016"
"Lioara Toma"	"Strada Niță Nr. 752 Bl. 34  Sc. 38 Ap. 679
Chisineu-Cris, 786559"
"Petruț Ene"	"Drumul Ardelean
Bistrita, 640213"
"Alexandru Ababei"	"Soseaua Manuela Tabacu Nr. 433
Craiova, 346189"
"Violeta Gheorghiu"	"Drumul Pușcașu
Corund, 186193"
"Dorinel Mazilescu"	"Soseaua Diaconescu
Agnita, 242070"
"Anuța Dinu"	"Bulevardul Cristea Nr. 65
Deta, 968441"
"Aurelia Nistor"	"Soseaua Ivan Suciu
Oradea, 205689"
"Mitruț Barbu"	"Drumul Ilona Dobre
Fagetel (Remetea), 935277"
"Antonie Manole"	"Bulevardul Dumitrescu
Targu Mures, 582928"
"Salomea Voinea"	"Strada Gheorghiu
Berceni, 382288"
"Adriana Cristea"	"Aleea Preda Nr. 94
Adjud, 394816"
"Victor Nistor"	"Soseaua Preda Nr. 99
Tudora, 637789"
"Alexandru Stănescu"	"Drumul Suciu Nr. 274 Bl. 69  Sc. 36 Ap. 119
Tandarei, 198481"
"Andra Ababei"	"Intrarea Nichifor Oprea
Iasi, 719674"
"Lorelei Tudor"	"Strada Augustina Preda
Dancu, 230892"
"Geanina Ababei"	"Aleea Niță Nr. 884
Gura Humorului, 271619"
"Elodia Popa"	"Drumul Florea Marin Nr. 514
Boldesti-Scaeni, 726930"
"Robert Dochioiu"	"Soseaua Mazilescu Nr. 26
Cernavoda, 870649"
"Ilona Niță"	"Soseaua Fabia Preda Nr. 98 Bl. 43  Sc. 67 Ap. 281
Buzau, 303499"
"Ludmila Albu"	"Drumul Albu Nr. 31 Bl. 19  Sc. 71 Ap. 984
Sadova, 955366"
"Eliza Oprea"	"Soseaua Margareta Stoica
Prejmer, 935134"
"Nora Dumitrescu"	"Strada Ioniță
Barlad, 311093"
"Alexe Diaconu"	"Aleea Dochioiu Nr. 452
Harsova, 292844"
