"Ada Hamerla"	"pl. Świerczewskiego 98
76-081 Bielawa"
"Anita Wincenciak"	"pl. Gałczyńskiego 906
54-846 Mielec"
"Fabian Panuś"	"plac Partyzantów 78/57
46-802 Knurów"
"Adrianna Dzikiewicz"	"al. Czarnieckiego 06
01-075 Mińsk Mazowiecki"
"Dawid Indyk"	"al. Kusocińskiego 778
21-003 Tarnobrzeg"
"Ewa Legutko"	"ulica Plater 51/49
60-530 Kłodzko"
"Roksana Grochowina"	"aleja Kochanowskiego 27
46-396 Olsztyn"
"Nicole Plak"	"ulica Konopnickiej 032
53-352 Brodnica"
"pani Krystyna Borysiuk"	"ul. Korczaka 95/50
39-319 Police"
"Ignacy Chwedoruk"	"aleja Żytnia 62
98-907 Toruń"
"Angelika Cieplucha"	"al. Morska 532
13-765 Legionowo"
"Ryszard Potok"	"pl. Tuwima 18
72-690 Mysłowice"
"pan Alex Machowicz"	"al. Górska 499
35-611 Tomaszów Mazowiecki"
"Adrianna Gregorek"	"al. Jana Pawła II 349
10-477 Biłgoraj"
"pan Jakub Gałaj"	"ul. Średnia 872
26-549 Koszalin"
"Aleks Faltyn"	"plac Wieniawskiego 136
61-167 Łomża"
"Sandra Fal"	"pl. Kopernika 813
37-921 Turek"
"pani Krystyna Sip"	"aleja Cisowa 07/09
94-783 Kętrzyn"
"Szymon Zapaśnik"	"plac Kopernika 41
78-797 Zambrów"
"Leon Mamcarz"	"plac Jana Sobieskiego 362
24-569 Myszków"
"pan Jakub Dub"	"plac Prusa 30/62
52-745 Kłodzko"
"pani Inga Kopiczko"	"pl. Batalionów Chłopskich 27
34-373 Gorlice"
"pani Ada Pietryga"	"plac Reja 361
49-972 Dąbrowa Górnicza"
"Adrianna Kaźmierczyk"	"al. Batalionów Chłopskich 670
18-627 Rumia"
"pani Olga Ochal"	"plac Malczewskiego 35/27
39-257 Zakopane"
"Dawid Pacewicz"	"pl. Kosynierów 66
74-166 Stargard Szczeciński"
"Albert Kopyt"	"ul. Polna 244
70-864 Piekary Śląskie"
"Rafał Mokwa"	"ul. Nadrzeczna 30/59
13-902 Kraków"
"Julian Roszkiewicz"	"al. Piłsudskiego 707
55-909 Gniezno"
"Justyna Kałwak"	"ul. Lazurowa 96
33-376 Sochaczew"
"Fabian Toczko"	"aleja Tylna 91/75
77-745 Kraków"
"pan Daniel Fryś"	"al. Władysława Jagiełły 17/23
59-406 Dzierżoniów"
"Borys Wandas"	"plac Żeromskiego 435
57-105 Krotoszyn"
"Adrianna Kopytko"	"al. Jana Sobieskiego 091
35-557 Gorzów Wielkopolski"
"Adrian Duniec"	"al. Klonowa 72/72
30-933 Myszków"
"Oliwier Steckiewicz"	"ulica Diamentowa 99/71
32-393 Jelenia Góra"
"Damian Michniak"	"aleja Kosynierów 31/42
67-816 Wejherowo"
"Agnieszka Tlałka"	"aleja Grunwaldzka 06
42-316 Wrocław"
"Julianna Soczówka"	"al. Księżycowa 51
27-179 Wyszków"
"pani Julianna Łój"	"ul. Dworska 843
59-807 Tychy"
"pan Fabian Luks"	"ulica Lisia 51/86
31-932 Łaziska Górne"
"Jędrzej Rogacz"	"ul. Poziomkowa 285
77-260 Kalisz"
"pan Juliusz Kozica"	"pl. Asnyka 464
66-235 Włocławek"
"Adrianna Kurach"	"ul. Wąska 32
78-661 Piotrków Trybunalski"
"Leonard Sąsiadek"	"pl. Gałczyńskiego 52/15
54-719 Krosno"
"Mariusz Przybyś"	"ul. Dobra 463
35-029 Kościan"
"pani Melania Boksa"	"ul. Księżycowa 41
64-582 Pabianice"
"pani Elżbieta Glenc"	"ulica Wczasowa 350
90-880 Świdnik"
"Mariusz Dziurdzia"	"plac Witosa 395
49-905 Cieszyn"
"pani Sara Kapustka"	"ul. Myśliwska 603
85-968 Płock"
"Elżbieta Fikus"	"ul. Brzozowa 34/90
24-024 Żywiec"
"Dariusz Cyman"	"ul. Pałacowa 78/08
87-288 Dębica"
"Ida Gwizdek"	"ulica Maczka 50/56
18-370 Siedlce"
"Adrianna Mętel"	"ul. Maczka 696
74-015 Stalowa Wola"
"pani Dagmara Nazarewicz"	"ulica Konarskiego 14/07
90-490 Tychy"
"Ida Fugiel"	"al. Rybacka 526
48-821 Tychy"
"Dorota Chomik"	"pl. Bolesława Chrobrego 58
35-133 Sochaczew"
"Olgierd Filek"	"aleja Bankowa 98
40-800 Kętrzyn"
"Olaf Mieloch"	"aleja Broniewskiego 88/13
59-891 Bytom"
"pani Malwina Ważny"	"plac Batalionów Chłopskich 787
25-458 Nysa"
"Alan Misior"	"pl. Sikorskiego 581
73-942 Siedlce"
"pani Ewa Duczmal"	"pl. Słowackiego 50/08
63-325 Zakopane"
"Borys Jany"	"ulica Wiązowa 875
87-646 Reda"
"Adrianna Zawalich"	"ulica Wesoła 23
53-412 Kościerzyna"
"Piotr Raźniak"	"al. Pułaskiego 95/38
42-869 Tarnobrzeg"
"Rafał Święs"	"plac Kopernika 44
12-126 Sandomierz"
"Lidia Lukas"	"pl. Korczaka 59
92-091 Nowa Sól"
"Eryk Wąsek"	"aleja Okrzei 511
67-829 Giżycko"
"pan Eryk Lemke"	"plac Jana Sobieskiego 566
60-987 Płońsk"
"Cezary Hadam"	"pl. Skłodowskiej-Curie 492
92-850 Wodzisław Śląski"
"Miłosz Wyroba"	"pl. Listopada 28
87-234 Warszawa"
"Angelika Honkisz"	"ulica Batalionów Chłopskich 89/90
11-447 Piaseczno"
"pan Miłosz Berg"	"al. Wolności 95/26
51-058 Starogard Gdański"
"Agnieszka Kreczmer"	"plac Narutowicza 630
33-930 Oleśnica"
"Eliza Kochman"	"al. Reja 84
64-097 Nowa Ruda"
"Gabriel Łaszczyk"	"ul. Kościuszki 27/88
55-784 Lubin"
"Maciej Hein"	"pl. Konopnickiej 42/96
15-434 Dąbrowa Górnicza"
"Eryk Galik"	"pl. Bolesława Chrobrego 661
12-886 Ostróda"
"Rafał Bryzek"	"ul. Azaliowa 98/06
46-594 Koszalin"
"Krystian Konrad"	"ulica Krasińskiego 86/44
35-426 Wejherowo"
"Łukasz Gabryelczyk"	"plac Kościuszki 735
29-069 Krotoszyn"
"pan Borys Szlaga"	"ulica Plażowa 73/12
17-796 Olsztyn"
"Adam Druszcz"	"ulica Floriana 00/08
94-375 Wałcz"
"Agnieszka Kulis"	"al. Lelewela 25
73-627 Legionowo"
"Kacper Szmagaj"	"aleja Rejtana 57/04
25-194 Leszno"
"Blanka Kośnik"	"ulica Traugutta 15
40-871 Dzierżoniów"
"Sandra Szeja"	"al. Częstochowska 70/57
64-570 Mława"
"pani Nela Smela"	"aleja Toruńska 741
60-741 Skarżysko-Kamienna"
"Tadeusz Dziadura"	"aleja Sucharskiego 279
31-107 Mysłowice"
"Olga Kluj"	"aleja Pułaskiego 20/79
09-911 Zgierz"
"Nela Cabała"	"pl. Popiełuszki 23
95-920 Łuków"
"Ewelina Zuziak"	"ul. Konopnickiej 54/56
61-254 Swarzędz"
"Adam Węgrzynowicz"	"al. Jeżynowa 93/18
83-221 Żyrardów"
"Agnieszka Mirończuk"	"ul. Głogowa 88/33
94-611 Toruń"
"pani Aniela Krüger"	"aleja Orzechowa 65/79
62-913 Nowy Sącz"
"Róża Pieczyrak"	"plac Popiełuszki 19
90-827 Żagań"
"Jeremi Sapa"	"ulica Robotnicza 536
61-315 Września"
"pan Aleksander Wrochna"	"aleja Armii Krajowej 80/10
76-644 Jaworzno"
"Elżbieta Dobroń"	"aleja Kolejowa 89
72-021 Nowy Sącz"
"Kajetan Fierek"	"al. Krótka 09
21-008 Jelenia Góra"
"Malwina Broncel"	"aleja Traugutta 01/20
70-677 Kłodzko"
"Alex Spadło"	"al. Ogrodowa 623
13-252 Dąbrowa Górnicza"
"Franciszek Kułach"	"plac Kołłątaja 47/00
52-392 Piotrków Trybunalski"
"Agnieszka Policht"	"ul. Skośna 78/92
19-350 Zabrze"
"pan Filip Łosiewicz"	"plac Kraszewskiego 371
36-940 Radom"
"Ada Szałata"	"ul. Północna 50/71
13-975 Żary"
"pani Kaja Czulak"	"ulica Sadowa 79
03-844 Łowicz"
"Tola Sycz"	"ul. Armii Krajowej 443
79-377 Rumia"
"pani Ewa Kazubek"	"al. Sowia 49/60
46-037 Rumia"
"pan Robert Hallmann"	"ulica Kołłątaja 94
45-719 Jaworzno"
"pani Ida Zachwieja"	"aleja Rzeczna 64
81-339 Krotoszyn"
"pani Kamila Dela"	"ul. Mazowiecka 01
89-007 Mysłowice"
"pani Aniela Deneka"	"aleja Dworcowa 30
45-177 Oława"
"Agnieszka Rejniak"	"ul. Partyzantów 536
12-372 Jarocin"
"Tymon Gustaw"	"ul. Stefana Batorego 86
28-754 Żywiec"
"Justyna Leszczak"	"ul. Rolnicza 74/14
84-403 Wągrowiec"
"Kacper Krzyśków"	"ul. Jana Sobieskiego 04
55-007 Knurów"
"pan Juliusz Gajownik"	"al. Turkusowa 167
40-141 Chrzanów"
"Nicole Proch"	"al. Toruńska 263
71-537 Bielawa"
"pan Gabriel Wojsa"	"aleja Borówkowa 21/65
04-378 Czechowice-Dziedzice"
"Roksana Krysik"	"ul. Piękna 35/85
06-216 Zawiercie"
"Albert Żółkiewicz"	"al. Rejtana 46
67-893 Łuków"
"pani Eliza Kluczyk"	"aleja Władysława Łokietka 68
82-902 Mława"
"Agnieszka Tomalik"	"ul. Lotnicza 663
86-643 Tczew"
"Maurycy Ptok"	"plac Konarskiego 56
18-826 Chrzanów"
"Justyna Wojtak"	"al. Partyzantów 45
93-615 Jarosław"
"Krzysztof Wlazły"	"plac Piłsudskiego 85
40-383 Polkowice"
"pani Rozalia Gągała"	"ulica Piekarska 77/67
29-581 Płońsk"
"Krystian Rudyk"	"aleja Sowia 033
33-481 Knurów"
"Kaja Wojtanowicz"	"ulica Graniczna 70
22-740 Skarżysko-Kamienna"
"pan Wiktor Senator"	"al. Glówna 93
98-445 Wołomin"
"pan Kacper Stypa"	"pl. Makuszyńskiego 555
77-818 Sieradz"
"Aleksander Wojtach"	"ulica Kusocińskiego 886
51-967 Włocławek"
"Agnieszka Wiaderek"	"al. Gałczyńskiego 542
23-104 Opole"
"Kamil Tolak"	"al. Pszenna 722
82-340 Tychy"
"Jerzy Osik"	"ul. Ściegiennego 53
74-200 Siemianowice Śląskie"
"Michał Jeszke"	"ul. Cisowa 98/14
12-170 Ełk"
"Rozalia Maszkiewicz"	"pl. Powstańców Wielkopolskich 82/84
50-659 Nysa"
"Anna Maria Gumuła"	"ul. Staffa 54/98
88-659 Ostrołęka"
"Antoni Sieja"	"plac Tuwima 10
01-541 Olkusz"
"pan Ernest Prucnal"	"pl. Kruczkowskiego 60/30
08-616 Marki"
"pani Eliza Preuss"	"al. Mała 01
51-956 Płońsk"
"Fryderyk Hornik"	"pl. Kochanowskiego 62
17-944 Ruda Śląska"
"Agnieszka Wlazły"	"al. Brzozowa 83/78
20-127 Rzeszów"
"Maksymilian Czupryn"	"ulica Kołłątaja 12/90
14-589 Koło"
"Wiktor Kiciak"	"aleja Powstańców Wielkopolskich 14/00
59-130 Kędzierzyn-Koźle"
"Konstanty Futyma"	"ul. Mieszka I 22/51
35-280 Zgierz"
"Emil Osica"	"plac Czarnieckiego 07
73-736 Polkowice"
"Natasza Senger"	"ul. Szpitalna 111
55-180 Olkusz"
"Adam Wielgat"	"aleja Jodłowa 07/93
08-112 Bochnia"
"Julian Plak"	"aleja Kilińskiego 807
98-210 Ełk"
"Paweł Ciereszko"	"aleja Fabryczna 89/79
17-956 Poznań"
"Olga Kolber"	"al. Kolejowa 23
84-606 Biała Podlaska"
"Agnieszka Zastawny"	"ul. Hallera 03/14
61-017 Olsztyn"
"Dawid Gąbka"	"al. Lelewela 89
68-487 Ostrowiec Świętokrzyski"
"pan Krzysztof Kajstura"	"ulica Miła 88
13-286 Bolesławiec"
"pan Damian Żynda"	"ulica Liliowa 696
29-849 Sosnowiec"
"Ksawery Dziechciarz"	"aleja Jaworowa 62/47
17-653 Elbląg"
"Kamil Kuźnia"	"plac Rynek 948
39-815 Kościan"
"Albert Boruń"	"ul. Mazowiecka 76/75
55-106 Białogard"
"Szymon Łaszcz"	"ul. Matejki 98
40-072 Kołobrzeg"
"Krystyna Pioch"	"aleja Maja 97/30
09-667 Zamość"
"Wojciech Peda"	"ulica Powstańców Śląskich 89/29
48-899 Toruń"
"Alan Balik"	"al. Królewska 23/89
29-061 Kościerzyna"
"Kazimierz Piskor"	"ul. Miła 51/79
55-783 Zamość"
"Olgierd Kusek"	"aleja Paderewskiego 04/33
92-040 Stargard Szczeciński"
"pani Tola Mizgała"	"ulica Ptasia 645
80-320 Łomża"
"Julita Gronostaj"	"pl. Batalionów Chłopskich 33/39
52-874 Polkowice"
"pan Jakub Ficoń"	"plac Jana Sobieskiego 12/77
89-978 Ełk"
"Oliwier Dziadkiewicz"	"pl. Powstańców Śląskich 84/24
82-683 Siemianowice Śląskie"
"pan Krzysztof Jędrasiak"	"aleja Traugutta 03/23
18-882 Wyszków"
"pan Norbert Szlufik"	"aleja Partyzantów 825
50-398 Szczytno"
"Witold Nałęcz"	"al. Powstańców 077
12-135 Śrem"
"Alan Bartoszak"	"ul. Malczewskiego 81
37-034 Nowy Targ"
"Kaja Mrozowicz"	"aleja Wrocławska 60
29-351 Wrocław"
"Julita Majnusz"	"plac Konarskiego 57/23
49-104 Jarocin"
"pani Sylwia Dyrek"	"pl. Krasickiego 77
23-191 Koło"
"Tymoteusz Lisoń"	"pl. Broniewskiego 049
33-552 Kalisz"
"Sebastian Nowrot"	"pl. Makuszyńskiego 532
26-868 Ostrów Mazowiecka"
"Miłosz Goliszek"	"aleja Rejtana 664
37-573 Marki"
"pan Grzegorz Merda"	"pl. Wyspiańskiego 031
11-723 Olsztyn"
"pan Kamil Kozaczuk"	"aleja Pogodna 945
43-055 Nysa"
"pani Justyna Wojewódka"	"plac Bolesława Chrobrego 84
49-477 Radom"
"Alan Bugno"	"al. Dąbrowskiej 11/29
16-390 Siemianowice Śląskie"
"pani Marika Żółkiewicz"	"al. Cedrowa 17
83-637 Nowy Dwór Mazowiecki"
"Dominik Bździuch"	"pl. Asnyka 180
47-296 Łódź"
"pan Juliusz Dydak"	"pl. Żwirki i Wigury 831
70-843 Inowrocław"
"Dawid Piekara"	"al. Cmentarna 63
43-290 Sanok"
"Maksymilian Gadzina"	"ulica Wieniawskiego 832
22-817 Tychy"
"Tobiasz Sładek"	"aleja Lipca 84/92
13-322 Katowice"
"pan Dariusz Komperda"	"ul. Piękna 33/84
94-992 Krosno"
"pan Aleks Wajer"	"pl. Reja 99/81
20-965 Jastrzębie-Zdrój"
"pan Paweł Cybul"	"al. Poprzeczna 585
77-510 Jarosław"
"Alan Duży"	"aleja Traugutta 909
12-841 Nysa"
"pani Kamila Dziadkiewicz"	"al. Parkowa 18/41
93-287 Tarnobrzeg"
"Alan Solarek"	"aleja Wolności 73
85-331 Zielona Góra"
"Andrzej Łągiewka"	"pl. Wojska Polskiego 749
39-137 Łuków"
"Jerzy Błażejczak"	"aleja Daleka 815
94-227 Zduńska Wola"
"Angelika Mizgała"	"al. Wysoka 24
63-219 Puławy"
"Kornelia Kłysz"	"al. Zaułek 95/26
89-084 Piekary Śląskie"
"Oliwier Sobuś"	"al. Bursztynowa 00
88-005 Koło"
"Stanisław Ruman"	"ulica Moniuszki 11/79
21-699 Łódź"
"Liwia Such"	"ulica Reja 79
94-345 Rybnik"
"Alan Krywult"	"ulica Poprzeczna 427
54-667 Chorzów"
"Aleksander Taciak"	"ul. Dworska 09/30
12-842 Krotoszyn"
"Róża Dzidek"	"plac Szymanowskiego 367
31-925 Zawiercie"
"pan Emil Ferdyn"	"ul. Słowackiego 22
99-839 Ostrołęka"
"Hubert Flisek"	"al. Kossaka 480
20-006 Malbork"
"Maciej Ścibisz"	"ulica Perłowa 963
50-267 Kraków"
"Sonia Hajdas"	"ulica Działkowa 47
96-907 Otwock"
"pani Ida Pastuszko"	"ul. Kaliska 574
45-603 Polkowice"
"Malwina Olas"	"ulica Makuszyńskiego 74
89-299 Otwock"
"Dominik Konstanty"	"aleja Towarowa 94
36-318 Białogard"
"Alan Kłoczko"	"ulica Odrzańska 643
59-297 Opole"
"Olga Lato"	"al. Wojciecha 139
99-948 Tarnobrzeg"
"Aurelia Mol"	"ulica Prusa 84/66
83-345 Tychy"
"Grzegorz Sosnówka"	"ulica Jadwigi 97
59-220 Śrem"
"Dorota Kościelak"	"plac Kościuszki 031
51-945 Lubin"
"Dagmara Merchel"	"pl. Paderewskiego 866
45-258 Chojnice"
"Krystyna Małż"	"pl. Kruczkowskiego 27
30-341 Czerwionka-Leszczyny"
"Ewa Makaruk"	"ul. Rataja 33/15
44-383 Ostrów Mazowiecka"
"Krzysztof Łęgowik"	"aleja Staffa 476
21-439 Włocławek"
"Krzysztof Kazior"	"ul. Gałczyńskiego 40/29
70-564 Kraków"
"Alan Paczos"	"aleja Stawowa 514
10-449 Ciechanów"
"Nela Rybus"	"ulica Morska 74
39-752 Brzeg"
"Maciej Rembacz"	"ulica Gałczyńskiego 92/26
90-246 Kraków"
"Piotr Bilewicz"	"aleja Pszenna 43
18-734 Wrocław"
"Adam Basak"	"al. Zielna 18
10-630 Jarocin"
"Igor Kuran"	"aleja Powstańców Wielkopolskich 610
65-092 Nowa Sól"
"Wiktor Wiekiera"	"pl. Wyspiańskiego 20
27-197 Wałbrzych"
"Liwia Matacz"	"ul. Przemysłowa 27
04-031 Szczytno"
"Hubert Janasz"	"aleja Maczka 436
23-379 Wołomin"
"Artur Żurawik"	"ul. Ciasna 97
34-433 Elbląg"
"Alan Wudarczyk"	"pl. Krasińskiego 191
62-301 Gorlice"
"Patryk Matulka"	"ulica Staffa 60/77
95-026 Oława"
"Liwia Salawa"	"ulica Wyzwolenia 57
95-148 Radom"
"Roksana Sanetra"	"aleja Listopada 081
27-510 Siedlce"
"pani Agnieszka Amanowicz"	"plac Andersa 397
78-058 Wołomin"
"Tomasz Feliksiak"	"plac Popiełuszki 93
92-498 Gdańsk"
"pani Angelika Jędrys"	"ulica Jaworowa 350
13-877 Płock"
"Wojciech Myga"	"aleja Kołłątaja 03
12-122 Leszno"
"Adam Gonet"	"aleja Dolna 94
77-599 Oława"
"Lidia Kajak"	"plac Sienkiewicza 341
59-658 Pruszcz Gdański"
"Albert Bazela"	"ulica Wiśniowa 77
65-104 Piaseczno"
"Miłosz Flieger"	"ul. Powstańców 81/85
87-478 Jastrzębie-Zdrój"
"Igor Grochowina"	"ul. Żwirowa 227
90-744 Turek"
"Kornel Patrzałek"	"al. Poprzeczna 89/56
75-626 Zamość"
"Roksana Szałas"	"ulica Jadwigi 926
53-880 Sanok"
"Lidia Pedrycz"	"ul. Agrestowa 64/30
92-157 Nowy Targ"
"Sebastian Pituła"	"ul. Sybiraków 201
16-590 Świecie"
"Sebastian Mokwa"	"al. Rzeczna 36/49
08-680 Szczytno"
"pani Kaja Salomon"	"ul. Gałczyńskiego 82/89
48-700 Bielsk Podlaski"
"Maurycy Jażdżyk"	"ul. Okulickiego 816
17-418 Wałbrzych"
"Albert Budniak"	"aleja Batalionów Chłopskich 395
74-401 Marki"
"Grzegorz Petrus"	"aleja Częstochowska 45
66-619 Lublin"
"pani Liwia Fyda"	"ul. Daszyńskiego 750
09-036 Rumia"
"Wiktor Padło"	"al. Odrzańska 04/33
59-019 Skierniewice"
"Jan Haremza"	"plac Stefana Batorego 50
05-114 Nowa Ruda"
"Krystian Kurach"	"ulica Sucharskiego 10/73
88-059 Luboń"
"Alex Zieja"	"al. Wyzwolenia 12/19
62-161 Świdnik"
"Natasza Goś"	"ulica Jastrzębia 99/90
90-347 Stargard Szczeciński"
"Maksymilian Ruman"	"pl. Konstytucji 3 Maja 208
83-387 Brodnica"
"pani Anastazja Kosno"	"ul. Traugutta 78
91-747 Zakopane"
"Albert Gordon"	"pl. Kosynierów 975
05-185 Zambrów"
"Igor Baranowicz"	"ulica Brzoskwiniowa 000
80-637 Poznań"
"Ewa Dulik"	"al. Żwirki i Wigury 58
58-177 Gliwice"
"Julita Natanek"	"aleja Błękitna 404
28-378 Katowice"
"pani Kaja Romejko"	"ulica Korfantego 82/74
44-298 Świętochłowice"
"Liwia Broniarek"	"aleja Szarych Szeregów 352
97-227 Pruszków"
"Kornel Widuch"	"ul. Azaliowa 33/97
23-161 Brodnica"
"Michał Pawliczek"	"plac Jana III Sobieskiego 77
09-201 Świętochłowice"
"Olgierd Uliczka"	"plac Mieszka I 61/05
90-645 Starachowice"
"Apolonia Grunt"	"ulica Leśna 94
80-640 Szczecin"
"Albert Litewka"	"ul. Nowowiejska 87/75
65-071 Dzierżoniów"
"pani Krystyna Matura"	"ulica Złota 638
03-475 Tomaszów Mazowiecki"
"Krystyna Rejmak"	"al. Górska 55/25
30-794 Śrem"
"Sebastian Rodzeń"	"al. Konarskiego 088
13-419 Tychy"
"pan Jędrzej Fac"	"plac Traugutta 38
76-594 Swarzędz"
"pan Borys Mierzwiak"	"plac Malczewskiego 25
12-774 Legionowo"
"pani Anna Maria Bogumił"	"pl. Andersa 119
78-430 Stargard Szczeciński"
"Eryk Węgrzynek"	"ul. Krokusowa 951
20-063 Włocławek"
"pani Aniela Matula"	"ul. Polna 144
83-745 Marki"
"Kamil Pachnik"	"pl. Korczaka 114
91-526 Mielec"
"Albert Michnik"	"plac Wolności 95
13-058 Świnoujście"
"pani Kaja Mszyca"	"aleja Zachodnia 72/16
73-673 Czerwionka-Leszczyny"
"Bartek Steciuk"	"ulica Mazowiecka 770
48-846 Koło"
"Norbert Goik"	"ulica Chabrowa 58/80
73-688 Inowrocław"
"Leonard Pituła"	"plac Hallera 44
99-377 Katowice"
"Adrian Petryk"	"ulica Witosa 40
39-740 Koszalin"
"Urszula Kiliszek"	"ul. Sarnia 68/04
88-994 Jasło"
"Rozalia Mesjasz"	"pl. Solidarności 14/38
60-358 Krotoszyn"
"pan Oskar Kucharz"	"al. Bursztynowa 98/14
29-322 Chrzanów"
"Ignacy Hirsch"	"al. Tęczowa 188
25-852 Olkusz"
"Albert Nurek"	"pl. Żwirki i Wigury 83/07
73-670 Iława"
"Melania Kapral"	"pl. Skargi 536
67-166 Rumia"
"Leonard Iwanow"	"plac Wróblewskiego 83
65-564 Dąbrowa Górnicza"
"Alex Suchoń"	"ulica Baczyńskiego 45
53-173 Świdnik"
"Leonard Kukieła"	"pl. Solidarności 02
27-075 Świdnica"
"Artur Suszko"	"ul. Andersa 93/10
84-980 Będzin"
"Dominik Stosik"	"al. Wojska Polskiego 65
01-645 Opole"
"Ksawery Zontek"	"plac Krasickiego 572
14-891 Piekary Śląskie"
"Daniel Reszke"	"ul. Bankowa 16
74-253 Tarnów"
"Anita Steciuk"	"al. Maja 15
29-334 Giżycko"
"Albert Pitek"	"ulica Floriana 46/77
75-817 Siemianowice Śląskie"
"Natasza Potoczek"	"plac Solidarności 04/82
45-935 Mińsk Mazowiecki"
"Karina Berek"	"plac Stycznia 22/37
32-787 Biłgoraj"
"Oliwier Łuckiewicz"	"pl. Wybickiego 612
36-752 Olkusz"
"Rozalia Bereda"	"pl. Kopernika 138
83-289 Piaseczno"
"Łukasz Ryznar"	"plac Kochanowskiego 564
04-883 Warszawa"
"Marika Pałyga"	"pl. Sawickiej 99
23-103 Wieluń"
"pani Krystyna Durczok"	"ul. Wyzwolenia 661
73-660 Bytom"
"Adrianna Żmija"	"ul. Miarki 69/35
43-003 Gdańsk"
"Hubert Kopik"	"pl. Brzechwy 51/04
71-434 Sochaczew"
"Albert Rzońca"	"ulica Dębowa 07/08
15-080 Kwidzyn"
"Jakub Hamera"	"al. Stycznia 74/05
02-583 Pruszcz Gdański"
"Stefan Lemanowicz"	"ulica Orzeszkowej 91/29
34-012 Szczytno"
"pan Józef Kujda"	"pl. Fredry 67/51
02-994 Knurów"
"Mieszko Łepek"	"plac Pułaskiego 066
60-939 Elbląg"
"Agnieszka Tyma"	"aleja Ptasia 23/33
89-036 Jaworzno"
"Jerzy Gryciuk"	"plac Głowackiego 322
61-346 Konin"
"pan Aleks Dłubak"	"ul. Rycerska 065
14-453 Bielawa"
"Lidia Gogół"	"ulica Słoneczna 449
57-082 Jasło"
"Nicole Kuk"	"al. Baczyńskiego 24
92-938 Świdnica"
"Albert Szlachcic"	"aleja Wojciecha 03
95-361 Żory"
"pani Sandra Fijałek"	"pl. Witosa 59/58
63-528 Luboń"
"Jakub Augustynek"	"ul. Powstańców Wielkopolskich 12
24-100 Grodzisk Mazowiecki"
"Artur Góraj"	"pl. Rynek 033
22-268 Pruszków"
"pani Urszula Lipowicz"	"aleja Wiślana 71
96-054 Pabianice"
"Witold Tasarz"	"aleja Wilcza 730
76-650 Ostrów Wielkopolski"
"Jakub Bracha"	"ulica Stycznia 73/72
40-520 Września"
"Michał Hawro"	"ulica Mostowa 40
67-782 Lębork"
"Agnieszka Koniec"	"pl. Bema 93
10-596 Wyszków"
"Tymoteusz Frost"	"pl. Władysława Jagiełły 85/30
34-391 Zambrów"
"Albert Słysz"	"al. Willowa 56/68
45-059 Radomsko"
"Jakub Osica"	"ulica Pałacowa 96/70
16-075 Zabrze"
"Alan Doliwa"	"al. Mieszka I 56/99
27-816 Jawor"
"Olgierd Jakoniuk"	"pl. Tysiąclecia 851
33-654 Częstochowa"
"Robert Chyb"	"ulica Bolesława Chrobrego 733
90-744 Wrocław"
"Witold Zgoła"	"pl. Jana Sobieskiego 99
10-087 Lubliniec"
"Alan Ziegler"	"ulica Wybickiego 523
24-746 Ząbki"
"Oliwier Byzdra"	"ulica Wrocławska 52/89
41-978 Włocławek"
"pani Lidia Dryka"	"aleja Skośna 209
29-742 Ruda Śląska"
"pan Piotr Matacz"	"aleja Chełmońskiego 07/26
99-986 Czechowice-Dziedzice"
"Albert Wacławczyk"	"pl. Sikorskiego 53
22-415 Białogard"
"Maurycy Kaźmierczyk"	"pl. Świerczewskiego 80/49
38-812 Kutno"
"Filip Ulrych"	"al. Lipowa 84
29-864 Tczew"
"Julianna Kosowicz"	"pl. Konstytucji 3 Maja 955
15-306 Brzeg"
"Michał Indyk"	"ul. Kraszewskiego 60/12
03-507 Piekary Śląskie"
"pani Natasza Szok"	"aleja Wróblewskiego 80/37
98-228 Wodzisław Śląski"
"Jędrzej Kudela"	"ulica Skrajna 23
01-399 Konin"
"Mateusz Maciuk"	"aleja Grottgera 154
44-061 Rybnik"
"Sylwia Bartoszczyk"	"ulica Piękna 77/35
50-906 Gliwice"
"pani Nela Wawrzyńczyk"	"ul. Konarskiego 74/59
67-406 Jaworzno"
"Aleks Cibor"	"ulica Wojciecha 87
75-146 Brodnica"
"Kornel Bystrek"	"ul. Kruczkowskiego 59/29
43-640 Kutno"
"pani Rozalia Folga"	"plac Witosa 29
18-785 Mińsk Mazowiecki"
"pan Albert Kulus"	"ulica Wojciecha 25
47-200 Kłodzko"
"Mieszko Piotrak"	"al. Kopernika 40
01-131 Zgorzelec"
"Kajetan Winnik"	"plac Jadwigi 96/27
13-513 Tarnów"
"pani Krystyna Glenc"	"pl. Gałczyńskiego 143
74-756 Ruda Śląska"
"Malwina Gadzała"	"plac Broniewskiego 35/87
87-648 Rumia"
"Róża Białka"	"ul. Ściegiennego 177
79-064 Gorlice"
"Maks Herda"	"al. Jana Pawła II 66/73
89-057 Kętrzyn"
"Aleks Juszczuk"	"aleja Wolności 31/47
80-497 Sopot"
"Bruno Klatka"	"plac Mieszka I 109
88-803 Radomsko"
"pan Jakub Sieg"	"al. Kosynierów 481
88-754 Płońsk"
"Malwina Mazik"	"ul. Słowicza 70/75
75-796 Żary"
"Alan Żyrek"	"pl. Żeromskiego 038
60-990 Leszno"
"pan Jacek Langiewicz"	"al. Rybacka 31
24-470 Łowicz"
