"A. Fehér Gábor","Kereszthidai utca 215.
H-1269 Dunakeszi"
"T. Szabó József","Keresztfai utca 195.
H-3278 Mellékháza"
"Fazekas Zsoltné Kis Ildikó","Ligetvári utca 16.
H-3524 Tótháza"
"Pintér Krisztiánné Kovács Anita","Ady endre utca 161.
H-4465 Szolnok"
"B. Varga Ferenc","Miskolci utca 110.
H-7737 Egyházasmellékdevecser"
"Horváth G. Gábor","Újszéki utca 183.
H-3556 Mindszentbánya"
"Dr. Sándor Z. Zoltán","Kossuth utca 215.
H-2323 Dunamellékkőrös"
"Kovács I. Anna","Miskolci utca 129.
H-7194 Felsőtótberény"
"Dr. B. Papp István","Érdi utca 47.
H-3070 Tótdevecser"
"Farkas Dóra Anita","Dunakeszii utca 81.
H-7771 Békéstamásiháza"
"D. Orsós Péter","Dózsa györgy utca 193.
H-9100 Hetvenfa"
"Juhászné Dr. Horváth Edit","Béke út 5.
H-9721 Nyíregyháza"
"Bogdán L. Dávid","Kossuth út 171.
H-9219 Mindszentvára"
"Dr. Lukács Ferencné","Ady endre utca 39.
H-8386 Somogymellékkövesd"
"Bakos Erzsébet","Szentgyörgyi utca 33.
H-5943 Oroszhátkövesd"
"Dr. Kocsis Józsefné","Bácsi utca 198.
H-5059 Pilishetvenváros"
"Fehér Katalin","Soproni utca 105.
H-9435 Székvárad"
"Dr. Mészárosné Szilágyi Nikoletta","Béke út 122.
H-9431 Békésmindszenthida"
"Szabó Virág Ágnes","Lajosmártoni utca 90.
H-4952 Szolnok"
"Fodor Tamás","Keresztkövesdi tér 191.
H-7802 Érd"
"E. Szabó Dóra","Fürdővárai tér 30.
H-1986 Dunakeszi"
"Kovácsné Szabó Zita","Pécsi utca 104.
H-1960 Nyírtamásivára"
"K. Balla Gábor","Fürdőberényi utca 170.
H-9410 Mellékfa"
"Dr. I. Budai János","Egeri utca 99.
H-6094 Veszprém"
"Bakos József Péter","Érdi tér 211.
H-7594 Nyíregyháza"
"Dr. Nagyné Balogh Klára","Szabadság út 233.
H-8161 Nyékkeresztháza"
"Horváthné Dr. Budai Ilona Rozália","Dózsa györgy tér 81.
H-1667 Tamásikőrös"
"Dr. Virágné Fodor Ildikó","Ady endre út 120.
H-1462 Érd"
"Dr. Csonka Géza Ádám","Arany jános utca 174.
H-7098 Törökmellékvára"
"Ballané Gáspár Andrea Emma","Egeri tér 54.
H-6263 Dunakeszi"
"Balogh Sándor Sándor","Miskolci utca 100.
H-5096 Zalaegerszeg"
"Dr. Oroszné Horváth Éva Beáta","Szombathelyi utca 192.
H-3400 Fürdőfalu"
"Nagyné Kiss Zsuzsanna","Tapolcaapátii utca 96.
H-8470 Ráchídnémeti"
"Dr. Szabóné Szabó Henrietta Henrietta","Mindszentházai utca 23.
H-3099 Györgyváros"
"Bakosné Dr. Balázs Lilla","Dózsa györgy utca 78.
H-6572 Balatontótváros"
"Halász Roland","Érdi utca 125.
H-8841 Zalaegerszeg"
"Kovács T. István","Kossuth utca 215.
H-2466 Magyarhídháza"
"Kiss Árpád Csaba","Szentmindszenti utca 12.
H-8564 Nyíregyháza"
"Lakatos Mária","Tótvégi út 133.
H-8936 Németi"
"Dr. R. Rácz András","Pécsi utca 230.
H-1679 Kishetvenhalas"
"Dr. Balog Gábor","Dunakeszii út 110.
H-5801 Tótapáti"
"Dr. Kovács S. Gyula","Salgótarjáni utca 53.
H-9121 Hajdúkeresztapáti"
"Kovácsné Dr. Kis Csilla","Fürdőházai utca 74.
H-4561 Vác"
"Dr. Ráczné Lakatos Ilona Mária","Keresztfalui utca 214.
H-8889 Kismártonfa"
"Balla Imre Róbert","Dunaújvárosi utca 124.
H-8477 Ligetfa"
"Kovács Réka Erzsébet","Érdi utca 112.
H-4106 Fürdőbánya"
"Szücs Zsolt","József attila utca 172.
H-9570 Váchátváros"
"Dr. Nagy Rozália Alexandra","Bajai utca 35.
H-1093 Hátvárad"
"Török L. Dávid","Nyírtamásii utca 213.
H-3948 Ligetnádasd"
"Rácz B. Anna","Ady endre utca 159.
H-2191 Miskolc"
"A. Király István","Szabadság út 63.
H-5584 Zalaegerszeg"
"Simonné Kovács Edina","Szentkereszti utca 62.
H-2506 Dunakeszi"
"Szabóné Dr. Kovács Viktória","Bakonytapolcai utca 223.
H-3087 Bakonytapolcafalva"
"Tóthné Dr. Horváth Erika","Felsőtóti utca 70.
H-4962 Hida"
"Balla Ágnes Erika","Tapolcaharasztii utca 183.
H-5133 Nyírszékhida"
"Tóth J. Zoltán","Kossuth utca 49.
H-5781 Tamásivára"
"Fekete Patrik Máté","Hídfai utca 230.
H-4643 Keresztvárad"
"Kovács Piroska Tímea","Tamásikőrösi utca 139.
H-8186 Sopron"
"Szalai Klára","Mosonmagyaróvári utca 208.
H-2199 Szeged"
"G. Tóth Szilvia","Hátvárai utca 64.
H-2727 Tatabánya"
"Dr. Lakatosné Juhász Jolán","Győri utca 114.
H-4934 Mellékkövesd"
"Dr. Tóth Mária","Dunakeszii utca 215.
H-6527 Szombathely"
"Nagy Pál","Nyírgyörgyi utca 205.
H-9470 Hetvenkőrös"
"Dr. Lakatosné Kiss Julianna","Szabadság utca 117.
H-5821 Pilishídvár"
"Ballané Dr. Kiss Ágnes","Ceglédi utca 87.
H-9039 Alsótamásiapáti"
"Dr. Szabóné Török Ágnes","Nyírháti út 9.
H-3347 Nagyfürdővárad"
"Kovácsné Dr. Farkas Gabriella Mónika","Balatonkereszti utca 30.
H-4739 Tótfa"
"Dr. Tóth Balázsné","Tótfai utca 74.
H-2424 Szombathely"
"Pataki János","Kuntóti utca 234.
H-2000 Újtamásiberény"
"Kocsis István","Szolnoki utca 204.
H-1060 Lajosfürdőkőrös"
"Dr. Varga Kiss Tünde","Hátváradi utca 246.
H-5335 Mellékfalva"
"Dr. Papp Rebeka","Tóthalasi utca 246.
H-4220 Hetvenhida"
"Vargané Dr. Nagy Julianna","Soproni út 50.
H-8332 Tapolcadevecser"
"Varga M. Ádám","Keresztkövesdi utca 113.
H-4631 Baja"
"Balog Imre Krisztián","Soproni utca 234.
H-9942 Györgyfalva"
"Dr. Bakos Erzsébet","Tapolcaváradi utca 108.
H-6345 Békéscsaba"
"Kovács Katalin","Szigetszentmiklósi utca 32.
H-6353 Hátnádasd"
"Dr. Horváth Zoltánné","Kaposvári utca 159.
H-5872 Fürdőapáti"
"Takács Zsolt László","Szombathelyi utca 213.
H-2067 Töröktótnémeti"
"Tóth Ildikó","Mezőtapolcai utca 233.
H-4372 Kaposvár"
"Dr. Kovács T. Éva","Ady endre út 109.
H-1406 Keresztfalu"
"Sándorné Dr. Kerekes Erika","Kecskeméti út 188.
H-8852 Hátvárad"
"Biró István Ottó","Érdi utca 157.
H-5483 Ózd"
"K. Kovács Bernadett","Kossuth utca 54.
H-1914 Nyéktapolcaharaszti"
"Balog J. Gyöngyi","Györgyvárai utca 50.
H-6296 Tamásiváros"
"Oláh Bencené Balogh Andrea","Szabadság út 158.
H-1328 Várad"
"Tóth Ádám","Tótfalvai utca 73.
H-6688 Mindszentfa"
"Lukács Éva Éva","Németii utca 56.
H-9953 Hídnádasd"
"Mészáros A. Anna","Szolnoki tér 81.
H-9418 Fürdőháza"
"Mészáros Renáta Marianna","Budapesti utca 217.
H-8578 Vácmártonvárad"
"Balogh Attila Gábor","Kisi utca 48.
H-6782 Hetvenkőrös"
"Szilágyiné Bodnár Margit","Ady endre utca 141.
H-2673 Székesfehérvár"
"Tóth P. Margit","Pécsi utca 7.
H-6842 Nyíregyháza"
"Farkas Csabané","Kaposvári tér 94.
H-4497 Pusztaháza"
"Balog Nagy Dóra","Hátharasztii út 90.
H-7311 Kaposvár"
"Tóth R. Ilona","Hídnémetii utca 249.
H-9038 Újhídnémeti"
"Kovács István Zoltán","Nagyi utca 78.
H-4711 Hídnémeti"
"Vargané Dr. Farkas Éva Kinga","Hetvenharasztii utca 13.
H-7149 Lajoshídvárad"
"Nemesné Jónás Csilla","Béke utca 30.
H-2545 Zalaegerszeg"
"J. Molnár Rudolf","Miskolci utca 205.
H-7633 Nyékszékdevecser"
"Horváth János","Keresztnádasdi út 138.
H-4697 Győr"
"Papp A. Botond","Érdi utca 7.
H-3692 Békéstamásihida"
"Tamás Attila","Budakereszti utca 59.
H-8919 Sopron"
"Lászlóné Tóth Tímea","Töröki út 138.
H-5712 Eger"
"Balog Z. Tamás","Hátházai tér 174.
H-4666 Székhida"
"Tóth Lajosné Gál Erzsébet","Egyházaskereszti utca 233.
H-8096 Alsótótnádasd"
"Katona Irén","Petőfi utca 167.
H-8612 Szombathely"
"Szabó Zsuzsanna Brigitta","Petőfi sándor utca 214.
H-3030 Tótapáti"
"E. Molnár András","Hetvenberényi utca 148.
H-8091 Hátvég"
"Dr. Papp Zoltánné","Hódmezővásárhelyi utca 246.
H-3358 Keresztvárad"
"Dr. Varga Gyulané Kovács Magdolna","Zalaegerszegi utca 226.
H-2252 Kaposvár"
"Székely Imrené Takács Erzsébet","Salgótarjáni utca 28.
H-5249 Hídhida"
"Dr. Kovácsné Gál Bettina Rita","Ady endre utca 53.
H-6155 Györgyváros"
"Sándorné Dr. Farkas Ilona","Béke utca 43.
H-8322 Fürdőkövesd"
"Balogh Alexné Kiss Alexandra","Szabadság tér 104.
H-4257 Békéscsaba"
"Horváth I. Márta","Ligetberényi utca 162.
H-9541 Székesfehérvár"
"Dr. Tóth András Sándor","Dózsa györgy utca 224.
H-1778 Mindszentháza"
"Horváth Szabó Laura","Dunakeszii utca 234.
H-8150 Keresztkőrös"
"Dr. M. Kovács Gergő","Ady endre utca 187.
H-1008 Ligetharaszti"
"Dr. Szilágyi Z. Andrea","Kisfürdői tér 31.
H-3328 Alsómindszentfalva"
"Dr. J. Horváth Katalin","Nyíregyházai tér 13.
H-1032 Ózd"
"Tóthné Dr. Tóth Erika","Tapolcanémetii utca 128.
H-8380 Ligetdevecser"
"Pál Tünde","Dózsa györgy utca 139.
H-3400 Hetvenvárad"
"Kovács Gizella","Hódmezővásárhelyi utca 110.
H-9808 Székesfehérvár"
"Balogh Bertalan István","Salgótarjáni út 108.
H-1252 Szerbtótfa"
"Dr. Szabó Kristófné Kovács Lili","Székharasztii utca 47.
H-4186 Budahátvárad"
"Tóth Hajnalka Judit","Felsőtóti utca 47.
H-6119 Dunakeszi"
"Dr. Tóth Kristóf","Nyíregyházai utca 138.
H-3778 Hátvárad"
"Kozma Erzsébet","Nagykanizsai utca 16.
H-2136 Oroszmindszentdevecser"
"G. Jakab Zsófia","Szenttamásii utca 211.
H-2660 Mártonvára"
"Kovács Ferencné Rácz Fanni","Kossuth utca 85.
H-2699 Tamásinémeti"
"Dr. Budainé Molnár Julianna","Nyíregyházai utca 162.
H-6264 Tótkőrös"
"Dr. Bakosné Szabó Ildikó","Keresztvárai utca 189.
H-1244 Ráchídkövesd"
"Z. Novák János","Arany jános utca 135.
H-2046 Drávahetvenfalu"
"Balogh Dániel László","Falui utca 115.
H-7592 Lajoshetvenvég"
"Sándor Tóth Kinga","Arany jános tér 86.
H-4604 Kecskemét"
"Dr. Pap Budai Viktor","Oroszgyörgyi tér 145.
H-5544 Borsodtótnémeti"
"M. Fehér Tünde","Petőfi utca 180.
H-8600 Zalaegerszeg"
"Kocsis Balázsné Oláh Rozália","Petőfi sándor utca 162.
H-9163 Békéshídnádasd"
"M. Kovács Katalin","Egeri utca 222.
H-1151 Miskolc"
"J. Lakatos Márton","Somogymindszenti utca 47.
H-8923 Nyírhátvárad"
"Rácz István","József attila út 36.
H-9780 Székkövesd"
"Antal É. Bernadett","Dózsa györgy utca 216.
H-5544 Hídnádasd"
"Balogh Margit","Borsodmindszenti utca 149.
H-9459 Mosonmártonberény"
"Balogh Erzsébet","Balatonkereszti utca 202.
H-4653 Hetvenvára"
"Nagy Szabó József","Egyházasháti utca 19.
H-8029 Székesfehérvár"
"Juhász T. János","Szabadság köz 130.
H-5804 Mezőtapolcakövesd"
"Dr. O. Kiss Katalin","Nyírligeti utca 48.
H-3279 Tatabánya"
"Dr. Rácz Istvánné","Ady endre tér 123.
H-5122 Kecskemét"
"Kovács E. Zsanett","Szegedi utca 156.
H-1229 Mosontótvég"
"Dr. Antal Jánosné","Béke utca 59.
H-3438 Hátdevecser"
"Horváth K. Mária","Soproni utca 18.
H-6199 Zalaegerszeg"
"Sándor Mihályné","Györgybányai utca 3.
H-3925 Tiszagyörgyvára"
"S. Lakatos István","Dózsa györgy utca 95.
H-8194 Törökkeresztváros"
"Balogh F. László","Alsóhídi utca 161.
H-3249 Kecskemét"
"Dr. Simon Margit","Szabadság utca 231.
H-2634 Hídkövesd"
"Dr. Lakatos Nagy Nándor","Petőfi sándor utca 10.
H-1758 Kövesd"
"R. Kovács Bernadett","Nagykanizsai tér 145.
H-8208 Melléknádasd"
"Balázs I. Ádám","Kossuth utca 50.
H-1155 Eger"
"Nagy Katona Veronika","Hódmezővásárhelyi utca 221.
H-1011 Kunberény"
"Gulyásné Takács Katalin","Soproni utca 82.
H-1758 Drávahetvenvára"
"Dr. Rácz T. Róbert","Lajosfürdői utca 6.
H-3183 Budafürdőharaszti"
"Horváth Katalin","Petőfi sándor utca 67.
H-2994 Kaposvár"
"Dr. Nagy Jánosné Horváth Gyöngyi","Petőfi utca 75.
H-4862 Mindszentfalu"
"Balogh Fekete Dominik","Egyházasi tér 134.
H-9426 Mosonhetvenvár"
"Dr. Papp Bélané","Váci utca 196.
H-6544 Cegléd"
"Dr. Oláh Márton Julianna","Tatabányai utca 219.
H-8931 Hódmezővásárhely"
"Mészáros Erzsébet Veronika","Váci tér 167.
H-6028 Szerbhídfalva"
"Dr. Szabóné Jakab Annamária Erika","József attila tér 162.
H-7182 Mátratótkövesd"
"Dr. Sándor Bogdán László","Tótházai utca 17.
H-5274 Békéscsaba"
"Jakab R. Rebeka","József attila út 209.
H-5034 Székesfehérvár"
"Kovács Szabó Gábor","József attila utca 97.
H-1669 Töröktapolcafa"
"Tóth Anna","Dózsa györgy utca 26.
H-2926 Hódmezővásárhely"
"Nagy Józsefné","Mátraszéki utca 231.
H-9120 Baja"
"Balogh Gergő","Salgótarjáni utca 20.
H-6848 Pécs"
"Novák Rácz Márta","Mártonharasztii utca 217.
H-7802 Mezőmártonberény"
"G. Novák Borbála","Törökháti utca 84.
H-4849 Nyékgyörgynémeti"
"K. Kovács Margit","Szabadság utca 68.
H-4838 Békéscsaba"
"Kis Balázs","Dózsa györgy út 218.
H-9594 Bácshátbánya"
"Bálint Szabó Tibor","Tótvári utca 196.
H-6689 Tamásiberény"
"Lukács Gulyás Jolán","Petőfi utca 234.
H-9465 Miskolc"
"Szabó Klára","Tamásifai utca 142.
H-5658 Tamásivár"
"Kovács Erika","Tamásiházai utca 208.
H-2890 Mártonharaszti"
"Oláh Rácz Andrea","Szabadság utca 176.
H-4919 Nagytótvára"
"Balogh Ildikó","Alsómelléki tér 86.
H-6491 Keresztkövesd"
"Dr. Barta Ilona Anett","Kaposvári utca 225.
H-4528 Érd"
"L. Pál Sándor","Szolnoki utca 210.
H-5043 Szolnok"
"Dr. A. Szabó Luca","Petőfi sándor utca 3.
H-2248 Németvára"
"Dr. Szabó Zoltán László","József attila utca 135.
H-1836 Györgynémeti"
"Deák Éva Erzsébet","Budaligeti körút 116.
H-5610 Borsodhídnémeti"
"Horváth István","Nagykanizsai utca 89.
H-1339 Hátfalva"
"Dr. Némethné Kiss Boglárka Anett","Házai utca 94.
H-2614 Hetvenvárad"
"Szőkené Dr. Tóth Éva","Nagykanizsai utca 31.
H-4445 Pusztafürdőbánya"
"Dr. Oláhné Antal Adrienn Anikó","Ady endre út 206.
H-8117 Zalaegerszeg"
"Balogh Istvánné","Bakonygyörgyi utca 46.
H-6836 Kereszthalas"
"Kis Éva Ilona","Hajdúhetveni utca 10.
H-9055 Tóthida"
"Dr. Vassné Kovács Bettina","Petőfi sándor utca 130.
H-3210 Nagymindszentvég"
"Nagy B. Petra","Tatabányai utca 243.
H-4293 Alsógyörgyhalas"
"Nagy Erzsébet","Magyarháti tér 47.
H-1807 Bácsberény"
"M. Nagy Erzsébet","Keresztapátii út 152.
H-4590 Hetvennádasd"
"Katona Orsós Mária","Egeri utca 169.
H-4709 Hátberény"
"Tóth Tiborné Nagy Mónika","Alsóhetveni tér 56.
H-3897 Györgyapáti"
"Simonné Dr. Orbán Anna Éva","Pécsi utca 146.
H-6685 Dunakeszi"
"Dr. Katona Ákos József","Tótvári utca 186.
H-2443 Kisszékváros"
"Balogh J. Margit","Németii utca 6.
H-3873 Magyarmellékfalva"
"Kissné Dr. Nagy Zsuzsanna","Kecskeméti utca 48.
H-9121 Bácshídkövesd"
"Dr. Lengyel Sándor","Mezőmindszenti utca 5.
H-3898 Drávahetvenhalas"
"Nemes Judit Erzsébet","Ózdi út 122.
H-7317 Fürdőváros"
"Fehér Péterné Kiss Valéria","Tótvárosi utca 74.
H-9688 Szigetszentmiklós"
"Németh László Péter","Váci út 89.
H-3929 Pusztaligetvár"
"V. Fehér István","Petőfi utca 109.
H-5145 Mellékapáti"
"Pál G. János","József attila utca 112.
H-7694 Keresztharaszti"
"Papp Gáborné","Nagyi utca 244.
H-3700 Belsőtótvég"
"Kovács Péterné Farkas Erzsébet","Székvári utca 88.
H-4271 Nyírháthalas"
"Balogh Kerekes Mihály","Oroszi utca 48.
H-4119 Ligetvég"
"Dr. Szabó G. István","Kossuth utca 106.
H-9073 Nagykanizsa"
"L. Sipos János","Szabadság utca 125.
H-7839 Mindszentháza"
"Dr. C. Szabó Csaba","Tapolcafalvai utca 131.
H-7456 Mellékvég"
"Dr. Farkas Marianna Etelka","Budapesti utca 100.
H-4413 Budahídvára"
"Dr. Tóthné Szabó Henrietta Andrea","Kaposvári utca 210.
H-3901 Szigetszentmiklós"
"Dr. Szilágyiné Szűcs Tímea","Béke út 29.
H-8263 Drávamindszentberény"
"Dr. Varga I. Gábor","Nagykanizsai utca 198.
H-2892 Hídharaszti"
"Somogyiné Kiss Mária","Ligetvárosi utca 139.
H-6686 Érd"
"Dr. Balogh Péterné","Mosontapolcai utca 35.
H-8263 Miskolc"
"Balogh Krisztiánné Nagy Bernadett","Berényi utca 153.
H-2525 Mártonfalu"
"Török Mária","Drávatapolcai utca 249.
H-2546 Tamásivég"
"Bogdán Teréz","Kossuth utca 60.
H-3571 Ózd"
"Tóth Gáborné Tóth Csilla","Petőfi utca 195.
H-2959 Mindszentnémeti"
"Balázsné Török Bianka","Szabadság utca 10.
H-2037 Nagykanizsa"
"Kiss Papp Mária","Kecskeméti utca 220.
H-5023 Dunakeszi"
"Molnár Hegedűs Gyula","Mindszenthidai utca 234.
H-1821 Ligetbánya"
"Dr. Boros Oláh Tamás","Somogymindszenti tér 188.
H-4593 Tatabánya"
"Horváth T. Zsolt","Székbányai út 10.
H-4965 Drávakövesd"
"Dudásné Dr. Szabó Nóra","Mindszentdevecseri utca 6.
H-2764 Széknádasd"
"Balogh Lajosné Németh Lilla","Zalaegerszegi utca 96.
H-5416 Kunhídvár"
"Dr. Lakatos Józsefné Tóth Tünde","Szegedi utca 45.
H-7750 Mindszentvég"
"Dr. Biróné Kovács Alexandra Andrea","Tiszahídi út 227.
H-4931 Cegléd"
"Dr. Somogyiné Kerekes Katalin","Békésszéki utca 231.
H-9595 Nyékfürdőharaszti"
"J. Lukács Tibor","Hátváradi utca 111.
H-6375 Békéscsaba"
"Lakatos István","Fürdőfalui utca 70.
H-9318 Székdevecser"
"Dr. Varga Mária","Győri tér 113.
H-3573 Győr"
"S. Molnár Antal","Arany jános utca 52.
H-7604 Hetvenvég"
"Dr. Németh F. Gyula","Dózsa györgy utca 131.
H-3705 Vár"
"Lakatos Orosz Dániel","Mindszentberényi utca 136.
H-7297 Magyarfürdőfalu"
"Balogh M. Bettina","Szegedi utca 26.
H-8956 Felsőtapolcahalas"
"Szűcs Klára Andrea","Béke utca 234.
H-3052 Székesfehérvár"
"Kovácsné Kovács Margit","Debreceni utca 101.
H-6632 Vác"
"Papp Jánosné Jónás Anikó","Tamásihalasi utca 231.
H-2236 Hetvenhida"
"Molnár Dávid Bence","Václigeti utca 142.
H-3475 Tamásivég"
"Horváth Nagy Katalin","Székesfehérvári utca 123.
H-5418 Györgydevecser"
"Horváth Béla Zoltán","Felsőhídi út 36.
H-6322 Györgyfalva"
"Prof. Dr. Tamásné Gulyás Csilla","Balatonháti utca 26.
H-8278 Nyíregyháza"
"Dr. Fekete Varga Barnabás","Somogyszéki utca 9.
H-6909 Széknádasd"
"Dr. Tóth Bence","Békéscsabai utca 64.
H-5744 Ózd"
"Balogh Rózsa","Szegedi utca 14.
H-1769 Nádasd"
"Dr. Fülöp Csabané","Ligetvári utca 130.
H-9003 Hátháza"
"Szabóné Deák Erzsébet Veronika","Érdi utca 131.
H-9303 Cegléd"
"Dr. Magyar Katalin Ilona","Békésmártoni út 45.
H-7352 Salgótarján"
"Dr. Fodor Ferenc László","Tótházai út 11.
H-5846 Mosontamásifa"
"Szabóné Dr. Király Anna Diána","Kossuth utca 94.
H-1159 Békésdevecser"
"Kissné Dr. Fehér Nikoletta","Arany jános utca 119.
H-6939 Kunligethida"
"Bálint Pál Éva","Békéstóti utca 177.
H-4081 Sopron"
"Dr. Némethné Takács Bernadett Anikó","Dózsa györgy utca 175.
H-1252 Keresztvára"
"Dr. Deák Sándorné","Nagykanizsai tér 239.
H-3351 Salgótarján"
"Balogh S. Norbert","Salgótarjáni utca 3.
H-4928 Kőrös"
"Dr. Mezei J. János","Szabadság utca 13.
H-7801 Zalaegerszeg"
"Dr. Horváthné Kis Krisztina","Drávatóti utca 29.
H-5751 Budapest"
"Kissné Dr. Kiss Zsuzsanna Judit","Érdi utca 241.
H-4383 Baja"
"Kiss Bertalanné Németh Renáta","Kossuth utca 129.
H-8041 Tótvára"
"Antal L. Bence","Kaposvári utca 235.
H-9041 Szeged"
"Tóth Barbara Erzsébet","Dunahetveni utca 121.
H-6301 Tóthida"
"Szabó Pataki Erik","Ceglédi utca 15.
H-3166 Nyékhátvárad"
"Szűcs Z. István","Petőfi utca 167.
H-5338 Tatabánya"
"Németh G. Ferenc","Bajai utca 13.
H-1975 Ligetkövesd"
"Balogh T. Enikő","Petőfi sándor tér 166.
H-9398 Dunaújváros"
"Dr. Pappné Kiss Barbara","Egyházasi utca 191.
H-2107 Tapolcafalu"
"Dr. Kovács Magdolna","Hetvenváradi utca 212.
H-7748 Budahetvenharaszti"
"A. Németh Martin","Ózdi tér 189.
H-4651 Mosonkeresztvárad"
"Z. Papp Zoltán","Debreceni utca 182.
H-5042 Lajosmellékkövesd"
"Kiss Magyar Lajos","Nyírszéki utca 86.
H-4666 Mártonnádasd"
"Dr. Papp Richárdné","Újmártoni utca 55.
H-4867 Hátvég"
"Dr. Tóth Ferenc Géza","Kossuth út 183.
H-9426 Hódmezővásárhely"
"B. Szilágyi Béla","Ady endre utca 36.
H-9153 Nyírmindszentvára"
"Fülöp Tóth Márk","Petőfi sándor utca 53.
H-4439 Mosonmagyaróvár"
"Balogh Tóth Zsolt","Szenthídi utca 104.
H-7435 Budamindszentvára"
"Dr. Szabó Istvánné Orsós Gyöngyi","Oroszszéki utca 103.
H-4785 Somogydevecser"
"Papné Simon Erika Petra","Petőfi sándor utca 200.
H-5982 Vára"
"Kozma András","Mosonhetveni utca 231.
H-8940 Tótdevecser"
"Dr. Szabó Andrea","Pilismindszenti utca 56.
H-7450 Székesfehérvár"
"Váradi László Árpád","Szegedi út 92.
H-5990 Mellékberény"
"G. Horváth Mónika","Petőfi utca 147.
H-3032 Dunafürdőberény"
"Kelemenné Dr. Vincze Anikó","Magyarfürdői utca 100.
H-5006 Szigetszentmiklós"
"Dr. Bálintné Tóth Erika","Nagyligeti utca 147.
H-9264 Szombathely"
"Szűcs Dániel","Pusztamindszenti utca 150.
H-7651 Szentváros"
"Balogh Varga Sándor","Györgyfalui utca 218.
H-8020 Balatonberény"
