"A. Antal András"|"Törökligeti utca 40.
H-1287 Szeged"
"Dr. Tóth Kovács Albert"|"Fürdővárai utca 139.
H-2028 Budatamásikőrös"
"Tóth János Dávid"|"Szegedi utca 143.
H-1854 Békéscsaba"
"Dr. M. Rácz Ibolya"|"Bakonymártoni utca 111.
H-2441 Szombathely"
"Dr. Mártonné Török Veronika"|"Balatonkereszti utca 40.
H-4615 Berény"
"Fazekas Alexandra"|"Ady endre tér 163.
H-4006 Belsőfürdőberény"
"Vargané Dr. Fehér Ildikó"|"Belsőligeti utca 142.
H-9488 Budapest"
"Balla Nagy Márk"|"Béke tér 104.
H-5847 Fürdővárad"
"Dr. Kiss S. Mihály"|"Hidai út 82.
H-3374 Tótfa"
"Szabó Erzsébet"|"Szolnoki utca 74.
H-9968 Békésmelléknádasd"
"Gál Levente Dániel"|"Tótházai utca 165.
H-6699 Dunahátvára"
"Dr. Horváthné Csonka Petra"|"Petőfi sándor utca 196.
H-7060 Pécs"
"Nagyné Dr. Szabó Mária"|"Kövesdi út 125.
H-5370 Mindszentkőrös"
"Dr. Molnár Tóth Edit"|"Pécsi utca 172.
H-2344 Békéscsaba"
"J. Székely Róza"|"Győri utca 177.
H-6214 Hídhida"
"Molnár L. György"|"Lajostóti utca 239.
H-2706 Tapolcavég"
"Szilágyiné Dr. Balázs Anita"|"Petőfi sándor utca 244.
H-2491 Háthida"
"Balla Szilvia Erzsébet"|"Tamásivárosi tér 107.
H-9675 Mezőgyörgyhalas"
"Márton Ivánné"|"Háthalasi utca 222.
H-5652 Vác"
"Nagy B. Tímea"|"Szabadság tér 224.
H-1761 Zalaegerszeg"
"Molnár Julianna Zsófia"|"Nagykanizsai utca 19.
H-5987 Balatonkőrös"
"Ballané Szabó Edit"|"Veszprémi utca 247.
H-1189 Nagykanizsa"
"Horváth R. Zsófia"|"Hídházai utca 223.
H-7639 Hátkőrös"
"Dr. Nagyné Novák Lilla"|"Dunaújvárosi tér 20.
H-9790 Fürdőhida"
"Fodor E. Orsolya"|"Hídhidai utca 185.
H-4160 Fürdőnémeti"
"E. Farkas Andrea"|"Békésháti utca 177.
H-5600 Pilismellékvára"
"Nagyné Tóth Gizella"|"Arany jános utca 143.
H-1002 Alsómindszentváros"
"Balog Bendegúz"|"Magyarligeti utca 120.
H-4087 Szombathely"
"Dr. Vass Lajosné Kovács Katalin"|"Nyíregyházai utca 240.
H-3797 Vácmellékvég"
"Dr. Varga C. Lajos"|"Németszéki utca 70.
H-5450 Nyírhídvár"
"Á. Nagy József"|"Mezőmelléki utca 229.
H-5230 Budaszékvár"
"Fekete Farkas Katalin"|"Hajdúligeti utca 171.
H-1182 Melléknádasd"
"Gáspár Mária"|"Kossuth utca 204.
H-6762 Újkeresztkövesd"
"Oláh Mihály"|"Petőfi tér 204.
H-5383 Sopron"
"Dr. Szabó Terézia"|"Budaligeti utca 216.
H-3576 Veszprém"
"Dr. Katona Ilona Sára"|"Pusztagyörgyi tér 203.
H-2129 Szombathely"
"Dr. Kovács Valéria Krisztina"|"Pécsi tér 79.
H-7674 Sopron"
"Balog Juhász Gábor"|"Béke utca 247.
H-2008 Keresztváros"
"Deák Andrásné Kiss Ildikó"|"Fürdőharasztii utca 15.
H-1986 Békésfürdőharaszti"
"Dr. Pappné Tóth Petra"|"Arany jános utca 241.
H-1463 Lajosszékkövesd"
"Márton Gábor János"|"Székfalui utca 132.
H-9051 Székvárad"
"Dr. Bodnár Horváth Alexandra"|"Nagymindszenti utca 4.
H-5302 Mellékfa"
"Dr. Tóth Lajosné Tóth Andrea"|"Mátramelléki tér 94.
H-8166 Hetvenvára"
"Kiss B. Julianna"|"Szabadság utca 246.
H-9686 Hetvenfa"
"Tóthné Kis Gyöngyi"|"Keresztváradi utca 204.
H-2884 Debrecen"
"Király László István"|"Váci utca 30.
H-3235 Vég"
"Nagyné Dr. Németh Borbála"|"Zalaegerszegi utca 221.
H-3373 Hátvárad"
"Balog Károly Mihály"|"Kaposvári tér 71.
H-7943 Dunakeszi"
"T. Virág János"|"Tapolcanádasdi utca 40.
H-2766 Egyházastamásiberény"
"Pál Zsófia Sára"|"Arany jános tér 32.
H-5588 Fürdőnádasd"
"Dr. Simon V. Erzsébet"|"Somogymártoni utca 6.
H-7700 Hátfa"
"Nagy Tóth Katalin"|"Balatonmelléki utca 61.
H-5747 Pécs"
"Mészáros Botond"|"Szabadság utca 219.
H-2192 Budamártonhida"
"Dr. Simon Jenőné Mészáros Zsuzsanna"|"Tamásiharasztii utca 48.
H-9234 Nagydevecser"
"Szilágyi Á. Attila"|"Alsóhídi utca 140.
H-4404 Belsőkeresztvárad"
"L. Veres Mária"|"Székesfehérvári utca 227.
H-7323 Háza"
"Jakab Takács Zsanett"|"Miskolci utca 37.
H-6871 Pécs"
"Balog Péterné"|"Györgynémetii utca 220.
H-7942 Budapest"
"Mészárosné Dr. Pásztor Edit"|"Ady endre utca 171.
H-9874 Hetvenkőrös"
"Dr. Pintér Józsefné"|"Váci utca 56.
H-1942 Tapolcaapáti"
"Dr. T. Varga Bence"|"Nagykanizsai tér 167.
H-7511 Ligethalas"
"Dr. Illés Józsefné"|"Felsőszéki utca 14.
H-9466 Szerbhátnádasd"
"Varga Ilona"|"Németmindszenti utca 40.
H-6633 Mátrahetvennádasd"
"Dr. R. Szabó Gyula"|"Dózsa györgy utca 61.
H-3524 Fürdőkőrös"
"Tóth Csaba Pál"|"Balatonhídi utca 61.
H-8801 Györgyfalva"
"Dr. Nagy Béla Dániel"|"Szegedi utca 161.
H-3685 Hetvenkövesd"
"Dr. Pataki Magyar Mária"|"Újháti utca 235.
H-8975 Nagygyörgyháza"
"Balogh Attilané Molnár Márta"|"Szabadság utca 45.
H-6420 Baja"
"Lukácsné Dr. Lengyel Eszter"|"Nyírhídi utca 137.
H-6834 Nyírhida"
"Dr. Budai L. Lajos"|"Szolnoki tér 229.
H-7329 Hajdúgyörgyháza"
"Molnár Krisztiánné"|"Somogyi utca 72.
H-2097 Pécs"
"Dr. Z. Balog Milán"|"Kossuth út 236.
H-3468 Székvára"
"Dr. Nagy Zsuzsanna Judit"|"Székházai utca 133.
H-5328 Székesfehérvár"
"Dr. Tóth Rozália Jolán"|"Lajostóti utca 43.
H-6351 Hídfa"
"Jónás Krisztina Csilla"|"Borsodmindszenti utca 28.
H-8259 Borsodtótbánya"
"I. Varga Erzsébet"|"Pilismelléki tér 32.
H-5462 Tótkövesd"
"Pál Szabó Tibor"|"Fürdővári utca 189.
H-6919 Mindszentfalva"
"Balogh Boglárka"|"Arany jános utca 20.
H-3650 Hátbánya"
"Varga Ernőné Lakatos Gizella"|"Belsőhídi utca 178.
H-8029 Várad"
"Nagy Tamásné"|"Belsőkereszti utca 66.
H-4548 Belsőgyörgyapáti"
"Baloghné Dr. Juhász Krisztina Irén"|"Oroszmindszenti utca 2.
H-3614 Székdevecser"
"E. Horváth Hajnalka"|"Hátnémetii utca 130.
H-1695 Békéscsaba"
"V. Horváth Nikoletta"|"Hídvégi utca 193.
H-5241 Dunaújváros"
"Dr. Kovács János"|"Orosztamásii utca 62.
H-8264 Vég"
"Horváth István János"|"Petőfi utca 195.
H-3238 Ligetvára"
"Tóth Vince"|"Kaposvári tér 158.
H-4281 Hátharaszti"
"Király Jónás Éva"|"Budatóti utca 17.
H-8518 Kismártonváros"
"Balogh Bélané Tóth Zsuzsanna"|"Kossuth tér 122.
H-2697 Eger"
"Kis Vincze Dániel"|"Szolnoki utca 186.
H-3947 Debrecen"
"Farkas Nagy András"|"Petőfi utca 109.
H-1733 Tamásiberény"
"Baloghné Dr. Szőke Csilla Ildikó"|"Béke utca 152.
H-5535 Nyírmindszentberény"
"Dr. Kovács M. Nóra"|"Dunai út 80.
H-4307 Tiszamellékvég"
"Dr. Baloghné Horváth Krisztina Anikó"|"Magyarhídi utca 162.
H-2836 Hídváros"
"Dr. Kiss József"|"Petőfi út 156.
H-2932 Mindszentváros"
"Dr. P. Fekete János"|"Váci utca 229.
H-1729 Mellékapáti"
"Szabó Németh Béla"|"József attila utca 250.
H-2986 Somogymellékvég"
"T. Tóth Anna"|"Dózsa györgy utca 82.
H-1951 Mellékhida"
"Balogh Bélané"|"Miskolci utca 167.
H-5871 Mosontamásinádasd"
"Nagyné Dr. Szabó Lilla"|"Tapolcahalasi utca 36.
H-2170 Érd"
"Dr. Kovács M. Mária"|"Béke utca 94.
H-9838 Tótkövesd"
"Molnár Z. Balázs"|"Széknádasdi utca 80.
H-7423 Tamásiháza"
"Orbán Edit"|"Töröktapolcai utca 17.
H-5438 Tapolcanádasd"
"Szabóné Dr. Fábián Ilona Csilla"|"Petőfi út 131.
H-5964 Ligetharaszti"
"Lakatos Mária Magdolna"|"Györgyfalvai utca 90.
H-6889 Zalaegerszeg"
"Szűcs István"|"Ligetapátii utca 181.
H-3302 Somogytapolcadevecser"
"Dr. Márton Németh Máté"|"Pusztai utca 203.
H-2875 Baja"
"Balogh József Károly"|"Béke utca 188.
H-4932 Kecskemét"
"Balogh E. Bianka"|"József attila utca 215.
H-4823 Vác"
"Veres A. Mária"|"Somogykereszti utca 112.
H-4299 Újszéknádasd"
"Dr. M. Lakatos Béla"|"Balatontamásii utca 217.
H-9246 Hódmezővásárhely"
"Dr. I. Kiss Zsanett"|"Pécsi utca 109.
H-6838 Dunahídnémeti"
"Dr. Tóthné Tóth Andrea"|"Tótharasztii tér 98.
H-7220 Tiszatótfalu"
"M. Lengyel Gizella"|"Zalaegerszegi utca 138.
H-4734 Széknádasd"
"Illés Bálintné"|"Petőfi utca 30.
H-5439 Hetvenhida"
"L. Lakatos László"|"Szolnoki utca 99.
H-7535 Györgyhida"
"Z. Pintér Rudolf"|"Ady endre út 164.
H-6976 Pécs"
"Fülöp Zoltán Gyula"|"Hetvenfalui utca 23.
H-2066 Mindszentnémeti"
"Balogh E. Mónika"|"Veszprémi utca 201.
H-6089 Drávamellékháza"
"Kelemenné Dr. Tóth Edit"|"Ady endre utca 12.
H-6100 Ligetkövesd"
"Kovács Róza"|"Nyékkereszti tér 131.
H-7171 Kereszthalas"
"Simon R. István"|"Házai utca 112.
H-7832 Tatabánya"
"Dr. Horváthné Molnár Mária"|"Dózsa györgy utca 115.
H-6639 Szigetszentmiklós"
"Balog Béla"|"Kaposvári utca 36.
H-1737 Hátkőrös"
"Dr. Halász Csaba Zsolt"|"Nyírmártoni utca 198.
H-3488 Mosonmagyaróvár"
"Dr. Váradi L. Miklós"|"Soproni utca 250.
H-9523 Bácsfürdőkövesd"
"Dr. Orbán Soós Anna"|"Szabadság utca 180.
H-9847 Bácstótvég"
"L. Balogh László"|"Nagygyörgyi utca 208.
H-6223 Mátrahátbánya"
"Balogh Kinga"|"Arany jános utca 37.
H-5157 Mindszentfalva"
"Tóth A. Terézia"|"Ady endre tér 161.
H-6108 Devecser"
"Vargané Dr. Fehér Eszter"|"Magyarmelléki utca 66.
H-6803 Mátrahídvár"
"Molnár I. Ferenc"|"Zalaegerszegi út 32.
H-5231 Miskolc"
"Dr. Szabó B. József"|"Mellékvárosi út 210.
H-6375 Ligetvára"
"Lakatos Kovács József"|"Tótkőrösi utca 210.
H-4798 Székesfehérvár"
"Dr. Kovács Ferenc Rudolf"|"Rácgyörgyi utca 123.
H-5272 Baja"
"L. Szabó Lajos"|"Kishetveni utca 23.
H-4845 Mártonvég"
"Varga M. Mónika"|"Ady endre tér 72.
H-2898 Dunaújváros"
"Dr. Németh Józsefné"|"Dózsa györgy utca 221.
H-3820 Györgyvárad"
"Balogh Kiss Dezső"|"Tamásiapátii utca 1.
H-3508 Mártonnádasd"
"Kovács Anett"|"Kossuth köz 229.
H-5050 Mártonvég"
"D. Németh Ágnes"|"Salgótarjáni tér 108.
H-9062 Tótnádasd"
"Nagy Bogdán Gizella"|"Béke út 26.
H-2990 Tiszaligetvárad"
"Fülöp Lászlóné Kovács Erzsébet"|"Arany jános utca 162.
H-4927 Tapolcaharaszti"
"Dr. Deák Borbála"|"Kossuth tér 120.
H-7021 Hetvenhalas"
"Horváth S. Éva"|"Dunaújvárosi utca 151.
H-3345 Keresztvárad"
"Dr. Szilágyi Eszter Jolán"|"Ligetbányai utca 31.
H-3011 Cegléd"
"Dr. Tóthné Barta Tímea"|"Dózsa györgy utca 229.
H-3654 Békéscsaba"
"Nagyné Dr. Németh Judit"|"Békésligeti utca 167.
H-1401 Ligetkövesd"
"Balogh Kitti"|"Bakonykereszti tér 5.
H-7640 Keresztháza"
"Kozmané Dr. Biró Tünde Viktória"|"Egeri utca 34.
H-4332 Hátbánya"
"Szabó P. Attila"|"Hajdúhídi utca 153.
H-6609 Salgótarján"
"Dr. Takács E. Erzsébet"|"Mellékvárai utca 48.
H-7689 Tiszatapolcavára"
"Dr. Papp Bálintné Simon Gizella"|"Bácsmelléki tér 25.
H-9137 Alsószékdevecser"
"Dr. Molnár Zita Éva"|"Salgótarjáni utca 161.
H-5202 Érd"
"Pintér Erika"|"Petőfi út 192.
H-9178 Hátharaszti"
"Bodnár F. Zsombor"|"Nyékhetveni utca 148.
H-7941 Tótvár"
"Szabó Andrea Judit"|"Petőfi sándor utca 96.
H-4858 Mosontamásidevecser"
"Szalai Dezső Gábor"|"Kuntamásii utca 83.
H-6888 Mátraligetvár"
"Balogh Klára"|"Salgótarjáni tér 93.
H-4986 Pécs"
"Dr. G. Szabó Gyula"|"Tótbányai utca 101.
H-1128 Pécs"
"Dr. Németh Sándorné"|"Szabadság utca 78.
H-6766 Pilismellékfa"
"Dr. Nagy Gál József"|"Mezőkereszti utca 141.
H-1714 Fürdőnádasd"
"Horváth Lászlóné"|"Kuntamásii utca 65.
H-4623 Györgykövesd"
"Szabó Zoltán Imre"|"Keresztvégi utca 52.
H-5179 Somogymártonhalas"
"Dr. Fehér Bodnár Márta"|"Töröktóti út 92.
H-1177 Veszprém"
"Dr. Nagy Attila"|"Széknémetii tér 236.
H-6219 Kecskemét"
"Dr. Szabó András Patrik"|"Somogyi utca 215.
H-8034 Szigetszentmiklós"
"Szabó Balogh Gábor"|"Tamásivégi utca 46.
H-3764 Oroszligetkövesd"
"Balogh László"|"Debreceni utca 233.
H-6255 Vác"
"Kovács Attila Mihály"|"Dózsa györgy utca 118.
H-3689 Mosonmagyaróvár"
"Jónás Istvánné Farkas Marianna"|"Tamásinémetii utca 103.
H-3394 Ózd"
"L. Takács Gábor"|"Győri út 248.
H-8836 Vác"
"Kozmané Farkas Edit Henrietta"|"Nyíregyházai utca 230.
H-8978 Budapest"
"Dr. Horváth Gergőné"|"Dunaújvárosi utca 191.
H-1615 Baja"
"Lukács M. Rozália"|"Dunaújvárosi utca 163.
H-4413 Mellékhalas"
"Dr. Kovács E. Edit"|"Tapolcanémetii utca 133.
H-1623 Mindszentháza"
"Dr. Tóth Vivien Mária"|"Ady endre utca 153.
H-1348 Hídberény"
"Dr. Kovács Fehér Mária"|"Mosonfürdői utca 67.
H-8200 Berény"
"Balogh Lászlóné Horváth Margit"|"Hátvégi utca 9.
H-2553 Miskolc"
"L. Szabó Zsuzsanna"|"Béke utca 188.
H-7656 Pilisligetapáti"
"Szabó M. Gyöngyi"|"Váctóti utca 164.
H-7096 Hátdevecser"
"Kovács László Sándor"|"Nyékligeti utca 44.
H-1589 Miskolc"
"Tóth Szabó János"|"Hódmezővásárhelyi utca 152.
H-5249 Kecskemét"
"Vass Molnár Margit"|"Mártonnémetii utca 193.
H-7096 Egyházasvég"
"Dr. Németh I. Tamás"|"Vácgyörgyi utca 106.
H-6313 Mártonvárad"
"Dudás Tóth Judit"|"Borsodhídi utca 14.
H-3116 Tótvára"
"Dr. Kovács Kiss Terézia"|"Ligetvárosi tér 246.
H-7341 Tiszagyörgynémeti"
"F. Hegedűs Tímea"|"Mindszentvári utca 186.
H-9687 Orosztamásihida"
"Balogh Norbert"|"Székfalui utca 200.
H-7614 Tiszafürdőhalas"
"Dr. Kiss Király Lajos"|"Tótapátii utca 90.
H-9672 Zalaegerszeg"
"Dr. É. Németh Judit"|"Tamásiapátii utca 97.
H-7124 Békéscsaba"
"Dr. Tóth Andrásné"|"Belsőmindszenti utca 66.
H-1639 Egyházastapolcaharaszti"
"Molnár László"|"Arany jános utca 176.
H-7275 Székvára"
"Dr. Molnár Jánosné"|"Szentmelléki utca 183.
H-9705 Mezőkeresztkövesd"
"Szabó Gáborné Farkas Erzsébet"|"Kossuth utca 183.
H-2320 Kistamásifalu"
"Tóth D. Katalin"|"Nyíregyházai utca 163.
H-9284 Hajdútamásiháza"
"Hegedűs Gábor Szilárd"|"Kossuth utca 126.
H-1970 Alsóhátdevecser"
"Kissné Dr. Molnár Laura Emma"|"Nyíregyházai utca 17.
H-3449 Rácgyörgybánya"
"Balogh Renáta"|"Hídvégi utca 49.
H-2546 Pilishídkőrös"
"Dr. M. Gáspár Borbála"|"Pusztakereszti utca 138.
H-9175 Hódmezővásárhely"
"Tóth Ilona Teréz"|"Petőfi utca 96.
H-4319 Pusztahátberény"
"Dr. Oláh Szilárdné"|"Borsodtamásii utca 183.
H-6078 Tamásiapáti"
"Tóth Takács Zsófia"|"Budai utca 86.
H-1334 Mellékkövesd"
"Balázs Mónika Anikó"|"Belsőtamásii utca 8.
H-8684 Hídberény"
"Dr. Nagy A. Irén"|"Arany jános utca 118.
H-5313 Szeged"
"Dr. Nagyné Molnár Emma Márta"|"Kossuth utca 15.
H-6933 Törökszékfalu"
"J. Biró László"|"Pilisligeti utca 111.
H-1687 Hódmezővásárhely"
"Nagy Németh János"|"Alsótóti utca 108.
H-4491 Nyíregyháza"
"Balogh Szabolcs István"|"Keresztvárai utca 29.
H-8269 Baja"
"Oláh Nagy Krisztina"|"Kaposvári utca 3.
H-4051 Nyékmelléknádasd"
"Dr. Török Józsefné"|"Tatabányai utca 162.
H-9731 Dunaújváros"
"Dr. Horváth Szalai Ilona"|"Budapesti tér 167.
H-9976 Tiszabánya"
"Simon Gergőné Horváth Judit"|"Pusztamártoni utca 227.
H-5842 Szentszékdevecser"
"Szabóné Csonka Katalin"|"Székváradi utca 236.
H-3555 Baja"
"Dr. Tóth Jánosné Varga Ilona"|"Ady endre utca 45.
H-3791 Dunaújváros"
"Nagy Kovács Katalin"|"Drávamelléki utca 235.
H-7683 Mártonvára"
"Nagy János Sándor"|"Petőfi sándor út 235.
H-4406 Nagymellékkőrös"
"Balogh L. Róbert"|"Hetvenhalasi út 182.
H-4144 Vác"
"Balogh T. Gabriella"|"Ady endre utca 212.
H-3071 Fürdőhalas"
"M. Kovács József"|"Hídvári utca 37.
H-3349 Fürdőbánya"
"Szilágyi Attilané Juhász Julianna"|"Melléknádasdi utca 236.
H-9229 Mártonnémeti"
"Katona Gál Balázs"|"Dózsa györgy utca 91.
H-9565 Székharaszti"
"Dr. Kissné Tóth Henrietta"|"Petőfi sándor utca 35.
H-1672 Dunatapolcahalas"
"Kovács M. Katalin"|"Belsőkereszti utca 233.
H-6892 Szeged"
"I. Somogyi József"|"Soproni utca 241.
H-6545 Hídnádasd"
"Mártonné Dr. Kovács Margit"|"Ceglédi utca 60.
H-8725 Ligetfalu"
"Dr. Nemes Jenő"|"Miskolci út 213.
H-3201 Hetvenfa"
"Varga Nagy Anna"|"Ligetvárosi tér 145.
H-1618 Magyarkeresztfalu"
"Balogh Éva Katalin"|"Béke utca 48.
H-8415 Mosonhetvenhalas"
"Antal Sándorné Tóth Katalin"|"Mindszentnádasdi utca 88.
H-9137 Tatabánya"
"Molnár Tiborné"|"Kossuth utca 30.
H-7677 Hídfa"
"Molnár Kovács Zsolt"|"Arany jános utca 233.
H-6211 Szeged"
"Dr. Kovácsné Pap Erika"|"Pécsi utca 52.
H-8235 Szolnok"
"Dr. Németh Renáta"|"Tamásinémetii utca 189.
H-9161 Mártonfalva"
"Tóthné Németh Ágnes Beáta"|"Tamásiharasztii utca 148.
H-7927 Szolnok"
"Dr. Tóth Mihály Benjámin"|"Hátharasztii tér 191.
H-6382 Székesfehérvár"
"Dr. K. Varga Dorottya"|"Érdi út 247.
H-4210 Györgyapáti"
"Lengyel Magyar Mihály"|"József attila utca 60.
H-6697 Mezőligetháza"
"Baloghné Dr. Fábián Erzsébet"|"Kisi utca 231.
H-3459 Sopron"
"É. Horváth Katalin"|"Kossuth utca 133.
H-1811 Rácmártonhida"
"Tóthné Szalai Erzsébet"|"Keresztfalui tér 166.
H-4020 Ligetharaszti"
"Dr. Szalainé Jakab Andrea"|"Mellékhalasi utca 160.
H-9829 Szentszékkövesd"
"Balázs Ilona"|"Miskolci utca 112.
H-6103 Tótkőrös"
"Dr. Somogyiné Németh Zsuzsanna"|"Tiszagyörgyi utca 143.
H-5568 Pécs"
"Gál Balogh Sándor"|"Petőfi utca 40.
H-9076 Bakonytapolcafalva"
"Fehér Tamás Gizella"|"Falvai tér 210.
H-9693 Kecskemét"
"Dr. Szabó Péterné"|"Tamásikövesdi utca 108.
H-6721 Nagykanizsa"
"Mészáros Márk"|"Tapolcaharasztii utca 91.
H-3122 Nagykanizsa"
"Baloghné Dr. Szabó Edit Mariann"|"Tapolcavégi utca 31.
H-9319 Hídkőrös"
"Somogyiné Dr. Kiss Erzsébet Beáta"|"Kossuth utca 161.
H-4266 Kecskemét"
"Dr. Rácz B. István"|"Arany jános utca 89.
H-9989 Nagykanizsa"
"Kovács Bernadett Fanni"|"Zalaegerszegi tér 186.
H-1257 Szentmártonvára"
"Vassné Dr. Váradi Krisztina Gabriella"|"Dunahetveni utca 246.
H-3657 Nagyhetvenharaszti"
"Kozma Terézia Terézia"|"Oroszmelléki utca 221.
H-5426 Baja"
"Szücs Mária Alexandra"|"Városi utca 68.
H-6622 Belsőhetvennémeti"
"Tóth Éva Kitti"|"Petőfi út 76.
H-4230 Hetvendevecser"
"Kisné Horváth Ágnes"|"Hátvégi utca 110.
H-8738 Hátfalu"
"Kovácsné Dr. Szabó Réka"|"Békéscsabai utca 107.
H-7324 Hátváros"
"Baloghné Dr. Szabó Ibolya"|"Szombathelyi utca 155.
H-9926 Mártonapáti"
"Szilágyiné Hegedüs Erzsébet"|"Németmindszenti utca 215.
H-8323 Kecskemét"
"Molnár Barbara Piroska"|"Dunai utca 221.
H-6605 Mosonmagyaróvár"
"Boros Benedekné Molnár Kinga"|"Ady endre utca 133.
H-3670 Mindszentnádasd"
"Lakatos Rita Valéria"|"Borsodmindszenti utca 242.
H-6742 Székesfehérvár"
"Dr. Kovács Balogh Mária"|"Váctapolcai utca 28.
H-2085 Törökkereszthida"
"Gál E. Erika"|"Dózsa györgy utca 58.
H-5996 Kunfalva"
"Mészáros Katalin"|"Mezőtamásii utca 220.
H-6888 Hídháza"
"Soós L. József"|"Váchetveni utca 16.
H-1882 Keresztfalva"
"Vass C. Gábor"|"Nagymelléki utca 222.
H-6975 Érd"
"Baloghné Dr. Szalai Krisztina"|"Petőfi sándor utca 43.
H-8241 Tapolcaharaszti"
"E. Papp Anna"|"Béke tér 156.
H-5066 Tamásibánya"
"Dr. Horváth Márk"|"Ady endre tér 235.
H-2599 Kungyörgykőrös"
"Rácz Edit Ilona"|"Nagyháti utca 33.
H-1650 Szentgyörgyfa"
"Kovács Tóth Zoltán"|"Veszprémi utca 140.
H-9653 Hetvenfalu"
"T. Horváth Gyula"|"Béke tér 201.
H-2204 Alsótótharaszti"
"Dr. K. Tóth Ernő"|"Tiszahídi út 79.
H-2872 Mindszentvár"
"Kis Mária Jolán"|"Hátkövesdi utca 18.
H-4246 Szigetszentmiklós"
"Dr. Vargané Tóth Judit Ilona"|"Rácmártoni tér 19.
H-3627 Felsőháthalas"
"Dr. Farkasné Tóth Gabriella Gabriella"|"Nyíregyházai utca 59.
H-3852 Keresztvárad"
"Baloghné Kocsis Viktória"|"Szabadság utca 247.
H-2696 Pécs"
"Kovács Gabriella"|"Nyékmelléki utca 16.
H-3935 Győr"
"Dr. Nagy Gyulané"|"Nyírháti utca 116.
H-4193 Mellékkövesd"
"Farkasné Papp Erzsébet"|"Mosoni utca 123.
H-7978 Tapolcafa"
"Szabó Zsolt"|"Szolnoki tér 153.
H-7755 Alsóligetdevecser"
"Tóthné Dr. Gál Éva"|"Arany jános utca 34.
H-7090 Mártonhalas"
"Tóth Imre"|"Dózsa györgy utca 155.
H-5988 Tiszahida"
"Kiss J. József"|"Dózsa györgy utca 75.
H-3269 Mártondevecser"
"P. Horváth János"|"Hátnádasdi utca 184.
H-4668 Székesfehérvár"
"Dr. E. Lengyel Zsolt"|"Tapolcaharasztii út 95.
H-3763 Felsőkeresztkőrös"
"Baloghné Prof. Dr. Farkas Emese"|"Hídvárosi utca 88.
H-7513 Székhalas"
"Tóthné Soós Irén"|"Veszprémi utca 30.
H-9568 Egyházastapolcanémeti"
"Dr. Lakatos Zoltánné"|"József attila utca 78.
H-8405 Budatapolcakőrös"
"Kis F. Zsuzsanna"|"Salgótarjáni út 14.
H-4879 Ózd"
"Szabó József Dominik"|"Váci utca 82.
H-6192 Bakonymártonvár"
"Dr. Lakatos Istvánné Orsós Katalin"|"Szenthetveni tér 70.
H-4391 Ózd"
"Dr. Kovács P. István"|"Szabadság utca 10.
H-3930 Ligetháza"
"Horváthné Balog Terézia Mária"|"Szigetszentmiklósi utca 172.
H-1398 Nyíregyháza"
"Dr. Székely G. Barbara"|"Kaposvári utca 141.
H-3166 Mellékberény"
"Prof. Dr. Bogdán Terézia Anikó"|"Szenti út 104.
H-4491 Tótharaszti"
"Baloghné Péter Mónika"|"Szerbligeti utca 223.
H-3696 Háthida"
"Barna Gál Edit"|"Somogyligeti utca 138.
H-2969 Kunmellékapáti"
"Péter Viktória"|"Keresztberényi tér 175.
H-1062 Hetvenbánya"
"Dr. Horváth J. Gábor"|"Szabadság tér 129.
H-2786 Eger"
"Dr. Fábiánné Kiss Erzsébet"|"Drávatóti út 21.
H-9616 Szenthátfalu"
"Dr. M. Szabó Anikó"|"Dózsa györgy utca 102.
H-1288 Bakonykeresztharaszti"
"Kovács Péter"|"Dózsa györgy utca 83.
H-7567 Békésszékvára"
"Papné Fekete Vivien"|"Petőfi utca 200.
H-7240 Ligetfalva"
"Takács Erika"|"Petőfi utca 20.
H-8525 Dunatamásihalas"
"Dr. Nagy L. Tibor"|"Tamásiberényi tér 188.
H-6116 Szigetszentmiklós"
"Balázs Béla"|"Oroszmártoni utca 181.
H-9712 Zalaegerszeg"
"Dr. Varga Márkné Mészáros Anna"|"Rácmártoni utca 49.
H-2163 Mártonkőrös"
