"A. Balog Lajos"	"Tamásiházai utca 81.
H-7599 Tatabánya"
"Dr. M. Szilágyi Katalin"	"Hídvárosi utca 178.
H-5119 Mosonmagyaróvár"
"Soós Zoltán Pál"	"Újháti utca 160.
H-7541 Váchalas"
"Dr. Kovács A. Magdolna"	"Ady endre utca 27.
H-9438 Egyházastótfa"
"Németh János Levente"	"Bakonyi utca 216.
H-3884 Keresztfa"
"A. Lakatos Bence"	"Hetvenvárosi utca 12.
H-5591 Ózd"
"Dr. A. Katona Richárd"	"Lajosháti utca 242.
H-1145 Veszprém"
"Balla L. László"	"József attila utca 37.
H-3834 Törökmártonapáti"
"Dr. Gál T. Szabolcs"	"Hídhidai utca 137.
H-5048 Györgyharaszti"
"Farkas Anna"	"Nyékfürdői út 64.
H-5204 Vára"
"Vargané Máté Anett"	"Házai utca 177.
H-2859 Cegléd"
"Dr. Takácsné Nagy Mária Andrea"	"Arany jános utca 98.
H-9560 Dunaújváros"
"Kiss Lengyel Mária"	"Petőfi út 106.
H-7495 Mártonfalva"
"Dr. Sipos András"	"Petőfi sándor utca 190.
H-2999 Cegléd"
"Dr. Tóth Kornélné Balogh Beáta"	"Hidai utca 206.
H-3127 Szerbhetvenháza"
"Dr. Farkas Éva Ágnes"	"Tótvári út 127.
H-5315 Salgótarján"
"Dr. Magyarné Molnár Mária"	"Mosonmagyaróvári utca 109.
H-6158 Salgótarján"
"Balla Margit Piroska"	"Belsőhetveni utca 135.
H-1176 Egyházasmártonkövesd"
"M. Varga Imre"	"József attila utca 127.
H-8489 Nagyhátháza"
"A. Mezei Éva"	"Mellékkőrösi út 142.
H-6874 Dunahídváros"
"Kisné Orbán Csilla Beáta"	"Mosonmelléki utca 75.
H-9977 Hetvenkövesd"
"Bognárné Kiss Réka"	"Kossuth utca 116.
H-6049 Vác"
"Farkas Irén"	"Váradi utca 87.
H-9474 Mellékfa"
"Horváth János"	"Petőfi utca 68.
H-3500 Baja"
"Dr. Kovács Csabané"	"Borsodtóti utca 198.
H-9356 Budatamásiapáti"
"Szabó Mihály"	"Nyéktapolcai utca 74.
H-2846 Veszprém"
"Nemes Tóth Valéria"	"Rácfürdői tér 153.
H-1665 Hajdúgyörgyfalu"
"Balla R. Ibolya"	"Györgyapátii utca 171.
H-7080 Baja"
"Borbély Péter Ervin"	"Szabadság utca 54.
H-4057 Hídfalu"
"Nagyné Molnár Katalin"	"Kőrösi út 59.
H-4938 Orosztótfalu"
"Kelemenné Balla Enikő"	"Petőfi utca 156.
H-1050 Tatabánya"
"Hegedűs Lakatos Andrea"	"Békéscsabai utca 25.
H-5311 Zalaegerszeg"
"Dr. Takács Csonka Marcell"	"Kaposvári utca 112.
H-3584 Békésmellékfalu"
"Takács József"	"Házai utca 165.
H-2635 Kistótfa"
"Kozma Ferencné"	"Tatabányai utca 141.
H-4373 Eger"
"Nemes Németh Péter"	"Szolnoki utca 225.
H-1788 Szeged"
"Dr. Fazekas Jánosné"	"Lajosi utca 209.
H-6996 Tótfalu"
"Ballané Dr. Szabó Zsuzsanna"	"Ligetkőrösi út 29.
H-6310 Győr"
"Dr. Illés Viktorné Farkas Nikolett"	"Szabadság út 117.
H-6967 Salgótarján"
"I. Juhász Magdolna"	"Szolnoki utca 111.
H-8268 Hídháza"
"Dr. Borbély Orsolya"	"Miskolci utca 166.
H-6571 Tapolcaharaszti"
"Kissné Dr. Jónás Mariann Judit"	"Mellékbányai utca 93.
H-1332 Baja"
"Farkas Tóth Lajos"	"József attila utca 125.
H-8339 Kövesd"
"Balogh Bencené"	"Hódmezővásárhelyi utca 134.
H-1045 Nyíregyháza"
"L. Váradi Alexandra"	"Béke út 90.
H-9106 Fürdővég"
"Dr. Balog Lászlóné Barna Ibolya"	"Mosonmagyaróvári utca 120.
H-3672 Hetvenvárad"
"Somogyi Nagy Mihály"	"Hátfalui tér 39.
H-3305 Szombathely"
"Ballané Farkas Dorottya"	"Pusztaligeti utca 135.
H-8261 Ligetdevecser"
"Tóth J. Vince"	"Arany jános utca 247.
H-5395 Felsőhátvára"
"L. Rácz Tamás"	"Székesfehérvári tér 6.
H-9203 Drávamellékdevecser"
"Dr. Bogdán I. Botond"	"Mosonkereszti utca 32.
H-9785 Kunmártonkövesd"
"Fábiánné Dr. Tamás Julianna"	"Nyékmártoni út 209.
H-3642 Székesfehérvár"
"Kovács Mária"	"Kecskeméti út 138.
H-9486 Tapolcanádasd"
"Molnár Lajos Tamás"	"Zalaegerszegi utca 63.
H-1277 Tatabánya"
"Tóthné Dr. Simon Anna"	"Németmindszenti tér 133.
H-3487 Dunaújváros"
"Dr. Szilágyi Ferencné Varga Márta"	"Tamásihalasi út 39.
H-2490 Kisszékvár"
"Dr. Szekeres István"	"Györgyhidai utca 80.
H-4725 Szenttótkőrös"
"Balog Orbán László"	"Oroszmindszenti utca 112.
H-4424 Szeged"
"Szilágyi Kocsis Erzsébet"	"Tatabányai utca 200.
H-1118 Falva"
"J. Nagy Sándor"	"Budapesti utca 35.
H-2014 Bakonygyörgyfa"
"Török József Tibor"	"Ligetkőrösi utca 201.
H-9675 Székberény"
"Dr. Varga Árpád Attila"	"Hódmezővásárhelyi utca 12.
H-3295 Győr"
"Prof. Dr. Z. Nagy István"	"Budatamásii utca 49.
H-6065 Falu"
"Borbély Papp László"	"Szerbfürdői utca 137.
H-6617 Alsótótvára"
"Dr. Németh László"	"Budaligeti utca 128.
H-6124 Hetvenfa"
"Prof. Dr. Horváth Marcell"	"Mezőmelléki tér 116.
H-1377 Mosonmagyaróvár"
"Dr. Biró V. Anna"	"Törökhídi utca 207.
H-7505 Veszprém"
"Balog Zsuzsanna"	"Petőfi sándor út 39.
H-2487 Hetvenfalu"
"Kiss Lukács Barbara"	"Tiszaligeti utca 238.
H-2263 Felsőhetvendevecser"
"Dr. Kovács P. Gyula"	"Dózsa györgy utca 1.
H-5219 Keresztvára"
"Dr. Fekete Andrásné"	"Békéscsabai utca 105.
H-1733 Hídvár"
"Dr. Szilágyiné Nagy Anita Virág"	"Hídkövesdi utca 120.
H-7992 Kistamásiháza"
"Antal Károly"	"Szegedi utca 87.
H-4992 Mosonmellékfalva"
"Oláhné Balázs Anna"	"Hátnádasdi utca 195.
H-6561 Törökgyörgyvég"
"Máté L. Lajos"	"Borsodháti utca 230.
H-5627 Mátraszékfalva"
"Kerekes Lajosné"	"Hátharasztii utca 134.
H-6169 Békéskeresztvég"
"Dr. Papp A. Norbert"	"Keresztfai utca 84.
H-2985 Szigetszentmiklós"
"Balogh Anna Anna"	"Veszprémi tér 209.
H-5476 Dunamellékváros"
"Fehér Károly"	"Petőfi tér 170.
H-4194 Pilisszéknádasd"
"Soós Mária"	"Nyékfürdői utca 163.
H-7663 Némethátkőrös"
"Dr. Halászné Bognár Anita"	"Kunmelléki út 172.
H-1792 Mellékvár"
"E. Tóth Erzsébet"	"Dunaújvárosi tér 97.
H-6414 Györgyfa"
"Balog K. Dániel"	"Dózsa györgy utca 199.
H-4663 Pilisfürdőharaszti"
"I. Kis László"	"Kossuth út 249.
H-6667 Székvárad"
"Balogh Eszter Eszter"	"Pusztamártoni utca 165.
H-8162 Orosztóthida"
"Juhász Mónika"	"Tiszaszéki út 150.
H-1318 Némethetvenharaszti"
"Juhász Ágnes"	"Tapolcaváradi utca 243.
H-1994 Hódmezővásárhely"
"Balogh Aranka Mariann"	"Zalaegerszegi utca 221.
H-6825 Tótnádasd"
"Kovács Ferencné Németh Judit"	"Dózsa györgy utca 200.
H-1271 Ligetfa"
"Fazekasné Dr. Bognár Anna"	"Hátházai utca 95.
H-4220 Mártonkőrös"
"Horváthné Dr. Deák Mária"	"Győri tér 54.
H-4790 Kecskemét"
"Dr. Bogdán Jánosné Gál Katalin"	"Tótvárai utca 121.
H-2287 Mellékdevecser"
"Dr. Németh M. László"	"Budapesti utca 67.
H-7655 Egyházasmelléknádasd"
"Lászlóné Nagy Rozália"	"Ceglédi tér 146.
H-8704 Budapest"
"Dr. T. Farkas Gábor"	"Lajostapolcai út 155.
H-4411 Szerbligetfalu"
"Dr. Hajduné Balog Irma"	"Győri tér 67.
H-8879 Cegléd"
"Dr. E. Bakos Éva"	"Fürdőbányai utca 186.
H-4357 Lajosmindszentkövesd"
"Balogh Balázs László"	"Békéscsabai út 62.
H-8667 Debrecen"
"Dr. Juhászné Molnár Gizella Róza"	"Hetvenvári utca 226.
H-1320 Mosonligetfalu"
"Illésné Dr. Balla Krisztina"	"Pécsi tér 31.
H-3807 Szentmártonapáti"
"S. Kiss Péter"	"Székvári út 52.
H-5072 Veszprém"
"Varga Csaba"	"Györgyberényi utca 74.
H-9208 Hajdúmártonnádasd"
"Simon M. Veronika"	"Mártonnémetii utca 16.
H-6028 Szombathely"
"Dr. Veres Z. Dávid"	"Kaposvári utca 109.
H-4160 Szeged"
"T. Hegedüs Csaba"	"Hetvenváradi út 150.
H-2642 Békéscsaba"
"Barna Szalai László"	"Ady endre utca 32.
H-1306 Bácsfa"
"Balázs S. László"	"Tapolcanádasdi utca 193.
H-3842 Mártonfa"
"Balogh Dorottya"	"Ady endre utca 90.
H-3206 Nagykanizsa"
"I. Nagy Róbert"	"Tamásifai utca 211.
H-1216 Dunaújváros"
"Dr. Szalainé Máté Erzsébet Zsanett"	"Belsőszéki utca 48.
H-5167 Mártonváros"
"P. Fodor Tamás"	"Pilistóti utca 249.
H-9411 Mártonapáti"
"Szabóné Balog Boglárka"	"Somogymindszenti utca 71.
H-9717 Zalaegerszeg"
"Virág Rácz Anikó"	"Drávamelléki utca 93.
H-9834 Ráctótváros"
"Dr. Kovácsné Pataki Petra Tünde"	"Dunakeszii utca 80.
H-4982 Mosonligetharaszti"
"Tamás József Zoltán"	"Balatontóti utca 23.
H-5507 Székesfehérvár"
"Tóth Zoltánné"	"Székvégi utca 150.
H-7093 Szombathely"
"Juhászné Dr. Faragó Gabriella Margit"	"Mosonmagyaróvári utca 40.
H-1398 Szentgyörgyvára"
"Balogh Erika Mária"	"Szabadság utca 114.
H-5708 Mátrafürdővárad"
"Tóth Kovács Zoltán"	"Dózsa györgy tér 190.
H-1874 Szentgyörgyfa"
"Nagy Lengyel Gábor"	"Ceglédi utca 11.
H-7645 Berény"
"Dr. Bálint Józsefné Papp Mária"	"Petőfi utca 110.
H-5043 Veszprém"
"Dr. Kiss Jakab István"	"Lajostamásii tér 66.
H-8262 Györgyváros"
"Szabóné Dr. Gáspár Mária"	"Petőfi utca 101.
H-4392 Budaszékfalu"
"P. Kovács Terézia"	"Zalaegerszegi utca 90.
H-1875 Zalaegerszeg"
"Nagyné Fehér Mária Krisztina"	"Újhetveni tér 4.
H-1552 Háthalas"
"Kerekes Zsoltné Kis Jázmin"	"Tótvégi tér 140.
H-1391 Békéskeresztkőrös"
"Dr. Vargané Szabó Dóra"	"Dózsa györgy út 13.
H-8861 Debrecen"
"Balogh Farkas Judit"	"Tótdevecseri utca 194.
H-3043 Apáti"
"Dr. Nagy Bencené Vincze Terézia"	"Pusztatapolcai utca 19.
H-9337 Debrecen"
"Szabó Molnár Erzsébet"	"Szombathelyi tér 11.
H-8595 Újligetberény"
"Dr. I. Papp László"	"Újhídi utca 7.
H-2029 Zalaegerszeg"
"Kovácsné Szekeres Nóra"	"Salgótarjáni utca 23.
H-4377 Tamásiváros"
"Bálint Istvánné Balogh Irén"	"Nyékfürdői utca 99.
H-1535 Drávatóthalas"
"Pappné Dr. Tóth Edina"	"Soproni utca 57.
H-3283 Györgyapáti"
"Fábián A. Erzsébet"	"Arany jános utca 130.
H-1674 Mosonmagyaróvár"
"Dr. Biróné Fülöp Erzsébet"	"Budatamásii utca 208.
H-1657 Eger"
"Dr. Baloghné Tóth Hajnalka"	"Szerbfürdői utca 246.
H-3834 Ligetkövesd"
"Balogh I. Tamás"	"József attila út 52.
H-3299 Békésfürdőváros"
"Gulyás Zsoltné Németh Magdolna"	"Arany jános tér 138.
H-5680 Újtamásifalu"
"Varga Attilané Varga Magdolna"	"Magyartapolcai utca 194.
H-2301 Hátdevecser"
"Dr. Németh József Balázs"	"Bácstapolcai utca 229.
H-4895 Keresztkőrös"
"Nagy Albert Máté"	"Pécsi utca 51.
H-1892 Debrecen"
"Dr. Vargané Kiss Viktória"	"Törökmártoni út 123.
H-7340 Hajdúvára"
"Dr. Major Aranka"	"Ózdi utca 94.
H-8849 Mellékváros"
"Oláh Dénes István"	"Mosonmagyaróvári utca 158.
H-5921 Pusztahídfa"
"Dr. L. Varga András"	"Szabadság utca 3.
H-2732 Felsőhátberény"
"Dr. Vargané Varga Erzsébet Mária"	"József attila utca 3.
H-8867 Felsőkeresztfa"
"Balogh Imrené Bognár Vivien"	"Hódmezővásárhelyi út 168.
H-6822 Keresztapáti"
"Fábián Oláh András"	"Keresztfalvai utca 188.
H-5413 Pusztatamásivég"
"Horváth Ilona Noémi"	"Györgyberényi utca 26.
H-5900 Szeged"
"Tóth Horváth Bernadett"	"Arany jános utca 229.
H-9827 Nagykanizsa"
"Németh Tímea Etelka"	"Magyartapolcai utca 150.
H-4621 Szeged"
"Dr. Kis Farkas Magdolna"	"Pusztaligeti utca 195.
H-1020 Nagytamásibánya"
"Barta Erzsébet"	"Nyékligeti utca 228.
H-2923 Háza"
"Nagyné Fülöp Klára"	"Tótapátii utca 85.
H-2326 Mindszentnémeti"
"Némethné Dr. Kocsis Erzsébet"	"Tapolcanémetii utca 50.
H-8697 Ligetdevecser"
"Kerekes Zoltánné Tóth Szilvia"	"Györgykövesdi utca 231.
H-9291 Némethídkőrös"
"Balogh Irén Jolán"	"Béke utca 226.
H-8580 Tiszamártonháza"
"Sárközi Tamásné Kozma Veronika"	"Fürdődevecseri utca 186.
H-7750 Borsodfürdővár"
"Nagyné Molnár Márta Ilona"	"Mártondevecseri utca 26.
H-7242 Ózd"
"Dr. Horváth D. Bettina"	"Orosztamásii utca 118.
H-4648 Tapolcadevecser"
"Molnár Zsolt"	"Kossuth utca 68.
H-5650 Vár"
"Dr. Rácz Gulyás Ildikó"	"Mindszentvégi tér 42.
H-1183 Dunakeszi"
"Dr. Hajdu Zoltánné Szabó Zsuzsanna"	"Bakonytóti út 90.
H-2351 Ligetberény"
"Jónásné Németh Éva Judit"	"Mellékdevecseri utca 168.
H-5451 Pécs"
"Gál László Sándor"	"Salgótarjáni utca 203.
H-3828 Hídnádasd"
"É. Szabó Éva"	"Keresztvári utca 91.
H-9084 Bakonyfürdőváros"
"Balogh István Tamás"	"Egyházasháti utca 207.
H-1211 Budapest"
"Bálint Kristófné Szabó Gabriella"	"József attila tér 110.
H-1715 Nagykanizsa"
"Bartané Dr. Gulyás Gabriella"	"Ceglédi utca 70.
H-2222 Kecskemét"
"Farkas Zsófia Teréz"	"Békéscsabai utca 107.
H-3471 Dunaújváros"
"Tamás Pálné"	"Ráctapolcai utca 4.
H-6159 Cegléd"
"Kiss Petra"	"Petőfi utca 36.
H-3184 Fürdőbánya"
"Kocsis Hajnalka Petra"	"Szabadság utca 52.
H-1691 Kisfürdővárad"
"Molnár E. Jolán"	"Petőfi sándor utca 156.
H-1897 Magyartamásiváros"
"Kis Gabriella"	"Hátnádasdi utca 146.
H-6674 Baja"
"Dr. Takács B. Csaba"	"Ózdi utca 87.
H-8734 Zalaegerszeg"
"Balogh J. Ágnes"	"Petőfi utca 240.
H-5952 Békéscsaba"
"Dr. Molnár Gyulané Horváth Katalin"	"Ady endre utca 85.
H-5291 Szeged"
"Sándorné Szekeres Klára Adrienn"	"Törökszéki utca 20.
H-7528 Budapest"
"V. Németh Mihály"	"Kaposvári utca 66.
H-1477 Pécs"
"Prof. Dr. Juhászné Váradi Mária"	"Mosonmagyaróvári utca 139.
H-9850 Kaposvár"
"Boros Máté Gábor"	"Arany jános utca 22.
H-9189 Kecskemét"
"Dr. Rácz Mária"	"Szegedi utca 236.
H-4542 Mosontótapáti"
"Dr. Nagy Márkné Szűcs Henrietta"	"Székesfehérvári utca 120.
H-8719 Vác"
"Dr. Gulyásné Tóth Magdolna"	"Pécsi utca 170.
H-5481 Keresztkőrös"
"Dr. Jakab Horváth Ádám"	"Bácsfürdői utca 87.
H-8263 Szolnok"
"Balogh Józsefné Szűcs Erzsébet"	"Debreceni út 75.
H-1983 Nyíregyháza"
"Biróné Rácz Vivien"	"Egeri út 145.
H-3057 Tatabánya"
"Dr. Molnár I. Enikő"	"József attila utca 245.
H-3473 Békéscsaba"
"Fazekas Németh Judit"	"Szombathelyi utca 36.
H-2223 Érd"
"Váradi A. Péter"	"Mátrahídi utca 201.
H-5835 Szerbszéknádasd"
"Dr. Takácsné Váradi Rozália"	"Tótházai utca 195.
H-4173 Vácgyörgyvárad"
"Kissné Dr. Tóth Erika"	"Petőfi sándor utca 2.
H-9418 Nyíregyháza"
"Török T. Ákos"	"Arany jános utca 44.
H-9922 Tamásikőrös"
"Z. Fodor Ferenc"	"Petőfi utca 113.
H-3802 Szombathely"
"Dr. Sipos Jánosné Farkas Gabriella"	"Béke utca 191.
H-7042 Mosonbánya"
"Balogh Kiss Antal"	"Keresztapátii utca 44.
H-4200 Tapolcafalva"
"Nagy Gál Attila"	"Ady endre utca 245.
H-2304 Kaposvár"
"Dr. Tóth Sándorné Farkas Irén"	"Győri utca 50.
H-7842 Fürdőberény"
"Oláh Gáborné Nagy Krisztina"	"Ligethidai tér 48.
H-6035 Mosonmindszentbánya"
"Dr. Fehér Renáta Márta"	"Keresztvégi tér 141.
H-4787 Békésmindszentváros"
"Dr. Z. Mészáros Tamás"	"Pécsi tér 83.
H-7277 Szolnok"
"Kiss M. Mária"	"Ady endre utca 12.
H-1116 Dunakeszi"
"Dr. Tóth Bernadett Judit"	"Tótváradi utca 205.
H-3107 Békésfürdőhida"
"Dr. Farkas N. István"	"Tapolcaapátii utca 177.
H-5493 Felsőkeresztbánya"
"Dr. Horváthné Kiss Ilona Mariann"	"Szabadság utca 70.
H-9902 Békéscsaba"
"Balogh László"	"Szerbszéki utca 27.
H-1813 Nagykanizsa"
"Tóth Ábel Gábor"	"Borsodtapolcai utca 127.
H-8782 Kecskemét"
"Dr. Simon Tamásné"	"Mosontóti utca 156.
H-2412 Újligetfalva"
"K. Molnár Katalin"	"Nagykanizsai utca 98.
H-7818 Ligetbánya"
"Farkasné Dr. Orsós Alexandra"	"Dózsa györgy utca 69.
H-1062 Tiszamártonbánya"
"Dr. B. Tóth Erzsébet"	"Lajosmártoni utca 75.
H-3250 Hídharaszti"
"Gáspárné Virág Diána Margit"	"Szabadság utca 31.
H-3690 Kaposvár"
"Prof. Dr. Ráczné Németh Éva"	"Szombathelyi utca 196.
H-1631 Nádasd"
"Dr. Biró Judit Erzsébet"	"Tamásiberényi utca 53.
H-9285 Ligetharaszti"
"Dr. Nagy Jenő"	"Dózsa györgy utca 52.
H-5899 Hetvenharaszti"
"Balogh Norbertné Molnár Krisztina"	"Hídnémetii út 186.
H-4349 Belsőháza"
"Horváth Péter György"	"Hátkőrösi út 25.
H-7946 Vár"
"Bognárné Dr. Németh Szilvia"	"Debreceni utca 4.
H-6203 Mellékkőrös"
"Sándor Fekete Nándor"	"Pilistapolcai tér 165.
H-1740 Mosonmagyaróvár"
"Dr. M. Németh Ágnes"	"Szolnoki utca 45.
H-2203 Szentgyörgyháza"
"Lukács Erzsébet"	"Szolnoki utca 221.
H-4906 Tamásiháza"
"Péter Tiborné"	"Hajdútóti utca 47.
H-5749 Fürdőnádasd"
"A. Balogh Pál"	"Salgótarjáni utca 118.
H-6784 Tótkövesd"
"Nagyné Dr. Molnár Nikolett"	"Keresztváradi utca 142.
H-8259 Nyéktamásidevecser"
"Farkasné Szabó Csilla"	"Szabadság utca 98.
H-9422 Dunagyörgykőrös"
"Balogh Pataki Dávid"	"Győri utca 21.
H-5342 Zalaegerszeg"
"Nagy S. Dénes"	"Hátvárosi utca 63.
H-6616 Lajoshátháza"
"Dr. Nagy Rácz Katalin"	"Békésgyörgyi utca 197.
H-5921 Lajosfürdőhida"
"Farkas Istvánné"	"Újtamásii utca 128.
H-9391 Érd"
"Horváth Petra Adrienn"	"Arany jános utca 175.
H-6839 Váchídfalva"
"Csonka L. Márk"	"Hódmezővásárhelyi utca 87.
H-8530 Kunmindszenthalas"
"Pintér Antal Csilla"	"Ady endre utca 229.
H-8526 Székesfehérvár"
"Szabó Gergőné Szücs Erzsébet"	"Fürdőhidai tér 155.
H-1929 Nagykanizsa"
"Dr. Dudás Ferencné"	"József attila út 14.
H-3473 Pilisligetváros"
"Kovács Julianna"	"Háthidai utca 205.
H-8744 Apáti"
"Balogh Piroska Renáta"	"Váckereszti utca 250.
H-3000 Törökmindszentkövesd"
"Nagy Róbert"	"Kossuth utca 10.
H-9433 Pusztatapolcavég"
"Szilágyi E. Judit"	"Keresztkövesdi utca 165.
H-7523 Nagymindszentváros"
"Dr. Szabó Pataki Aranka"	"Nagyszéki utca 48.
H-5438 Egyházasvár"
"Dr. Kovács Katalin"	"József attila utca 118.
H-2249 Dunakeszi"
"Oroszné Török Anikó"	"Petőfi sándor sétány 204.
H-8314 Miskolc"
"Baloghné Dr. Szabó Veronika Éva"	"Petőfi sándor utca 110.
H-5947 Sopron"
"Lakatos Anikó"	"Györgyhalasi utca 133.
H-9880 Mindszentkövesd"
"Simon Varga János"	"Hetvenvégi utca 28.
H-8564 Újváros"
"Hajdu Pásztor István"	"Szombathelyi utca 149.
H-1548 Mártonnádasd"
"Balogh Piroska Sára"	"Hátfalvai út 119.
H-7253 Hetvenberény"
"E. Kovács Rozália"	"Mindszentnémetii tér 69.
H-7221 Hátvár"
"Papp József János"	"Békéscsabai utca 25.
H-8675 Mindszentnádasd"
"Dr. Szőke T. Péter"	"Hátkőrösi utca 128.
H-2802 Újkereszthida"
"Dr. G. Orbán Richárd"	"Győri utca 142.
H-7417 Dunaszékapáti"
"Dr. Varga Tamásné Fábián Emese"	"Bácstapolcai utca 86.
H-6966 Debrecen"
"Dr. Tóth A. István"	"Salgótarjáni utca 34.
H-1714 Mellékberény"
"Tóth Gergő"	"Egeri utca 151.
H-5182 Zalaegerszeg"
"Dr. Kovácsné Tóth Julianna"	"Hídharasztii utca 179.
H-4311 Györgyfalu"
"Dr. A. Tóth György"	"Ceglédi utca 102.
H-1018 Mindszentvárad"
"Balogh Sándor"	"Petőfi sándor utca 137.
H-9877 Széknádasd"
"Németh G. János"	"Balatoni utca 242.
H-4290 Székesfehérvár"
"Lakatos Lászlóné Tóth Barbara"	"Szombathelyi utca 121.
H-4182 Hajdútamásivár"
"Barna Csaba István"	"Kaposvári utca 6.
H-7477 Hetvenhida"
"Varga Mihály Máté"	"Zalaegerszegi utca 64.
H-2866 Szigetszentmiklós"
"Balla Ferenc"	"Szombathelyi utca 40.
H-5183 Győr"
"Tóth Balázs"	"Mezőligeti utca 234.
H-2406 Szolnok"
"Horváthné Juhász Rozália Csilla"	"Hetvenharasztii utca 135.
H-6889 Hetvenfa"
"Katona Aranka"	"Petőfi utca 179.
H-6737 Mindszentháza"
"Nagy Imre"	"Szombathelyi utca 235.
H-3945 Szigetszentmiklós"
"Balogh Sándorné Kovács Virág"	"Ligetapátii utca 108.
H-6170 Dunaújváros"
"Dr. Kiss Kiss Attila"	"Kossuth utca 186.
H-8492 Oroszmártonberény"
"Németh Katalin Zsuzsanna"	"Kecskeméti út 135.
H-5309 Magyarhídvára"
"Dr. É. Dudás Julianna"	"Hetvenfai utca 250.
H-6116 Hetvenháza"
"Dr. Oroszné Pintér Tünde"	"Hátapátii utca 164.
H-8492 Töröktapolcaharaszti"
"Varga Ilona"	"Tamásinádasdi utca 67.
H-1705 Magyarmártonvárad"
"Dr. Kovácsné Fekete Tímea"	"Kaposvári utca 166.
H-1125 Tapolcakövesd"
"Deákné Kovács Mária"	"Tapolcanádasdi utca 116.
H-8683 Újfürdőharaszti"
"Kovács Tímea"	"Ligetnémetii tér 138.
H-2550 Székesfehérvár"
"Simon Ákos Lajos"	"Mosonligeti utca 70.
H-2910 Tótberény"
"Balogh Tibor"	"Kunfürdői út 10.
H-7749 Fürdővár"
"Lukács Tamásné Simon Edina"	"Zalaegerszegi tér 242.
H-4218 Ózd"
"Szőke L. Bálint"	"Petőfi utca 173.
H-3702 Hetvenháza"
"Szabó Lajos Márton"	"Mindszentnádasdi utca 194.
H-5144 Mindszentvára"
"Dr. Bognárné Németh Edit"	"Váci utca 170.
H-5659 Hódmezővásárhely"
"Nagy Imrené Varga Melinda"	"Székesfehérvári utca 188.
H-8449 Debrecen"
"Dr. Kovács Margit Eszter"	"Nyíregyházai utca 176.
H-2310 Háza"
"Kovács Csabané"	"Tapolcakövesdi utca 144.
H-1349 Tatabánya"
"Dr. Molnár Sipos László"	"Ady endre tér 45.
H-2364 Tiszaligetháza"
"P. Kozma László"	"Újmártoni utca 104.
H-4857 Szolnok"
"Balogh Tóth András"	"Belsőmártoni utca 43.
H-2439 Dunakövesd"
"Dr. Nagy Csaba"	"Petőfi utca 90.
H-2856 Hetvenkövesd"
"Kiss Kerekes Melinda"	"Békésmártoni utca 155.
H-4599 Eger"
"Prof. Dr. Horváth Csilla"	"Egeri utca 233.
H-6890 Tamásibánya"
"Kovács Andrásné Rácz Gabriella"	"Béke utca 131.
H-9182 Hídhida"
"Farkasné Váradi Zsuzsanna Katalin"	"Ligetvégi utca 129.
H-5203 Székfalva"
"Szabó Levente Mihály"	"József attila utca 175.
H-8929 Pusztaszékkövesd"
"Molnárné Dr. Molnár Éva Diána"	"Szegedi utca 92.
H-9459 Törökgyörgyvárad"
"Dr. Takács Vivien Adrienn"	"Béke utca 44.
H-6064 Hídvárad"
"Vargané Balla Éva"	"Hajdúszéki utca 192.
H-1762 Mátratapolcaharaszti"
"Balogh Tóth Gyula"	"Oroszhídi utca 68.
H-5952 Nyírtapolcahalas"
"Dr. Boros Kovács Barbara"	"Drávafürdői utca 101.
H-1257 Békéscsaba"
"Baloghné Tóth Andrea Gabriella"	"Veszprémi utca 51.
H-7004 Nyírligetvárad"
"Dr. Szabó Marcellné"	"Mosonmagyaróvári tér 8.
H-7393 Székvára"
"Fazekas Z. József"	"Fürdőfalvai utca 203.
H-7345 Kunfürdővár"
"Vargané Szabó Aranka"	"Mártonharasztii út 73.
H-4016 Nyíregyháza"
