"Aaron Put"	"Petruspad 2
7650 Zerkegem"
"Henri De Clercq"	"Tombaan 127
2795 Vaucelles"
"Martijn Vermeersch"	"Brigittelei 168
9385 Erquennes"
"Alfons Bogaerts"	"Hildabaan 9
3686 Fallais"
"Glenn Debruyne Willems"	"Wannesweg 02
1215 Cras-Avernas"
"Dieter Vanhove Van Dijck"	"Jannelaan 6
9235
Wangenies"
"Laura Segers"	"Michaëlpad 96
4816
Martouzin-Neuville"
"Laura Verschueren Smits"	"Mariahof 675
4315 Presles"
"Mireille De Roover"	"Wernerlaan 414
7199
Veldegem"
"Rony Moons"	"Alicering 7
3619 Zingem"
"Rani Smolders"	"Christianedreef 8
6352
Magnée"
"Lies Mees"	"Walterring 9
8773
Moen"
"Paulien Van Looy"	"Kevinsingel 5
3211 Ecaussinnes-d'Enghien"
"Alfons Dewulf"	"Sarasingel 04
2342 Oostham"
"Eddy Van den Bossche"	"Lucaspad 25
2803
Redu"
"Axelle Nijs"	"Kimweg 3
1821 Oetingen"
"Lutgarde Willems"	"Jolienhof 0
6772
Waret-la-Chaussée"
"Liliane De Winter"	"Christianweg 023
3848
Grâce-Berleur"
"Michael Vervoort Claessens"	"Rebeccasteeg 9
7525
Braine-l'Alleud"
"Liliana Demeyere"	"Veroniquedreef 92
8680 Robertville"
"Sandra Willems"	"Patricksingel 4
3612
Maffe"
"Kristof Vandamme"	"Guntherlei 3
4590 Hondelange"
"Ivan Luyten"	"Carinering 53
4326 Puurs"
"Alfons Dierickx"	"Christiaanring 365
9270 Roesbrugge-Haringe"
"Ellie Leroy"	"Joycestraat 6
4280 Grandrieu"
"Hannah Adriaenssens"	"Annydreef 8
9826 Donk"
"Anna Vermeiren"	"Godelievedreef 82
7063 Orp-Jauche"
"Rita Cornelis"	"Frankbaan 77
2419
Ehein"
"Paul De Cuyper"	"Felixboulevard 3
7657
Walem"
"Eddy Christiaens"	"Clarasteeg 467
6933
Zwijndrecht"
"Elza Broeckx"	"Martinedreef 95
4568
Stoumont"
"Eline Vandamme"	"Daisydreef 2
7961
Beauvoorde"
"Rita Mertens"	"Juliensingel 86
5889 Markegem"
"Alfons Horemans"	"Stanpad 906
4260 Alleur"
"Jan Aerts"	"Annabaan 81
4246
Maisières"
"Yvonne Bosmans"	"Mohammadsteeg 14
3492
Ledegem"
"Kim De Groote"	"Nadinelaan 58
1341
Langemark-Poelkapelle"
"Franky Verhaegen"	"Marie-Joséboulevard 4
9794 Stokrooie"
"Mariette Dewitte"	"Soniabaan 87
3764 Liberchies"
"Jozef Devos"	"Stanstraat 04
1591 Mortroux"
"Fleur Vandevelde"	"Katrienring 6
1476
Ecaussinnes-d'Enghien"
"Godelieve Peeters"	"Michaellei 414
8445 Aiseau-Presles"
"Daniel Van Praet"	"Evelinelaan 354
6928 De Klinge"
"Alfons Theys"	"Sandradreef 3
3228 Marenne"
"Nicky Vercammen De Winter"	"Kurtsingel 43
7485 Aartrijke"
"Sofie Roosen"	"Moniquering 4
2097
Jeneffe"
"Erna Philips"	"Marie-Thérèsering 1
8203 Roux-Miroir"
"Sanne Mortier De Laet"	"Liamsingel 2
4654
Moerbeke-Waas"
"Sarah Cools"	"Annieweg 0
6281 Villers-Saint-Ghislain"
"Kathleen Faes"	"Peterlaan 274
1985
Forrières"
"Maya Wouters"	"Nicolering 561
1330
Lettelingen"
"Jonas Smets"	"Nadinepad 3
3221 Eigenbilzen"
"Melissa Van den Eynde"	"Briansingel 6
8564
Veltem-Beisem"
"Alfons Van den Eynde"	"Tompad 70
8859
Vedrin"
"Ilse Peeters"	"Dinadreef 347
7050
Arville"
"Diane Ceulemans"	"Christinehof 394
6499 Baasrode"
"Sanne Lippens"	"Liezelaan 12
9602 Thirimont"
"Robbe David Michielsen"	"Runehof 75
6127
Roly"
"Margaux Geuens"	"Emielsteeg 7
3270
Saint-Vaast"
"Veronique Borremans"	"Evaweg 1
9380 Houtem"
"Christel Geens"	"Ismailboulevard 8
8647
Moignelée"
"Cindy Rombaut"	"Marcboulevard 127
8112 Evergem"
"Marc Heremans"	"Eddyhof 06
8526
Waver"
"Ali Delaere"	"Jenspad 4
1352 Laneffe"
"Aya Janssens"	"Christianasteeg 19
3601 Binche"
"Luca D'hondt"	"Roellei 796
9454 Serinchamps"
"Helena Janssen"	"Michelweg 642
7475 Mont-Saint-Aubert"
"Nicole Willems Hoste"	"Stefanieweg 73
2904 Rosières"
"Geoffrey Claus"	"Maartendreef 6
9517 Stavele"
"Geert Vandenberghe Verbiest"	"Jean-Pierresteeg 976
7889 Rouvreux"
"Hanne Peeters"	"Sabrinalaan 0
3060
Biez"
"Steven Decoster"	"Marcobaan 579
1727 Biesme"
"Gisèle De Clercq"	"Leenhof 2
9940 Ellignies-Sainte-Anne"
"Ali Vlaeminck"	"Mariapad 1
3145
Custinne"
"Cindy De Backer"	"Pauladreef 21
6391
Grazen"
"Thibaut Decoster"	"Maartenlei 686
5832
Oignies-en-Thiérache"
"Carine Peeters"	"Michaelweg 48
6972
Ruiselede"
"Tine Reynders"	"Liesbethlaan 0
8362
Sint-Gillis-Waas"
"Maarten Jacobs"	"Heidibaan 710
6381 Bellem"
"Dylan De Waele"	"Hendriklei 4
2750
Pessoux"
"Thor Gielen"	"Jessicasteeg 75
6279
Bleid"
"Frieda Van Dooren"	"Martineweg 08
4967
Lamorteau"
"Michelle Verbist"	"Daniellering 03
1143
Lovenjoel"
"Alice De Clerck"	"Mariaring 1
8248 Hodeige"
"Sonia Verbruggen"	"Veerlestraat 10
3661 De Pinte"
"Hilda Dejonghe"	"Eddybaan 23
5349
Jumet"
"Sander Smets"	"Didierpad 50
5829 Kuurne"
"Christine Thomas"	"Mohammedsteeg 58
1749 Anhée"
"Julie Van den Broeck"	"Drieslaan 193
4981
Flamierge"
"Maria Willems"	"Thomasstraat 1
1260
Eindhout"
"Marcel Joris"	"Felixsteeg 0
5445 Leuven"
"Bart Jacobs Everaert"	"Dietersteeg 677
3456 Haren"
"Suzanne Vereecken"	"Moniquebaan 393
8604
Vilvoorde"
"Alice Vermeire Baeyens"	"Carlboulevard 4
7800 Drieslinter"
"Lander Meersman"	"Stevenlaan 937
9119 Chantemelle"
"Sonja Heymans"	"Philipsteeg 016
2717
Sint-Pieters-Leeuw"
"Deborah Voet"	"Annsingel 495
9692 Herselt"
"Alain Van Poucke"	"Brunopad 70
8607
Zomergem"
"Josephine Jacobs"	"Idahof 8
2779 Geraardsbergen"
"Viviane Wuyts"	"Andréweg 9
4096
Bleret"
"Rik Mertens Van Damme"	"Gustaafpad 74
5031
Scherpenheuvel"
"Dries Van Roy"	"Mariopad 498
4258 Helen-Bos"
"Claudia Hendrickx Thomas"	"Mustafadreef 3
3381 Doische"
"Aline Schepers"	"Doriensingel 35
6680
Gozée"
"Dominique Pattyn"	"Vicring 44
1928
Tourpes"
"Siebe Peeters"	"Davysteeg 19
8056
Stoumont"
"Christel De Roeck Bervoets"	"Mariadreef 379
9728 Masbourg"
"Maria Bertels"	"Ellenweg 24
5692 Thuin"
"Els Leys"	"Marijkelei 313
7924
Tubize"
"Arne Bekaert"	"Katriensteeg 7
6243
Crisnée"
"Mathis Casier"	"Christianebaan 7
8799 Zedelgem"
"Femke Lemmens Wouters"	"Jefboulevard 445
7665 Vurste"
"Ronny Luyckx"	"Janhof 10
8775
Guigoven"
"Aline Verschueren"	"Stijnsingel 072
3756 Humain"
"Nathalie Hellemans"	"Seppedreef 13
5122
Berg"
"Luc Smet"	"Mariasteeg 89
6503
Moerbeke"
"Geert Janssens"	"Toonstraat 443
6832
Goesnes"
"Ellie Callens"	"Brechtweg 6
9268
Graty"
"Geert Gielen"	"Bramsteeg 9
8248 Horpmaal"
"Marie Jacobs Breugelmans"	"Mariaweg 51
1193 Morlanwelz"
"Malika Claeys"	"Alexanderboulevard 89
6540 Thynes"
"Martine Goethals"	"Victorboulevard 59
5434
Rekkem"
"Annick Philips"	"Marielei 98
7930 Wiekevorst"
"Amber Brouwers"	"Antonsingel 82
8471
Spouwen"
"Patrick Verwimp"	"Helenasingel 9
8576
Knesselare"
"Gerard Mertens"	"Larastraat 06
2376
Grapfontaine"
"Glenn De Paepe"	"Marie-Roseboulevard 207
8842 Néchin"
"Stefanie Verheyden Wouters"	"Mariaboulevard 20
9125
Bekkevoort"
"Griet Verlinden"	"Antonioweg 71
9881 Fraire"
"Christophe Baeten"	"Daniëllaan 351
7394
Montigny-le-Tilleul"
"Mieke Leysen"	"Carinelaan 4
6153
Ville-sur-Haine"
"Dirk Baert Theys"	"Riklei 18
1429 Bressoux"
"Leon Dewitte"	"Carinering 05
2457 Léglise"
"Amber De Laet"	"Sandrasingel 7
9015 Comblain-la-Tour"
"Nicolas Merckx Van Goethem"	"Jacklaan 6
4057
Stekene"
"Ronald Vercauteren"	"Dominiquering 12
8744
Tailles"
"Ronny Van Acker"	"Pieterpad 1
9504
Moerkerke"
"Chantal Vercauteren"	"Monicasteeg 5
9251
Heldergem"
"Wim Lauwers"	"Philippedreef 542
9715 Nieuwerkerken"
"Josiane Nelissen"	"Thomaslei 26
9518
Reninge"
"Virginie Nys"	"Hendrikboulevard 1
8414 Klein-Gelmen"
"Marleen Somers"	"Elspad 236
7215 Gottem"
"Khadija De Maeyer"	"Stevenhof 67
4593 Oosteeklo"
"Amber Fransen"	"Hugoweg 17
9146
Celles"
"Christine Vissers"	"Dimitristraat 446
8692 Zillebeke"
"Lenn De Bock"	"Robweg 8
5413
Meensel-Kiezegem"
"Sonja De Bruycker"	"Ritahof 2
4081
Sint-Rijkers"
"Marie Op de Beeck"	"Lucsingel 795
3098 Lavoir"
"Alexis Degroote"	"Ilsedreef 639
7165 Sinsin"
"Emilia Van Hoof"	"Etiennedreef 8
9977
Scherpenheuvel-Zichem"
"Alexandra Van Hoof"	"Joeriboulevard 86
5701 Balâtre"
"Thierry Geerts Timmermans"	"Mariapad 081
2907 Bassenge"
"Louis Vissers"	"Christianering 478
5198
Herbeumont"
"Amber Geuens"	"Sarahhof 322
3821 Alle"
"Marc Verhaeghe"	"Sofiaring 5
3762
Oreye"
"Carine Schoofs"	"Connystraat 53
4987
Zillebeke"
"Jeanne Vanneste"	"Julienstraat 46
3975
Bersillies-l'Abbaye"
"Hilde Vanderheyden"	"Oscarstraat 33
4709 Pepinster"
"Rudy Dewaele"	"Koenhof 25
9765 Halle-Booienhoven"
"Magda Schepers"	"Annadreef 426
8177
Hombeek"
"Glenn Verhulst"	"Tineweg 870
5787
Esquelmes"
"Adam Daems"	"Ellastraat 2
5624 Spy"
"Louis De Ridder"	"Anniebaan 42
4024
Silly"
"Amber Maes"	"Pieterhof 672
4657 Marche-lez-Ecaussinnes"
"Peter De Groof"	"Ilyassteeg 251
6802 Veldegem"
"Betty Claeys"	"Mariahof 354
4073 Ledeberg"
"Karen De Coster"	"Jeanweg 6
5245 Zarren"
"Wendy Vercauteren"	"Remibaan 943
7346
Bikschote"
"Jimmy Michiels"	"Elsweg 402
3573
Wijchmaal"
"Marc De Smet Baetens"	"Lisettedreef 0
2557
Temploux"
"Micheline Vercauteren"	"Walterdreef 244
2584 Straimont"
"Roel Vanderstraeten"	"Frankring 5
7355
Opheers"
"Beatrijs Lenaerts"	"Audreylei 61
6108 Villers-Sainte-Gertrude"
"Amber Vanderheyden"	"Omarstraat 9
7406 Corroy-le-Grand"
"Nora Janssens De Wilde"	"Yannicksteeg 473
1581 Ernonheid"
"Marleen Moerman"	"Martinepad 88
5167 Astene"
"Augusta Huybrechts"	"Juleslei 266
2327 Sint-Katherina-Lombeek"
"Maria De Vos Lambrechts"	"Runesingel 8
6744 Zepperen"
"Wendy Meyers"	"Eddybaan 83
9333 Kapelle-op-den-Bos"
"Wim De Schrijver"	"Axelboulevard 7
9008 Gimnée"
"Thor Driesen"	"Jonasboulevard 29
3310 Froidmont"
"Jill Roels"	"Rogerhof 4
5482
Kolmont-Tongeren"
"Kristof Bosmans"	"Renédreef 739
1308 Vinkem"
"Amelia Dillen"	"Larahof 8
2715
Baelen"
"Alex De Vos"	"Simonpad 87
5369 Eke"
"Ronny Van Laere"	"Mariekesingel 8
6947
Sint-Ulriks-Kapelle"
"Julie Lemmens"	"Oscarstraat 569
9420
Petite-Chapelle"
"Rita Verhelst"	"Irènepad 29
3635 My"
"Iris Sels"	"Victorsingel 24
6329 Jallet"
"Ronald Claes"	"Ingering 894
4504 Gors-Opleeuw"
"Sabine Janssens"	"Nancyweg 03
8829
Manage"
"Oliver Van Camp Peeters"	"Ginettering 154
5364 Merksplas"
"Gunther Baetens"	"Laurapad 352
7910
Kozen"
"Amelia Parmentier"	"Veerleweg 05
8121
Chokier"
"Angela Van Gorp"	"Tinaring 5
3744
Bougnies"
"Youssef Van Landeghem"	"Gerdalei 0
7534
Marcinelle"
"Peter Vandaele"	"Wernerboulevard 20
1730 Kleine-Spouwen"
"Ilyas Smets"	"Gerdalaan 500
6285
Heikruis"
"Evelien Leemans"	"Leosteeg 69
6421
Comblain-Fairon"
"Deborah Martens"	"Sofielaan 1
1282 Vosselare"
"Katrien Jacobs"	"Arnesteeg 8
3271
Ways"
"Mariette Verhaegen"	"Wendydreef 6
7780
Marbaix"
"Ingeborg Janssens"	"Jordybaan 640
4987
Bouvignies"
"Amelia Van Herck Goossens"	"Brentlei 8
1120
De Pinte"
"Rose Ceulemans"	"Kirstenlaan 622
5970
Oelegem"
"Leon Hendrickx"	"Stevenstraat 9
5458
Gellik"
"Roger Van Dijck"	"Rudylei 867
3197 Liernu"
"Greet Deprez"	"Julienboulevard 5
1694 Straimont"
"Cindy Maes"	"Patriciaboulevard 997
7764 Brecht"
"Marcus Geuens"	"Maartenhof 22
9456 Diepenbeek"
"Marieke Claesen"	"Filipbaan 3
3613 Kemzeke"
"Véronique Peeters"	"Johanlaan 968
3602
Kemexhe"
"Ingrid Deckers De Decker"	"Rogerhof 63
4677 Webbekom"
"Amelie Ceuppens"	"Daniëlpad 0
5130 Lantremange"
"Walter Herman Vandendriessche"	"Elisestraat 091
2060 's-Gravenvoeren"
"Jessica Houben"	"Sabinering 436
8056 Lembeke"
"Marie-Christine Hanssens"	"Driesboulevard 3
2369
Jandrain-Jandrenouille"
"Seppe Singh"	"Ritalei 9
7237 Jandrain-Jandrenouille"
"Evelien Huybrechts"	"Ilsepad 103
3830 Fraipont"
"Siebe Peeters"	"Guntherbaan 883
6827 Gooik"
"Noor Segers"	"Marie-Louisedreef 6
5089 Bassevelde"
"Lucienne Verbeke"	"Lotteweg 8
8537 Matagne-la-Grande"
"Jan Cox Vermeire"	"Noëlstraat 163
6318
Teuven"
"Amelie Van den Bosch"	"Marialei 02
9846 Sint-Joost-ten-Node"
"Jean Van Camp"	"Danielsteeg 28
7580 Nederboelare"
"Ann De Clercq"	"Eveliendreef 593
7406 Saint-Vincent"
"Mila De Witte"	"Karimboulevard 7
8722
Stavele"
"Liliane Depuydt"	"Stephanielaan 127
1676
Héron"
"Arne Goossens"	"Ginobaan 521
7591
Flénu"
"Maxim Hermans"	"Grietlei 82
5735
Rognée"
"Diana De Wolf"	"Emmaweg 039
8396 Ulbeek"
"Nele Cornelis"	"Germainering 768
4020 Gijzelbrechtegem"
"Alexandra Vercammen De Vos"	"Jansingel 6
1531
Montleban"
"Amir Debruyne"	"Laurahof 83
6054
Leerbeek"
"Nicole Vlaeminck"	"Elslei 202
2755
Kortenaken"
"Rafael Janssen"	"Lutgardeboulevard 1
1551 Archennes"
"Mieke Wouters"	"Jorenboulevard 065
4234 Waret-l'Evêque"
"Virginie Van den Bossche"	"Jarnelei 7
4428
Gierle"
"Paul Claus"	"Lucassteeg 552
7345 Aublain"
"Elisabeth Denys"	"Ingesteeg 0
3348 Senzeille"
"Lena Baeten"	"Maartenpad 844
3305 Croix-lez-Rouveroy"
"Louise Wouters Lievens"	"Ginoring 46
1980 Meerbeke"
"Arthur De Schutter"	"Juliahof 699
9009 Grammene"
"Amy Verhulst Vandaele"	"Claraweg 8
7647
Gembloux"
"Olivier Meersman"	"Franklaan 55
9942
Overpelt"
"Emmanuel Van Bogaert"	"Natasjapad 637
5044
Polleur"
"Barbara Seghers"	"Hanneweg 347
9850 Bovelingen"
"Alain De Smedt"	"Christiannestraat 40
7282
Nieuwkapelle"
"Steve Wynants"	"Stephanweg 465
3826 Boneffe"
"Hanne Desmet"	"Sofieboulevard 521
1068
Sluizen"
"Stefanie Tielemans"	"Joséestraat 2
9279 Opgrimbie"
"Carla Deleu"	"Stefaniepad 49
4095
Farciennes"
"Bart Wauters"	"Myriamlei 8
5613 Jauche"
"Amélie Diallo Lemmens"	"Wimlaan 0
8644 Eupen"
"Tine Meersman"	"Lukaslaan 1
6880
Hamme"
"Louis Claes"	"Antoineboulevard 5
6375
Paliseul"
"Steven De Meester"	"Jeansteeg 89
6785
Waasmunster"
"Suzanne De Groote"	"Krissingel 52
2404
Frasnes-lez-Anvaing"
"Nicky Feys"	"Fannypad 64
8011
Leval-Chaudeville"
"Warre Declercq"	"Thomasweg 365
9554
Dadizele"
"Stef Timmermans"	"Marcring 4
8416
Heppen"
"Paul Smets"	"Marialaan 72
2845 Uitkerke"
"Anne-Marie Loos"	"Deniselaan 2
2426
Fayt-le-Franc"
"An De Wit"	"Anthonypad 497
2675
Lontzen"
"Jean Vercauteren"	"Kurtlei 1
7282 Watermaal-Bosvoorde"
"Maria Sterckx Boonen"	"Tesssingel 310
6169
Vaux-sur-Sûre"
"Stefaan Ceulemans"	"Lisalei 028
4481 Dave"
"Dimitri De Vos"	"Robbyboulevard 8
1550 Edelare"
"Dries Huybrechts"	"Alexandersingel 726
3869
Sankt-Vith"
"André Thys"	"Kristelsteeg 22
8076
Autre-Eglise"
"Anna Thomas"	"Lottelei 9
4434 Leest"
"Julie Driesen"	"Annemiebaan 136
4013 Walhorn"
"Dries Engels"	"Karolienlei 3
2601
Mont-Gauthier"
"An De Witte"	"Jessering 9
5943 Nederename"
"Julie Lambert Deleu"	"Lauraring 513
4562 Olloy-sur-Viroin"
"Jan Verdonck"	"Rebeccalaan 79
4221
Anthisnes"
"Annie Goossens"	"Heidilei 21
1864 Mohiville"
"Katia Somers"	"Patriciapad 28
1760
Outer"
"Yannick Van Herck"	"Achielsteeg 7
7678
Silenrieux"
"Siebe D'hondt"	"Stéphaniestraat 49
2675 Menen"
"Ingrid Staelens"	"Guillaumesteeg 423
7700 Borlo"
"Stefan Willaert"	"Marjanhof 7
3964
Ophoven"
"Sam Verboven"	"Gerritsingel 507
7678 Cour-sur-Heure"
"An François"	"Adrianahof 400
7077
Vyle-et-Tharoul"
"Magda Maertens"	"Philipweg 7
4709
La Glanerie"
"Christiaan Janssen Verboven"	"Walterhof 129
6994
Grandrieu"
"Patrick Claes De Smet"	"Erwinpad 51
1357
Vurste"
"Cindy Segers"	"Mathiassingel 30
2683 Sint-Rijkers"
"Sven Luyten"	"Robbeweg 887
8914
Attert"
"Koen De Ridder"	"Lindalaan 3
6879 Coutisse"
"Kris Van Nuffel"	"Febestraat 80
4420 Erpe-Mere"
"Ronny Van Poucke"	"Axellesteeg 82
5704 Orgeo"
"Helena Diallo"	"Willemsteeg 575
9805 Masnuy-Saint-Jean"
"An Van Rompaey"	"Elsweg 76
9660
Mannekensvere"
"Senne Vleugels"	"Woutweg 15
5131 Ottignies"
"Marie-Jeanne Bogaert"	"Jozefsingel 4
4799
Tiegem"
"Thomas Tanghe"	"Berthof 444
8273
Saintes"
"Ayoub Gielen"	"Björndreef 21
5650
Aarschot"
"Jean Janssens"	"Julielei 627
2370
Cul-des-Sarts"
"Tessa Janssens"	"Hubertsingel 74
9970 Solre-Saint-Géry"
"Valerie Houben"	"Ferrestraat 5
2660 Sint-Maria-Latem"
"Alfred De Rycke"	"Robertsingel 644
8582 Beverlo"
"Katrien Rogiers"	"Carolinebaan 485
3787 Herdersem"
"An Vanderheyden"	"Daanstraat 756
1828
Fexhe-le-Haut-Clocher"
"Nicolas Aerts"	"Bartdreef 445
4164 Herentals"
"Christian De Clerck"	"Robbelaan 56
9373 Retinne"
"Franciscus Standaert"	"Johannesdreef 0
9745 Wépion"
"Mohammed De Greef"	"Marieweg 036
4044 Sint-Agatha-Rode"
"An Lemmens"	"Emileboulevard 2
2861
Slijpe"
"Liesbeth Goossens"	"Francislaan 1
8670
Gent"
"Tamara Lippens"	"Seppeboulevard 8
4849 Aye"
"Gabriel Polfliet"	"Dirklei 92
3901 Sint-Maria-Lierde"
"Jeannine Nys"	"Irenabaan 40
5938 Wansin"
"An Verhaegen"	"Liampad 28
9266 Asper"
"Hannah Dewulf"	"Hasanlaan 7
6759 Petit-Fays"
"Jacques Driesen"	"Petrapad 142
6302
Bertrix"
"Stefanie Vercammen"	"Heidisteeg 67
1456
Watervliet"
"Gilles Timmermans"	"Dirkhof 22
2306 Wez-Velvain"
"Ludo Van Hulle"	"Kurtpad 5
7751 Popuelles"
"Nicole Lemmens Janssens"	"Nancypad 207
2640
Sint-Martens-Latem"
"Jeannine Timmerman"	"Tessalei 79
6637 Tielt-Winge"
"Jean Verhaeghe"	"Mariebaan 204
8127 Nederboelare"
"Noëlla De Coninck"	"Sofiehof 568
7650 Flône"
"An Verstraeten"	"Larasingel 0
2968 Nandrin"
"Jeanine Janssens"	"Juansingel 58
2831
Ermeton-sur-Biert"
"Leen Melis"	"Jeansingel 1
9839 Beerst"
"Ignace Verbeeck"	"Armandhof 558
6343
Agimont"
"Kenneth Jansen"	"Emilesteeg 85
1001 Thiméon"
"Inge Rottiers Goethals"	"Loïcboulevard 62
4047 Vinalmont"
"Aya Vermeylen"	"Tomstraat 35
1924 Izenberge"
"Joeri François"	"Carolinesteeg 6
6440 Gellik"
"Wim Vereecke Goris"	"Andreaslei 48
8205 Marquain"
"Greta Roels"	"Danielboulevard 47
3518
Tourinnes-Saint-Lambert"
"Andrea Janssens"	"Anitalaan 281
9305
Hertsberge"
"Godelieva Beernaert"	"Mariambaan 054
7500
Burdinne"
"Davy De Bruyn"	"Marcsingel 9
5255
Gosselies"
"Sylvie Steyaert"	"Georgessingel 7
8346
Beffe"
"Sophie Yildirim"	"Laurepad 42
4140
Toernich"
"Simon Vandecasteele"	"Patricialei 39
4459 Viersel"
"Jacqueline Verheyen"	"Jessicadreef 6
7940
Stekene"
"Vincent Smet"	"Nancystraat 4
5772 Embourg"
"Tom Dhondt"	"Polsteeg 918
1969 Villers-la-Bonne-Eau"
"Louis Colman"	"Marie-Joséstraat 7
2439 Melsele"
"Andreas Maes"	"Thomashof 712
5340
Meeswijk"
"Flore Desmet"	"Anouklei 05
3027 Dilsen-Stokkem"
"Roger Van Dyck"	"Wendyweg 5
3579
Felenne"
"Annick Moens"	"Marcpad 3
1181 Toernich"
"Jeanne Smet"	"Josephinesingel 6
8061 Hansbeke"
"Nancy Rombouts"	"Cedricsteeg 345
8182 La bouverie"
"Gaëlle De Wilde"	"Marie-Rosesteeg 8
1751
Essene"
"Gilbert Goyvaerts De Schepper"	"Naomipad 50
2164 Templeuve"
"Paul Dekeyser"	"Eliaslaan 1
2935 Trooz"
"Yves Van Dijck"	"Gertlei 71
5343
Goesnes"
"Andreas Van Loo"	"Oscarhof 8
5078
Lompret"
"Jan Vercammen"	"Godelievalaan 238
1568 Gutschoven"
"Ilse Cools"	"Ingestraat 3
9063
Wasmuel"
"Didier Maes"	"Lisesteeg 533
1300 Herzele"
"Maria Pauwels"	"Aminahof 4
6380
Nijlen"
"Johan De Mey"	"Marcdreef 69
2040
Remagne"
"Melanie Martens"	"Jeandreef 5
3102
Moustier-sur-Sambre"
"Charlotte Verstraete"	"Elisabaan 1
6840
Anseremme"
"Hanne De Pauw"	"Alexandresteeg 9
3861
Gestel"
"Josephina De Decker"	"Françoishof 8
5460
Rekem"
"Andreas Vandenbussche"	"Fabianweg 05
2210
Zarren"
"Alice Raeymaekers"	"Tinering 7
1372 Jamagne"
"Lotte Hermans"	"Dylanhof 5
1596 Mere"
"Victor Segers"	"Agneshof 504
2550 Wasmes"
"Frank Vervaeke"	"Wesleypad 280
4370 Noduwez"
"Steven Leroy"	"Nicosteeg 93
9994
Leefdaal"
"Joël Roels"	"Ceciliaweg 4
4049 Hannêche"
"Lieze Janssens"	"Mielweg 78
5895 Burcht"
"Ruben Adams Deceuninck"	"Frederikbaan 54
9989
Malle"
"Elisa Declercq De Bruycker"	"Larsdreef 6
9495
Limerlé"
"André De Vos"	"Kimberlyhof 775
4870
Forville"
"Jonas Beernaert"	"Moniqueweg 0
1654 Dréhance"
"Monique Singh"	"Nadinebaan 529
4384
Rijkel"
"Luna Boone"	"Christiaanlaan 5
2465 Gochenée"
"Joanna Rombouts"	"Mariesingel 327
7059
Sippenaeken"
"Marc Denys"	"Christophelaan 59
7372
Merdorp"
"Paul Van den Broeck"	"Markdreef 791
2795 Kieldrecht"
"Wendy Heylen Goris"	"Josephinastraat 8
2621 Havelange"
"Katrijn Decoster"	"Peterstraat 602
2992 Viroinval"
"Rosalie Lemmens"	"Wannesring 0
7940
Beringen"
"André Ooms"	"Vanessalei 21
8195
Sainte-Ode"
"George Roelandt"	"Sonjaboulevard 602
4318 Nafraiture"
"Alexander Loos"	"Claudiasingel 8
6223
Houthalen-Helchteren"
"Lauren Depuydt"	"Younesboulevard 70
3574 Laar"
"Geert Kaya"	"Ingridring 3
1476
Forges-Philippe"
"Maria Vanderheyden"	"Aliweg 599
4435 Berendrecht"
"Martine De Bondt"	"Luclaan 59
9882
Neufmaison"
"Dimitri Willems"	"Janpad 077
2593
Suxy"
"Veerle De Smet"	"Quintenring 39
6137 Vechmaal"
"Jens Van Bogaert"	"Gretasingel 86
1182 Lambermont"
"André Van Dessel"	"Matthiasweg 617
1351 Blaregnies"
"Andrea Van Damme"	"Gerardaboulevard 9
1507
Saint-Séverin"
"Tine Van Loo"	"Jaspersingel 7
2390 Paal"
"Henriette Deleu"	"Denisebaan 4
3622
Abolens"
"Charlotte Kenis"	"Juliettedreef 2
6784 Grapfontaine"
"Sabrina Deckers"	"Michaelsingel 2
4196
Hollange"
"Helena De Cock"	"Elsboulevard 1
6853 Signeulx"
"Marc Rosseel"	"Katjasingel 13
2238
Longueville"
"Freddy Pieters"	"Thomasstraat 0
5414
Piétrain"
"Monique Wuyts"	"Patrickbaan 753
8559 Ophain-Bois-Seigneur-Isaac"
"André Verhoeven"	"Ferrehof 10
5018
Baisieux"
"Henri Christiaens"	"Marthestraat 011
6979
Genly"
"Francis Lambrechts"	"Vincentboulevard 5
4087
Slijpe"
"Lore Bekaert"	"Remipad 5
3734 Hives"
"Robin Claes"	"Alfonsbaan 070
4921
Montegnée"
"Jules Van Roy"	"Pedroring 39
6798
Saint-Pierre"
"Natascha Ali"	"Fienhof 3
6684
Glain"
"David De Smet"	"Katleenstraat 5
7210 Sint-Joris-Winge"
"Veerle Martens"	"Gunterbaan 58
7517
Heist-op-den-Berg"
"Christine Baetens"	"Dianelaan 382
1283
Waterland-Oudeman"
"Angela De Cuyper"	"Mariannering 08
4888
Herquegies"
"Luna De Clerck"	"Rikboulevard 02
8521
Kortijs"
"Monique Sanders Vercruysse"	"Marialei 808
7041
Poeke"
"Renée De Groote"	"Johnlei 5
6547 Fauroeulx"
"Fien Verheyen"	"Luclei 0
4512
Wibrin"
"Victor De Meester Michielsen"	"Georgesstraat 66
2443 Gouy-lez-Piéton"
"Lucas De Witte"	"Marcsingel 815
4942
Ellignies-Sainte-Anne"
"Willy Claes"	"Jonathandreef 01
9446
Stuivekenskerke"
"Julienne De Groote"	"Evelinering 62
8874
Bunsbeek"
"Guido Mariën"	"Joeriboulevard 802
5626 Roly"
"Angela Jacobs"	"Stefaniesteeg 214
5253 Dentergem"
"Annie Martens"	"Yvonnesteeg 1
9456 Jemelle"
