"Adrian Ahmed","Mikkelsengjerdet 6, 6404 Tobiashamn"
"Arne Amundsen","Hagenrøa 8A, 0855 Lund"
"Andrea Ali","Sætherstykket 7, 0591 Berge"
"Cathrine Arnesen","Sandvikkollen 837, 9229 Solheim"
"Magnus Svendsen","Sandvikåsen 7, 4504 Aune"
"Ingrid Paulsen","Johnsengata 009, 9000 Maritodden"
"Leif Hansen","Hauglandlyngen 50, 3039 Hauge"
"Øystein Rasmussen","Holmhaugen 35B, 3930 Jonfoss"
"Kjell-Ivar Hagen","Bergeskrenten 1, 7439 Ahmed"
"Eivind Isaksen","Arnesengjerdet 09, 8256 Øyvindø"
"Jan-Dag Rasmussen","Lundvika 1, 7532 Strand"
"Erling-Eivind Eriksen","Haugeflata 6, 3270 Evadal"
"Andrea Andresen","Knudsenstranda 1B, 2866 Paulsen"
"Karoline Mikkelsen","Brekkeplassen 16C, 9339 Johnsen"
"Henrik Ruud","Arnesenstubben 26, 3461 Nygård"
"Leif Næss-Hanssen","Mikkelsentunet 72, 9449 Christensen"
"Bjørg Haugland","Erikseneggen 4, 3169 Martinsen"
"Irene Eide","Kristiansengata 29, 7349 Karlsen"
"Kåre Brekke","Sivertsenmoen 76D, 0445 Aas"
"Erling Evensen","Isaksenkollen 3, 1477 Emmanes"
"Kenneth Holm","Christensenkollen 251, 7179 Elisegrunn"
"Dr. Jørgen Myklebust","Pedersenkollen 9, 8613 Kirstenvåg"
"Andrea Johnsen","Berntsentoppen 95F, 2567 Haug"
"Turid Nilsen-Eriksen","Johnsentjernet 5, 6783 Karlhavn"
"Simen Martinsen","Ellingsenhavna 3, 4930 Myhre"
"Kristian Rasmussen","Mikkelseneggen 7, 1825 Knutfjord"
"Ola Sæther","Madsenvollen 6, 2219 Kristensen"
"Frank Berntsen","Nguyenmoen 55, 9163 Larshamn"
"Arne Hagen","Moeåsen 484, 5209 Knutsen"
"Øystein Martinsen","Hauglandhagen 98, 0438 Ritasand"
"Heidi Aas","Svendsenkollen 626, 4561 Andresen"
"Kåre Sivertsen","Pedersenvollen 186, 2484 Myhre"
"Andrea Jørgensen","Eideskogen 3, 3418 Thorsen"
"Alf-Petter Rasmussen","Antonsenflata 77D, 3003 Tonjebø"
"Tore Dahl","Amundsenalléen 04, 0338 Strand"
"Maren Jensen","Fredriksenstubben 31A, 5971 Beritborg"
"Prof. Eirik Johansen","Hagenmyra 2, 0126 Pettersen"
"Asbjørn Solberg-Engen","Hagenmyra 97, 6774 Larsen"
"Jonas-Espen Dahl","Edvardsenekra 15, 5027 Kristoffersund"
"Rolf Haug","Jakobsengjerdet 1, 1873 Bjørgsjøen"
"Nils Myhre","Iversenringen 50H, 7874 Jensen"
"Finn Bakken","Simonsenengen 1, 6165 Pervær"
"Andrea Lunde","Amundsenhaugen 07C, 5493 Andreastrøm"
"Martin Nygård","Eidespranget 92, 3200 Strøm"
"Erik Sandvik","Hellandgjerdet 4, 8668 Oleodden"
"Gunnar Jenssen","Haugehaugen 9, 4387 Jorunnfjord"
"Inger Paulsen","Jakobsenplassen 8, 2324 Ellensund"
"Geir Eriksen","Thorsenhavna 3D, 1851 Emilstad"
"Kristoffer Johnsen","Johnsenåsen 9, 2498 Sisselfjell"
"Kristian-Håvard Larsen","Andresenberget 28, 6393 Rønning"
"Kristine Jensen","Brekkeskrenten 5, 9833 Tomø"
"Anna-Nora Jakobsen","Vikrøa 78, 2344 Heidisund"
"Andrea Moe","Myhrestranda 6, 9495 Jacobsen"
"Alexander Hauge","Rasmussenhagen 1, 3263 Jensen"
"Prof. Morten Nilsen","Haugentunet 6, 2233 Engen"
"Hanna Christensen","Iversenbakken 38, 8007 Næss"
"Tove-Astrid Birkeland","Ruudtjernet 550, 0043 Aasen"
"Håvard Berntsen","Simonsenhavna 6, 5013 Marenodden"
"Ann Ødegård","Solheimstubben 3, 7282 Paulsen"
"Magne Ellingsen","Tveitringen 25D, 9404 Karlsen"
"Thomas Dahl","Solheimtunet 78, 9806 Johnsen"
"Kjell Andersen","Edvardsenvollen 2, 1300 Henriksen"
"Andrea Myhre","Sivertsenlia 1, 4182 Danielsen"
"Kari Bakken","Nilsenlyngen 77, 4803 Tangen"
"Maria Helland","Johnsenringen 923, 4866 Simonsen"
"Hanna Knudsen","Eriksenspranget 1B, 5156 Lailafjord"
"Kim Ali","Svendsenmyra 3B, 9511 Gundersen"
"Maria Arnesen","Sivertsenvika 28D, 2224 Ruud"
"Gro Haugland","Hauglandmyra 2, 3716 Mikkelsen"
"Silje-Anette Andersen","Gulbrandsenmoen 6, 5356 Emmaeid"
"Kim Hagen","Johannessenalléen 5E, 8959 Anitahelle"
"Petter Martinsen","Myklebustløkka 6, 4177 Marisund"
"Andrea Olsen","Nilsentjernet 16, 3737 Solberg"
"Cathrine Madsen","Thomassenspranget 8, 5329 Mikkelsen"
"Frode Pettersen-Lunde","Andreassenbråten 79, 8364 Monicaodden"
"Olav Eriksen","Gunderseneggen 6, 1792 Theastrøm"
"Anne Strand","Aasenplassen 2, 1943 Johanås"
"Julie Jensen","Jacobsenjordet 3, 4302 Knudsen"
"Øyvind Johansen","Jenssenrøa 66B, 7317 Gulbrandsen"
"Emma Nilsen","Alibråten 198, 8220 Evensen"
"Sigurd-Jonas Jenssen","Rønningtunet 190, 8194 Sanderhelle"
"Grete-Hilde Henriksen","Strandmarka 5, 5561 Einarøy"
"Andrea Pettersen","Brekkespranget 7, 8257 Benteøy"
"Thor Aasen","Ruudskrenten 2, 6704 Moe"
"Silje Rasmussen-Lund","Moeengen 74, 3531 Sofiesund"
"Sigrid Lunde-Helland","Abrahamsenplassen 7D, 0469 Jakobsen"
"Ingeborg-Kjersti Aasen","Aligropa 7, 9252 Trondeid"
"Marius Tangen","Solheimmarka 90B, 9128 Astridstrøm"
"Christian-Harald Lunde","Haugeroa 5, 7234 Johansen"
"Sander Lund","Halvorsenflata 1, 9495 Paulsen"
"Roger Solberg","Strømtoppen 2B, 8938 Nilssand"
"Håkon Haugland","Sandvikmyra 6, 6296 Kristoffermark"
"Andrea Sandvik","Knudsenbakken 9, 0766 Sebastianø"
"Trond Hansen","Kristiansenhøgda 4, 4259 Elisehavn"
"Henrik Evensen","Lundflata 304, 4041 Mortenøy"
"Kjell Tveit","Knutsenengen 05G, 8928 Maysand"
"Trond Hanssen","Berntsenstubben 9, 9713 Larsen"
"Trine Thomassen","Arnesentjernet 9F, 2019 Vidargrunn"
"Lene Hauge","Sørensenlunden 4, 3946 Stigfjord"
"Hanne-Siv Sørensen","Olsengrenda 707, 0400 Solheim"
"Randi Arnesen","Thomassenbråten 6, 4467 Kjerstihamn"
"Dr. Thomas Amundsen","Nygårdstykket 7E, 0412 Berntsen"
"Andreas Andresen","Berntsenbakken 84, 2088 Moe"
"Odd Helland","Gulbrandsenhøgda 24, 7866 Torbjørnborg"
"Thomas Ali","Larsengjerdet 979, 6070 Olavdal"
"Turid Haugland","Kristiansenløkka 8, 3281 Mathiashamn"
"Astrid Strøm","Simonsengropa 8, 3924 Hauge"
"Ida Simonsen","Vikroa 8, 0833 Emiliehavn"
"Silje-Monica Mathisen","Moentunet 2, 7412 Runegrunn"
"Elin-Lene Engen","Hanssenløkka 969, 8074 Aune"
"Kristin Johnsen","Haugenhagen 8, 6732 Moen"
"Marianne Evensen","Solheimtoppen 012, 9566 Åsevåg"
"Andreas Hauge","Johannessenholtet 3, 2391 Larsen"
"Petter Aasen","Bergespranget 2, 3027 Johannessen"
"Bente Aune","Mathisenmarka 29C, 5036 Kristinesand"
"Ellen-Elin Andersen","Lienroa 7, 7249 Martinsen"
"Marius Berntsen","Solbergmarka 9, 6980 Siriby"
"Einar Lie","Martinsengjerdet 97C, 8873 Oddvær"
"Else Arnesen-Kristiansen","Thomassenalléen 749, 9668 Myklebust"
"Dr. Knut Kristiansen","Bakkenkollen 3, 1243 Kimberg"
"Sigrid Andreassen","Lundspranget 65B, 0707 Bøe"
"Thor-Odd Johannessen","Solbergjordet 3B, 8596 Marenås"
"Andreas Nielsen","Karlsenvika 360, 2338 Maritfjord"
"Øyvind-Tore Andresen","Jørgensenengen 55, 7700 Kristofferhelle"
"Trond Aas","Bakkengata 7, 2626 Andreassen"
"Trine Kristiansen","Auneflata 9, 0035 Sofiegrunn"
"Prof. Kjetil Hansen","Bergestubben 53A, 9145 Joakimsand"
"Kristoffer-Trond Danielsen","Jensensvingen 64, 0440 Janneås"
"Helge-Mathias Fredriksen","Nielsenbråten 2, 0825 Halvorsen"
"Thea Isaksen","Eidestubben 04, 9534 Nielsen"
"Elisabeth Jakobsen","Aasbakken 8, 6822 Gulbrandsen"
"Bjørn-Jon Haugen","Johnsenberget 2, 2253 Espenstrøm"
"Andreas Sørensen","Sandvikekra 9, 0899 Eide"
"Simen Johannessen","Solheimholtet 81D, 9515 Nielsen"
"Siv-Linda Abrahamsen","Hellandåsen 200, 6930 Tobiasfjord"
"Gunn Amundsen","Moenplassen 2C, 0212 Brekke"
"Tore Mathisen","Solbergstykket 17D, 9373 Brekke"
"Tom Nguyen","Gulbrandsenstykket 7, 3500 Emmabø"
"Johannes Jacobsen","Bakkelyngen 17, 4257 Ruthfoss"
"Sofie Johannessen-Antonsen","Abrahamsenroa 5C, 4253 Birkeland"
"Adrian Jensen","Johannessengrenda 3F, 7465 Strøm"
"John Abrahamsen","Myklebuståsen 92F, 2501 Aas"
"Andreas-Geir Haug","Myhrefaret 21, 6009 Ritaås"
"Marianne Evensen","Ahmedspranget 24, 3191 Torillnes"
"Simen-Andreas Jørgensen","Arnesenstranda 52, 4211 Andreassen"
"Heidi Christensen","Sætherholtet 1, 7767 Johnsen"
"Sondre-Harald Sæther","Lienalléen 7, 9795 Henrikvær"
"Ellen Moen","Bøelunden 2A, 0623 Mariastad"
"Reidun-Camilla Hauge","Fredrikseneggen 9, 7968 Haugen"
"Martin Kristoffersen","Eideholtet 957, 3538 Elihavn"
"Kjersti Berntsen-Hanssen","Knudsentjernet 82, 4877 Haugland"
"Emil Moen","Holmstien 666, 9532 Danielsen"
"Anette Haugen","Nygårdstubben 5, 1410 Svendsen"
"Mette Henriksen","Gundersensvingen 71, 2329 Kristinefjell"
"Alexander-Kristoffer Paulsen","Abrahamsengata 3A, 9082 Elivær"
"Laila Berge","Madsenlia 7D, 3736 Paulsen"
"Karl Strand","Sætherstranda 90, 0634 Mathiasberg"
"Fredrik-Thomas Gulbrandsen","Nygårdekra 6, 5740 Kristofferhamn"
"Pål Berge","Aunestykket 57A, 8410 Dahl"
"Henrik Lunde","Aliholtet 5, 3000 Knudsen"
"Dr. Trond Aune","Andresenlunden 265, 4649 Bentevær"
"Tor Johansen","Sørensenrøa 9A, 1006 Olsen"
"Anette Jacobsen","Haugekollen 7E, 7358 Dahl"
"Nils-Henrik Holm","Jakobsengata 59E, 1523 Haug"
"Laila Olsen","Amundsenlunden 42H, 7553 Mathisen"
"Astrid Olsen","Arnesenåsen 800, 5366 Eriksen"
"Kjersti Andersen","Sætherhagen 4B, 0345 Karlsen"
"Nils Aune","Simonsenstubben 4A, 7546 Thorby"
"Daniel-Petter Kristensen","Jørgensenskrenten 6, 3347 Stigøy"
"Andrea Sandvik","Tangenlia 8, 4374 Toreborg"
"Grethe-Elin Haug","Hauglandstykket 1B, 2767 Elinstrand"
"Sigrid-Mona Rønning","Strømsvingen 5, 6625 Solheim"
"Anette Madsen","Ellingsenhavna 6, 1183 Emiliehavn"
"Emilie Larsen","Eliassenstien 36C, 7619 Andersnes"
"Martin Hanssen","Hansenstykket 7A, 8770 Emmaøy"
"Grethe-Trine Bakken","Abrahamseneggen 7, 3222 Lenesjøen"
"Finn Thorsen","Sivertsentjernet 06, 4309 Irenehelle"
"Ellen Strand","Svendsengrenda 01, 7284 Simonsen"
"Erling Eide","Danielsenbråten 1, 3990 Abrahamsen"
"Tommy-Asbjørn Hauge","Abrahamsenjordet 8, 7798 Sørensen"
"Trine Lien","Jenssenmarka 48, 2006 Madsen"
"Hege Nilsen-Larsen","Lieholtet 3C, 0537 Linnhelle"
"Anette Næss","Berntsenløkka 573, 6047 Magnusstad"
"Kari Johannessen","Eliassenfaret 4, 6151 Madsen"
"Kari-Berit Dahl","Isaksenspranget 6C, 9685 Robertmark"
"Sondre Jenssen","Johannessenhagen 08, 8813 Janvik"
"Anna-Torill Fredriksen","Sivertsenhavna 082, 5663 Gunnøy"
"Erling-Leif Strand","Nguyenflata 2D, 8713 Lund"
"Bjørg Jensen","Arnesenmoen 1, 6846 Sofiehamn"
"Astrid Johannessen","Bakkekroken 6, 1751 Haugland"
"Prof. Per Pettersen","Jakobsenlyngen 2, 3177 Anderssand"
"Ruth Strand-Ahmed","Martinsenløkka 92F, 8650 Helenevik"
"Anette-Kirsten Jørgensen","Thomassensvingen 6, 7371 Steinarstrand"
"Vilde Sivertsen","Aunehaugen 96, 3176 Kristoffersen"
"Julie Berntsen","Arnesentunet 6, 1143 Jacobsen"
"Grethe Nygård","Birkelandmarka 6, 0071 Hansen"
"Steinar Larsen","Jacobsenlia 3A, 3551 Haug"
"Randi Arnesen-Rasmussen","Svendsenengen 3, 8399 Thomassen"
"Gerd Hauge","Bergvollen 188, 9124 Lisevik"
"Eva Johnsen","Amundsenstien 26A, 0276 Haugen"
"Pål Simonsen","Andresenhagen 4, 1942 Camillaby"
"Daniel-Egil Isaksen","Haugentunet 3, 9590 Næss"
"Anette-Mona Edvardsen","Kristensenengen 3, 1709 Kristofferstrand"
"John Gulbrandsen","Antonsenkollen 633, 1018 Lien"
"Øyvind Berg","Bergeekra 83, 8688 Ali"
"Prof. Håkon Madsen","Bergeberget 142, 5590 Lunde"
"Tobias Birkeland","Ellingsenstykket 7, 1899 Eliassen"
"Vegard Lie","Sørensenrøa 3, 6343 Christensen"
"Einar-Asbjørn Gundersen","Nygårdtunet 65, 1478 Simonsen"
"Sofie Lien","Brekkegata 86B, 3538 Tangen"
"Hanne Berntsen","Svendsenjordet 5, 3084 Nielsen"
"May-Nina Solheim","Bakketoppen 70, 0770 Strand"
"Anita Arnesen","Birkelandengen 389, 1939 Pedersen"
"Sissel Birkeland","Lundflata 3D, 7272 Aas"
"Dr. Sigurd Aasen","Engenhavna 53, 4532 Haralddal"
"Sondre Bakke","Moeflata 2, 1081 Martinsen"
"Rune Hauge-Solheim","Ellingsensvingen 99D, 8743 Andreasbø"
"Gerd Tangen","Hauglunden 2, 7959 Eide"
"Egil Madsen","Hellandskrenten 12, 8608 Beritsand"
"Cathrine Svendsen","Andersenekra 7A, 0943 Brekke"
"Gerd Strøm-Andresen","Abrahamsenskogen 3, 0925 Karolinesund"
"Markus-Vidar Jenssen","Vikekra 3C, 0208 Ellingsen"
"Anita Bakke","Strandjordet 70, 4104 Evensen"
"Siri Christensen","Martinsenhavna 37, 4989 Næss"
"Fredrik Andersen-Rasmussen","Moenkollen 4, 0810 Hegestrand"
"Karl Ellingsen","Rasmussenvollen 77, 9743 Frankdal"
"Maria Ruud-Johansen","Aunegata 4, 2778 Åseby"
"Eivind Rønning","Nielsenstubben 90, 9252 Isaksen"
"Tore Jørgensen","Andersenhaugen 87, 3786 Emiliesand"
"Sara Henriksen","Tangenbakken 6, 8612 Hansen"
"Nils Hanssen","Moekroken 1, 6916 Karolineby"
"Kjetil Iversen-Berge","Evensenløkka 2, 9571 Torby"
"Anita Edvardsen","Moetoppen 15, 9702 Kristianås"
"Karoline Pettersen-Brekke","Johannessenhaugen 772, 5814 Helland"
"Ivar Eliassen","Andresenvollen 93, 2837 Lindaeid"
"Erik Næss","Kristoffersenfaret 8, 1474 Olsen"
"Liv-Ingeborg Johansen","Gundersenstykket 728, 5098 Ruud"
"Prof. Stian Ellingsen","Pedersenflata 6E, 9763 Haugland"
"Jonas-Adrian Andersen","Engenskrenten 38E, 9182 Dahl"
"Mari Lien","Jenssenstranda 4, 1841 Sivertsen"
"Roy Jakobsen","Jørgensenløkka 8, 3928 Kennethbø"
"Monica-Berit Andreassen","Lienrøa 127, 1305 Olehavn"
"Anita Hansen","Sivertsenfaret 70D, 8495 Sivertsen"
"Petter Næss-Iversen","Nielsenstien 674, 2007 Berntsen"
"Sigurd Brekke","Ruudtjernet 89, 0987 Sandvik"
"Dr. Jon Abrahamsen","Eriksentoppen 3, 0978 Johnfjord"
"Mona Antonsen","Hanssenskrenten 05, 9527 Birkeland"
"Torill Iversen","Ellingsensvingen 796, 1699 Helenesand"
"Siri-Mari Bakken","Kristensenlunden 1, 4321 Trineeid"
"Karen Haug-Holm","Alistykket 16B, 6458 Geirås"
"Alf Jenssen","Næssfaret 7, 7430 Helland"
"Gunn Lund","Jørgensentoppen 944, 2854 Torbjørnstad"
"Anita Karlsen-Tveit","Hellandkroken 6, 7381 Frankborg"
"Irene Tangen","Ødegårdskrenten 8, 0240 Svendsen"
"Marte Svendsen-Haugen","Halvorsenstranda 3, 3439 Geirsjøen"
"Randi Engen","Edvardsenåsen 9, 6879 Markusby"
"Nora Myklebust","Bergeplassen 1, 2231 Benteborg"
"Sander Berg","Moenmarka 8, 7490 Mathisen"
"Helge Nygård","Alimyra 40B, 8143 Martinås"
"Maria-Elisabeth Lund","Solbergstien 7, 3322 Tonesand"
"Hans Nygård","Johannessenplassen 6, 9591 Randifjell"
"Tonje Johnsen","Hauglandflata 791, 3026 Arnesen"
"Anita Kristoffersen","Fredriksenekra 9, 9028 Sivhamn"
"Sindre Edvardsen","Aasstykket 6, 8471 Andersberg"
"Ingeborg Pettersen","Sivertsenlunden 37, 6890 Dahl"
"Per Bakke","Andersenbakken 2, 4378 Gundersen"
"Christian Mathisen","Andresenjordet 4, 4789 Strøm"
"Helge Paulsen","Karlsenmoen 4, 3018 Sarastad"
"Vilde Brekke","Jenssenroa 1, 1939 Jacobsen"
"Martin Næss","Næsslyngen 8, 5162 Tobiasmark"
"Magne Andreassen","Rasmussenplassen 4, 1047 Haugland"
"Magnus-Trond Brekke","Moeeggen 65A, 7244 Mettehamn"
"Anita Rasmussen","Ellingsenbråten 7, 4715 Nguyen"
"Maria Brekke","Rasmussenfaret 8, 2522 Ellingsen"
"Cathrine Bakken","Eriksenplassen 14, 6372 Martinsen"
"Dr. Håkon Johnsen","Danielsenberget 5, 3211 Emiliehamn"
"Frode Andresen","Ahmedtoppen 691, 4344 Sivø"
"Øyvind Mathisen","Sandvikberget 7, 6417 Berge"
"Leif Lund","Moenbråten 19, 9333 Sanderdal"
"Håkon Aasen","Hanssenalléen 6, 7944 Kimgrunn"
"Hanne Sandvik","Tangenlunden 70, 0239 Mikkelsen"
"Janne-Trine Edvardsen","Hanssentjernet 87, 0640 Moe"
"Anita Svendsen","Svendsensvingen 93A, 9965 Asbjørnhelle"
"Vilde Aasen","Andersenhavna 7, 2586 Turidsand"
"Mari Lien","Tveitberget 1, 6781 Danielsen"
"Eivind Johansen","Sætherstranda 98, 7194 Jannesand"
"Synnøve Gulbrandsen","Mikkelsenskogen 84C, 0738 Henrikø"
"Asbjørn Dahl","Aasenbakken 1, 9022 Kåreøy"
"Sara Lunde","Dahlkollen 8A, 0983 Ahmed"
"Turid Olsen","Sandvikhagen 3, 5222 Johannessen"
"Solveig-Kirsten Moen","Fredriksenmyra 62, 6095 Mariegrunn"
"Liv Evensen","Eriksenengen 1A, 2174 Jakobsen"
"Anita Tangen","Ellingseneggen 2A, 8080 Hauge"
"Asbjørn Birkeland","Eliassenroa 3, 2107 Holm"
"May Hauge","Kristoffersenløkka 5B, 6113 Sanderbø"
"Sebastian Dahl","Nguyentoppen 08, 3868 Sveinvær"
"Emma-Bjørg Myhre","Lundroa 91B, 2447 Theavær"
"Malin Hauge","Karlsenekra 006, 2956 Simonsen"
"Jens-Arild Lien","Ødegårdfaret 016, 2224 Magnusnes"
"Åse Engen","Thomassenflata 32, 3851 Torilldal"
"Per Dahl","Edvardseneggen 387, 1209 Engen"
"Henrik Jørgensen","Henriksenåsen 2, 9890 Hildeodden"
"Anita-Ellen Berg","Eidelyngen 44, 3126 Sigurdø"
"Åse Haugland","Olsenplassen 6, 5909 Hegeø"
"Grete Ruud","Hanssengrenda 2, 4412 Theastad"
"Prof. Olav Holm","Sivertsensvingen 4, 6816 Tovemark"
"Solveig Hagen","Haugenflata 3B, 4305 Hagen"
"Camilla Christensen","Johannessenskrenten 9, 4691 Wenchedal"
"Emil-Daniel Rønning","Lundvika 8, 9929 Anettevær"
"Andrea Vik","Knutsenvollen 7E, 5666 Jensen"
"Turid-Siv Sørensen","Pettersenkroken 44, 7189 Torillvik"
"Frank Eriksen","Moeringen 7, 0755 Erikhavn"
"Anita-Marte Gundersen","Liegjerdet 7, 7994 Tommyø"
"Wenche Lunde","Sivertsenstranda 731, 8032 Astridhavn"
"Karin-Ann Kristoffersen","Pedersengjerdet 21, 9124 Thorsen"
"Roger Nguyen","Madsenlunden 3, 2009 Jensen"
"Sindre Eriksen-Lunde","Henriksenberget 067, 1028 Sveindal"
"Grete Danielsen","Birkelandflata 8B, 4665 Hansen"
"Sebastian Berntsen-Brekke","Hagengjerdet 33, 1187 Jenssen"
"Roar-Roy Aas","Simonsenvika 7, 3757 Torbjørnvær"
"Johannes Mathisen","Bakkehaugen 6, 4134 Svendsen"
"Dr. Jan Aas","Gulbrandsenhaugen 18, 9113 Martinsen"
"Ann Bakken","Evensenstranda 6, 1209 Maritås"
"Stein Ruud","Amundsenbråten 9, 0982 Ruthnes"
"Kjell Aune","Abrahamsenstranda 3, 9200 Ruud"
"Øystein Andersen-Gundersen","Tveitstranda 5, 4792 Sivvik"
"Robert Ellingsen","Mikkelsenhagen 4, 5070 Sivertsen"
"Henrik-Emil Aas","Bergstykket 82, 4962 Andersen"
"Finn Hansen","Haugenringen 82C, 6880 Brekke"
"Inger Andreassen","Moenvollen 8, 0248 Haugland"
"Julie Evensen","Simonsenroa 7, 9744 Nygård"
"Sebastian Aas","Sæthergata 4, 4404 Mikkelsen"
"Ann Brekke","Nielseneggen 44E, 8844 Thomassen"
"Lene Moe","Lundeskogen 14D, 8364 Kristianøy"
"Ingrid Pedersen","Lienplassen 9A, 8082 Stigvik"
"Anne-Bente Danielsen","Ahmedskrenten 07, 3904 Sanderhavn"
"Sara-Emilie Rønning","Jakobsenjordet 4, 4910 Frodeby"
"Gunnar Antonsen","Danielseneggen 64, 0788 Sigurdhamn"
"Jørgen Moe","Lundlia 5, 9583 Magnusstad"
"Roar-Eirik Christensen","Haugeplassen 6, 8536 Lund"
"Dr. Hans Birkeland","Isaksengropa 7E, 1250 Einarnes"
"Heidi-Linda Ruud","Henriksenhagen 9C, 7453 Toreeid"
"Ann Engen","Eliassentunet 31D, 4324 Martinesjøen"
"Prof. Odd Sandvik","Tangenmyra 2, 4405 Janstad"
"Elise-Elisabeth Kristiansen","Henriksenkroken 3C, 2044 Bøe"
"Rune Berg","Gundersenlyngen 948, 9957 Sverreås"
"Hege Hagen","Kristoffersenhøgda 58, 5872 Ivarstrand"
"Frode-Alf Bøe","Kristiansengata 9, 4869 Holm"
"Jonas Myklebust","Moeåsen 5, 1058 Danielstrøm"
"Frode Halvorsen","Brekkemarka 62, 8237 Alfby"
"Roger Karlsen","Sørensenberget 530, 2313 Gulbrandsen"
"Bjørn Martinsen-Jenssen","Aaslia 480, 4762 Åsedal"
"Ann Hagen","Engentunet 65, 1461 Britthamn"
"Anders Berg-Tangen","Knudsenkollen 4, 8931 Audfjell"
"Linn Strand-Johannessen","Strandvollen 2, 0509 Andresen"
"Berit Lunde","Hanssengrenda 9, 0476 Sandernes"
"Ann Næss","Kristiansenstien 4, 0309 Gundersen"
"Magnus Helland","Nguyenløkka 57, 3472 Øyvindfjord"
"Pål-Morten Eliassen","Jenssenberget 426, 5815 Bøe"
"Jonas-Jonas Ali","Mathisenalléen 9, 7117 Vegardfjell"
"Siri Solberg","Fredriksentunet 6C, 0315 Reidunbø"
"Jorunn Bakke","Knutsenhavna 96, 0583 Olsen"
"Ann Hagen-Nilsen","Ruudtunet 244, 9493 Birkeland"
"John Nygård","Sæthertoppen 08C, 4017 Johannessen"
"Prof. Anders Paulsen","Hellandbakken 42, 6364 Markusfjell"
"Emil Andersen","Kristensenspranget 6G, 8829 Ruud"
"Tove Paulsen","Abrahamsenhagen 112, 9331 Karlgrunn"
"Prof. Roar Knudsen","Johannessenringen 9B, 7737 Kristinegrunn"
"Sara Lund","Simonsenstien 40, 6364 Kimsund"
"Prof. Roger Berg","Madsengropa 7, 6504 Hagen"
"Line Ødegård-Christensen","Halvorsenstranda 41, 7156 Larssund"
"Svein Johannessen","Haugenstranda 3B, 3422 Jakobsen"
"Ann Jørgensen","Tveitalléen 1, 2638 Mathisen"
"Britt Danielsen","Danielsenmyra 409, 4818 Simenhelle"
"Turid Nielsen","Berntsenstubben 4, 6860 Nygård"
"Nina Nielsen","Iversengrenda 34F, 8976 Tangen"
"Kåre Knudsen-Hauge","Knutsenstubben 29B, 0001 Beritnes"
"Lise Brekke","Vikeggen 89, 3687 Amundsen"
"Asbjørn Johannessen","Johansenroa 6, 7853 Øyvindstad"
"Thea Rasmussen","Jenssentjernet 5, 8091 Oledal"
"Rolf Fredriksen","Solbergflata 6, 9823 Myklebust"
"Tonje Johansen","Andersentoppen 6, 6557 Emilmark"
"Ann Karlsen","Rønningjordet 6, 7108 Toneberg"
"Stine-Kirsten Mikkelsen","Hagenstubben 1, 9265 Finnberg"
"Sebastian-Asbjørn Nguyen","Strømhavna 962, 4634 Fredriksen"
"Bente Solheim","Nygårdrøa 9, 5849 Linnhavn"
"Jonas-Sebastian Strøm","Lundespranget 5, 7804 Joakimstrøm"
"Anette Madsen","Andersenberget 63, 1628 Sveinhavn"
"Anita Solberg","Andersenmoen 2F, 5887 Evaby"
"Lise-Anette Isaksen","Solbergbråten 2, 9382 Rønning"
"Sondre Eide-Strøm","Svendsenlunden 90, 6181 Annenes"
"Elisabeth-Tove Moe","Lunderoa 9, 5928 Vegardhelle"
"Ann Kristensen","Christensentoppen 75F, 9525 Adrianbø"
"Sofie Berntsen","Gundersenhagen 8F, 3228 Næss"
"Jonas-Øystein Christensen","Bøebakken 1, 0436 Bakken"
"Leif Johannessen","Viksvingen 08A, 0968 Ivarfoss"
"Linda Dahl","Bergfaret 48G, 2346 Jørgensen"
"Anders Karlsen","Strandholtet 4, 2784 Hauge"
"Sebastian Ahmed","Alihaugen 79H, 1102 Beritby"
"Stine Lund-Paulsen","Nielsensvingen 8, 3969 Karlsen"
"Lene Berg","Eliassenstien 5, 1728 Ruud"
"Anette Dahl","Andreassenbakken 36C, 4671 Myhre"
"Ann Lie","Thomassenekra 6, 4404 Berg"
"Vilde Strøm","Knutsenroa 456, 1568 Moen"
"Mathias-Sindre Lunde","Sætherhaugen 23, 3391 Lie"
"Johan Paulsen-Haugen","Andersenmarka 74A, 4737 Thorsen"
"Berit-Sofie Nguyen","Aligata 04, 2061 Bøe"
"Prof. Jon Gundersen","Paulsenstykket 42, 0740 Haug"
"Rolf Solheim-Lie","Knutsenkollen 1G, 8440 Robertberg"
"Petter-Finn Ali","Hanssenstubben 5, 3753 Tveit"
"Hilde Evensen","Pedersenfaret 49, 7695 Amundsen"
"Sindre Moe-Larsen","Bakkenlunden 6, 1630 Mariushelle"
"Ann Mikkelsen","Hagengrenda 2E, 1772 Evensen"
"Ivar Ellingsen","Johansenrøa 250, 8885 Sarafoss"
"Bjørg Dahl","Lienekra 31E, 4848 Jenssen"
"Tor Haugen","Johannessenstubben 42C, 5262 Næss"
"Knut Knudsen","Nilsenplassen 3, 5330 Eide"
"Cecilie Gundersen","Bergeengen 98C, 0376 Berntsen"
"Morten Aas-Berge","Antonsentjernet 2, 4608 Mortenhavn"
"Marit-May Ødegård","Moenlyngen 40, 0715 Martinhelle"
"Tom Hansen","Nilsenfaret 58, 2060 Kristiansen"
