"Aage Bach","Skindergade 267
5243 Vestbjerg"
"Fru Jasmin Knudsen","Bredelandsvej 57
4972 Virum"
"Tine Overgaard","Pakhus Allé 4
6272 Ribe"
"Prof. Johnnie Holm","Klingseygade 7
7309 Højbjerg"
"Paw Knudsen","Kornerupstræde 83
8840 Kirke Hyllinge"
"Michelle Overgaard","Rønnegade 58
8384 Taastrup"
"Dr. Ragnar Winther","Jorisgade 7
5164 Hasle"
"Andrea Jepsen","Sakskøbing Allé 9
1331 Ålbæk"
"Timmy Johnsen","Keldsøstræde 8
4073 Vejen"
"Frede Hansen","Baltikastræde 928
9114 Nexø"
"Jannie Jepsen","Ruggade 746
6517 Bolderslev"
"Univ.Prof. Naja Frandsen","Engblommegade 8
9729 Dannemare"
"Holger Iversen","Lyneborg Allé 327
2024 Tistrup"
"Univ.Prof. Bøje Karlsen","Torvegade 464
6762 Sakskøbing"
"Dorte Jakobsen","Lystrupvej 4
6714 Nørager"
"Abelone Johnsen","Hysken Allé 431
5133 Nivå"
"Johnny Lund","Antoinettegade 3
7965 Lemvig"
"Andrea Lund","Kyringegade 4
2460 Langå"
"Herbert Rasmussen","Wagnersvej 6
4060 Nørreballe"
"Jesper Østergaard","Siciliens Allé 467
7571 Melby"
"Caroline Skov-Dahl","Langeliniegade 412
1139 Askeby"
"Nanna Mogensen-Lind","Præstemarksstræde 870
3046 Snekkersten"
"Marius Schou","Krusågade 99
3999 Stenderup"
"Curt Jepsen","Høstgildegade 82
7241 Karise"
"Prof. Gertrud Nilsson","Platangade 278
2050 Kirke Hyllinge"
"Dr. Simon Iversen","Flidsagerstræde 491
7597 Samsø"
"Peder Bruun","Lodistræde 664
3580 Ulfborg"
"Andrea Mathiesen-Henriksen","Rødkildestræde 720
8592 Vestervig"
"Winni Petersen","Bøhmensvej 497
2995 Gistrup"
"Natasha Lassen","Bakkegade 6
8552 Fuglebjerg"
"Margit Olesen-Sørensen","Rumæniens Allé 3
3917 Jerslev"
"Doris Johnsen","Bramslykkevej 398
2894 Toftlund"
"Jean Nilsson","Stefansvej 498
9293 Broager"
"Iver Skov-Mikkelsen","Blekingevej 700
4475 Brovst"
"Hr Kim Olsen","Enghavestræde 5
6766 Brovst"
"Fru Christina Thygesen","Vestre Kirkegårdsgade 377
9560 Vildbjerg"
"Daniella Knudsen-Frederiksen","Ahlmannsvej 157
2615 Esbjerg"
"Andreas Christoffersen","Heklas Allé 407
6919 Kibæk"
"Maria Jessen","Gjorslev Allé 45
2044 Føllenslev"
"Univ.Prof. Daniella Krogh","Nordre Digegade 4
5538 Kongens Lyngby"
"Christoffer Friis-Iversen","Hildursgade 364
6367 Lintrup"
"Kjeld Thorsen","Oldfuxvej 84
7516 Esbjerg"
"Dr. Gertrud Thygesen","Nygade 52
6813 Tranekær"
"Morten Vestergaard","Houmannsgade 57
3745 Hasle"
"Øyvind Christiansen","Harboøregade 473
1286 Gandrup"
"Henry Bertelsen","Greis Allé 241
5977 Henne"
"Alma Hermansen","Jansvej 832
1238 Bjerringbro"
"Andreas Jepsen","Fremadsgade 16
9842 Maribo"
"Jonathan Mortensen","Egilsvej 756
4555 Tjæreborg"
"Aage Schultz","Kongemarksgade 67
3244 Kalundborg"
"Jytte Iversen","Zinnsvej 39
3744 Vejby"
"Robin Hermansen","Hellelidengade 788
8320 Herlev"
"Fru Benedicte Johansen","Kanslervej 15
8216 Tranbjerg J"
"Nick Lauritsen","Teglholmsstræde 4
2126 Idestrup"
"Rita Lauritsen","Provstegade 885
9822 Lejre"
"Dr. Ole Henriksen","Højstrupgade 81
5509 Sporup"
"Conny Mathiesen","Breslau Allé 548
5989 Ejby"
"Andreas Mikkelsen","Dieselgade 50
8518 Ikast"
"Lærke Simonsen-Krogh","Alperosestræde 269
5410 Læsø"
"Ronni Lauritsen","Klingseygade 4
1805 Køge"
"Prof. Nora Andresen","Basnæs Allé 1
4356 Vejle Øst"
"Univ.Prof. Jytte Jeppesen","Jægervej 72
2411 Hillerød"
"Dr. Bruno Henriksen","Sonnerupvej 6
1863 Helsingør"
"Gert Berg","Bragesvej 609
3957 Rødkærsbro"
"Steve Bech","Vallekildevej 486
5268 Vanløse"
"Nana Ravn","Laplandsgade 36
2500 Bjert"
"Carina Winther-Mikkelsen","Sorøstræde 709
7747 Ålbæk"
"André Brandt","Skensved Allé 2
6622 Ruds Vedby"
"Nora Jacobsen","Trelleborgstræde 6
4668 Vodskov"
"Agnes Danielsen","Kompagnistræde 484
7934 Rødkærsbro"
"Preben Kristensen","Kildebrøndegade 330
8134 Skanderborg"
"Nils Eriksen","Rebslagervej 5
7272 Ruds Vedby"
"Julius Overgaard-Skov","Vesterhavsgade 2
8032 Gudbjerg"
"Kenn Ravn","Blågårdsstræde 767
6609 Frøstrup"
"Richardt Kristiansen","Borgmester Jensensstræde 93
6966 Vemb"
"Prof. Else Nilsson","Remisevej 25
5056 Holme-Olstrup"
"Univ.Prof. Øivind Jørgensen","Vognborggade 28
4307 Vemb"
"André Henriksen","Uralgade 3
4732 Skærbæk"
"Prof. Richard Thomsen","Risbyholmgade 20
4377 Skævinge"
"Adam Christiansen","Alstedstræde 755
9517 Veksø Sjælland"
"Britta Christoffersen-Knudsen","Hemsedalsvej 921
4225 Vesterborg"
"Univ.Prof. Paw Kristensen","Nygårds Allé 68
1552 Sydals"
"Elin Kjeldsen","Venøstræde 38
5687 Stenstrup"
"Prof. Yngve Koch","Edel Sauntesgade 5
2169 Gadbjerg"
"Christopher Mathiasen-Danielsen","Nordbanegade 437
4470 Anholt"
"Dr. Stephan Steffensen","Abrikosvej 774
2336 Gislev"
"Prof. Tage Kjær","Svanemøllegade 37
6594 Aalestrup"
"André Jepsen","Slangerupvej 6
1787 Aalborg"
"Henriette Bruun","Tybjergvej 75
4708 Millinge"
"Mette Jacobsen-Andresen","Brynhildestræde 38
3680 Jægerspris"
"Ester Henriksen","Nøddebovej 676
7490 Hvide Sande"
"Åge Jespersen-Lund","Lille Søndervoldstræde 27
1526 Esbjerg"
"Dina Christensen","Rentemestervej 45
6411 Højer"
"Otto Andersen","Serbiensvej 521
6253 Sabro"
"Prof. Matthias Eriksen","Sæbyholmsvej 756
6600 Søborg"
"Katja Andersen","Koldingvej 42
7890 Køge"
"Prof. Else Frandsen","Nivågade 5
2924 Spøttrup"
"André Kristoffersen","Glommensgade 7
5016 Vordingborg"
"Inga Henriksen","Søndre Fasanvej 332
4078 Fakse"
"Univ.Prof. Steen Lund","Odins Tværgade 9
1455 Gram"
"Dr. Bent Mathiesen","Guldstjernegade 845
5353 Gadbjerg"
"Naja Andersen-Andreasen","Ægirsgade 126
8457 Skovlunde"
"Univ.Prof. Laura Jørgensen","Trondhjemsstræde 755
5730 Ålbæk"
"Dr. Helen Dam","Larslejsgade 92
1274 Lemming"
"Emily Christoffersen","Bjergstedvej 737
3011 Bagsværd"
"Ane Søndergaard","Guldbergsvej 86
7105 Hagersten"
"Ellen Dam-Paulsen","Pilegade 8
3218 Harlev"
"André Overgaard","Grønagervej 2
1548 Vandel"
"Signe Bruun","Markstræde 270
4047 Kvistgård"
"Hr Ronnie Thorsen","Knivholtgade 63
5574 Svebølle"
"Dr. Carl Bech","Valbygårdsvej 7
3768 Beder"
"Tobias Winther","Helikonsvej 5
4005 Hjerm"
"Aage Iversen","Küchlersvej 9
1243 Herlufmagle"
"Hr Mogens Mortensen","Heimdalsgade 74
1465 Bedsted Thy"
"Fru Heidi Jespersen","Sassnitzgade 613
2698 Ørsted"
"Frede Thomsen","Armeniensvej 2
6077 Vemb"
"Sabine Mikkelsen","Højmosegade 5
3380 Måløv"
"André Simonsen","Bryggerivej 53
9703 Nykøbing Sj"
"Jeppe Frandsen","Ferring Allé 70
6550 Sandved"
"Hr Brian Thygesen","Cox Orangestræde 471
1690 Ejby"
"Univ.Prof. Anette Kristoffersen","Sofievej 86
1746 Varde"
"Hr Øvli Mathiasen","Cumberlandsstræde 90
9150 Tommerup"
"Sys Møller","Badensgade 602
4771 Trustrup"
"Christine Schultz","Hagestedvej 640
7283 Holte"
"Carl Jeppesen","Våningsgade 846
4326 Havdrup"
"Tom Lind","Valby Kirkevej 537
4081 Søllested"
"Hr Thomas Lund","Lybækvej 49
6547 Hjallerup"
"Ane Hansen","Haderslevstræde 9
1022 Aabybro"
"Andreas Mogensen","Rovsingsstræde 4
4979 Føllenslev"
"Liva Kjær","Stadil Allé 76
5277 Viby Sjælland"
"Øvli Laursen","Italiensgade 608
2390 Lystrup"
"Claus Pedersen","Brolægger Allé 8
5008 Bolderslev"
"Maya Møller-Jensen","Dag Hammarskjölds Allé 749
5207 Ugerløse"
"Daniel Kjær-Poulsen","Strandlodsstræde 98
5181 Brønshøj"
"Bente Eriksen","Dagøgade 864
1355 Stenstrup"
"Prof. Ørni Andersen","Bustrupgade 53
9022 Gram"
"Yrsa Eriksen-Paulsen","Burmeisters Allé 733
6332 Rynkeby"
"Ane Jakobsen-Simonsen","Meklenborggade 2
1956 Højslev"
"Prof. Åge Jensen","Mansasvej 53
5338 Havndal"
"Allan Mogensen","Bergensvej 13
9065 Stenløse"
"Tejs Schultz","Lindenborggade 1
1602 Haarby"
"Britt Søndergaard-Ravn","Borgergade 28
9315 Herfølge"
"Kasper Nissen-Kristiansen","Indiagade 60
6678 Bælum"
"Univ.Prof. Marianne Dahl","Spartagade 295
9753 Dianalund"
"Lucas Poulsen-Nørgaard","Balders Allé 8
5830 Tylstrup"
"Dr. Troels Holst","Lynæsvej 32
3701 Ølgod"
"Dagmar Dam","Dybbølsvej 25
1363 Hobro"
"Ane Kristiansen","Florensgade 1
4876 Hørve"
"Dr. Ida Andreasen","Krusemyntegade 5
9340 Nysted"
"Viola Hermansen","Armeniensvej 339
7926 Støvring"
"Ellen Møller-Østergaard","Lundbyesgade 184
6745 Christiansfeld"
"Nete Andresen","Blankastræde 7
2319 Ranum"
"Ragna Jensen","Panumsgade 2
8104 Gørding"
"Dr. Ronnie Rasmussen","Nysøvej 96
9222 Hvalsø"
"Frode Schmidt","Borrebygade 1
2094 Stenlille"
"André Christensen","Ny Vestervej 89
2169 Kalvehave"
"Bettina Gregersen-Holst","Støvnæsstræde 3
5752 Trustrup"
"Ane Larsen","Dag Hammarskjöldsstræde 6
1739 Hvide Sande"
"Ken Sørensen","Peter Ipsens Allé 168
5070 Asaa"
"Univ.Prof. Benedicte Bertelsen","Verasstræde 35
8741 Kirke Hyllinge"
"Øystein Iversen-Poulsen","Rymarksvej 19
1568 Bøvlingbjerg"
"Jimmy Jessen","Kretagade 3
2169 Vonge"
"Jasmin Iversen-Frandsen","Holmblads Allé 1
4245 Klemensker"
"Natasha Overgaard","Brynhildevej 376
9986 Idestrup"
"Gert Hansen-Paulsen","Vermlandsvej 82
3761 Dragør"
"Nina Hansen","P.D. Løvsgade 392
6958 Bylderup-Bov"
"Hr Christoffer Johansen","Bevtoftstræde 474
7194 Nørre Asmindrup"
"Anette Nielsen","Lille Farimags Allé 5
6789 Oksbøl"
"Adam Thorsen","Svenstrup Allé 145
1043 Toftlund"
"Laust Johnsen","Slagtehusvej 6
2044 Vesløs"
"Erna Møller-Petersen","Vasbygade 64
1524 Ørsted"
"Claus Winther","Hauservej 67
5780 Gistrup"
"Elias Andreasen-Dam","Gråbynkevej 998
8846 Gudhjem"
"Gustav Lind","Frimestervej 79
8886 Sønderborg"
"Marcus Bach","Støvnæsgade 33
2686 Virum"
"Sabine Karlsen-Jørgensen","Nokken Fornvej 6
8037 Ejstrupholm"
"Fru Yvonne Gregersen","Nygade 321
3988 Vejstrup"
"Anna Hansen","Frederiksgade 103
3230 Værløse"
"Verner Jespersen","Tulipan Allé 332
8878 Billum"
"Dr. Jasmin Brandt","Vestmannastræde 711
4880 Nørre Snede"
"Irma Dam","Lille Strandstræde 250
6394 Dronningmølle"
"Valdemar Overgaard","Hammelstrup Allé 63
9700 Svaneke"
"Sebastian Henriksen","Southamptongade 5
9316 Sporup"
"Carlo Knudsen","Silkevej 34
4756 Ørum Djurs"
"Hjalte Toft-Karlsen","Store Strandvej 72
9487 Slangerup"
"Sille Kjeldsen","Enveloppe Allé 698
3750 Rask Mølle"
"Hr Jan Jeppesen","Hvidbjergvej 211
4111 Veksø Sjælland"
"Anna Jacobsen","Grønrisgade 29
2595 Vils"
"Steven Laursen-Olsen","Næsbyholmvej 954
6421 Gadbjerg"
"Josephine Mathiesen","Samsø Allé 7
6503 Klemensker"
"Olfert Jacobsen","Store Kongensgade 302
5309 Eskebjerg"
"Prof. Torben Frederiksen","Siciliensgade 1
1571 Gredstedbro"
"Ron Toft","Teglholms Allé 2
8155 Vejen"
"Karen Vestergaard","Sorrentogade 34
3787 Grenaa"
"Beth Christensen","Jægersborgstræde 9
8306 Haderup"
"Nana Lauridsen","Krügersgade 843
5251 Vejstrup"
"Sam Laursen-Kristiansen","Dybensgade 60
4203 Bælum"
"Anna Jespersen","Aggersvoldvej 326
5658 Erslev"
"Alexander Svendsen","Falkevej 15
7283 Rørvig"
"Ørni Karlsen","Løgstørstræde 831
5834 Holme-Olstrup"
"Birger Overgaard","Hjelms Allé 9
1345 Gjerlev"
"Lona Skov","Røddingvej 8
7856 Tim"
"Bobby Madsen","Knabstrupvej 901
9506 Uldum"
"Tove Bruun","Lynæsgade 34
7593 Gredstedbro"
"Helle Andersen-Laursen","Postholdervej 2
1361 Hellerup"
"Torben Dam","Ramsingsstræde 215
2210 Karrebæksminde"
"Inga Dam","Trondhjemsvej 111
5378 Kastrup"
"Anna Lauridsen","Fælledvej 319
5501 Augustenborg"
"Hr Alexander Clausen","Fladstjernestræde 5
3482 Vojens"
"Yngve Mogensen","Rosenvængets Allé 51
9554 Bjæverskov"
"Ursula Nissen","Nokken Forn Allé 21
5603 Sønder Stenderup"
"Univ.Prof. Natasha Knudsen","Torfastræde 1
7544 Bælum"
"Prof. Lone Jacobsen","Ledagergade 879
5993 Roskilde"
"Øjvind Gregersen","Strandagergade 6
7672 Læsø"
"Silje Mortensen","Stenkløver Allé 75
4543 Ørbæk"
"Benny Jørgensen","Søndervigvej 86
5748 Grenaa"
"Connie Toft-Nielsen","Englandsvej 73
2734 Billum"
"Anna Petersen","Amager Allé 101
7167 Mørkøv"
"Solveig Klausen","Østergårdsvej 688
2048 Ullerslev"
"Dr. Bertram Nilsson","Saxhøjvej 93
3816 Ullerslev"
"Prof. Nanni Lund","Reinettestræde 1
7068 Nykøbing M"
"Finn Hermansen","Hasselgade 8
1742 Rønnede"
"Richardt Christensen-Bruun","Abildgaardsgade 223
2080 Herfølge"
"Sussie Frederiksen-Andreasen","Rødtjørnevej 5
1623 Jerslev"
"Herdis Pedersen","Kroghsvej 54
5952 Melby"
"Gunhild Dahl-Mathiesen","Tomatvej 283
2946 Fårup"
"Alexander Simonsen","Møllegårdsgade 285
6394 Fårevejle"
"Anne Dahl","Flinterupstræde 263
8346 Gilleleje"
"Hr Gunner Gregersen","Bymosestræde 22
4134 Kolind"
"George Andersen","Enighedsvej 786
5355 Hellerup"
"Ane Kristiansen-Thomsen","Lodivej 789
3635 Føllenslev"
"Jim Johansen","Pæongade 587
1802 Samsø"
"Fru Berit Krogh","Gearhalsgade 24
3349 Løgstør"
"Sten Schou","Parnasvej 3
1411 Brabrand"
"Mads Bertelsen-Schou","Gislingegade 120
5457 Kalundborg"
"Prof. Aage Clausen","Næsbyholmgade 88
3557 Bandholm"
"Odette Thomsen","Vester Farimagsgade 822
3226 Bryrup"
"Annemette Eriksen","Webers Allé 1
6072 Ørnhøj"
"Janni Thygesen","Vestergårdsgade 19
2132 Middelfart"
"Yannick Jessen","Mutzuvej 76
7003 Fjenneslev"
"Univ.Prof. Kasper Holm","Rørsangerstræde 511
9062 Hårlev"
"Fru Odeline Rasmussen","Masnedøgade 38
7053 Mern"
"Arne Friis","Gerbrands Allé 271
5684 Stoholm"
"Univ.Prof. Jimmy Svendsen","Østergårdsstræde 25
8401 Fejø"
"Ørni Holst","Glückstadtsgade 9
2002 Ørum Djurs"
"Beth Johansen","Ebertsvej 587
2914 Nørre Nebel"
"Vivian Christensen","Skudehavnsvej 3
7087 Stenderup"
"Annemette Hermansen","Støbegodsgade 9
7550 Hasselager"
"Kasper Schou","Baltikagade 9
4539 Børkop"
"Dr. Peder Laursen","Gammeltoftsvej 3
4022 Henne"
"Aksel Clausen","Sporemagervej 84
5930 Vipperød"
"Ken Thorsen-Frandsen","Øresundsmotorenvej 241
6344 Errindlev"
"Louise Olsen","Gertsgade 31
2157 Væggerløse"
"Ida Jessen","Glumsøgade 795
7552 Herlev"
"Ludvig Lind","Kronprinsensgade 2
4392 Dannemare"
"Prof. Stina Jacobsen","Langøgade 18
7239 Vestbjerg"
"Jørgen Frederiksen","Degnemosevej 4
4924 Jerslev"
"Annemette Lassen","Emdrup Allé 436
2516 Nordborg"
"Michelle Mortensen","Bjelkesstræde 724
9829 Gjern"
"Anders Christoffersen-Clausen","Kærsangervej 224
3099 Hasselager"
"Sebastian Andersen","Helsingborgvej 4
5089 Næstved"
"Uffe Schou","Fanøstræde 348
3897 Hagersten"
"Gunnar Mikkelsen","Hammerichsvej 65
2314 Hjørring"
"Maiken Jørgensen","Beethovensvej 832
8059 Ebberup"
"Zara Nørgaard","Spiræavej 3
9422 Nimtofte"
"Prof. Winnie Andersen","Lærkevej 76
2415 Jystrup"
"Otto Petersen","Gransangerstræde 65
1069 Ferritslev Fyn"
"Annemette Nielsen","Eriksgade 34
7128 Vissenbjerg"
"Vera Lassen","Karlslundestræde 1
4008 Dronningmølle"
"Birte Kristiansen","Rosenvængets Hovedvej 86
4923 Rudkøbing"
"Agnes Madsen","Alliancevej 6
5785 Ålsgårde"
"Dr. Victoria Kristoffersen","Ægirsvej 481
4310 Holbæk"
"Hjalte Danielsen","Digegade 294
7775 Svendborg"
"Dr. Ingrid Krogh","Rørsangervej 8
9783 Beder"
"Dr. Sara Larsen","Hambrosvej 707
8568 Melby"
"Nicklas Danielsen-Lund","Engelholmvej 1
4668 Vadum"
"Dr. Emma Bertelsen","Rumæniensstræde 20
9993 Hasselager"
"Annemette Nissen","Ramsingsvej 40
2054 Kværndrup"
"Allan Jepsen","Tårnholmsgade 723
5861 Sjællands Odde"
"Ulla Christiansen","Sokkelundsgade 7
2868 Tylstrup"
"Marcus Henriksen","Ferringgade 7
8689 Oksbøl"
"Prof. Nanni Bach","Øresundsvej 3
7024 Lejre"
"Olga Dam","Dagmarsvej 5
8924 Fakse Ladeplads"
"Erling Krogh-Svendsen","Præstemarksstræde 3
2808 Thyborøn"
"Sille Jeppesen","Møllestræde 1
8468 Jerslev"
"Vivian Carlsen","Gefionsvej 90
7811 Grenaa"
"Merethe Jeppesen","Rosmaringade 334
3993 Bevtoft"
"Annette Brandt","Ebbe Rodesgade 604
6089 Ulfborg"
"Prof. Rosa Jensen","Masnedø Allé 455
7169 Anholt"
"Dr. Daniella Frederiksen","Gefionsstræde 65
9115 Solbjerg"
"Erna Mikkelsen","Hyldebærstræde 3
3916 Øster Assels"
"Fru Sabine Mikkelsen","Mælkeengade 74
1312 Vejle Øst"
"Grete Berg","Dagmarsvej 6
8709 Dalby"
"Univ.Prof. Bo Mathiesen","Klintholmgade 26
3612 Løkken"
"Ursula Henriksen","Drejøvej 1
4519 Uldum"
"Dr. Margit Winther","Lodigade 4
9912 Vojens"
"Kristina Møller","Frimestervej 3
8810 Roslev"
"Annette Jessen","Kejservej 7
6961 Kokkedal"
"Tom Holst","Yderlandsgade 38
5318 Løkken"
"John Svendsen","Alexandriavej 1
3429 Jægerspris"
"Kenny Thomsen","Sundbyvestervej 351
7351 Tjele"
"Helle Jakobsen","Børsgade 47
8858 Ansager"
"Jacobine Rasmussen","Flaskevej 3
7709 Vildbjerg"
"Jano Overgaard","Nøragervej 797
9534 Århus"
"Michael Nørgaard-Lauritsen","Orlogsværftgade 5
4641 Millinge"
"Jimmy Nissen","Webersvej 83
9384 Nørre Alslev"
"Univ.Prof. Joachim Knudsen","Bymosevej 844
8226 Løgstrup"
"Annette Johnsen","Roskilde Allé 168
4997 Billum"
"Stine Friis","Rymarksgade 1
7504 Strøby"
"Hr Kurt Bech","Orlogsværft Allé 126
8275 Korsør"
"Hr Keld Klausen","Halgreensgade 8
7258 Ringe"
"Univ.Prof. Patrick Lauridsen","Hallinsgade 14
2786 Herlev"
"Werner Dahl","Nybrovej 356
8740 Hadsund"
"Paula Toft","Ramløsegade 11
2492 Lille Skensved"
"Winni Mathiasen","Rødkløvervej 8
6890 Grevinge"
"Prof. Lene Thomsen","Thyregodsvej 8
7697 Bogø By"
"Univ.Prof. Oliver Gregersen","Bellidagade 1
3330 Brædstrup"
"Annette Krogh-Madsen","Kvintus Allé 563
3161 Broby"
"Tilde Kristoffersen-Poulsen","Kornerupstræde 11
3574 Sørvad"
"Morten Madsen","Radisegade 16
4529 Klovborg"
"Sofia Schmidt-Østergaard","Geislers Allé 2
8524 Præstø"
"Kjeld Schou","Asylstræde 8
3205 Fredensborg"
"Univ.Prof. Bertram Gregersen","Mikkel Skovsvej 8
6138 Sommersted"
"Prof. Laurits Iversen","Hyacintvej 710
9161 Gislev"
"Frederikke Poulsen","Øster Voldvej 6
5560 Bækmarksbro"
"Hjalte Pedersen","Lembergstræde 131
4674 Ringe"
"Hr Clavs Mathiesen","Gerdasvej 103
6423 Liseleje"
"Annette Schultz","Fenrisstræde 192
8505 Ærøskøbing"
"Oscar Koch","Ravennagade 6
3497 Risskov"
"Prof. Anders Møller","Kirstinedalsstræde 671
5900 Munkebo"
"Jonas Thomsen","Trelleborgstræde 4
5569 Store Heddinge"
"Elisabeth Karlsen","Borneovej 6
3529 Humlebæk"
"Zacharias Thorsen","Bryggervej 777
3945 Stensved"
"Univ.Prof. Robert Frederiksen","Trepkasvej 3
4182 Egernsund"
"Thomas Carlsen","Veksøgade 1
6307 Solrød Strand"
"Sørine Rasmussen-Knudsen","Vulkanvej 12
6165 Tappernøje"
"Univ.Prof. Alf Jepsen","Marathonstræde 8
9361 Langå"
"Annette Thorsen","Klaipedagade 2
7201 Ørum Djurs"
"Simon Kristoffersen","Skanderborggade 66
4394 Støvring"
"Ernst Skov","Uffesvej 219
3132 Blokhus"
"Bodil Mathiesen","Rødbyvej 1
9107 Klemensker"
"Jonna Karlsen","Verdisvej 93
2822 Rynkeby"
"Morten Lauritsen","Amalie Skramsvej 56
9935 Kjellerup"
"Silas Christensen","Vilhelm Thomsensvej 2
9517 Gjern"
"Hr Åge Schultz","Siljanstræde 38
5328 Nørre Aaby"
"Hr Philip Overgaard","Scherfigsgade 5
5496 Lynge"
"Yvonne Brandt-Klausen","Arsenalvej 3
8996 Varde"
"Anton Andreasen","Schacksgade 6
5964 Terndrup"
"Nikolaj Rasmussen","Asnæsstræde 42
3382 Brenderup"
"Jørgen Schou","Åløkkegade 65
4643 Skals"
"Ragnar Østergaard","Reverdilsgade 8
1786 Humble"
"Jacqueline Kjeldsen-Frandsen","Baltikavej 5
1999 Hagersten"
"Hr Einar Mikkelsen","Nokken Forngade 79
1495 Øster Vrå"
"Univ.Prof. Carl Lauritsen","Middelgrundsstræde 8
7355 Rørvig"
"Mik Kjær","Nordre Dige Allé 566
1417 Ryslinge"
"Sebastian Hermansen","Urbansstræde 76
7894 Bagsværd"
"Univ.Prof. Rikke Johnsen","Helsingørmotorenvej 9
9098 Rødvig Stevns"
"Anton Olsen","Telemarks Allé 713
9169 Hellebæk"
"Claus Kristiansen-Sørensen","Harboøre Allé 7
1189 Aabenraa"
"Prof. Ulrik Simonsen","Skelmosevej 64
3100 Borre"
"Fru Cathrine Kjeldsen","Glumsøvej 171
2026 Outrup"
"Arne Lauritsen","Billedstræde 5
6319 Nørreballe"
"Sussanne Thorsen","Krügersstræde 1
4032 Snekkersten"
"Univ.Prof. Svenning Larsen","Rebekkavej 59
7129 Nyborg"
"Hr Olfert Sørensen","Hastingsvej 2
6161 Karup"
"Gunner Kristensen","Gåsestræde 870
7614 Skævinge"
"Frans Søndergaard","Landfogedvej 378
4311 Nyborg"
"Arne Eriksen-Laursen","Korinthstræde 3
7419 Sjællands Odde"
"Janne Iversen","Griffenfeldsvej 230
1323 Fakse Ladeplads"
"Ulf Johnsen-Holm","Gudenåstræde 478
9065 Haderup"
"Hr Kenny Jørgensen","Hellested Allé 5
5710 Holbæk"
"Dr. Jimmy Mathiasen","Hørsholmsvej 359
7568 Vemb"
"Elsebeth Ravn","Athensstræde 2
2478 Nyborg"
"Karina Hermansen","Ebertsvej 136
5286 Nykøbing M"
"Hr Yannick Jensen","Elmevej 386
9579 Brøndby Strand"
"Prof. Esben Johansen","Smålandsvej 674
9659 Vesterborg"
"Weena Schmidt","Saltøgade 88
4133 Augustenborg"
"Arne Madsen-Steffensen","Grønjords Allé 798
5633 Boeslunde"
"Freja Frederiksen-Sørensen","Spartavej 93
8519 Spenstrup"
"Dr. Ella Kristoffersen","Gudenågade 8
3242 Egernsund"
"Fru Sofie Møller","Beategade 135
5853 Skjern"
"Univ.Prof. Katrine Schultz","Galionsvej 86
7580 Stoholm"
"Dr. Randi Frederiksen","Lembergvej 3
6262 Sorø"
"Dr. Dagny Nørgaard","Luganogade 9
2023 Nørre Nebel"
"Solvej Mathiesen","Stadfeldtsvej 53
4563 Broby"
"Dr. Amalie Steffensen","Rosenørnsgade 407
9741 Hinnerup"
"Fru Ulla Knudsen","Hørsholmsgade 60
4588 Aalestrup"
"Arne Rasmussen","Prisholmvej 5
7938 Nørresundby"
