"Aage Christiansen"	"Vognmagervej 581
9515 Flemming"
"Amalie Larsen"	"Herslevstræde 34
5964 Tommerup"
"Timmy Klausen"	"Gammel Køge Lande Allé 7
9832 Juelsminde"
"Gustav Olsen"	"Søllerødvej 588
3626 Vesløs"
"Prof. Timmy Mathiasen"	"Holmbladsstræde 267
9255 Ålsgårde"
"Dr. Johnny Jakobsen"	"Sønderborgstræde 139
3681 Ejstrupholm"
"Hannah Poulsen"	"Tjørne Allé 9
7972 Sindal"
"Oda Svendsen"	"Marstalsvej 500
6323 Barrit"
"Jytte Iversen"	"Ravnsborg Tværgade 589
9256 Brøndby"
"Julius Jeppesen"	"Vævervej 19
4337 Glumsø"
"Paula Svendsen"	"Nivåvej 48
3523 Spjald"
"Amalie Lauridsen"	"Gerdasstræde 514
2316 Hasle"
"Julius Winther"	"Gyvelvej 801
2832 Hellerup"
"Ernst Olsen"	"Rysensteensvej 3
9150 Billum"
"Keld Jespersen"	"Maltavej 3
5537 Nørre Nebel"
"Lotte Christiansen-Skov"	"Mandalsvej 2
8782 Gentofte"
"Søren Østergaard-Dam"	"Ryesgade 84
3161 Kjellerup"
"Alex Thorsen"	"Tyttebærgade 27
4155 Jerup"
"Dr. Adam Thorsen"	"Toldskrivervej 925
7325 Henne"
"Irma Schou"	"Skippingevej 533
2778 Nordborg"
"Tine Holst-Lauritsen"	"Omø Allé 81
9942 Arden"
"Amalie Olsen"	"Helikonsgade 58
2446 Munke Bjergby"
"Hr Poul Holm"	"Fjenneslevstræde 768
3780 Skals"
"Univ.Prof. Sam Paulsen"	"Speditørgade 9
3300 Østbirk"
"Finn Johansen"	"Rødelandsstræde 22
6061 Skibby"
"Prof. Mikkel Iversen"	"Skotlandsvej 2
6815 Rude"
"Jesper Rasmussen"	"Sverrigsvej 27
4300 Aulum"
"Fru Amalie Klausen"	"Eskadrevej 396
2835 Brædstrup"
"Dr. Randi Clausen"	"Sixtusvej 44
2324 Aars"
"Ernst Olesen"	"Gyldenlakvej 90
9895 Munke Bjergby"
"Doris Lassen"	"Grøndalsvængegade 32
9132 Svenstrup"
"Amalie Rasmussen"	"Bremensvej 496
4471 Tappernøje"
"Tammy Jensen-Sørensen"	"Heklasstræde 4
6120 Glumsø"
"Nina Jensen"	"Harrestrupgade 12
4975 Fakse"
"Hr Ken Kjeldsen"	"Rådhus Allé 6
5663 Suldrup"
"Katrine Friis"	"Vestbane Allé 68
6496 Kvistgård"
"Kenny Winther"	"Spanagergade 59
9788 Næstved"
"Berta Thomsen"	"Billesborgstræde 71
5039 Kalvehave"
"Sarah Bech"	"Lergravsstræde 1
1552 Bjerringbro"
"Dr. Ove Andresen"	"Rymarksvej 34
2737 Hovborg"
"Karoline Eriksen"	"Poppelgade 781
8024 Vildbjerg"
"Amalie Simonsen-Johansen"	"Lyngholmvej 5
4722 Slagelse"
"Kåre Simonsen"	"Birkholmstræde 20
2863 Stenderup"
"Univ.Prof. Uffe Larsen"	"Hindbærgade 393
6468 Kvistgård"
"Ofelia Pedersen"	"Selsøvej 72
5115 Hadsund"
"Grete Rasmussen"	"Stenlillestræde 59
2017 Kolind"
"Yngve Bach-Mogensen"	"Ottiliagade 865
5935 Ulstrup"
"Sophie Mortensen"	"Gdanskvej 712
5031 Fakse Ladeplads"
"Fru Sabine Jeppesen"	"Kuglegårdsvej 336
9594 Bogø By"
"Solvej Østergaard"	"Fredensgade 4
5703 Ålbæk"
"Paw Nielsen"	"Bådehavnsgade 1
6983 Føllenslev"
"Amanda Dam"	"Teglholmsvej 4
1117 Rask Mølle"
"Fru Inge Schultz"	"Ruthsgade 59
3293 Sørvad"
"Hr Øivind Frederiksen"	"Wiinbladsvej 1
2517 Løkken"
"Prof. Sam Jessen"	"Sakskøbing Allé 537
3536 Randbøl"
"Prof. Yrsa Poulsen"	"Moselgade 137
1865 Harlev"
"Nadia Johansen-Sørensen"	"Smørumgade 1
2245 Glejbjerg"
"Alvin Olsen-Brandt"	"Vigerslevstræde 9
9823 Ejstrupholm"
"Nicoline Nielsen"	"Valnøddegade 6
5150 Sjølund"
"Jannie Madsen"	"Ahrenkildesvej 8
1889 Odense"
"Bøje Henriksen"	"Thyregodsstræde 97
1401 Guldborg"
"Amanda Frandsen"	"Gearhalsgade 88
5870 Næstved"
"Sara Thomsen"	"Tietgensvej 39
8317 Sulsted"
"Univ.Prof. Dan Mortensen"	"Vardevej 6
5401 Sjølund"
"Prof. Patrick Jeppesen"	"Scharlings Allé 14
9926 Lundby"
"Ragnhild Ravn"	"Strynøvej 95
5521 Ruds Vedby"
"Boe Hermansen"	"Holbergsvej 9
2108 Vils"
"Ragna Overgaard"	"Hesselø Allé 28
6094 Slagelse"
"Jean Henriksen"	"Istedvej 40
5318 Janderup"
"Ron Klausen"	"Leifsgade 2
8299 Bøvlingbjerg"
"Nicolaj Jespersen"	"Oehlenschlægersgade 940
6626 Gadbjerg"
"Anders Berg-Lauridsen"	"Monradsstræde 501
3349 Føvling"
"Herman Møller"	"Brofogedgade 78
4962 Hesselager"
"Asger Mogensen"	"Borrebyvej 7
4659 Torrig"
"Hr Villads Thorsen"	"Grøndals Parkvej 7
4086 Brønderslev"
"Carl Mikkelsen"	"Dovregade 714
2721 Hørsholm"
"Fru Sofie Jessen"	"Vermlandsvej 8
9035 Hornsyld"
"Selma Lund"	"Byglands Allé 90
8290 Taastrup"
"Sofie Schou"	"Rosenørnsgade 85
8621 Viby J"
"Esmarelda Friis"	"Lemnos Allé 492
2037 Vestbjerg"
"Mike Kristensen-Hansen"	"Skoleholderstræde 510
2011 Søby Ærø"
"Anders Jensen"	"Samosstræde 208
1645 Nørager"
"Prof. Robin Vestergaard"	"Degneæblegade 425
1830 Middelfart"
"Valdemar Thomsen"	"Gdanskvej 1
9132 Sandved"
"Prof. Ronja Mogensen"	"Guldbergsgade 63
7853 Herlev"
"Jørgen Johansen"	"Haldager Allé 867
4102 Nordborg"
"Kjeld Vestergaard"	"Hjertensfrydsvej 206
1773 Brørup"
"Ludvig Schmidt"	"Rubinsteinsvej 64
6477 Klippinge"
"Holger Steffensen"	"Polensgade 356
4190 Tranbjerg J"
"Dr. Michelle Dahl"	"Dompapstræde 9
4203 Hovedgård"
"Prof. Øjvind Brandt"	"Tjærebystræde 9
4285 Vejle Øst"
"Anders Kjeldsen"	"Vindruegade 5
3792 Charlottenlund"
"Tom Gregersen"	"Regitsegade 859
5057 Spjald"
"Nina Mortensen"	"Rahbeksvej 92
2955 Aabenraa"
"Keld Johansen"	"Nørrevej 4
9960 Ryomgård"
"Dagmar Brandt-Pedersen"	"Serridslevvej 299
4362 Ribe"
"Univ.Prof. Klaus Bach"	"Borupsvej 691
4799 Frederikssund"
"Fru Ella Mikkelsen"	"Strødam Allé 216
8298 Ørum Djurs"
"Katrine Madsen"	"Rørmosestræde 8
2579 Brande"
"Alma Laursen"	"Østerdalsvej 18
7226 Øster Ulslev"
"Poul Søndergaard"	"Grækenlandsgade 53
9766 Storvorde"
"Anders Knudsen"	"Dunkerquevej 30
5381 Frederikshavn"
"Kristian Mathiesen-Krogh"	"Selinegade 37
2852 Gadbjerg"
"Sarah Jeppesen"	"Frejasgade 3
6521 Greve"
"Amanda Laursen"	"Mikkel Skovsgade 887
3623 Eskilstrup"
"Dr. Jano Østergaard"	"Dannevirkevej 79
3247 Ørnhøj"
"Otto Frandsen"	"Søfortvej 4
2334 Barrit"
"Joan Lund-Johansen"	"Sundkrogsgade 96
5307 Holeby"
"Hr Casper Schou"	"Ærtestræde 2
7136 Korsør"
"Ivan Jessen-Gregersen"	"Nøjsomhedsvej 802
8818 Sønder Omme"
"Frida Lind"	"Vulkangade 79
1982 Roslev"
"Anders Søndergaard"	"Sibberns Allé 62
1664 Aabenraa"
"Prof. Birgitte Holst"	"Spontinisvej 51
2553 Borre"
"Ruben Kjær"	"Tordenskjoldsstræde 4
6147 Kjellerup"
"Nadia Petersen-Jepsen"	"Sumatragade 37
7322 Stege"
"Univ.Prof. Daniella Andreasen"	"Fajancegade 124
1625 Middelfart"
"Dr. Liva Lauritsen"	"Brønshøjgade 5
2888 Juelsminde"
"Erik Nilsson-Kjeldsen"	"Lyshøjgade 479
5368 Idestrup"
"Kristian Nørgaard"	"H.C. Sneedorffsvej 3
7194 Rønne"
"Fru Doris Lind"	"Sundevedsgade 274
7417 Errindlev"
"Abelone Mathiasen"	"Stæregade 368
1393 Sønder Omme"
"Andrea Skov"	"Kortstilkvej 7
7434 Thyborøn"
"Univ.Prof. Beth Paulsen"	"Fragtstræde 465
3623 Them"
"Ib Johansen"	"Spontinisstræde 90
3830 Brøndby"
"Conny Mathiasen"	"Borrebygade 2
7028 Mern"
"Anette Jakobsen"	"Teglgårdgade 6
9087 Otterup"
"Hr Laus Kristensen"	"Røddingvej 220
3926 Stege"
"Hjalte Iversen"	"Ekvipagemestervej 42
4693 Væggerløse"
"Louise Frederiksen"	"Gladiolusgade 6
5712 Gedser"
"Dr. Bodil Steffensen"	"Egemarkevej 57
2875 Nørresundby"
"Yrsa Christiansen"	"Hardangervej 581
2562 Nysted"
"Andreas Johnsen"	"Karlstadsvej 75
4237 Esbjerg"
"Ingrid Andreasen"	"Sydhavns Allé 3
6613 Rødkærsbro"
"George Kristensen"	"Tomsgårdsvej 1
2647 Lem"
"Bent Iversen"	"Rodosvej 1
5070 Thyborøn"
"Hr Michael Møller"	"Alsvej 58
5085 Egernsund"
"Yasmin Mathiasen"	"Selinegade 65
3075 Christiansfeld"
"Prof. Herbert Nilsson"	"Kongstedvej 419
5714 Gjerlev"
"Martin Jensen-Clausen"	"Karens Allé 306
8632 Skælskør"
"Univ.Prof. Line Koch"	"Todesvej 5
9964 Erslev"
"Regitse Møller"	"Meinungsstræde 5
4258 Løkken"
"Andreas Mikkelsen"	"Digevej 377
4977 Videbæk"
"Sille Lauridsen"	"Glumsøvej 161
7218 Solrød Strand"
"Benedicte Thygesen"	"Udbygade 311
6769 Aakirkeby"
"Univ.Prof. Gyda Nørgaard"	"Næsbyholmgade 95
5004 Idestrup"
"Danny Winther-Vestergaard"	"Holbækmotorenstræde 45
9449 Vejen"
"Fru Karen Lund"	"Marstalsstræde 55
9056 Bramming"
"Fru Sille Steffensen"	"Per Henrik Lingsgade 781
3674 Vejby"
"Dr. Heidi Mikkelsen"	"Dublinvej 412
2564 Store Fuglede"
"Univ.Prof. Regitse Jørgensen"	"Gormsvej 9
6606 Virum"
"Thomas Laursen"	"Gammel Jernbanevej 852
9214 Sorø"
"Andreas Olesen"	"Vingårdgade 53
2236 Store Fuglede"
"Ursula Poulsen"	"Rosenlunds Allé 805
8977 Bjæverskov"
"Sarah Kjeldsen"	"Gammel Jernbanevej 25
5956 Faaborg"
"Carl Andreasen-Lind"	"Prinsesse Allé 5
4872 Them"
"Yda Andresen-Andresen"	"Oldermandsstræde 83
3729 Sabro"
"Univ.Prof. Eric Østergaard"	"Thorupsvej 46
1915 Asperup"
"Oda Lund"	"Toftagervej 6
5956 Helsingør"
"Nicoline Krogh"	"Glænøgade 14
8064 Bække"
"Zahra Gregersen"	"Randersstræde 1
7509 Vejby"
"Kirstin Johnsen"	"Bisidderstræde 536
8434 Odder"
"Andreas Schultz-Andresen"	"Montagehalsgade 3
4309 Aabenraa"
"Univ.Prof. Gunnar Bech"	"Refshalevej 6
6498 Silkeborg"
"Dr. Zacharias Nørgaard"	"Lille Kongens Allé 5
6132 Aalestrup"
"Pete Holst"	"Tuelandsstræde 9
3217 Skamby"
"Prof. Jean Johansen"	"Thorupsvej 46
7837 Aars"
"Øjvind Vestergaard-Karlsen"	"Katholmvej 51
7921 Hanstholm"
"Paulina Søndergaard"	"Berggreensvej 8
9076 Lemming"
"Mik Bech"	"Blytækkervej 850
2595 Ølgod"
"Dennis Lauritsen"	"Bredelandsvej 9
2417 Tjele"
"Ursula Olsen"	"Brøndumstræde 87
6887 Løgumkloster"
"Andreas Winther"	"Mosedalvej 42
2051 Lundby"
"Anders Christensen"	"Italiensvej 365
2346 Rynkeby"
"Univ.Prof. Flemming Andreasen"	"Efterslægtsgade 26
3907 Højslev"
"Joakim Thygesen"	"Tudskærstræde 38
5031 Snertinge"
"Lærke Lauridsen-Sørensen"	"Søllerødvej 91
1505 Bjert"
"Bodil Sørensen-Kjeldsen"	"Hvedegade 628
5309 Holeby"
"Gerda Winther"	"Tonemestervej 85
3350 Kastrup"
"Joakim Søndergaard"	"Belgiensvej 48
4027 Hellebæk"
"Univ.Prof. Jonathan Lind"	"Sofie Brahes Allé 7
8457 Vestbjerg"
"Ørni Holm"	"Nørrebrostræde 127
2197 Svinninge"
"André Krogh"	"Bellidagade 55
1454 Kolind"
"Fru Alberte Holm"	"Torbenfeldtvej 757
1350 Farum"
"Dr. Rebecca Mathiasen"	"Sæbyvej 31
1627 Billum"
"Daniel Lauridsen"	"Stenlandsstræde 730
2452 Jerslev"
"George Larsen"	"Nøragerstræde 7
2690 Balle"
"Prof. Sten Vestergaard"	"Cylinderstræde 47
5598 Svendborg"
"Jacobine Nørgaard"	"Venø Allé 4
2417 Gjern"
"Dr. Minna Lind"	"Teglholmvej 573
7527 Sønder Stenderup"
"Ruben Koch"	"Sturlasvej 52
3418 Hals"
"Univ.Prof. Mille Jespersen"	"Toskiftevej 76
4158 Rude"
"André Nielsen-Lauridsen"	"Kroghsgade 146
5376 Østermarie"
"Kjeld Holst"	"Folke Bernadottesvej 9
8807 Ålbæk"
"Sonny Andresen"	"Tietgens Allé 4
1976 Sønder Felding"
"Univ.Prof. Jonna Kjær"	"Skanderborgvej 38
1038 Virum"
"Dr. Birte Koch"	"Herjedalstræde 814
3936 Knebel"
"Asger Sørensen"	"Frederiksberggade 394
8525 Hals"
"Cathrine Thorsen"	"Ærtebjergvej 78
2539 Måløv"
"Dr. Sine Larsen"	"Schleppegrellsvej 908
2745 Hvalsø"
"Univ.Prof. Isabella Pedersen"	"Rosenørnsgade 48
9507 Låsby"
"Ulf Koch"	"Magvej 769
4738 Stensved"
"André Rasmussen"	"Nybogade 8
2585 Brørup"
"Yasmin Jørgensen"	"Stormvej 8
9942 Asaa"
"Fru Winnie Eriksen"	"Stenmaglevej 850
7041 Mariager"
"Hr Johnnie Lauritsen"	"Kvintusvej 25
6611 Billund"
"Joakim Laursen-Schultz"	"Titanvej 83
8928 Grindsted"
"Dr. Nina Schou"	"Enveloppevej 53
8559 Sørvad"
"Klara Johnsen"	"Tipsagervej 501
5482 Allinge"
"Ulf Lassen"	"Spontinisvej 3
1251 Lintrup"
"Stina Olsen-Mathiasen"	"Kampmannsgade 80
4051 Flemming"
"Gerda Krogh-Johansen"	"Krogerupvej 9
1398 Gedsted"
"André Schultz"	"Ledagergade 39
7466 Aarup"
"Gunner Petersen"	"Beldringe Allé 41
8558 Tølløse"
"Ronnie Holm"	"Brohusvej 5
1083 Tranekær"
"Fru Rikke Vestergaard"	"Vognborg Allé 966
1930 Hovedgård"
"Martin Olsen"	"Emdrupgårdsvej 7
2428 Barrit"
"Henrik Andreasen"	"Strandenvej 357
9923 Skårup"
"Alf Paulsen"	"Markskiftegade 1
5005 Sjællands Odde"
"Univ.Prof. Valdemar Dahl"	"Valby Maskinfabriksgade 621
2768 Frederiksværk"
"Univ.Prof. Helge Kjeldsen"	"Verdis Allé 51
8538 Spjald"
"Sten Winther"	"Vævergade 1
8600 Bøvlingbjerg"
"Ane Bach"	"Arabiensgade 592
6659 Tølløse"
"Christian Lauritsen"	"Tømrerstræde 481
2073 Langebæk"
"Merete Lassen"	"Elme Allé 9
8172 Ærøskøbing"
"Bent Paulsen"	"Portugalsvej 256
9110 Rask Mølle"
"Univ.Prof. Emily Holm"	"Silke Allé 70
4188 Hvidovre"
"Rita Nilsson-Rasmussen"	"Vejrøstræde 9
3928 Ry"
"Claus Thomsen-Petersen"	"Markskifte Allé 41
6116 Ørsted"
"Nina Nørgaard-Knudsen"	"Augustavej 76
8477 Viby Sjælland"
"Simon Karlsen-Schmidt"	"Larsbjørnsvej 99
5119 Balle"
"Univ.Prof. Elna Lassen"	"Rahbeks Allé 30
5112 Broby"
"Ane Frederiksen-Brandt"	"Kornskyldvej 35
4993 Klarup"
"Solveig Svendsen-Jespersen"	"Kingos Allé 21
5926 Åbyhøj"
"Univ.Prof. Nikolai Lind"	"Pomonavej 16
7531 Holte"
"Univ.Prof. Maiken Mogensen"	"Engdalsstræde 23
9317 København"
"Anette Krogh"	"Pakhusgade 683
1856 Storvorde"
"Noah Kjær"	"Dronninglundstræde 6
8084 Frøstrup"
"Univ.Prof. Jenny Eriksen"	"Elmelundegade 963
8781 Gudhjem"
"Sofia Schmidt"	"Gråspurvevej 259
7240 Strøby"
"Fru Thea Svendsen"	"Højmosestræde 319
1944 Vejle"
"Dr. Karl Henriksen"	"Tuborgstræde 2
1146 Brørup"
"Ane Koch"	"Reventlowsgade 76
4792 Rødkærsbro"
"Prof. Rita Søndergaard"	"Slangerupvej 43
1037 Rude"
"Sussanne Lauridsen"	"Stokrosevej 697
3976 Grindsted"
"Yngve Koch"	"Stefansvej 46
5207 Roslev"
"Janni Mortensen"	"Agger Allé 690
9933 Melby"
"Danny Lauritsen"	"Aggersborggade 38
3615 Rødekro"
"Dr. Ernst Karlsen"	"Gormsgade 4
8079 Holstebro"
"Lena Christiansen"	"Lønstrup Allé 96
9582 Sønder Stenderup"
"Ruben Pedersen"	"Kompagnigade 94
5303 Lintrup"
"Solveig Andersen"	"Væbnergade 556
1138 Rødekro"
"Ane Toft"	"Geysersvej 84
6507 Jerslev"
"Ron Holm"	"Tomsgårdsvej 76
8976 Juelsminde"
"Bettina Andersen"	"Svankærvej 176
6598 Føllenslev"
"Lona Vestergaard"	"Oehlenschlægersvej 6
2081 Errindlev"
"Robert Steffensen"	"Askø Allé 85
8782 Dannemare"
"Kenny Østergaard"	"Slåengade 740
1603 Horslunde"
"Katcha Østergaard"	"Hillerødmotorenstræde 534
7174 Ærøskøbing"
"Birgit Skov-Andreasen"	"Ingrid Mariegade 633
8102 Ishøj"
"Nanni Dahl"	"Ravnsborgstræde 637
8873 Give"
"Aksel Lind"	"Bornholmsgade 7
9179 Sulsted"
"Anette Bruun"	"Mirabellevej 12
4344 Værløse"
"Univ.Prof. Gerda Sørensen"	"Landsdommervej 646
3818 Stenderup"
"Zehnia Danielsen"	"Støvringgade 55
2749 Klampenborg"
"Kenny Koch"	"Danshøjvej 11
9907 Bevtoft"
"Prof. Nicklas Nørgaard"	"Byager Allé 74
8478 Rørvig"
"Univ.Prof. Sonny Vestergaard"	"Ålborgvej 688
2426 Højslev"
"Prof. Jarl Jeppesen"	"Nørre Voldstræde 3
8902 Hadsten"
"Prof. Martin Nørgaard"	"Engelholmvej 212
8729 Hellebæk"
"Jack Holm"	"Lille Kannikevej 205
8050 Fredensborg"
"Daniella Jepsen"	"Bjergstedvej 909
3752 Gislinge"
"Anette Friis"	"Adrians Allé 8
9634 Rungsted Kyst"
"Dr. Birgitte Mikkelsen"	"Cæciliavej 5
9706 Morud"
"Dr. Bent Jacobsen"	"Nelson Mandelasgade 213
3075 Bedsted Thy"
"Marianne Kjeldsen"	"Stenhuggervej 6
6621 Ringe"
"Birthe Kjær"	"Brønshøjholmsvej 332
1056 Vemb"
"Kristina Dam"	"Adel Allé 31
1932 Sunds"
"Laura Vestergaard"	"Knuthenborg Allé 636
4589 Løgstør"
"Kirstin Hermansen"	"Rysensteens Allé 966
5531 Nørresundby"
"Verner Carlsen"	"Otto Bachesgade 707
4262 Tistrup"
"Prof. Johnnie Bertelsen"	"Limfjordsgade 394
6394 Vamdrup"
"Anette Thorsen"	"Børglumvej 6
6290 Vedbæk"
"Benedikte Berg"	"Vendersgade 8
8589 Kirke Såby"
"Lars Mikkelsen"	"Grøndalsvængestræde 83
8289 Videbæk"
"Dr. Kåre Bruun"	"Kronborggade 7
8741 Ålsgårde"
"Matthias Frandsen"	"Oldermandsvej 1
8286 Gørding"
"Erik Christiansen"	"Smålandsvej 8
9806 Øster Ulslev"
"Olga Hermansen-Nissen"	"Skipper Clements Allé 23
2652 Hjortshøj"
"Univ.Prof. Einar Lind"	"Bellmansstræde 12
9100 Brørup"
"Jim Mathiasen-Andreasen"	"Vangehusvej 3
5637 Fjenneslev"
"Fru Randi Thomsen"	"Hørsholmsgade 67
1352 Havndal"
"Anette Østergaard"	"Fuglagergade 992
5505 Hobro"
"Prof. Sonja Madsen"	"Indiavej 7
7880 Ebberup"
"Mathias Koch"	"Pakhusstræde 5
2370 Vejle"
"Klaus Iversen"	"Esromgade 502
5762 Dybvad"
"Univ.Prof. Georg Jespersen"	"Høsterkøbvej 5
6218 Padborg"
"Univ.Prof. Kristian Lauridsen"	"Ilford Allé 537
4361 Henne"
"Pete Berg"	"Stemannsvej 19
6634 Glumsø"
"Christoffer Søndergaard"	"Krogerupgade 7
6741 Vallensbæk Strand"
"Fru Sigrid Bach"	"Boltonvej 45
7903 Svinninge"
"Allan Toft"	"Statholdervej 58
4545 Branderup"
"Anna Friis-Lund"	"Læssøesgade 79
3853 Klemensker"
"Åbjørn Bach"	"Boserupvej 28
7290 Suldrup"
"Matthias Kjær"	"Bustrupvej 273
6175 Sunds"
"Heidi Henriksen"	"Rovsingsstræde 78
6966 Terndrup"
"Oda Mortensen"	"Metrogade 85
1126 Holeby"
"Univ.Prof. Sys Christoffersen"	"Reersøstræde 529
1172 Bjæverskov"
"Univ.Prof. Gyda Brandt"	"Uglevej 48
4234 Kerteminde"
"Pia Jessen"	"Lærdalsgade 8
8293 Oure"
"Birgit Koch"	"Øresund Parkvej 8
4581 Helsingør"
"Marianne Nørgaard-Thygesen"	"Halgreensvej 3
2368 Ugerløse"
"Anna Jacobsen"	"Ålandsvej 721
3711 Tappernøje"
"Dennis Madsen"	"Nivågade 88
2816 Jordrup"
"Univ.Prof. Ingelise Bertelsen"	"Byagerstræde 3
2904 Ølstykke"
"Univ.Prof. Jacqueline Koch"	"Gammel Jernbanevej 474
3011 Humlebæk"
"Alberte Jørgensen"	"Stemannsvej 751
4022 Vallensbæk"
"Børge Frandsen"	"Vindebrogade 767
5852 Holbæk"
"Hr Simon Toft"	"Kapelvej 597
1300 Rørvig"
"Bobby Koch"	"Knuthenborgvej 13
3589 Bryrup"
"Palle Schou-Clausen"	"Løgæblestræde 938
1191 Frederiksberg"
"Jesper Friis"	"Krudtløbs Allé 39
2182 Idestrup"
"Anna Schmidt"	"Vestre Teglgade 575
7621 Spenstrup"
"Dr. Øystein Holst"	"Rosendalsstræde 7
9773 Viby J"
"Dr. Britt Ravn"	"Raffinaderigade 87
9308 Millinge"
"Agnete Toft"	"Radisevej 9
8780 Svebølle"
"Dr. Mads Pedersen"	"Kingosvej 55
7017 Jyllinge"
"Prof. Mogens Sørensen"	"Breidablikvej 5
1977 Vildbjerg"
"Dr. Amalie Vestergaard"	"Heibergsvej 178
8859 Rønne"
"Dr. Asger Frandsen"	"Stjernestræde 70
6942 Hundslund"
"Stig Schultz"	"Hinde Allé 8
8040 Frørup"
"Univ.Prof. Herman Bach"	"Krusemyntegade 8
6642 Holstebro"
"Anne Andresen"	"Vejrøgade 856
2666 Vejby"
"Benedicte Kjær"	"Søllerødstræde 6
9241 Østbirk"
"Univ.Prof. Nicolaj Toft"	"Valby Maskinfabriksvej 7
2265 Kibæk"
"Dr. Ernst Christoffersen"	"Musvågegade 98
3878 Galten"
"Ida Nilsson"	"Baldersstræde 693
5818 Kastrup"
"Jannie Dam"	"Tømmergravsvej 27
4426 Greve Strand"
"Georg Bech"	"Farumgade 638
2156 Gudbjerg"
"Sys Gregersen-Vestergaard"	"Provstevej 7
8298 Vester Skerninge"
"Kirsten Steffensen"	"Remise Allé 8
9654 Hagersten"
"Prof. Rebecca Steffensen"	"Haydnsvej 981
2623 Bagenkop"
"Anne Jeppesen"	"Masteskurs Allé 6
4830 Hørsholm"
"Aage Jørgensen-Toft"	"Hindevej 25
7876 Sorring"
"Lena Knudsen"	"Valbygårds Allé 1
5534 Skamby"
"Dr. Grethe Andersen"	"Stenkløvergade 1
1954 Læsø"
"Ron Simonsen-Thygesen"	"Meinungsvej 678
1697 Årre"
"Dan Pedersen"	"Formosagade 3
3169 Kværndrup"
"Univ.Prof. Simone Kristoffersen"	"Mutzugade 68
5511 Klovborg"
"Univ.Prof. Gunhild Nissen"	"Tullinsvej 657
2150 Søndersø"
"Per Svendsen"	"Otto Bachesvej 511
3243 Solbjerg"
"Rosa Kjeldsen-Hermansen"	"Flinterupvej 419
1339 Maribo"
"Anne Nissen"	"Støvnæsvej 31
9217 Frederiksberg"
"Fru Mette Olsen"	"Hvidkløvervej 5
4254 Sindal"
"Jonas Thorsen"	"Strynøstræde 21
9336 Bredebro"
"Åbjørn Jeppesen"	"Vermlandsgade 7
8340 Boeslunde"
"Albert Poulsen"	"Vedbækgade 2
6546 Outrup"
"Sandra Johnsen-Mathiasen"	"Burgundygade 3
2940 Malling"
"Doris Hermansen-Nørgaard"	"Brofogedvej 851
9550 Hørning"
"Åse Eriksen"	"Pasteursstræde 528
4299 Hellebæk"
"Ruth Andreasen"	"Rubinsteinsvej 3
4124 Bøvlingbjerg"
"Mia Andreasen"	"Gloster Allé 4
2730 Bagsværd"
"Anne Olesen"	"Kirkebjerggade 80
3528 Ærøskøbing"
"Ulla Toft-Vestergaard"	"Fredenshøjvej 38
1924 Nysted"
"Gunhild Clausen-Iversen"	"Baldersvej 57
5525 Klovborg"
"Fru Line Thorsen"	"Gerlevgade 26
2587 Haarby"
"Maiken Bruun"	"Pakkeristræde 59
6155 Sandved"
"Fru Ritt Bach"	"Hallandsgade 2
7107 Sporup"
"Prof. Frederikke Winther"	"Fredenshøj Allé 9
7233 Struer"
"Iver Rasmussen"	"Bellidastræde 2
1712 Rørvig"
"Univ.Prof. Jarl Winther"	"Vævervej 4
2701 Ålsgårde"
"Lena Søndergaard"	"Nivåvej 9
7716 Gråsten"
"Anne Olesen"	"Petersborgstræde 434
2310 Ejby"
"Univ.Prof. Valdemar Holst"	"Fiol Allé 23
8001 Birkerød"
"Yda Eriksen-Jessen"	"Stenkløverstræde 4
2732 Malling"
"Ragnhild Overgaard"	"Valhøjvej 26
9072 Sorø"
"Sussie Ravn-Nilsson"	"Stæregade 43
8825 Dalby"
"Niels Gregersen"	"Tordenskjolds Allé 39
4362 Ringe"
"Nicolaj Holst-Steffensen"	"Gulkløvergade 49
4449 Østermarie"
"Beth Jeppesen"	"Lyshøjgårdsgade 24
6184 Aabybro"
"Sørine Jakobsen"	"Vesterhavsstræde 137
6582 Maribo"
"Klavs Vestergaard"	"Jagtvej 84
7468 København"
"Anne Petersen"	"Fuglsangvej 12
7998 Slagelse"
"Bo Nissen"	"Breslaugade 36
4528 Marslev"
"Martin Larsen"	"Tårnblæserstræde 640
1735 Nexø"
"Alberte Kristiansen"	"Ahornsvej 950
5433 Hundested"
"Prof. Eric Steffensen"	"Mandalsstræde 273
5358 Janderup"
"Søren Bech"	"Rosenlundsgade 23
3506 Kongerslev"
"Uffe Petersen"	"Mitchellsgade 98
9798 Gram"
"Prof. Joachim Schmidt"	"Dige Allé 75
3588 Svebølle"
"Univ.Prof. Johnny Christensen"	"Berggreensvej 89
3032 Sejerø"
"Cecilie Dahl"	"Kirsteins Allé 7
8076 Millinge"
"Anne Thorsen"	"Birkedommerstræde 21
4766 Marstal"
"Kenny Iversen"	"Verona Allé 4
3596 Aulum"
"Kenny Paulsen"	"Ørholmvej 803
4661 Hellerup"
"Andreas Bach"	"Lodivej 69
4381 Gjern"
"Dr. Carsten Nilsson"	"Morsøvej 6
1908 Klarup"
"Frode Møller"	"Stratfordgade 32
2106 Veksø Sjælland"
"Mille Bruun"	"Veronagade 9
5394 Bedsted Thy"
"Klara Hermansen"	"Folevadsgade 60
7418 Kokkedal"
