"Aage Dahl"|"Jeppes Allé 29
9602 Risskov"
"Allan Kristoffersen"|"Alperosegade 66
1357 Guldborg"
"Fru Elisabeth Schultz"|"Cypernsvej 521
2078 Bolderslev"
"Fru Amanda Nørgaard"|"Trelleborgvej 25
5414 Åbyhøj"
"Ulf Jepsen"|"Kronborggade 65
7307 Herlev"
"Sine Dahl-Pedersen"|"Valløstræde 6
8538 Nørre Aaby"
"Dr. Morten Kristoffersen"|"Harboørevej 944
1480 Rudkøbing"
"Bøje Johansen"|"Rosengade 674
3082 Nyrup"
"Finn Andreasen"|"Svanevej 41
6679 Ringe"
"Ole Petersen"|"Spiræavej 24
5467 Gedved"
"Bent Kristoffersen"|"Petersborg Allé 172
5675 Hedehusene"
"Alma Christoffersen"|"Gyrstingegade 77
9261 Vejby"
"Hr Brian Madsen"|"Kvintusgade 92
5131 Birkerød"
"Selma Rasmussen"|"Travemündevej 69
2158 Karby"
"Oskar Krogh"|"Brolæggervej 1
8911 Oure"
"Tobias Bach"|"Samsø Allé 414
1674 Billund"
"Jørgen Kristensen"|"Høyensgade 9
8717 Sorø"
"Hans Ravn"|"Stevnsgade 471
1724 Tjæreborg"
"Dr. Steven Lassen"|"Bastion Allé 9
1313 Sindal"
"Prof. Anton Berg"|"Dompapvej 14
5859 Bække"
"Prof. Tove Frederiksen"|"Christen Bergsvej 7
4833 Hørve"
"Alma Dam"|"Hammelstrupstræde 783
3551 Gedsted"
"Mark Klausen"|"Fafnersvej 357
9854 Hammel"
"Hugo Poulsen"|"Lyngvigstræde 5
7482 Vodskov"
"Øivind Johansen"|"Rødbyvej 36
8091 Vesløs"
"Alvin Østergaard"|"Fælledens Passagestræde 515
2314 Ringe"
"Karoline Schou"|"Elstargade 47
6069 Hanstholm"
"Pernille Danielsen"|"Takkelloftstræde 9
9131 Borup"
"Sussie Karlsen"|"Telemarks Allé 1
5296 Brovst"
"Tanja Svendsen"|"Kastelsvej 85
8581 Skanderborg"
"Robert Dahl"|"Vendersgade 35
6395 Frederikssund"
"Alma Mogensen-Hermansen"|"Hanstholmvej 9
2882 Jordrup"
"Ingrid Hansen"|"Beethovensstræde 78
5762 Vester Skerninge"
"Dr. Doris Skov"|"Sorøgade 25
3662 Vadum"
"Carsten Brandt-Christensen"|"Murervej 9
3777 Nyrup"
"Iben Carlsen"|"Rumæniensgade 526
3290 Ebeltoft"
"Troels Nissen"|"Tscherningsstræde 996
8753 Malling"
"Marianne Kjær-Hansen"|"Tycho Brahesgade 48
3730 Vemmelev"
"Prof. Yrsa Hansen"|"Lobeliagade 68
7372 Bredsten"
"Gyda Carlsen"|"Løgstørvej 555
6839 Nykøbing M"
"Merethe Thorsen"|"Toskiftegade 458
5607 Årslev"
"Alvin Henriksen"|"Folevadsvej 7
3450 Nakskov"
"Univ.Prof. Elna Kjær"|"Letlandsstræde 265
8581 Jægerspris"
"Univ.Prof. Tove Hermansen"|"Stenkløvergade 8
4560 Silkeborg"
"Oskar Klausen"|"Scharlingsgade 6
2066 Søllested"
"Emilie Klausen"|"Neapelvej 43
6272 Ulfborg"
"Mik Christoffersen"|"Thorshavnsvej 29
7636 Sjølund"
"Birgit Christiansen"|"Lønstrupvej 297
8794 Sønder Felding"
"Jim Frederiksen"|"Bragesstræde 8
7495 Aabybro"
"Univ.Prof. Einer Petersen"|"Jernæblevej 4
8629 Kirke Såby"
"Dr. Bo Krogh"|"Rindbyvej 3
5013 Roslev"
"Alvin Kristoffersen"|"Marmorvej 311
9257 Støvring"
"Jacob Frandsen-Jeppesen"|"Ystadvej 657
4933 Sporup"
"Einar Østergaard"|"Nordrupvej 9
3332 Børkop"
"Henry Thomsen-Vestergaard"|"Murervej 27
1244 Karise"
"Åge Clausen"|"Slangerupvej 26
2573 Øster Assels"
"Marius Berg"|"Selevej 3
9112 Vonge"
"Helle Berg-Karlsen"|"Bomslutter Allé 34
7157 Kvistgård"
"Stina Sørensen"|"Eriksstræde 5
7095 Føllenslev"
"Troels Paulsen"|"Vendsysselgade 74
4560 Randers"
"Julius Krogh"|"Caprigade 8
1789 Højer"
"Amalie Clausen-Christensen"|"Brysselvej 3
2022 Slagelse"
"Henriette Steffensen-Clausen"|"Fengersgade 283
2444 Hjerm"
"Gurli Bach"|"Vejlandsstræde 4
3831 Lystrup"
"Univ.Prof. Sussie Frederiksen"|"Kløvermarksgade 8
4597 Rømø"
"Ebbe Toft"|"Ahlmanns Allé 657
8981 Melby"
"Dr. Paul Lassen"|"Grønjordsvej 42
5397 Farsø"
"Zenia Svendsen"|"Torfavej 79
2714 Glostrup"
"Nikolaj Jessen"|"Lynæs Allé 74
3922 Klampenborg"
"Dr. Sara Dahl"|"Teglholm Tværvej 325
5039 Asnæs"
"Hr Stephan Laursen"|"Brofogedgade 4
3296 Søndersø"
"Amalie Søndergaard"|"Ahornsstræde 5
9965 Lejre"
"Randi Jensen"|"Vigerslevstræde 20
6610 Hadsund"
"Univ.Prof. Sørine Dahl"|"Fredensborgstræde 6
6289 Græsted"
"Agnete Andresen-Gregersen"|"Guldagergade 42
4548 Sunds"
"Charlotte Frederiksen-Vestergaard"|"Tjørnelundsstræde 477
5951 Klampenborg"
"Sarah Schou"|"Lidemarksvej 157
7052 Samsø"
"Hr Jan Andresen"|"Viktoria Allé 922
1065 Klovborg"
"Zelma Dam"|"Lille Fredensgade 93
2287 Bækmarksbro"
"Dr. Alvin Svendsen"|"Slagelse Allé 921
3827 Nykøbing F"
"Lucas Steffensen"|"Palermogade 60
9890 Søndersø"
"Amanda Johnsen"|"Rumæniensvej 748
3307 Vojens"
"Jeppe Klausen-Petersen"|"Højstrupvej 1
3918 Nærum"
"Dan Jørgensen"|"Østrigs Allé 28
9646 Randbøl"
"Curt Jespersen"|"Dronningens Tværgade 4
1686 Flemming"
"Prof. Sten Winther"|"Thingvalla Allé 214
1922 Kalvehave"
"Rosa Laursen"|"Oceanvej 7
6517 Fejø"
"Zacharias Klausen-Christiansen"|"Strickersgade 8
4284 Malling"
"Julius Nilsson-Jacobsen"|"Hovgaardsvej 10
9317 Rødby"
"Ursula Paulsen"|"Tovværk Allé 5
7131 Mariager"
"William Knudsen-Krogh"|"Grønager Allé 605
6060 Hinnerup"
"Amanda Nielsen"|"Olymposgade 91
1321 Læsø"
"Jack Pedersen"|"Upsala Allé 7
4911 Glumsø"
"Danny Laursen-Overgaard"|"Grønnegade 9
7658 Toftlund"
"Nanna Toft"|"Haifavej 149
8191 Vordingborg"
"Benjamin Hermansen"|"Nystedvej 649
7517 Ullerslev"
"Pernille Frandsen-Henriksen"|"Stoltenbergsstræde 401
3432 Dybvad"
"Ragnar Bach-Berg"|"Utterslevgade 49
1584 Søby Ærø"
"Gyda Lauritsen"|"Absalons Allé 447
2865 Klampenborg"
"Borris Jessen"|"Hestemølle Allé 998
6679 Sjølund"
"Ørni Winther"|"Smørumvej 8
8051 Haslev"
"Anders Brandt-Rasmussen"|"Klosterstræde 46
7447 Hårlev"
"Dr. Sine Mathiesen"|"Nørregade 6
9538 Arden"
"Louise Steffensen"|"Vestagergade 33
5289 Vallensbæk Strand"
"Alex Jeppesen"|"Vestmannagade 248
6400 Farsø"
"Dr. Vera Larsen"|"Urbansgade 587
1431 Kvistgård"
"Rita Frandsen"|"Herjedalvej 5
1268 Tjæreborg"
"Jimmy Carlsen"|"Bardenflethsgade 8
3587 Rungsted Kyst"
"Ragner Nielsen-Dahl"|"Øresundsmotorenvej 37
8125 Sønder Omme"
"Ronni Dam"|"Todesstræde 802
6823 Tommerup"
"Prof. August Thorsen"|"Sonnerupgade 4
1202 Varde"
"Anders Frederiksen"|"Søndre Allé 837
4352 Langeskov"
"Fru Laura Bruun"|"Margretheholmsgade 33
1650 Sorring"
"Aage Jeppesen"|"Tølløsevej 33
4194 Kastrup"
"Univ.Prof. Holger Schmidt"|"Engblommevej 45
7825 Greve"
"Nanni Sørensen"|"Stockholmsgade 6
5415 Martofte"
"Jonna Mathiasen"|"Møgeltøndergade 9
2122 Gørløse"
"Alexander Dam"|"Hindbærstræde 1
8424 Store Heddinge"
"Maiken Nissen"|"Kongsdalgade 26
9401 Tim"
"Conny Simonsen-Ravn"|"Vordingborgstræde 23
3486 Roslev"
"Asger Larsen"|"Sjællands Allé 90
9121 Harlev"
"Anders Johansen"|"Spangbergsgade 976
9411 Brovst"
"Pia Bertelsen"|"Gullfossgade 665
3453 Lejre"
"Mike Lauridsen"|"Bulbjergstræde 802
1780 Middelfart"
"Gorm Dam"|"Vestmannastræde 87
9515 Åbyhøj"
"Yda Johansen"|"Poppelvej 991
8679 Nærum"
"Jenny Lind"|"Spinderistræde 8
7942 Beder"
"Dr. William Bruun"|"Gammel Køge Landestræde 57
7452 Vester Skerninge"
"Cecilie Madsen"|"Fredensborggade 194
5133 Glumsø"
"Alberte Toft"|"Blågårdsstræde 5
7081 Aars"
"Ragnhild Vestergaard"|"Gamle Vasbygade 972
1453 Vallensbæk Strand"
"Anders Mikkelsen"|"Nokken Hovednstræde 1
8997 Them"
"Joachim Koch-Jessen"|"Burgundygade 4
9530 Løgumkloster"
"Mark Danielsen"|"Dahlerups Allé 4
1848 Fakse"
"Univ.Prof. Ebbe Holst"|"Todesvej 124
7059 Janderup"
"Julie Vestergaard"|"Holmbladsstræde 1
8239 Ålsgårde"
"Sofie Laursen"|"Murcia Allé 3
6575 Gørlev"
"Dr. David Sørensen"|"Spiræa Allé 763
6036 Hadsund"
"Josefine Brandt-Holm"|"Lindholms Allé 378
5621 Kirke Eskilstrup"
"Karen Sørensen"|"Monradsvej 778
8454 Svenstrup"
"Bertil Koch"|"Panumsstræde 278
4718 Fårevejle"
"Andrea Bertelsen"|"Ny Østervej 602
8171 Åbyhøj"
"Paw Winther"|"Tartinisvej 707
9281 Saltum"
"Benny Ravn-Gregersen"|"Bjergmarksvej 727
2391 Kjellerup"
"Joachim Thomsen"|"Kålagerstræde 289
3446 Bogense"
"Niels Eriksen-Andresen"|"Møllegårdsstræde 55
7397 Øster Vrå"
"Univ.Prof. Sine Jørgensen"|"Otto Bachesvej 1
3504 Brenderup"
"Dr. Adam Bruun"|"Bækkeskovgade 83
6588 Skanderborg"
"Bodil Thomsen"|"Nordmarksgade 438
8708 Vejle"
"Gert Schou"|"Pallesstræde 60
5717 Helsingør"
"Nicklas Winther"|"Overdrevsvej 77
2666 Idestrup"
"Andrea Hansen-Mogensen"|"Mantuavej 85
2037 Nyborg"
"Else Klausen"|"Bellidagade 11
9407 Hurup Thy"
"Fru Ditte Danielsen"|"Nyropsvej 396
9468 Sønderborg"
"Ludvig Danielsen"|"Eliasgade 256
3845 Brenderup"
"Per Henriksen"|"Gadstrupvej 5
9069 Hesselager"
"Gerda Andresen"|"Trekløverstræde 85
2848 Bækmarksbro"
"Cathrine Steffensen"|"Risagervej 14
1445 Vonge"
"Silje Mortensen-Clausen"|"Adelvej 5
3693 Hampen"
"Laus Bach"|"Vordingborgvej 157
7440 Køge"
"Prof. Frida Bruun"|"Sibbernsvej 473
2212 Holme-Olstrup"
"Andrea Hermansen"|"Jernbanegade 5
2356 Jelling"
"Ester Mathiesen"|"Mutzugade 23
3737 Rudkøbing"
"Fru Maiken Johansen"|"Ørevadsstræde 293
4693 Ejstrupholm"
"Univ.Prof. Sofie Johansen"|"Tartinisgade 5
3031 Ballerup"
"Fru Xenia Jensen"|"Bygholm Allé 459
2232 Broby"
"Mette Rasmussen"|"Knivholtgade 250
8114 Millinge"
"Univ.Prof. Nicolaj Thygesen"|"Sonnerupstræde 62
5664 Kjellerup"
"Tage Jensen"|"Fyensvej 42
1128 København"
"Benedikte Lind"|"Storegårdsvej 99
3080 Gudme"
"Hr Jim Schou"|"Bustrup Allé 11
9504 Trustrup"
"Andrea Iversen"|"Klaksvigsvej 516
1613 Kværndrup"
"Nanna Mathiasen-Mortensen"|"Tomsgårds Allé 3
7326 Gedsted"
"Lena Danielsen"|"Landvindingsvej 51
6826 Sønder Stenderup"
"Mille Ravn"|"Blankavej 3
6704 Klemensker"
"Hr Nicolai Pedersen"|"Pilevej 15
4135 Store Merløse"
"Louise Bach"|"Lille Strandvej 741
2644 Roskilde"
"Åse Jensen-Nissen"|"Udbyvej 820
9936 Lejre"
"Viola Dam"|"Amerikastræde 2
5408 Holme-Olstrup"
"Prof. Jacobine Hansen"|"Grønjordsgade 5
6056 Dalmose"
"Hr Timmy Frandsen"|"Reverdilsvej 1
3564 Thyholm"
"Andrea Kjeldsen-Thorsen"|"Rantzausstræde 878
5737 Lejre"
"Bertram Østergaard"|"Bolands Allé 8
6595 Store Merløse"
"Bobby Lund"|"Rosenholmsgade 423
1667 Grenaa"
"Dr. Laust Friis"|"Bardenfleths Allé 152
7827 Skibby"
"Fru Sandra Toft"|"Griffenfelds Allé 95
4885 Vordingborg"
"Solveig Dam"|"Brønshøjgårdvej 592
1725 Skovlunde"
"Rikke Andersen"|"Gittervej 248
6574 Sønder Stenderup"
"Ernst Knudsen"|"Klinte Allé 7
9338 Nordborg"
"Dan Bach"|"Sturlasvej 51
7023 Hjallerup"
"Claus Andreasen"|"Østrigsvej 1
1116 Rørvig"
"Andrea Mathiasen"|"Nyborg Allé 4
3230 Gram"
"Hr Jon Pedersen"|"Willemoesgade 69
7552 Egernsund"
"René Winther"|"Ingolfs Allé 92
2236 Sorø"
"André Schmidt"|"Skoubo Allé 17
6935 Aakirkeby"
"Timmy Mortensen"|"Marengovej 3
8815 Tjæreborg"
"Lars Danielsen-Skov"|"Slotsherrensgade 575
2001 Solbjerg"
"Joan Frandsen"|"Henriks Allé 37
7484 Frederikssund"
"Klara Schmidt"|"Søndervigvej 91
8059 Ans by"
"Hjalte Gregersen"|"Spanteloftvej 80
7724 Lunderskov"
"Arne Hermansen-Skov"|"Tonemester Allé 1
5958 Rødvig Stevns"
"Andrea Thomsen-Koch"|"Helsingborgvej 3
3484 Store Heddinge"
"Dr. Frida Thygesen"|"Tyttebærvej 86
7067 Skive"
"Leonora Petersen"|"Valgårds Allé 616
5269 Tistrup"
"Yngve Lund"|"Ulriksdalvej 9
5286 Hesselager"
"Hr Benjamin Pedersen"|"Pernillestræde 922
9861 Lem"
"Yasmin Frederiksen"|"Kirsteinsgade 471
6843 Låsby"
"Janne Dahl"|"Weimar Allé 349
2343 Horslunde"
"Sabine Rasmussen"|"Dronning Dagmarsvej 42
6464 Køge"
"Alf Brandt"|"Vendsysselgade 8
5789 Nyrup"
"Jonas Jepsen"|"Belgiensvej 43
9713 Holte"
"Andreas Berg"|"Bavnehøjvej 8
5477 Gislev"
"Hr Yannick Johansen"|"Slesvigsgade 3
4390 Kværndrup"
"Jan Sørensen-Jepsen"|"Landskronavej 12
4781 Regstrup"
"Dr. Finn Mathiesen"|"Smedestræde 61
3851 Herning"
"Jack Carlsen-Winther"|"Hessens Allé 8
7244 Skanderborg"
"Peter Vestergaard"|"Sverrigsgade 58
5398 Nørre Asmindrup"
"Benthe Holst"|"Æbeløgade 6
4088 Kongerslev"
"Alexander Henriksen"|"Lerchenborggade 8
8072 Sejerø"
"Carlo Kristoffersen"|"Peitersvej 9
3245 Millinge"
"Finn Lauridsen"|"Parmastræde 16
6585 Kalvehave"
"Andreas Knudsen"|"Brohusvej 49
8100 Broager"
"Sandra Nilsson"|"Harwichvej 50
3125 Hinnerup"
"Dr. Carsten Lauridsen"|"Gåsebæksvej 513
9323 Grindsted"
"Leonora Christiansen-Carlsen"|"Delosvej 126
6161 Smørum"
"Emilie Bruun"|"Kronprinsensstræde 45
6446 Gørlev"
"Marie Brandt"|"Læder Allé 94
3617 Brønshøj"
"Albert Nielsen"|"Håbetsvej 928
7065 Tistrup"
"Prof. Herbert Kristensen"|"Brøndkærvej 64
9512 Tommerup"
"Freddy Bertelsen"|"Christiansborgvej 323
9714 Nibe"
"Øjvind Iversen"|"Fjenneslevvej 510
6994 Løgstrup"
"André Christiansen"|"Gefionsgade 771
1474 Viby Sjælland"
"Elias Schultz-Hansen"|"Keldsøgade 207
4415 Frederiksværk"
"Univ.Prof. Ove Nørgaard"|"Stockholmsvej 937
9072 Egtved"
"Gertrud Lauritsen"|"Irlandsgade 1
6239 Brøndby Strand"
"Benny Thomsen"|"Boserupstræde 238
9570 Holbæk"
"Fru Josefine Jespersen"|"Glentestræde 3
5419 Hjallerup"
"Oliver Simonsen"|"Asylgade 661
5457 Aakirkeby"
"Prof. Øvli Jørgensen"|"Taffelæblevej 17
2627 Hvidovre"
"Jonna Clausen"|"Bramslykkevej 952
3099 Marslev"
"Benthe Lauritsen"|"Brolæggervej 8
6287 Bjerringbro"
"André Dam-Lund"|"Ingerslevs Allé 39
2143 Harndrup"
"Mia Petersen-Jørgensen"|"Nørregade 754
9725 Stubbekøbing"
"Fru Åse Mathiasen"|"Væbnervej 9
1304 Rønne"
"Fru Cecilie Lind"|"Søndervangsstræde 16
4462 Holeby"
"Fru Kirsten Sørensen"|"Rugvej 27
9220 Ebberup"
"Fru Justina Thygesen"|"Hovmestergade 54
2349 Anholt"
"Marie Eriksen"|"Moselvej 460
5218 Åbyhøj"
"Hjalte Rasmussen"|"Kjærstrupgade 969
8124 Øster Vrå"
"Nikolaj Pedersen-Carlsen"|"Riga Allé 91
2177 Solbjerg"
"Dagmar Bach"|"Kuglegårdsgade 613
3356 Errindlev"
"André Hermansen"|"Øster Voldgade 2
5516 Kibæk"
"Stephan Mathiasen"|"Skotterupvej 2
8789 Helsingør"
"Fru Sussanne Bruun"|"Ebbe Rodesgade 2
1023 Hillerød"
"Prof. Mie Rasmussen"|"Apollo Allé 39
9210 Gedsted"
"Hugo Eriksen"|"Høyens Allé 96
3681 Kettinge"
"Nicolai Larsen"|"Studsgaardsgade 1
6135 Hedehusene"
"Lennarth Jacobsen"|"Landehjælpvej 844
7739 Gistrup"
"Zelma Andresen"|"Bymosevej 1
6102 Stege"
"Jack Møller"|"Sydløbs Allé 9
8411 Fejø"
"Rita Henriksen"|"Saltøvej 781
5467 Suldrup"
"André Jeppesen"|"Vestbanegade 772
5451 Søby Ærø"
"Univ.Prof. Mie Poulsen"|"Gerbrandsstræde 5
1474 Karup"
"Fru Sanne Lassen"|"Ringstedstræde 193
8293 Løgstrup"
"Dr. Jesper Rasmussen"|"Kansasgade 395
1780 Haderslev"
"Ritt Frandsen"|"Bernstorffs Allé 673
5164 Ans by"
"Christian Schultz"|"Kapselvej 29
2639 Græsted"
"Jenny Hermansen"|"Lodivej 951
3285 Skibby"
"Laurits Jeppesen"|"Ålekistestræde 121
6326 Videbæk"
"Dr. Annette Mortensen"|"Fyens Allé 87
1863 Jyllinge"
"Hannah Mogensen-Eriksen"|"Vatnavej 44
7308 Flemming"
"André Karlsen"|"Pallesvej 63
8202 Rødovre"
"Katcha Bach"|"Travemündegade 3
6889 Harndrup"
"Ditte Olesen"|"Nansens Allé 61
4463 Snekkersten"
"Dr. Doris Schultz"|"Harevej 84
8779 Aakirkeby"
"Dr. Michala Carlsen"|"Præstekærvej 1
9265 Hvide Sande"
"Lea Berg"|"Angelvej 53
2672 Århus"
"Univ.Prof. Sam Paulsen"|"Ulrik Birchsvej 80
8153 Stokkemarke"
"Holger Schmidt"|"Tonemester Allé 489
3357 Karby"
"Prof. Jannie Jeppesen"|"Marmorgade 19
4282 Næstved"
"Sussanne Poulsen"|"Lillevej 33
6043 Gadbjerg"
"André Steffensen-Dam"|"Herningvej 82
5043 Jerup"
"Prof. Einar Jørgensen"|"Shetlandsvej 97
5353 Rudkøbing"
"Camilla Brandt"|"Vestervej 4
3211 Egernsund"
"Jørgen Schultz"|"Havnestræde 377
5559 Hjerm"
"Dr. Mimi Nilsson"|"Normandigade 2
5336 Skodsborg"
"Annette Andersen-Olsen"|"Otto Bachesvej 58
1508 Hornbæk"
"Tage Holst"|"Lyngholmvej 8
8824 Allingåbro"
"Ofelia Bruun"|"Gladbostræde 69
9817 Silkeborg"
"Ritt Mortensen"|"Kronprinsessestræde 841
6262 Tranbjerg J"
"Hr Laus Jeppesen"|"Viborgvej 10
6131 Egå"
"Ane Danielsen"|"Bjerregårdsgade 473
2987 Roslev"
"Mie Schou"|"Højbogade 19
6789 Hellerup"
"Prof. Ragner Friis"|"Blåbær Allé 606
7104 Vipperød"
"André Skov-Nilsson"|"Sejlklubgade 4
8842 Nibe"
"Mark Berg"|"Øster Farimagsstræde 46
6135 Gentofte"
"Yan Schmidt"|"Adelgade 187
4664 Stubbekøbing"
"Univ.Prof. Klara Krogh"|"Hustoftegade 3
3328 Bryrup"
"Jacqueline Henriksen-Hermansen"|"Glentegade 95
9398 Harboøre"
"Ulrik Carlsen"|"Gasværksvej 5
2013 Harlev"
"Finn Ravn"|"Pomonavej 758
9851 Hjerm"
"Ane Jensen"|"Raffinaderivej 7
4885 Vanløse"
"Fru Rebecca Lassen"|"Magistergade 688
7425 Bevtoft"
"Hr Yan Carlsen"|"Milosgade 3
6089 Hovborg"
"Fru Amanda Svendsen"|"Lodivej 321
9032 Randbøl"
"Tilde Østergaard"|"Borneovej 201
4200 Bogø By"
"Richard Toft"|"Malmøvej 16
8510 Hjørring"
"Louise Lauridsen"|"Agnetevej 5
1156 Marslev"
"Ulrik Lind"|"Admiralvej 5
6082 Løsning"
"Amalie Sørensen-Danielsen"|"Haydnsgade 7
6631 Snedsted"
"Prof. Natasha Carlsen"|"Rødelandsgade 497
7110 Hejls"
"Anette Laursen"|"Webersvej 3
6262 Aabenraa"
"Yvonne Koch"|"Husumstræde 4
8667 Klovborg"
"Gyda Lauritsen"|"Blågårdsvej 5
7900 Sørvad"
"Bobby Mathiasen"|"Kjærstrupvej 8
2042 Ugerløse"
"Børge Lauritsen-Paulsen"|"Rosendalsvej 488
4241 Marstal"
"Rita Madsen"|"Gadekærgade 34
8110 Løgstør"
"Villads Mogensen"|"Struensee Allé 4
1508 Aalestrup"
"Alexander Jessen"|"Bellahøjvej 763
6284 Rødovre"
"Sussie Jeppesen"|"Emdrupvej 493
1130 Stege"
"Adam Mikkelsen"|"Brønshøjvej 7
6878 Eskilstrup"
"Anna Holm"|"Tigergade 72
6549 Randbøl"
"Paula Skov"|"Engdalsstræde 9
7703 Kibæk"
"Karsten Jacobsen"|"Stemannsstræde 3
4291 Eskebjerg"
"Benny Nielsen-Christiansen"|"Lundtoftestræde 7
9489 Viby J"
"Ane Kristiansen"|"Hejre Allé 21
4380 Hampen"
"Philip Vestergaard"|"Kongedybsvej 43
1123 Nykøbing F"
"Gunnar Lassen"|"Borgmester Jensensgade 5
9944 Ejby"
"Laust Berg"|"Rosmarinvej 219
4912 Ruds Vedby"
"Ludvig Bech"|"Helikonsvej 2
9122 Blommenslyst"
"Bent Overgaard-Winther"|"Kingosstræde 368
5274 Snertinge"
"Anna Lauridsen-Kristensen"|"Bangsbovej 2
4421 Eskilstrup"
"David Madsen"|"Tjørnevej 298
8232 Vojens"
"Prof. Lotte Schou"|"Platanvej 57
1828 Holstebro"
"Victoria Kristiansen"|"Norgesgade 312
9874 Gadbjerg"
"Dr. Leif Paulsen"|"Bygmesterstræde 31
6561 Vils"
"Nora Olsen"|"Ryes Allé 7
5302 Tjele"
"Berit Iversen"|"Gefionsstræde 57
5010 Holsted"
"Bøje Bertelsen"|"Rådhusgade 167
8962 Klovborg"
"Fru Else Karlsen"|"Rebekkagade 321
8587 Errindlev"
"Karina Andreasen"|"Eliasgade 6
9900 Aarup"
"Anne Christensen"|"Rahbeksstræde 371
1784 Skælskør"
"Camilla Søndergaard"|"Marthastræde 29
9003 Horbelev"
"Prof. Laus Jepsen"|"Øresundsmotorenvej 854
3483 Hadsten"
"Hr Kenn Winther"|"Bustrup Allé 72
6565 Horbelev"
"Line Mathiasen"|"Ingrid Marievej 15
9711 Ulfborg"
"Britta Christoffersen-Dahl"|"Liselundvej 1
8086 Svebølle"
"Stig Kristoffersen"|"Thurebyholmgade 62
7259 Søndersø"
"Berta Christiansen"|"Måge Allé 59
6223 Frederikssund"
"Tammy Dahl"|"Laplands Allé 69
9250 Dybvad"
"Emma Jespersen"|"Fortun Allé 75
9685 Ranum"
"Anne Friis"|"Bogfinkestræde 96
2411 Tilst"
"Nils Mathiesen"|"Tikøbgade 2
8453 Dybvad"
"Cathrine Kristoffersen-Jessen"|"Nørre Voldvej 272
3020 Fejø"
"Åse Dam-Nørgaard"|"Selsøstræde 3
5970 Årre"
"Nanni Christiansen"|"Tøndebindergade 772
6624 Borre"
"Philip Frederiksen"|"Risbyholmgade 448
1179 Samsø"
"Jan Møller"|"Pasteursgade 595
2489 Hals"
"Regitze Henriksen"|"Lundtoftegade 22
4745 Klampenborg"
"Prof. Susanne Mathiesen"|"Hammerichsvej 60
2321 Nørreballe"
"James Kristensen"|"Ryesgade 843
8107 Gislinge"
"Anne Madsen"|"Poppelgade 540
5758 Vrå"
"Fru Irma Vestergaard"|"Ragna Allé 32
3086 Vildbjerg"
"Sonja Nissen"|"Vognmager Allé 67
7365 Vissenbjerg"
"Ulrik Holm"|"Åløkkegade 7
3993 Broby"
"Regitze Koch"|"Cumberlandsvej 7
4830 Skive"
"Amalie Bech"|"Hjortholmsgade 606
9552 Dybvad"
"Verner Madsen-Bach"|"Kæragervej 9
5377 Tim"
"Maria Østergaard-Jacobsen"|"Tudsemindevej 59
1957 Bjæverskov"
"William Ravn"|"Jernbanegade 5
5073 Stensved"
"Fru Anette Johnsen"|"Gasværksvej 479
7258 Hvalsø"
"Anne Winther"|"Slotsherrensgade 78
8052 Trustrup"
"Prof. Osvald Jespersen"|"Tøjmestervej 111
7760 Nørre Aaby"
"Prof. Janni Kristiansen"|"Ådalsvej 852
7150 Tim"
"Prof. Jim Iversen"|"Signelilvej 3
5306 Malling"
"Signe Møller"|"Herlufsholm Allé 1
7658 Gedved"
"Rolf Nielsen"|"Væbnervej 5
4051 Skævinge"
"Pia Koch"|"Glumsøvej 1
8618 Brøndby Strand"
"Sam Nørgaard"|"Containervej 561
7669 Sporup"
"Jonna Mathiasen-Johnsen"|"Scandiavej 410
8537 Frederikshavn"
"Birger Vestergaard"|"Brolægger Allé 684
4499 Vesløs"
"Annemette Johnsen"|"Morgendug Allé 878
8230 Skagen"
"Hr Preben Krogh"|"Karlskronavej 8
7833 Tim"
"Morten Nørgaard"|"Sparresholmgade 741
5761 Tistrup"
"Stephan Johnsen"|"Trekløverstræde 84
5734 Trige"
"Paula Karlsen"|"Tovelillevej 93
8790 Hvidovre"
"Sonja Christoffersen"|"Hjortøvej 5
8548 Farsø"
"Birgit Danielsen"|"Flensborggade 817
8787 Dronninglund"
"Univ.Prof. Vivian Frandsen"|"Nybovej 387
8959 Dalmose"
"Malene Simonsen"|"Utterslevgade 44
1528 Gislev"
"Julius Skov"|"Vagtmestervej 4
6885 Tappernøje"
"Annemette Nissen"|"Roskildevej 411
7904 Nørre Snede"
"Prof. Dorthe Schou"|"Blågårdsvej 2
8092 Glumsø"
"Solvej Olesen"|"Hindustanvej 54
8674 Asnæs"
"Malene Møller"|"Hesseløgade 890
9181 Regstrup"
"Cecilie Iversen"|"Østrigs Allé 69
1810 Allingåbro"
"Univ.Prof. Mogens Nielsen"|"Enveloppegade 16
4797 Vojens"
"Dan Christensen"|"Gullfossvej 81
1882 Gadstrup"
"Fru Winni Krogh"|"Frederiksgårdsvej 806
6234 Maribo"
"Alex Frederiksen-Andreasen"|"Harboøre Allé 419
5870 Samsø"
"Hr Ulf Bach"|"Røsåvej 37
1938 Sporup"
"Annemette Petersen"|"Fælledens Passagegade 9
2227 Brabrand"
"Laurits Andresen"|"Kastrupgade 98
4059 Nibe"
"Tammy Steffensen"|"Theisvej 949
8533 Kettinge"
"Prof. David Bech"|"Ågerupvej 37
5574 Ulfborg"
"Oliver Karlsen"|"Ragnhild Allé 35
7179 Lystrup"
"Tommy Thygesen"|"Gjorslevgade 3
7866 Assens"
