"ავთანდილ გაბელია"	"ლიხაურის ქ. 13, ახალციხე"
"ფიქრია ბენიძე"	"ტაშირის ქ. 11, ლაგოდეხი"
"აიდა კოპალიანი"	"იზაშვილის ქ. 00, საჩხერე"
"ბადრი ჭაღალიძე"	"ენისელის ქ. 14, ნინოწმინდა"
"ჯუმბერ გურული"	"ახუნდოვის ქ. 74, თერჯოლა"
"თამაზ ცუცქირიძე"	"არალეთის ქ. 68, ზესტაფონი"
"ვასილ კაჭარავა"	"ახმეტის ქ. 04, ლანჩხუთი"
"თემურ წურწუმია"	"რიონჰესის ქ. 22, ყვარელი"
"მაია შავაძე"	"სამშვილდეს ქ. 33, ზესტაფონი"
"ალექსანდრე ხმალაძე"	"ცოდნისკარის ქ. 15, ნინოწმინდა"
"აკაკი ჭიღლაძე"	"ჩხიკვაძის ქ. 45, მცხეთა"
"ლიზა ტაბატაძე"	"მთაწმინდის ქ. 67, მარნეული"
"ანიკო გორგოძე"	"ვეზიროვის ქ. 81, ქუთაისი"
"გოგიტა გველესიანი"	"მარუხის გმირების ქ. 02, თეთრიწყარო"
"თინა ოქროპირიძე"	"ბოტანიკურის ქ. 33, ზესტაფონი"
"ნუკრი საჯაია"	"ნათაძის ქ. 20, ამბროლაური"
"შოთა ფარტენაძე"	"სომხეთის ქ. 05, სოხუმი"
"თამარი ბუცხრიკიძე"	"გუთნის ქ. 51, ცაგერი"
"ვერიკო ქობულაძე"	"ვართაგავას ქ. 68, გურჯაანი"
"დიმიტრი შუკაკიძე"	"ბააზოვის ქ. 36, ვანი"
"ალა დემეტრაშვილი"	"დოქის ქ. 12, ვალე"
"ხვიჩა ჯანჯღავა"	"აბო ტბილელის ქ. 50, თბილისი"
"რუსუდან ანთაძე"	"ბოტანიკურის ქ. 20, სოხუმი"
"გოდერძი შალამბერიძე"	"ცაიშის ქ. 68, წყალტუბო"
"ხატია დალაქიშვილი"	"ზინდისის ქ. 24, გუდაუთა"
"ვლადიმერ ბერიძე"	"ჟღენტის ქ. 69, დუშეთი"
"გენადი გორგაძე"	"მარტყოფის ქ. 83, ჯვარი"
"ლარისა არველაძე"	"ვაკელი იონას ქ. 53, ზესტაფონი"
"იამზე ჭანტურია"	"ზანდუკელი მიხეილის ქ. 72, ტყვარჩელი"
"ანი ბალიაშვილი"	"შანიძე აკაკის ქ. 65, ახალციხე"
"ალა კოპალიანი"	"ახალუბნის ქ. 09, ხონი"
"თათია კაცაძე"	"ჯანაშვილის ქ. 98, მარტვილი"
"ნატალია ცირეკიძე"	"ხმელნიცკის ქ. 14, ჯვარი"
"თამარ მამულაძე"	"ნოსტეს ქ. 71, სამტრედია"
"ვასილ ნარიმანიძე"	"ძევერის ქ. 30, ბაღდათი"
"მედეა რეხვიაშვილი"	"ზიარის ქ. 97, ხობი"
"ვეფხვია ჭითანავა"	"ოსეთის ქ. 87, მცხეთა"
"ასლან კოპაძე"	"დუშეთის ქ. 01, ახალციხე"
"არჩილ კუბლაშვილი"	"შერვაშიძის ქ. 19, აბაშა"
"აკაკი გვაზავა"	"კიკვიძის ქ. 68, სენაკი"
"ალა მამულაძე"	"რიწის ქ. 91, ხონი"
"გალინა კერესელიძე"	"ნიაღვრის ქ. 25, ოზურგეთი"
"ირაკლი გველესიანი"	"ზაზიშვილი გიგოს ქ. 38, თეთრიწყარო"
"ჯაბა ხარაზიშვილი"	"წუწუნავას ქ. 68, სოხუმი"
"სალომე მგელაძე"	"ინგოროყვა პავლეს ქ. 67, ონი"
"ლანა პაპავა"	"გუნიას ქ. 85, ხაშური"
"ნუგზარ გორგაძე"	"გლინკას ქ. 55, გარდაბანი"
"იამზე წულუკიძე"	"ტოლსტოის ქ. 38, ახალქალაქი"
"ირინა ჩხიკვაძე"	"სამურის ქ. 98, სოხუმი"
"მიხეილ აფციაური"	"სააკაძის ქ. 72, ხონი"
"ალა სულაბერიძე"	"ჯანაშვილის ქ. 32, წალკა"
"მედიკო შამუგია"	"მიროტაძის ქ. 01, ჭიათურა"
"ციალა ილურიძე"	"ლეჟავას ქ. 57, ოჩამჩირე"
"ბესიკ ჭანტურია"	"ილორის ქ. 20, ონი"
"გიული კვირიკაშვილი"	"ლიხის ქ. 33, ახალციხე"
"მერაბ გრიგორიანი"	"დირსიჭალას ქ. 65, გალი"
"უჩა ბურჯანაძე"	"ჯანაშიას ქ. 38, საგარეჯო"
"კლარა ელბაქიძე"	"ჯიქიას ქ. 57, ხაშური"
"ელგუჯა შუბითიძე"	"ცუცქირიძის ქ. 80, მარნეული"
"ქრისტინე მესხი"	"ჭავჭავაძე ზურაბის ქ. 40, მარნეული"
"ალა ქათამაძე"	"გუდაურის ქ. 35, ვალე"
