"ავთანდილ დალაქიშვილი","თვალჭრელიძის ქ. 25, ჭიათურა"
"ვახტანგ ბექაური","იორის ქ. 29, სიღნაღი"
"კარლო ირემაშვილი","ნაკადულის ქ. 63, ხაშური"
"ალექს ლაცაბიძე","ვეზიროვის ქ. 27, გარდაბანი"
"ზაურ ჩუბინიძე","შერვაშიძის ქ. 94, მცხეთა"
"ივანე დევაძე","გედევანიშვილის ქ. 98, ქობულეთი"
"სოფია ხალვაში","მამკოდის ქ. 52, ახალქალაქი"
"ქეთო პაპიაშვილი","რომის ქ. 88, სამტრედია"
"ვარდო ვეკუა","ტაბიძე ტიციანის ქ. 04, ონი"
"კობა მერებაშვილი","ხოშარაულის ქ. 54, დედოფლისწყარო"
"ვანო ახალაია","მტკვრის ქ. 77, ოჩამჩირე"
"მაია ალიევა","ახმეტის ქ. 53, ახალციხე"
"ნუგზარ აბესაძე","ხმელნიცკის ქ. 36, ახალქალაქი"
"ალექს მერაბიშვილი","ნიზამის ქ. 85, გაგრა"
"ვანო ჩხაიძე","გივიშვილის ქ. 30, ქუთაისი"
"უშანგი ქანთარია","ალაზნის ქ. 99, ფოთი"
"მარიამ ბაკურაძე","ბულაჩაურის ქ. 80, თელავი"
"სულიკო ცხადაძე","შერვაშიძის ქ. 31, დმანისი"
"მაკა ალიევა","უჩანეიშვილი ირაკლის ქ. 08, ახალციხე"
"ომარ დანელია","აბაშელის ქ. 33, ქობულეთი"
"აკაკი ვარშანიძე","სავანელის ქ. 77, ახალი ათონი"
"თამარი პაპიაშვილი","მტკვრის ქ. 56, დმანისი"
"გრიგოლ ჩაჩუა","ქობულეთის ქ. 67, ამბროლაური"
"ალექს ფარცვანია","ამირანაშვილი პეტრეს ქ. 49, წალენჯიხა"
"სალომე ხაჩატურიანი","შურდულის ქ. 73, სენაკი"
"გიგა სიჭინავა","ბურძგლას ქ. 70, ვალე"
"ჯულიეტა მაჭავარიანი","აჭარის ქ. 01, ლაგოდეხი"
"ია გაბუნია","გუთნის ქ. 47, ქობულეთი"
"ჟანა ხარაზიშვილი","ივლეთის ქ. 04, ბაღდათი"
"ნონა კვარაცხელია","არბოშიკის ქ. 10, სენაკი"
"ხათუნა ხვედელიძე","ფიზკულტურის ქ. 08, ბორჯომი"
"რევაზ თურმანიძე","ზუგდიდის ქ. 64, ახალქალაქი"
"ანი ჟვანია","თოიძის ქ. 84, ზუგდიდი"
"ალექს შუკაკიძე","მამკოდის ქ. 30, თბილისი"
"ინეზა კობახიძე","ნიორაძის ქ. 22, ბაღდათი"
"ბექა თურმანიძე","მეგრელაძის ქ. 69, ბათუმი"
"პაატა ხორავა","ენგურჰესის ქ. 20, დუშეთი"
"ემზარ ლაბაძე","ჭიათურის ქ. 47, მარტვილი"
"გივი ყაველაშვილი","კალოუბნის ქ. 57, მცხეთა"
"შალვა გეგეშიძე","ხერხეულიძეების ქ. 59, თბილისი"
