ავთანდილ ელიზბარაშვი18 
მარინა ტუღუში       6
ანიკო ცომაია        0  
ელიზა ტაკიძე        16 
ჟუჟუნა თოფურია      18 
აკაკი ჩაჩუა         6  
მურთაზ ალიევი       2  
ეკატერინე ცაავა     0  
ეკატერინე სიხარულიძე1  
ლარისა ცომაია       6  
იაგო კარაპეტიანი    12 
გრიგოლ ჯიშკარიანი   9
ანიკო ჯავახიშვილი   5  
ვალენტინა ჯაიანი    14 
ნუკრი ყურაშვილი     3  
ვანო გოგინაშვილი    3  
მარია ნარიმანიძე    8  
ბორის ჯაფარიძე      0  
ნუკრი ქანთარია      19 
მედეა ცეცხლაძე      1  
თათია კოხრეიძე      0  
ლელა მელქაძე        15
ანნა მიქელაძე       0  
