"அகண்டலன் ராஜ","23 ராஜேஷ்
கோயம்புத்தூர் 415362"
"ஏகலைவன் கதிர்க்குமரி","35/182 சசிகாந்த்
வேலூர் 677072"
"இசைச்செல்வி ஒளிமதி","9579 அகில் மணிகண்டன்
பெல்காம் 671826"
"அகல்விழி","723 பவளம் வசனா
ஜோத்பூர்-239967"
"கடலிறை","8/9 மணிக்கொடி
திருவண்ணாமலை 965736"
"சதீஷ்","14/7309 ஷர்மிளா
புதுக்கோட்டை-601447"
"பத்மநாபன்","59/375 உலகோவியம் தங்கம்மா
குவாலியர்-581914"
"பந்துல் ஷ்னேகல்","3571 நாதவேணி சங்காரம்
ஹுப்ளி-தர்வாத்-972569"
"தத்தை","2/3 தங்கமுத்து அகிரா
வேலூர் 178603"
"நம்பிகுட்டுவன் எழிற்செல்வம்","732 ராஜவேலு அகல்
திருப்பூர்-754628"
"மணிச்சுடர் உன்மைமொழி","98 ஏழிசைக்கனி
சென்னை-236414"
"தணிகைமுருகன் ஷாமினி","20 எழிற்கதிர் ஸ்கந்தா
புனே 046662"
"உதயவானன்","70/289 ரீஜா
பெல்காம் 546802"
"அகழ்மேனி கண்ணிமை","68 ஷாஹ்னா பசுபதி
மாலேகான்-131968"
"யோகலட்சுமி","33/835 வனிதா மணிச்சுடர்
கும்பகோணம் 407973"
"ஷகுந்த் அகில்","915 ஷதா
வாரணாசி-730605"
"வல்லவன்","07/452 அக்னிகுமாரன்
விசாகப்பட்டினம்-436039"
"இந்திரகுமார்","497 ஆஞ்சல் யாமினி
அலிகார் 368507"
"வருண்குமாH","78/85 நன்மொழி
நாகப்பட்டினம் 140197"
"சத்யேந்திரா ஏழிசைச்செல்வம்","58/330 உபதேஷ்
சிவகாசி-242119"
"வரதராஜ் ஹன்யா","8498 ஷ்ராவண் ஹசினிகா
லூதியானா-440435"
"தணி;சேரன் ஆண்ட்ரு","94/00 சக்திவேல ஹவிஷ்மதி
போபால் 285089"
"எழிற்கண் அகில்","47/404 கனிரா சங்குப்பூ
குவாலியர் 368594"
"அகழ்மேனி ஷிங்","0100 கண்ணப்பன் ரதவனி
மதுரா 096544"
"வல்லவன்","81 சத்யமூர்த்தி
ஜெய்ப்பூர்-288821"
"நன்னூலன்","4/3 பன்னீர்செல்வி
கோலாப்பூர் 135938"
"ஸ்ரீவல்லி","76 தங்கமதி
கொல்கத்தா பெருநகர் 433812"
"தங்கவேல்","91 யூவராஐன்
தன்பாத்-951007"
"ஏழிசைக்குமரன்","2/1 ஆசிரா ஏந்திசை
பெல்காம் 704179"
"மணிரத்ணம் ஆடலரசன்","3/2 கதிர் ஏழிசைமணி
ராஞ்சி 258044"
"பரணி தணிகைத்தம்பி","52 ஐயம்பெருமான்
ஜோத்பூர்-268880"
"ஏகலைவன்","8934 எழில்மன்னன்
ஜாம்நகர் 652829"
"ஸ்ரீலக்ஷ்மி இசைமுரசு","8 இசைமகள்
கொச்சி-200062"
"அகவன் சகீனா","16 நல்லிசை வாணன்
ஹுப்ளி-தர்வாத் 917897"
"பன்னீர்","87/10 வல்லரசு
கோரக்பூர் 589235"
"பகவத் ரகுராம்","31 ஸ்மேரா
கோரக்பூர்-560136"
"அங்கையர்க்கரசி","794 ஆசிரா
வாரங்கல்-091713"
"ஆதித்தமிழ்","6 இந்திரகுமார் நம்பியருள்
கொல்லம் 297440"
"பரிமளா","7/3 கண்ணன் ஏந்திசை
பொள்ளாச்சி 417424"
"வதனி","03/23 உதயகுமார்;
திருப்பூர் 078497"
"உலகொளி","00 இசைவளவன் ஹம்சா
கோயம்புத்தூர் 180331"
"ஆனந்தகிரி","96/915 சங்குப்பூவழகி நளாயினி
மீரட்-200398"
"உதயா வமகேஷி","40/9458 யாழ்மொழி
கான்பூர்-815901"
"அகவன் ரஞ்சினி","09 வஞ்சிக்கொடி
அஜ்மீர்-307585"
"வல்லரசு","73/71 ஆதிகுணா சங்குப்பூவழகி
சேலம் 909245"
"மணிக்கொடி","730 யஷ்வந்த்
வேலூர் 139296"
"கண்மதி","96/679 எல்லி ஸ்ரீநிவாஸ்
கோயம்புத்தூர் 097672"
"ஹஸினா ஒளியழகன்","47/60 எழில்மங்கை ஹரிதாஸ்
ஈரோடு 581590"
"பரிமளா","252 பஞ்சாமிர்தம் யோகராணி
நாகப்பட்டினம் 495946"
"ஏழிசைப்பாவை","81/940 உலகோவியம்
நெல்லூர் 903760"
"ரக்ஷிகா","29/6203 இந்திரகுமார்
கடலூர்-155542"
"வருணி","2/3 ஹஸ்னா யாழரசன்
குவஹாத்தி 032866"
"எழிலகன்","9 ஒளி இசைமறை
இராணிப்பேட்டை-205090"
"அகவன்","01 ஆதிமறை
அலிகார் 315029"
"அகில் பகுமான்யன்","697 யூவரானி
ஜாம்நகர்-842786"
"ஏழிசைக்கலை ரக்ஷிதா","785 பகுதானன்
திண்டுக்கல்-595162"
"சந்தனம்","24/76 நாகமதி
அகோலா 780681"
"ஸ்துதி பகத்","3327 சசிதரன் அங்கால
குமாரபாளையம்-761900"
"அக்ஷா","9945 ஏழிசைச்செல்வி
கொல்லம் 226401"
"எழினி ஒளிமுகம்","38/9536 ஷபீர்
கொல்கத்தா பெருநகர் 224407"
"எழில்மலை","75/22 ஏழிசை
தாவண்கரே 053322"
"ஹம்ரிஷ் இசையரசு","30/0957 கதிர்க்குமரி ஆதிமொழி
திருப்பூர் 028275"
"சதிஷ்வரன் வர்ணவதி","931 ஆதிசங்கரா பல்லவி
அம்ரித்சர்-257708"
"அகவழகு ஸெடெஃபானியா","0076 ஆடற்கோமகள் தங்கத்தமிழன்
இராணிப்பேட்டை-628400"
"ஏழிசைப்பாமகள்","73/89 அக்னேயி வர்ஷா
ஹுப்ளி-தர்வாத் 886067"
"ஒளிசுடர எழிலி","94/4439 பத்மா
பொள்ளாச்சி-461633"
"கதிரேசன்","99/965 ஒளிஒவியம் அங்கதன்
கோரக்பூர் 605117"
"ஆதி இந்திரா","4/9 ஸ்ரீதர் இசையமுது
அவுரங்கபாத்-773682"
"ஒளிஒவியம் கண்மதியன்","3923 நக்கீரர் ஏழிசைச்சுடர்
திண்டுக்கல் 733933"
"யோகமலர்","11/83 ஷகுந்த் உலகோவியம்
நெல்லூர்-309219"
"ஷானன்","701 ஸ்ரீநிதி ராமசாமி
குமாரபாளையம் 766377"
"உண்மையொளி உதியஞ்சேரல்","46/6713 வருண்குமாH ஷர்மிஸ்தா
ராய்ப்பூர் 099518"
